itm_horse_meat|Carne de Cavalo
itm_dol_amroth_warhorse2|Cavalo de Guerra Pesado de Dol Amroth
itm_gondor_warhorse|Cavalo de Guerra de Gondor
itm_gondor_lam_horse|Cavalo Blindado de Lamedon
itm_lorien_warhorse|Cavalo de Guerra de Lothlorien
itm_harad_horse|Cavalo de Harad
itm_harad_warhorse|Cavalo de Guerra de Harad
itm_variag_pony|Pônei de Variag
itm_variag_kataphrakt|Cavalo de Guerra Oriental
itm_warg_1b|Warg
itm_warg_1c|Warg 
itm_warg_1d|Warg 
itm_wargarmored_1b|Warg Blindado
itm_wargarmored_1c|Warg Blindado
itm_wargarmored_2b|Warg Blindado
itm_wargarmored_2c|Warg Blindado
itm_wargarmored_3a|Warg Blindado
itm_warg_reward|Warg Enorme
itm_animal_big|Animal Grande
itm_animal_small|Animal Pequeno
itm_troll_weapon_long|Alabarda Gigante
itm_troll_weapon_dmg|Maça Gigante
itm_tree_trunk_club_a|Tronco de Árvore
itm_giant_mace|Maça Gigante
itm_troll_shield_a|Escudo de Troll
itm_arrows|Flechas
itm_gondor_arrows|Flechas de Gondor
itm_orc_javelin|Dardo Pesado de Orc
itm_khergit_arrows|Flechas Rohirrim
itm_harad_arrows|Flechas de Haradrim
itm_corsair_arrows|Flechas de Corsário
itm_ithilien_arrows|Flechas de Ithilien 
itm_woodelf_arrows|Flechas dos Elfos da Floresta
itm_elven_arrows|Flechas Élficas
itm_orc_hook_arrow|Flechas Gancho de Orc
itm_isengard_arrow|Flechas de Isengard
itm_leather_gloves|Luvas de Couro
itm_mail_mittens|Luvas de Malha
itm_leather_boots|Botas de Couro
itm_leather_boots_dark|Botas de Cavaleiro
itm_splinted_greaves|Grevas com Talas
itm_white_tunic_a|Roupa de Civil
itm_rohan_shoes|Sapatos de Couro
itm_furry_boots|Botas Peludas
itm_black_tunic|Túnica Preta
itm_hood_black|Capuz Escuro
itm_hood_green|Capuz Verde
itm_hood_grey|Capuz Cinza
itm_hood_leather|Capuz de Couro
itm_mail_coif|Coifa de Malha
itm_axe_a|Machado dos Homens do Norte
itm_axe_b|Machado Barbado dos Homens do Norte
itm_axe_c|Machado dos Homens do Norte
itm_axe_d|Machado dos Homens do Norte
itm_long_bearded_axe|Machado Longo dos Homens do Norte
itm_2_handed_axe|Machado Longo dos Homens do Norte
itm_shortened_spear|Lança Curta
itm_spear|Lança
itm_light_lance|Lança de Montaria Leve
itm_lance|Lança de Montaria
itm_tab_shield_small_round_b|Escudo de Cavalaria Redondo
itm_short_bow|Arco Curto
itm_regular_bow|Arco
itm_nomad_bow|Arco de Nômade
itm_gondor_bow|Arco de Gondor
itm_strong_bow|Arco Forte
itm_elven_bow|Arco Élfico
itm_corsair_bow|Arco de Corsário
itm_dwarf_horn_bow|Arco de Chifre de Anão
itm_dwarf_short_bow|Arco Curto de Anão
itm_harad_bow|Arco Curvo de Harad
itm_lg_bow|Arco de Guarda da Águia
itm_riv_bow|Arco de Valfenda
itm_rhun_bow|Arco de Balchoth
itm_lorien_bow|Arco dos Galadhrim
itm_isengard_large_bow|Arco Largo de Isengard
itm_dale_bow|Arco de Valle
itm_uruk_bow|Arco de Chifre de Orc
itm_mirkwood_bow|Arco da Floresta das Trevas
itm_dunland_javelin|Dardos das Terras Pardas
itm_orc_throwing_arrow|Dardos de Orcs
itm_heavy_throwing_spear|Lança de Arremesso Pesada
itm_javelin|Dardos
itm_harad_javelin|Dardos de Harad
itm_gondor_javelin|Dardos de Gondor
itm_rohirrim_throwing_axe|Machados de Arremesso do Norte
itm_loss_throwing_axes|Machados de Arremesso de Lossarnach
itm_free_dunedain_helm_a|Elmo Leve de Arnor
itm_free_dunedain_helm_b|Elmo de Arnor 
itm_arnor_helm_c|Elmo Decorado de Arnor
itm_arnor_helm_b|Elmo de Arnor
itm_arnor_helm_a|Elmo Leve de Arnor
itm_arnor_light_a|Colete de Guardião Dunedain
itm_arnor_light_b|Malha de Guardião Dunedain
itm_arnor_med_a|Casaco de Guardião Dunedain
itm_arnor_med_b|Malha Dunedain
itm_arnor_heavy|Armadura de Nobre Arnoriano
itm_arnor_greaves|Grevas Arnorianas
itm_arnor_shield_c|Escudo de Cavalaria de Arnor
itm_arnor_shield_a|Escudo Redondo de Arnor
itm_arnor_sword_c|Espada de Guerra de Arnor
itm_arnor_sword_a|Espada Bastarda de Arnor
itm_arnor_sword_f|Espada Curta de Arnor
itm_riv_helm_b|Elmo de Arqueiro de Valfenda
itm_riv_helm_c|Elmo de Infantaria de Valfenda
itm_tiara_reward|Tiara de Senhor Elfo
itm_riv_shield_a|Escudo de Valfenda
itm_riv_shield_b|Escudo de Valfenda
itm_riv_bas_sword|Espada Bastarda de Valfenda
itm_riv_1h_sword|Espada de Valfenda
itm_riv_riding_sword|Espada Longa de Valfenda
itm_riv_archer_sword|Espada Curta de Valfenda
itm_riv_spear|Lança de Valfenda
itm_riv_light|Túnica de Valfenda
itm_riv_leather|Armadura de Couro de Valfenda
itm_riv_foot_mail|Malha de Valfenda
itm_riv_foot_scale|Escamas de Valfenda
itm_riv_surcoat|Sobretudo de Valfenda
itm_riv_knight|Armadura de Cavaleiro de Valfenda
itm_riv_armor_h_archer|Armadura de Valfenda
itm_riv_boots|Botas de Valfenda
itm_gon_footman|Camisa de Malha de Gondor
itm_gon_jerkin|Colete de Gondor
itm_gon_regular|Malha Pesada de Gondor
itm_gon_bowman|Jaqueta Acolchoada de Gondor
itm_gon_archer|Jaqueta Acolchoada com Capa de Gondor
itm_gon_noble_cloak|Colete de Nobre de Gondor
itm_gon_squire|Malha com Capa de Gondor
itm_gon_knight|Malha Pesada com Capa de Gondor
itm_gon_ranger_cloak|Capa de Guardião de Gondor
itm_gon_ranger_skirt|Cinto de Guardião de Gondor
itm_gon_steward_guard|Armadura da Guarda do Regente de Gondor
itm_gon_tower_guard|Armadura da Guarda da Torre de Gondor
itm_gon_tower_knight|Armadura de Guerreiro da Torre de Gondor
itm_gon_leader_surcoat_cloak|Sobretudo de Líder de Gondor
itm_gondor_ranger_hood|Capuz Verde
itm_gondor_ranger_hood_mask|Capuz de Guardião de Gondor
itm_gondor_light_greaves|Grevas de Couro Gondorianas
itm_gondor_med_greaves|Grevas Médias Gondorianas
itm_gondor_heavy_greaves|Grevas de Malha Gondorianas
itm_gondor_auxila_helm|Elmo Leve de Gondor
itm_gondorian_archer_helm|Elmo de Arqueiro de Gondor
itm_tower_archer_helm|Elmo de Arqueiro da Torre
itm_gondor_leader_helm|Elmo de Nobre de Gondor
itm_tower_guard_helm|Elmo da Guarda da Torre
itm_gondor_citadel_knight_helm|Elmo de Cavaleiro da Cidadela
itm_gondor_infantry_helm|Elmo da Infantaria de Gondor
itm_gondor_knight_helm|Elmo de Cavalaria de Gondor
itm_gondor_dolamroth_helm|Elmo de Dol Amroth
itm_swan_knight_helm|Elmo de Cavaleiro Cisne
itm_gondor_lamedon_helm|Elmo de Lamedon
itm_gondor_lamedon_leader_helm|Elmo de Nobre de Lamedon
itm_blackroot_archer|Jaqueta Acolchoada Camuflada do Vale da Raiz Negra
itm_blackroot_bowman|Colete Camuflado do Vale da Raiz Negra
itm_blackroot_footman|Colete do Vale da Raiz Negra
itm_blackroot_warrior|Jaqueta Acolchoada do Vale da Raiz Negra
itm_blackroot_leader|Malha do Vale da Raiz Negra
itm_blackroot_hood|Capuz Escuro
itm_dol_hauberk|Malha de Dol Amroth
itm_dol_heavy_mail|Malha Pesada de Dol Amroth
itm_dol_padded_coat|Casaco Acolchoado de Dol Amroth
itm_dol_shirt|Camisa de Dol Amroth
itm_dol_very_heavy_mail|Malha Muito Pesada de Dol Amroth
itm_dol_greaves|Grevas de Dol Amroth
itm_dol_shoes|Botas Leves de Dol Amroth
itm_lamedon_clansman|Armadura de Clã de Lamedon
itm_lamedon_footman|Armadura de Soldado de Lamedon
itm_lamedon_knight|Armadura de Cavaleiro de Lamedon
itm_lamedon_leader_surcoat_cloak|Armadura de Líder de Lamedon
itm_lamedon_warrior|Armadura de Guerreiro de Lamedon
itm_lamedon_veteran|Armadura de Veterano de Lamedon
itm_lamedon_vet_warrior|Armadura de Guerreiro Veterano de Lamedon
itm_lamedon_hood|Capuz
itm_pinnath_archer|Armadura de Arqueiro de Pinnath Gelin
itm_pinnath_footman|Armadura de Soldado de Pinnath Gelin
itm_pinnath_leader|Armadura de Cavaleiro de Pinnath Gelin
itm_pinnath_vet_footman|Armadura de Soldado Veterano de Pinnath Gelin
itm_pinnath_warrior|Armadura de Guerreiro de Pinnath Gelin
itm_pel_footman|Armadura de Soldado de Pelargir
itm_pel_jerkin|Colete de Pelargir
itm_pel_leader|Armadura de Líder de Pelargir
itm_pel_marine|Marinho de Pelargir
itm_pelargir_marine_leader|Marinho de Líder de Pelargir
itm_pelargir_regular|Regular de Pelargir
itm_pelargir_hood|Capuz Branco
itm_pelargir_helmet_light|Elmo de Pelargir
itm_pelargir_helmet_heavy|Elmo Pesado de Pelargir
itm_pelargir_greaves|Grevas de Pelargir
itm_lossarnach_shirt|Camisa de Lossarnach
itm_lossarnach_axeman|Armadura de Lenhador de Lossarnach
itm_lossarnach_leader|Armadura de Líder de Lossarnach
itm_lossarnach_vet_axeman|Armadura de Lenhador Veterano de Lossarnach
itm_lossarnach_vet_warrior|Armadura de Guerreiro Veterano de Lossarnach
itm_lossarnach_warrior|Armadura de Guerreiro de Lossarnach
itm_lossarnach_cloth_cap|Touca de Pano de Lossarnach
itm_lossarnach_leather_cap|Touca de Couro de Lossarnach
itm_lossarnach_scale_cap|Touca de Escamas de Lossarnach
itm_lossarnach_greaves|Grevas de Lossarnach
itm_gondor_shield_a|Escudo Quadrado de Gondor
itm_gondor_shield_b|Escudo Gota de Gondor
itm_gondor_shield_c|Escudo Torre de Gondor
itm_gondor_shield_d|Escudo Gota de Gondor
itm_gondor_shield_e|Escudo da Cidadela de Gondor
itm_gon_tab_shield_a|Escudo Heráldico Redondo de Gondor
itm_gon_tab_shield_b|Escudo Heráldico Quadrado de Gondor
itm_gon_tab_shield_c|Escudo Gota Heráldico de Gondor
itm_gon_tab_shield_d|Escudo Torre Heráldico de Gondor
itm_amroth_sword_a|Espada de Dol Amroth
itm_amroth_sword_b|Espada de Cavaleiro de Dol Amroth
itm_gondor_sword|Espada de Infantaria de Gondor
itm_amroth_bastard|Espada Cisne de Dol Amroth
itm_gondor_short_sword|Espadim de Linhir
itm_pelargir_eket|Espadim de Pelargir
itm_pelargir_sword|Espada de Pelargir
itm_gondor_ranger_sword|Espada de Guardião de Gondor
itm_gondor_2h_sword|Espada de Guerra de Gondor
itm_gondor_citadel_sword|Espada da Cidadela de Gondor
itm_gondor_cav_sword|Espada da Cavalaria de Gondor
itm_gondor_spear|Lança de Gondor
itm_gondor_tower_spear|Lança da Torre de Gondor
itm_gondor_lance|Lança de Montaria de Gondor
itm_loss_axe|Machado de Batalha de Gondor
itm_loss_war_axe|Machado de Guerra de Gondor
itm_lorien_sword_a|Espada de Lorien
itm_lorien_sword_b|Espada Curta de Lorien
itm_lorien_sword_c|Espada de Guerra de Lorien
itm_lorien_archer|Armadura de Arqueiro de Lorien
itm_lorien_armor_a|Armadura Acolchoada de Lorien
itm_lorien_armor_b|Armadura de Malha de Lorien
itm_lorien_armor_c|Armadura de Escamas de Lorien
itm_lorien_boots|Botas de Lothlorien
itm_lorien_shield_b|Escudo Torre de Lorien
itm_lorien_shield_c|Escudo Gota de Lorien
itm_lorien_round_shield|Escudo Redondo de Lorien
itm_lorien_helm_a|Elmo de Arqueiro de Lorien
itm_lorien_helm_b|Elmo de Arqueiro de Lorien
itm_lorien_helm_c|Elmo de Infantaria de Lorien
itm_orc_coif2|Capacete de Orc
itm_orc_greaves|Botas de Correntes de Orc
itm_orc_ragwrap|Trapos de Orc
itm_orc_furboots|Botas de Pele de Orc
itm_orc_tribal_a|Pele Não Tratada
itm_orc_tribal_b|Pele Não Tratada
itm_orc_tribal_c|Pele Não Tratada
itm_evil_gauntlets_a|Luvas Escuras
itm_evil_gauntlets_b|Manoplas Escuras
itm_isen_orc_light_a|Arreios Leves de Orc
itm_isen_orc_light_b|Arreios Leves de Orc
itm_isen_orc_pad_a|Armadura Leve Segmentada de Orc de Isengard
itm_isen_orc_pad_b|Armadura Média Segmentada de Orc de Isengard
itm_isen_orc_mail_a|Malha de Orc de Isengard
itm_isen_orc_mail_b|Armadura Pesada Segmentada de Orc de Isengard
itm_isen_uruk_light_a|Arreios Leves de Uruk-Hai
itm_isen_uruk_light_b|Arreios de Combate de Uruk-hai
itm_isen_uruk_light_c|Arreios de Berserker de Uruk-hai
itm_isen_uruk_med_a|Armadura Leve Segmentada de Uruk-Hai
itm_isen_uruk_med_b|Malha de Uruk-Hai
itm_isen_uruk_heavy_a|Armadura Média Segmentada de Uruk-Hai
itm_isen_uruk_heavy_b|Malha Pesada de Uruk-Hai
itm_isen_uruk_heavy_c|Armadura Completa Segmentada de Uruk-Hai
itm_isen_uruk_heavy_d|Armadura de Couro de Rastreador Uruk-Hai
itm_isen_uruk_heavy_e|Armadura de Couro de Rastreador Uruk-Hai
itm_uruk_tracker_boots|Botas de Uruk Rastreador de Couro
itm_uruk_greaves|Grevas de Uruk
itm_uruk_chain_greaves|Grevas de Correntes de Uruk
itm_uruk_ragwrap|Touca de Uruk
itm_isen_orc_helm_a|Elmo de Orc de Isengard
itm_isen_uruk_helm_a|Elmo de Uruk-Hai
itm_isen_uruk_helm_d|Elmo de Uruk-Hai Capitão
itm_isen_uruk_helm_e|Elmo de Rastreador Uruk-Hai
itm_uruk_pike_b|Pique de Mordor
itm_uruk_falchion_a|Cimitarra de Uruk
itm_orc_bastard_scimitar|Grande Cimitarra de Orc
; itm_orc_cleaver_a|Orc Cleaver
itm_orc_scimitar_b|Cimitarra de Orc
itm_orc_sabre_b|Sabre de Orc
; itm_orc_mangler|Orc Mangler
itm_isengard_sword|Espada de Isengard
itm_isengard_axe|Machado de Isengard
itm_isengard_hammer|Martelo de Isengard
itm_isengard_halberd|Alabarda de Isengard
itm_isengard_mallet|Marreta de Isengard
itm_isengard_heavy_axe|Machado Pesado de Isengard
itm_isengard_heavy_sword|Espada Pesada de Isengard
itm_isengard_spear|Lança de Isengard
itm_isengard_pike|Pique de Isengard
itm_isen_orc_shield_a|Escudo de Orc de Isengard
itm_isen_orc_shield_b|Escudo de Orc de Isengard
itm_isen_uruk_shield_b|Escudo de Uruk de Isengard
itm_wood_club|Porrete de Madeira
itm_twohand_wood_club|Porrete Grande de Madeira
itm_bone_cudgel|Clava de Osso
itm_orc_pick|Picareta de Orc
itm_orc_hammer|Martelo Maligno
itm_orc_club_b|Porrete do Cavaleiro de Warg
itm_orc_club_c|Porrete Espetado de Orc
itm_orc_mace|Maça Maligna
itm_orc_sledgehammer|Marreta de Orc
itm_orc_simple_spear|Lança de Orc
itm_orc_skull_spear|Lança de Orc de Caveira
itm_orc_bill|Arma de Haste de Orc
itm_orc_slasher|Espada Curta de Orc
itm_orc_falchion|Cimitarra de Orc
itm_orc_scimitar|Cimitarra de Orc
itm_orc_sabre|Sabre de Orc
itm_orc_battle_axe|Machado de Batalha de Orc
itm_orc_axe|Machado de Orc
itm_orc_two_handed_axe|Machado Grande de Orc
itm_orc_throwing_axes|Machados de Arremesso de Orc
itm_orc_bow|Arco de Orc
itm_orc_shield_a|Escudo Simples
itm_orc_shield_b|Escudo de Pele
itm_orc_shield_c|Escudo Torre de pele
itm_mordor_orc_shield_a|Escudo de Orc de Mordor
itm_mordor_orc_shield_b|Escudo de Orc de Mordor
itm_mordor_orc_shield_c|Escudo de Orc de Mordor
itm_mordor_orc_shield_d|Escudo de Orc de Mordor
itm_mordor_orc_shield_e|Escudo de Orc de Mordor
itm_mordor_uruk_shield_a|Escudo de Uruk de Mordor
itm_mordor_uruk_shield_b|Escudo de Uruk de Mordor
itm_mordor_uruk_shield_c|Escudo de Uruk de Mordor
itm_mordor_man_shield_a|Escudo de Homem de Mordor
itm_mordor_man_shield_b|Escudo de Homem de Mordor
itm_angmar_shield|Escudo de Angmar
itm_orc_nosehelm|Elmo Nasal de Orc
itm_orc_kettlehelm|Elmo de Caldeira de Orc
itm_orc_buckethelm|Elmo de Balde Orc
itm_orc_morion|Morião de Orc
itm_orc_beakhelm|Elmo de Bico de Orc
itm_orc_bughelm|Elmo de Inseto de Orc
itm_orc_visorhelm|Elmo com Viseira de Orc
; itm_orc_coif|Evil Coif
itm_orc_skullcap|Capacete de Orc
; itm_orc_skullhelm|Orc Skullhelm
itm_orc_barbuta|Elmo Nasal de Orc
itm_m_orc_light_a|Armadura Leve de Orc de Mordor
itm_m_orc_light_b|Armadura Leve de Orc de Mordor
itm_m_orc_light_c|Armadura Leve de Orc de Mordor
itm_m_orc_light_d|Armadura Leve de Orc de Mordor
itm_m_orc_light_e|Armadura Leve de Orc de Mordor
itm_m_orc_heavy_a|Armadura Pesada de Orc de Mordor
itm_m_orc_heavy_b|Armadura Pesada de Orc de Mordor
itm_m_orc_heavy_c|Armadura Pesada de Orc de Mordor
itm_m_orc_heavy_d|Armadura Pesada de Orc de Mordor
itm_m_orc_heavy_e|Armadura Pesada de Orc de Mordor
itm_m_uruk_light_a|Arreios de Uruk
itm_m_uruk_light_b|Armadura de Couro de Uruk
itm_m_uruk_light_c|Malha Leve de Uruk
itm_m_uruk_med_a|Couro Pesado de Uruk
itm_m_uruk_med_b|Malha Pesada de Uruk
itm_m_uruk_med_c|Escamas Leves de Uruk
itm_m_uruk_heavy_a|Escamas Pesadas de Uruk
itm_m_uruk_heavy_b|Placa de Malha Uruk
itm_m_uruk_heavy_c|Placa de Malha Lugburz
itm_m_cap_armor|Armadura de Capitão de Mordor
itm_black_num_armor|Armadura de Numenoriano Negro
itm_m_armor_a|Armadura de Mordor
itm_m_armor_b|Armadura de Mordor
itm_evil_light_armor|Traje Sinistro
itm_uruk_helm_a|Elmo de Uruk
itm_uruk_helm_b|Elmo de Uruk
itm_uruk_helm_c|Elmo de Bico de Uruk
itm_uruk_helm_d|Elmo de Grade de Uruk
itm_uruk_helm_e|Elmo Máscara de Uruk
itm_uruk_helm_f|Elmo de Uruk
itm_mordor_cap_helm|Elmo de Capitão de Mordor
itm_mordor_helm|Elmo de Mordor
itm_black_num_helm|Elmo de Numenoriano Negro
itm_mordor_sword|Espada Bastarda de Mordor
itm_mordor_longsword|Espada de Mordor
itm_moria_armor_a|Arreios de Peito de Moria
itm_moria_armor_b|Armadura de Peito e Ombros de Moria
itm_moria_armor_c|Malha de Orc de Moria
itm_moria_armor_d|Armadura de Couro Aparafusado de Moria
itm_moria_armor_e|Malha Pesada de Orc de Moria
itm_moria_orc_shield_a|Escudo Grande de Moria
itm_moria_orc_shield_b|Escudo de Orc de Moria
itm_moria_orc_shield_c|Escudo de Orc de Moria
itm_gundabad_armor_a|Trapos de Orc de Gundabad
itm_gundabad_armor_b|Armadura de Pele de Orc de Gundabad
itm_gundabad_armor_c|Armadura de Orc de Gundabad
itm_gundabad_armor_d|Armadura de Orc de Gundabad
itm_gundabad_armor_e|Armadura Pesada de Orc de Gundabad
itm_gundabad_helm_a|Touca de Couro
itm_gundabad_helm_b|Elmo de Couro
itm_gundabad_helm_c|Elmo de Gundabad
itm_gundabad_helm_d|Elmo de Gundabad
itm_gundabad_helm_e|Elmo de Cavaleiro de Warg
itm_dunland_wolfboots|Botas de Lobo das Terras Pardas
itm_dunland_tunic_1|Túnica de Couro das Terras Pardas
itm_dunland_tunic_2|Túnica de Couro das Terras Pardas
itm_dunland_fur_1|Pele das Terras Pardas
itm_dunland_fur_2|Pele das Terras Pardas
itm_dunland_mail_1|Malha das Terras Pardas
itm_dunland_mail_2|Malha das Terras Pardas
itm_dunland_chieftain|Armadura do Chefe das Terras Pardas
itm_dun_helm_a|Touca de Lobo das Terras Pardas
itm_dun_helm_b|Gorro de Pele das Terras Pardas
itm_dun_helm_c|Elmo Alto das Terras Pardas
itm_dun_shield_a|Escudo Redondo das Terras Pardas
itm_dun_shield_b|Escudo Oval das Terras Pardas
itm_dun_berserker|Espada de Chefe das Terras Pardas
itm_dunnish_antler_axe|Machado de Veado das Terras Pardas
itm_dunnish_war_axe|Machado de Guerra das Terras Pardas
itm_dunnish_axe|Machado das Terras Pardas
itm_dunland_spear|Lança das Terras Pardas
itm_dunnish_pike|Pique das Terras Pardas
itm_rohan_cav_sword|Espada de Cavalaria de Rohan
itm_rohan_inf_sword|Espada de Rohan
itm_rohan_spear|Lança de Rohan
itm_rohan_lance|Lança Pesada de Rohan
itm_rohan_sword_c|Espada de Rohan
itm_rohirrim_short_axe|Machado Curto Rohirrim
itm_rohirrim_long_hafted_axe|Machado Longo Revestido Rohirrim
itm_rohan_2h_sword|Espada de Guerra de Rohan
itm_rohan_recruit|Colete Acolchoado de Rohan
itm_rohan_leather|Colete de Couro Rohan
itm_rohan_mail|Malha de Rohan
itm_rohan_rider|Armadura de Cavaleiro Rohan
itm_rohan_scale|Armadura de Escamas de Rohan
itm_rohan_surcoat|Sobretudo de Rohan
itm_rohan_guard|Armadura da Guarda de Rohan
itm_rohan_light_helmet_a|Elmo Leve de Rohan
itm_rohan_light_helmet_b|Elmo Leve de Rohan
itm_rohan_inf_helmet_a|Elmo com Protetor de Olho de Rohan
itm_rohan_inf_helmet_b|Elmo com Protetor de Olho de Rohan
itm_rohan_archer_helmet_a|Elmo Nasal de Rohan
itm_rohan_archer_helmet_b|Elmo Nasal de Rohan
itm_rohan_archer_helmet_c|Elmo da Guarda Rohan
itm_rohan_shield_a|Escudo de Rohan
itm_rohan_shield_b|Escudo de Rohan
itm_rohan_shield_c|Escudo de Rohan
itm_rohan_shield_d|Escudo de Rohan
itm_rohan_shield_e|Escudo de Rohan
itm_rohan_shield_f|Escudo de Rohan
itm_rohan_shield_g|Escudo Real de Rohan
itm_rohan_light_greaves|Grevas Leves de Rohan
itm_rohirrim_war_greaves|Grevas de Guerra Rohirrim
itm_mirkwood_leather|Armadura de Couro de Elfo Silvestre
itm_mirkwood_pad|Sobretudo Acolchoado da Floresta Verde
itm_mirkwood_mail|Malha da Floresta Verde
itm_mirkwood_scale|Escamas Leves da Floresta Verde
itm_mirkwood_heavy_scale|Escamas de Folha da Floresta Verde
itm_mirkwood_sword|Espada de Elfo Silvestre
itm_mirkwood_great_spear|Lança Grande da Floresta Verde
itm_mirkwood_war_spear|Lança de Guerra da Floresta Verde
itm_mirkwood_short_spear|Lança de Elfo Silvestre
itm_mirkwood_knife|Punhal de Elfo Silvestre
itm_mirkwood_axe|Machado de Elfo Silvestre
itm_mirkwood_spear_shield_a|Escudo de Elfo Silvestre
itm_mirkwood_spear_shield_b|Escudo de Guerra da Floresta Verde
itm_mirkwood_spear_shield_c|Escudo Redondo de Elfo Silvestre
itm_mirkwood_helm_a|Elmo de Arqueiro Elfo Silvestre
itm_mirkwood_helm_b|Elmo da Floresta Verde
itm_mirkwood_helm_c|Elmo Pesado da Floresta Verde
itm_mirkwood_helm_d|Elmo Real da Floresta Verde
itm_woodelf_leather_boots|Botas de Couro de Elfo da Floresta
itm_mirkwood_boots|Botas da Floresta Verde
itm_harad_tunic|Túnica de Harad
itm_harad_padded|Colete Acolchoado de Harad
itm_harad_lamellar|Colete de Escamas de Harad
itm_harad_heavy_lamellar|Colete de Escamas Pesadas de Harad
itm_harad_heavy|Armadura de Harasjala
itm_harad_pectoral|Peitoral de Harad
itm_black_snake_armor|Armadura Maranka
itm_harad_champion|Traje de Distante Harad
itm_harad_scale|Armadura de Escamas de Harad
itm_harad_lion_scale|Armadura de Guarda Leão
itm_harad_dragon_helm|Elmo Kiloka
itm_harad_cav_helm_a|Elmo Leve de Harondor
itm_harad_cav_helm_b|Elmo Leve de Harondor
itm_black_snake_helm|Elmo Maranka
itm_harad_finhelm|Elmo Pesado de Soldado Harad
itm_harad_heavy_inf_helm|Elmo de Soldado Harad
itm_harad_wavy_helm|Elmo Cônico Harad
itm_harad_eaglehelm|Elmo de Guarda Águia
itm_lion_helm|Elmo de Guarda Leão
itm_harad_pantherhelm|Touca de Guarda Pantera
itm_harad_khopesh|Khopesh de Harad
itm_black_snake_sword|Espada Cobra de Harad
itm_harad_heavy_sword|Espada Dragão de Harad
itm_horandor_a|Cimitarra de Harad
itm_skirmisher_sword|Espada de Escaramuçador de Harad
itm_harad_sabre|Espada Salamandra de Harad
itm_harad_mace|Maça da Distante Harad
itm_far_harad_2h_mace|Maça de Duas Mãos da Distante Harad
itm_harad_dagger|Faca de Harad
itm_harad_short_spear|Lança Curta de Harad
itm_harad_long_spear|Lança de Harad
itm_eagle_guard_spear|Lança de Guarda Águia
itm_harad_long_shield_a|Escudo Leopardo de Harad
itm_harad_long_shield_b|Escudo de Bronze de Harad
itm_harad_long_shield_c|Escudo Sol de Harad
itm_harad_long_shield_d|Escudo Serpente de Harad
itm_harad_long_shield_e|Escudo Serpente de Harad
itm_harad_shield_a|Escudo de Harondor
itm_harad_shield_b|Broquel de Harondor
itm_harad_shield_c|Broquel de Harondor
itm_harad_yellow_shield|Escudo de Harad
itm_desert_boots|Botas de Deserto
itm_harad_leather_greaves|Grevas de Couro de Harad
itm_harad_scale_greaves|Grevas de Harad
itm_harad_lamellar_greaves|Grevas com Talas de Harad
itm_camel|Camelo Harad
itm_khand_inf_helm_a|Elmo de Khand
itm_khand_inf_helm_b|Elmo de Khand
itm_khand_inf_helm_c1|Elmo Tigela de Khand
itm_khand_inf_helm_c2|Elmo Tigela de Khand
itm_khand_inf_helm_d|Elmo Cone de Khand
itm_khand_cav_helm_a|Elmo de Cavaleiro Khand
itm_khand_cav_helm_b|Elmo de Cavaleiro Khand
