str_yes|Sim.
str_tutorial_2_msg_9|Parabéns! Você aprendeu a se defender com um escudo e até teve seu primeiro contato com o combate contra oponentes armados. Pratique um pouco mais e logo você se tornará um espadachim renomado. O próximo tutorial aborda a defesa direcional, um dos elementos mais importantes do combate Mount&Blade. Você pode pressionar a tecla Tab a qualquer momento para retornar ao menu do tutorial.
str_tutorial_3_msg_1|Este tutorial tem como objetivo fornecer uma visão geral sobre aparar e defender sem escudo. Aparar ataques com sua arma é um pouco mais difícil do que bloqueá-los com um escudo. Quando você está se defendendo com uma arma, você só está protegido de uma direção, a direção em que sua arma está posicionada. Se você estiver bloqueando para cima, aparará quaisquer golpes de cima que venham contra você, mas não impedirá estocadas ou ataques pelas laterais. Qualquer um desses ataques ainda poderá atingi-lo. É por isso que, para sobreviver sem escudo, você deve aprender defesa direcional. Pegue o machado agora para começar a praticar.
str_tutorial_3_msg_2|Por padrão, a direção na qual você se defende (clicando e segurando o botão direito do mouse) é determinada pela direção do ataque do seu oponente mais próximo. Por exemplo, se o seu oponente estiver preparando um ataque de estocada, pressionar e segurar o botão direito do mouse irá aparar ataques de estocada, mas não ataques laterais ou aéreos. Você deve observar seu oponente com atenção e só iniciar sua defesa DEPOIS que o inimigo começar a atacar. Se você começar ANTES que ele prepare um ataque, você pode aparar na direção errada! Agora é hora de você passar para a próxima sala, onde você terá que se defender contra um oponente armado. Sua tarefa é se defender com sucesso por trinta segundos sem nenhum equipamento além de um simples machado. Os ataques do seu machado estão desabilitados neste tutorial, então não se preocupe em atacar e concentre-se na sua defesa. Passe para a próxima sala quando estiver pronto para iniciar a luta.
str_tutorial_3_msg_3|Pressione e segure o botão direito do mouse para se defender com o machado depois que o oponente iniciar o ataque. Tente permanecer em pé por trinta segundos. Você tem {reg3} segundos restantes.
str_tutorial_3_msg_4|Parabéns, você passou neste desafio! Agora você enfrentará um oponente mais desafiador, que tornará as coisas ainda mais difíceis para você. Passe para a próxima sala quando estiver pronto para enfrentá-lo.
str_tutorial_3_msg_5|Pressione e segure o botão direito do mouse para se defender com o machado depois que o oponente iniciar o ataque. Tente permanecer em pé por trinta segundos. Você tem {reg3} segundos restantes.
str_tutorial_3_msg_6|Parabéns, você ainda está de pé, apesar dos esforços do inimigo. Agora é hora de atacar e defender. Aproxime-se da porta e pressione a tecla F quando vir a palavra "Ir".
str_tutorial_3_2_msg_1|Os ataques do seu machado foram habilitados novamente. Seu primeiro oponente está esperando na sala ao lado. Derrote-o com uma combinação de ataque e defesa.
str_tutorial_3_2_msg_2|Derrote seu oponente com seu machado.
str_tutorial_3_2_msg_3|Excelente. Agora, a única coisa no seu caminho é um último oponente. Ele está na sala ao lado. Entre e derrube-o.
str_tutorial_3_2_msg_4|Derrote seu oponente com seu machado.
str_tutorial_3_2_msg_5|Parabéns! Neste tutorial, você aprendeu a lutar habilmente sem escudo. Treine bastante e bem, e ninguém conseguirá lhe dar um golpe. No próximo tutorial, você poderá aprender equitação e combate de cavalaria. Você pode pressionar a tecla Tab a qualquer momento para retornar ao menu do tutorial.
str_tutorial_4_msg_1|Bem-vindo ao quarto tutorial. Nesta sequência, você aprenderá a montar em um cavalo/warg e a realizar diversos exercícios marciais a cavalo. Começaremos montando você. Aproxime-se do cavalo e pressione a tecla "F" ao ver a palavra "Mount" (Montar).
str_tutorial_4_msg_2|Enquanto estiver a cavalo, as teclas WASD controlam o movimento do seu cavalo, não o seu. Monte seu cavalo e tente seguir a bandeira ao longo do percurso. Ao chegar à bandeira, ela se moverá para o próximo ponto de referência no percurso até você chegar à linha de chegada.
str_tutorial_4_msg_3|Muito bom. Em seguida, abordaremos como atacar inimigos a cavalo. Aproxime-se da bandeira agora.
str_tutorial_4_msg_4|Saque sua espada (usando a roda do mouse) e destrua os quatro alvos. Tente acertar os bonecos ao passar por eles a galope — isso representa um desafio extra, mas a velocidade adicional adicionada ao seu golpe permitirá que você cause mais dano. A maneira mais fácil de fazer isso é pressionar e segurar o botão esquerdo do mouse até o momento certo, soltando-o pouco antes de passar pelo alvo.
str_tutorial_4_msg_5|Ótimo trabalho. Agora vamos tentar um pouco de tiro ao alvo a cavalo. Chegue perto da bandeira agora.
str_tutorial_4_msg_6|Localize o alvo de arco e flecha ao lado da pista de equitação e atire três vezes com o arco. Embora não seja obrigatório montar enquanto atira, é recomendável tentar acertar o alvo em várias velocidades e ângulos para ter uma ideia de como a velocidade e a pista do seu cavalo afetam sua mira.
str_tutorial_4_msg_7|Parabéns, você concluiu este tutorial. Você pode pressionar a tecla Tab a qualquer momento para retornar ao menu do tutorial.
str_tutorial_5_msg_1|Bem-vindo ao quinto e último tutorial, que oferece uma breve visão geral de como comandar tropas em batalha, um dos aspectos mais importantes de Mount & Blade.^^O primeiro menu de comandos que você precisa aprender são os comandos de movimento, que podem ser encontrados pressionando a tecla F1. Pressione-a agora e explore as diversas opções de movimento que você pode dar às suas tropas em batalha.^^Para este primeiro passo, comande suas tropas para segui-lo e subir a colina onde estão a bandeira e o ponteiro.
str_tutorial_5_msg_2|Excelente. Suas tropas o seguiram morro acima. Agora você tem uma boa visão do campo de batalha.^^Desta vez, peça às suas tropas para segurarem este morro pressionando o menu de comando F1 novamente e selecionando Manter esta Posição (F1).^^Depois de fazer isso, você notará que suas tropas param de segui-lo e seguram a posição que você pediu.^^Este é um bom momento para aprender o segundo menu de comando, que gira em torno das formações básicas das tropas.^^Este menu permite que você comande suas tropas para cerrar suas fileiras, para resistir a ataques de infantaria ou se espalhar para resistir a salvas de arqueiros.^^Comandar suas tropas para avançar ou recuar dez passos usando este menu de comando permite que suas tropas se movam enquanto mantêm sua formação.^^Depois de explorar as diferentes opções, mantenha suas tropas segurando este morro e mova-se sozinhas em direção ao morro oposto, onde estão a bandeira e o ponteiro.
str_tutorial_5_msg_3|Ótimo. Como você pode ver, sua infantaria está resistindo onde você pediu. Agora, vá em direção ao moinho de vento sozinho.
str_tutorial_5_msg_4|Agora você tem arqueiros se juntando ao seu comando. Em Mount & Blade, você pode dar comandos separados para divisões específicas de tropas, como infantaria, arqueiros e cavalaria.^^Pressionar as teclas numéricas escolherá a divisão de sua escolha (1 para Infantaria, 2 para Arqueiros, 3 para Cavalaria). Você pode então usar os menus de comando que aparecem para comandar a divisão específica.^^Observe que a escolha persistirá e pressionar qualquer um dos menus de comando (F1, F2, F3) será para a última divisão escolhida. Leia as mensagens que aparecem na tela para ver qual divisão está sendo comandada.^^Agora, peça à sua Infantaria para segui-lo e, em seguida, peça aos seus Arqueiros para segui-lo também. Quando todos estiverem juntos, volte para a colina de onde você veio.^^Uma vez lá, procure o ponteiro e comande sua infantaria para se mover e segure lá pressionando 1 e, em seguida, segurando a tecla F1 para revelar um estandarte. Você pode usar isso para mover suas tropas em um local preciso de sua escolha.^^Peça aos seus arqueiros para se moverem em direção à bandeira atrás do ponteiro e em terreno alto.
str_tutorial_5_msg_5|Seus homens estão em posição, os inimigos se reuniram e estão avançando em sua direção. Use o que aprendeu para manobrar sua infantaria para frente em formação ou peça para eles atacarem. A investida rompe todas as formações e move suas tropas em direção aos inimigos mais próximos.^^Você também pode manter seus arqueiros acima do solo para uma melhor posição de observação ou pedir para eles se moverem para outro lugar.^^Você também pode pressionar F3 para revelar o terceiro menu de comandos e aprender sobre as diferentes ordens de armas que você pode dar às suas tropas.
str_tutorial_5_msg_6|Excelente! Você completou sua primeira batalha de campo em Mount & Blade. O comando inteligente de suas tropas em batalha é fundamental para o seu sucesso como comandante. Certifique-se de aprender as diferentes maneiras de mover suas tropas em posições vantajosas.^^Em Os Últimos Dias da Terceira Era, existem formações complexas para manobras mais avançadas, como Muralha de Escudos de Infantaria e Cunhas de Cavalaria. Você pode aprender mais sobre isso no jogo.^^Você pode pressionar TAB a qualquer momento para sair do tutorial.
str_trainer_help_1|Este é um campo de treinamento onde você pode aprender o básico do jogo. Use as teclas A, S, D e W para se mover e o mouse para olhar ao redor.
str_trainer_help_2|Para falar com o treinador, aproxime-se dele, olhe para ele e pressione a tecla "F" ao ver a palavra "Talk" abaixo do nome dele. Quando quiser sair desta ou de qualquer outra área ou recuar de uma batalha, pressione a tecla TAB.
str_custom_battle_1|Angbor, o Destemido, e sua companhia de Gondor interceptaram um grupo de reforços de Harad. Gritando seu grito de guerra, ele esporeia seu cavalo e lidera seus homens leais para uma batalha feroz.
str_custom_battle_2|Celeborn, de Lórien, lidera uma patrulha de cavaleiros e arqueiros quando um vigia à frente traz um aviso de que uma força de homens malignos com rostos acinzentados se aproxima. São os temidos Númenorianos Negros! Eles não eram vistos perto de Lothlórien há séculos, mas agora precisam ser expulsos de volta para o mundo do nunca.
str_custom_battle_3|Lorde Grimbold de Rohan lidera a última defesa das muralhas contra um exército de Isengard. Agora, enquanto os sitiantes se preparam para um ataque final às muralhas, ele precisa defendê-las com coragem e aço brilhante.
str_custom_battle_4|Quando os batedores informam Lorde Beranhelm sobre a aproximação de um bando de guerra Rhun, ele decide preparar rapidamente as defesas de seu acampamento e tentar resistir a números superiores.
str_custom_battle_5|Ugluk trouxe seus ferozes orcs para o oeste com a promessa de saques. Se ele conseguir fazer esta fortaleza dos anões cair hoje, seus mestres em Barad-Dur ficarão imensamente satisfeitos.
str_custom_battle_6|Ugluk e seu esquadrão de invasores orcs estavam tão ansiosos quanto possível para escapar das patrulhas élficas. Mas a sorte de alguém pode não durar para sempre, e parece que os peles-pálidas imundos terão sua parte agora.
str_custom_battle_7|Os Cosario\ns montaram acampamento nas costas de Gondor! Como ousam? Vamos atacá-los antes que recebam reforços e os expulsem para o mar, que é o seu lugar.
str_finished|(Finalizado)
str_delivered_damage|Causou {reg60} de dano.
str_archery_target_hit|Distância: {reg61} jardas. Pontuação: {reg60}
str_use_baggage_for_inventory|Use sua bagagem para acessar seu inventário durante a batalha (ela fica na sua posição inicial).
str_cant_use_inventory_now|Não é possível acessar o inventário agora.
str_cant_use_inventory_arena|Não é possível acessar o inventário na arena.
str_cant_use_inventory_disguised|Não é possível acessar o inventário enquanto você estiver disfarçado.
str_cant_use_inventory_tutorial|Não é possível acessar o inventário no campo de treinamento.
str_1_denar|1 Ponto de Recurso
str_reg1_denars|{reg1} Pontos de Recursos
str_january_reg1_reg2|T.A.{reg2} Narvinyë {reg1} (Janeiro)
str_february_reg1_reg2|T.A.{reg2}, Nénimë {reg1} (Fevereiro)
str_march_reg1_reg2|T.A.{reg2}, Súlìmë {reg1} (Março)
str_april_reg1_reg2|T.A.{reg2}, Víressë {reg1} (Abril)
str_may_reg1_reg2|T.A.{reg2}, Lótessë {reg1} (Maio)
str_june_reg1_reg2|T.A.{reg2}, Náríë {reg1} (Junho)
str_july_reg1_reg2|T.A.{reg2}, Cermië {reg1} (Julho)
str_august_reg1_reg2|T.A.{reg2}, Urimë {reg1} (Agosto)
str_september_reg1_reg2|T.A.{reg2}, Yavannië {reg1} (Setembro)
str_october_reg1_reg2|T.A.{reg2}, Narquelië {reg1} (Outubro)
str_november_reg1_reg2|T.A.{reg2}, Hísimë {reg1} (Novembro)
str_december_reg1_reg2|T.A.{reg2}, Ringarë {reg1} (Dezembro)
str_calendar_spec_day_1|T.A.{reg2}, Yestarë (Primeiro Dia)
str_calendar_spec_day_2|T.A.{reg2}, Tuilérë (Dia de Primavera)
str_calendar_spec_day_3|T.A.{reg2}, Loëndë (Dia-do-meio-do-ano)
str_calendar_spec_day_4|T.A.{reg2}, Yáviér (Dia da Colheita)
str_calendar_spec_day_5|T.A.{reg2}, Mettarë (Último Dia)
str_town_nighttime|É tarde da noite.
str_door_locked|A porta está trancada.
str_castle_is_abondened|O castelo parece estar desocupado.
str_town_is_abondened|A cidade não tem guarnição para defendê-la.
str_place_is_occupied_by_player|O lugar é ocupado por suas próprias tropas.
str_place_is_occupied_by_enemy|O local é ocupado por tropas hostis.
str_place_is_occupied_by_friendly|O local é ocupado por tropas amigas.
str_do_you_want_to_retreat|Tem certeza de que deseja recuar?
str_give_up_fight|Desistir da luta?
str_do_you_wish_to_leave_tutorial|Você deseja sair do tutorial?
str_do_you_wish_to_surrender|Você deseja se render?
str_can_not_retreat|Não é possível recuar, há inimigos por perto!
str_s1_joined_battle_enemy|{s1} juntou-se à batalha do lado inimigo.
str_s1_joined_battle_friend|{s1} se juntou à batalha ao seu lado.
str_entrance_to_town_forbidden|Os guardas da cidade estão atentos a intrusos e parece que você não conseguirá passar pelos portões sem ser percebido.
str_sneaking_to_town_impossible|Os guardas da cidade estão alarmados. Você não conseguiria passar por aquele portão, não importa o quão bem disfarçado esteja.
str_battle_won|Você venceu a batalha!
str_battle_lost|Você perdeu a batalha!
str_player_down|Você foi nocauteado, mas suas tropas continuam lutando!
str_attack_walls_success|Após uma luta sangrenta, seus bravos soldados conseguem tomar as muralhas do inimigo.
str_attack_walls_failure|Seus soldados caem em ondas enquanto atacam as muralhas, e os poucos que permanecem vivos logo debandam e fogem, para nunca mais serem vistos.
str_attack_walls_continue|Uma batalha sangrenta se inicia e ambos os lados lutam com igual bravura. Apesar dos esforços de suas tropas, o castelo permanece em poder do inimigo.
str_order_attack_success|Seus homens lutam bravamente e derrotam o inimigo.
str_order_attack_failure|Você assiste à batalha em desespero enquanto o inimigo abate seus soldados e então expulsa facilmente os poucos sobreviventes esfarrapados.
str_order_attack_continue|Apesar de uma longa escaramuça, suas tropas não conseguiram uma vitória decisiva.
str_join_order_attack_success|Seus homens lutam bem ao lado de seus aliados, compartilhando a glória enquanto seus inimigos são derrotados.
str_join_order_attack_failure|Você assiste à batalha em desespero enquanto o inimigo abate seus soldados e então expulsa facilmente os poucos sobreviventes esfarrapados.
str_join_order_attack_continue|Apesar de uma longa batalha, nem suas tropas nem seus aliados conseguiram uma vitória decisiva sobre o inimigo.
str_siege_defender_order_attack_success|Os homens da guarnição defendem seus muros com habilidade e coragem, interrompendo o ataque inimigo e habilmente transformando a derrota em uma debandada completa.
str_siege_defender_order_attack_failure|O ataque rapidamente se transforma em um banho de sangue. Os esforços valentes são em vão; a guarnição, superada, não consegue segurar as muralhas, e o inimigo passa todos os defensores ao fio da espada.
str_siege_defender_order_attack_continue|Tentativas repetidas e sangrentas contra as muralhas não conseguem ganhar terreno, mas ainda há muitos inimigos para os defensores reivindicarem uma vitória verdadeira. O cerco continua.
str_hero_taken_prisoner|{s1} de {s3} foi feito prisioneiro por {s2}.
str_hero_freed|{s1} de {s3} foi libertado do cativeiro por {s2}.
str_center_captured|{s2} capturou {s1} de {s3}!
str_troop_relation_increased|Sua relação com {s1} aumentou de {reg1} para {reg2}.
str_troop_relation_detoriated|Seu relacionamento com {s1} piorou de {reg1} para {reg2}.
str_faction_relation_increased|Sua relação com {s1} aumentou de {reg1} para {reg2}.
str_faction_relation_detoriated|Seu relacionamento com {s1} piorou de {reg1} para {reg2}.
str_party_gained_morale|Seu grupo ganha {reg1} de moral.
str_party_lost_morale|Seu grupo perde {reg1} de moral.
str_qst_follow_spy_noticed_you|O espião te viu! Ele está fugindo!
str_father|pai
str_husband|marido
str_wife|esposa
str_daughter|filha
str_mother|mãe
str_son|filho
str_brother|irmão
str_sister|irmã
str_he|Ele
str_she|Ela
str_s3s_s2|{s3} de {s2}
str_s5_is_s51|{s5} é {s51}.
str_s5_is_the_ruler_of_s51|{s5} é o governante de {s51}.
str_s5_is_a_nobleman_of_s6|{s5} é um nobre de {s6}.
str_relation_mnus_100|Anseia por vingança
str_relation_mnus_90|Quer muito vingança
str_relation_mnus_80|Quer vingança
str_relation_mnus_70|Odeia muito
str_relation_mnus_60|Odeia
str_relation_mnus_50| Hostil
str_relation_mnus_40|  Nervoso
str_relation_mnus_30|    Ressentido
str_relation_mnus_20|      Descontente
str_relation_mnus_10|        Desconfiado
str_relation_plus_0|         Indiferente
str_relation_plus_10|          Cooperativo
str_relation_plus_20|           Acolhedor
str_relation_plus_30|            Favorável
str_relation_plus_40|             Solidário
str_relation_plus_50|              Amigável
str_relation_plus_60|               Amavel
str_relation_plus_70|                 Afeiçoado
str_relation_plus_80|                  Leal
str_relation_plus_90|                   Devoto
str_relation_mnus_100_ns|{s60} Anseia por vingança contra você.
str_relation_mnus_90_ns|{s60} quer muito vingança contra você.
str_relation_mnus_80_ns|{s60} quer vingança contra você.
str_relation_mnus_70_ns|{s60} te odeia muito.
str_relation_mnus_60_ns|{s60} te odeia.
str_relation_mnus_50_ns|{s60} é hostil a você.
str_relation_mnus_40_ns|{s60} está com raiva de você.
str_relation_mnus_30_ns|{s60} está ressentido com você.
str_relation_mnus_20_ns|{s60} está descontente com você.
str_relation_mnus_10_ns|{s60} desconfia de você.
str_relation_plus_0_ns|{s60} é indiferente a você.
str_relation_plus_10_ns|{s60} é cooperativo com você.
str_relation_plus_20_ns|{s60} é acolhedor para você.
str_relation_plus_30_ns|{s60} é favorável a você.
str_relation_plus_40_ns|{s60} é solidário com você.
str_relation_plus_50_ns|{s60} é amigável com você.
str_relation_plus_60_ns|{s60} é gentil com você.
str_relation_plus_70_ns|{s60} gosta de você.
str_relation_plus_80_ns|{s60} é leal a você.
str_relation_plus_90_ns|{s60} é dedicado a você.
str_relation_reg1| Relação: {reg1}
str_center_relation_mnus_100|O povo te odeia com paixão
str_center_relation_mnus_90|O povo te odeia intensamente
str_center_relation_mnus_80|O povo te odeia fortemente
str_center_relation_mnus_70|O povo te odeia
str_center_relation_mnus_60|O povo é odioso com você
str_center_relation_mnus_50|O povo é extremamente hostil a você
str_center_relation_mnus_40|O povo é muito hostil a você
str_center_relation_mnus_30|O povo é hostil com você
str_center_relation_mnus_20|O povo está contra você
str_center_relation_mnus_10|O povo se opõe a você
str_center_relation_plus_0|O povo é indiferente a você
str_center_relation_plus_10|O povo te aceita
str_center_relation_plus_20|O povo é cooperativo com você
str_center_relation_plus_30|O povo te apoia algumas vezes
str_center_relation_plus_40|O povo te apoia
str_center_relation_plus_50|O povo te apoia muito
str_center_relation_plus_60|O povo é leal a você
str_center_relation_plus_70|O povo é muito leal a você
str_center_relation_plus_80|O povo é devoto a você
str_center_relation_plus_90|O povo é devoto a você ardentemente
str_town_prosperity_0|A pobreza da cidade de {s60} é indescritível
str_town_prosperity_10|A miserável cidade de {s60} está praticamente deserta.
str_town_prosperity_20|A cidade de {s60} parece um lugar miserável e desolado.
str_town_prosperity_30|A cidade de {s60} parece pobre e negligenciada.
str_town_prosperity_40|cidade de {s60} parece estar passando por dificuldades.
str_town_prosperity_50|A cidade de {s60} parece normal.
str_town_prosperity_60|A cidade de {s60} parece estar florescendo.
str_town_prosperity_70|A próspera cidade de {s60} está fervilhando de atividade.
str_town_prosperity_80|A cidade de {s60} parece rica e bem conservada.
str_town_prosperity_90|A cidade de {s60} é rica e cheia de pessoas de bem.
str_town_prosperity_100|A brilhante cidade de {s60} ostenta abertamente sua grande riqueza.
str_village_prosperity_0|A pobreza da vila de {s60} é indescritível.
str_village_prosperity_10|A vila de {s60} parece lamentavelmente pobre e miserável.
str_village_prosperity_20|A aldeia de {s60} parece muito pobre e desolada.
str_village_prosperity_30|A vila de {s60} parece pobre e negligenciada.
str_village_prosperity_40|A aldeia de {s60} parece ser um tanto pobre e passar por dificuldades.
str_village_prosperity_50|A aldeia de {s60} parece normal.
str_village_prosperity_60|A aldeia de {s60} parece estar florescendo.
str_village_prosperity_70|A vila de {s60} parece estar prosperando.
str_village_prosperity_80|A vila de {s60} parece rica e bem conservada.
str_village_prosperity_90|A vila de {s60} parece muito rica e próspera.
str_village_prosperity_100|A vila de {s60}, cercada por vastos campos férteis, parece imensamente rica.
str_war_report_minus_4|estamos prestes a perder a guerra
str_war_report_minus_3|a situação parece difícil
str_war_report_minus_2|as coisas não estão indo muito bem para nós
str_war_report_minus_1|nós ainda podemos vencer a guerra se nos reagruparmos
str_war_report_0|estamos em igualdade com o inimigo
str_war_report_plus_1|temos uma boa chance de vencer a guerra
str_war_report_plus_2|as coisas estão indo muito bem
str_war_report_plus_3|não teríamos dificuldade em derrotá-los
str_war_report_plus_4|estamos prestes a vencer a guerra
str_persuasion_summary_very_bad|Você tenta ao máximo persuadir {s50}, mas nenhum dos seus argumentos parece funcionar. Toda vez que você começa a fazer sentido, parece dizer algo completamente errado que o desvia do assunto. Quando termina de falar, você não conseguiu formar um único ponto coerente a seu favor e percebe que tudo o que fez foi se afundar ainda mais. Sem surpresa, {s50} não parece impressionado.
str_persuasion_summary_bad|Você tenta persuadir {s50}, mas {reg51?ela:ele} te engana desde o início. Até seus melhores argumentos soam vazios aos seus ouvidos. {s50}, da mesma forma, não formou uma opinião muito boa sobre o que você disse.
str_persuasion_summary_average|{s50} acaba se revelando um orador habilidoso e com uma mente perspicaz, e você não consegue apresentar nada concreto que {reg51?ela:ele} não possa contrapor com um argumento racional. No final, nenhum de vocês consegue ganhar terreno nesta discussão.
str_persuasion_summary_good|Com raciocínio rápido e argumentação fluida, você consegue expor bem o seu caso, forçando {s50} a ceder em vários pontos. No entanto, {reg51?ela:ele} ainda expressa dúvidas sobre o seu pedido.
str_persuasion_summary_very_good|Você faz um discurso apaixonado que ecoa por todos os ouvidos como poesia. O próprio mundo parece se aquietar para ouvi-lo melhor. As palavras inspiradoras o tocaram profundamente, e ele parece muito mais disposto a ajudá-lo.
str_name_1|Adanedhel
str_name_2|Ondoher
str_name_3|Aerandir
str_name_4|Agarwaen
str_name_5|Ailinel
str_name_6|Aldarion
str_name_7|Almarian
str_name_8|Amandil
str_name_9|Amlaith
str_name_10|Anardil
str_name_11|Anborn
str_name_12|Andróg
str_name_13|Angbor
str_name_14|Arador
str_name_15|Araglas
str_name_16|Arahael
str_name_17|Arantar
str_name_18|Arassuil
str_name_19|Alcarin
str_name_20|Belegund
str_name_21|Bereg
str_name_22|Bergil
str_name_23|Borthand
str_name_24|Ceorl
str_name_25|Ciryon
str_name_26|Damrod
str_name_27|Derufin
str_name_28|Dorlas
str_name_29|Duilin
str_name_30|Duinhir
str_name_31|Egalmoth
str_name_32|Emeldir
str_name_33|Eradan
str_name_34|Erellont
str_name_35|Erendis
str_name_36|Falathar
str_name_37|Fengel
str_name_38|Forweg
str_name_39|Frumgar
str_name_40|Fuinur
str_name_41|Galdor
str_name_42|Gethron
str_name_43|Gorlim
str_name_44|Grithnir
str_name_45|Gundor
str_name_46|Hador
str_name_47|Haldar
str_name_48|Hallacar
str_name_49|Hathol
str_name_50|Herion
str_name_51|Hild
str_name_52|Hunthor
str_name_53|Imlach
str_name_54|Ioreth
str_name_55|Ivorwen
str_name_56|Labadal
str_name_57|Larnach
str_name_58|Magor
str_name_59|Mairen
str_name_60|Malach
str_name_61|Malantur
str_name_62|Malvegil
str_name_63|Mardil
str_name_64|Meneldur
str_name_65|Minalcar
str_name_66|Minohtar
str_name_67|Ondoher
str_name_68|Orleg
str_name_69|Orodreth
str_name_70|Ostoher
str_name_71|Pelendur
str_name_72|Ragnor
str_name_73|Sador
str_name_74|Súrion
str_name_75|Thorongil
str_name_76|Turambar
str_name_77|Ulfast
str_name_78|Ulwarth
str_name_79|Valacar
str_name_80|Wulf
