trp_unarmed_troop|Tropa desarmada
trp_rhun_light_cavalry|Soldado de Cavalaria Leve de Rhun
trp_rhun_light_cavalry_pl|Cavalaria Leve de Rhun
trp_rhun_noble_cavalry|Soldado de Cavalaria Nobre de Rhun
trp_rhun_noble_cavalry_pl|Cavalaria Nobre de Ruhn
trp_rhun_heavy_noble_cavalry|Cavaleiro Nobre Pesado de Rhun
trp_rhun_heavy_noble_cavalry_pl|Cavalaria Pesada Nobre de Ruhn
trp_dorwinion_noble_of_rhun|Nobre Dorwiniano de Ruhn
trp_dorwinion_noble_of_rhun_pl|Nobres Dorwinianos de Ruhn
trp_i1_dwarven_apprentice|Anão Aprendiz
trp_i1_dwarven_apprentice_pl|Anões Aprendizes
trp_i2_dwarven_warrior|Anão Guerreiro
trp_i2_dwarven_warrior_pl|Anões Guerreiros
trp_i3_dwarven_hardened_warrior|Anão Guerreiro Endurecido
trp_i3_dwarven_hardened_warrior_pl|Anões Guerreiros Endurecidos
trp_i4_dwarven_spearman|Anão Lanceiro
trp_i4_dwarven_spearman_pl|Anões Lanceiros
trp_i5_dwarven_pikeman|Anão Lanceiro de Elite
trp_i5_dwarven_pikeman_pl|Anões Lanceiros de Elite
trp_i6_dwarven_longpikeman|Anão Pique Longo
trp_i6_dwarven_longpikeman_pl|Anões Pique Longo
trp_i4_dwarven_axeman|Anão Guerreiro com Machado
trp_i4_dwarven_axeman_pl|Anões Guerreiros com Machado
trp_i5_dwarven_expert_axeman|Anão Guerreiro com Machado Experiente
trp_i5_dwarven_expert_axeman_pl|Anões Guerreiros com Machado Experientes
trp_i6_longbeard_axeman|Anão Barba Longa Guerreiro com Machado
trp_i6_longbeard_axeman_pl|Anões Barba Longa Guerreiros com Machado
trp_a2_dwarven_lookout|Anão Vigia
trp_a2_dwarven_lookout_pl|Anões Vigias
trp_a3_dwarven_scout|Anão Batedor
trp_a3_dwarven_scout_pl|Anões Batedores
trp_a4_dwarven_bowman|Anão Arqueiro
trp_a4_dwarven_bowman_pl|Anões Arqueiros
trp_i6_dwarven_longaxeman|Anão de Machado Longo
trp_i6_dwarven_longaxeman_pl|Anões de Machado Longo
trp_i3_iron_hills_warrior|Guerreiro de Colinas de Ferro
trp_i3_iron_hills_warrior_pl|Guerreiros de Colinas de Ferro
trp_i2_iron_hills_miner|Minerador de Colinas de Ferro
trp_i2_iron_hills_miner_pl|Mineradores de Colinas de Ferro
trp_i4_iron_hills_infantry|Infantaria Colinas de Ferro
trp_i4_iron_hills_infantry_pl|Infantaria Colinas de Ferro
trp_i5_iron_hills_battle_infantry|Anão Soldado de Infataria de Batalha de Colinas de Ferro
trp_i5_iron_hills_battle_infantry_pl|Infantaria de Batalha de Colinas de Ferro
trp_i6_grors_guard|Guarda de Gror
trp_i6_grors_guard_pl|Guardas de Gror
trp_gondor_commoner|Cidadão de Gondor
trp_gondor_commoner_pl|Cidadãos de Gondor
trp_gondor_militiamen|Vigia de Gondor
trp_gondor_militiamen_pl|Vigias de Gondor
trp_footmen_of_gondor|Soldado de Gondor
trp_footmen_of_gondor_pl|Soldados de Gondor
trp_gondor_spearmen|Lanceiro de Gondor
trp_gondor_spearmen_pl|Lanceiros de Gondor
trp_gondor_veteran_spearmen|Lanceiro Veterano de Gondor
trp_gondor_veteran_spearmen_pl|Lanceiros Veteranos de Gondor
trp_guard_of_the_fountain_court|Guardião da Árvore Branca
trp_guard_of_the_fountain_court_pl|Guardas da Árvore Branca
trp_gondor_swordsmen|Espadachim de Gondor
trp_gondor_swordsmen_pl|Espadachins de Gondor
trp_gondor_veteran_swordsmen|Espadachim Veterano de Gondor
trp_gondor_veteran_swordsmen_pl|Espadachins Veteranos de Gondor
trp_swordsmen_of_the_tower_guard|Espadachim da Torre da Guarda
trp_swordsmen_of_the_tower_guard_pl|Espadachins da Torre da Guarda
trp_gondor_noblemen|Nobre de Gondor
trp_gondor_noblemen_pl|Nobres de Gondor
trp_squire_of_gondor|Escudeiro de Gondor
trp_squire_of_gondor_pl|Escudeiros de Gondor
trp_veteran_squire_of_gondor|Escudeiro Veterano de Gondor
trp_veteran_squire_of_gondor_pl|Escudeiros Veteranos de Gondor
trp_knight_of_gondor|Cavaleiro de Gondor
trp_knight_of_gondor_pl|Cavaleiros de Gondor
trp_veteran_knight_of_gondor|Cavaleiro Veterano de Gondor
trp_veteran_knight_of_gondor_pl|Cavaleiros Veteranos de Gondor
trp_knight_of_the_citadel|Cavaleiro da Cidadela
trp_knight_of_the_citadel_pl|Cavaleiros da Cidadela
trp_bowmen_of_gondor|Arqueiro de Gondor
trp_bowmen_of_gondor_pl|Arqueiros de Gondor
trp_archer_of_gondor|Arqueiro de Elite de Gondor
trp_archer_of_gondor_pl|Arqueiros de Elite de Gondor
trp_veteran_archer_of_gondor|Arqueiro de Elite Veterano de Gondor
trp_veteran_archer_of_gondor_pl|Arqueiros de Elite Veteranos de Gondor
trp_archer_of_the_tower_guard|Arqueiro da Torre da Guarda
trp_archer_of_the_tower_guard_pl|Arqueiros da Torre da Guarda
trp_steward_guard|Guarda do Regente
trp_steward_guard_pl|Guardas do Regente
trp_ranger_of_ithilien|Ranger de Ithilien
trp_ranger_of_ithilien_pl|Rangers de Ithilien
trp_veteran_ranger_of_ithilien|Ranger Veterano de Ithilien
trp_veteran_ranger_of_ithilien_pl|Rangers Veteranos de Ithilien
trp_master_ranger_of_ithilien|Ranger Mestre de Ithilien
trp_master_ranger_of_ithilien_pl|Rangers Mestres de Ithilien
trp_ithilien_leader|Capitão dos Rangers de Ithilien
trp_ithilien_leader_pl|Capitães dos Rangers de Ithilien
trp_woodsman_of_lossarnach|Camponês de Lossarnach
trp_woodsman_of_lossarnach_pl|Camponeses de Lossarnach
trp_axeman_of_lossarnach|Bárbaro de Lossarnach
trp_axeman_of_lossarnach_pl|Bárbaros de Lossarnach
trp_vet_axeman_of_lossarnach|Bárbaro Veterano de Lossarnach
trp_vet_axeman_of_lossarnach_pl|Bárbaros Veterano Lossarnach
trp_heavy_lossarnach_axeman|Bárbaro Pesado de Lossarnach
trp_heavy_lossarnach_axeman_pl|Bárbaros Pesados de Lossarnach
trp_axemaster_of_lossarnach|Bárbaro Mestre de Lossarnach
trp_axemaster_of_lossarnach_pl|Bárbaros Mestres de Lossarnach
trp_lossarnach_leader|Capitão de Lossarnach
trp_lossarnach_leader_pl|Capitães de Lossarnach
trp_pelargir_watchman|Vigia de Pelargir
trp_pelargir_watchman_pl|Vigias de Pelargir
trp_pelargir_marine|Soldado de Pelargir
trp_pelargir_marine_pl|Soldados de Pelargir
trp_pelargir_vet_marine|Soldado Veterano de Pelargir
trp_pelargir_vet_marine_pl|Marinheiros Pelargir Veteranos
trp_pelargir_infantry|Soldado de Infantaria de Pelargir
trp_pelargir_infantry_pl|Infantaria de Pelargir
trp_pelargir_vet_infantry|Soldado de Infantaria Veterano de Pelargir
trp_pelargir_vet_infantry_pl|Infantaria Veterana de Pelargir
trp_pelargir_leader|Capitão de Pelargir
trp_pelargir_leader_pl|Capitães de Pelargir
trp_pelargir_marine_leader|Capitão de Soldados de Pelargir
trp_pelargir_marine_leader_pl|Capitães de Soldados de Pelargir
trp_clansman_of_lamedon|Tribal de Lamedon
trp_clansman_of_lamedon_pl|Tribais de Lamedon
trp_footman_of_lamedon|Soldado de Lamedon
trp_footman_of_lamedon_pl|Soldados de Lamedon
trp_veteran_of_lamedon|Veterano de Lamedon
trp_veteran_of_lamedon_pl|Veteranos de Lamedon
trp_warrior_of_lamedon|Guerreiro de Lamedon
trp_warrior_of_lamedon_pl|Guerreiros de Lamedon
trp_champion_of_lamedon|Campeão de Lamedon
trp_champion_of_lamedon_pl|Campeões de Lamedon
trp_knight_of_lamedon|Cavaleiro de Lamedon
trp_knight_of_lamedon_pl|Cavaleiros de Lamedon
trp_lamedon_leader|Capitão de Lamedon
trp_lamedon_leader_pl|Capitães de Lamedon
trp_pinnath_gelin_plainsman|Homem de Pinnath Gelin
trp_pinnath_gelin_plainsman_pl|Homens de Pinnath Gelin
trp_pinnath_gelin_spearman|Montador de Pinnath Gelin
trp_pinnath_gelin_spearman_pl|Assaltantes de Pinnath Gelin
trp_warrior_of_pinnath_gelin|Cavaleiro de Pinnath Gelin
trp_warrior_of_pinnath_gelin_pl|Cavaleiros Pinnath Gelin
trp_pinnath_gelin_bowman|Arqueiro de Pinnath Gelin
trp_pinnath_gelin_bowman_pl|Arqueiros de Pinnath Gelin
trp_pinnath_gelin_archer|Arqueiro de Elite de Pinnath Gelin
trp_pinnath_gelin_archer_pl|Arqueiros de Elite de Pinnath Gelin
trp_pinnath_leader|Capitão de Pinnath Gelin
trp_pinnath_leader_pl|Capitães de Pinnath Gelin
trp_blackroot_vale_archer|Caçador do Vale Raiznegra
trp_blackroot_vale_archer_pl|Caçadores do Vale Raiznegra
trp_veteran_blackroot_vale_archer|Arqueiro Veterano do Vale Raiznegra
trp_veteran_blackroot_vale_archer_pl|Arqueiros Veterano do Vale Raiznegra
trp_master_blackroot_vale_archer|Arqueiro Mestre do Vale Raiznegra
trp_master_blackroot_vale_archer_pl|Arqueiros Mestres do Vale Raiznegra
trp_footman_of_blackroot_vale|Soldado do Vale Raiznegra
trp_footman_of_blackroot_vale_pl|Soldados do Vale Raiznegra
trp_spearman_of_blackroot_vale|Lanceiro do Vale Raiznegra
trp_spearman_of_blackroot_vale_pl|Lanceiros do Vale Raiznegra
trp_blackroot_leader|Caçador da Sombra de Morthond
trp_blackroot_leader_pl|Caçadores da Sombra de Morthond
trp_dol_amroth_youth|Recruta de Dol Amroth
trp_dol_amroth_youth_pl|Recrutas Dol Amroth
trp_squire_of_dol_amroth|Escudeiro de Dol Amroth
trp_squire_of_dol_amroth_pl|Escudeiros de Dol Amroth
trp_veteran_squire_of_dol_amroth|Escudeiro Veterano de Dol Amroth
trp_veteran_squire_of_dol_amroth_pl|Escudeiros Veteranos de Dol Amroth
trp_knight_of_dol_amroth|Cavaleiro de Dol Amroth
trp_knight_of_dol_amroth_pl|Cavaleiros de Dol Amroth
trp_veteran_knight_of_dol_amroth|Cavaleiro Veterano de Dol Amroth
trp_veteran_knight_of_dol_amroth_pl|Cavaleiros Veteranos de Dol Amroth
trp_swan_knight_of_dol_amroth|Cavaleiro Cisne de Dol Amroth
trp_swan_knight_of_dol_amroth_pl|Cavaleiros Cisne de Dol Amroth
trp_dol_amroth_leader|Capitão de Dol Amroth
trp_dol_amroth_leader_pl|Capitães de Dol Amroth
trp_lothlorien_scout|Batedor de Lothlorien
trp_lothlorien_scout_pl|Batedores Lothlorianos
trp_lothlorien_veteran_scout|Batedor Veterano de Lothlorien
trp_lothlorien_veteran_scout_pl|Batedores Veteranos de Lothlorien
trp_lothlorien_archer|Arqueiro de Lothlorien
trp_lothlorien_archer_pl|Arqueiros de Lothlorien
trp_lothlorien_veteran_archer|Arqueiro Veterano de Lothlorien
trp_lothlorien_veteran_archer_pl|Arqueiros Veteranos Lothlorien
trp_lothlorien_master_archer|Arqueiro Mestre de Lothlorien
trp_lothlorien_master_archer_pl|Arqueiros Mestres de Lothlorien
trp_galadhrim_royal_archer|Arqueiro Real de Galadhrim
trp_galadhrim_royal_archer_pl|Arqueiros Reais de Galadhrim
trp_galadhrim_royal_marksman|Atirador Real de Galadhrim
trp_galadhrim_royal_marksman_pl|Atiradores Reais de Galadhrim
trp_noldorin_mounted_archer|Arqueiro Montado Noldorin
trp_noldorin_mounted_archer_pl|Arqueiros Montados Noldorin
trp_lothlorien_infantry|Soldado de Infantaria de Lothlorien
trp_lothlorien_infantry_pl|Infantaria de Lothlorien
trp_lothlorien_veteran_infantry|Soldado de Infantaria Veterano de Lothlorien
trp_lothlorien_veteran_infantry_pl|Infantaria Veterana de Lothlorien
trp_lothlorien_elite_infantry|Soldado de Infantaria de Elite de Lothlorien
trp_lothlorien_elite_infantry_pl|Infantaria de Elite de Lothlorien
trp_galadhrim_royal_swordsman|Galadhrim Real Espadachim
trp_galadhrim_royal_swordsman_pl|Espadachins Reais de Galadhrim
trp_lothlorien_warden|Guardião de Lothlorien
trp_lothlorien_warden_pl|Guardiões de Lothlorien
trp_lothlorien_veteran_warden|Guardião Veterano de Lothlorien
trp_lothlorien_veteran_warden_pl|Guardiões Veteranos de Lothlorien
trp_galadhrim_royal_warden|Guardião Real de Galadhrim
trp_galadhrim_royal_warden_pl|Guardiões Reais de Galadhrim
trp_lothlorien_standard_bearer|Carregador de Estandarte de Lothlorien
trp_lothlorien_standard_bearer_pl|Carregadores de Estandarte de Lothlorien
trp_greenwood_scout|Batedor de Greenwood
trp_greenwood_scout_pl|Batedores de Greenwood
trp_greenwood_veteran_scout|Batedor Veterano de Greenwood
trp_greenwood_veteran_scout_pl|Batedores Veteranos de Greenwood
trp_greenwood_archer|Arqueiro de Greenwood
trp_greenwood_archer_pl|Arqueiros de Greenwood
trp_greenwood_veteran_archer|Arqueiro de Greenwood
trp_greenwood_veteran_archer_pl|Arqueiros de Greenwood
trp_greenwood_master_archer|Arqueiro Veterano de Greenwood
trp_greenwood_master_archer_pl|Arqueiros Veteranos de Greenwood
trp_thranduils_royal_marksman|Atirador Real de Thranduil
trp_thranduils_royal_marksman_pl|Atiradores Reais de Thranduil
trp_greenwood_sentinel|Sentinela de Greenwood
trp_greenwood_sentinel_pl|Sentinelas de Greenwood
trp_greenwood_vet_sentinel|Sentinela Veterano de Greenwood
trp_greenwood_vet_sentinel_pl|Sentinelas Veteranos de Greenwood
trp_mirkwood_guardsman|Guarda de Greenwood
trp_mirkwood_guardsman_pl|Guardas de Greenwood
trp_greenwood_spearman|Lanceiro de Greenwood
trp_greenwood_spearman_pl|Lanceiros de Greenwood
trp_greenwood_veteran_spearman|Lanceiro Veterano de Greenwood
trp_greenwood_veteran_spearman_pl|Lanceiros Veteranos de Greenwood
trp_greenwood_royal_spearman|Lanceiro Real de Greenwood
trp_greenwood_royal_spearman_pl|Lanceiros Reais de Greenwood
trp_thranduils_royal_swordsman|Espadachim Real de Thranduil
trp_thranduils_royal_swordsman_pl|Espadachins Reais de Thranduil
trp_thranduils_spearman|Lanceiro Real de Thranduil
trp_thranduils_spearman_pl|Lanceiros Reais de Thranduil
trp_greenwood_standard_bearer|Carregador de Estandarte de Greenwood
trp_greenwood_standard_bearer_pl|Carregadores de Estandarte de Greenwood
trp_rivendell_scout|Batedor de Valfenda
trp_rivendell_scout_pl|Batedores de Valfenda
trp_rivendell_veteran_scout|Batedor Veterano de Valfenda
trp_rivendell_veteran_scout_pl|Batedores Veteranos de Valfenda
trp_rivendell_sentinel|Sentinela de Valfenda
trp_rivendell_sentinel_pl|Sentinelas de Valfenda
trp_rivendell_veteran_sentinel|Sentinela Veterano de Valfenda
trp_rivendell_veteran_sentinel_pl|Sentinelas Veteranos de Valfenda
trp_rivendell_elite_sentinel|Sentinela de Elite de Valfenda
trp_rivendell_elite_sentinel_pl|Sentinelas de Elite de Valfenda
trp_rivendell_guardian|Guardião de Valfenda
trp_rivendell_guardian_pl|Guardiões de Valfenda
trp_rivendell_infantry|Soldado de Infantaria de Valfenda
trp_rivendell_infantry_pl|Infantaria de Valfenda
trp_rivendell_veteran_infantry|Soldado de Infantaria Veterano de Valfenda
trp_rivendell_veteran_infantry_pl|Infantaria Veterana de Valfenda
trp_rivendell_elite_infantry|Soldado de Infantaria de Elite de Valfenda
trp_rivendell_elite_infantry_pl|Infantaria de Elite de Valfenda
trp_rivendell_royal_infantry|Soldado de Infantaria Real de Valfenda
trp_rivendell_royal_infantry_pl|Infantaria Real de Valfenda
trp_rivendell_cavalry|Cavalariço de Valfenda
trp_rivendell_cavalry_pl|Cavalariços de Valfenda
trp_knight_of_rivendell|Cavaleiro de Valfenda
trp_knight_of_rivendell_pl|Cavaleiros de Valfenda
trp_rivendell_standard_bearer|Carregador de Estandarte de Valfenda
trp_rivendell_standard_bearer_pl|Carregadores de Estandarte de Valfenda
trp_dunedain_scout|Batedor Dunedain
trp_dunedain_scout_pl|Batedores Dunedain
trp_dunedain_trained_scout|Rastreador Dunedain
trp_dunedain_trained_scout_pl|Rastreadores Dunedain
trp_arnor_man_at_arms|Homem de Armas de Arnor
trp_arnor_man_at_arms_pl|Homens de Armas de Arnor
trp_arnor_master_at_arms|Mestre das Armas de Arnor
trp_arnor_master_at_arms_pl|Mestres das Armas de Arnor
trp_high_swordsman_of_arnor|Alto Espadachim de Arnor
trp_high_swordsman_of_arnor_pl|Altos Espadachins de Arnor
trp_arnor_horsemen|Cavalariço de Arnor
trp_arnor_horsemen_pl|Cavalariços de Arnor
trp_knight_of_arnor|Cavaleiro de Arnor
trp_knight_of_arnor_pl|Cavaleiros de Arnor
trp_dunedain_ranger|Ranger Dunedain
trp_dunedain_ranger_pl|Rangers Dunedain
trp_dunedain_veteran_ranger|Ranger Veterano Dunedain
trp_dunedain_veteran_ranger_pl|Rangers Veteranos Dunedain
trp_dunedain_master_ranger|Ranger Mestre Dunedain
trp_dunedain_master_ranger_pl|Rangers Mestres Dunedain
trp_i1_rohan_youth|Jovem de Rohan
trp_i1_rohan_youth_pl|Jovens de Rohan
trp_i2_guardsman_of_rohan|Guarda de Rohan
trp_i2_guardsman_of_rohan_pl|Guardas de Rohan
trp_i3_footman_of_rohan|Soldado de Rohan
trp_i3_footman_of_rohan_pl|Soldados de Rohan
trp_i4_veteran_footman_of_rohan|Soldado Veterano de Rohan
trp_i4_veteran_footman_of_rohan_pl|Soldados Veteranos de Rohan
trp_i5_elite_footman_of_rohan|Soldado de Elite de Rohan
trp_i5_elite_footman_of_rohan_pl|Soldados de Elite de Rohan
trp_i6_footman_guard_of_rohan|Guarda de Folcwine
trp_i6_footman_guard_of_rohan_pl|Guardas de Folcwine
trp_i6_frealaf_raider|Invasor de Frealaf
trp_i6_frealaf_raider_pl|Invasores de Frealaf
trp_i5_raider_of_rohan|Assaltante de Rohan
trp_i5_raider_of_rohan_pl|Assaltantes de Rohan
trp_i6_warden_of_methuseld|Guardião de Meduseld
trp_i6_warden_of_methuseld_pl|Guardiões de Meduseld
trp_ac3_skirmisher_of_rohan|Lutador Desmontado de Rohan
trp_ac3_skirmisher_of_rohan_pl|Lutadores Desmontados de Rohan
trp_ac4_veteran_skirmisher_of_rohan|Lutador Desmontado Veterano de Rohan
trp_ac4_veteran_skirmisher_of_rohan_pl|Lutadores Desmontados Veteranos de Rohan
trp_ac5_elite_skirmisher_of_rohan|Lutador Desmontado de Elite de Rohan
trp_ac5_elite_skirmisher_of_rohan_pl|Lutadores desmontados de Elite de Rohan
trp_ac6_skirmisher_guard_of_rohan|Guarda Thengel Desmontado de Rohan
trp_ac6_skirmisher_guard_of_rohan_pl|Guardas Thengel Desmontados de Rohan
trp_c4_lancer_of_rohan|Lanceiro de Rohan
trp_c4_lancer_of_rohan_pl|Lanceiros de Rohan
trp_c5_elite_lancer_of_rohan|Lanceiro de Elite de Rohan
trp_c5_elite_lancer_of_rohan_pl|Lanceiros de Elite de Rohan
trp_c6_lancer_guard_of_rohan|Guarda de Brego de Rohan
trp_c6_lancer_guard_of_rohan_pl|Guardas de Brego de Rohan
trp_c6_king_s_man_of_rohan|Guarda do Rei
trp_c6_king_s_man_of_rohan_pl|Guardas do Rei
trp_c2_squire_of_rohan|Escudeiro de Rohan
trp_c2_squire_of_rohan_pl|Escudeiros de Rohan
trp_c3_rider_of_rohan|Cavaleiro de Rohan
trp_c3_rider_of_rohan_pl|Cavaleiros de Rohan
trp_c4_veteran_rider_of_rohan|Cavaleiro Veterano de Rohan
trp_c4_veteran_rider_of_rohan_pl|Cavaleiros Veteranos de Rohan
trp_c5_elite_rider_of_rohan|Cavaleiro de Elite de Rohan
trp_c5_elite_rider_of_rohan_pl|Cavaleiros de Elite de Rohan
trp_c6_rider_guard_of_rohan|Guarda Eorl de Rohan
trp_c6_rider_guard_of_rohan_pl|Guardas Eorl de Rohan
trp_i6_2h_guard_of_rohan|Guarda do Abismo de Rohan
trp_i6_2h_guard_of_rohan_pl|Guardas do Abismo de Rohan
trp_dismounted_veteran_skirmisher_of_rohan|Lutador Desmontado Veterano de Rohan
trp_dismounted_veteran_skirmisher_of_rohan_pl|Lutadores Desmontados Veteranos de Rohan
trp_dismounted_elite_skirmisher_of_rohan|Lutador Desmontado de Elite de Rohan
trp_dismounted_elite_skirmisher_of_rohan_pl|Lutadores desmontados de Elite de Rohan
trp_dismounted_thengel_guard_of_rohan|Guarda Thengel Desmontado de Rohan
