
str_yes|Tak.
str_tutorial_1_msg_5|Jak widać, na tylnej stronie pokoju znajduje się cel łuczniczy. Następnym zadaniem jest użycie łuku do umieszczenia trzech strzał w tym celu. Naciśnij i przytrzymaj lewy przycisk myszy, aby wyciąć strzałę. Strzałę można następnie wystrzelić, zwalniając lewy przycisk myszy. Zwróć uwagę na celownik znajdujący się na środku ekranu, który pokazuje dokładność strzału. W celu osiągnięcia optymalnej dokładności, strzel, gdy siatkówka jest najmniejsza. Spróbuj teraz strzelać do celu.
str_tutorial_1_msg_6|Dobrze! Nauczyłeś się podstaw poruszania się i atakowania. Przy odrobinie praktyki wkrótce je opanujesz. W drugim samouczku możesz nauczyć się bardziej zaawansowanych umiejętności walki i zmierzyć się z uzbrojonymi przeciwnikami. Aby powrócić do menu samouczka, w dowolnym momencie możesz nacisnąć przycisk Tab.
str_tutorial_2_msg_1|Ten samouczek nauczy Cię, jak bronić się tarczą i jak walczyć z uzbrojonymi przeciwnikami. W tej chwili jesteś uzbrojony tylko w tarczę. Twoim zadaniem nie jest atakować, ale skutecznie chronić się przed obrażeniami za pomocą tarczy. W następnej sali czeka na ciebie uzbrojony przeciwnik. Będzie on starał się ogłuszyć cię, podczas gdy Ty musisz bronić się tarczą, naciskając i przytrzymując prawy przycisk myszy. Przejdź teraz do następnego pokoju, aby stanąć twarzą w twarz z przeciwnikiem. Pamiętaj, że w każdej chwili możesz nacisnąć przycisk Tab, aby opuścić ten samouczek lub opuścić inny obszar gry.
str_tutorial_2_msg_2|Naciśnij i przytrzymaj prawy przycisk myszy, aby przygotować tarczę. Spróbuj pozostać w pozycji stojącej przez trzydzieści sekund. Pozostało ci {reg3} sekund.
str_tutorial_2_msg_3|Dobra Robota! Udało ci się obronić przed uzbrojonym przeciwnikiem. Następna faza tego samouczka pozwoli ci i twojej tarczy przeciwstawić się sile łuczników wroga. Przejdź do następnego pokoju, gdy będziesz gotowy do konfrontacji z łucznikami.
str_tutorial_2_msg_4|Broń się przed strzałami, podnosząc tarczę za pomocą prawego przycisku myszy. Spróbuj pozostać w pozycji stojącej przez trzydzieści sekund. Pozostało ci {reg3} sekund.
str_tutorial_2_msg_5|Doskonale, z powodzeniem broniłeś się przed łucznikami. W następnym pokoju czeka na Ciebie nagroda.
str_tutorial_2_msg_6|W domyślnej konfiguracji, klawisz F na klawiaturze jest używany do nieagresywnej interakcji z obiektami i ludźmi w świecie gry. Aby podnieść miecz na ołtarzu, spójrz na niego i naciśnij klawisz F, gdy zobaczysz słowo "Wyposaż".
str_tutorial_2_msg_7|Piękna broń! Może czas na małą zemstę, co? Wróć przez drzwi i pokonaj łuczników, na których wcześniej się natknąłeś
str_tutorial_2_msg_8|Bardzo dobrze. Ostatnim zadaniem przed ukończeniem tego samouczka jest stanięcie twarzą w twarz z giermkiem. Przejdź teraz przez drzwi i pokaż mu na co cię stać! 
str_tutorial_2_msg_9|Serdecznie gratuluję! Nauczyłeś się teraz bronić tarczą, a nawet po raz pierwszy poczułeś smak walki z uzbrojonymi przeciwnikami. Poćwicz trochę, a wkrótce staniesz się znanym szermierzem. Kolejny samouczek obejmuje obronę kierunkową, która jest jednym z najważniejszych elementów walki Mount&Blade. Aby powrócić do menu samouczka, w dowolnym momencie możesz nacisnąć przycisk Tab.
str_tutorial_3_msg_1|Ten samouczek ma na celu przedstawienie Ci podstawy parowania ciosów bez tarczy. Parowanie ataków za pomocą broni jest trochę trudniejsze niż blokowanie ich tarczą. Broniąc się za pomocą broni, jesteś chroniony tylko z jednego kierunku, kierunku, w którym ustawiona jest twoja broń. Jeśli blokujesz w górę, będziesz parować każde zamachnięcie znad głowy, ale nie zatrzymasz pchnięć i ataków na boki. Każdy z tych ataków będzie nadal w stanie cię uderzyć. Dlatego, aby przeżyć bez tarczy, trzeba nauczyć się obrony kierunkowej. Podnieś siekierę, aby zacząć ćwiczyć.
str_tutorial_3_msg_2|Domyślnie kierunek, w którym się bronisz (klikając i przytrzymując prawy przycisk myszy) jest określony przez kierunek ataku najbliższego przeciwnika. Na przykład, jeśli przeciwnik jest gotowy do pchnięcia, naciśnięcie i przytrzymanie prawego przycisku myszy spowoduje sparowanie pchnięcia, ale nie ataki boczne lub znad głowy. Musisz uważnie obserwować przeciwnika i zainicjować blok dopiero PO TYM jak wróg zaczyna atakować. Jeśli zaczynasz PRZED przygotowaniem przez niego ataku, możesz zablokować w niewłaściwy sposób! Teraz nadszedł czas, aby przejść do następnego pokoju, w którym będziesz musiał się bronić przed uzbrojonym przeciwnikiem. Twoim zadaniem jest bronić się z powodzeniem przez trzydzieści sekund bez wyposażenia innego niż prosty topór. Ataki toporu są wyłączone dla tego samouczka, więc nie przejmuj się atakami i skup się na swojej obronie. Przejdź do następnego pokoju, gdy będziesz gotowy do rozpoczęcia walki.
str_tutorial_3_msg_3|Naciśnij i przytrzymaj prawy przycisk myszy, aby bronić się siekierą po rozpoczęciu ataku przez przeciwnika. Spróbuj pozostać w pozycji stojącej przez trzydzieści sekund. Pozostało Ci {reg3} sekund.
str_tutorial_3_msg_4|Dobra robota, udało ci się! Teraz zostaniesz postawiony przed bardziej wymagającym przeciwnikiem, co utrudni Ci zadanie. Przejdź do następnego pokoju, kiedy będziesz gotowy na spotkanie z nim.
str_tutorial_3_msg_5|Naciśnij i przytrzymaj prawy przycisk myszy, aby bronić się siekierą po rozpoczęciu ataku przez przeciwnika. Spróbuj pozostać w pozycji stojącej przez trzydzieści sekund. Pozostało Ci {reg3} sekund.
str_tutorial_3_msg_6|Gratuluję, mimo najlepszych wysiłków wroga nadal stoisz. Nadszedł czas, aby zaatakować i bronić się. Podejdź do drzwi i naciśnij klawisz F, gdy zobaczysz wyraz "Idź".
str_tutorial_3_2_msg_1|Ataki siekiery zostały ponownie włączone. Twój pierwszy przeciwnik czeka w następnym pokoju. Pokonaj go, łącząc atak i obronę.
str_tutorial_3_2_msg_2|Pokonaj przeciwnika siekierą.
str_tutorial_3_2_msg_3|Doskonale. Teraz jedyną rzeczą, która stoi na drodze, to twój ostatni przeciwnik. Jest w następnej sali. Ruszaj na przód i ogłusz go.
str_tutorial_3_2_msg_4|\nPokonaj przeciwnika siekierą.
str_tutorial_3_2_msg_5|Dobra robota! W tym samouczku nauczyłeś się jak walczyć bez tarczy. Ćwicz ciężko dobrze, a nikt nie będzie w stanie położyć Ciebie na łopatki. W następnym samouczku możesz nauczyć się jeździć konno i walczyć z grzbietu wierzchowca. Aby powrócić do menu samouczka, w dowolnym momencie możesz nacisnąć przycisk Tab.
str_tutorial_4_msg_1|Witamy w czwartym samouczku. W tej sekwencji dowiesz się, jak jeździć konno/wargiem i jak wykonywać różne ćwiczenia bojowe na wierzchowcu. Zacznijmy od dosiadania. Podejdź do konia i naciśnij klawisz 'F', gdy zobaczysz słowo 'Dosiądź'.
str_tutorial_4_msg_2|Klawisze WASD sterują ruchem konia, a nie twojego własnego. Przejedź konno i spróbuj podążać za flagą wokół trasy. Po dotarciu do flagi, przejdzie do następnego punktu trasy na trasie, aż do mety.
str_tutorial_4_msg_3|Bardzo dobrze. Potem zajmiemy się atakowaniem wrogów z końskiego grzbietu. Podejdź do flagi.
str_tutorial_4_msg_4|Wyciągnij miecz (za pomocą kółka myszy) i zniszcz cztery cele. Spróbuj trafić w manekiny podczas przejeżdżania przez nie pełnym galopem - to dodatkowe wyzwanie, ale dodatkowa prędkość dodana do twojego ciosu pozwoli ci zadać więcej obrażeń. Najprostszym sposobem na to jest naciśnięcie i przytrzymanie lewego przycisku myszy aż do odpowiedniego momentui, zwalniając go tuż przed przejściem przez cel.
str_tutorial_4_msg_5|Doskonała robota. Spróbujmy teraz strzelać do celu z końskiego grzbietu. Przejdź teraz pod flagę.
str_tutorial_4_msg_6|Znajdź tarczę łuczniczą obok toru jeździeckiego i trzykrotnie strzelaj łukiem. Mimo, że nie musisz jeździć podczas strzelania, zalecane jest, abyś próbował trafić w cel z różnymi prędkościami i pod różnymi kątami, aby poczuć, jak prędkość i kurs konia wpływa na twoją celność.
str_tutorial_4_msg_7|Gratuluję, ukończyłeś ten samouczek. Aby powrócić do menu samouczka, w dowolnym momencie możesz nacisnąć przycisk Tab.
str_tutorial_5_msg_1|Witamy w piątym i ostatnim samouczku, który pokaże ci podstawy dowodzenia oddziałami w walce, jednego z najważniejszych aspektów Mount & Blade. ^^Pierwszym menu poleceń, którego musisz się nauczyć, są polecenia ruchu, które można znaleźć, naciskając klawisz F1. Naciśnij ten przycisk teraz i zapoznaj się z wieloma opcjami ruchu, które możesz dać swoim oddziałom w bitwie. ^^Po tym pierwszym kroku, rozkaż swoim oddziałom, aby podążały za Tobą i wspinały się na pagórek, gdzie znajduje się flaga i wskaźnik.
str_tutorial_5_msg_2|Doskonale. Podążyły za tobą twoje wojska. Teraz masz dobry widok na pole bitwy. ^^Tym razem, rozkaż swojemu wojsku, aby utrzymały tę pozycję na wzgórzu, ponownie naciskając menu poleceń F1 i wybierając opcję Utrzymaj pozycję (F1). Jeśli to zrobisz, zauważysz, że twoje wojska zatrzymują się i zajmują pozycję, którą wskazałeś. ^^Jest to dobry czas, aby nauczyć się drugiego menu poleceń, które obraca się wokół podstawowych formacji wojska. ^^To menu umożliwia rozkazanie swoim oddziałom zaciśnięcie ich szeregów, przeciwstawienia się szarży piechoty lub rozluźnienia szeregu, aby przeciwstawić się strzałom z łuku. ^^Rozkazanie swoim oddziałom przejścia do przodu lub do tyłu o dziesięć kroków za pomocą tego menu poleceń pozwala im poruszać się, zachowując przy tym swoją formację. ^^Po zbadaniu różnych opcji, zostaw swoje oddziały utrzymujące tę pozycję i samotnie udaj się w kierunku przeciwnego wzgórza, tam gdzie jest flaga i wskaźnik.
str_tutorial_5_msg_3|Świetnie. Jak widać, twoja piechota stoi tam, gdzie rozkazałeś. Teraz przejdź samotnie w kierunku wiatraka.
str_tutorial_5_msg_4|Teraz masz łuczników, którzy przyłączyli się do ciebie. W Mount & Blade możesz wydawać oddzielne komendy poszczególnym oddziałom wojsk, takim jak piechota, łucznicy i kawaleria. ^^Naciśnięcie klawiszy numerycznych spowoduje wybranie kategorii (1 dla piechoty, 2 dla łuczników, 3 dla jeźdźców). Możesz wówczas użyć menu poleceń, które wydają polecenia wybranym jednostkom. ^^Zauważ, że wybór pozostanie, a naciśnięcie któregokolwiek z menu poleceń (F1, F2, F3) będzie rozkazem dla ostatniego wybranego oddziału. Przeczytaj wiadomości pojawiające się na ekranie, aby zobaczyć, który oddział jest wybrany. ^^Teraz rozkaż piechocie i łucznikom, aby podążali za Tobą. Gdy wszystkie jednostki są razem, wróć na wzgórze, z którego przyszedłeś. ^^Gdy już tam będziesz szukaj wskaźnika i rozkazuj piechocie, aby przeniosła się tam i trzymała pozycję, naciskając 1, a następnie trzymając wciśnięty klawisz F1, aby odsłonić sztandar. Możesz to wykorzystać, aby przenieść swoje oddziały w dokładnie wybrane miejsce. ^^Rozkaż łucznikom, aby przejść w kierunku flagi za wskaźnikiem, na wysokim terenie.
str_tutorial_5_msg_5|Twoi ludzie są na miejscu, wrogowie zebrali się i szarżują do ciebie. Wykorzystaj to, czego się nauczyłeś do manewrowania piechotą w formacji lub wydania rozkazu szarży. Szarża przerywa wszystkie formacje i przenosi twoje wojska w kierunku najbliższych wrogów. ^^Możesz również trzymać łuczników na wysokich punktach dla lepszej widoczności do strzału lub możesz im rozkazać, aby przenieśli się gdzie indziej. ^^Możesz również nacisnąć F3, aby ujawnić trzecie menu poleceń i dowiedzieć się o różnych rozkazach broni, które możesz wydać twoim oddziałom. 
str_tutorial_5_msg_6|Znakomicie! Zakończyłeś swoją pierwszą bitwę w Mount & Blade. Inteligentne dowodzenie twoimi oddziałami w bitwie ma kluczowe znaczenie dla twojego sukcesu jako dowódcy. Upewnij się, że nauczysz się, jak przemieszczać swoje wojska na korzystnych pozycjach. ^^W The Last Days of the Third Age, istnieją złożone formacje dla bardziej zaawansowanych manewrów, takich jak mur tarcz i klin kawalerii. Możesz dowiedzieć się o tym więcej w grze. ^^Możesz nacisnąć przycisk TAB w dowolnym momencie, aby opuścić samouczek.
str_trainer_help_1|Jest to plac treningowy, na którym można nauczyć się podstaw gry. Użyj klawiszy A, S, D, W, aby się poruszać i myszy, aby rozejrzeć się dookoła.
str_trainer_help_2|Aby porozmawiać z trenerem, zbliż się do niego, spójrz na niego i naciśnij klawisz "F", gdy zobaczysz słowo "Rozmawiaj" pod jego nazwą. Jeśli chcesz opuścić ten lub inny obszar lub wycofać się z bitwy, możesz nacisnąć klawisz TAB.
str_custom_battle_1|Angbor Nieustraszony i jego kompania Gondoru przejęli grupę zbrojeniową Haradrimów. Krzycząc okrzyk wojenny, popycha konia do przodu i prowadzi wiernych ludzi do zaciętej walki.
str_custom_battle_2|Celeborn z Lorien prowadzi patrol jeźdźców i łuczników, gdy spojrzenie w przyszłość przynosi ostrzeżenie o zbliżającej się sile zła w obliczu popiołu. To Czarni Numenoreańczycy! Nie byli widzeni w pobliżu Lothlorien od wieków, ale teraz muszą być odesłani do świata podziemi.
str_custom_battle_3|Lord Grimbold z Rohanu dowodzi ostatnią obroną na murach przeciw armii Isengardu. Teraz, gdy oblegający przygotowują się do ostatecznego ataku na mury, musi on utrzymać je utrzymać z pomocą odwagi i jasnej stali.
str_custom_battle_4|Kiedy zwiadowcy informują Lorda Beranhelma o zbliżającej się armii Rhun, postanawia on szybko przygotować obronę swojego obozu i starać się walczyć przeciwko znacząco przeważającej sile wroga.
str_custom_battle_5|Kapitan Ugluk przyprowadził swych niepohamowanych orków na zachód z obietnicą plądrowania. Jeśli rozbiją dziś krasnoludów ich pan w Barad-Dur będzie bardzo zadowolony.
str_custom_battle_6|Ugluk  i jego orkowie nękali uciekający Elficki patrol. Ale szczęście nie może trwać wiecznie, i wygląda na to, że brudne elfy wezmą teraz odwet.
str_custom_battle_7|Korsarze rozbili obóz na obrzeżach Gondoru! Jak śmieli. Zaatakujmy ich nim otrzymają posiłki i zepchnijmy z powrotem do morza.
str_finished|(Ukończono)
str_delivered_damage|Zadajesz {reg60} obrażeń.
str_archery_target_hit|Odległość: {reg61} jardów. Punkty: {reg60}
str_use_baggage_for_inventory|Użyj bagażu, by dostać się do swojego ekwipunku w czasie bitwy (bagaż znajduje się przy pozycji startowej).
str_cant_use_inventory_now|Nie możesz teraz zmienić ekwipunku.
str_cant_use_inventory_arena|Nie możesz zmieniać ekwipunku na arenie. 
str_cant_use_inventory_disguised|Nie możesz zmieniać ekwipunku, gdy jesteś w przebraniu.
str_cant_use_inventory_tutorial|Nie możesz zmieniać ekwipunku w trakcie trwania samouczka.
str_1_denar|1 Pkt Prestiżu
str_reg1_denars|{reg1} Pkt Prestiżu
str_january_reg1_reg2|T.A.{reg2}, Narvinyë {reg1} (Styczeń)
str_february_reg1_reg2|T.A.{reg2}, Nénimë {reg1} (Luty)
str_march_reg1_reg2|T.A.{reg2}, Súlìmë {reg1} (Marzec)
str_april_reg1_reg2|T.A.{reg2}, Víressë {reg1 (Kwiecień)}
str_may_reg1_reg2|T.A.{reg2}, Lótessë {reg1} (Maj)
str_june_reg1_reg2|T.A.{reg2}, Náríë {reg1} (Czerwiec)
str_july_reg1_reg2|T.A.{reg2}, Cermië {reg1} (Lipiec)
str_august_reg1_reg2|T.A.{reg2}, Urimë {reg1} (Sierpień)
str_september_reg1_reg2|T.A.{reg2}, Yavannië {reg1} (Wrzesień)
str_october_reg1_reg2|T.A.{reg2}, Narquelië {reg1} (Październik)
str_november_reg1_reg2|T.A.{reg2}, Hísimë {reg1} (Listopad)
str_december_reg1_reg2|T.A.{reg2}, Ringarë {reg1} (Grudzień)
str_calendar_spec_day_1|T.A.{reg2}, Yestarë (Dzień Pierwszy)
str_calendar_spec_day_2|T.A.{reg2}, Tuilérë (Dzień Wiosny)
str_calendar_spec_day_3|T.A.{reg2}, Loëndë (Połowa Lata)
str_calendar_spec_day_4|T.A.{reg2}, Yáviérë (Dzień Żniw)
str_calendar_spec_day_5|T.A.{reg2}, Mettarë (Dzień Ostatni)
str_town_nighttime| Jest późna noc i wszyscy uczciwi ludzie śpią spokojnie w swoich domach.
str_door_locked|Te drzwi są zamknięte.
str_castle_is_abondened|Zamek wygląda na opuszczony.
str_town_is_abondened|To miasto nie ma garnizonu.
str_place_is_occupied_by_player|To miejsce jest chronione przez twoje jednostki.
str_place_is_occupied_by_enemy|To miejsce jest bronione przez wrogie jednostki.
str_place_is_occupied_by_friendly|To miejsce jest chronione przez przyjazne jednostki.
str_do_you_want_to_retreat|Jesteś pewny że chcesz uciec?
str_give_up_fight|Poddać walkę?
str_do_you_wish_to_leave_tutorial|Opuścić samouczek?
str_do_you_wish_to_surrender|Chcesz się poddać?
str_can_not_retreat|Nie możesz się wycofać. Wrogowie są w pobliżu!
str_s1_joined_battle_enemy|{s1} dołącza do bitwy po stronie wroga.
str_s1_joined_battle_friend|{s1} dołącza do bitwy po twojej stronie.
str_entrance_to_town_forbidden|Strażnicy skutecznie strzegą wejścia do miasta. Wygląda na to, że nie uda ci się łatwo niepostrzeżenie dostać do środka.
str_sneaking_to_town_impossible|Strażnicy zostali zaalarmowani. Nie uda ci się zakraść do miasta, niezależnie od tego, jak dobrze się przebierzesz.
str_battle_won|Wygrałeś bitwę!
str_battle_lost|Przegrałeś bitwę!
str_player_down|Został{e/a}ś poranion{y/a}, ale twoje oddziały nadal walczą!
str_attack_walls_success|Po krwawej walce, twoim dzielnym żołnierzom udało się zdobyć mury wroga.
str_attack_walls_failure|Twoi żołnierze padają całymi falami atakując mury, tylko kilku których przeżyło szybko wycofuje się i ucieka, już nigdy ich nie zobaczysz.
str_attack_walls_continue|Rozpoczyna sie krwawa bitwa i obie walczące strony wykazują niezwykłe męstwo. Mimo usilnych starań twoich żołnierzy, zamek dalej znajduje się w rękach wroga.
str_order_attack_success|Twoi żołnierze walczą dzielnie i pokonują wroga.
str_order_attack_failure|Z trwogą oglądasz jak wrogowie wyrzynają twoich ludzi co do jednego.
str_order_attack_continue|Twoi żołnierze walczą bardzo dzielnie, jednak nie udaje im się pokonać wroga.
str_join_order_attack_success|Twoi żołnierze walczą dzielnie wraz z sojuszniczymi oddziałami i udaje im się pokonać wroga.
str_join_order_attack_failure|Z trwogą oglądasz jak wrogowie wyrzynają twoich ludzi co do jednego.
str_join_order_attack_continue|Twoi żołnierze razem z sojuszniczymi oddziałami dzielnie stawiają czoła wrogom, jednak nie udaje im się ich pokonać.
str_siege_defender_order_attack_success|Ludzie z garnizonu utrzymują mury z wielką odwagą i poświęceniem, przełamują atak wroga i zmieniają porażkę w całkowitą ucieczkę wroga.
str_siege_defender_order_attack_failure|Atak szybko zmienia się w krwawą rzeźnię. Bohaterskie starania są na nic; otoczony garnizon nie może utrzymać murów i zostaje wycięty w pień.
str_siege_defender_order_attack_continue|Obrońcy kontratakują, ale nie są w stanie pokonać wroga.
str_hero_taken_prisoner|{s1} ({s3}) został wzięty do niewoli przez {s2}.
str_hero_freed|{s1} ({s3}) został wyswobodzony przez {s2}.
str_center_captured|{s2} zdobywa {s1}, którym dotąd władało {s3}.
str_troop_relation_increased|Twoje relacje z {s1} polepszyły się z {reg1} do {reg2}.
str_troop_relation_detoriated|Twoje relacje z {s1} pogorszyły się z {reg1} do {reg2}.
str_faction_relation_increased|Twoje relacje z {s1} polepszyły się z {reg1} do {reg2}.
str_faction_relation_detoriated|Twoje relacje z {s1} pogorszyły się z {reg1} do {reg2}.
str_party_gained_morale|Twój oddział zyskuje {reg1} morale.
str_party_lost_morale|Twój oddział traci {reg1} morale.
str_qst_follow_spy_noticed_you|Szpieg cię zauważył i zaczął uciekać!
str_father|ojciec
str_husband|mąż
str_wife|żona
str_daughter|córka
str_mother|matka
str_son|syn
str_brother|brat
str_sister|siostra
str_he|On
str_she|Ona
str_s3s_s2|{s3} jest {s2}
str_s5_is_s51|{s5} jest {s51}.
str_s5_is_the_ruler_of_s51|{s5} jest władcą {s51}. 
str_s5_is_a_nobleman_of_s6|{s5} jest szlachcicem z {s6}. 
str_relation_mnus_100|Mściwy
str_relation_mnus_90|Mściwy
str_relation_mnus_80|Mściwy
str_relation_mnus_70|Mściwy
str_relation_mnus_60|Nienawistny
str_relation_mnus_50| Wściekły
str_relation_mnus_40|Zły
str_relation_mnus_30|    Wrogi
str_relation_mnus_20|      Malkontencki
str_relation_mnus_10|        Podejrzliwy
str_relation_plus_0|         Obojętny
str_relation_plus_10|          Akceptujący
str_relation_plus_20|           Współdziałający
str_relation_plus_30|            Przychylny
str_relation_plus_40|             Wspomagający
str_relation_plus_50|              Przyjazny
str_relation_plus_60|               Łaskawy
str_relation_plus_70|                 Miłościwy
str_relation_plus_80|                 Lojalny
str_relation_plus_90|                  Oddany
str_relation_mnus_100_ns|{s60} cię nienawidzi.
str_relation_mnus_90_ns|{s60} cię nienawidzi.
str_relation_mnus_80_ns|{s60} cię nienawidzi.
str_relation_mnus_70_ns|{s60} jest wobec ciebie mściwy.
str_relation_mnus_60_ns|{s60} jest wobec ciebie mściwy.
str_relation_mnus_50_ns|{s60} jest na ciebie wściekły.
str_relation_mnus_40_ns|{s60} jest na ciebie zły.
str_relation_mnus_30_ns|{s60} jest wobec ciebie wrogi.
str_relation_mnus_20_ns|{s60} narzeka na ciebie.
str_relation_mnus_10_ns|{s60} jest wobec ciebie podejrzliwy.
str_relation_plus_0_ns|{s60} jest wobec ciebie obojętny.
str_relation_plus_10_ns|{s60} cię akceptuje.
str_relation_plus_20_ns|{s60} jest wobec ciebie współdziałający.
str_relation_plus_30_ns|{s60} jest ci przychylny.
str_relation_plus_40_ns|{s60} jest gotów cię wspomagać.
str_relation_plus_50_ns|{s60} jest wobec ciebie przyjazny.
str_relation_plus_60_ns|{s60} jest ci łaskawy.
str_relation_plus_70_ns|{s60} jest wobec ciebie miłościwy.
str_relation_plus_80_ns|{s60} jest wobec Ciebie lojalny.
str_relation_plus_90_ns|{s60} jest Ci oddany.
str_relation_reg1| Relacja: {reg1}
str_center_relation_mnus_100|Ludność nienawidzi cię obsesyjnie
str_center_relation_mnus_90|Ludność nienawidzi cię wielce
str_center_relation_mnus_80|Ludność nienawidzi cię bardzo
str_center_relation_mnus_70|Ludność cię nienawidzi
str_center_relation_mnus_60|Ludność jest wobec ciebie nienawistna
str_center_relation_mnus_50|Ludność jest wobec ciebie niezwykle wrogo nastawiona
str_center_relation_mnus_40|Ludność jest wobec ciebie bardzo wrogo nastawiona
str_center_relation_mnus_30|Ludność jest wrogo nastawiona wobec ciebie
str_center_relation_mnus_20|Ludność jest przeciwko tobie
str_center_relation_mnus_10|Ludność cię nie akceptuje
str_center_relation_plus_0|Ludność jest wobec ciebie obojętna
str_center_relation_plus_10|Ludność cię akceptuje
str_center_relation_plus_20|Ludność jest skłonna do współpracy
str_center_relation_plus_30|Ludność trochę cię popiera
str_center_relation_plus_40|Ludność cię popiera
str_center_relation_plus_50|Ludność popiera cię w każdej sprawie
str_center_relation_plus_60|Ludność jest lojalna wobec ciebie
str_center_relation_plus_70|Ludność jest wobec ciebie bardzo lojalna
str_center_relation_plus_80|Ludność jest ci oddana
str_center_relation_plus_90|Ludność jest ci bardzo oddana.
str_town_prosperity_0|Bieda panująca w mieście {s60} jest nie od zniesienia.
str_town_prosperity_10|Miasto {s60} wygląda na strasznie biedne i wynędzniałe.
str_town_prosperity_20|Miasto {s60} wygląda na nieco wyludnione i bardzo biedne.
str_town_prosperity_30|Miasto {s60} wygląda na biedne i zaniedbane.
str_town_prosperity_40|Miasto {s60} wygląda na dość biedne i borykające się z trudnościami.
str_town_prosperity_50|Miasto {s60} wygląda na zwyczajne.
str_town_prosperity_60|Miasto {s60} wygląda na kwitnące.
str_town_prosperity_70|Miasto {s60} wygląda na pełne życia.
str_town_prosperity_80|Miasto {s60} wygląda na bogate i zadbane.
str_town_prosperity_90|Miasto {s60} wygląda na atrakcyjne i bardzo bogate.
str_town_prosperity_100|Miasto {s60} wygląda imponująco, musi być nadzwyczajnie bogate.
str_village_prosperity_0|Bieda panująca we wsi {s60} jest nie od zniesienia.
str_village_prosperity_10|Wieś {s60} wygląda na strasznie biedną i wynędzniałą.
str_village_prosperity_20|Wieś {s60} wygląda na nieco wyludnioną i bardzo biedną.
str_village_prosperity_30|Wieś {s60} wygląda na biedną i zaniedbaną.
str_village_prosperity_40|Wieś {s60} wygląda na dość biedną i borykającą się z trudnościami.
str_village_prosperity_50|Wieś {s60} wygląda na zwyczajną.
str_village_prosperity_60|Wieś {s60} wygląda na kwitnącą.
str_village_prosperity_70|Wieś {s60} wygląda na pełną życia.
str_village_prosperity_80|Wieś {s60} wygląda na bogatą i zadbaną.
