menu_start_game_1|^^^^^^^^^^Dlaczego chcesz walczyć?
mno_start_bl|BLACKROOT VALE, Łucznik Fiefdomu
menu_start_eye_man|^^^^^^^^^^Wybierz swój lud:
mno_start_hr|HARADRIMOWIE, ludzi pustyni z Południa
mno_start_bn|Czarni NUMENOREANS, renegaci z Zachodu
mno_start_um|UMBAROWIE, piraci z Południowych Mórz
mno_start_rh|RHUNOWIE, barbarzyńcy ze Wschodu
mno_start_kh|KHANDOWIE, dzicy z Południowego Wschodu
menu_start_eye_orc|^^^^^^^^^^Gdzie się narodziłes?
mno_start_arm|W armiach zgromadzonych przez MORDOR
mno_start_cav|w jaskiniach DOL GULDUR
menu_start_hand_orc|^^^^^^^^^^Gdzie się narodziłes?
mno_start_armis|W Armiach zgromadzonych przez ISENGARD
mno_start_minmo|w Kopalniach Moria
mno_start_cliff|na zboczach góry GUNDABAD
menu_start_gondor_mt|^^^^^^^^^^Wybierz rodowód
mno_start_1_com|Robotnik.
mno_start_2_hib|Wysoko urodzony
menu_start_haradrim|^^^^^^^Jesteś Haradrimem,^człowiekiem Pustyni.^Wybierz swój ród
mno_start_1_des|Człowiek pustyni.
mno_start_2_far|Plemieniec Dalekiego Haradu
menu_choose_gender|^^^^^^^^^^Twoja płeć?
mno_start_male|Mężczyzna
mno_start_female|Kobieta
mno_proc|Postępować normalnie.
mno_continue|Dalej...
menu_character_report|^^^^^Morale oddziału: {reg8}^Limit wielkości oddziału: {reg7}^
menu_camp|^^^^Rozbijasz obóz.{s2}^^Co chcesz zrobić?
mno_camp_scene|Przespacerować się.
mno_camp_troop|Podgląd{reg10? troops:}{reg12? and:}{reg11? prisoners:}.
mno_camp_action|Użyj obiektu
mno_camp_wait_here|Odpocząć przez jakiś czas.
mno_camp_options|Zmień opcje TLD.
mno_Cheat_enable|Włączone oszustwa/tryb moderski
menu_game_options|^^^^^^^^Kliknij by zmienić:
mno_game_options_restrict_items|Restrykcje przedmiotów: {s7}
mno_game_options_formations|Formacje bitewne oraz AI: {s7}
mno_game_options_town_menu|Odblokowanie menu miast po odwiedzeniu NPC-ów: {s7}
mno_game_options_cutscenes|Cutscenki: {s7}
mno_game_options_injuries|Urazy dla towarzyszy: {s7}.
mno_game_options_death|Permanentna śmierć dla lordów i towarzyszy: {s7}.
mno_game_options_death2|Permanentna śmierć dla gracza (ty TY!): {s7}.
mno_game_options_morale|System bitewnych morale: {s7}
mno_game_options_animal_ambushes|Zwierzęce zasadzki: {s7}
mno_game_options_tweaks|usprawnienia rozgrywki...
mno_game_options_back|Wróć do menu obozu.
menu_camp_tweaks|^^^^^^^^Wybierz opcję, którą chcesz dostosować.
mno_tweak_options_compat|usprawnienia zgodności...
mno_tweak_options_strat|usprawnienia strategii
mno_tweak_options_back|Wróć do menu opcji.
menu_camp_compat_tweaks|^^^^^^^^Kliknij opcję, aby zmienić (przytrzymaj shift, aby zmniejszyć):^(te opcje mają poprawić wydajność i nie są oszustwem)
mno_game_options_compat_party|Maksymalna liczba grup: {s1}
mno_game_options_compat_back|Wróć do menu ulepszeń.
menu_camp_strat_tweaks|^^^^^^^^Kliknij opcję, aby zmienić:^(Ostrzeżenie: to są oszustwa!)
mno_strat_tweaks_siege_reqs|Siła wymagana do oblężenia: {s7}
mno_strat_tweaks_siege_relax_rate|Prędkość odnawiania siły oblężenia: {reg1}
mno_strat_tweaks_regen_rate|Szybkość regeneracji siły: {s7}
mno_strat_tweaks_siege_regen_limit|Frakcje nie zregenerują się poniżej: {reg1}
mno_strat_tweaks_influence_gain_rate|Szybkość zdobywania wpływów : {s7} Normal-Normalna Doubled-Podwójna Tripled-Potrójna Quadrupled-Poczwórna
mno_strat_tweaks_rank_gain_rate|Szybkość zdobywania rangi : {s7} Normal-Normalna Doubled-Podwójna Tripled-Potrójna Quadrupled-Poczwórna
mno_strat_tweaks_back|Wróć do menu ulepszeń.
menu_camp_action|^^^^^^^^^     Co chcesz zrobić?
mno_camp_customize_defilement|Dostosuj Zplugawiony Pancerz
mno_camp_drink_water|Wypić Wodę Entów!
mno_camp_action_4|Wróć.
menu_assasins_attack_player_won|Udało ci się pokonać zabójców {s2}, których nasłał {s3}.
menu_assasins_attack_player_retreat|Uciekasz zachowując życie!
menu_fangorn_danger|^^^^^^Dziwne, otaczają cie jakby szepty.^Czyżby to rozmawiały drzewa? W powietrzu można wyczuć głeboki gniew i ból.^Twoje rozkazy?
mno_be_quiet_elf|Poszanuj panujący wokół spokój. Poruszaj się jak najciszej.
mno_be_quiet|Umieść broń na ziemi i baz cicho a teraz wynocha.
mno_be_bold|Dalej! Nie lękam się roślin i starych mitów!
mno_fight_back|Przekonajmy się! Przeszukajcie okolicę! Spalcie parę drzew!
menu_fangorn_search_fails|^^^^^^Przeszukujesz  gęsty, mroczny las, ale nic nie znajdujesz.^Jednakże, czujesz się obserwowany, a poczucie niebezpieczeństwa narasta.
menu_fangorn_battle_debrief_won|^^^Znakomite zwycięstwo!^^^A więc to jest odpowiedź na Fangoriańskie mity...
menu_fangorn_killed_player_only|^^^^^^Podróżujesz przez mroczny, gęsty las.^Nagle zostajesz przez coś uderzony! Może gałąź spadła Ci na głowę?^Leżysz nieprzytomny przez parę minut. Jesteś ciężko ranny, lecz wciąż możesz iść dalej.
mno_ow_get_out|Ahh! Wydostańmy się z tego przeklętego miejsca!
menu_fangorn_killed_troop_and_player|^^^^^^Podróżujesz przez mroczny, gęsty las.^^Nagle zostajesz przez coś uderzony! Być może ciężka gałąź spadła Ci na głowę?^^Po długich minutach w końcu dźwigasz się na nogi, jednakże nie wszyscy twoi ludzie mieli tyle szczęścia.^^
menu_fangorn_killed_troop_only|^^^^^^^^Podróżujesz przez mroczny, gęsty las. Twoi ludzie są przerażeni.^^Nagle słyszysz krzyki dochodzące z tyłu! Szybko zawracasz, jednakże odnajdujesz paru martwych żołnierzy w kałuży krwi.^^Innych nigdzie nie widać...
mno_get_out|Wynośmy się z tego przeklętego miejsca!
menu_can_capture_troll|Pokonany troll wciąż oddycha!!^^Jego przepełnione bólem i wściekłością oczy patrzą na ciebie.^Nawet teraz, kiedy został powalony, leżąc w kałuży krwi, wciąż wydaje się śmiertelnie niebezpieczny...
mno_killit|Dobijcie to, natychmiast. Upewnijcie się, że nie żyje.
mno_cageit1|Zakujcie to i umieście w klatce.
mno_cageit2|Umieście to wraz z innym trollem.
mno_cheat_disabable|Wyłącz opcję oszustw/moddingu.
menu_drank_ent_water_human|^^^Wypijasz wodę. Jest orzeźwiająca i czysta . Ma przyjemną woń , niczym piżmo.^Czujesz się pobudzony.^^Niemniej, masz dziwne i nienaturalne odczucie. Instykt mówi ci, aby nigdy więcej nie pić tej wody.
menu_drank_ent_water_orc|^^^Wypijasz wodę. To zwyczajna woda.^Nagle czujesz zaciskający ból w gardle. .^Woda była zatruta!^Krztusisz się, wypluwając ciemną krew, niemalże mdlejesz.^^To boli, oh, tak bardzo boli.
mno_i_shall_surv|Ja... powinienem... przetrwać!
menu_end_game|^^^^^A więc postanowione, decydujesz się porzucić życie podróżnika i ustatkować się.  Sprzedajesz swoją zbroję i broń, zbierasz dobytek i wyruszasz w kierunku zachodzącego słońca...
mno_end_game_bye|Bywaj.
menu_cattle_herd|Napotykasz jakichś ludzi.
mno_cattle_drive_away|Rozkaż im podążać za sobą.
mno_cattle_stop|Każ im się zatrzymać.
mno_leave|Odejdź.
menu_simple_encounter|^^^^^{s2}^Masz {reg22} ludzi zdolnych do walki przeciwko {reg11}.^^Twe rozakazy?
mno_encounter_attack|{reg21?Atakujemy:Przygotować się do obrony}.
mno_encounter_order_attack|Rozkaż swoim oddziałom {reg21?zaatakować:stawić im czoła}, ty zaś zaczekaj na tyłach.
mno_special_whip|Rush forward toward them cracking the {s4}.
mno_encounter_leave|Odejdź.
mno_encounter_retreat|Wycofaj się, zostawiając kilku żołnierzy, by osłaniali twój odwrót.
menu_encounter_retreat_confirm|^^^^^Jako członek oddziału z najwyższymi umiejętnościami taktycznymi,   ({reg2}), {reg3?obmyślasz:{s3} obmyśla} plan, który pozwoli tobie i twoim ludziom uciec, ratując życie. Będziesz musiał jednak zostawić {reg4} żołnierzy, by powstrzymać wroga od ruszenia w pościg.
mno_leave_behind|Dalej. Poświęcenie tych kilku ludzi ocali resztę.
mno_dont_leave_behind|Nie. Nikogo nie zostawimy.
menu_encounter_retreat|^^^^^Rozkazujesz {reg4} twoim żołnierzom by zatrzymali wroga, podczas gdy ty z resztą oddziału będziecie się wycofywać.
menu_order_attack_begin|^^^^^^Twoje oddziały są gotowe by zaatakować wroga...
mno_order_attack_begin|Daj rozkaz do ataku.
mno_call_back|Każ się wycofać.
menu_order_attack_2|{s4}^^Twoje straty: {s8}^^Straty wroga: {s9}
mno_order_attack_continue|Rozkaż żołnierzom, by nie przerywali ataku.
mno_order_retreat|Każ się wycofać.
menu_kingdom_army_quest_report_to_army|{s8} przesyła wiadomość, że życzy sobie, byś przyłączył{/a} się do jego nowej kampanii wojennej. Musisz przybyć wraz z armią składającą się z {reg13} żołnierzy i szybko powin{ieneś/naś} wyszkolić więcej ludzi, jeśli tylu nie posiadasz.
mno_reject|Wyślij wiadomość, że jesteś zbyt zajęty.
mno_send_word|Wyślij wiadomość, że wkrótce do niego dołączysz
menu_kingdom_army_quest_messenger|{s8} przesyła wiadomość, że życzy sobie rozmawiać z tobą w sprawie pewnego zadania. Żąda, byś spotkał{/a} się z nim najszybciej, jak to tylko możliwe.
menu_kingdom_army_quest_join_siege_order|{s8} chce, byś pom{ógł/ogła} oblegać {s9} i przygotować szturm. Twoi żołnierze mają zająć {s9} za wszelką cenę.
menu_kingdom_army_follow_failed|Nie wysłuchał{e/a}ś rozkazów, które wydał ci {s8} i nie podążył{e/a}ś za nim. W gniewie wyrzuca Cię ze swej armii i wysyła groźnie brzmiące ostrzeżenie, iż twe czyny nie zostaną zapomniane.
menu_battle_debrief|{s11} Podczas tej krwawej bitwy ucierpieli:^^Twoje straty:{s8}{s10}^^Straty wroga:{s9}
mno_inspect_troll|Zbadaj powalonego trolla
menu_pre_join|^^^^^Natrafiasz na zaciekłą bitwę, w której walczą {s2} i {s1}. Decydujesz się...
mno_pre_join_help_attackers|Wspomóc atakujących. {s2} potrzebują pomocy.
mno_pre_join_help_defenders|Pomóc atakowanym ({s1}) i wesprzeć ich w obronie.
mno_pre_join_leave|Nie mieszać do tej walki.
menu_join_battle|^^^{s2} wznoszą bojowy okrzyk widząc, jak ruszasz im na pomoc. {s1} muszą się teraz zmierzyć z waszymi połączonymi siłami.^ Macie łącznie {reg10} żołnierzy przeciwko {reg11} żołnierzom wroga.
mno_join_attack|Zaatakuj wroga.
mno_join_order_attack|Rozkaż swoim ludziom by pomogli sprzymierzeńcom w walce z wrogiem.
mno_join_leave|Odejdź.
menu_join_order_attack|{s4}^^Twoje straty: {s8}^^Straty sprzymierzeńców: {s9}^^Straty wroga: {s10}
mno_enter|Wejdź.
menu_battlefields|^^^^^^^^Wybierz pole...
mno_enter_f1|Pole 1
mno_enter_f2|Pole 2
mno_enter_f3|Pole 3
mno_enter_f4|Pole 4
mno_enter_f5|Pole 5
menu_join_siege_outside|^^^^^^{s1} jest pod oblężeniem wojsk, którymi dowodzi {s2}.
mno_approach_besiegers|Idź do obozu oblegających.
mno_pass_through_siege|Omiń oblężenie i spróbuj się przedostać do: {s1}.
menu_cut_siege_without_fight|Oblegający nie robią problemów i pozwalają ci spokojnie dotrzeć do {reg1?bram miasta:zamku}.
menu_besiegers_camp_with_allies|{s1} jest pod oblężeniem wojsk, którymi dowodzi {s2}. Ty i twoi ludzie zostajecie radośnie przywitani w obozie oblegających...
mno_talk_to_siege_commander| Zażądaj spotkania z dowódcą.
mno_join_siege_with_allies|Przyłącz się do następnego ataku na mury.
mno_join_siege_stay_back|Rozkaż swoim żołnierzom, by bez ciebie przyłączyli się do następnego ataku.
menu_moria_must_escape|^^The book is actually a copy of PLAY DWARF!^^^Specifically, a special issue on ''Big Breasts in Blonde Beards''.^Fascinating! You casually wander around reading it.^When you finish, you are lost deep in moria.
mno_moria_exit_scene|Znajdź drogę powrotną!
menu_castle_outside|W pobliżu znajduje się {s2}.{s11} {s3} {s4}
mno_moria_enter|Wróć do głównej sali Morii przez sekretne wejście.
mno_moria_enter_door|Wejdź do Morii.
mno_castle_start_siege|Oblegaj {reg6?miasto:zamek}.
mno_castle_leave|Odejdź.
menu_castle_besiege|Oblegasz {s1}. {s2} {s3}
mno_siege_request_meeting|Zażądaj spotkania z dowódcą zamku.
mno_wait_24_hours|Przeczekaj do jutra.
mno_castle_lead_attack|Poprowadź swoje oddziały do ataku.
mno_attack_stay_back|Rozkaż swoim żołnierzom zaatakować, ty zaś zostań na tyłach...
mno_build_ladders|Przygotuj się do zaatakowania murów.
mno_lift_siege|Porzuć oblężenie.
menu_siege_attack_meets_sally|^^^^^^Obrońcy ruszają naprzeciw twemu szturmowi.
menu_construct_ladders|Jako członek oddziału z najwyższą umiejętnością inżynierii ({reg2}), {reg3?obliczasz:{s3} oblicza}, że zbudowanie drabin zajmie około {reg4} godzin.
mno_build_ladders_cont|Dalej.
menu_castle_attack_walls_simulate|{s4}^^Twoje straty:{s8}^^Straty wroga: {s9}
menu_castle_attack_walls_with_allies_simulate|{s4}^^Twoje straty: {s8}^^Straty sojuszników: {s9}^^Straty wroga: {s10}
menu_castle_taken|{s3} pada pod naporem twoich żołnierzy i masz teraz{reg2?: nad nim} pełną kontrolę{reg2? nad miastem:}.{reg1? Wydaje się, że już nic nie może cię powstrzymać, by zatrzymać {reg2?je:go} dla siebie...:}
menu_castle_taken_2|{s3} pada pod naporem twoich żołnierzy i masz teraz nad nim pełną kontrolę. Czas, by {s9} usłyszał o twoim zwycięstwie. {s5}
mno_castle_taken_no_claim|Nie proś o nic.
menu_siege_started_defender|{s1} szturmuje {s2}. Łącznie macie {reg22} żołnierzy przeciwko {reg11} żołnierzom wroga. Decydujesz się...
mno_siege_defender_join_battle|Dołaczyć do bitwy.
mno_siege_defender_troops_join_battle|Rozkazać swoim oddziałom przyłączyć się do bitwy, ty zaś zostaniesz z tyłu.
menu_siege_join_defense|{s4}^^Twoje straty: {s8}^^Straty sprzymierzeńców: {s9}^^Straty wroga: {s10}
menu_village_hunt_down_fugitive_defeated|^^^^^Uciekinier powala cię na ziemię potężnym uderzeniem, nagle świat zaczyna wirować i wszystko ciemnieje. Czas mija. Gdy wreszcie otwierasz oczy zmaltretowan{y/a} i zakrwawion{y/a}, ale na szczęście żadna z odniesionych ran nie okazuje się śmiertelna.
menu_town_bandits_succeeded|^^^^^The goblins fall before you as wheat to a scythe! Soon you stand alone while most of your attackers lie unconscious, dead or dying. Searching the bodies, you find a purse which must have belonged to a previous victim of these brutes. Or perhaps, it was given to them by someone who wanted to arrange a suitable ending to your life.
menu_town_brawl_lost|^^^^^^Został[eś/aś] znokautowan[y/a]. Ludzie których zaatakował[eś/aś] szybko sprawdzili czy masz coś wartościowego, po czym powrócili do codziennego życia.
menu_town_brawl_won|^^^^^You have beaten all the opponents and the guards sent to quell the disturbance. You quickly frisk them for valuables then vanish until tempers quieten down.^Maybe next time they would show more respect and back off.
menu_close|Zamknij.
menu_town|Przybywasz do {s60}.{s12}{s13}
mno_town_menu_0|Go to some location.
mno_town_menu_0_door|Door to some location.
mno_town_approach|Podejdź do {s1}...
mno_town_castle|Idź do {s1}.
mno_town_castle_door|Drzwi do zamku.
mno_town_center|Walk to the main square...
mno_town_center_door|Drzwi do wieży centralnej.
mno_aw_chamber_door|Otwórz drzwi.
mno_trade_with_arms_merchant|Odwiedź zbrojownię.
mno_trade_with_horse_merchant|Odwiedź magazyny.
mno_town_prison_door|Drzwi do więzienia.
mno_dungeon_enter|Enter the cellars.
mno_dungeon_enter_door|Otwórz drzwi.
mno_dwarven_warehouse|Odwiedź magazyn Krasnoludów
mno_dwarven_warehouse_door|Wejdź do magazynu Krasnoludów
mno_talk_to_castle_commander|Odwiedź baraki.
mno_speak_with_elder|Rozmawiaj z miejscowymi władzami.
mno_isengard_underground|Go to the underground caverns.
mno_tirith_toplevel|Wspinaj się na wyższy poziom.
mno_town_leave|Odejdź...
mno_town_leave_door|Wyjdź
menu_disembark|Chcesz opuścić statek?
mno_disembark_yes|Tak.
mno_disembark_no|Nie.
menu_ship_reembark|Chcesz wejść na statek?
mno_reembark_yes|Tak.
mno_reembark_no|Nie.
menu_center_reports|Nazwa miasta: {s1}^Przychód z rent: {reg1} denarów^Przychód z podatków: {reg2} denarów^Zapas jedzenia: na {reg3} dni
menu_sneak_into_town_suceeded|Przebrawszy się w szaty biednego pielgrzyma, udaje ci się oszukać straże i przedostać do miasta.
menu_sneak_into_town_caught|Gdy próbował{e/a}ś przedostać się do miasta, jeden ze strażników rozpoznał cię i wzniósł alarm! Musisz szybko uciec z powrotem za bramy miasta, zanim wszyscy strażnicy ruszą za tobą.
mno_sneak_caught_fight|Spróbuj wywalczyć sobie drogę odwrotu!
mno_sneak_caught_surrender|Poddaj się.
menu_sneak_into_town_caught_dispersed_guards|Pokonujesz straże i zacierasz ślady przed rozpoczęciem ucieczki. Łatwo udaje ci się zgubić resztę pogoni w labiryncie uliczek.
menu_sneak_into_town_caught_ran_away|Zostawiasz miasto za sobą i uciekasz na wzgórza.
menu_tld_player_defeated|^^^^^Suddenly a shattering pain explodes in the back of your head! \\ You shiver, as all the world goes black around you...^Is this your end?
menu_recover_after_death_fangorn|You wake up. The forest is still around you. Every bone hurts. You are alive, by miracle.^^It was a defeat, but at least you were able to see what happened. ^Now you know what is going on in this accursed forest,^and you survived to tell. ^^Will anyone ever believe you?
menu_recover_after_death_moria|^^^^^You regain your conciousness. You are lieing on soft soil, fresh air breezing on your face. You are outside!^The orcs must have taken you for dead and thrown you in some murky pit.^By who knows what underground river you must have been carried on the surface.
mno_whatever|Wstawaj
menu_recover_after_death_default|^^^^^You regain your conciousness. You are in the spot you fell.  The enemies must have taken you up for dead and left you there.  However, it seems that none of your wound were lethal,  and altough you feel awful, you find out that can still walk.  You get up and try to look for any other survivors from your party.
menu_recover_after_death_town|^^^^You regain your conciousness and find yourself near the town boundary.   You are alive!  Nobody is around and you take jour chance to drag yourself outside the town.  It seems that none of your wound were lethal,  and altough you feel awful, you find out that can still walk.
menu_recover_after_death_town_alone|You regain your conciousness and find yourself near the town boundary.   You are alive!  Nobody is around and you take jour chance to drag yourself outside the town. Your companions find you. It seems that none of your wound were lethal,  and altough you feel awful, you find out that can still walk.
menu_notification_center_under_siege|{s1} jest pod oblężeniem wrogich oddziałów, którymi dowodzi {s2} ({s3})!
menu_notification_one_side_left|^^^^^Wojna o Pierścień się skończyła!^^{s1} pokonuje wszystkich swych przeciwników!
menu_notification_total_defeat|^^^^^Wojna o Pierścień skończyła się dla ciebie!^^The {s1} have been defeated by their enemies and you stand alone in defeat!
menu_notification_your_faction_collapsed|^^^^^Your {s11} homeland was defeated!^Still, other allies remain in the War. You, togheter with anyone left from {s11}, can still help your side win.
menu_notification_faction_defeated|^^^^^Pokonano {s1}!^{s1} już nie istnieje!
menu_ruins|^^^^You approach the {s1}. A once strong encampment was razed to the ground, though you can still see traces of fortifications and scattered rusty weapons.
menu_legendary_place|^^^^You have followed the rumors and found {s1}. You can now explore this place and see for yourself if the rumors are true.
mno_explore|Explore this place.
menu_ring_hunter_lair|^^^^Podążałeś za Łowcami Pierścienia przez las Mirkwood i dotarłeś do {s1}. Widzisz ich przygotowujących się do opuszczenia z skrzynią.
mno_attack_lair|Zaatakuj teraz.
mno_leave_bandit_lair|Odejdź.
menu_starting_quest_good|^^^^^^You spot a small caravan under attack from a band of orcs. What will you do?
mno_help|Help the strangers!
mno_start_defend_caravan|Broń karawany!
mno_start_raid_caravan|Napadnij na karawanę!
mno_start_ambush_orcs|Napadnij na Orków!
mno_start_kill_scouts|Powstrzymaj zwiadowców przed ostrzeżeniem o twoim przybyciu!
mno_go_your_way|Leave them alone
mno_defend_villagers|Broń mieszkańców wioski!
mno_raid_villagers|Splądruj wioskę!
mno_go_away|Leave them alone
menu_custom_battle_choose_faction1|^^^^^^^^^^Choose your side and advantage:
mno_good_equal|Dobra frakcja.
mno_bad_equal|Wroga frakcja
mno_replay_prev|Przywróć poprzednie ustawienia
menu_custom_battle_choose_faction2|^^^^^^^^^^Choose good faction
mno_cb_gondor|Gondor
mno_cb_gondor1|Rohan
mno_cb_gondor2|Lothlorien
mno_cb_gondor3|Rivendell
mno_cb_gondor4|Mirkwood
mno_cb_gondor5|Krasnoludy
mno_cb_gondor6|Dale
mno_cb_gondor7|Beorningowie
menu_custom_battle_choose_faction3|^^^^^^^^^^Choose evil faction
mno_cb_mordor|Mordor
mno_cb_mordor1|Isengard
mno_cb_mordor2|Dunland
mno_cb_mordor3|Haradrim
mno_cb_mordor4|Easterlingowie
mno_cb_mordor5|Moria
mno_cb_mordor6|Gundabad
mno_cb_mordor7|Rhun
mno_cb_mordor8|Korsarze
mno_rescue_mission|Sneak into the sorcerer's lair under the night's cover.
mno_next_rescue_scene_door|Continue onward!
mno_pick_troops1|Pick companions for the mission, {reg0}  selected
menu_pick_troops|Whom would you take with you into the stealth mission?    Currently you picked {reg0} companions. You can take up to 10 troops with you
mno_go_forward|End selecting companions and proceed.
menu_burial_mound|You approach the burial mound of {s1} of {s2}.   It is heaped with the notched weapons of his fallen enemies.
mno_pay_respects|Kneel and pay your respects.
mno_swear_oath|Swear an oath of vengeance!
mno_despoil|Desecrate the site
mno_leave_mound|Zsiądź z konia.
menu_burial_mound_respects|You kneel and pay your respects to {s1}, silently mouthing a prayer for a speedy journey to the afterlife.  There is nothing left to be done here.
menu_burial_mound_oath|You loudly swear an oath of vengeance for the death of {s1}.   You would relentlessly seek out the forces of {s2} and destroy them.   Your words carry far on the wind and who can say that they were not heard beyond the sea?
menu_burial_mound_despoil|You tear down the monument to {s1} with your own hands and defile the very stones with curses, fell chants and unspeakable acts.  Your followers fall back in fear of the dead but they seem to have renewed respect for your wickedness.
menu_funeral_pyre|You approach the charred remnants of the funeral pyre of {s3} of {s2}.   Here his corpse was ceremoniously burned by his personal bodyguards.   Nothing of value remains.
mno_leave_pyre|Odejdź od stosu.
menu_town_ruins|When you approach, you see that {s1} is {s2}
