itm_horse_meat|Konina
itm_gon_tab_shield_a|Heraldyczna Gondorska Okrągła Tarcza
itm_gon_tab_shield_b|Heraldyczna Gondorska Kwadratowa Tarcza
itm_gon_tab_shield_c|Heraldyczna Gondorska Trójkątna Tarcza
itm_gon_tab_shield_d|Heraldyczna Gondorska Tarcza z Cytadeli
itm_amroth_sword_a|Miecz z Dol Amroth
itm_amroth_sword_b|Rycerski Miecz z Dol Amroth
itm_gondor_sword|Gondorski Miecz Piechoty
itm_amroth_bastard|Ciężki Miecz z Dol Amroth
itm_gondor_short_sword|Linhirski Eket
itm_pelargir_eket|Eket z Pelargiru
itm_pelargir_sword|Miecz z Pelargiru
itm_gondor_ranger_sword|Gondorski Miecz Zwiadowcy
itm_gondor_bastard|Gondorski Miecz Półtoraręczny
itm_gondor_citadel_sword|Gondorski Miecz z Cytadeli
itm_gondor_cav_sword|Gondorski Miecz Kawaleryjski
itm_gondor_spear|Gondorska Włócznia
itm_gondor_tower_spear|Gondorska Włócznia z Cytadeli
itm_gondor_lance|Gondorska lanca
itm_loss_axe|Bitewny Topór z Lossarnach
itm_loss_war_axe|Wojenny Topór z Lossarnach
itm_lorien_sword_a|Długi Miecz z Lorien
itm_lorien_sword_b|Krótki Miecz z Lorien
itm_lorien_sword_c|Wojenny Miecz z Lorien
itm_lorien_archer|Miecz Łucznika z Lorien
itm_lorien_armor_a|Zbroja Piechoty z Lorien
itm_lorien_armor_b|Ciężka Zbroja Piechoty z Lorien
itm_lorien_armor_c|Królewska Zbroja Łucznika z Lorien
itm_lorien_armor_d|Królewska Zbroja Mitrza Miecza z Lorien
itm_lorien_armor_e|Płaszcz Strażnika z Lorien
itm_lorien_armor_f|Elitarna Zbroja z Lorien
itm_lorien_boots|Buty z Lothlorien
itm_lorien_shield_b|Pawęż z Lorien
itm_lorien_shield_c|Trójkątna Tarcza z Lorien
itm_lorien_round_shield|Okrągła Tarcza z Lorien
itm_lorien_helm_a|Hełm Łucznika z Lorien
itm_lorien_helm_b|Hełm Łucznika z Lorien
itm_lorien_helm_c|Hełm Piechoty z Lorien
itm_orc_chain_greaves|Orkowe Nagolenniki
itm_orc_coif|Orkowy Czepiec
itm_orc_greaves|Orkowe Kolcze Buty
itm_orc_ragwrap|Orkowe Szmaty
itm_orc_furboots|Orkowe Futrzane Buty
itm_orc_furboot_tall|Orkowe Futrzane Buty
itm_orc_tribal_a|Niegarbowana Skóra
itm_orc_tribal_b|Niegarbowana Skóra
itm_orc_tribal_c|Niegarbowana Skóra
itm_evil_gauntlets_a|Rękawice
itm_evil_gauntlets_b|Rękawice
itm_isen_orc_armor_a|Isengardzka Zbroja Orka
itm_isen_orc_armor_b|Isengardzka Zbroja Orka
itm_isen_orc_armor_c|Isengardzka Zbroja Orka
itm_isen_orc_armor_d|Isengardzka Zbroja Orka
itm_isen_orc_armor_e|Isengardzka Zbroja Orka
itm_isen_orc_armor_f|Isengardzka Zbroja Orka
itm_isen_orc_armor_g|Isengardzka Zbroja Orka
itm_isen_uruk_light_a|Lekka Zbroja Uruk-hai
itm_isen_uruk_light_b|Skórzana Zbroja Uruk-hai
itm_isen_uruk_light_c|Skórzana Zbroja Uruk-hai
itm_isen_uruk_light_d|Skórznia z Kolczugą Uruk-hai
itm_isen_uruk_light_e|Pancerz Kolczy Uruk-hai
itm_isen_uruk_heavy_a|Wzmacniana Kolczuga Uruk-hai
itm_isen_uruk_heavy_b|Ciężki Pancerz Uruk-hai
itm_isen_uruk_heavy_c|Ciężka Zbroja Uruk-hai
itm_isen_uruk_heavy_d|Skórznia Tropiciela Uruk-hai
itm_isen_uruk_heavy_e|Zbroja Tropiciela Uruk-hai
itm_uruk_tracker_boots|Buty Tropiciela Uruk-hai
itm_uruk_greaves|Nagolenniki Uruk-hai
itm_uruk_chain_greaves|Kolcze Nogawice Uruk-hai
itm_uruk_ragwrap|Łachmany Uruk-hai
itm_isen_orc_helm_a|Isengardzi Hełm Orków
itm_isen_orc_helm_b|Isengardzi Hełm Orków
itm_isen_orc_helm_c|Isengardzi Hełm Orków
itm_isen_uruk_helm_a|Hełm Uruk-hai
itm_isen_uruk_helm_b|Hełm Uruk-hai
itm_isen_uruk_helm_c|Hełm Uruk-hai
itm_isen_uruk_helm_d|Hełm Wodza Uruk-hai
itm_isen_uruk_helm_e|Hełm Tropiciela Uruk-hai
itm_isen_uruk_helm_f|Hełm Tropiciela Uruk-hai
itm_uruk_pike_a|Pika Uruków
itm_uruk_pike_b|Pika Uruk-hai
itm_uruk_falchion_a|Ostrze Uruków
itm_uruk_falchion_b|Tasak Uruków
itm_uruk_spear|Włócznia Uruków
itm_uruk_skull_spear|Włócznia z Czaszką Uruków
itm_uruk_voulge|Berdysz Uruków
itm_uruk_heavy_axe|Ciężki Topów Uruków
itm_isengard_sword|Isengardzki Miecz
itm_isengard_axe|Isengardzki Topór
itm_isengard_hammer|Isengardzki Młot
itm_isengard_halberd|Isengardzka Halabarda
itm_isengard_mallet|Isengardzki Kafar
itm_isengard_heavy_axe|Isengardzki Ciężki Topór
itm_isengard_heavy_sword|Isengardzki Ciężki Miecz
itm_isengard_spear|Isengardzka Włócznia
itm_isengard_pike|Isengardzka Pika
itm_isen_orc_shield_a|Isengardzka Tarcza Orków
itm_isen_orc_shield_b|Isengardzka Tarcza Orków
itm_isen_uruk_shield_b|Isengardzka Tarcza Uruków
itm_wood_club|Drewniana Maczuga
itm_twohand_wood_club|Dłua Drewniana Maczuga
itm_bone_cudgel|Kościana Pałka
itm_skull_club|Laga z Czaszką
itm_orc_club_a|Orkowa Pałka
itm_orc_club_b|Orkowa Pałka
itm_orc_club_c|Orkowa Pałka
itm_orc_club_d|Orkowa Pałka
itm_orc_sledgehammer|Orkowy Kafar
itm_orc_simple_spear|Orkowy Włócznia
itm_orc_skull_spear|Orkowa Włócznia z Czaszką
itm_orc_bill|Orkowy Sierp Bojowy
itm_orc_slasher|Orkowy Siekacz
itm_orc_falchion|Orkowy Tasak
itm_orc_scimitar|Orkowe Zakrzywione Ostrze
itm_orc_sabre|Orkowa Szabla
itm_orc_machete|Orkowa Maczeta
itm_orc_axe|Orkowy Topór
itm_orc_two_handed_axe|Orkowy Dwuręczny Topór
itm_orc_throwing_axes|Orkowe Toporki do Rzucania
itm_orc_bow|Orkowy Łuk
itm_orc_shield_a|Orkowa Tarcza
itm_orc_shield_b|Orkowa Tarcza
itm_orc_shield_c|Orkowa Tarcza
itm_mordor_orc_shield_a|Mordorska Orkowa Tarcza
itm_mordor_orc_shield_b|Mordorska Orkowa Tarcza
itm_mordor_orc_shield_c|Mordorska Orkowa Tarcza
itm_mordor_orc_shield_d|Mordorska Orkowa Tarcza
itm_mordor_orc_shield_e|Mordorska Orkowa Tarcza
itm_mordor_uruk_shield_a|Mordorska Tarcza Uruków
itm_mordor_uruk_shield_b|Mordorska Tarcza Uruków
itm_mordor_uruk_shield_c|Mordorska Tarcza Uruków
itm_mordor_man_shield_a|Mordorska Tarcza ludzi
itm_mordor_man_shield_b|Mordorska Tarcza ludzi
itm_angmar_shield|Tarcza z Angmaru
itm_orc_helm_a|Orkowy Hełm z Nosalem
itm_orc_helm_b|Orkowy Hełm z Kratą
itm_orc_helm_c|Orkowy Hełm
itm_orc_helm_d|Orkowy Hełm z Kratą
itm_orc_helm_e|Orkowy Hełm z Dziobem
itm_orc_helm_f|Orkowy Hełm
itm_orc_helm_g|Orkowy Wroni Hełm
itm_orc_helm_h|Orkowy Hełmoszczęk
itm_orc_helm_i|Orkowy Mordokryj
itm_orc_helm_j|Orkowy Jaszczurzy Hełm
itm_orc_helm_k|Orkowy Sępi Hełm
itm_m_orc_light_a|Mordorska Orkowa lekka Zbroja
itm_m_orc_light_b|Mordorska Orkowa lekka Zbroja
itm_m_orc_light_c|Mordorska Orkowa lekka Zbroja
itm_m_orc_light_d|Mordorska Orkowa lekka Zbroja
itm_m_orc_light_e|Mordorska Orkowa lekka Zbroja
itm_m_orc_heavy_a|Mordorska Orkowa Ciężka Zbroja
itm_m_orc_heavy_b|Mordorska Orkowa Ciężka Zbroja
itm_m_orc_heavy_c|Mordorska Orkowa Ciężka Zbroja
itm_m_orc_heavy_d|Mordorska Orkowa Ciężka Zbroja
itm_m_orc_heavy_e|Mordorska Orkowa Ciężka Zbroja
itm_m_uruk_light_a|Pancerz Uruka
itm_m_uruk_light_b|Twardy Pancerz Uruka
itm_m_uruk_heavy_c|Skórznia Uruka
itm_m_uruk_heavy_d|Segmentowa Zbroja Uruka
itm_m_uruk_heavy_e|Kolczuga Uruka
itm_m_uruk_heavy_f|Kolczuga Uruka
itm_m_uruk_heavy_g|Kolczuga Uruka
itm_m_uruk_heavy_h|Łuskowa Zbroja Uruka
itm_m_uruk_heavy_i|Łuskowy Pancerz Uruka
itm_m_uruk_heavy_j|Ciężka Zbroja Uruka
itm_m_uruk_heavy_k|Zbroja Warty Uruków
itm_m_cap_armor|Mordorska Zbroja Kapitana
itm_black_num_armor|Zbroja Czarnych Numenorejczyków
itm_m_armor_a|Mordorska Zbroja
itm_m_armor_b|Mordorski Pancerz
itm_evil_light_armor|Czarne Łachmany
itm_uruk_helm_a|Hełm Uruków
itm_uruk_helm_b|Hełm Uruków
itm_uruk_helm_c|Hełm Uruków z Dziobem
itm_uruk_helm_d|Hełm Uruków z Kratą
itm_uruk_helm_e|Hełm Uruków z Zasłoną
itm_uruk_helm_f|Hełm Uruków
itm_mordor_cap_helm|Mordorski Hełm Przywódcy
itm_mordor_helm|Mordorski Hełm
itm_black_num_helm|Czarny Numenoryjski Hełm
itm_mordor_sword|Mordorski Miecz Półtoraręczny
itm_mordor_longsword|Miecz z Mordoru
itm_moria_armor_a|Napierśnik z Morii
itm_moria_armor_b|Napierśnik z Naramiennikami z Morii
itm_moria_armor_c|Orkowa Kolczuga z Morii
itm_moria_armor_d|Nitowana Skórznia z Morii
itm_moria_armor_e|Orkowa Ciężka Kolczuga z Morii
itm_moria_orc_shield_a|Orkowa Tarcza z Morii
itm_moria_orc_shield_b|Orkowa Tarcza z Morii
itm_moria_orc_shield_c|Orkowa Tarcza z Morii
itm_gundabad_armor_a|Gundabadzkie Orkowe Kamasze
itm_gundabad_armor_b|Gundabadzkie Orkowe Futro
itm_gundabad_armor_c|Gundabadzka Orkowa Zbroja
itm_gundabad_armor_d|Gundabadzki Orkowt Pancerz
itm_gundabad_armor_e|Gundabadzka Orkowa Ciężka Zbroja
itm_gundabad_helm_a|Gundabadzka Czapa
itm_gundabad_helm_b|Gundabadzki Hełm
itm_gundabad_helm_c|Gundabadzki Hełm
itm_gundabad_helm_d|Gundabadzki Hełm
itm_gundabad_helm_e|Hełm Jeźdźców Wargów
itm_dunland_wolfboots|Dunlandzkie Wilcze Buty
itm_dunland_armor_a|Dunlandzka Futrzana Zbroja
itm_dunland_armor_b|Dunlandzka Futrzana Zbroja
itm_dunland_armor_c|Dunlandzka Futrzana Zbroja
itm_dunland_armor_d|Dunlandzka Futrzana Zbroja
itm_dunland_armor_e|Dunlandzka Futrzana Zbroja
itm_dunland_armor_g|Dunlandzka Futrzana Zbroja
itm_dunland_armor_h|Dunlandzka Długa Futrzana Zbroja
itm_dunland_armor_i|Dunlandzka Koszula Kolcza
itm_dunland_armor_j|Dunlandzka Koszula Kolcza
itm_dunland_armor_k|Zbroja Wodza Dunlendingów
itm_dun_helm_a|Dunlandzka Wilcza Czapa
itm_dun_helm_b|Dunlandzka Jelenia Czapa
itm_dun_helm_c|Dunlandzki Wspaniały Hełm
itm_dun_helm_d|Dunlandzki Wspaniały Hełm
itm_dun_helm_e|Dunlandzki Wspaniały Wojenny Hełm
itm_dun_shield_a|Dunlandzka Tarcza
itm_dun_shield_b|Dunlandzka Tarcza
itm_dun_berserker|Dunlandzki Miecz Herszta
itm_dunnish_antler_axe|Dunlandzki Topór z Poroża
itm_dunnish_war_axe|Dunlandzki Topór Bojowy
itm_dunnish_axe|Dunlandzki Topór
itm_dunland_spear|Dunlandzka Włócznia
itm_dunnish_pike|Dunlandzka Pika
itm_rohan_armor_a|Rohańska Koszula
itm_rohan_armor_b|Rohańska Poła
itm_rohan_armor_c|Rohańska Długa Koszula
itm_rohan_armor_d|Rohański Haubert
itm_rohan_armor_e|Rohański Haubert
itm_rohan_armor_f|Rohański Haubert
itm_rohan_armor_g|Rohański Koszula Kolcza
itm_rohan_armor_h|Rohańska Długa Kolczuga
itm_rohan_armor_i|Rohańska Długa Kolczuga
itm_rohan_armor_j|Rohański Haubert
itm_rohan_armor_k|Rohański Haubert
itm_rohan_armor_l|Rohański Haubert
itm_rohan_armor_m|Rohańska Łuskowa Zbroja
itm_rohan_armor_n|Rohańska Łuskowa Zbroja
itm_rohan_armor_o|Rohańska Łuskowa Zbroja
itm_rohan_armor_p|Rohańska Zbroja
itm_rohan_armor_q|Rohańska Zbroja
itm_rohan_armor_r|Rohańska Zbroja
itm_rohan_armor_s|Rohańska Herbowa Kolczuga
itm_rohan_light_helmet_a|Rohański lekki Hełm
itm_rohan_light_helmet_b|Rohański lekki Hełm
itm_rohan_inf_helmet_a|Rohański Hełm Piechoty
itm_rohan_inf_helmet_b|Rohański Hełm Piechoty
itm_rohan_archer_helmet_a|Rohański Hełm Łucznika
itm_rohan_archer_helmet_b|Rohański Hełm Łucznika
itm_rohan_archer_helmet_c|Rohański Hełm Konnego Łucznika
itm_rohan_cav_helmet_a|Rohański Hełm Jeźdźca
itm_rohan_cav_helmet_b|Rohański Hełm Jeźdźca
itm_rohan_cav_helmet_c|Rohański Hełm Jeźdźca
itm_rohan_captain_helmet|Rohański Hełm Dowódcy
itm_rohan_shield_a|Rohańska Tarcza
itm_rohan_shield_b|Rohańska Tarcza
itm_rohan_shield_c|Rohańska Tarcza
itm_rohan_shield_d|Rohańska Tarcza
itm_rohan_shield_e|Rohańska Tarcza
itm_rohan_shield_f|Rohańska Tarcza
itm_rohan_shield_g|Rohańska Królewska Tarcza
itm_rohan_light_greaves|Rohańskie lekkie Nagoleenniki
itm_rohirrim_war_greaves|Rohańskie Wojenne Nagolenniki
itm_rohan_shoes|Skórzane Buty
itm_rohan_cav_sword|Rohański Miecz Jeźdźca
itm_rohan_inf_sword|Rohański Miecz
itm_rohan_spear|Rohańska Włócznia
itm_rohan_lance|Rohańska lanca
itm_rohan_sword_c|Rohański Miecz
