qstr_Received_{reg0}_dama|Otrzymano {reg0} obrażeń.
qstr_{s14}Grind_their_bod|{s14}Zostawcie ich ciała na piasku!
qstr_{s14}Dwarves_or_men_|{s14}Krasnoludy albo ludzie, są niczym wobec naszej potęgi!
qstr_{s14}Elves_or_men_th|{s14}Elfy albo ludzie, są niczym wobec naszej potęgi!
qstr_{s14}Flesh_to_shatte|{s14}Mięso do posiekania, gardła do podcięcia, krew do wypicia!
qstr_Put_on_the_masks_of_|Przybieżcie maski wojowników! Dziś zagłada spadnie na naszych wrogów z {s18}!
qstr_They_seek_the_tempes|Chcą burzy i będą ją mieć! Przygotować się do walki!
qstr_Draw_your_weapons_me|Wznieście broń ludzie, niechaj nawałnica rozniesie naszych wrogów!
qstr_Orcs_of_{s16}_get_re|Orkowie {s16}, przygotujcie się! Mamy do rozerżnięcia kilka gardeł!
qstr_These_friend_of_elve|Ci przyjaciele Elfów padną pod naszymi ostrzami!
qstr_These_Elves_will_fal|Te Elfy padną pod naszymi ostrzami!
qstr_Raahh!_Draw_your_wea|Raahh! Wznieście broń szumowiny {s16}! Dziś wieczorem będziemy świętować na wnętrznościach {s15}!
qstr_Rha!_{s14}More_{s15}|Rha! {s14}Więcej {s15} ciał do rozczłonkowania naszą tępą bronią!
qstr_Slaughter_these_puny|Zaszlachtować tych żałosnych złodziei {s18}! Nastepnie spalimy ich domy, zarżniemy i zgwałcimy ich kobiety!
qstr_Death_to_the_trespas|Śmierć najeźdźcom!
qstr_CHARGE!_Let_s_clear_|Atak! Oczyśćmy {s18} {s19}szumowiny z {s17}!
qstr_{s14}Now_that_{s19}s|{s14}Teraz {s19}szumowiny odczują smak furii ludzi niedźwiedzi!
qstr_Attack!|Do ataku!
; qstr_You_are_attacked_by_|You are attacked by a group of bandits!
qstr_Holding|Utrz. pozycję
qstr_Following|Za tobą
qstr_Charging|Atakują
qstr_Advancing|Podchodzą
qstr_Falling_Back|Cofają się
qstr_Standing_Closer|Grupują się
qstr_Spreading_Out|Rozpraszają się
qstr_Standing|Czekają
qstr_N/A|N/D
qstr_Free|Wolni
qstr_Any_Weapon|Dowolna broń
qstr_Blunt_Weapons|Broń obuchowa
qstr_Infantry__{reg1}_|Piechota ({reg1})
qstr_Archers__{reg2}_|Łucznicy ({reg2})
qstr_Cavalry__{reg3}_|Jeźdźcy ({reg3})
qstr_Given_by:_{s62}|Zleceniodawca: {s62}
qstr_Given_on:_{s60}|Otrzymane: {s60}
qstr_You_have_{reg0}_days|Masz jeszcze {reg0} dni na ukończenie tego zadania.
qstr_This_quest_has_been_|To zadanie zostało wykonane. {s59} czeka, byś się do niego zgłosił{/a} w celu zakończenia zadania.
qstr_This_quest_has_been_s|To zadanie zostało pomyślnie ukończone. {s59} wręczy ci nagrodę.
qstr_This_quest_has_faile|Nie udało się ukończyć tego zadania. {s59} czeka na twoje wyjaśnienia w tej sprawie.
qstr_At_the_time_quest_wa|Dodatkowe informacje o zadaniu:^{s1}
qstr_{s7}_and_{s8}|{s7} i {s8}
qstr_{s7}_{s8}|{s7}, {s8}
qstr_noone|brak
qstr_{s9}_and_{s10}|{s9} i {s10}
qstr_{s9}_{s10}|{s9}, {s10}
qstr_no_one|nikt
qstr_{s11}_and_{s12}|{s11} i {s12}
qstr_{s11}_{s12}|{s11}, {s12}
qstr_{s5}_is_ruled_by_{s6|{s5}, którym rządzi {s6}^Ma pod kontrolą: {s8}.^Ma następujących wasali: {s10}.^^{s5} prowadzi wojnę z: {s12}.
qstr_{s5}_has_been_defeat|Unicestwiono {s5}!
qstr_{s5}_has_a_strength_|{s5} ma armię liczącą w sumie {reg1} żołnierzy.
qstr_no_holdings|no holdings 
qstr_{s57}_and_{s58}|{s57} i {s58}
qstr_{s57}_{s58}|{s57}, {s58}
qstr_{reg3?She:He}|{reg3?Ona:On}
qstr_{reg6?:{reg4?{s54}_i|{reg6?:{reg4?{s54} jest suzerenem, mającym pod swoimi rządami {s56}.^:{s54} wspiera {s56}.^{s55} mianował go swoim wasalem.^}}Reputacja: {reg5}.^{reg9?Ma w swoim władaniu {s58}.:Nie posiada żadnych lenn.}{s59}
qstr_The_last_time_you_sa|Ostatni raz gdy {reg1?ją:go} widział{eś/aś}, {s1}
qstr_The_last_time_you_he|Ostatni raz gdy o {reg1?niej:nim} słyszałe{eś/aś}, {s1}
qstr_The_{s50}|{s50}
qstr_{s50}_belongs_to_{s1|{s50} należy do {s1} z {s2}.^
qstr_Current_garrison_con|Obecny garnizon składa się z {reg5} ludzi.^Ma zapasy żywności na {reg6} dni.
qstr_Very_Poor|bardzo niska
qstr_Poor|niska
qstr_Average|średnia
qstr_Rich|wysoka
qstr_Very_Rich|bardzo wysoka
qstr_Strength|siła
qstr_Agility|Zwinność
qstr_Intelligence|Inteligencja
qstr_Charisma|Charyzma
qstr_You_ve_gained_{s6}_f|Zyskałeś {s6} dzięki zyskom {s7}
qstr_You_ve_lost_{s6}_fro|Straciłeś {s6} przed przegraną {s7}
qstr_{s50}_Caves|{s50} Jaskiń
qstr_{s50}_Mines|{s50} Kopalni
qstr_{s50}_Woods|{s50} Lasów
qstr_{s4}_looks_upset.|{s4} się niepokoi.
qstr_your_party|twojego oddziału
qstr_{reg0?One_of_your_pr|{reg0?Jeden z twych jeńców,:} {s1} ({s3}) zdołał uciec z niewoli!
qstr_You_brought_{reg3}_h|Doprowadził{eś/aś} {reg3} szt. bydła do: {s1}.
qstr_Log_entry_{reg3}:_ty|Log entry {reg3}: type {reg4}
qstr_Center:_{s4}|Osada: {s4}
qstr_Troop:_{s4}|Jednostka: {s4}
qstr_Lord:_{s4}|Lord: {s4}
qstr_Ally_party_is_presen|Sojuszniczy oddział jest obecny
qstr_{s4}_is_present_at_e|{s4} jest obecny przy wydarzeniu
qstr_Event_#{reg5}_type_{|Zdarzenie #{reg5}, typ {reg6}, czas {reg8}: relacja królestwa gracza do obiektu oddziału = {reg7}
qstr_Event_#{reg5}_type_{r|Zdarzenie #{reg5}, typ {reg6}, czas {reg8}: relacja królestwa gracza do obiektu głównego frakcji = {reg7}
qstr_Event_#{reg5}_type_{re|Zdarzenie #{reg5}, typ {reg6}, czas {reg8}: relacja królestwa gracza do podmiotu frakcji = {reg7}
qstr_Event_#{reg5}_type_{reg|Zdarzenie #{reg5}, typ {reg6}, godzina {reg8}. Brak odpowiedniej relacji królestwa
qstr_Event_#{reg5}_type_{reg6|Zdarzenie #{reg5}, typ {reg6}, godzina {reg8}. Gracz niepowiązany
qstr_Elapsed_hours:_{reg7|Upłynęło godzin: {reg7}
qstr_Reputation_type:_{s1|Typ reputacji: {s15}
qstr_Entries_up_to_#{reg5|Wpisy do #{reg5} pominięte
qstr_A_new_location_is_no|Nowa lokacja dostępna na mapie!
qstr_New_trait_gained:_{s|Twoje umiejętności wzrosły: {s5}.
qstr_Gained_permanent_+1_|Zyskano +1 do Siły.
qstr_Gained_permanent_+1_t|Zyskano +1 do Zwinności.
qstr_Gained_permanent_+1_to|Zyskano +1 do Charyzmy.
qstr_Gained_permanent_+20|Zyskano +20 do biegłości we władania bronią.
qstr_Gained_permanent_+2_|Zyskano +2 do Siły.
qstr_Gained_permanent_+2_t|Zyskano +2 do Charyzmy.
qstr_Lost_permanent__1_to|Stracono -1 Charyzmy.
qstr_Gained_permanent_+1_to_|Zyskano +1 do Wytrzymałości.
qstr_Gained_permanent_+5_|Zyskano +5 do Siły.
qstr_Lost_permanent__2_to|Stracono -2 Charyzmy.
qstr_Gained_permanent_+2_to|Zyskano +2 do Wytrzymałości.
qstr_Gained_permanent_+10|Zyskano +10 do biegłości we władania bronią.
qstr_Gained_permanent_+1_to_T|Zyskano +1 do Taktyki.
qstr_You_have|Masz
qstr_{s1}_has|{s1} ma
qstr_{s11}_suffered_a_ser|{s11} cierpi od poważnych ran.
qstr_The_leg_has_been_bad|Noga została ciężko poraniona podczas bitwy.
qstr___2_athletics__1_rid|(-2 atletyki, -1 jeździectwa, -2 zręczności, -15 umiejętności walki wręcz)
qstr_The_arm_has_been_bad|Ręka została ciężko poraniona podczas bitwy.
qstr___20_weapon_skill__2|(-20 umiejętności walki bronią, -2 siły, -1 potężny cios)
qstr_The_head_has_suffere|Cios w głową spowodował ciężkie obrażenia.
qstr___1_intelligence_ski|(-1 umiejętności inteligencji, -15 biegłości strzeleckich)
qstr_The_chest_has_suffer|Silne uderzenie w klatkę piersiową zgruchotało kilka żeber.
qstr___20_weapon_skill_|(-20 umiejętności walki bronią)
qstr_{s1}_has_been_killed|{s1} zginął.
qstr_You_were_killed.|Zgin{ąłeś/ełaś}.
qstr_{s1}_recovered_from_|{s1} odzyskuje zdrowie po poważnej ranie.
qstr_The_leg_wound_has_he|Rana nogi zostaje wyleczona.
qstr__+2_athletics_+1_rid|(+2 atletyki, +1 jeździectwa, +2 zręczności, +15 umiejętności walki wręcz)
qstr_The_arm_wound_has_he|Rana ręki zostaje wyleczona.
qstr__+20_weapon_skill_+2|(+20 umiejętności walki bronią, +2 siły, +1 potężny cios)
qstr_The_head_wound_has_h|Rana głowy zostaje wyleczona.
qstr__+1_intelligence_ski|(+1 umiejętności inteligencji, +15 biegłości strzeleckich)
qstr_The_cracked_ribs_hav|Uszkodzone żebra zrosły się.
qstr__+20_weapon_skill_|(+20 umiejętności walki bronią)
qstr_{s1}_has_had_his_hea|Zdrowie {s1} polepszyło się
qstr_News_has_arrived_tha|Wiadomość przyszłą {s1} of {s2} został zabity w bitwie z {s28}!
qstr_{s1}_s_Burial_Mound|Kopiec Pogrzebowy w którym pochowany został {s1}
qstr_{s1}_s_Funeral_Pyre|Stos Pogrzebowy na którym spalony został {s1}
qstr_{s1}_is_logged_as_de|{s1} zginął
qstr_You_have_been_discov|Zostajesz odkryt{y/a} przed pokonaniem muru.
qstr_The_enemy_is_coming_|Wróg nadchodzi w sile, musisz uciekać!
qstr_Scout_this_area_alon|Przeszukaj okolicę, a następnie spotkaj się ze swymi ludzmi!
qstr_Be_stealthy_but_elim|Z ukrycia szybko wyeliminuj wszelkie zagrożenia!
qstr_You_are_spotted_by_a|Został{e/a}ś zauważon{y/a} przez patrol!
qstr_Eliminate_them_befor|Wyeliminuj ich nim wszczną alarm!
qstr_You_have_reached_the|Odnajdujesz podziemia!
qstr_Eliminate_the_guards|Wyeliminuj straż i uwolnij swych ludzi!
qstr_{s1}_has_been_captur|Wróg zajął {s1}.
qstr_Gondor_takes_a_capti|Gondor zostaje zniewolony
qstr_Rohan_takes_a_captiv|Rohan zostaje zniewolony
qstr_Mordor_takes_a_capti|Mordor zostaje zniewolony
qstr_Isengard_takes_a_cap|Isengard zostaje zniewolony
qstr_You_were_grievously_|Został{e/a}ś ciężko rann{y/a} a twe ciało znalazło się między martwymi. Udało ci się pokonać mur ale wróg mógł cię widzieć. Najlepiej będzie jeśli szybko się stąd oddalisz.
qstr_You_were_grievously_w|Został{e/a}ś ciężko rann{y/a}. Twym ludziom udało się cię wynieść z pola bitwy ale ponieśli przy tym straszliwe straty.
qstr_You_were_grievously_wo|Został{e/a}ś ciężko rann{y/a}. Twym ludziom udało się cię wynieść z pola bitwy ale ponieśli przy tym straszliwe straty. Niestety, część twych towarzyszy zostało pojmanych i uwięzionych w {s2}.
qstr_You_were_grievously_wou|Zostałeś poważnie zraniony podczas walki. Twoi żołnierze zdołali cię wydostać z pola walki, lecz niefortunnie mag zdołał uciec.
qstr_You_were_grievously_woun|Zostałeś poważnie zraniony i twoje ciało zostało zebrane z innymi trupami. Wyczekując odpowiedni moment udało ci się uciec, lecz niefortunnie mag zdołał uciec.
qstr_Some_of_your_compani|Część twych towarzyszy cierpi od starych ran.
qstr_Item_you_just_equipp|Założony ekwipunek nie pasuje dla rasy danej postaci i zostanie przeniesiony do ekwipunku gracza^^Upewnij się, że masz wystarczająco miejsca albo przedmioty zostaną utracone
qstr_Inappropriate_equipm|Nieodpowiedni ekwipunek
qstr_The_mount_you_just_e|Wyekwipowany wierzchowiec nie nadaje się dla danej rasy. Jeśli tak to zostawisz będą później problemy na polu bitwy
qstr_Inappropriate_mount|Niewłaściwy wierzchowiec
qstr_{s24}:_Your_infantry|{s24}: Twoja piechota czuje się lepiej!
qstr_{s24}:_Your_archers_|{s24}: Twoi łucznicy czują się lepiej!
qstr_{s24}:_Your_cavalry_|{s24}: Twoja kawaleria czuje się lepiej!
qstr_Ah_what_a_coincidenc|Ah, cóż za przypadek, że wpadłem na ciebie {playername}! Możesz mnie nie znać, ale ty nie jesteś mi obcy. Podróżuję do {s4} , ale wracam z {s3} gdzie usłyszałem o tobie. {s3} liczy na ciebie w tych trudnych czasach, dlatego powinieneś wspomagać  {s2} tak jak tylko jest to możliwe, a inne zajęcia powinieneś wykonać później.
qstr_Who_are_you?|Kim jesteś?
qstr_A_friend_of_{s3}_and|Przyjacielem {s3} i ludzi {s2}. Teraz śpiesz się! Mordor przyciąga zło, a Siły Ciemności zrobią wszystko by je tu zebrać. Czas ucieka, musimy zrobić wszystko co w naszej mocy by powstrzymać ciemność!
qstr_What_should_I_do?|Co powin{ienem/nam} zrobić?
qstr_Find_{s3}_s_whereabo|Dowiedz się gdzie przebywa {s3} i porozmawiaj z {reg3?her:him} . Powodzenia!
qstr_Good_to_see_the_Shad|Dobrze widzieć, że Cień cię jeszcze nie pokonał, {playername}.
qstr_You_are_the_one_they|Nazywają cię Gandalf albo Mithrandir.
; qstr_You_are_the_one_they_|You are the one they call Radagast.
qstr_That_is_what_some_ca|Rzeczywiście tak niektórzy mnie zwą. W moich czasach byłem znany pod innymi imionami, ale jeśli Ciemność nie zostanie zatrzymana, niedługo niezostanie nikt kto będzie mnie znał pod jakimkolwiek mianem.
qstr_What_do_you_mean?|Co masz na myśli?
qstr_In_spite_of_their_va|Mimo mężnego oporu, {s3} został pokonany przez siły zła. Ludzie zostali rozproszenia, a dobro przestało istnieć.
qstr_You_bring_dismal_new|Przynosisz ponure wieści, czarodzieju.
qstr_But_I_also_bring_a_m|Ale również przynoszę nadzieję. Ludzie {s5} nadal się trzymają. Ich wojownicy są nieustraszeni, a dowódcy zdecydowani.
qstr_Help_them_fight_the_|Pomóż im walczyć z wrogiem najlepiej jak potrafisz. Nigdy nie ustępuj! Ale miej się na baczności! Na świecie jest coś starszego i plugawszego aniżeli Orkowie.
qstr_Beware_{playername}_|Miej się na baczności, {playername}, potęga Ciemności rozpada się . {s3} upadł, podobnie jak ich przywódca {s4}.
qstr_What_do_you_want_of_|Czego ode mnie chcesz, stary?
qstr_Just_know_that_a_Daw|Wiedz tylko, że Świt nadchodzi. To nieuniknione. I powi{nieneś/nnaś} pozostać przy życiu by to ujrzeć.
qstr_Well_met_{playername|Witaj {playername}, {s24}. Nie myliłem się pokładając w tobie moje nadzieje. Potęga Ciemności została złamana, a Twoje czyny odegrały w tym nie małą role!
qstr_Thank_you_Mithrandir|Dziękuję, Mithrandirze!
; qstr_Thank_you_Radagast!|Thank you, Radagast!
qstr_The_wizard_Saruman_i|Czarodziej Saruman odszedł, a Barad Dur rozbite w pył wraz z Mrocznym Lordem! Wszystkie ludy Śródziemia zostały uwolnione od niemal pożarło wszystko co dobre i czyste w tym świecie. Wróg został wygnany a Król powrócił!
qstr_It_was_a_long_and_bl|To była długa i krwawa wojna i wielu twych bliskich przyjaciół nie ma już wśród nas.
qstr_There_is_much_to_reg|Jest wiele do opłakiwania, i nawet więcej do odbudowy i uleczenia w najbliższych dniach. Ale teraz cieszmy się i świętujmy z tym przyjaciółmi, którzy są wśród nas, w Ostatnich Dniach Trzeciej Ery.
; qstr_Orcs_are_marching_ag|Orcs are marching against Helm's Deep.
; qstr_Orcs_are_marching_aga|Orcs are marching against Edoras.
; qstr_Ah_{playername}_happ|Ah, {playername}, happy chance that we come on each other in this fashion! Grim tidings I bring from Western Rohan, and haste is sore needed.
; qstr_What_tidings_do_you_|What tidings do you bring, Mithrandir? What can I do?
; qstr_Saruman_has_loosed_I|Saruman has loosed Isengard upon Rohan. {s1} For the success of my designs, the valiant Rohirrim must not fall, {playername}! The danger to them is very great, yet also the emptying of Isengard has left it vulnerable, for Saruman has despatched his full strength against Theoden King. This may be the time to move into Nan Curunir. A choice is now laid before you, Commander, a choice you must make, for neither you nor I may be everywhere at once!
; qstr_Do_you_want_me_to_he|Do you want me to help King Theoden defend {s3}, or hasten to Isengard and see what I can do?
; qstr_Either_would_be_a_gr|Either would be a great boon to me. You must decide your course on your own, {playername}, as shall I. Shadowfax shall bear me now on a swift errand. You must act quickly as well! Hasten now!
; qstr_Gandalf_asked_you_to|Gandalf asked you to either help Theoden defend {s3} or find out what is happening in Isengard.
qstr_Ents|Entów
; qstr_Hail_{playername}!_I|Hail, {playername}! I hope you are unhurt? At any rate, I am pleased you aided my friend Fangorn, or you may know him as Treebeard. The tree shepherds are very mighty, but it was likely that they marched to their doom. You have perhaps saved them from a great peril, Commander, and for that I am glad. I would not like to see the oldest of all living things pass from the world, no, not just yet… no, not before they see the Entwives again, I should hope.
; qstr_Missing_String|Missing String
; qstr_Well_thank_you_{play|Well, thank you, {playername}, and farewell. We may meet again, ere the waning of the moon!
; qstr_Hail_{playername}!_I_|Hail, {playername}! I hope you are unhurt? At any rate, you seem to have lain your blade to the right foe. No enemy has yet taken the Hornburg, and likely none ever shall – not while the likes of you defend Helm’s Gate, I’ll warrant!
; qstr_Your_deed_has_greatl|Your deed has greatly helped my design, better even than I could have hoped or planned. Farewell, {playername}, and thank you. We may meet again, ere the waning of the moon!
; qstr_{Playername}_I_will_|{Playername}, I will ask you a thing now. You are accounted an able captain, and a dutiful one; were you overmastered by great foes? Did you tarry overlong, for caution or even fear? Behold, we are now come into a greater peril than I could have foreseen. The strength of Rohan is broken, her people scattered and shieldless: Helm’s Deep has fallen. The trees are withered untimely, and night lies over the forge-fires of Isengard: the Ents of Fangorn Forest are dead or driven back.
; qstr_You_have_failed_me_{|You have failed me, {playername} – or perhaps it is I who have failed you. Perhaps there was some flaw in my design, some grave blunder I did not recognise… The terror of Mordor comes. Leave me now, {playername}. We may meet again… or perhaps not.
qstr_Bagginsssss..._Ssssh|Bagginsssss... Sssshhhire...
qstr_I..._don_t_know!|Ja... nie wiem!
qstr_It..._beckonsssssss.|* wpatruje się w ciebie bez słowa *
qstr_Treachery..._Unforgi|Zdrada... Niewybaczalna...
qstr_But_I...|Ale Ja...
qstr_Noone..._oppossssses|Niiikt... nie przeciwsssstawi ssssię... Barad Dur... i żyyyyciu!
qstr_All..._must..._submi|Wszyscy... muszą... poddać się... i... służyć...
qstr_I_serve_the_Eye!|Służę Oku!
qstr_I_shall_serve_the_Ey|Powinienem służyć Oku!
qstr_Go_to_{s1}_and_speak|Idź do {s1} i porozmawiaj z {s9}.
qstr_The_Remnant_Forces_o|Remnant Forces of {s22} zebrały się, aby wzmocnić teatr {s15}!
qstr_The_strength_of_the_|Siła pozostałych sprzymierzonych frakcji w teatrze {s15} wzrosła
qstr_{s30}_reinforced_by_|{s30} reinforced by {reg65} fac str
qstr_{s1}_has_been_besieg|{s1} jest pod oblężeniem wojsk, którymi dowodzi {s2} ({s3}).
qstr_The_forces_of_{s2}_m|{s2} maszeruje na {s15}!
qstr_Rohan_capital_moved_|Stolica Rohanu została przeniesiona z Edoras do Rogatego Grodu!
qstr_Dale_capital_moved_f|Stolica Dale przeniosła się z Dale do Esgaroth!
qstr_Gundabad_capital_mov|Stolica Gundabad przeniesiona z Gundabad do Goblin Town!
; qstr_You_have_breached_th|You have breached the Ring of Isengard with the help of the Tree Men. During the battle, Isengard was flooded, but Orthanc still stands unscathed in midst of the havoc. You should investigate the aftermath.
qstr_The_hosts_of_{s2}_re|Gospodarze {s2} wycofują się z powrotem do swoich domów!
qstr____Ruins_of_{s1}___|   Ruiny {s1}   
; qstr_{s1}_has_joined_the_|{s1} has joined the Hand
; qstr_{s1}_has_joined_the_E|{s1} has joined the Eye
qstr_ranks|szeregi
qstr_shield_wall|mur tarcz
qstr_wedge|klin
qstr_square|czworobok
qstr_up|linię
qstr___Infantry_forming_{|  Piechota formuje {s1}.
qstr___Not_enough_infantr|  Nie ma wystarczająco piechoty by sformować {s1}.
qstr___Cavalry_forming_{s|  Kawaleria formuje {s1}.
qstr___Not_enough_cavalry|  Nie ma wystarczająco kawalerii by sformować {s1}.
qstr___Archers_forming_{s|  Łucznicy formują {s1}.
qstr___Not_enough_archers|  Nie ma wystarczająco łuczników by sformować {s1}.
qstr___Infantry_formation|  Formacja piechoty rozwiązana.
qstr___Cavalry_formation_|  Formacja kawalerii rozwiązana.
qstr___Archer_formation_d|  Formacja łuczników rozwiązana.
qstr_Division_{reg1}_{s2}|Division {reg1} {s2} forming {s1}.
qstr_Not_enough_troops_in|Za mało oddziałów w strefie {reg1} {s2}, aby utworzyć {s1}.
qstr_Division_{reg1}_{s2}_|Podział {reg1} {s2} jest dywizją {s3} i nie może utworzyć {s1}.
qstr_{s1}:_infantry_forma|{s1}: Formacja piechoty rozbita.
qstr_{s1}:_archer_formati|{s1}: Formacja Łuczników rozbita.
qstr_{s1}:_skirmisher_for|{s1}: Formacja Harcowników rozbita.
qstr_{s1}:_cavalry_format|{s1}: Formacja Kawalerii rozbita.
qstr_{s1}:_formation_disa|{s1}: formacja została zdemontowana.
qstr_Cavalry_formation_di|Rozpadła się formacja kawalerii.
qstr_The_placement_of_{s1|Zapamiętano rozmieszczenie {s1} podziału {reg0}.
qstr_The_placement_of_{s1}|Umieszczenie {s1} podziału {reg0} ustawione na domyślne.
qstr_Your_party_s_tactica|Zdolności taktyczne twojej drużyny ograniczają jak daleko możesz rozmieścić swoje oddziały!
qstr_...and_attack_enemy_|... i zaatakuj oddział wroga {s1}!
qstr_{s2}:_returning_afte|{s2}: powracający po zniszczeniu dywizji wroga {s1}.
qstr_infantry|piechota
qstr_archer|łucznik
qstr_cavalry|kawaleria
qstr_polearm|włócznicy
qstr_skirmisher|harcownik
qstr_mounted_archer|łucznik konny
qstr_support|wsparcie
qstr_bodyguard|strażnik
qstr_undetermined_type_of|nieokreślony typ
qstr_{s1}_has_fled_the_ba|{s1} uciekł z pola walki!
qstr_Your_side_is_at_{reg|Twoja strona ma {reg1}% jedności ({reg3}% ostatnich wydarzeń), wróg {reg2}%!
qstr_Morale_of_your_troop|Morale twoich ludzi słabną!
qstr_Morale_of_your_enemi|Morale przeciwnika maleją!
qstr_Your_enemies_flee_in|Twoi przeciwnicy uciekają w popłochu!
qstr_Many_of_your_enemies|Wielu twoich ludzi ucieka z pola walki
qstr_Some_of_your_enemies|Kilku z twoich wrogów ucieka z pola walki
qstr_A_few_of_your_enemie|Kilku ludzi wroga ucieka z bitwy.
qstr_Your_troops_flee_in_|Twoi ludzie uciekają w popłochu!
qstr_Many_of_your_troops_|Wielu twoich ludzi ucieka z bitwy!
qstr_Some_of_your_troops_|Znaczna część twoich ludzi ucieka z bitwy.
qstr_A_few_of_your_troops|Kilku twoich ludzi ucieka z bitwy.
qstr_Gained_permanent_+1_to_P|Zdobył stały +1 do Pathfinding.
qstr_Gained_permanent_+1_to_S|Zdobył stały +1 do Spotting.
qstr_{s11}_recovered_from|{s11} wyleczył się z poważnej rany.
qstr_Volunteers|Ochotnicy
qstr_Reserves|Rezerwy
qstr_have_taken_measure_o|zmierzyli obecną siłę twojej frakcji i stali się odważniejsi.
qstr_loses_Faction_Streng|traci Siłę Frakcji, ponieważ linie zaopatrzenia zostały przerwane.
qstr_loses_Faction_Strengt|traci Siłę Frakcji z powodu zniszczenia obozu.
qstr_gains_Faction_Streng|zyskuje Siłę Frakcji jako wieść o twoich zwycięstwach.
qstr_Something_wrong_not_|Coś nie tak, zbyt mało żołnierzy do usunięcia
qstr_Raiders|Jeźdźcy
qstr_have_won_the_sea_bat|wygrał bitwę morską, demoralizując twoje wojska. Wróg może wykorzystać tę porażkę i atakować częściej.
qstr_loses_Faction_Strength|traci Siłę Frakcji z powodu niszczycielskiego rajdu.
qstr_loses_Faction_Strength_|traci Siłę Frakcji dzięki sukcesom na morzu.
qstr_You_spent_{reg67}_of|Wydałeś {reg67} swojego wpływu na {s1}, pozostając {reg66}.
qstr_{s2}_{reg3?was:is_ar|{s2} {reg3?był:jest w pobliżu {s5}.
; qstr_Army_of_{s6}|Army of {s6}
; qstr_Host_of_{s6}|Host of {s6}
; qstr_The_host_of_Isengard|The host of Isengard has razed {s2}!
qstr_{s1}_{s0}|{s1}, {s0}
qstr_{s1}_and_{s0}|{s1} oraz {s0}
qstr_No_Troops_Left.|Brak jednostek
qstr_avoid_melee|unikaj walki wręcz
qstr_stand_and_fight|stój i walcz
qstr_Everyone|Wszyscy
qstr_Shield___{reg31}_|Tarcza (- {reg31})
qstr_Power_Draw___{reg31}|Potężny naciąg (- {reg31})
qstr_Riding___{reg31}_|Jazda (- {reg31})
qstr_Horse_Archery___{reg|Łucznictwo konne (- {reg31})
qstr_Athletics___{reg31}_|Lekkoatletyka (- {reg31})
qstr_No_Skill_Penalty_Ass|Nie wyznaczono kary umiejętności
qstr_Inventory|Inwentarz
qstr_Show_stats|Pokaż statystyki
qstr_Show_item_details__|Pokaż szczegóły przedmiotu 
qstr_Troop_detail|Szczegóły oddziału
qstr_{s1}^|{s1} ^
qstr_{s1}Level:_{reg1}^|{s1} Poziom: {reg1} ^
qstr_{s1}Hit_Points:_{reg|{s1} Punkty wytrzymałości: {reg1}
qstr_{s1}Atributes:_^___S|{s1} Atrybuty: ^ Siła: ^
qstr_{s2}^{reg1}^|{s2} ^ {reg1} ^
qstr_{s1}___Agility:|{s1} Zwinność:
qstr_{s2}{reg1}|{s2} {reg1}
qstr_{s1}Main_skills:_^|{s1} Główne umiejętności: ^
qstr_{s1}___Power_Strike:|{s1} Potężny cios: ^
qstr_{s2}{reg1}^|{s2} {reg1} ^
qstr_{s1}___Athletics:^|{s1} Atletyka: ^
qstr_{s1}___Riding:^|{s1} Jazda: ^
qstr_{s2}_^|{s2} - ^
qstr_{s1}___Power_Throw:^|{s1} Potężny rzut: ^
qstr_{s1}___Power_Draw:^^|{s1} Potężny naciąg: ^^
qstr_{s2}{reg1}^^|{s2} {reg1} ^^
qstr_{s2}_^^|{s2} - ^^
qstr_{s1}Weapons:^|{s1} Broń: ^
qstr_{s1}___One_Handed:^|{s1} Jędnoręczna: ^
qstr_{s1}___Two_Handed:^|{s1} Dwuręczna: ^
qstr_{s1}___Polearms:^|{s1} Drzewcowa: ^
qstr_{s1}___Archery:^|{s1} Łucznictwo: ^
qstr_{s1}___Crossbow:^|{s1} Kusznictwo: ^
qstr_{s1}___Throwing:^|{s1} Rzucana: ^
qstr_{s1}___Slings:|{s1} Proce:
qstr_{s2}_|{s2} -
qstr__Click_on_the_troop_|(Kliknij na żołnierza, aby go obrócić) ^^ Kliknij na części sprzętu ^ (hełm, zbroja, rękawiczki i buty) ^ aby je wyświetlić.
qstr_ready_bows_and_missi|gotowe łuki i pociski
qstr_ready_side_arms|gotowa broń boczna
qstr_ready_two_hander|gotowa dwuręczna
qstr_ready_polearms|gotowe broń drzewcowa
qstr_shields_up|osłania się
qstr_doff_shields|osłony przeciw odłamkowe
qstr_Distance___{reg70}__|Dystans - {reg70} - {s11} Oddział - {s12} Jednostka
qstr_A_golden_mist_from_L|Złota mgła z Lórien spowiła pole bitwy. Twoi żołnierze czują przypływ odwagi spowodowany obecnością Lady.
qstr_A_golden_mist_from_Lr|Złota mgła z Lórien spowiła pole bitwy. Wiedźma jest blisko i wywołuje dreszcze u Ciebie i Twoich żołnierzy.
qstr_Dark_clouds_from_Mor|Ciemne chmury z Mordoru pokryły pole bitwy. Twoi łucznicy nie mogą dostrzec wroga, a obecność zła przeraża Twoich ludzi.
