itm_horse_meat|Carne de Cavalo
itm_wargarmored_3a|Warg Blindado
itm_warg_reward|Warg Enorme
itm_troll_feet_boots|Pé de Troll
itm_troll_head_helm|Cabeça de Troll
itm_troll_head_helm_b|Cabeça de Troll
itm_troll_head_helm_c|Cabeça de Troll
itm_tree_trunk_club_a|Tronco de Árvore
itm_tree_trunk_club_b|Tronco de Árvore
itm_tree_trunk_invis|Tronco de Árvore
itm_giant_hammer|Martelo Gigante
itm_giant_mace|Clava Gigante
itm_giant_mace_b|Clava cravada gigante
itm_olog_feet_boots|Pés de Olog Hai
itm_olog_head_helm|Pés de Olog Hai
itm_olog_head_helm_b|Pé de Olog Hai
itm_olog_head_helm_c|Pé de Olog Hai
itm_olog_body|Armadura de Olog Hai
itm_olog_body_b|Armadura de Olog Hai
itm_olog_hands|Mãos de Olog Hai
itm_arrows|Flechas
itm_gondor_arrows|Flechas de Gondor
itm_gondor_auxila_arrows|Flechas Gondorianas
itm_khergit_arrows|Flechas Farpadas
itm_rohan_arrows_2|Flechas Rohirrim
itm_harad_arrows|Flechas Haradrim
itm_corsair_arrows|Flechas de Corsários
itm_ithilien_arrows|Flechas de Ithilien
itm_woodelf_arrows|Flechas de Elfos Silvestres
itm_elven_arrows|Flechas Élficas
itm_orc_hook_arrow|Flechas de Orc Hook
itm_isengard_arrow|Flechas de Isengard
itm_pilgrim_disguise|Disfarce de Peregrino
itm_leather_gloves|Luvas de Couro
itm_mail_mittens|Mitene de Cota de Malha
itm_leather_boots|Botas de Couro
itm_black_dress|Vestido Preto
itm_blackwhite_dress|Vestido de Senhora
itm_white_tunic_a|Túnica Branca
itm_white_tunic_b|Túnica Simples
itm_white_tunic_c|Túnica de Jaqueta
itm_blue_tunic|Túnica Azul
itm_black_tunic|Túnica Preta
itm_green_tunic|Túnica Verde
itm_red_tunic|Túnica Vermelha
itm_leather_apron|Avental de Couro
itm_leather_jerkin|Justilho de Courco
itm_fur_coat|Casaco de Dale
itm_green_dress|Vestido Verde
itm_tld_tunic|Túnica
itm_gondor_fine_outfit_dress|Roupa Fina
itm_rohan_fine_outfit_dale_dress|Roupa Fina
itm_robe_generic_dress|Manto
itm_wimple_a|Véu
itm_wimple_with_veil|Véu
itm_fine_hat|Chapéu Fino
itm_shortened_spear|Lança Encurtada
itm_spear|Lança
itm_light_lance|Lança Leve
itm_lance|Lança
itm_tab_shield_small_round_b|Escudo de Cavalaria Redondo
itm_short_bow|Arco Curto
itm_regular_bow|Arco
itm_nomad_bow|Arco de Nômade
itm_gondor_bow|Arco de Gondor
itm_strong_bow|Arco Forte
itm_elven_bow|Arco Élfico
itm_corsair_bow|Arco de Corsário
itm_dwarf_horn_bow|Arco de Chifre Anã
itm_dwarf_short_bow|Arco Curto Anã
itm_harad_bow|Arco Curvado de Harad
itm_lg_bow|Arco de Guarda da Águia
itm_riv_bow|Arco de Rivendell
itm_glorfi_bow|Arco de Glorfindell
itm_lorien_bow|Arco de Galadhrim
itm_isengard_large_bow|Arco Largo de Isengard
itm_dale_bow|Arco de Dale
itm_uruk_bow|Arco de Orc
itm_mirkwood_bow|Arco de MIrkwood
itm_dunland_javelin|Dardo de Dunland
itm_orc_throwing_arrow|Dardos de Orcs
itm_heavy_throwing_spear|Lança de arremesso pesada
itm_javelin|Dardo
itm_harad_javelin|Dardo Harad
itm_gondor_javelin|Dardo Gondoriano
itm_rohirrim_throwing_axe|Machados de arremesso de Rohirrim
itm_loss_throwing_axes|Machados de arremesso de Lossarnach
itm_arnor_helm_a|Elmo Arnoriano
itm_arnor_helm_b|Elmo Arnoriano
itm_arnor_helm_c|Elmo Arnoriano
itm_dunedain_helm_a|Capuz de Dunedain
itm_dunedain_helm_b|Elmo Decorado Arnoriano
itm_arnor_armor_a|Armadura Arnoriana
itm_arnor_armor_b|Armadura Arnoriana
; itm_arnor_armor_c|Dunedain Ranger Leather
; itm_arnor_armor_d|Dunedain Ranger Leather
; itm_arnor_armor_e|Arnorian Reinforced Jerkin
; itm_arnor_armor_f|Arnorian High Armor
; itm_arnor_greaves|Arnorian Greaves
; itm_arnor_splinted|Arnorian Splinted Greaves
; itm_arnor_shield_a|Arnor Shield
; itm_arnor_shield_c|Arnor Cavalry Shield
; itm_arnor_shield_b|Arnor Shield
; itm_arnor_shield_d|Arnor Cavalry Shield
; itm_arnor_sword_a|Arnor Bastard Sword
; itm_arnor_sword_c|Arnor Bastard Sword
; itm_arnor_sword_f|Arnor Shortsword
; itm_riv_helm_a|Rivendell Coif
; itm_riv_helm_b|Rivendell Archer Helm
; itm_riv_helm_c|Rivendell Infantry Helm
; itm_riv_helm_glorfi|Glorfi Hair
; itm_riv_tiara|Elf Lord Tiara
; itm_riv_shield_a|Rivendell Shield
; itm_riv_shield_b|Rivendell Shield
; itm_riv_bas_sword|Rivendell Bastard Sword
; itm_riv_1h_sword|Rivendell Sword
; itm_riv_riding_sword|Rivendell Cavalry Sword
; itm_riv_archer_sword|Rivendell Archer's Sword
; itm_riv_spear|Rivendell Spear
; itm_riv_armor_light|Rivendell Armor
; itm_riv_armor_light_inf|Rivendell Armor
; itm_riv_armor_archer|Rivendell Armor
; itm_riv_armor_m_archer|Rivendell Armor
; itm_riv_armor_med|Rivendell Armor
; itm_riv_armor_heavy|Rivendell Armor
; itm_riv_armor_h_archer|Rivendell Armor
; itm_riv_armor_leader|Rivendell Leader Armor
; itm_riv_boots|Rivendell Boots
; itm_gon_footman|Gondor Mail Shirt
; itm_gon_jerkin|Gondor Jerkin
; itm_gon_regular|Gondor Heavy Mail
; itm_gon_bowman|Gondor Gambeson
; itm_gon_archer|Gondor Gambeson with Cloak
; itm_gon_noble_cloak|Gondor Noble's Jerkin
; itm_gon_squire|Gondor Mail with Cloak
; itm_gon_knight|Gondor Heavy Mail and Cloak
; itm_gon_ranger_cloak|Gondor Ranger Cloak
; itm_gon_ranger_skirt|Gondor Ranger Skirt
; itm_gon_steward_guard|Gondor Steward Guard Armor
; itm_gon_tower_guard|Gondor Tower Guard Armor
; itm_gon_tower_knight|Gondor Tower Knight Armor
; itm_gon_leader_surcoat_cloak|Gondor Leader's Surcoat
; itm_gondor_ranger_hood|Green Hood
; itm_gondor_ranger_hood_mask|Gondor Ranger Hood
; itm_gondor_light_greaves|Gondorian Leather Greaves
; itm_gondor_med_greaves|Gondorian Medium Greaves
; itm_gondor_heavy_greaves|Gondorian Mailed Greaves
; itm_gondorian_light_helm|Gondorian Footman Helm
; itm_gondor_infantry_helm|Gondor Infantry Helm
; itm_gondor_auxila_helm|Gondorian Auxilia Helm
; itm_gondorian_light_helm_b|Gondorian Bowman Helm
; itm_gondorian_archer_helm|Gondorian Archer Helm
; itm_tower_archer_helm|Tower Archer Helm
; itm_gondor_leader_helm|Gondor High Helmet
; itm_tower_guard_helm|Tower Guard Helm
; itm_gondor_citadel_knight_helm|Citadel Knight Helm
; itm_gondor_squire_helm|Gondor Squire Helm
; itm_gondor_knight_helm|Gondor Knight Helm
; itm_gondor_dolamroth_helm|Dol Amroth Helm
; itm_swan_knight_helm|Swan Knight Helm
; itm_gondor_lamedon_helm|Lamedon Helm
; itm_gondor_lamedon_leader_helm|Lamedon High Helmet
; itm_blackroot_archer|Blackroot Vale Archer Armor
; itm_blackroot_bowman|Blackroot Vale Bowman Armor
; itm_blackroot_footman|Blackroot Vale Footman Armor
; itm_blackroot_warrior|Blackroot Vale Warrior Armor
; itm_blackroot_leader|Blackroot Vale Leader Armor
; itm_blackroot_hood|Blackroot Hood
; itm_dol_hauberk|Dol Amroth Hauberk
; itm_dol_heavy_mail|Dol Amroth Heavy Mail
; itm_dol_padded_coat|Dol Amroth Padded Coat
; itm_dol_shirt|Dol Amroth Shirt
; itm_dol_very_heavy_mail|Dol Amroth Very Heavy Mail
; itm_dol_greaves|Dol Amroth Greaves
; itm_dol_shoes|Dol Amroth Light Boots
; itm_lamedon_clansman|Lamedon Clansman Armor
; itm_lamedon_footman|Lamedon Footman Armor
; itm_lamedon_knight|Lamedon Knight Armor
; itm_lamedon_leader_surcoat_cloak|Lamedon Leader Armor
; itm_lamedon_warrior|Lamedon Warrior Armor
; itm_lamedon_veteran|Lamedon Veteran Armor
; itm_lamedon_vet_warrior|Lamedon Veteran Warrior Armor
; itm_lamedon_hood|Lamedon Hood
; itm_pinnath_archer|Pinnath Gelin Archer Armor
; itm_pinnath_footman|Pinnath Gelin Footman Armor
; itm_pinnath_leader|Pinnath Gelin Leader Armor
; itm_pinnath_vet_footman|Pinnath Gelin Veteran Footman Armor
; itm_pinnath_warrior|Pinnath Gelin Warrior Armor
; itm_pel_footman|Pelargir Footman Armor
; itm_pel_jerkin|Pelargir Jerkin
; itm_pel_leader|Pelargir Leader Armor
; itm_pel_marine|Pelargir Marine
; itm_pelargir_marine_leader|Pelargir Marine Leader
; itm_pelargir_regular|Pelargir Regular
; itm_pelargir_hood|Pelargir Hood
; itm_pelargir_helmet_light|Pelargir Helm
; itm_pelargir_helmet_heavy|Pelargir Heavy Helm
; itm_pelargir_greaves|Pelargir Greaves
; itm_lossarnach_shirt|Lossarnach Shirt
; itm_lossarnach_axeman|Lossarnach Axeman Armor
; itm_lossarnach_leader|Lossarnach Leader Armor
; itm_lossarnach_vet_axeman|Lossarnach Veteran Axeman Armor
; itm_lossarnach_vet_warrior|Lossarnach Veteran Warrior Armor
; itm_lossarnach_warrior|Lossarnach Warrior Armor
; itm_lossarnach_cloth_cap|Lossarnach Cloth Cap
; itm_lossarnach_leather_cap|Lossarnach Leather Cap
; itm_lossarnach_scale_cap|Lossarnach Scale Cap
; itm_lossarnach_greaves|Lossarnach Greaves
; itm_gondor_shield_a|Gondor Square Shield
; itm_gondor_shield_b|Gondor Kite Shield
; itm_gondor_shield_c|Gondor Tower Shield
; itm_gondor_shield_d|Gondor Kite Shield
; itm_gondor_shield_e|Gondor Royal Shield
; itm_gon_tab_shield_a|Heraldic Gondor Round Shield
; itm_gon_tab_shield_b|Heraldic Gondor Square Shield
; itm_gon_tab_shield_c|Heraldic Gondor Kite Shield
; itm_gon_tab_shield_d|Heraldic Gondor Tower Shield
; itm_amroth_sword_a|Dol Amroth Sword
; itm_amroth_sword_b|Dol Amroth Knight Sword
; itm_gondor_sword|Gondor Infantry Sword
; itm_amroth_bastard|Dol Amroth Heavy Sword
; itm_gondor_short_sword|Linhir Eket
; itm_pelargir_eket|Pelargir Eket
; itm_pelargir_sword|Pelargir Sword
; itm_gondor_ranger_sword|Gondor Ranger Sword
; itm_gondor_bastard|Gondor Bastard Sword
; itm_gondor_citadel_sword|Gondor Citadel Sword
; itm_gondor_cav_sword|Gondor Cavalry Sword
; itm_gondor_spear|Gondorian Spear
; itm_gondor_tower_spear|Gondorian Tower Spear
; itm_gondor_lance|Gondor Lance
; itm_loss_axe|Lossarnach Fighting Axe
; itm_loss_war_axe|Lossarnach War Axe
; itm_lorien_sword_a|Lorien Longsword
; itm_lorien_sword_b|Lorien Shortsword
; itm_lorien_sword_c|Lorien War Sword
; itm_lorien_archer|Lorien Archer Armor
; itm_lorien_armor_a|Lorien Infantry Armor
; itm_lorien_armor_b|Lorien Heavy Infantry Armor
; itm_lorien_armor_c|Lorien Royal Archer Armor
; itm_lorien_armor_d|Lorien Royal Swordsman Armor
; itm_lorien_armor_e|Lorien Warden Cloak
; itm_lorien_armor_f|Lorien Elite Armor
; itm_lorien_boots|Lothlorien Boots
; itm_lorien_shield_b|Lorien Tower Shield
; itm_lorien_shield_c|Lorien Kite Shield
; itm_lorien_round_shield|Lorien Round Shield
; itm_lorien_helm_a|Lorien Archer Helm
; itm_lorien_helm_b|Lorien Archer Helm
; itm_lorien_helm_c|Lorien Infantry Helm
; itm_orc_chain_greaves|Orc Greaves
; itm_orc_coif|Orc Coif
; itm_orc_greaves|Orc Chain Boots
; itm_orc_ragwrap|Orc Ragwrap
; itm_orc_furboots|Orc Fur Boots
; itm_orc_furboot_tall|Orc Fur Boots
; itm_orc_tribal_a|Untreated Skin
; itm_orc_tribal_b|Untreated Skin
; itm_orc_tribal_c|Untreated Skin
; itm_evil_gauntlets_a|Gauntlets
; itm_evil_gauntlets_b|Gauntlets
; itm_isen_orc_armor_a|Isengard Orc Armor
; itm_isen_orc_armor_b|Isengard Orc Armor
; itm_isen_orc_armor_c|Isengard Orc Armor
; itm_isen_orc_armor_d|Isengard Orc Armor
; itm_isen_orc_armor_e|Isengard Orc Armor
; itm_isen_orc_armor_f|Isengard Orc Armor
; itm_isen_orc_armor_g|Isengard Orc Armor
; itm_isen_uruk_light_a|Uruk-hai Light Harness
; itm_isen_uruk_light_b|Uruk-hai Leather Armor
; itm_isen_uruk_light_c|Uruk-hai Leather Armor
; itm_isen_uruk_light_d|Uruk-hai Mail and Leather
; itm_isen_uruk_light_e|Uruk-hai Mail Harness
; itm_isen_uruk_heavy_a|Uruk-hai Mail and Leather
; itm_isen_uruk_heavy_b|Uruk-hai Heavy Armor
; itm_isen_uruk_heavy_c|Uruk-hai Heavy Armor
; itm_isen_uruk_heavy_d|Uruk-hai Tracker Leather
; itm_isen_uruk_heavy_e|Uruk-hai Tracker Leather
; itm_uruk_tracker_boots|Uruk Tracker Boots
; itm_uruk_greaves|Uruk Greaves
; itm_uruk_chain_greaves|Uruk Chain Greaves
; itm_uruk_ragwrap|Uruk Ragwrap
; itm_isen_orc_helm_a|Isen Orc Helm
; itm_isen_orc_helm_b|Isen Orc Helm
; itm_isen_orc_helm_c|Isen Orc Helm
; itm_isen_uruk_helm_a|Uruk-Hai Helm
; itm_isen_uruk_helm_b|Uruk-Hai Helm
; itm_isen_uruk_helm_c|Uruk-Hai Helm
; itm_isen_uruk_helm_d|Uruk-Hai Captain Helm
; itm_isen_uruk_helm_e|Uruk-Hai Tracker Helm
; itm_isen_uruk_helm_f|Uruk-Hai Tracker Helm
; itm_uruk_pike_a|Uruk Pike
; itm_uruk_pike_b|Uruk Pike
; itm_uruk_falchion_a|Uruk Falchion
; itm_uruk_falchion_b|Uruk Falchion
; itm_uruk_spear|Uruk Spear
; itm_uruk_skull_spear|Uruk Skull Spear
; itm_uruk_voulge|Uruk Voulge
; itm_uruk_heavy_axe|Uruk Heavy Axe
; itm_isengard_sword|Isengard Sword
; itm_isengard_axe|Isengard Axe
; itm_isengard_hammer|Isengard Hammer
; itm_isengard_halberd|Isengard Halberd
; itm_isengard_mallet|Isengard Mallet
; itm_isengard_heavy_axe|Isengard Heavy Axe
; itm_isengard_heavy_sword|Isengard Heavy Sword
; itm_isengard_spear|Isengard Spear
; itm_isengard_pike|Isengard Pike
; itm_isen_orc_shield_a|Isen Orc Shield
; itm_isen_orc_shield_b|Isen Orc Shield
; itm_isen_uruk_shield_b|Isen Uruk Shield
; itm_wood_club|Wooden Club
; itm_twohand_wood_club|Large Wooden Club
; itm_bone_cudgel|Bone Cudgel
; itm_skull_club|Skull Club
; itm_orc_club_a|Orc Club
; itm_orc_club_b|Orc Club
; itm_orc_club_c|Orc Club
; itm_orc_club_d|Orc Club
; itm_orc_sledgehammer|Orc Sledgehammer
; itm_orc_simple_spear|Orc Spear
; itm_orc_skull_spear|Orc Skull Spear
; itm_orc_bill|Orc Bill
; itm_orc_slasher|Orc Slasher
; itm_orc_falchion|Orc Falchion
; itm_orc_scimitar|Orc Scimitar
; itm_orc_sabre|Orc Sabre
; itm_orc_machete|Orc Machete
; itm_orc_axe|Orc Axe
; itm_orc_two_handed_axe|Orc Double Handed Axe
; itm_orc_throwing_axes|Orc Throwing Axes
itm_orc_bow|Arco de Orc
; itm_orc_shield_a|Orc Shield
; itm_orc_shield_b|Orc Shield
; itm_orc_shield_c|Orc Shield
; itm_mordor_orc_shield_a|Mordor Orc Shield
; itm_mordor_orc_shield_b|Mordor Orc Shield
; itm_mordor_orc_shield_c|Mordor Orc Shield
; itm_mordor_orc_shield_d|Mordor Orc Shield
; itm_mordor_orc_shield_e|Mordor Orc Shield
; itm_mordor_uruk_shield_a|Mordor Uruk Shield
; itm_mordor_uruk_shield_b|Mordor Uruk Shield
; itm_mordor_uruk_shield_c|Mordor Uruk Shield
; itm_mordor_man_shield_a|Mordor Man Shield
; itm_mordor_man_shield_b|Mordor Man Shield
; itm_angmar_shield|Angmar Shield
; itm_orc_helm_a|Orc Longnosehelm
; itm_orc_helm_b|Orc Gratehelm
; itm_orc_helm_c|Orc Buckethelm
; itm_orc_helm_d|Orc Grillhelm
; itm_orc_helm_e|Orc Beakhelm
; itm_orc_helm_f|Orc Bughelm
; itm_orc_helm_g|Orc Crowhelm
; itm_orc_helm_h|Orc Jawhelm
; itm_orc_helm_i|Orc Snouthelm
; itm_orc_helm_j|Orc Lizardhelm
; itm_orc_helm_k|Orc Vulturehelm
; itm_m_orc_light_a|Mordor Orc Light Armor
; itm_m_orc_light_b|Mordor Orc Light Armor
; itm_m_orc_light_c|Mordor Orc Light Armor
; itm_m_orc_light_d|Mordor Orc Light Armor
; itm_m_orc_light_e|Mordor Orc Light Armor
; itm_m_orc_heavy_a|Mordor Orc Heavy Armor
; itm_m_orc_heavy_b|Mordor Orc Heavy Armor
; itm_m_orc_heavy_c|Mordor Orc Heavy Armor
; itm_m_orc_heavy_d|Mordor Orc Heavy Armor
; itm_m_orc_heavy_e|Mordor Orc Heavy Armor
; itm_m_uruk_light_a|Uruk Harness
; itm_m_uruk_light_b|Uruk Thick Harness
; itm_m_uruk_heavy_c|Uruk Leather Armor
; itm_m_uruk_heavy_d|Uruk Segmented Armor
; itm_m_uruk_heavy_e|Uruk Mail
; itm_m_uruk_heavy_f|Uruk Mail
; itm_m_uruk_heavy_g|Uruk Mail
; itm_m_uruk_heavy_h|Uruk Scale
; itm_m_uruk_heavy_i|Uruk Thick Scale
; itm_m_uruk_heavy_j|Uruk Heavy Armor
; itm_m_uruk_heavy_k|Uruk Guard Armor
; itm_m_cap_armor|Mordor Captain Armor
; itm_black_num_armor|Black Numenorean Armor
; itm_m_armor_a|Mordor Armor
; itm_m_armor_b|Mordor Armor
; itm_evil_light_armor|Sinister Garb
; itm_uruk_helm_a|Uruk Helm
; itm_uruk_helm_b|Uruk Helm
; itm_uruk_helm_c|Uruk Beak Helm
; itm_uruk_helm_d|Uruk Grill Helm
; itm_uruk_helm_e|Uruk Mask Helm
; itm_uruk_helm_f|Uruk Helm
; itm_mordor_cap_helm|Mordor Captain Helm
; itm_mordor_helm|Mordor Helm
; itm_black_num_helm|Black Numenorean Helm
; itm_mordor_sword|Bastard Sword of Mordor
; itm_mordor_longsword|Sword of Mordor
; itm_moria_armor_a|Moria Breast Harness
; itm_moria_armor_b|Moria Breast and Shoulders
; itm_moria_armor_c|Moria Orc Mail
; itm_moria_armor_d|Moria Bolted Leather
; itm_moria_armor_e|Moria Orc Heavy Mail
; itm_moria_orc_shield_a|Moria Orc Shield
; itm_moria_orc_shield_b|Moria Orc Shield
; itm_moria_orc_shield_c|Moria Orc Shield
; itm_gundabad_armor_a|Gundabad Orc Rags
; itm_gundabad_armor_b|Gundabad Orc Fur
; itm_gundabad_armor_c|Gundabad Orc Armor
; itm_gundabad_armor_d|Gundabad Orc Armor
; itm_gundabad_armor_e|Gundabad Orc Heavy Armor
; itm_gundabad_helm_a|Gundabad Cap
; itm_gundabad_helm_b|Gundabad Helm
; itm_gundabad_helm_c|Gundabad Helm
; itm_gundabad_helm_d|Gundabad Helm
; itm_gundabad_helm_e|Wargrider Helm
; itm_dunland_wolfboots|Dunland Wolfboots
; itm_dunland_armor_a|Dunnish Fur Armor
; itm_dunland_armor_b|Dunnish Fur Armor
; itm_dunland_armor_c|Dunnish Fur Armor
; itm_dunland_armor_d|Dunnish Fur Armor
; itm_dunland_armor_e|Dunnish Fur Armor
; itm_dunland_armor_g|Dunnish Fur Armor
; itm_dunland_armor_h|Dun Long Fur Armor
; itm_dunland_armor_i|Dunnish Hauberk
; itm_dunland_armor_j|Dunland Hauberk
; itm_dunland_armor_k|Dun Chief Armor
; itm_dun_helm_a|Dunnish Wolf Cap
; itm_dun_helm_b|Dunnish Antler Cap
; itm_dun_helm_c|Dunnish Tall Helm
; itm_dun_helm_d|Dunnish Tall Helm
; itm_dun_helm_e|Dun Tall War Helm
; itm_dun_shield_a|Dunnish Shield
; itm_dun_shield_b|Dunnish Shield
; itm_dun_berserker|Dunland Chieftain Sword
; itm_dunnish_antler_axe|Dunnish Antler Axe
; itm_dunnish_war_axe|Dunnish War Axe
; itm_dunnish_axe|Dunnish Axe
; itm_dunland_spear|Dunnish Spear
; itm_dunnish_pike|Dunnish Pike
; itm_rohan_armor_a|Rohan Shirt
; itm_rohan_armor_b|Rohan Shirt Cape
; itm_rohan_armor_c|Rohan Long Shirt
; itm_rohan_armor_d|Rohan Hauberk
; itm_rohan_armor_e|Rohan Hauberk
; itm_rohan_armor_f|Rohan Hauberk
; itm_rohan_armor_g|Rohan Mail Shirt
; itm_rohan_armor_h|Rohan Long Mail
; itm_rohan_armor_i|Rohan Long Mail
; itm_rohan_armor_j|Rohan Hauberk
; itm_rohan_armor_k|Rohan Hauberk
; itm_rohan_armor_l|Rohan Hauberk
; itm_rohan_armor_m|Rohan Scale Armor
; itm_rohan_armor_n|Rohan Scale Armor
; itm_rohan_armor_o|Rohan Scale Armor
; itm_rohan_armor_p|Rohan Armor
; itm_rohan_armor_q|Rohan Armor
; itm_rohan_armor_r|Rohan Armor
; itm_rohan_armor_s|Rohan Heraldric Mail
; itm_rohan_light_helmet_a|Rohan Light Helm
; itm_rohan_light_helmet_b|Rohan Light Helmet
; itm_rohan_inf_helmet_a|Rohan Infantry Helm
; itm_rohan_inf_helmet_b|Rohan Infantry Helm
; itm_rohan_archer_helmet_a|Rohan Archer Helmet
; itm_rohan_archer_helmet_b|Rohan Archer Helmet
; itm_rohan_archer_helmet_c|Rohan Horse Archer Helmet
; itm_rohan_cav_helmet_a|Rohan Cavalry Helmet
; itm_rohan_cav_helmet_b|Rohan Cavalry Helmet
; itm_rohan_cav_helmet_c|Rohan Cavalry Helmet
; itm_rohan_captain_helmet|Rohan Captain Helmet
; itm_rohan_shield_a|Rohan Shield
; itm_rohan_shield_b|Rohan Shield
; itm_rohan_shield_c|Rohan Shield
; itm_rohan_shield_d|Rohan Shield
; itm_rohan_shield_e|Rohan Shield
; itm_rohan_shield_f|Rohan Shield
; itm_rohan_shield_g|Rohan Royal Shield
; itm_rohan_light_greaves|Rohan Light Greaves
; itm_rohirrim_war_greaves|Rohirrim War Greaves
; itm_rohan_shoes|Leather Shoes
; itm_rohan_cav_sword|Rohan Riding Sword
; itm_rohan_inf_sword|Rohan Sword
; itm_rohan_spear|Rohan Spear
; itm_rohan_lance|Rohan Lance
; itm_rohan_sword_c|Rohan Sword
; itm_rohirrim_short_axe|Rohirrim Short Axe
; itm_rohirrim_long_hafted_axe|Rohirrim Long Hafted Axe
; itm_rohan_2h_sword|Rohan War Sword
; itm_mirkwood_light_scale|Light Woodelf Scale
; itm_mirkwood_armor_a|Light Leather
; itm_mirkwood_armor_b|Light Quilted and Scale Armor
; itm_mirkwood_armor_c|Light Scale over Mail
; itm_mirkwood_armor_d|Light Quilted Surcoat
; itm_mirkwood_armor_e|Light Mail and Surcoat
; itm_mirkwood_armor_f|Royal Woodelf Armor
; itm_mirkwood_great_spear|Mirkwood Great Spear
; itm_mirkwood_war_spear|Mirkwood War Spear
; itm_mirkwood_short_spear|Mirkwood Spear
; itm_mirkwood_knife|Mirkwood White Knife
; itm_mirkwood_sword|Mirkwood Sword
; itm_mirkwood_spear_shield_a|Mirkwood Spearman Shield
; itm_mirkwood_spear_shield_b|Mirkwood War Shield
; itm_mirkwood_spear_shield_c|Mirkwood Swordsman Shield
; itm_mirkwood_helm_a|Mirkwood Archer Helm
; itm_mirkwood_helm_b|Mirkwood Helm
; itm_mirkwood_helm_c|Mirkwood Royal Spearman Helm
; itm_mirkwood_helm_d|Mirkwood Royal Archer Helm
; itm_mirkwood_boots|Mirkwood boots
; itm_mirkwood_leather_greaves|Mirkwood Leather Greaves
; itm_harad_tunic|Harad Tunic
; itm_harad_padded|Harondor Padded Armor
; itm_harad_hauberk|Harondor Hauberk
; itm_harad_lamellar|Harasjala Armor
; itm_harad_heavy|Harad Swordsman Armor
; itm_harad_skirmisher|Light Harad Garb
; itm_harad_archer|Harad Archer Armor
; itm_black_snake_armor|Maranka Armor
; itm_harad_champion|Far Harad Garb
; itm_panther_guard|Panther Hide
; itm_harad_scale|Harad Scale Armor
; itm_harad_tiger_scale|Tiger Guard Armor
; itm_harad_lion_scale|Lion Guard Armor
; itm_harad_dragon_helm|Kiloka Helm
; itm_harad_cav_helm_a|Harondor Cavalry Helm
; itm_harad_cav_helm_b|Harondor Cavalry Helm
; itm_black_snake_helm|Maranka Helm
; itm_harad_finhelm|Great Harad Helmet
; itm_harad_heavy_inf_helm|Great Harad Helmet
; itm_harad_wavy_helm|Great Harad Helmet
; itm_harad_eaglehelm|Eagle Guard Helm
; itm_lion_helm|Lion Guard Helm
; itm_harad_pantherhelm|Panther Guard Cap
