trp_unarmed_troop|Ongewapende Troep
trp_rhun_tribal_warrior|Rhun Stam Krijger
trp_rhun_tribal_warrior_pl|Rhun Stam Krijgers
trp_rhun_tribal_infantry|Rhun Stam Infanterist
trp_rhun_tribal_infantry_pl|Rhun Stam Infanterie
trp_rhun_vet_infantry|Rhun Ervaren Infanterist
trp_rhun_vet_infantry_pl|Rhun Ervaren Infanterie
trp_infantry_of_the_ox|Infanterist van de Os
trp_infantry_of_the_ox_pl|Infanterie van de OS
trp_rhun_light_horseman|Rhun lichte Ruiter te Paard
trp_rhun_light_horseman_pl|Rhun lichte Ruiters te Paard
trp_rhun_light_cavalry|Rhun Lichte Cavalerist
trp_rhun_light_cavalry_pl|Rhun Lichte Cavalerie
trp_rhun_noble_cavalry|Rhun Adelijke Cavalerist
trp_rhun_noble_cavalry_pl|Rhun Adelijke Cavalerie
trp_rhun_heavy_noble_cavalry|Rhun Geharnaste Adelijke Cavalerist
trp_rhun_heavy_noble_cavalry_pl|Rhun Geharnaste Adelijke Cavalerie
trp_dorwinion_noble_of_rhun|Dorwinion Edelman van Rhun
trp_dorwinion_noble_of_rhun_pl|Dorwinion Edele van Rhun
trp_i1_dwarven_apprentice|Leerling Dwerg
trp_i1_dwarven_apprentice_pl|Leerling Dwergen
trp_i2_dwarven_warrior|Krijger Dwerg
trp_i2_dwarven_warrior_pl|krijger dwergen
trp_i3_dwarven_hardened_warrior|Geharde Krijger Dwerg
trp_i3_dwarven_hardened_warrior_pl|Geharde Krijger Dwergen
trp_i4_dwarven_spearman|speer dwerg
trp_i4_dwarven_spearman_pl|Speer Dwergen
trp_i5_dwarven_pikeman|Piek Dwerg
trp_i5_dwarven_pikeman_pl|Piek Dwergen
trp_i6_dwarven_longpikeman|Lange Piek Dwerg
trp_i6_dwarven_longpikeman_pl|Lange Piek Dwergen
trp_i4_dwarven_axeman|bijl dwerg
trp_i4_dwarven_axeman_pl|Bijl Dwergen
trp_i5_dwarven_expert_axeman|Specialist Bijl Dwerg
trp_i5_dwarven_expert_axeman_pl|Specialist Bijl Dwergen
trp_i6_longbeard_axeman|langebaard bijl dwerg
trp_i6_longbeard_axeman_pl|Langebaard Bijl Dwergen
trp_a2_dwarven_lookout|uitkijk dwerg
trp_a2_dwarven_lookout_pl|uitkijk dwergen
trp_a3_dwarven_scout|verkenner-dwerg
trp_a3_dwarven_scout_pl|verkenner-dwerg'en
trp_a4_dwarven_bowman|boog-dwerg
trp_a4_dwarven_bowman_pl|Boog Dwerg
trp_i6_dwarven_longaxeman|Strijdbijl Dwerg
trp_i6_dwarven_longaxeman_pl|Strijdbijl Dwergen
trp_i3_iron_hills_warrior|Ijzerheuvels Krijger
trp_i3_iron_hills_warrior_pl|Ijzerheuvels Krijgers
trp_i2_iron_hills_miner|Ijzerheuvels Mijnwerker
trp_i2_iron_hills_miner_pl|ijzerheuvels mijnwerker
trp_i4_iron_hills_infantry|ijzerheuvels Infaterie
trp_i4_iron_hills_infantry_pl|ijzerheuvels Infanterie
trp_i5_iron_hills_battle_infantry|Ijzerheuvels Strijd Dwerg
trp_i5_iron_hills_battle_infantry_pl|Ijzerheuvels Stijd Dwergen
trp_i6_grors_guard|Grors Beschermer
trp_i6_grors_guard_pl|Grors Beschermers
trp_gondor_commoner|Gondor dienstplischtige
trp_gondor_commoner_pl|Gondor Dienstplichtigen
trp_gondor_militiamen|Gondor Wachter
trp_gondor_militiamen_pl|Gondor Wachters
trp_footmen_of_gondor|Livreiknecht van Gondor
trp_footmen_of_gondor_pl|Livreiknechten van Gondor
trp_gondor_spearmen|speervechter van Gondor
trp_gondor_spearmen_pl|speervechters van Gondor
trp_gondor_veteran_spearmen|Ervaren speervechter van Gondor
trp_gondor_veteran_spearmen_pl|Ervaren Speervechters van Gondor
trp_guard_of_the_fountain_court|Beschermer van het fontein Plein
trp_guard_of_the_fountain_court_pl|Beschermers van het fontein Plein
trp_gondor_swordsmen|Zwaardvechter van Gondor
trp_gondor_swordsmen_pl|Zwaardvechters van Gondor
trp_gondor_veteran_swordsmen|Ervaren Zwaardvechter van Gondor
trp_gondor_veteran_swordsmen_pl|Ervaren zwaardvechters van Gondor
trp_swordsmen_of_the_tower_guard|Zwaardvechter van de Toren Beschermers
trp_swordsmen_of_the_tower_guard_pl|Zwaardvechters van de Toren Beschermer
trp_gondor_noblemen|Gondor Edelman
trp_gondor_noblemen_pl|Gondor Edele
trp_squire_of_gondor|Schildknaap van Gondor
trp_squire_of_gondor_pl|Schildknapen van Gondor
trp_veteran_squire_of_gondor|Ervaren Schildknaap van Gondor
trp_veteran_squire_of_gondor_pl|Ervaren Schildknapen van Gondor
trp_knight_of_gondor|Ridder van Gondor
trp_knight_of_gondor_pl|Ridders van Gondor
trp_veteran_knight_of_gondor|Ervaren Ridder van Gondor
trp_veteran_knight_of_gondor_pl|Ervaren RIdders van Gondor
trp_knight_of_the_citadel|Ridder van de Citadel
trp_knight_of_the_citadel_pl|Ridders van de Citadel
trp_bowmen_of_gondor|Boogschutter van Gondor
trp_bowmen_of_gondor_pl|Boogschutters van Gondor
trp_archer_of_gondor|Schutter van Gondor
trp_archer_of_gondor_pl|Schutters van Gondor
trp_veteran_archer_of_gondor|Ervaren Schutter van Gondor
trp_veteran_archer_of_gondor_pl|Ervaren Schutters van Gondor
trp_archer_of_the_tower_guard|Schutter van de Toren Beschermers
trp_archer_of_the_tower_guard_pl|Schutter van de Toren Beschermers
trp_steward_guard|Hofmeesters Beschermer
trp_steward_guard_pl|Hofmeesters Beschermers
trp_ranger_of_ithilien|Houtvester van Maanland
trp_ranger_of_ithilien_pl|Houtvesters van Maanland
trp_veteran_ranger_of_ithilien|Ervaren Houtvester van Maanland
trp_veteran_ranger_of_ithilien_pl|Ervaren Houtvesters van Maanland
trp_master_ranger_of_ithilien|Meester Houtvester van Maanland
trp_master_ranger_of_ithilien_pl|Meester Houtvester van Maanland
trp_ithilien_leader|Gezagvoerder van Maanlandse Houtvesters
trp_ithilien_leader_pl|Gezagvoerders van de Maanlandse Houtvesters
trp_woodsman_of_lossarnach|Houthakker van Lossarnach
trp_woodsman_of_lossarnach_pl|Houthakkers van Lossarnach
trp_axeman_of_lossarnach|Bijlman van Lossarnach
trp_axeman_of_lossarnach_pl|Bijlmannen van Lossarnach
trp_vet_axeman_of_lossarnach|Lossarnach Ervaren Bijlman
trp_vet_axeman_of_lossarnach_pl|Lossarnach Ervaren Bijlmannen
trp_heavy_lossarnach_axeman|Geharnaste Lossarnach Bijlman
trp_heavy_lossarnach_axeman_pl|Geharnaste Lossarnach Bijlman
trp_axemaster_of_lossarnach|Bijlmeester van Lossarnach
trp_axemaster_of_lossarnach_pl|Bijlmeesters van Lossarnach
trp_lossarnach_leader|Gezagvoerder van Lossarnach
trp_lossarnach_leader_pl|Gezagvoerders van Lossarnach
trp_pelargir_watchman|Pelalgir Wachter
trp_pelargir_watchman_pl|Pelargir Wachters
trp_pelargir_marine|Pelargir Marinier
trp_pelargir_marine_pl|Pelargir Mariniers
trp_pelargir_vet_marine|Pelargir Ervaren Marinier
trp_pelargir_vet_marine_pl|Pelargir Ervaren Marinier
trp_pelargir_infantry|Pelargir Infaterist
trp_pelargir_infantry_pl|Pelargir Infanterie
trp_pelargir_vet_infantry|Pelargir Ervaren Infanterist
trp_pelargir_vet_infantry_pl|Pelargir Ervaren Infanterie
trp_pelargir_leader|Gezagvoerder van Pelargir
trp_pelargir_leader_pl|Gezagvoerders van Pelargir
trp_pelargir_marine_leader|Captain of Pelargir Mariniers
trp_pelargir_marine_leader_pl|Gezagvoerder van Pelargir Marine
trp_clansman_of_lamedon|Stamgenoot van Lamedon
trp_clansman_of_lamedon_pl|Stamgenoten van Lamedon
trp_footman_of_lamedon|Livreiknecht van Lamedon
trp_footman_of_lamedon_pl|Livreiknechten van Lamedon
trp_veteran_of_lamedon|Veteraan van Lamedon
trp_veteran_of_lamedon_pl|Veteranen van Lamedon
trp_warrior_of_lamedon|Krijger of Lamedon
trp_warrior_of_lamedon_pl|Krijgers van Lamedon
trp_champion_of_lamedon|Kampioen van Lamedon
trp_champion_of_lamedon_pl|Kampioenen van Lamedon
trp_knight_of_lamedon|Ridder van Lamedon
trp_knight_of_lamedon_pl|Ridders van Lamedon
trp_lamedon_leader|Gezagvoerder van Lamedon
trp_lamedon_leader_pl|Gezagvoerders van Lamedon
trp_pinnath_gelin_plainsman|Vlaktebewoner van Pinnath Gelin
trp_pinnath_gelin_plainsman_pl|Vlaktebewoners van Pinnath Gelin
trp_pinnath_gelin_spearman|Ruiter van Pinnath Gelin
trp_pinnath_gelin_spearman_pl|Ruiters van Pinnath Gelin
trp_warrior_of_pinnath_gelin|Ridder van Pinnath Gelin
trp_warrior_of_pinnath_gelin_pl|Ridders van Pinnath Gelin
trp_pinnath_gelin_bowman|Boogschutter van Pinnath Gelin
trp_pinnath_gelin_bowman_pl|Boogschutters van Pinnath Gelin
trp_pinnath_gelin_archer|Shutter van Pinnath Gelin
trp_pinnath_gelin_archer_pl|Schutters van Pinnath Gelin
trp_pinnath_leader|Gezagvoerder van Pinnath Gelin
trp_pinnath_leader_pl|Gezagvoerders van Pennith Gelin
; trp_blackroot_vale_archer|Hunter of Blackroot Vale
; trp_blackroot_vale_archer_pl|Hunter of Blackroot Vale
; trp_veteran_blackroot_vale_archer|Bowman of Blackroot Vale
; trp_veteran_blackroot_vale_archer_pl|Bowmen of Blackroot Vale
; trp_master_blackroot_vale_archer|Archer of Blackroot Vale
; trp_master_blackroot_vale_archer_pl|Archers of Blackroot Vale
; trp_footman_of_blackroot_vale|Footman of Blackroot Vale
; trp_footman_of_blackroot_vale_pl|Footmen of Blackroot Vale
; trp_spearman_of_blackroot_vale|Spearman of Blackroot Vale
; trp_spearman_of_blackroot_vale_pl|Spearmen of Blackroot Vale
trp_blackroot_leader|Morthond Schaduw Jager
trp_blackroot_leader_pl|Morthond Schaduw Jagers
trp_dol_amroth_youth|Dol Amroth Rekruut
trp_dol_amroth_youth_pl|Dol Amorth Rekruten
trp_squire_of_dol_amroth|Schildknaap van Dol Amroth
trp_squire_of_dol_amroth_pl|Schildknapen van Dol Amroth
trp_veteran_squire_of_dol_amroth|Ervaren Schildknaap van Dol Amroth
trp_veteran_squire_of_dol_amroth_pl|Ervaren Schildknapen van Dol Amorth
trp_knight_of_dol_amroth|Ridder van Dol Amorth
trp_knight_of_dol_amroth_pl|Ridders van Dol Amorth
trp_veteran_knight_of_dol_amroth|Ervaren Ridder van Dol Amorth
trp_veteran_knight_of_dol_amroth_pl|Ervaren Ridders van Dol Amorth
trp_swan_knight_of_dol_amroth|Zwaanridder van Dol Amorth
trp_swan_knight_of_dol_amroth_pl|Zwaanridders van Dol Amorth
trp_dol_amroth_leader|Gezagvoerder van Dol Amorth
trp_dol_amroth_leader_pl|Gezagvoerders van Dol Amorth
trp_lothlorien_scout|Lothlorien verkenner
trp_lothlorien_scout_pl|Lothlórien verkenners
trp_lothlorien_veteran_scout|Lothlorien Ervaren Verkenner
trp_lothlorien_veteran_scout_pl|Lothlorien Ervaren Verkenners
trp_lothlorien_archer|Lothlorien Boogschutter
trp_lothlorien_archer_pl|Lothlorien Boogschutters
trp_lothlorien_veteran_archer|Lothlorien Ervaren Boogschutter
trp_lothlorien_veteran_archer_pl|Lothlorien Ervaren Boogschutters
trp_lothlorien_master_archer|Lothlorien Meester Boogschutter
trp_lothlorien_master_archer_pl|Lothlorien Meester Boogschutters
trp_galadhrim_royal_archer|Galadhrim Koninklijke Boogschutters
trp_galadhrim_royal_archer_pl|Galadhrim Koninklijke Boogschutters
trp_galadhrim_royal_marksman|Galadhrim Koninklijke Scherpschutter
trp_galadhrim_royal_marksman_pl|Galadhrim Koninklijke Scherpschutters
; trp_noldorin_mounted_archer|Noldorin Mounted Archer
; trp_noldorin_mounted_archer_pl|Noldorin Mounted Archers
trp_lothlorien_infantry|Lothlorien Infanterie
trp_lothlorien_infantry_pl|Lothlorien Infanterie
trp_lothlorien_veteran_infantry|Lothlorien Ervaren Infanterie
trp_lothlorien_veteran_infantry_pl|Lothlorien Ervaren Infanterie
trp_lothlorien_elite_infantry|Lothlorien Elite Infanterie
trp_lothlorien_elite_infantry_pl|Lothlorien Elite Infanterie
trp_galadhrim_royal_swordsman|Galadhrim Koninklijke Zwaardvechter
trp_galadhrim_royal_swordsman_pl|Galadhrim Koninklijke Zwaardvechters
trp_lothlorien_warden|Lothlorien Bewaker
trp_lothlorien_warden_pl|Lothlorien Bewakers
trp_lothlorien_veteran_warden|Lothlorien Ervaren Bewaker
trp_lothlorien_veteran_warden_pl|Lothlorien Ervaren Bewakers
trp_galadhrim_royal_warden|Galadhrim Koninklijke Bewaker
trp_galadhrim_royal_warden_pl|Galadhrim Koninklijke Bewakers
trp_lothlorien_standard_bearer|Lothlorien Vaandeldrager
trp_lothlorien_standard_bearer_pl|Lothlorien Vaandeldragers
trp_greenwood_scout|Groenewoud Verkenner
trp_greenwood_scout_pl|Groenewoud Verkenners
trp_greenwood_veteran_scout|Groenewoud Ervaren Verkenner
trp_greenwood_veteran_scout_pl|Groenewoud Ervaren Verkenners
trp_greenwood_archer|Groenewoud Boogschutter
trp_greenwood_archer_pl|Groenewoud Boogschutters
trp_greenwood_veteran_archer|Groenewoud Schutter
trp_greenwood_veteran_archer_pl|Groenewoud Schutters
trp_greenwood_master_archer|Groenewoud Ervaren Schutter
trp_greenwood_master_archer_pl|Groenewoud Ervaren Schutters
trp_thranduils_royal_marksman|Thranduils Koninklijke Scherpschutter
trp_thranduils_royal_marksman_pl|Thranduils Koninklijke Scherpschutters
trp_greenwood_sentinel|Groenewoud Schildwacht
trp_greenwood_sentinel_pl|Groenewoud Schildwachten
trp_greenwood_vet_sentinel|Groenewoud Ervaren Schildwacht
trp_greenwood_vet_sentinel_pl|Groenewoud Ervaren Schildwachten
trp_mirkwood_guardsman|Groenewoud Officier
trp_mirkwood_guardsman_pl|Groenewoud Officieren
trp_greenwood_spearman|Groenewoud Infanterist
trp_greenwood_spearman_pl|Groenewoud Infanterist
trp_greenwood_veteran_spearman|Groenewoud Ervaren Infanterie
trp_greenwood_veteran_spearman_pl|Groenewoud Ervaren Infanterie
trp_greenwood_royal_spearman|Groenewoud Elite Infanterie
trp_greenwood_royal_spearman_pl|Groenewoud Elite Infanterie
trp_thranduils_royal_swordsman|Thranduils Koninklijke Zwaardvechter
trp_thranduils_royal_swordsman_pl|Thranduils Koninklijke Zwaardvechters
trp_thranduils_spearman|Thranduils Koninklijke Speervechters
trp_thranduils_spearman_pl|Thranduils Koninklijke Speervechters
trp_greenwood_standard_bearer|Groenewoud Vaandeldrager
trp_greenwood_standard_bearer_pl|Groenewoud Vaandeldragers
trp_rivendell_scout|Rivendel Verkenner
trp_rivendell_scout_pl|Rivendel Verkenners
trp_rivendell_veteran_scout|Rivendel Ervaren Verkenner
trp_rivendell_veteran_scout_pl|Rivendel Ervaren Verkenners
trp_rivendell_sentinel|Rivendel Schildwacht
trp_rivendell_sentinel_pl|Rivendel Schildwachten
trp_rivendell_veteran_sentinel|Rivendel Ervaren Schildwacht
trp_rivendell_veteran_sentinel_pl|Rivendel Ervaren Schildwachten
trp_rivendell_elite_sentinel|Rivendel Elite Schildwacht
trp_rivendell_elite_sentinel_pl|Rivendel Elite Schildwachten
trp_rivendell_guardian|Rivendel Gardiaan
trp_rivendell_guardian_pl|Rivendel Gardianen
trp_rivendell_infantry|Rivendel Infanterie
trp_rivendell_infantry_pl|Rivendel Infanterie
trp_rivendell_veteran_infantry|Rivendel Ervaren Infanterie
trp_rivendell_veteran_infantry_pl|Rivendel Ervaren Infanterie
trp_rivendell_elite_infantry|Rivendel Elite Infanterie
trp_rivendell_elite_infantry_pl|Rivendel Elite Infanterie
trp_rivendell_royal_infantry|Rivendel Koninklijke Infanterie
trp_rivendell_royal_infantry_pl|Rivendel Koninklijke Infanterie
trp_rivendell_cavalry|Rivendel Cavalerie
trp_rivendell_cavalry_pl|Rivendel Cavalerie
trp_knight_of_rivendell|Ridder van Rivendel
trp_knight_of_rivendell_pl|Ridders van Rivendel
trp_rivendell_standard_bearer|Rivendel Vaandeldrager
trp_rivendell_standard_bearer_pl|Rivendel Vaandeldragers
trp_dunedain_scout|Dunedain Verkenner
trp_dunedain_scout_pl|Dunedain verkenners
trp_dunedain_trained_scout|Dunedain Spoorzoeker
trp_dunedain_trained_scout_pl|Dunedain Spoorzoekers
trp_arnor_man_at_arms|Arnor Soldaat
trp_arnor_man_at_arms_pl|Arnor Soldaten
trp_arnor_master_at_arms|Arnor Meester Soldaat
trp_arnor_master_at_arms_pl|Arnor Meester Soldaten
trp_high_swordsman_of_arnor|Hoge Zwaardvechter van Arnor
trp_high_swordsman_of_arnor_pl|Hoge Zwaardvechters van Arnor
trp_arnor_horsemen|Arnor Ruiter te Paard
trp_arnor_horsemen_pl|Arnor Ruiters te Paard
trp_knight_of_arnor|Ridder van Arnor
trp_knight_of_arnor_pl|Ridders van Arnor
trp_dunedain_ranger|Dunedain Houtvester
trp_dunedain_ranger_pl|Dunedain Houtvesters
trp_dunedain_veteran_ranger|Dunedain Ervaren Houtvester
trp_dunedain_veteran_ranger_pl|Dunedain Ervaren Houtvesters
trp_dunedain_master_ranger|Dunedain Meester Houtvester
trp_dunedain_master_ranger_pl|Dunedain Meester Houtvesters
trp_i1_rohan_youth|Rohan Jonge Man
trp_i1_rohan_youth_pl|Rohan Jonge Mannen
trp_i2_guardsman_of_rohan|Officier van Rohan
trp_i2_guardsman_of_rohan_pl|Officieren van Rohan
trp_i3_footman_of_rohan|Livreiknecht van Rohan
trp_i3_footman_of_rohan_pl|Livreiknechten van Rohan
trp_i4_veteran_footman_of_rohan|Ervaren Livreiknecht van Rohan
trp_i4_veteran_footman_of_rohan_pl|Ervaren Livreiknechten van Rohan
trp_i5_elite_footman_of_rohan|ELite Livreiknecht van Rohan
trp_i5_elite_footman_of_rohan_pl|Elite Livreiknechten van Rohan
trp_i6_footman_guard_of_rohan|Folcwine Beschermer van Rohan
trp_i6_footman_guard_of_rohan_pl|Folcwine Beschermers van Rohan
trp_i6_frealaf_raider|Frealaf Plunderaar
trp_i6_frealaf_raider_pl|Frealaf Plunderaars
trp_i5_raider_of_rohan|Plunderaar van Rohan
trp_i5_raider_of_rohan_pl|Plunderaars van Rohan
trp_i6_warden_of_methuseld|Bewaker van Meduseld
trp_i6_warden_of_methuseld_pl|Bewakers van Meduseld
trp_ac3_skirmisher_of_rohan|Schermutselaar van Rohan
trp_ac3_skirmisher_of_rohan_pl|Schermutselaren van Rohan
trp_ac4_veteran_skirmisher_of_rohan|Ervaren Schermutselaar van Rohan
trp_ac4_veteran_skirmisher_of_rohan_pl|Ervaren Schermutselaren van Rohan
trp_ac5_elite_skirmisher_of_rohan|Elite Schermutselaar van Rohan
trp_ac5_elite_skirmisher_of_rohan_pl|Elite Schermutselaren van Rohan
trp_ac6_skirmisher_guard_of_rohan|Thengel Bewaker van Rohan
trp_ac6_skirmisher_guard_of_rohan_pl|Thengel Bewakers van Rohan
trp_c4_lancer_of_rohan|Lansier van Rohan
trp_c4_lancer_of_rohan_pl|Lansiers van Rohan
trp_c5_elite_lancer_of_rohan|Elite Lancier van Rohan
trp_c5_elite_lancer_of_rohan_pl|Elite Lanciers van Rohan
trp_c6_lancer_guard_of_rohan|Brego Bewaker van Rohan
trp_c6_lancer_guard_of_rohan_pl|Brego Bewakers van Rohan
trp_c6_king_s_man_of_rohan|Beschermer van de Koning
trp_c6_king_s_man_of_rohan_pl|Beschermers van de Koning
trp_c2_squire_of_rohan|Schildknaap van Rohan
trp_c2_squire_of_rohan_pl|Schildknapen van Rohan
trp_c3_rider_of_rohan|Ruiter van Rohan
trp_c3_rider_of_rohan_pl|Ruiters van Rohan
trp_c4_veteran_rider_of_rohan|Ervaren Ruiter van Rohan
trp_c4_veteran_rider_of_rohan_pl|Ervaren Ruiters van Rohan
trp_c5_elite_rider_of_rohan|Elite Ruiters van Rohan
trp_c5_elite_rider_of_rohan_pl|Elite Ruiters van Rohan
trp_c6_rider_guard_of_rohan|Eoarl Bewaker van Rohan
trp_c6_rider_guard_of_rohan_pl|Eorl Bewakers van Rohan
trp_i6_2h_guard_of_rohan|Roer Bewaker van Rohan
trp_i6_2h_guard_of_rohan_pl|Roer Bewakers van Rohan
trp_dismounted_veteran_skirmisher_of_rohan|Ervaren Schermutselaar van Rohan
trp_dismounted_veteran_skirmisher_of_rohan_pl|Ervaren Schermutselaren van Rohan
trp_dismounted_elite_skirmisher_of_rohan|Elite Schermutselaar van Rohan
trp_dismounted_elite_skirmisher_of_rohan_pl|Elite Schermutselaren van Rohan
trp_dismounted_thengel_guard_of_rohan|Thengel Bewaker van Rohan
trp_dismounted_thengel_guard_of_rohan_pl|Thengel Bewakers van Rohan
trp_harad_desert_warrior|Harad Dienstplichtige
trp_harad_desert_warrior_pl|Harad Dienstplichtigen
trp_harad_infantry|Harad Lichte Infanterie
trp_harad_infantry_pl|Harad Lichte Infanterie
trp_harad_veteran_infantry|Harad Speervechter
trp_harad_veteran_infantry_pl|Harad Speervechters
trp_harad_tiger_guard|Tijger Beschermer
trp_harad_tiger_guard_pl|Tijger Beschermers
trp_harad_swordsman|Harad Zwaardvechter
trp_harad_swordsman_pl|Harad Zwaardvechters
trp_harad_lion_guard|Leeuw Beschermer
trp_harad_lion_guard_pl|Leeuw Beschermers
trp_harad_skirmisher|Harad Jager
