itm_horse_meat|Lóhús
itm_troll_head_helm|Troll fej
itm_troll_head_helm_b|Troll fej
itm_troll_head_helm_c|Troll fej
itm_tree_trunk_club_a|Fatörzs
itm_tree_trunk_club_b|Fatörzs
itm_tree_trunk_invis|Fatörzs
itm_giant_hammer|Óriási kalapács
itm_giant_mace|Óriási buzogány
itm_giant_mace_b|Óriási szöges buzogány
itm_olog_feet_boots|Olog-hai talp
itm_olog_head_helm|Olog-hai fej
itm_olog_head_helm_b|Olog-hai fej
itm_olog_head_helm_c|Olog-hai fej
itm_olog_body|Olog-hai páncélzat
itm_olog_body_b|Olog-hai páncélzat
itm_olog_hands|Olog-hai kezek
itm_arrows|Nyílvesszők
itm_gondor_arrows|Gondori nyílvesszők
itm_gondor_auxila_arrows|Gondormódi nyílvesszők
itm_khergit_arrows|Fogazott nyílvesszők
itm_rohan_arrows_2|Rohír nyílvesszők
itm_harad_arrows|Haradrim nyílvesszők
itm_corsair_arrows|Kalóz nyílvesszők
itm_ithilien_arrows|Ithilieni nyílvesszők
itm_woodelf_arrows|Erdőtünde nyílvesszők
itm_elven_arrows|Tünde nyílvesszők
itm_orc_hook_arrow|Ork horgas nyílvesszők
itm_isengard_arrow|Vasudvardi nyílvesszők
itm_pilgrim_disguise|Zarándok álruha
itm_leather_gloves|Bőrkesztyűk
itm_mail_mittens|Lánckesztyűk
itm_leather_boots|Bőrcsizmák
itm_black_dress|Fekete ruha
itm_blackwhite_dress|Női ruha
itm_white_tunic_a|Fehér tunika
itm_white_tunic_b|Egyszerű tunika
itm_white_tunic_c|Tunikás zubbony
itm_blue_tunic|Kék tunika
itm_black_tunic|Fekete tunika
itm_green_tunic|Zöld tunika
itm_red_tunic|Piros tunika
itm_leather_apron|Bőrkötény
itm_leather_jerkin|Bőrzeke
itm_fur_coat|Suhatagi kabát
itm_green_dress|Zöld ruha
itm_tld_tunic|Tunika
itm_gondor_fine_outfit_dress|Szép öltözet
itm_rohan_fine_outfit_dale_dress|Szép öltözet
itm_robe_generic_dress|Köpeny
itm_wimple_a|Fejkendő
itm_wimple_with_veil|Fejkendő
itm_fine_hat|Szép kalap
itm_shortened_spear|Megrövidített lándzsa
itm_spear|Lándzsa
itm_light_lance|Könnyű kopja
itm_lance|Kopja
itm_tab_shield_small_round_b|Kerek lovassági pajzs
itm_short_bow|Rövid íj
itm_regular_bow|Íj
itm_nomad_bow|Nomád íj
itm_gondor_bow|Gondori íj
itm_strong_bow|Erős íj
itm_elven_bow|Tünde íj
itm_corsair_bow|Kalóz íj
itm_dwarf_horn_bow|Törp szaruíj
itm_dwarf_short_bow|Törp rövid íj
itm_harad_bow|Haradi visszacsapó íj
itm_lg_bow|Sas Őrség íja
itm_riv_bow|Völgyzugolyi íj
itm_glorfi_bow|Glorfindeili íj
itm_lorien_bow|Gakadhrimi íj
itm_isengard_large_bow|Vasudvardi hatalmas íj
itm_dale_bow|Suhatagi íj
itm_uruk_bow|Ork íj
itm_mirkwood_bow|Bakacsinerdei íj
itm_dunland_javelin|Dúnföldi gerely
itm_orc_throwing_arrow|Ork dobónyíl
itm_heavy_throwing_spear|Nehéz dobólándzsa 
itm_javelin|Gerely
itm_harad_javelin|Haradi gerely
itm_gondor_javelin|Gondori gerely
itm_rohirrim_throwing_axe|Rohír dobófejsze
itm_loss_throwing_axes|Lossernachi dobófejsze
itm_arnor_helm_a|Arnoriai sisak
itm_arnor_helm_b|Arnoriai sisak
itm_arnor_helm_c|Arnoriai sisak
itm_dunedain_helm_a|Dúnadán csuklya
itm_dunedain_helm_b|Arnoriai díszes sisak
itm_arnor_armor_a|Arnoriai páncélzat
itm_arnor_armor_b|Arnoriai páncélzat
itm_arnor_armor_c|Dúnadán kósza bőrpáncél
itm_arnor_armor_d|Dúnadán kósza bőrpáncél
itm_arnor_armor_e|Arnoriai megerősített zeke
itm_arnor_armor_f|Arnoriai főpáncélzat
itm_arnor_greaves|Arnoriai lábszárvédő
itm_arnor_splinted|Arnoriai sínes lábszárvédő
itm_arnor_shield_a|Arnoriai pajzs
itm_arnor_shield_c|Arnoriai lovassági pajzs
itm_arnor_shield_b|Arnoriai pajzs
itm_arnor_shield_d|Arnoriai lovassági pajzs
itm_arnor_sword_a|Arnoriai fattyúkard
itm_arnor_sword_c|Arnoriai fattyúkard
itm_arnor_sword_f|Arnoriai rövidkard
itm_riv_helm_a|Völgyzugolyi főkötő
itm_riv_helm_b|Völgyzugolyi íjászsisak
itm_riv_helm_c|Völgyzugolyi gyalogsági sisak
itm_riv_helm_glorfi|Glorfi haja
itm_riv_tiara|Tündeúri tiara
itm_riv_shield_a|Völgyzugolyi pajzs
itm_riv_shield_b|Völgyzugolyi pajzs
itm_riv_bas_sword|Völgyzugolyi fattyúkard
itm_riv_1h_sword|Völgyzugolyi kard
itm_riv_riding_sword|Völgyzugolyi lovassági kard
itm_riv_archer_sword|Völgyzugolyi íjász kard
itm_riv_spear|Völgyzugolyi lándzsa
itm_riv_armor_light|Völgyzugolyi páncélzat
itm_riv_armor_light_inf|Völgyzugolyi páncélzat
itm_riv_armor_archer|Völgyzugolyi páncélzat
itm_riv_armor_m_archer|Völgyzugolyi páncélzat
itm_riv_armor_med|Völgyzugolyi páncélzat
itm_riv_armor_heavy|Völgyzugolyi páncélzat
itm_riv_armor_h_archer|Völgyzugolyi páncélzat
itm_riv_armor_leader|Völgyzugolyi parancsnoki páncélzat
itm_riv_boots|Völgyzugolyi csizmák
itm_gon_footman|Gondori láncing
itm_gon_jerkin|Gondori zeke
itm_gon_regular|Gondori nehéz láncing
itm_gon_bowman|Gondori bélelt csatakabát
itm_gon_archer|Gondori köpenyes bélelt csatakabát
itm_gon_noble_cloak|Gondori nemesi zeke
itm_gon_squire|Gondori köpenyes láncing
itm_gon_knight|Gondori köpenyes nehéz láncing
itm_gon_ranger_cloak|Gondori kósza köpeny
itm_gon_ranger_skirt|Gondori kósza csataszoknya
itm_gon_steward_guard|Gondor helytartói őrpáncélzat
itm_gon_tower_guard|Gondor toronyőri páncélzat
itm_gon_tower_knight|Gondor torony-lovagi páncélzat
itm_gon_leader_surcoat_cloak|Gondor parancsnoki köpönyeg
itm_gondor_ranger_hood|Zöld csuklya
itm_gondor_ranger_hood_mask|Gondori kósza csuklya
itm_gondor_light_greaves|Gondormódi bőrlábszárvédő
itm_gondor_med_greaves|Gondormódi középnehéz lábszárvédő
itm_gondor_heavy_greaves|Gondormódi láncos lábszárvédő
itm_gondorian_light_helm|Gondormódi gyalogos sisak
itm_gondor_infantry_helm|Gondormódi gyalogsági sisak
itm_gondor_auxila_helm|Gondormódi auxilia sisak
itm_gondorian_light_helm_b|Gondormódi íjászsisak
itm_gondorian_archer_helm|Gondormódi lövészsisak
itm_tower_archer_helm|Torony-íjász sisak
itm_gondor_leader_helm|Gondori fősisak
itm_tower_guard_helm|Toronyőri sisak
itm_gondor_citadel_knight_helm|Fellegvári lovagsisak
itm_gondor_squire_helm|Gondori fegyverhordozó sisak
itm_gondor_knight_helm|Gondori lovagsisak
itm_gondor_dolamroth_helm|Dol Amrothi sisak
itm_swan_knight_helm|Hattyúlovag sisak
itm_gondor_lamedon_helm|Lamedoni sisak
itm_gondor_lamedon_leader_helm|Lamedoni fősisak
itm_blackroot_archer|Feketegyökér-völgyi lövészpáncélzat
itm_blackroot_bowman|Feketegyökér-völgyi íjászpáncélzat
itm_blackroot_footman|Feketegyökér-völgyi gyalogsági páncélzat
itm_blackroot_warrior|Feketegyökér-völgyi harcospáncélzat
itm_blackroot_leader|Feketegyökér-völgyi parancsnoki páncélzat
itm_blackroot_hood|Feketegyökéri csuklya
itm_dol_hauberk|Dol Amrothi láncvért
itm_dol_heavy_mail|Dol Amrothi nehézvért
itm_dol_padded_coat|Dol Amrothi párnázott kabát
itm_dol_shirt|Dol Amrothi ing
itm_dol_very_heavy_mail|Dol Amrothi súlyos láncing
itm_dol_greaves|Dol Amrothi lábszárvédő
itm_dol_shoes|Dol Amrothi könnyű csizmák
itm_lamedon_clansman|Lamedoni nemzetségtag páncélzat
itm_lamedon_footman|Lamedoni gyalogos páncélzat
itm_lamedon_knight|Lamedoni lovagpáncélzat
itm_lamedon_leader_surcoat_cloak|Lamedoni parancsnoki páncélzat
itm_lamedon_warrior|Lamedoni harcospáncélzat
itm_lamedon_veteran|Lamedoni veteránpáncélzat
itm_lamedon_vet_warrior|Lamedoni veterán harcospáncélzat
itm_lamedon_hood|Lamedoni csuklya
itm_pinnath_archer|Pinnath Gelini íjászpáncélzat
itm_pinnath_footman|Pinnath Gelini gyalogospáncélzat
itm_pinnath_leader|Pinnath Gelini parancsnoki páncélzat
itm_pinnath_vet_footman|Pinnath Gelini veterán gyalogospáncélzat
itm_pinnath_warrior|Pinnath Gelini harcospáncélzat
itm_pel_footman|Pelargiri gyalogospáncélzat
itm_pel_jerkin|Pelargiri zeke
itm_pel_leader|Pelargiri parancsnoki páncélzat
itm_pel_marine|Pelargiri tengerészruha
itm_pelargir_marine_leader|Pelargiri tengerész parancsnoki ruha
itm_pelargir_regular|Pelargiri hétköznapi ruha
itm_pelargir_hood|Pelargiri csuklya
itm_pelargir_helmet_light|Pelargiri sisak
itm_pelargir_helmet_heavy|Pelargiri nehéz sisak
itm_pelargir_greaves|Pelargiri lábszárvédő
itm_lossarnach_shirt|Lossarnachi ing
itm_lossarnach_axeman|Lossarnachi baltás páncélzat
itm_lossarnach_leader|Lossarnachi parancsnoki páncélzat
itm_lossarnach_vet_axeman|Lossarnachi veterán baltás páncélzat
itm_lossarnach_vet_warrior|Lossarnachi veterán harcospáncélzat
itm_lossarnach_warrior|Lossarnachi harcospáncélzat
itm_lossarnach_cloth_cap|Lossarnachi szövetsapka
itm_lossarnach_leather_cap|Lossarnachi bőrsapka
itm_lossarnach_scale_cap|Lossarnachi pikkelysapka
itm_lossarnach_greaves|Lossarnachi lábszárvédő
itm_gondor_shield_a|Gondori fegyverhordozói pajzs
itm_gondor_shield_b|Gondori levélpajzs
itm_gondor_shield_c|Gondori toronypajzs
itm_gondor_shield_d|Gondori levélpajzs
itm_gondor_shield_e|Gondori királyi pajzs
itm_gon_tab_shield_a|Gondori címeres kerek pajzs
itm_gon_tab_shield_b|Gondori címeres szögletes pajzs
itm_gon_tab_shield_c|Gondori címeres levélpajzs
itm_gon_tab_shield_d|Gondori címeres toronypajzs
itm_amroth_sword_a|Dol Amrothi kard
itm_amroth_sword_b|Dol Amrothi lovagkard
itm_gondor_sword|Gondori gyalogsági kard
itm_amroth_bastard|Dol Amrothi nehéz kard
itm_gondor_short_sword|Linhiri eket
itm_pelargir_eket|Pelargiri eket
itm_pelargir_sword|Pelargiri kard
itm_gondor_ranger_sword|Gondori kósza kard
itm_gondor_bastard|Gondori fattyúkard
itm_gondor_citadel_sword|Gondori fellegvári kard
itm_gondor_cav_sword|Gondori lovassági kard
itm_gondor_spear|Gondormódi lándzsa
itm_gondor_tower_spear|Gondormódi toronylándzsa
itm_gondor_lance|Gondori kopja
itm_loss_axe|Lossarnachi harci balta
itm_loss_war_axe|Lossarnachi csatafejsze
itm_lorien_sword_a|Lórieni hosszúkard
itm_lorien_sword_b|Lórieni rövidkard
itm_lorien_sword_c|Lórieni csatakard
itm_lorien_archer|Lórieni íjászpáncélzat
itm_lorien_armor_a|Lórieni gyalogsági páncélzat
itm_lorien_armor_b|Lórieni nehéz gyalogsági páncélzat
itm_lorien_armor_c|Lórieni királyi íjászpáncélzat
itm_lorien_armor_d|Lórieni királyi kardforgató páncélzat
itm_lorien_armor_e|Lórieni őrköpeny
itm_lorien_armor_f|Lórieni elit páncélzat
itm_lorien_boots|Lothlórieni csizmák
itm_lorien_shield_b|Lórieni toronypajzs
itm_lorien_shield_c|Lórieni levélpajzs
itm_lorien_round_shield|Lórieni kerek pajzs
itm_lorien_helm_a|Lórieni íjászsisak
itm_lorien_helm_b|Lórieni íjászsisak
itm_lorien_helm_c|Lórieni gyalogsági sisak
itm_orc_chain_greaves|Ork lábszárvédő
itm_orc_coif|Ork sapka
itm_orc_greaves|Ork lánccsizma
itm_orc_ragwrap|Ork kapcarongy
itm_orc_furboots|Ork prémcsizmák
itm_orc_furboot_tall|Ork prémcsizmák
itm_orc_tribal_a|Kezeletlen bőr
itm_orc_tribal_b|Kezeletlen bőr
itm_orc_tribal_c|Kezeletlen bőr
itm_evil_gauntlets_a|Páncélkesztyűk
itm_evil_gauntlets_b|Páncélkesztyűk
itm_isen_orc_armor_a|Vasudvardi ork páncélzat
itm_isen_orc_armor_b|Vasudvardi ork páncélzat
itm_isen_orc_armor_c|Vasudvardi ork páncélzat
itm_isen_orc_armor_d|Vasudvardi ork páncélzat
itm_isen_orc_armor_e|Vasudvardi ork páncélzat
itm_isen_orc_armor_f|Vasudvardi ork páncélzat
itm_isen_orc_armor_g|Vasudvardi ork páncélzat
itm_isen_uruk_light_a|Uruk-hai könnyű hámpáncél
itm_isen_uruk_light_b|Uruk-hai bőrpáncélzat
itm_isen_uruk_light_c|Uruk-hai bőrpáncélzat
itm_isen_uruk_light_d|Uruk-hai bőr- és láncing
itm_isen_uruk_light_e|Uruk-hai láncos hámpáncél
itm_isen_uruk_heavy_a|Uruk-hai bőr- és láncing
itm_isen_uruk_heavy_b|Uruk-hai nehéz páncélzat
itm_isen_uruk_heavy_c|Uruk-hai nehéz páncélzat
itm_isen_uruk_heavy_d|Uruk-hai nyomkövető bőrpáncél
itm_isen_uruk_heavy_e|Uruk-hai nyomkövető bőrpáncél
itm_uruk_tracker_boots|Uruk nyomkövető csizmák
itm_uruk_greaves|Uruk lábszárvédő
itm_uruk_chain_greaves|Uruk láncos lábszárvédő
itm_uruk_ragwrap|Uruk kapcarongy
itm_isen_orc_helm_a|Vas-folyami ork sisak
itm_isen_orc_helm_b|Vas-folyami ork sisak
itm_isen_orc_helm_c|Vas-folyami ork sisak
itm_isen_uruk_helm_a|Uruk-hai sisak
itm_isen_uruk_helm_b|Uruk-hai sisak
itm_isen_uruk_helm_c|Uruk-hai sisak
itm_isen_uruk_helm_d|Uruk-hai kapitányi sisak
itm_isen_uruk_helm_e|Uruk-hai nyomkövetői sisak
itm_isen_uruk_helm_f|Uruk-hai nyomkövetői sisak
itm_uruk_pike_a|Uruk pika
itm_uruk_pike_b|Uruk pika
itm_uruk_falchion_a|Uruk falchion
itm_uruk_falchion_b|Uruk falchion
itm_uruk_spear|Uruk lándzsa
itm_uruk_skull_spear|Uruk koponyás lándzsa
itm_uruk_voulge|Uruk voulge
itm_uruk_heavy_axe|Uruk nehéz balta
itm_isengard_sword|Vasudvardi kard
itm_isengard_axe|Vasudvardi balta
itm_isengard_hammer|Vasudvardi csatakalapács
itm_isengard_halberd|Vasudvardi alabárd
itm_isengard_mallet|Vasudvardi pöröly
itm_isengard_heavy_axe|Vasudvardi nehéz balta
itm_isengard_heavy_sword|Vasudvardi nehéz kard
itm_isengard_spear|Vasudvardi lándzsa
itm_isengard_pike|Vasudvardi pika
itm_isen_orc_shield_a|Vas-folyami ork pajzs
itm_isen_orc_shield_b|Vas-folyami ork pajzs
itm_isen_uruk_shield_b|Vas-folyami uruk pajzs
itm_wood_club|Fabunkó
itm_twohand_wood_club|Hatalmas fabunkó
itm_bone_cudgel|Csonthusáng
itm_skull_club|Koponyás bunkó
itm_orc_club_a|Ork bunkó
itm_orc_club_b|Ork bunkó
itm_orc_club_c|Ork bunkó
itm_orc_club_d|Ork bunkó
itm_orc_sledgehammer|Ork kőtörő-kalapács
itm_orc_simple_spear|Ork lándzsa
itm_orc_skull_spear|Ork koponyás lándzsa
itm_orc_bill|Ork kampóbárd
itm_orc_slasher|Ork szabdaló
itm_orc_falchion|Ork falchion
itm_orc_scimitar|Ork szablya
itm_orc_sabre|Ork szablya
itm_orc_machete|Ork bozótvágókés
itm_orc_axe|Ork balta
itm_orc_two_handed_axe|Ork kétkezes balta
itm_orc_throwing_axes|Ork dobófejsze
itm_orc_bow|Ork íj
itm_orc_shield_a|Ork pajzs
itm_orc_shield_b|Ork pajzs
itm_orc_shield_c|Ork pajzs
itm_mordor_orc_shield_a|Mordori ork pajzs
itm_mordor_orc_shield_b|Mordori ork pajzs
itm_mordor_orc_shield_c|Mordori ork pajzs
itm_mordor_orc_shield_d|Mordori ork pajzs
itm_mordor_orc_shield_e|Mordori ork pajzs
itm_mordor_uruk_shield_a|Mordori uruk pajzs
itm_mordor_uruk_shield_b|Mordori uruk pajzs
itm_mordor_uruk_shield_c|Mordori uruk pajzs
itm_mordor_man_shield_a|Mordori ember pajzs
itm_mordor_man_shield_b|Mordori ember pajzs
itm_angmar_shield|Angmari pajzs
itm_orc_helm_a|Ork hosszúorr sisak
itm_orc_helm_b|Ork rostélysisak
itm_orc_helm_c|Ork vödörsisak
itm_orc_helm_d|Ork rostélysisak
itm_orc_helm_e|Ork csőrsisak
itm_orc_helm_f|Ork bogársisak
itm_orc_helm_g|Ork koronasisak
itm_orc_helm_h|Ork pofasisak
itm_orc_helm_i|Ork ormánysisak
itm_orc_helm_j|Ork gyíksisak
itm_orc_helm_k|Ork keselyűsisak
itm_m_orc_light_a|Mordori ork könnyű páncélzat
itm_m_orc_light_b|Mordori ork könnyű páncélzat
itm_m_orc_light_c|Mordori ork könnyű páncélzat
itm_m_orc_light_d|Mordori ork könnyű páncélzat
itm_m_orc_light_e|Mordori ork könnyű páncélzat
itm_m_orc_heavy_a|Mordori ork nehéz páncélzat
itm_m_orc_heavy_b|Mordori ork nehéz páncélzat
itm_m_orc_heavy_c|Mordori ork nehéz páncélzat
itm_m_orc_heavy_d|Mordori ork nehéz páncélzat
itm_m_orc_heavy_e|Mordori ork nehéz páncélzat
itm_m_uruk_light_a|Uruk hámpáncél
itm_m_uruk_light_b|Uruk vastag hámpáncél
itm_m_uruk_heavy_c|Uruk bőrpáncélzat
itm_m_uruk_heavy_d|Uruk tagolt páncélzat
itm_m_uruk_heavy_e|Uruk páncéling
itm_m_uruk_heavy_f|Uruk páncéling
itm_m_uruk_heavy_g|Uruk páncéling
itm_m_uruk_heavy_h|Uruk pikkelying
itm_m_uruk_heavy_i|Uruk vastag pikkelying
itm_m_uruk_heavy_j|Uruk nehéz páncélzat
itm_m_uruk_heavy_k|Uruk őrpáncélzat
itm_m_cap_armor|Mordori kapitányi páncélzat
itm_black_num_armor|Fekete númenori páncélzat
itm_m_armor_a|Mordori páncélzat
itm_m_armor_b|Mordori páncélzat
itm_evil_light_armor|Baljós garbó
itm_uruk_helm_a|Uruk sisak
itm_uruk_helm_b|Uruk sisak
itm_uruk_helm_c|Uruk csőrsisak
itm_uruk_helm_d|Uruk rostélysisak
itm_uruk_helm_e|Uruk maszkos sisak
itm_uruk_helm_f|Uruk sisak
itm_mordor_cap_helm|Mordori kapitányi sisak
itm_mordor_helm|Mordori sisak
itm_black_num_helm|Fekete númenori sisak
itm_mordor_sword|Mordori fattyúkard
itm_mordor_longsword|Mordori kard
itm_moria_armor_a|Móriai mellkasi hámpáncél
itm_moria_armor_b|Móriai mellkas- és vállvédő
itm_moria_armor_c|Móriai ork páncéling
itm_moria_armor_d|Móriai szögecselt bőrpáncél
itm_moria_armor_e|Móriai ork nehéz páncéling
itm_moria_orc_shield_a|Móriai ork pajzs
itm_moria_orc_shield_b|Móriai ork pajzs
itm_moria_orc_shield_c|Móriai ork pajzs
itm_gundabad_armor_a|Gundabadi ork rongyok
itm_gundabad_armor_b|Gundabadi ork prémruha
itm_gundabad_armor_c|Gundabadi ork páncélzat
itm_gundabad_armor_d|Gundabadi ork páncélzat
itm_gundabad_armor_e|Gundabadi ork nehéz páncélzat
itm_gundabad_helm_a|Gundabadi sapka
itm_gundabad_helm_b|Gundabadi sisak
itm_gundabad_helm_c|Gundabadi sisak
itm_gundabad_helm_d|Gundabadi sisak
itm_gundabad_helm_e|Varglovas sisak
itm_dunland_wolfboots|Dúnföldi farkascsizma
itm_dunland_armor_a|Dúnmódi prémpáncélzat
itm_dunland_armor_b|Dúnmódi prémpáncélzat
itm_dunland_armor_c|Dúnmódi prémpáncélzat
itm_dunland_armor_d|Dúnmódi prémpáncélzat
itm_dunland_armor_e|Dúnmódi prémpáncélzat
itm_dunland_armor_g|Dúnmódi prémpáncélzat
itm_dunland_armor_h|Dúni hosszú prémpáncélzat
itm_dunland_armor_i|Dúnmódi láncvért
itm_dunland_armor_j|Dúnföldi láncvért
itm_dunland_armor_k|Dúni törzsfői páncélzat
itm_dun_helm_a|Dúnmódi farkassapka
itm_dun_helm_b|Dúnmódi agancssapka
itm_dun_helm_c|Dúnmódi magas sisak
itm_dun_helm_d|Dúnmódi magas sisak
itm_dun_helm_e|Dún magas csatasisak
itm_dun_shield_a|Dúnmódi pajzs
itm_dun_shield_b|Dúnmódi pajzs
itm_dun_berserker|Dúnföldi törzsfőnöki kard
itm_dunnish_antler_axe|Dúnmódi agancsos balta
itm_dunnish_war_axe|Dúnmódi csatabalta
itm_dunnish_axe|Dúnmódi balta
itm_dunland_spear|Dúnmódi lándzsa
itm_dunnish_pike|Dúnmódi pika
itm_rohan_armor_a|Rohani ing
itm_rohan_armor_b|Rohani köpenying
itm_rohan_armor_c|Rohani hosszú ing
itm_rohan_armor_d|Rohani láncvért
itm_rohan_armor_e|Rohani láncvért
itm_rohan_armor_f|Rohani láncvért
itm_rohan_armor_g|Rohani láncing
itm_rohan_armor_h|Rohani hosszú láncing
itm_rohan_armor_i|Rohani hosszú láncing
itm_rohan_armor_j|Rohani láncvért
itm_rohan_armor_k|Rohani láncvért
itm_rohan_armor_l|Rohani láncvért
itm_rohan_armor_m|Rohani pikkelypáncélzat
itm_rohan_armor_n|Rohani pikkelypáncélzat
itm_rohan_armor_o|Rohani pikkelypáncélzat
itm_rohan_armor_p|Rohani páncélzat
itm_rohan_armor_q|Rohani páncélzat
itm_rohan_armor_r|Rohani páncélzat
itm_rohan_armor_s|Rohani címeres láncing
itm_rohan_light_helmet_a|Rohani könnyű sisak
itm_rohan_light_helmet_b|Rohani könnyű sisak
itm_rohan_inf_helmet_a|Rohani gyalogsági sisak
itm_rohan_inf_helmet_b|Rohani gyalogsági sisak
itm_rohan_archer_helmet_a|Rohani íjászsisak
itm_rohan_archer_helmet_b|Rohani íjászsisak
itm_rohan_archer_helmet_c|Rohani lovasíjászsisak
itm_rohan_cav_helmet_a|Rohani lovassági sisak
itm_rohan_cav_helmet_b|Rohani lovassági sisak
itm_rohan_cav_helmet_c|Rohani lovassági sisak
itm_rohan_captain_helmet|Rohani kapitányi sisak
itm_rohan_shield_a|Rohani pajzs
itm_rohan_shield_b|Rohani pajzs
itm_rohan_shield_c|Rohani pajzs
itm_rohan_shield_d|Rohani pajzs
itm_rohan_shield_e|Rohani pajzs
itm_rohan_shield_f|Rohani pajzs
itm_rohan_shield_g|Rohani királyi pajzs
itm_rohan_light_greaves|Rohani könnyű lábszárvédő
itm_rohirrim_war_greaves|Rohír csata lábszárvédő
itm_rohan_shoes|Bőrcipők
itm_rohan_cav_sword|Rohani lovassági kard
itm_rohan_inf_sword|Rohani kard
itm_rohan_spear|Rohani lándzsa
itm_rohan_lance|Rohani kopja
itm_rohan_sword_c|Rohani kard
itm_rohirrim_short_axe|Rohír rövid balta
itm_rohirrim_long_hafted_axe|Rohír hosszú nyelű balta
itm_rohan_2h_sword|Rohani csatakard
itm_mirkwood_light_scale|Könnyű erdőtünde pikkelypáncél
itm_mirkwood_armor_a|Könnyű bőrpáncél
itm_mirkwood_armor_b|Könnyű összetűzött pikkelypáncélzat 
itm_mirkwood_armor_c|Könnyű pikkelypáncélra vett láncing
itm_mirkwood_armor_d|Könnyű összetűzött köpönyeg
itm_mirkwood_armor_e|Könnyű láncing és köpönyeg
itm_mirkwood_armor_f|Királyi erdőtünde páncélzat
itm_mirkwood_great_spear|Bakacsinerdei nagy lándzsa
itm_mirkwood_war_spear|Bakacsinerdei csatalándzsa
itm_mirkwood_short_spear|Bakacsinerdei lándzsa
itm_mirkwood_knife|Bakacsinerdei fehér kés
itm_mirkwood_sword|Bakacsinerdei kard
itm_mirkwood_spear_shield_a|Bakacsinerdei lándzsás-pajzs
itm_mirkwood_spear_shield_b|Bakacsinerdei csatapajzs
itm_mirkwood_spear_shield_c|Bakacsinerdei kardforgató-pajzs
itm_mirkwood_helm_a|Bakacsinerdei íjászsisak
itm_mirkwood_helm_b|Bakacsinerdei sisak
itm_mirkwood_helm_c|Bakacsinerdei királyi lándzsás sisak
itm_mirkwood_helm_d|Bakacsinerdei királyi íjászsisak
itm_mirkwood_boots|Bakacsinerdei csizmák
itm_mirkwood_leather_greaves|Bakacsinerdei bőrlábszárvédő
itm_harad_tunic|Haradi tunika
itm_harad_padded|Harondori párnázott páncélzat
itm_harad_hauberk|Harondori láncvért
itm_harad_lamellar|Harasjalai páncélzat
itm_harad_heavy|Haradi kardforgató páncélzat
itm_harad_skirmisher|Haradi könnyű garbó
itm_harad_archer|Haradi íjászpáncélzat
itm_black_snake_armor|Marankai páncélzat
itm_harad_champion|Messze-haradi öltözet
itm_panther_guard|Párdur irharuha
itm_harad_scale|Haradi pikkelypáncélzat
itm_harad_tiger_scale|Tigris őrségi páncélzat
