menu_start_game_1|^^^^^^^^^^Miért küzdesz?
menu_camp_compat_tweaks|^^^^^^^^Kattints egy lehetőségre a változtatáshoz (tartsd a Shiftet lenyomva a csökkentéshez):^(Ezek a kompatibilitásra vonatkoznak és nem csalások)
mno_game_options_compat_party|Csapatok maximális száma: {s1}
mno_game_options_compat_back|Vissza a finomítások menübe.
menu_camp_strat_tweaks|^^^^^^^^Kattints egy beállításra a következő lehetőségek beállításához:^(vigyázat: ezek csalások!)
mno_strat_tweaks_siege_reqs|Ostrom erő követelményei: {s7}
mno_strat_tweaks_siege_relax_rate|Ostrom erős előfelt. gyengítési értéke: {reg1}
mno_strat_tweaks_regen_rate|Erő regenerálódási érték: {s7}
mno_strat_tweaks_siege_regen_limit|A népek ereje lassabban áll helyre a következők alatt: {reg1}
mno_strat_tweaks_influence_gain_rate|Befolyás szerezésének üteme: {s7}
mno_strat_tweaks_rank_gain_rate|Rang szerzésének üteme: {s7}
mno_strat_tweaks_back|Vissza a finomítások menübe.
menu_camp_action|^^^^^^^^^     Melyik tárgy?
mno_camp_drink_water|Idd meg az Entvizet!
; mno_camp_drink_orc_brew|Pass around the Orc Brew!
; mno_camp_drink_miruvor|Pass around the Miruvor!
; mno_camp_use_athelas|Use Athelas for wound treatment.
; mno_camp_use_drums|Beat the Drums of the Deep.
mno_camp_action_4|Vissza.
menu_assasins_attack_player_won|Sikeresen legyőzted a(z) {s2} bérgyilkosait, melyeket {s3} küldött.
menu_assasins_attack_player_retreat|Megmenekültél!
menu_fangorn_danger|^^^^^^Furcsa, fenyegető zajokat hallasz.^A fák beszélnek vajon? A levegőben harag és félelem terjeng.^Parancsaid?
mno_be_quiet_elf|Tiszteld a fák gyűlőletét. Menj tovább csendben!
mno_be_quiet|Tedd el a fegyvereket és maradj csöndben! Most pedig tűnés innen!
mno_be_bold|Gyerünk! Nem félek holmi növényektől vagy régi mende-mondáktól!
; mno_fight_back|Let's find out! Search the area! Burn down a tree or two! (Camp)
menu_fangorn_search_fails|^^^^^^Átkutatod a sötét, sűrű erdőt, de semmit sem találsz.^Mégis úgy érzed, valaki figyel, és egyre jobban fenyegetve érzed magad.
menu_fangorn_killed_player_only|^^^^^^A sűrű, sötét erdőben vándorolsz.^Hirtelen valami megüt. Talán egy nehéz ág esett a fejedre?^Csupán néhány percig maradsz eszméletlen.Súlyosan megsérültél, de folytathatod utadat.
mno_ow_get_out|Ááuu! Tűnjünk el erről az átkozott helyről!
menu_fangorn_killed_troop_and_player|^^^^^^A sűrű, sötét erdőben vándorolsz.^^Hirtelen valami megüt. Talán egy nehéz ág esett a fejedre?^^Miután magadhoz térsz néhány perccel később, észreveszed, hogy nem mindenki volt ilyen szerencsés a csapatodból.^^
menu_fangorn_killed_troop_only|^^^^^^^^A sűrű, sötét erdőben vándorolsz. A csapataid rettegnek.^^Hirtelen hátulról sikolyokat hallasz! Visszasietsz, és csapatod néhány tagját vérben fekve találod a földön.^^Néhány embered pedig hiányzik...
mno_get_out|Tűnjünk el erről az átkozott helyről!
menu_can_capture_troll|A leterített vad troll még mindig lélegzik!^^Gonosz, fájdalommal és haraggal teli szemei rád merednek.^Még most is, hogy leterítették, és magatehetetlenül fekszik a saját vérében, rendkívül veszélyesnek néz ki...
mno_killit|Végezz vele, most azonnal! Menj biztosra!
mno_cageit1|Ketrecbe vele és vidd magaddal.
mno_cageit2|Zárd ketrecbe a másik trollal.
mno_cheat_disabable|Csalás/modding lehetőség kikapcsolása.
menu_drank_ent_water_human|^^^Megiszod a vizet. Tisztának és frissítőnek tűnik az íze. Kellemes illata van, akár a pézsma.^Felfrissültnek érzed magad.^^Mindazonáltal egy különös, természetellenes érzésed van. Valami azt súgja, hogy jobb, ha ebből a vízből soha, de soha többé nem iszol.
menu_drank_ent_water_orc|^^^Megiszod a vizet. Ez csak sima víz.^Hirtelen a torkodhoz kapsz, óriási fájdalmak közepette.^Mérgezett!^Fulladozol, fekete vért hánysz és majdnem elájulsz.^^Nagyon, nagyon fáj!
mno_i_shall_surv|Túl... kell... élnem!
menu_end_game|^^^^^A döntés megszületett, és elhatároztad, hogy feladod kalandozó életmódodat és letelepedsz. Eladod fegyvereidet és páncélodat, összeszeded a holmidat és ellovagolsz a napnyugtába...
mno_end_game_bye|Viszlát.
menu_cattle_herd|Találkozol néhány emberrel.
mno_cattle_drive_away|Parancsold meg, hogy kövessenek.
mno_cattle_stop|Állítsd meg őket.
mno_leave|Távozás.
menu_simple_encounter|^^^^^{s2}^{reg22} csapatod áll készen a csatára {reg11} ellen.^^A csata {s3}{s4} területén zajlik le.^^Parancsaid?
mno_encounter_attack|{reg21?Megrohamozni őket:Felkészülni a csatára.}
mno_encounter_order_attack|Parancsold meg csapataidnak, {reg21?támadjanak:nézzenek szembe velük} nélküled.
; mno_control_allies_menu|Use influence to command your allies in the field.
mno_encounter_hide|Elbújsz az ellenfelek elől...
mno_special_whip|Rohanj velük szembe, megroppantva a {s4}t.
; mno_encounter_attack_bearform|{reg21?Leap into battle in bear form:Turn skin and face them}.
mno_encounter_leave|Visszavonulás.
mno_encounter_retreat|Visszavonulás, néhány katonát hátrahagyva, hogy fedezzék a visszavonulásodat.
mno_player_control_allies_simple|Vezesd őket, és rohand le az ellenséget
mno_player_control_allies_back|Vissza...
mno_hide_close|Folytatás...
menu_encounter_retreat_confirm|^^^^^A legnagyobb taktikai képzettséggel rendelkező csapattagként, ({reg2}), {reg3?kiötölsz:{s3}kitalál} egy tervet, mely lehetővé teszi számodra és embereid számára, hogy elmeneküljetek, hátra kell azonban hagynod {reg4} katonát, hogy lefoglalják az ellenséget. 
mno_leave_behind|Gyerünk. Ezeknek az embereknek a feláldozása megmenti a többiek életét.
mno_dont_leave_behind|Nem. Senkit sem hagyunk hátra.
menu_encounter_retreat|^^^^^Utasítod {reg4} egységedet, hogy tartsák fel az ellenséget, amíg a csapat többi részével visszavonulsz.
menu_order_attack_begin|^^^^^ Csapataid felkészültek az ellenség megtámadására.
mno_order_attack_begin|Parancsold meg a támadást.
mno_call_back|Visszavonulás megparancsolása.
menu_order_attack_2|^{s4}^Veszteséged: {s8}^^Ellenség vesztesége: {s9}
mno_order_attack_continue|Parancsold meg katonáidnak a támadás folytatását.
mno_order_retreat|Hívd vissza katonáidat.
menu_kingdom_army_quest_report_to_army|{s8} azt üzeni, hogy csatlakozz az új katonai kampányához. Legalább {reg13} katonát kell vinned a seregbe, és utasít, hogy toborozz több harcost a lehető leggyorsabban, ha jelenleg nincsen elég.
mno_reject|Küldj üzenetet, hogy túl elfoglalt vagy.
mno_send_word|Küldj üzenetet, hogy hamarosan csatlakozol hozzá.
menu_kingdom_army_quest_messenger|{s8} azt üzeni, hogy beszélni kíván veled egy elvégzendő feladatról. Azt kéri, hogy menj és látogasd meg minél előbb.
menu_kingdom_army_quest_join_siege_order|{s8} azt üzeni, hogy csatlakoznod kell {s9} ostromához a teljes támadás megindításának előkészületeként. A csapataidnak bármi áron be kell venniük {s9}t.
menu_kingdom_army_follow_failed|Ellenszegültél a parancsnak, és nem követted {s8}t. Azt üzeni, feltételezi, hogy sürgetőbb ügyeid vannak, figyelmeztet azonban, hogy a türelme nem végtelen.
menu_battle_debrief|{s11}^Veszteségeid:{s8}{s10}^^Ellenség veszteségei:{s9}
mno_inspect_troll|Leterített troll megvizsgálása
menu_pre_join|^^^^^Épp egy csata közepébe pottyansz {s2} és {s1} között. Úgy döntesz, hogy...
mno_pre_join_help_attackers|{s2} segítségére sietsz.
mno_pre_join_help_defenders|{s1} segítségére sietsz.
mno_pre_join_help_refugees|{s1} segítségére sietsz.
mno_pre_join_leave|Nem avatkozol közbe.
menu_join_battle|^^^{s2} segítségére sietsz {s1} ellen.^ {reg22} katona áll készen a csatára az ellenség {reg11} egysége ellen.^^A csata {s3}{s4} területén zajlik le.
mno_join_attack|Az ellenség megrohamozása.
mno_join_order_attack|Utasítsd csapataidat szövetségeseiddel az ellenség megtámadására, miközben te hátra maradsz.
; mno_control_allies_join_menu|Use influence to command your allies in the field.
; mno_join_attack_bearform|Leap into battle in bear form
mno_join_leave|Visszavonulás.
mno_player_control_allies_join_menu|Vezesd őket, és rohand le az ellenséget
menu_join_order_attack|{s4}^^Veszteségeid: {s8}^^Szövetségesek vesztesége: {s9}^^Ellenség vesztesége: {s10}
mno_enter|Belépés.
menu_battlefields|^^^^^^^^^^Válassz mezőt...
mno_enter_f1|Mező 1
mno_enter_f2|Mező 2
mno_enter_f3|Mező 3
mno_enter_f4|Mező 4
mno_enter_f5|Mező 5
menu_join_siege_outside|^^^^^^{s2} ostrom alá vette {s1}t.
mno_approach_besiegers|Az ostromtábor megközelítése.
mno_pass_through_siege|Átkelés az ostromvonalakon és belépés {s1} városába.
menu_cut_siege_without_fight|Az ostromlók nem tartóztatnak fel a kapuhoz vezető úton.
menu_besiegers_camp_with_allies|{s1} ostrom alatt marad. {s2} zászlói az ostromlók tábora felett lengedezik, ahol téged és csapataidat szívesen látják.
mno_talk_to_siege_commander|Kérj találkozót a parancsnokkal.
mno_join_siege_with_allies|Csatlakozz a következő támadáshoz.
mno_join_siege_stay_back|Parancsold meg katonáidnak, hogy csatlakozzanak nélküled a következő támadáshoz.
menu_moria_must_escape|^^A könyv a Móriába visszatelepülni kívánó törpök utolsó kísérletét próbálja bemutatni. Egy kísérletet, mely minden résztvevő számára szörnyű halállal végződött. Átolvasva a könyvet, a következő szavakba botlasz: "ezüstacél"! Áttanulmányozva az oldalakat hirtelen ráeszmélsz, hogy a leírások az alsóbb szinteken eldugott törp kincsekről szólnak. Háháá! Hát nem lenne csodás felfedezni a rég elvesztett törp mithrillt? ^Kíváncsian követed az iránymutatást egy szűk, kanyargós járaton lefelé... ^...^Néhány óra eredménytelen keresés után rájössz, hogy elvesztél Mória mélységeiben, és találnod kell egy kiutat.
mno_moria_exit_scene|Találd meg a kifelé vezető utat!
menu_castle_outside|Kint vagy {s2}.{s11} {s3} {s4}
mno_moria_enter|Visszatérés Mória főcsarnokába a titkos bejáraton keresztül.
mno_moria_enter_door|Belépés Móriába.
mno_cheat_steal_book_door|Szerezd meg a könyvet
mno_castle_start_siege|{reg6?város:kastély} megostromlása.
mno_castle_leave|Távozás.
menu_castle_besiege|Ostrom alá veszed {s1}. {s2} {s3}
mno_siege_request_meeting|Kérj találkozót a kastély parancsnokával.
mno_wait_24_hours|Várj holnapig.
mno_castle_lead_attack|Vezesd katonáidat támadásra.
mno_attack_stay_back|Parancsold meg katonáidnak a támadást, amíg te hátul maradsz.
mno_build_ladders|Készíts elő létrákat a falak megtámadásához.
mno_lift_siege|Felhagyás az ostrommal.
menu_siege_attack_meets_sally|^^^^^^A védők kiözönlenek a támadásod felfogására.
menu_construct_ladders|A legnagyobb Mérnöki képzettségű ({reg2}) csapattagként úgy {reg3?becsülöd:{s3} úgy becsüli}, hogy {reg4} órába fog kerülni a létrák megépítése az ostromhoz.
mno_build_ladders_cont|Gyerünk!
menu_castle_attack_walls_simulate|{s4}^^Veszteségeid: {s8}^^Ellenség veszteségei: {s9}
menu_castle_attack_walls_with_allies_simulate|{s4}^^Veszteségeid: {s8}^^Szövetségesek veszteségei: {s9}^^Ellenség veszteségei: {s10}
menu_castle_taken_by_friends|Semmi említésre méltó nincs itt.
menu_castle_taken|{s3} elbukott seregeiddel szemben és most teljes hatalmad van {reg2?város:kastély} felett. {reg1? Úgy néz ki, semmi sem akadályoz meg abban, hogy mindet magadhoz vedd...:}
menu_castle_taken_2|{s3} elbukott seregeiddel szemben, és most teljesen átvetted az irányítást a kastély felett. Ideje üzenni {s9}nek győzelmedről. {s5}
mno_castle_taken_no_claim|Ne kérj jutalmat.
menu_siege_started_defender|{s1} támadást indított {s2} falai ellen. {reg22} csapatod áll készen megütközni az ellenség {reg11} csapatával szemben. Úgy döntesz, hogy...
mno_siege_defender_join_battle|Csatlakozol a csatához.
mno_siege_defender_troops_join_battle|Parancsold meg katonáidnak, hogy menjenek a csatába nélküled.
mno_siege_defender_do_not_join_battle|Nem avatkozol közbe.
menu_siege_join_defense|{s4}^^Veszteségeid: {s8}^^Szövetségesek veszteségei: {s9}^^Ellenség veszteségei: {s10}
menu_village_hunt_down_fugitive_defeated|^^^^^A szökevény kemény csapása a földre küld, látásod elhomályosul és elájulsz. Az idő csak telik. Amikor kinyitod a szemeidet, véresen és kék-zöld foltosan heversz a földön, de szerencsédre egyik seb sem tűnik halálosnak.
menu_town_bandits_succeeded|^^^^^A koboldok elhullanak előtted mint a búzakalászok a kasza előtt! Hamarosan egyedül vagy csak talpon, míg támadóid többsége eszméletlen, halott vagy éppen haldoklik. A helyiek biztosan nagyon hálásak lesznek, ha megtudják, megmentetted őket ettől a veszedelemtől.
menu_town_brawl_lost|^^^^^^Kiütöttek téged. Akiket megtámadtál gyorsan átkutatnak értéktárgyaidért, mielőtt folytatnák mindennapi teendőiket.
menu_town_brawl_won|^^^^^Minden ellenfelet és őrt megvertél, akiket a zavargás elfolyására küldtek. Gyorsan megmotozod őket értéktárgyakat keresve, majd eltűnsz amíg csillapodnak a kedélyek.^Talán legközelebb több tiszteletet mutatnak és kihátrálnak.
menu_close|Semmi.
menu_town|Megérkeztél {s60} városába.{s12}{s13}
mno_town_menu_0|Menj valahova.
; mno_town_menu_0_door|Inspect...
mno_town_approach|Megközelíted {s1}t...
mno_town_castle|Menj {s1} parancsnokhoz.
mno_town_castle_door|A kastély bejárata.
mno_town_center|Sétálj a főtérre...
mno_town_center_door|A városközpontra nyíló ajtó.
mno_aw_chamber_door|Nyisd ki az ajtót.
mno_trade_with_arms_merchant|Látogasd meg a {s40}ot.
mno_trade_with_horse_merchant|Meglátogatod a {s41}t.
; mno_town_prison_door|To the Training Grounds
mno_dungeon_enter|A hegyekben keresd az elveszett lándzsát.
mno_dungeon_enter_door|Nyisd ki az ajtót.
mno_dwarven_warehouse|Látogasd meg a Törp Raktárat
mno_dwarven_warehouse_door|Lépj be a Törp Raktárba
mno_talk_to_castle_commander|Látogasd meg a/az {s61} barakkokat.
mno_speak_with_elder|Beszélj {s6} parancsnokhoz.
mno_isengard_underground|Menj a földalatti barlangokba.
mno_isengard_underground_door|Menj a földalatti barlangokba
mno_tirith_toplevel|Mássz fel a legfelső szintre.
; mno_tirith_toplevel_door|Go to the Citadel
mno_erebor_gates|Nézd meg a Nagy Kapukat.
; mno_erebor_gates_door|Go to the Great Gates
mno_town_leave|Távozás...
mno_town_leave_door|Helyszín elhagyása
menu_player_initiated_siege_result|Megtámadtad ezt a központot {s2} zászlaja alatt.
menu_disembark|Szeretnél partra szállni?
mno_disembark_yes|Igen.
mno_disembark_no|Nem.
menu_ship_reembark|Szeretnél hajóra szállni?
mno_reembark_yes|Igen.
mno_reembark_no|Nem.
menu_center_reports|Város Neve: {s1}^Bérleti Jövedelem: {reg1} dénár^Vám Jövedelem: {reg2} dénár^Élelmiszer Készlet: {reg3} napig
menu_sneak_into_town_suceeded|Egy szegény zarándok ruháiba öltözve sikerül megtévesztened az őröket, és bejutnod a városba.
menu_sneak_into_town_caught|Ahogy megpróbálsz belopózni, egy őr felismer és riadót fúj! Kénytelen vagy kimenekülni a kapun át, mielőtt a város összes őre itt terem!
mno_sneak_caught_fight|Verekedd át magad rajtuk!
mno_sneak_caught_surrender|Add meg magad.
menu_sneak_into_town_caught_dispersed_guards|Sikerül leráznod az őröket, és eltüntetni a nyomaidat, mielőtt elfutsz, könnyűszerrel lerázva üldözőidet az utcák labirintusában.
menu_sneak_into_town_caught_ran_away|Sikerül átjutnod a kapun, és gyorsan visszavonulni a városon kívüli biztonságba.
menu_tld_player_defeated|^^^^^Hirtelen kibírhatatlan fájdalmat érzel a tarkódban. \\ Összerázkódsz, ahogy a világ körülötted sötétségbe veszik...^Ez hát a vég?
menu_recover_after_death_fangorn|Felébredsz. Az erdő nyugodt körülötted, és noha minden csontod sajog, csodával határos módon még élsz.^^Vereséget szenvedtél, de legalább láttad a történteket. ^Most már tudod mi folyik ebben az átkozott erdőben,^és élsz is, hogy elmondd másoknak. ^^De fog-e bárki hinni neked?
menu_recover_after_death_moria|^^^^^Eszméletedhez térsz. Puha talajon fekszel, friss szél simogatja arcod. A természetben vagy!^Az orkok bizonyára halottnak néztek, és kidobtak valami sötét verembe.^Valószínűleg egy földalatti folyam sodort a felszínre.
mno_whatever|Kelj fel!
menu_recover_after_death_default|^^^^^Visszanyered az eszméleted. Ott fekszel, ahol elestél. Bizonyára halottnak néztek, és nem törődtek veled. Mindenesetre egyik sebed sem volt végzetes, és bár borzalmasan érzed magad, még képes vagy járni. Felkelsz, és további túlélők után kutatsz a csapatodból.
menu_recover_after_death_town|^^^^Visszanyered az eszméletedet és a város határában találod magad. Életben vagy! Senki sincs körülötted, így élve a lehetőséggel kivonszolod magad a városból. Úgy látszik egyik sebesülésed sem volt végzetes, és bár borzalmasan érzed magad, még képes vagy járni.
menu_recover_after_death_town_alone|Visszanyered az eszméletedet és a város határában találod magad. Életben vagy! Senki sincs körülötted, így élve a lehetőséggel kivonszolod magad a városból. A társaid megtalálnak téged. Úgy látszik egyik sebesülésed sem volt végzeted, és bár borzalmasan érzed magad, még képes vagy járni.
menu_notification_center_under_siege|{s1} ostrom alá lett véve {s3}i {s2} által!
menu_notification_one_side_left|^^^^^A Gyűrű Háborúja véget ért!^^A {s1} legyőzte az összes ellenfelét és győzelmet aratott!
menu_notification_total_defeat|^^^^^A Gyűrű Háborúja számodra véget ért!^^A {s1} legyőzetett ellenfelei által és vereséget szenvedtél!
menu_notification_your_faction_collapsed|^^^^^A {s11} hazád vereséget szenvedett!^Ennek ellenére, szövetségeseseid még küzdenek a Háborúban. Te, együttműködve akárkivel {s11} népéből, még segíthet hogy a te oldalad győzzön.
menu_notification_faction_defeated|^^^^^{s1} Legyőzetett!^{s1} nincs többé, le lett győzve {s13} serege által!
menu_ruins|^^^^Megérkezel {s1} előőrséhez. Az egyszer robusztus táborhelyet földig rombolták, bár még láthatod az erődítés nyomait és a szétszórt, rozsdás fegyvereket.
