trp_unarmed_troop|Fegyvertelen katona
trp_c3_rhovanion_auxilia|Északlakó Idegenlégiós
trp_c3_rhovanion_auxilia_pl|Északlakó Idegenlégiósok
trp_c4_rhovanion_rider|Rhovanioni lovas
trp_c4_rhovanion_rider_pl|Rhovanioni lovasság
trp_ac5_rhovanion_marchwarden|Rhovanioni végőr
trp_ac5_rhovanion_marchwarden_pl|Rhovanioni végőrség
trp_i1_rhun_tribesman|Rhûni törzstag
trp_i1_rhun_tribesman_pl|Rhûni törzstagok
trp_ac2_rhun_horse_scout|Rhûni lovasfelderítő
trp_ac2_rhun_horse_scout_pl|Rhûni lovasfelderítők
trp_ac3_rhun_horse_archer|Rhûni lovasíjász
trp_ac3_rhun_horse_archer_pl|Rhûni lovasíjászok
trp_ac4_rhun_veteran_horse_archer|Rhûni veterán lovasíjász
trp_ac4_rhun_veteran_horse_archer_pl|Rhûni veterán lovasíjászok
trp_ac5_rhun_balchoth_horse_archer|Balchoth lovasíjász
trp_ac5_rhun_balchoth_horse_archer_pl|Balchoth lovasíjászok
trp_c3_rhun_swift_horseman|Rhûni gyorslovas
trp_c3_rhun_swift_horseman_pl|Rhûni gyorslovasság
trp_c4_rhun_veteran_swift_horseman|Rhûni veterán gyorslovas
trp_c4_rhun_veteran_swift_horseman_pl|Rhûni veterán gyorslovasság
trp_c5_rhun_falcon_horseman|Sólyom lovas
trp_c5_rhun_falcon_horseman_pl|Sólyom lovasság
; trp_i2_rhun_tribal_warrior|Rhun Tribal Footman
; trp_i2_rhun_tribal_warrior_pl|Rhun Tribal Footmen
trp_i3_rhun_tribal_infantry|Rhûni törzsi harcos
trp_i3_rhun_tribal_infantry_pl|Rhûni törzsi harcosok
; trp_i4_rhun_vet_infantry|Rhun Veteran Warrior
; trp_i4_rhun_vet_infantry_pl|Rhun Veteran Warriors
trp_i5_rhun_ox_warrior| Az Ökör Harcosa
trp_i5_rhun_ox_warrior_pl|Az Ökör Harcosai
trp_c2_rhun_horseman|Rhûn Lovas
trp_c2_rhun_horseman_pl|Rhûn Lovasság
trp_c3_rhun_outrider|Rhûn Kilovaglója
trp_c3_rhun_outrider_pl|Rhûn Kilovaglói
trp_c4_rhun_noble_rider|Rhûn Nemes Lovasa
trp_c4_rhun_noble_rider_pl|Rhûn Nemes Lovasai
trp_c5_rhun_warrider|Rhûn Harci Lovasa
trp_c5_rhun_warrider_pl|Rhûn Harci Lovasai
trp_c6_rhun_warlord|Rhûn Hadúr
trp_c6_rhun_warlord_pl|Rhûn Hadurak
trp_i1_dwarf_apprentice|Törp tanonc
trp_i1_dwarf_apprentice_pl|Törp tanoncok
trp_i2_dwarf_warrior|Törp harcos
trp_i2_dwarf_warrior_pl|Törp harcosok
trp_i3_dwarf_hardened_warrior|Harcedzett törp harcos
trp_i3_dwarf_hardened_warrior_pl|Harcedzett törp harcosok
trp_i4_dwarf_spearman|Törp lándzsás
trp_i4_dwarf_spearman_pl|Törp lándzsások
trp_i5_dwarf_pikeman|Törp pikás
trp_i5_dwarf_pikeman_pl|Törp pikások
trp_i6_dwarf_longpikeman|Törp hosszúpikás
trp_i6_dwarf_longpikeman_pl|Törp hosszúpikások
trp_i4_dwarf_axeman|Törp baltás
trp_i4_dwarf_axeman_pl|Törp baltások
trp_i5_dwarf_expert_axeman|Törp tapasztalt baltás
trp_i5_dwarf_expert_axeman_pl|Törp tapasztalt baltások
trp_i6_dwarf_longbeard_axeman|Hosszúszakállú törp baltás
trp_i6_dwarf_longbeard_axeman_pl|Hosszúszakállú törp baltások
trp_a2_dwarf_lookout|Törp őrjáró
trp_a2_dwarf_lookout_pl|Törp őrjárók
trp_a3_dwarf_scout|Törp felderítő
trp_a3_dwarf_scout_pl|Törp felderítők
trp_a4_dwarf_bowman|Törp íjász
trp_a4_dwarf_bowman_pl|Törp íjászok
trp_i6_dwarf_longaxeman|Törp hosszúbaltás
trp_i6_dwarf_longaxeman_pl|Törp hosszúbaltások
trp_i3_iron_hills_warrior|Vasdomboki harcos
trp_i3_iron_hills_warrior_pl|Vasdomboki harcosok
trp_i2_iron_hills_miner|Vasdomboki bányász
trp_i2_iron_hills_miner_pl|Vasdomboki bányászok
trp_i4_iron_hills_infantry|Vasdomboki gyalogos
trp_i4_iron_hills_infantry_pl|Vasdomboki gyalogság
trp_i5_iron_hills_battle_dwarf|Vasdomboki csatatörp
trp_i5_iron_hills_battle_dwarf_pl|Vasdomboki csatatörpök
trp_i6_iron_hills_grors_guard|Gror őre
trp_i6_iron_hills_grors_guard_pl|Gror őrsége
trp_i1_gon_levy|Gondori sorkatona
trp_i1_gon_levy_pl|Gondori sorkatonaság
trp_i2_gon_watchman|Gondori őrálló
trp_i2_gon_watchman_pl|Gondori őrállók
trp_i3_gon_footman|Gondori gyalogos
trp_i3_gon_footman_pl|Gondori gyalogság
trp_i4_gon_spearman|Gondori lándzsás
trp_i4_gon_spearman_pl|Gondori lándzsások
trp_i5_gon_vet_spearman|Gondori veterán lándzsás
trp_i5_gon_vet_spearman_pl|Gondori veterán lándzsások
trp_i6_gon_tower_spearman|A Szökőkút tér strázsája
trp_i6_gon_tower_spearman_pl|A Szökőkút tér strázsái
trp_i4_gon_swordsman|Gondori kardforgató
trp_i4_gon_swordsman_pl|Gondori kardforgatók
trp_i5_gon_vet_swordsman|Gondori veterán kardforgató
trp_i5_gon_vet_swordsman_pl|Gondori veterán kardforgatók
trp_i6_gon_tower_swordsman|A Toronyőrség kardforgatója
trp_i6_gon_tower_swordsman_pl|A Toronyőrség kardforgatói
trp_c1_gon_nobleman|Gondori nemes
trp_c1_gon_nobleman_pl|Gondori nemes
trp_c2_gon_squire|Gondori fegyverhordozó
trp_c2_gon_squire_pl|Gondori fegyverhordozók
trp_c3_gon_vet_squire|Gondori veterán fegyverhordozó
trp_c3_gon_vet_squire_pl|Gondori veterán fegyverhordozók
trp_c4_gon_knight|Gondori lovag
trp_c4_gon_knight_pl|Gondori lovagok
trp_c5_gon_vet_knight|Gondori veterán lovag
trp_c5_gon_vet_knight_pl|Gondori veterán lovagok
trp_c6_gon_tower_knight|A Fellegvár lovagja
trp_c6_gon_tower_knight_pl|A Fellegvár lovagjai
trp_a3_gon_bowman|Gondori íjas
trp_a3_gon_bowman_pl|Gondori íjasok
trp_a4_gon_archer|Gondori íjász
trp_a4_gon_archer_pl|Gondori íjászok
trp_a5_gon_vet_archer|Gondori veterán íjász
trp_a5_gon_vet_archer_pl|Gondori veterán íjászok
trp_a6_gon_tower_archer|A Toronyőrség íjásza
trp_a6_gon_tower_archer_pl|A Toronyőrség íjászai
trp_steward_guard|Helytartó Őre
trp_steward_guard_pl|Helytartó Őrei
trp_a4_ithilien_ranger|Ithilieni kósza
trp_a4_ithilien_ranger_pl|Ithilieni kószák
trp_a5_ithilien_vet_ranger|Ithilieni veterán kósza
trp_a5_ithilien_vet_ranger_pl|Ithilieni veterán kószák
trp_a6_ithilien_master_ranger|Ithilieni mesteri kósza
trp_a6_ithilien_master_ranger_pl|Ithilieni mesteri kószák
trp_a6_ithilien_leader|Ithilieni kósza kapitány
trp_a6_ithilien_leader_pl|Ithilieni kósza kapitányok
trp_i1_loss_woodsman|Lossarnachi favágó
trp_i1_loss_woodsman_pl|Lossarnachi favágók
trp_i2_loss_axeman|Lossarnachi baltás
trp_i2_loss_axeman_pl|Lossarnachi baltások
trp_i3_loss_vet_axeman|Lossarnachi veterán baltás
trp_i3_loss_vet_axeman_pl|Lossarnachi veterán baltások
trp_i4_loss_heavy_axeman|Lossarnachi nehézbaltás
trp_i4_loss_heavy_axeman_pl|Lossarnachi nehézbaltások
trp_i5_loss_axemaster|Lossarnachi baltamester
trp_i5_loss_axemaster_pl|Lossarnachi baltamesterek
trp_i6_loss_leader|Lossarnachi kapitány
trp_i6_loss_leader_pl|Lossarnachi kapitányok
trp_i1_pel_watchman|Pelargiri őrállók
trp_i1_pel_watchman_pl|Pelargiri őrállók
trp_a2_pel_marine|Pelargiri tengerész
trp_a2_pel_marine_pl|Pelargiri tengerészek
trp_a3_pel_vet_marine|Pelargiri veterán tengerész
trp_a3_pel_vet_marine_pl|Pelargiri Veterán Tengerészek
trp_i2_pel_infantry|Pelargiri gyalogos
trp_i2_pel_infantry_pl|Pelargiri gyalogság
trp_i3_pel_vet_infantry|Pelargiri veterán gyalogos
trp_i3_pel_vet_infantry_pl|Pelargiri veterán gyalogság
trp_i6_pel_leader|Pelargiri kapitány
trp_i6_pel_leader_pl|Pelargiri kapitányok
trp_a6_pel_marine_leader|Pelargiri tengerész kapitány
trp_a6_pel_marine_leader_pl|Pelargiri tengerész kapitányok
trp_i1_lam_clansman|Lamedoni nemzetségtag
trp_i1_lam_clansman_pl|Lamedoni nemzetségtagok
trp_i2_lam_footman|Lamedoni gyalogos
trp_i2_lam_footman_pl|Lamedoni gyalogság
trp_i3_lam_veteran|Lamedoni veterán
trp_i3_lam_veteran_pl|Lamedoni veteránok
trp_i4_lam_warrior|Lamedoni harcos
trp_i4_lam_warrior_pl|Lamedoni harcosok
trp_i5_lam_champion|Lamedoni bajnok
trp_i5_lam_champion_pl|Lamedoni bajnokok
trp_c5_lam_knight|Lamedoni lovag
trp_c5_lam_knight_pl|Lamedoni lovagok
trp_c6_lam_leader|Lamedoni kapitány
trp_c6_lam_leader_pl|Lamedoni kapitányok
trp_i1_pinnath_plainsman|Pinnath Gelini síkföldi
trp_i1_pinnath_plainsman_pl|Pinnath Gelini síkföldiek
trp_c2_pinnath_rider|Pinnath Gelini lovas
trp_c2_pinnath_rider_pl|Pinnath Gelini lovasok
trp_c3_pinnath_knight|Pinnath Gelini lovag
trp_c3_pinnath_knight_pl|Pinnath Gelini lovagok
trp_a2_pinnath_bowman|Pinnath Gelini íjász
trp_a2_pinnath_bowman_pl|Pinnath Gelini íjászok
trp_a3_pinnath_archer|Pinnathi Gelin lövész
trp_a3_pinnath_archer_pl|Pinnathi Gelin lövészek
trp_c6_pinnath_leader|Pinnath Gelini kapitány
trp_c6_pinnath_leader_pl|Pinnath Gelini kapitányok
trp_a1_blackroot_hunter|Feketegyökér-völgyi vadász
trp_a1_blackroot_hunter_pl|Feketegyökér-völgyi Vadászok
trp_a2_blackroot_bowman|Feketegyökér-völgyi íjász
trp_a2_blackroot_bowman_pl|Feketegyökér-völgyi íjászok
trp_a3_blackroot_archer|Feketegyökér-völgyi lövész
trp_a3_blackroot_archer_pl|Feketegyökér-völgyi lövészek
trp_i2_blackroot_footman|Feketegyökér-völgyi gyalogos
trp_i2_blackroot_footman_pl|Feketegyökér-völgyi gyalogság
trp_i3_blackroot_spearman|Feketegyökér-völgyi lándzsás
trp_i3_blackroot_spearman_pl|Feketegyökér-völgyi lándzsások
trp_a5_blackroot_shadow_hunter|Morthhondi árnyvadász
trp_a5_blackroot_shadow_hunter_pl|Morthondi árnyvadászok
trp_i1_amroth_recruit|Dol Amrothi újonc
trp_i1_amroth_recruit_pl|Dol Amrothi újoncok
trp_c2_amroth_squire|Dol Amrothi fegyverhordozó
trp_c2_amroth_squire_pl|Dol Amrothi fegyverhordozók
trp_c3_amroth_vet_squire|Dol Amrothi veterán fegyverhordozó
trp_c3_amroth_vet_squire_pl|Dol Amrothi veterán fegyverhordozók
trp_c4_amroth_knight|Dol Amrothi lovag
trp_c4_amroth_knight_pl|Dol Amrothi lovagok
trp_c5_amroth_vet_knight|Dol Amrothi veterán lovag
trp_c5_amroth_vet_knight_pl|Dol Amrothi veterán lovagok
trp_c6_amroth_swan_knight|Dol Amrothi Hattyúlovag
trp_c6_amroth_swan_knight_pl|Dol Amrothi Hattyúlovagok
trp_c6_amroth_leader|Dol Amrothi kapitány
trp_c6_amroth_leader_pl|Dol Amrothi kapitányok
trp_a1_lorien_scout|Lothlórieni felderítő
trp_a1_lorien_scout_pl|Lothlórieni felderítők
trp_a2_lorien_warden|Lothlórieni őr
trp_a2_lorien_warden_pl|Lothlórieni őrség
trp_a3_lorien_vet_warden|Lothlórieni veterán őr
trp_a3_lorien_vet_warden_pl|Lothlórieni veterán őrség
trp_a4_lorien_gal_warden|Galadhoni Őr
trp_a4_lorien_gal_warden_pl|Galadhoni Őrök
trp_a5_lorien_gal_royal_warden|Galadhoni Királyi Őr
trp_a5_lorien_gal_royal_warden_pl|Galadhoni Királyi Őrség
trp_a6_lorien_grey_warden|Szürke Őr
trp_a6_lorien_grey_warden_pl|Szürke Őrök
trp_galadhrim_royal_marksman|Galadhoni királyi mesterlövész
trp_galadhrim_royal_marksman_pl|Galadhoni királyi mesterlövészek
trp_noldorin_mounted_archer|Ñoldor lovasíjász
trp_noldorin_mounted_archer_pl|Ñoldor lovasíjászok
trp_a2_lorien_archer|Lothlórieni íjász
trp_a2_lorien_archer_pl|Lothlórieni íjászok
trp_a3_lorien_vet_archer|Lothlórieni veterán íjász
trp_a3_lorien_vet_archer_pl|Lothlórieni veterán íjászok
trp_a4_lorien_gal_archer|Galadhoni Íjász
trp_a4_lorien_gal_archer_pl|Galadhoni Íjászok
trp_a5_lorien_gal_royal_archer|Galadhoni Királyi Mesterlövész
trp_a5_lorien_gal_royal_archer_pl|Galadhoni Királyi Mesterlövészek
trp_i3_lorien_inf|Lothlórieni gyalogság
trp_i3_lorien_inf_pl|Lothlórieni gyalogság
trp_i4_lorien_gal_inf|Galadhoni Gyalogság
trp_i4_lorien_gal_inf_pl|Galadhoni Gyalogság
trp_i5_lorien_gal_royal_inf|Galadhoni Királyi Strázsa
trp_i5_lorien_gal_royal_inf_pl|Galadhoni Királyi Strázsák
trp_lothlorien_standard_bearer|Lothlórieni zászlóvivő
trp_lothlorien_standard_bearer_pl|Lothlórieni zászlóvivők
trp_a1_greenwood_scout|Zölderdei felderítő
trp_a1_greenwood_scout_pl|Zölderdei felderítők
trp_a2_greenwood_veteran_scout|Zölderdei veterán felderítő
trp_a2_greenwood_veteran_scout_pl|Zölderdei veterán felderítők
trp_a3_greenwood_archer|Zölderdei lövész
trp_a3_greenwood_archer_pl|Zölderdei lövészek
trp_a4_greenwood_veteran_archer|Zölderdei veterán lövész
trp_a4_greenwood_veteran_archer_pl|Zölderdei veterán lövészek
trp_a5_greenwood_master_archer|Zölderdei Mesteríjász
trp_a5_greenwood_master_archer_pl|Zölderdei Mesteríjászok
trp_a6_greenwood_chosen_marksman|Thranduil Válogatott Mesterlövésze
trp_a6_greenwood_chosen_marksman_pl|Thranduil Válogatott Mesterlövészei
trp_a3_greenwood_sentinel|Zölderdei őrszem
trp_a3_greenwood_sentinel_pl|Zölderdei őrszemek
trp_a4_greenwood_vet_sentinel|Zölderdei veterán őrszem
trp_a4_greenwood_vet_sentinel_pl|Zölderdei veterán őrszemek
trp_a5_greenwood_vigilant|Zölderdő Őre
trp_a5_greenwood_vigilant_pl|Zölderdő Őrei
trp_i2_greenwood_infantry|Zölderdei gyalogos
trp_i2_greenwood_infantry_pl|Zölderdei gyalogság
trp_i3_greenwood_vet_infantry|Zölderdei veterán gyalogos
trp_i3_greenwood_vet_infantry_pl|Zölderdei veterán gyalogság
trp_i4_greenwood_elite_infantry|Zölderdei elit gyalogos
trp_i4_greenwood_elite_infantry_pl|Zölderdei elit gyalogság
trp_i5_greenwood_chosen_shieldmaster|Thranduil Válogatott Pajzsmestere
trp_i5_greenwood_chosen_shieldmaster_pl|Thranduil Válogatott Pajzsmesterei
trp_i5_greenwood_chosen_spearmaster|Thranduil Válogatott Lándzsamestere
trp_i5_greenwood_chosen_spearmaster_pl|Thranduil Válogatott Lándzsamesterei
trp_i5_greenwood_standard_bearer|Zölderdei zászlóvivő
trp_i5_greenwood_standard_bearer_pl|Zölderdei zászlóvivők
trp_a1_riv_scout|Völgyzugolyi felderítő
trp_a1_riv_scout_pl|Völgyzugolyi felderítők
trp_a2_riv_vet_scout|Völgyzugolyi veterán felderítő
trp_a2_riv_vet_scout_pl|Völgyzugolyi veterán felderítők
trp_a3_riv_archer|Völgyzugolyi Íjász
trp_a3_riv_archer_pl|Völgyzugolyi Íjászok
trp_a4_riv_vet_archer|Völgyzugolyi Veterán Íjász
trp_a4_riv_vet_archer_pl|Völgyzugolyi Veterán Íjászok
trp_a5_riv_master_archer|Völgyzugolyi Mester Íjász 
trp_a5_riv_master_archer_pl|Völgyzugolyi Mester Íjászok
trp_a6_riv_guardian|Völgyzugoly Őre
trp_a6_riv_guardian_pl|Völgyzugoly Őrei
trp_i3_riv_swordbearer|Völgyzugolyi Kardhordozó
trp_i3_riv_swordbearer_pl|Völgyzugolyi Kardhordozók
trp_i4_riv_vet_swordbearer|Völgyzugolyi Veterán Kardhordozó
trp_i4_riv_vet_swordbearer_pl|Völgyzugolyi Veterán Kardhordozók
trp_i5_riv_swordmaster|Völgyzugolyi Kardmester
trp_i5_riv_swordmaster_pl|Völgyzugolyi Kardmesterek
trp_i6_riv_champion|Völgyzugoly Bajnoka
trp_i6_riv_champion_pl|Völgyzugoly Bajnokai
trp_ac5_riv_rider|Völgyzugolyi Lovas
trp_ac5_riv_rider_pl|Völgyzugolyi Lovasok
trp_ac6_riv_knight|Völgyzugolyi Lovag
trp_ac6_riv_knight_pl|Völgyzugolyi Lovagok
trp_i6_rivendell_standard_bearer|Völgyzugolyi Zászlótartó
trp_i6_rivendell_standard_bearer_pl|Völgyzugolyi Zászlótartók
trp_a1_arnor_scout|Dúnadán felderítő
trp_a1_arnor_scout_pl|Dúnadán felderítők
trp_a2_arnor_vet_scout|Dúnadán nyomkövető
trp_a2_arnor_vet_scout_pl|Dúnadán nyomkövetők
trp_i3_arnor_swordsman|Dunadán Kardforgató
trp_i3_arnor_swordsman_pl|Dunadán Kardforgatók
trp_i4_arnor_vet_swordsman|Dunadán Veterán Kardforgató
trp_i4_arnor_vet_swordsman_pl|Dunadán Veterán Kardforgatók
trp_i5_arnor_champion|Arnor Bajnoka
trp_i5_arnor_champion_pl|Arnor Bajnokai
trp_c4_arnor_horseman|Dúnadán Lovas
trp_c4_arnor_horseman_pl|Dúnadán Lovasok
trp_c5_arnor_knight|Arnor Lovagja
trp_c5_arnor_knight_pl|Arnor Lovagjai
trp_a3_arnor_ranger|Dúnadán kósza
trp_a3_arnor_ranger_pl|Dúnadán kószák
trp_a4_arnor_vet_ranger|Dúnadán veterán kósza
trp_a4_arnor_vet_ranger_pl|Dúnadán veterán kószák
trp_a5_arnor_master_ranger|Arnor Mester Kószája
trp_a5_arnor_master_ranger_pl|Arnor Mester Kószái
trp_i1_rohan_youth|Rohani ifjonc
trp_i1_rohan_youth_pl|Rohani ifjoncok
trp_i2_guardsman_of_rohan|Rohani gárdista
trp_i2_guardsman_of_rohan_pl|Rohani gárdisták
trp_i3_footman_of_rohan|Rohani gyalogos
trp_i3_footman_of_rohan_pl|Rohani gyalogság
trp_i4_veteran_footman_of_rohan|Rohani veterán gyalogos
trp_i4_veteran_footman_of_rohan_pl|Rohani veterán gyalogság
trp_i5_elite_footman_of_rohan|Rohani elit gyalogos
trp_i5_elite_footman_of_rohan_pl|Rohani elit gyalogság
trp_i6_footman_guard_of_rohan|Rohan Folcwine őre
trp_i6_footman_guard_of_rohan_pl|Rohan Folcwine őrei
trp_i6_frealaf_raider|Fréaláf rablója
trp_i6_frealaf_raider_pl|Fréaláf rablói
trp_i5_raider_of_rohan|Rohani rabló
trp_i5_raider_of_rohan_pl|Rohani rablók
trp_i6_warden_of_methuseld|A Meduseld őre
trp_i6_warden_of_methuseld_pl|A Meduseld őrsége
trp_ac3_skirmisher_of_rohan|Rohani csatározó
trp_ac3_skirmisher_of_rohan_pl|Rohani csatározók
trp_ac4_veteran_skirmisher_of_rohan|Rohani veterán csatározó
trp_ac4_veteran_skirmisher_of_rohan_pl|Rohani veterán csatározók
trp_ac5_elite_skirmisher_of_rohan|Rohani elit csatározó
trp_ac5_elite_skirmisher_of_rohan_pl|Rohani elit csatározók
trp_ac6_skirmisher_guard_of_rohan|Rohani Thengel őre
trp_ac6_skirmisher_guard_of_rohan_pl|Rohani Thengel őrsége
trp_c4_lancer_of_rohan|Rohani kopjás
trp_c4_lancer_of_rohan_pl|Rohani kopjások
trp_c5_elite_lancer_of_rohan|Rohani elit kopjás
trp_c5_elite_lancer_of_rohan_pl|Rohani elit kopjások
trp_c6_lancer_guard_of_rohan|Rohani Brego őre
trp_c6_lancer_guard_of_rohan_pl|Rohani Brego őrsége
trp_c6_king_s_man_of_rohan|Király Őre
trp_c6_king_s_man_of_rohan_pl|Király Őrsége
trp_c2_squire_of_rohan|Rohani Fegyverhordozó
trp_c2_squire_of_rohan_pl|Rohani fegyverhordozók
trp_c3_rider_of_rohan|Rohani lovas
trp_c3_rider_of_rohan_pl|Rohani lovasság
trp_c4_veteran_rider_of_rohan|Rohani veterán lovas
trp_c4_veteran_rider_of_rohan_pl|Rohani veterán lovasság
trp_c5_elite_rider_of_rohan|Rohani elit lovas
trp_c5_elite_rider_of_rohan_pl|Rohani elit lovasság
trp_c6_rider_guard_of_rohan|Rohani Eorl őre
trp_c6_rider_guard_of_rohan_pl|Rohani Eorl őrsége
trp_i6_2h_guard_of_rohan|Rohani Helm őre
trp_i6_2h_guard_of_rohan_pl|Rohani Helm őrsége
trp_ac3_dism_skirmisher_of_rohan2|Rohani csatározó
trp_ac3_dism_skirmisher_of_rohan2_pl|Rohani csatározók
trp_ac4_dism_veteran_skirmisher_of_rohan2|Rohani talpas veterán csatározó
trp_ac4_dism_veteran_skirmisher_of_rohan2_pl|Rohani talpas veterán csatározók
trp_ac5_dism_elite_skirmisher_of_rohan2|Rohani talpas elit csatározó
trp_ac5_dism_elite_skirmisher_of_rohan2_pl|Rohani talpas elit csatározók
trp_i1_harad_levy|Haradi sorkatona
trp_i1_harad_levy_pl|Haradi sorkatonaság
trp_i3_harad_infantry|Haradi Könnyű Gyalogos
trp_i3_harad_infantry_pl|Haradi Könnyű Gyalogság
trp_i4_harad_spearman|Haradi lándzsás
trp_i4_harad_spearman_pl|Haradi lándzsások
trp_i5_harad_tiger_guard|Tigris Őr
trp_i5_harad_tiger_guard_pl|Tigris Őrség
trp_i4_harad_swordsman|Haradi kardforgató
trp_i4_harad_swordsman_pl|Haradi kardforgatók
trp_i5_harad_lion_guard|Oroszlán őr
trp_i5_harad_lion_guard_pl|Oroszlán őrség
trp_a3_harad_hunter|Haradi vadász
trp_a3_harad_hunter_pl|Haradi vadászok
trp_a4_harad_archer|Haradi íjász
trp_a4_harad_archer_pl|Haradi íjászok
trp_a5_harad_eagle_guard|Sas őr
trp_a5_harad_eagle_guard_pl|Sas őrség
