menu_start_game_1|^^^^^^^^^Minkä puolesta taistelet?
mno_tutorial_2|Alkukurssi #2: Taistelu kilven kanssa. {s2}
mno_tutorial_3|Alkukurssi 3#: Taistelu ilman kilpeä. {s3}
mno_tutorial_3b_door|seuraava taso
mno_tutorial_4|Alkukurssi #4: Hevosella tai sudella ratsastaminen. {s4}
mno_tutorial_5|Alkukurssi #5: Sotilasjoukon komentaminen. {s5}
mno_go_back_dot|Mene takaisin.
mno_action_view_troop_trees|Katso joukkopuut
mno_view_upkeep_costs|Katso ylläpitokustannukset.
mno_view_character_report|Katso henkilöraportti.
mno_view_party_size_report|Katso seurueen kokonaismääräraportti.
mno_view_morale_report|Katso seurueen moraaliraportti.
mno_view_character_report_02|Ei-pelattavien henkilöiden tilanne selvitys.
mno_view_faction_strengths_report|Katso ryhmittymien voimakkuusraportti.
mno_view_traits_report|Katso luonteenpiirteet.
mno_resume_travelling|Jatka matkustamista.
mno_custom_battle_go|Aloita.
mno_leave_custom_battle_2|Peruuta.
menu_custom_battle_end|^^^^^^ Taistelu on ohi. {s1} Sinun puolesi tappoi {reg5} vihollista ja menetti {reg6} sotilasta taistelun aikana.^Itse löit {reg7} vastapuoluelaista taistelussa.
mno_replay|Pelaa tämä taistelu uudelleen.
mno_continue_dot|Jatka.
menu_custom_battle_durin_end|^^^^^^Se oli ihailtava viimeinen koetus, mutta lopuksi tuomittu.^^ Sinä ja heimolaiset tapoitte {reg5}  vihollista.^Sinä löit omin käsin {reg7} vihollista taistellessa.
mno_replay_cbd|Pelaa tämä taistelu uudelleen.
mno_continue_dot_cbd|Jatka.
mno_dot_go_back|Mene takaisin
menu_start_good|^^^^^^^^^^Valitse Rotusi:
mno_start_ma|IHMINEN
mno_start_el|HALTIA
mno_start_dw|KÄÄPIÖ
menu_start_evil|^^^^^^^^^^Ketä luulet Palvelevasi?
mno_start_eye|Mordorin SAURON, Sormusten herra
mno_start_hand|Rautapihan SARUMAN, Valkoinen Käsi
menu_start_eye|^^^^^^^^^Sinun mestarisi on luometon silmä^Valitse Rotusi
mno_start_or|ÖRKKI, joka palvelee luometonta silmää
mno_start_ur|URUK, uusi siitos örkeistä
mno_start_em|Sauronin alistama IHMINEN
menu_start_hand|^^^^^^^^^Sinun mestarisi on Valkokäsi^Valitse Rotusi
mno_start_whor|ÖRKKI, joka palvelee Valkoista Kättä
mno_start_isur|yksi URUK-HAI:sta, siitetty Rautapihalla
mno_start_duma|Dunlandin IHMINEN, läntisiltä tasangoilta
menu_start_good_man|^^^^^^^^^Valitse väkesi:
mno_start_go|GONDOR, Valkoisen tornin valtakunta
mno_start_ro|ROHAN, Hevosihmiset
mno_start_du|DUNDEAIN, Muinaisten ihmisten dynastia
mno_start_be|BEORNINGS, Karhu ihmiset
; mno_start_wo|WOODMEN, from the eaves of Mirkwood
mno_start_da|DALEN pohjoinen valtakunta
menu_start_good_elf|^^^^^^^^^Missä metsässä asut, kylänvanhin?
mno_start_ri|Lordi Elrondin RIVENDELL
mno_start_lo|Leidi Galadrielin LOTHORIEN
mno_start_mi|MIRKWOOD, Silvan Haltioiden maa
menu_start_good_dwarf|^^^^^^^^^Valitse sukulinjasi:
mno_start_er|EREBORIN asukas
mno_start_ih|RAUTAKUKKULOIDEN kaivosmies
menu_start_gondor|^^^^^^^^^Mistä tulet, Gondorissa?
mno_start_mt|MINAS TIRITH, Pääkaupunki
mno_start_ls|LOSSARNACH, Kirvesmiesten linnanlääni
mno_start_la|LAMEDON, Vuoriston klaanimiesten linnanlääni
mno_start_pg|PINNATH GELIN, vihreiden kukkuloiden linnanlääni
mno_start_do|DOL AMROTH, Joutsen Ritareiden linnanlääni
mno_start_pe|PELARGIR, rannikko linnanlääni
mno_start_bl|BLACKROOT VALE, jousimiesten linnanlääni
menu_start_eye_man|^^^^^^^^^Valitse väkesi:
mno_start_hr|HARADRIM, aavikon ihmiset etelästä
mno_start_bn|Mustat NUMERONILAISET, lännen kapinalliset
mno_start_um|UMBAR, Etelän merien piraatit
mno_start_rh|RHUN, idän barbaarit
mno_start_kh|KHAND, Kaakon villi-ihmiset
menu_start_eye_uruk|^^^^^^^^^Missä sinä väijyt?
mno_start_arm_uruk|Armeijoiden kasaumassa Mordorissa
mno_start_cav_uruk|DOL GULDURIN luolastoissa
menu_start_eye_orc|^^^^^^^^^Missä sinä piilottelet?
mno_start_arm|Armeijoiden kasaumassa Mordorissa
mno_start_cav|DOL GULDURIN luolastoissa
menu_start_hand_orc|^^^^^^^^^Missä sinä väijyt?
mno_start_armis|Armeijoiden kasaumassa Isengardissa
mno_start_minmo|MORIAN kaivoksissa
mno_start_cliff|Gundabadin vuoren kalliojyrkänteellä
menu_start_gondor_mt|^^^^^^^^^^Valitse sukulinjasi
mno_start_1_com|Aateliton
mno_start_2_hib|Jalosukuinen
; menu_start_haradrim|^^^^^^^You are one of the Haradrim,^a Man of the Desert.^Select your line
mno_start_1_des|Aavikko mies
mno_start_2_far|Kaukaisen Haradin heimolainen
menu_start_numenorean|^^^^^^^Olet musta númenorilainen,^uskollinen pimeydelle ja Morgothille.^Valitse missä palvelet silmää
mno_start_1_bn|Sauronin suun vieressä, MORANNONISSA
mno_start_2_bn|Nekromantikon linnoituksessa, DOL GULDURISSA
menu_choose_gender|^^^^^^^^^^Sukupuolesi?
mno_start_male|Mies
mno_start_female|Nainen
mno_proc|Jatka eteenpäin normaalisti
menu_start_as_one|^^^^^^^^^^Minkä tyyppinen sotilas olet?
mno_start_default|Tule {s23} (Default)
mno_start_up1|Tule {s21} (Easy)
mno_start_up2|Tule {s22} (Easy)
mno_continue|Jatka...
menu_character_report|^^^^^Seurueen moraali: {reg8}^Seurueen kokonaismäärärajoitus: {reg7}^{s5}
menu_camp|^^^^Olet {s1}.{s2}^^Mitä haluat tehdä?
mno_camp_scene|Kävele ympäriinsä.
mno_camp_troop|Esikatselu{reg10? joukot:}{reg12? ja:}{reg11? vangit:}.
mno_camp_action|Käytä objektia.
mno_camp_wait_here|Leiriydy tähän vähäksi aikaa.
mno_camp_options|Vaihda TLD asetuksia.
mno_Dev_Menu|Kehittäjän valikko
menu_dev_menu|Nämä ovat kehitysvalinnat, jotka antavat sinulle monia huijauksia/työkaluja pelausta varten.^^  Tämä kuitenkin tulee aiheuttaa joitakin WIP tapahtumia, laukaisimia ja kampanjamuutoksia, jotka voi olla pelinrikkovia.^^ Käytä omalla vastuulla! ^^ Kun raportoit bugeista, kerro että käytät kehittäjän valikkoa.
mno_Cheat_enable|Aktivoi huijaus/modaamisen vaihtoehdot.
menu_game_options|^^^^^^^^Paina vaihtoehtoa vaihtaaksesi:
mno_game_options_war_level_start|Sota alkaa tasolla: {s1}
mno_game_options_restrict_items|Rajoitetut pelaajan varusteet: {s7}
mno_game_options_formations|Taistelut muodostelmat ja tekoäly: {s7}
mno_game_options_siege_ai|Kehittynyt piiritys-AI: {s7}
mno_game_options_town_menu|Kylän ei-pelattavat henkilöt aina saavutettavana valikosta: {s7}
mno_game_options_cutscenes|Välianimaatiot: {s7}
mno_game_options_injuries|Vammat seuralaisille: {s7}.
mno_game_options_death|Pysyvä kuolema aatelisille ja seuralaisille: {s7}.
mno_game_options_death2|Pysyvä kuolema pelaajalle(eli SINULLE!): {s7}.
mno_game_options_morale|Taistelumoraalijärjestelmä: {s7}
mno_game_options_animal_ambushes|Eläin väijytykset: {s7}
mno_game_options_horse_ko|Pudonneen ratsastajan vahinkoviestit: {s7}
mno_game_options_bright_nights|Kirkkaammat yöt: {s7}.
mno_game_options_camera_pref|Ensisijainen kameratila: {s7}.
mno_game_options_tweaks|Pelattavuusasetukset...
mno_game_options_back|Takaisin leiri valikkoon.
mno_game_options_start_back|Takaisin...
menu_camp_tweaks|^^^^^^^^Valitse vaihtoehto, jota haluaisit säätää.
mno_tweak_options_compat|Yhteensopivuusasetukset...
mno_tweak_options_strat|Strategia-asetukset...
mno_tweak_options_battlefield_ai|Taistelukentän AI muutokset...
mno_tweak_options_back|Takaisin asetus valikkoon.
menu_camp_compat_tweaks|^^^^^^^^Paina hiirellä vaihtoehtoa vaihtaaksesi (Pidä shift-näppäintä pohjassa pienentääksi):^(nämä ovat yhteensopivuutta varten eivätkä ole huijauksia)
mno_game_options_compat_party|Maksimimäärä seurueita: {s1}
mno_game_options_compat_back|Takaisin asetusvalikkoon.
menu_camp_strat_tweaks|^^^^^^^^Paina hiirellä vaihtoehtoa vaihtaaksesi:^(varoitus: nämä ovat huijauksia!)
mno_strat_tweaks_siege_reqs|Piiritysvahvuusvaatimuksia:  {s7}
mno_strat_tweaks_siege_relax_rate|Piiritysvahvuusvaatimuksien rentoutumismäärä: {reg1}
mno_strat_tweaks_regen_rate|Vahvuuden uudelleenpalautumisnopeus: {s7}
mno_strat_tweaks_siege_regen_limit|Ryhmän voima palautuu hitaammin: {reg1}
mno_strat_tweaks_influence_gain_rate|Vaikutusvallan ansaitsemistahti: {s7}
mno_strat_tweaks_rank_gain_rate|Arvon ansaitsemistahti: {s7}
mno_strat_tweaks_back|Takaisin asetusvalikkoon.
menu_camp_action|^^^^^^^^^ Mikä kohde?
mno_camp_drink_water|Juo Entin vettä!
; mno_camp_drink_orc_brew|Pass around the Orc Brew!
; mno_camp_drink_miruvor|Pass around the Miruvor!
; mno_camp_use_athelas|Use Athelas for wound treatment.
; mno_camp_use_drums|Beat the Drums of the Deep.
mno_camp_action_4|Takaisin...
menu_assasins_attack_player_won|Olet onnistuneesti peitonnut salamurhaajat {s2}sta, lähetettynä {s3} puolesta.
menu_assasins_attack_player_retreat|Pakenit elävänä!
menu_fangorn_danger|^^^^^^Outoja, uhkaavia ääniä kaikkialla ympärilläsi.^Puhuvatko puut? Ilmassa on havaittavissa syvä viha ja kipu.^Käskysi?
mno_be_quiet_elf|Kunnioittakaa puitten vihamielisyyttä. Liikkukaamme hiljaa.
mno_be_quiet|Laskekaa aseenne ja pysykää hiljaa! Nyt ulos täältä!
mno_be_bold|Jatketaan! Minähän en mitään kasveja tai vanhoja myyttejä pelkää!
; mno_fight_back|Let's find out! Search the area! Burn down a tree or two! (Camp)
menu_fangorn_search_fails|Etsit pimeää, paksua metsää, mutta et löydä mitään.^Silti, tunnet itsesi havainnoiduksi ja uhatulta yhä enemmän ja enemmän.
menu_fangorn_killed_player_only|^^^^^^Vaeltelet paksussa, mustassa metsässä.^Yhtäkkiä sinuun on osunut jokin! Ehkä painava oksa putosi päähäsi?^Ôlet tajuton ainoastaan muutaman minuutin. Olet pahasti vahingoittunut, mutta voit mennä eteenpäin.
mno_ow_get_out|Aihh! Lähdetään tästä kirotusta paikasta!
menu_fangorn_killed_troop_and_player|^^^^^^Vaeltelet paksussa, mustassa metsässä.^Yhtäkkiä sinuun on osunut jokin! Ehkä painava oksa putosi päähäsi?^^Kun palaudut iskusta minuutteja myöhemmin, löydät, ettei kaikki joukoistasi olleet yhtä onnekkaita
menu_fangorn_killed_troop_only|^^^^^^^^Vaeltelet paksussa, mustassa metsässä. Joukkosi ovat peloissaan.^^Yhtäkkiä kuulet huutoja takaa! Kiiruhdat takaisin vain löytääksesi muutaman sotilaasi maasta, veren tahrimasta lammikosta.^^Muutama muu ovat ei missään löydettäviksi...
mno_get_out|Lähdetään tästä kirotusta paikasta!
menu_can_capture_troll|Kaatunut villipeikko hengittää vielä!^^Sen pahat silmät tuijottavat sinua, täynnä kipua ja vihaa.^Jopa nyt, kun se on maassa ja makaa avuttomana verilätäkössään, se näyttää todella vaaralliselta...
mno_killit|Tapa se nyt. Tee varmaksi, että se kuolee.
mno_cageit1|Laita häkkiin ja raahaa ympäriinsä.
mno_cageit2|Pistä yhdessä häkkiin toisen peikon kanssa.
mno_cheat_disabable|Kytke pois huijauksen/modaamisen asetukset.
menu_drank_ent_water_human|^^^Juot vettä. Se maistuu puhtaalta ja virkistävältä. Siinä on mieluisa tuoksu.^Tunnet itsesi virkistyneeltä.^^Kuitenkin sinulla on myös outo epäluonnollinen tunne, kuin sinun ei kannattaisi juoda tätä vettä enään ikinä.
menu_drank_ent_water_orc|^^^Juot vettä. Se on vain vettä.^ Yhtäkkiä pitelet kädellä kurkustasi kivun takia.^Sinut on myrkytetty!^Tuntuu kuin kuristuisit! Oksennat mustaa verta ja menetät tajuntasi piakkoin.^^ Sinuun sattuu, tosi paljon. 
mno_i_shall_surv|Minä... pitää... selviytyä!
menu_end_game|^^^^^Olet tehnyt päätöksen ja jätät seikkailijan elämän taaksesi ja asetut aloillesi. Myyt aseesi ja panssarisi, keräät tavarasi ja ratsastat aamunkoittoa vasten...
mno_end_game_bye|Näkemiin.
menu_cattle_herd|Kohtaat joitakin ihmisiä.
mno_cattle_drive_away|Käske heidän seurata.
mno_cattle_stop|Pysäytä heidät siihen paikkaan.
mno_leave|Poistu.
menu_simple_encounter|^^^^^{s2}^Sinulla on {reg22} joukkoa valmiina taistelemaan heidän {reg11} vastaan.^^Taistelu käydään {s3}{s4}.^^Käskysi?
mno_encounter_attack|{reg21?Hyökätkää heidän kimppuun:Valmistautukaa kohtaamaan heidät}.
mno_encounter_order_attack|Käske miestesi liittyä taisteluun {reg21?attack:face} ilman sinua.
; mno_control_allies_menu|Use influence to command your allies in the field.
mno_encounter_hide|Piiloudu viholliselta...
mno_special_whip|Kiiruhda eteenpäin heitä kohti murtaen {s4}.
; mno_encounter_attack_bearform|{reg21?Leap into battle in bear form:Turn skin and face them}.
mno_encounter_leave|Irroittaudu taistelusta.
mno_encounter_retreat|Peräänny, jättäen joitakin sotilaita perääsi suojaten vetääntymisesi.
mno_player_control_allies_simple|Komenna heitä ja hyökkää vihollisten kimppuun
mno_player_control_allies_back|Mene takaisin...
mno_hide_close|Jatka...
menu_encounter_retreat_confirm|^^^^^Seurueen parhaimpana jäsenenä taktisessa taidossa, ({reg2}), {reg3?you devise:{s3} devises} suunnitelma, joka aikoo antaa sinun ja miestesi paeta elävänä, mutta sinun pitää jättää {reg4} sotilaita perään pysäyttääkseen vihollisen ajojahdin.
mno_leave_behind|Jatka. Näiden miesten uhraaminen pelastaa loput.
mno_dont_leave_behind|Ei. Emme jätä ketään taakse.
menu_encounter_retreat|^^^^^Kerrot {reg4} joukoistasi pitämään vihollista kun sinä pakenet lopun seurueen kanssa.
menu_order_attack_begin|^^^^^^ Joukkosi ovat valmiina hyökkäämään vihollisen kimppuun.
mno_order_attack_begin|Käske aloittaa taistelu.
mno_call_back|Kutsu heidät takaisin.
menu_order_attack_2|^{s4}^Tappiosi: {s8}^^Vihollisen tappiot: {s9}
mno_order_attack_continue|Käske sotilaittesi jatkaa hyökkäystä.
mno_order_retreat|Kutsu sotilaasi takaisin.
menu_kingdom_army_quest_report_to_army|{s8}  lähettää kirjeen, että hän toivoo sinun liittyvän hänen uuteen sotilaalliseen kampanjaan. Sinun tarvitsee tuoda ainakin {reg13} sotilasta armeijaan ja sinua on ohjeistettu nostamaan enemmän sotilaita, jos sinulla ei ole niitä tarpeeksi.
mno_reject|Lähetä viesti olet liian kiireinen.
mno_send_word|Lähetä viesti, että aiot liittyä hänen joukkoihin piakkoin.
menu_kingdom_army_quest_messenger|{s8} lähettää sanan, että hän haluaa puhua kanssasi tehtävästä, jonka hänen pitäisi suorittaa. Hän pyyrää, että tulet ja näet hänet mahdollisimman pian.
; menu_kingdom_army_quest_join_siege_order|{s8} sends word that you are to join the siege of {s9} in preparation for a full assault.    Your troops are to take {s9} at all costs.
; menu_kingdom_army_follow_failed|You have disobeyed orders and failed to follow {s8}. He sends a message he assumes you have more pressing matters, but warns his patience is not unlimited.
menu_battle_debrief|{s11}^Sinun tappiot:{s8}{s10}^^Vihollisen tappiot:{s9}
mno_inspect_troll|Tarkastele kaatunutta peikkoa
menu_pre_join|^^^^^Kohtaat taistelun {s2} ja {s1} välillä. Päätät...
mno_pre_join_help_attackers|Liiku auttaaksesi {s2}.
mno_pre_join_help_defenders|Kiiruhda auttaaksesi {s1}.
mno_pre_join_help_refugees|Kiiruhda auttaaksesi {s1}.
mno_pre_join_leave|Älä osallistu tähän.
; menu_join_battle|^^^You are helping {s2} against {s1}.^ You have {reg22} troops fit for battle against the enemy's {reg11}.^^The battle is taking place in {s3}{s4}.
mno_join_attack|Hyökkää vihollisten kimppuun.
mno_join_order_attack|Käske sotilaittesi hyökätä liittolaistesi kanssa, samalla kun pysyttelet itse takana.
; mno_control_allies_join_menu|Use influence to command your allies in the field.
; mno_join_attack_bearform|Leap into battle in bear form
mno_join_leave|Irroittaudu taistelusta.
mno_player_control_allies_join_menu|Komenna heitä ja hyökkää vihollisten kimppuun
menu_join_order_attack|{s4}^^Sinun tappiot: {s8}^^Liittolaisiesi tappiot: {s9}^^Vihollisen tappiot: {s10}
mno_enter|Astu sisään.
menu_battlefields|^^^^^^^^^Valitse kenttä...
mno_enter_f1|Kenttä 1
mno_enter_f2|Kenttä 2
mno_enter_f3|Kenttä 3
mno_enter_f4|Kenttä 4
mno_enter_f5|Kenttä 5
menu_join_siege_outside|^^^^^^{s1} on piiritettynä {s2} toimesta.
mno_approach_besiegers|Lähesty piiritettävää leiriä.
mno_pass_through_siege|Ohita piiritys linjat ja astu sisään {s1}
menu_cut_siege_without_fight|Piirittäjät antavat sinun lähestyä portteja ilman haastetta.
; menu_besiegers_camp_with_allies|{s1} remains under siege. The banners of {s2} fly above the camp of the besiegers,    where you and your troops are welcomed.
mno_talk_to_siege_commander|Pyydä tapaamista komentajan kanssa.
mno_join_siege_with_allies|Liity seuraavaan hyökkäykseen.
mno_join_siege_stay_back|Käske sotilaittesi osallistua seuraavaan hyökkäykseen ilman sinua.
; menu_moria_must_escape|^^The book seems to give the account of the last attempt of dwarves to resettle in Moria. Attempt which apparently ended with gruesome death for all involved. Perusing the book,  you stumble on the words 'true silver'! Studying the pages you suddenly understand  that those are the descriptions of dwarven stashes somewhere on the lower levels. Hah!  Would not it be cool to uncover the long lost dwarven mithril!?  ^You eagerly follow the directions, into a narrow winding tunnel and down...  ^...^After a couple of hours of fruitless search you understand that you are lost deep in Moria and need to find a way out.
mno_moria_exit_scene|Etsi tiesi ulos!
menu_castle_outside|Olet ulkona {s2}.{s11} {s3} {s4}
mno_moria_enter|Palaa Morian pääsaliin salaisen käytävän kautta.
mno_moria_enter_door|Astu moriaan.
; mno_cheat_steal_book_door|Get the book
mno_castle_start_siege|Piiritä {reg6?town:castle}.
mno_castle_leave|Poistu.
menu_castle_besiege|Olet piirittämässä {s1}. {s2} {s3}
mno_siege_request_meeting|Pyydä tapaamista linnankomentajan kanssa.
mno_wait_24_hours|Odota huomiseen.
mno_castle_lead_attack|Johda sotilaasi hyökkäykseen.
mno_attack_stay_back|Käske sotilaittesi hyökätä samaan aikaan, kun itse pysyttelet takana.
mno_build_ladders|Valmista tikapuut hyökkääkseen muurille.
mno_lift_siege|Hylkää piiritys.
menu_siege_attack_meets_sally|^^^^^^Puolustajat rynnäköivät ulos kohtaamaan rynnäkkösi.
; menu_construct_ladders|As the party member with the highest Engineer skill ({reg2}), {reg3?you estimate:{s3} estimates} that it will take {reg4} hours to build enough scaling ladders for the assault.
mno_build_ladders_cont|Tee se.
menu_castle_attack_walls_simulate|{s4}^^Sinun tappiot:{s8}^^Vihollisen tappiot olivat: {s9}
menu_castle_attack_walls_with_allies_simulate|{s4}^^Sinun tappiot: {s8}^^Liittolaisiesi tappiot: {s9}^^Vihollisten tappiot: {s10}
menu_castle_taken_by_friends|Ei mitään nähtävää.
; menu_castle_taken|{s3} has fallen to your troops, and you now have full control of the {reg2?town:castle}.  {reg1? It would seem that there is nothing stopping you from taking it for yourself...:}
; menu_castle_taken_2|{s3} has fallen to your troops, and you now have full control of the castle. It is time to send word to {s9} about your victory. {s5}
mno_castle_taken_no_claim|Älä pyydä palkintoa.
; menu_siege_started_defender|{s1} is launching an assault against the walls of {s2}. You have {reg22} troops fit for battle against the enemy's {reg11}. You decide to...
mno_siege_defender_join_battle|Liity taisteluun.
mno_siege_defender_troops_join_battle|Käske miestesi liittyä taisteluun ilman sinua.
mno_siege_defender_do_not_join_battle|Älä osallistu tähän.
menu_siege_join_defense|{s4}^^Sinun tappiot: {s8}^^Liittolaisiesi tappiot: {s9}^^Vihollisen tappiot: {s10}
; menu_village_hunt_down_fugitive_defeated|^^^^^A heavy blow from the fugitive sends you to the ground, and your vision spins and goes dark. Time passes. When you open your eyes again you find yourself battered and bloody, but luckily none of the wounds appear to be lethal.
; menu_town_bandits_succeeded|^^^^^The goblins fall before you as wheat to a scythe! Soon you stand alone while most of your attackers lie unconscious, dead or dying. Surely the locals would be very grateful that you saved them from this menace.
; menu_town_brawl_lost|^^^^^^You have been knocked out cold. The people you attacked quickly search you for valuables, before carrying on with their daily business.
; menu_town_brawl_won|^^^^^You have beaten all the opponents and the guards sent to quell the disturbance. You quickly frisk them for valuables then vanish until tempers quieten down.^Maybe next time they would show more respect and back off.
menu_close|Ei mitään.
menu_town|Saavuit {s60}.{s12}{s13}een
mno_town_menu_0|Mene jonnekkin.
; mno_town_menu_0_door|Inspect...
mno_town_approach|Lähesty {s1}...
mno_town_castle|Mene {s1}.
mno_town_castle_door|Ovi linnaan.
mno_town_center|Kävele pääaukiolle...
mno_town_center_door|Ovi kaupungin keskustaan.
mno_aw_chamber_door|Avaa ovi.
mno_trade_with_arms_merchant|Vieraile {s40}.
mno_trade_with_horse_merchant|Vieraile {s41}.
; mno_town_prison_door|To the Training Grounds
; mno_talk_to_healer|Speak with {s40}.
mno_talk_to_castle_commander|Vieraile {s61} baraakeilla.
mno_speak_with_elder|Puhu  {s6}n kanssa.
; mno_town_ask|Ask around for persons of import...
mno_isengard_underground|Mene maanalaisiin luolastoihin.
; mno_isengard_underground_door|Go to the underground caverns
mno_tirith_toplevel|Kiipeä ylimmälle tasolle.
; mno_tirith_toplevel_door|Go to the Citadel
mno_erebor_gates|Vieraile Isoilla porteilla
; mno_erebor_gates_door|Go to the Great Gates
; mno_glittering_caves|Go to the Glittering Caves.
; mno_glittering_caves_door|Go to the Glittering Caves
mno_town_leave|Poistu...
mno_town_leave_door|Poistu alueelta
mno_town_find_NPCs_cont|Tee se.
; menu_town_find_NPCs_end|Talking to the people of {s2}, {reg3?you have found:{s3} has found} out the locations of the local stables and warehouse, the smithy, {s4} ^^{s6}
menu_player_initiated_siege_result|Hyökkäsit tätä keskusta vastaan palvellessasi {s2} lippua.
menu_disembark|Haluatko nousta maihin?
mno_disembark_yes|Kyllä.
mno_disembark_no|Ei.
menu_ship_reembark|Haluatko nousta maihin?
mno_reembark_yes|Kyllä.
mno_reembark_no|Ei.
menu_center_reports|Kaupungin nimi: {s1}^Vuokratulot: {reg1} denaaria^Tullitulot: {reg2} denaaria^Ruokavarastot: {reg3} päiväksi
menu_sneak_into_town_suceeded|Naamioidut köyhän pyhiinvaeltajan vaatteisiin, huijaat vartioita ja tepastelet tiesi kaupunkiin.
menu_sneak_into_town_caught|Kun yrität hiipiä sisään, yksi vartijoista huomaa sinut ja tekee hälytyksen! Sinun täytyy palata takaisin porttien läpi ennen kuin kaikki vartijat kaupungissa tulevat perääsi!
mno_sneak_caught_fight|Yritä taistella tiesi ulos!
mno_sneak_caught_surrender|Luovuta.
; menu_sneak_into_town_caught_dispersed_guards|You drive off the guards and cover your trail before running off, easily losing your pursuers in the maze of streets.
; menu_sneak_into_town_caught_ran_away|You make your way back through the gates and quickly retreat to the safety out of town.
; menu_tld_player_defeated|^^^^^Suddenly a shattering pain explodes in the back of your head! \\ You shiver, as all the world goes black around you...^Is this your end?
menu_recover_after_death_fangorn|Heräät ylös. Metsä ympäröi sinua yhä. Jokaista luuta kolotaa. Ihmeen kaupalla olet hengissä.^^Hävisit taistelun, mutta ainakin sait nähdä, mitä tapahtui. ^Nyt tiedät mitä tapahtuu tässä kirotussa metsässä,^ja selvisit kertomaan. ^^Tuleekohan kukaan koskaan uskomaan sinua?
; menu_recover_after_death_moria|^^^^^You regain your conciousness. You are lying on soft soil, fresh air breezing on your face. You are outside!^The orcs must have taken you for dead and thrown you in some murky pit.^You must have been carried to the surface by an underground stream.
mno_whatever|Nouse ylös!
; menu_recover_after_death_default|^^^^^You regain your conciousness. You lie on the spot you fell.  The enemies must have taken you up for dead and left you there.  However, it seems that none of your wounds were lethal,  and although you feel awful, you find out you can still walk.  You get up and try to look for any other survivors from your party.
; menu_recover_after_death_town|^^^^You regain your conciousness and find yourself at the town outskirts.   You are alive!  Nobody is around and you take your chance to drag yourself outside the town.  It seems that none of your wounds were lethal,  and although you feel awful, you can still walk.
; menu_recover_after_death_town_alone|You regain your conciousness and find yourself at the town outskirts.   You are alive!  Nobody is around and you take your chance to drag yourself outside the town. Your companions found you. It seems that none of your wounds were lethal,  and although you feel awful, you can still walk.
menu_notification_center_under_siege|{s1} on piirittänyt {s2} palvellen {s3}!
menu_notification_one_side_left|^^^^^Sormuksen sota on ohi!^^{s1} ovat kukistaneet kaikki heidän vihollisensa ja ovat voittoisia!
; menu_notification_total_defeat|^^^^^The War of the Ring is over for you!^^The {s1} have been defeated by their enemies and you stand alone in defeat!
; menu_notification_your_faction_collapsed|^^^^^Your {s11} homeland was defeated!^Still, other allies remain in the War. You, together with anyone left from {s11}, can still help your side win.
; menu_notification_faction_defeated|^^^^^{s1} Defeated!^{s1} is no more, defeated by the forces of {s13}!
; menu_ruins|^^^^You approach the {s1}. A once strong encampment was razed to the ground, though you can still see traces of fortifications and scattered rusty weapons.
; menu_legendary_place|^^^^You have followed the rumors and found {s1}. You can now explore this place and see for yourself if the rumors are true.
mno_explore|Tutki tämä paikka.
; menu_ring_hunter_lair|^^^^You have followed the trail of the Ring Hunters through Mirkwood Forest and have arrived at the {s1}. You see them getting ready to leave with a chest.
mno_attack_lair|Hyökkää nyt
