
str_yes|Да.
str_tutorial_5_msg_1|Добро пожаловать в пятое и последнее обучение, которое даст тебе базовое понимание принципов командования войсками, важного аспекта Mount&Blade.^^Первое, о чём ты должен узнать, это меню передвижения, которое вызывается нажатием на F1. Открой его и посмотри, какие приказы ты сможешь отдавать своим воинам.^^Первым делом, прикажи своему отряду следовать за тобой и веди их к флагу на холме.
str_tutorial_5_msg_2|Замечательно. Теперь ты со своим отрядом забрался на холм, отсюда удобно наблюдать, как терпят поражение и разбегаются твои союзники.^^Наверное, все устали пока взбирались на холм, поэтому нажми  F1 снова, и отдай приказ стоять на месте (F1).^^Ты, наверное, заметишь, что твои воины больше не ходят за тобой, а... стоят на месте.^^Воспользуемся этой передышкой чтобы изучить меню построений (F2).^^С помощью этого меню можно отдать приказ сомкнуть ряды, чтобы отразить нападение пехоты или кавалерии, или же рассыпаться, чтобы нести меньше потерь от обстрела.^^Команды на 10 шагов вперёд или назад позволяют подвинуть воинов, сохраняя их построение.^^Когда закончите исследовать команды, бросайте своих воинов на холме и бегите на другой холм, там где теперь стоит флаг.
str_tutorial_5_msg_3|Как видишь, пехота стоит там где её оставили. Теперь, иди к мельнице, пехота пусть стоит себе дальше.
str_tutorial_5_msg_4|Держи нескольких лучников в усиление. В Mount & Blade, ты отдаёшь отдельные команды подразделениям в своём отряде, таким как пехота, лучники, и кавалерия.^^Подразделение можно выбрать цифрами (1 для пехоты, 2 для лучников, 3 для кавалерии). После этого можно отдать приказ выбранному подразделению.^^Имей в виду что выбранное подразделение останется, и следующий приказ через (F1, F2, F3) будет применён к тому же самому подразделению. Читай сообщения, чтобы понять, какому подразделению был отдан приказ.^^Теперь прикажи сначала пехоте, а затем и лучникам следовать за тобой. Когда они соберутся вместе, возвращайся на холм с которого ты спускался до этого.^^С того холма, найди флаг, и прикажи пехоте встать там, нажав 1, а потом удерживая F1 чтобы показался флаг, где встанут воины. Так можно расставить отряды не сходя с места.^^Поставь лучников за флаг, на возвышении.
str_tutorial_5_msg_5|Пришло время проверить, чему ты научился, так как враги успели собраться и нападают на тебя! Ты можешь двигать пехоту чтобы мешать врагу добраться до лучников, или отправить их в атаку через F1-F3. Это сломает их построение, и они побегут к ближайшим врагам.^^Также можешь передвинуть лучников в более удачное место, откуда им будет удобнее целиться.^^Или можешь нажать F3 и посмотреть, какие ещё приказы есть в наличии. Запрет на стрельбу имеет смысл, когда нужно сберечь стрелы и дротики для более удачного момента или когда важнее закрываться щитом, чем стрелять, дробящее оружие же будет глушить врагов, что позволит взять больше пленных.
str_tutorial_5_msg_6|Отлично, ты выиграл своё первое полевое сражение в Mount & Blade. Разумное управление твоими отрядами в бою - ключ к твоему успеху как полководца. Совершенствуй свои навыки командования, узнай как выгодно использовать местность разными отрядами^^В моде The Last Days of the Third Age, есть более сложные построения, такие как стена щитов для пехоты и клин для кавалерии. Ты можешь узнать больше уже в игре.^^Нажми Tab чтобы выйти из обучения.
str_trainer_help_1|Это тренировочная площадка, где вы можете изучить основы игры. Используйте клавиши W, A, S, D для перемещения и мышь, чтобы осмотреться.
str_trainer_help_2|Чтобы поговорить с тренером, подойдите к нему, посмотрите на него и нажмите клавишу «F», когда вы увидите слово «Разговор» под его именем. Если вы хотите покинуть эту или любую другую область или отступить от битвы, вы можете нажать клавишу TAB.
str_custom_battle_1|Ангбор Бесстрашный и его отряд Гондорцев перехватили группу подкрепления Харада. Выкрикивая свой боевой клич, он подгоняет лошадь вперед и ведет своих верных людей в жестокую битву.
str_custom_battle_2|Келеборн из Лориена возглавлял патруль всадников и лучников, когда передовой наблюдатель предупредил о приближении сил злых людей с пепельным лицом. Это страшные Чёрные Нуменорцы! Их не видели около Лотлориэна целую вечность, но теперь они вернулись, а значит их нужно отправить обратно в небытие.
str_custom_battle_3|Владыка Гримбольд из Рохана возглавляет оборону стен Хельмовой крепости от армии Изенгарда. Сейчас, когда осаждающие готовятся к последнему штурму укреплений, он должен удержать стены доблестью и сверкающей сталью.
str_custom_battle_4|Когда разведчики информируют Лорда Беранхельма о приближении отряда Рунов, он решает быстро подготовить оборону своего лагеря и попытаться противостоять превосходящему числу противников.
str_custom_battle_5|Углук привел своих орков на запад, пообещав добычу от грабежа. Если он сможет взять приступом эту твердыню гномов сегодня, его хозяева в Барад-Дуре будут очень рады.
str_custom_battle_6|Углук и его банда орков-налетчиков с поразительным умением умудрялись уходить от патрулей эльфов. Но удача длится не бесконечно, и похоже, что их добычу прибрали чьи-то нечистые руки.
str_custom_battle_7|Корсары разбили свой лагерь на берегах Гондора! Как они посмели! Давайте ударим по ним, пока они не получили подкрепление, и сбросим их в море, откуда они пришли.
str_finished|(Конец)
str_delivered_damage|Нанесено {reg60} урона.
str_archery_target_hit|Расстояние: {reg61} ярдов. Сложность: {reg60}
str_use_baggage_for_inventory|Используйте ваш багаж для доступа к инвентарю в течение битвы (он находится на вашей стартовой позиции).
str_cant_use_inventory_now|Нельзя использовать инвентарь сейчас.
str_cant_use_inventory_arena|Нельзя использовать инвентарь на арене.
str_cant_use_inventory_disguised|Нельзя использовать инвентарь, когда вы замаскированы.
str_cant_use_inventory_tutorial|Нельзя использовать инвентарь в тренировочном лагере.
str_1_denar|1 очко снабжения.
str_reg1_denars|{reg1} очков снабжения.
str_january_reg1_reg2|T.Э.{reg2}, Нарвиниэ {reg1} (Янв)
str_february_reg1_reg2|T.Э.{reg2}, Нениме {reg1} (Фев)
str_march_reg1_reg2|T.Э.{reg2}, Сулиме {reg1} (Март)
str_april_reg1_reg2|T.Э.{reg2}, Вирессе {reg1} (Апр)
str_may_reg1_reg2|T.Э.{reg2}, Лотессе {reg1} (Май)
str_june_reg1_reg2|T.Э.{reg2}, Нариэ {reg1} (Июнь)
str_july_reg1_reg2|T.Э.{reg2}, Кермиэ {reg1} (Июль)
str_august_reg1_reg2|T.Э.{reg2}, Уриме {reg1} (Авг)
str_september_reg1_reg2|T.Э.{reg2}, Йаванниэ {reg1} (Сен)
str_october_reg1_reg2|T.Э.{reg2}, Нарквелиэ {reg1} (Окт)
str_november_reg1_reg2|T.Э.{reg2}, Хисиме {reg1} (Ноя)
str_december_reg1_reg2|T.Э.{reg2}, Рингаре {reg1} (Дек)
str_calendar_spec_day_1|T.Э.{reg2}, Йестаре (Первый День)
str_calendar_spec_day_2|T.Э.{reg2}, Туилире (День Весны)
str_calendar_spec_day_3|T.Э.{reg2}, Лоэнде (День Среднегодья)
str_calendar_spec_day_4|T.Э.{reg2}, Йавиере (День Урожая)
str_calendar_spec_day_5|T.Э.{reg2}, Меттаре (Последний День)
str_town_nighttime|Сейчас поздняя ночь.
str_door_locked|Дверь закрыта.
str_castle_is_abondened|У замка, кажется, нет владельца.
str_town_is_abondened|В городе нет гарнизона защитников.
str_place_is_occupied_by_player|Поселение занято вашими солдатами.
str_place_is_occupied_by_enemy|Поселение занято вражескими солдатами.
str_place_is_occupied_by_friendly|Поселение занято дружественными солдатами.
str_do_you_want_to_retreat|Вы уверены, что хотите отступить?
str_give_up_fight|Прекратить битву?
str_do_you_wish_to_leave_tutorial|Вы хотите покинуть обучение?
str_do_you_wish_to_surrender|Вы хотите сдаться?
str_can_not_retreat|Невозможно отступить, когда враг рядом!
str_s1_joined_battle_enemy|{s1} присоединился к битве на стороне врага.
str_s1_joined_battle_friend|{s1} присоединился к битве на вашей стороне.
str_entrance_to_town_forbidden|Городская стража в поисках врага, похоже, вам не удастся беспрепятсвенно проникнуть за ворота.
str_sneaking_to_town_impossible|Городская стража подняла тревогу. Вам не удалось проникнуть за ворота, несмотря на то, что вы были хорошо замаскированы.
str_battle_won|Вы выиграли бой!
str_battle_lost|Вы проиграли бой!
str_player_down|Вы были оглушены, но ваши воины продолжили сражаться без вас!
str_attack_walls_success|После кровавого боя ваши воины смогли отбросить врага от стен.
str_attack_walls_failure|Ваши воины погибают один за другим под вражескими стенами, и те немногие, кому удалось выжить, покидают вас навсегда. 
str_attack_walls_continue|Последовало серьезное сражение, и обе стороны сражались с равной доблестью. Несмотря на усилия ваших войск, замок остался в руках врага.
str_order_attack_success|Ваши воины бились храбро и победили.
str_order_attack_failure|Вы в отчаянии наблюдаете за битвой, противник убивает ваших воинов одного за другим и с легкостью оттесняет остатки ваших войск.
str_order_attack_continue|Несмотря на серьезное столкновение, ваши воины не смогли выиграть битву. 
str_join_order_attack_success|Ваши войска сражались вместе с воинами союзника и победили врага, разделив славу с союзниками.
str_join_order_attack_failure|Вы в отчаянии наблюдаете за битвой, противник убивает ваших людей одного за другим, и с легкостью оттесняет остатки ваших войск.
str_join_order_attack_continue|Несмотря на серьезное столкновение, ни ваши войска, ни воины союзника не смогли одержать победу над врагом. 
str_siege_defender_order_attack_success|Воины гарнизона удержали позиции на стенах умением и храбростью, выдержав нападение врага, и ловко обратили противника в паническое бегство.
str_siege_defender_order_attack_failure|Нападение быстро перерастает в бойню. Отчаянные попытки сопротивления не помогают: малочисленный гранизон не может удержать стены, и враг предает всех защитников мечу.
str_siege_defender_order_attack_continue|Повторные кровопролитные попытки закрепиться на стенах терпят неудачу, слишком много защитников не дают одержать окончательную победу. Осада продолжается.
str_hero_taken_prisoner|{s1} из державы {s3} был взят в плен полководцем {s2}.
str_hero_freed|{s1} из державы {s3} был освобожден из плена полководцем {s2}.
str_center_captured|Держава {s2} захватила {s1}, город державы {s3}!
str_troop_relation_increased|Ваши отношения с полководцем {s1} улучшились с {reg1} до {reg2}.
str_troop_relation_detoriated|Ваши отношения с полководцем {s1} ухудшились с {reg1} до {reg2}.
str_faction_relation_increased|Ваши отношения с фракцией {s1} улучшились с {reg1} до {reg2}.
str_faction_relation_detoriated|Ваши отношения с фракцией {s1} ухудшились с {reg1} до {reg2}.
str_party_gained_morale|Боевой дух вашего отряда повысился на {reg1}.
str_party_lost_morale|Боевой дух вашего отряда понизился на {reg1}.
str_qst_follow_spy_noticed_you|Шпион обнаружил вас! Он пытается скрыться!
str_father|отец
str_husband|муж
str_wife|жена
str_daughter|дочь
str_mother|мать
str_son|сын
str_brother|брат
str_sister|сестра
str_he|Он
str_she|Она
str_s3s_s2|{s3} полководца {s2}
str_s5_is_s51|{s5} - {s51}.
str_s5_is_the_ruler_of_s51|{s5} - правитель державы {s51}. 
str_s5_is_a_nobleman_of_s6|{s5} - полководец державы {s6}. 
str_relation_mnus_100|Мстительные
str_relation_mnus_90|Мстительные
str_relation_mnus_80|Мстительные
str_relation_mnus_70|Ненавистные
str_relation_mnus_60|Ненавистные
str_relation_mnus_50| Враждебные
str_relation_mnus_40|  Сердитые
str_relation_mnus_30|    Возмущенные
str_relation_mnus_20|      Неприветливые
str_relation_mnus_10|        Подозрительные
str_relation_plus_0|         Безразличные
str_relation_plus_10|          Отзывчивые
str_relation_plus_20|           Гостеприимные
str_relation_plus_30|            Благосклонные
str_relation_plus_40|             Поддерживающие
str_relation_plus_50|              Дружелюбные
str_relation_plus_60|               Любезные
str_relation_plus_70|                 Теплые
str_relation_plus_80|                  Верные
str_relation_plus_90|                   Преданные
str_relation_mnus_100_ns|{s60} хочет вам отомстить.
str_relation_mnus_90_ns|{s60} хочет вам отомстить.
str_relation_mnus_80_ns|{s60} хочет вам отомстить
str_relation_mnus_70_ns|{s60} ненавидит вас.
str_relation_mnus_60_ns|{s60} ненавидит вас.
str_relation_mnus_50_ns|{s60} относится к вам враждебно.
str_relation_mnus_40_ns|{s60} злится на вас.
str_relation_mnus_30_ns|{s60} возмущается вашим поведением.
str_relation_mnus_20_ns|{s60} относится к вам неприветливо.
str_relation_mnus_10_ns|{s60} относится к вам подозрительно..
str_relation_plus_0_ns|{s60} относится к вам безралично.
str_relation_plus_10_ns|{s60} относится к вам с отзывчивостью.
str_relation_plus_20_ns|{s60} относится к вам гостеприимно.
str_relation_plus_30_ns|{s60} относится к вам благосклонно.
str_relation_plus_40_ns|{s60} оказывает вам поддержку.
str_relation_plus_50_ns|{s60} относится к вам дружелюбно.
str_relation_plus_60_ns|{s60} относится к вам любезно.
str_relation_plus_70_ns|{s60} относится к вам тепло.
str_relation_plus_80_ns|{s60} - ваш верный союзник.
str_relation_plus_90_ns|{s60} предан вам.
str_relation_reg1| Отношение: {reg1}
str_center_relation_mnus_100|Население отчаянно ненавидит вас
str_center_relation_mnus_90|Население очень сильно ненавидит вас
str_center_relation_mnus_80|Население сильно ненавидит вас
str_center_relation_mnus_70|Население ненавидит вас
str_center_relation_mnus_60|Население испытывает к вам ненависть
str_center_relation_mnus_50|Население настроено к вам чрезвычайно враждебно
str_center_relation_mnus_40|Население настроено к вам очень враждебно
str_center_relation_mnus_30|Население настроено к вам враждебно
str_center_relation_mnus_20|Население против вас
str_center_relation_mnus_10|Население сопротивляется вам
str_center_relation_plus_0|Населению нет до вас дела
str_center_relation_plus_10|Население принимает вас
str_center_relation_plus_20|Население относится к вам с отзывчивостью
str_center_relation_plus_30|Население в чем-то вас поддерживает
str_center_relation_plus_40|Население вас поддерживает
str_center_relation_plus_50|Население поддерживает вас во всем
str_center_relation_plus_60|Население верно вам
str_center_relation_plus_70|Население верно вам во всем
str_center_relation_plus_80|Население преданно вам
str_center_relation_plus_90|Население отчаянно преданно вам
str_town_prosperity_0|Город {s60} нестерпимо беден
str_town_prosperity_10|Нищий город {s60} практически опустел.
str_town_prosperity_20|Город {s60} выглядит пустым и обветшалым.
str_town_prosperity_30|Город {s60} выглядит бедным и заброшенным.
str_town_prosperity_40|Город {s60} с трудом борется за существование.
str_town_prosperity_50|Город {s60} ничем не примечателен.
str_town_prosperity_60|Город {s60} процветает.
str_town_prosperity_70|Город {s60} преуспевающий и активный.
str_town_prosperity_80|Город {s60} выглядит богатым и содержащимся в порядке.
str_town_prosperity_90|Город {s60} состоятельный и полон преуспевающих людей.
str_town_prosperity_100|В сверкающем городе {s60} жизнь бьет ключом.
str_village_prosperity_0|Деревня {s60} нестерпимо бедна.
str_village_prosperity_10|Нищая деревня {s60} практически опустела.
str_village_prosperity_20|Деревня {s60} выглядит пустой и обветшалой.
str_village_prosperity_30|Деревня {s60} выглядит бедной и заброшенной.
str_village_prosperity_40|Деревня {s60} с трудом борется за существование.
str_village_prosperity_50|Деревня {s60} ничем не примечательна.
str_village_prosperity_60|Деревня {s60} процветает.
str_village_prosperity_70|Деревня {s60} вполне успешна.
str_village_prosperity_80|Деревня {s60} выглядит богатой и содержащейся в порядке.
str_village_prosperity_90|Деревня {s60} выглядит богатой и процветающей.
str_village_prosperity_100|Деревня {s60}, окруженная обширными плодородными полями, выглядит невероятно богатой.
str_war_report_minus_4|мы почти проиграли войну
str_war_report_minus_3|положение незавидное
str_war_report_minus_2|наши дела идут не очень хорошо
str_war_report_minus_1|мы можем победить, если соберемся
str_war_report_0|наши и вражеские силы равны
str_war_report_plus_1|у нас есть все шансы выиграть войну
str_war_report_plus_2|дела идут хорошо
str_war_report_plus_3|мы с легкостью победим их
str_war_report_plus_4|мы почти выиграли войну
str_persuasion_summary_very_bad|Вы делаете все возможное, но {s50} не желает слушать ваших уговоров. Как только чаша весов начинает склоняться в вашу сторону, вы говорите что-то не то, и все начинается сначала. По окончании разговора вы понимаете, что не добились для себя ровным счетом ничего, а только ухудшили свою ситуацию. Неудивительно, но {s50} смотрит на вас с едва скрываемым презрением.
str_persuasion_summary_bad|Вы проявляете чудеса убеждения, но {s50} оказывается гораздо красноречивее, так что в итоге все ваши самые веские доводы даже вам кажутся неубедительными. {s50}, ясное дело, не в восторге от того, что вы тут наговорили.
str_persuasion_summary_average|{s50} ведет разговор очень хорошо и на всякий ваш аргумент находит логичное возражение. В итоге разговор так ни к чему вас и не приводит.
str_persuasion_summary_good|Вы быстро думаете и приводите веские аргументы, и в итоге {s50} неохотно соглашается с вами. Однако {reg51?у нее:у него} все еще есть сомнения касательно вашей просьбы.
