qstr_Received_{reg0}_dama|Получено {reg0} урона.
qstr_Horse_Archery___{reg|Верховая стрельба (-{reg31})
qstr_Athletics___{reg31}_|Атлетика (-{reg31})
qstr_No_Skill_Penalty_Ass|Нет штрафов к навыкам
qstr_Inventory|Снаряжение
qstr_Show_stats|Показать характеристики
qstr_Show_item_details__|Показать информацию о предмете
qstr_Troop_detail|Информация об отряде
qstr_{s1}^|{s1}^
qstr_{s1}Level:_{reg1}^|{s1}Уровень: {reg1}^
qstr_{s1}Hit_Points:_{reg|{s1}Здоровье: {reg1}
qstr_{s1}Atributes:_^___S|{s1}Характеристики: ^   Сила:^
qstr_{s2}^{reg1}^|{s2}^{reg1}^
qstr_{s1}___Agility:|{s1}   Ловкость:
qstr_{s2}{reg1}|{s2}{reg1}
qstr_{s1}Main_skills:_^|{s1}Основные навыки: ^
qstr_{s1}___Power_Strike:|{s1}   Мощный удар:^
qstr_{s2}{reg1}^|{s2}{reg1}^
qstr_{s1}___Athletics:^|{s1}   Атлетика:^
qstr_{s1}___Riding:^|{s1}   Верховая езда:^
qstr_{s2}_^|{s2}-^
qstr_{s1}___Power_Throw:^|{s1}   Мощный бросок:^
qstr_{s1}___Power_Draw:^^|{s1}   Мощный выстрел:^^
qstr_{s2}{reg1}^^|{s2}{reg1}^^
qstr_{s2}_^^|{s2}-^^
qstr_{s1}Weapons:^|{s1}Владение оружием:^
qstr_{s1}___One_Handed:^|{s1}   Одноручное:^
qstr_{s1}___Two_Handed:^|{s1}   Двуручное:^
qstr_{s1}___Polearms:^|{s1}   Древковое:^
qstr_{s1}___Archery:^|{s1}   Луки:^
qstr_{s1}___Crossbow:^|{s1}   Арбалеты:^
qstr_{s1}___Throwing:^|{s1}   Метательное:^
qstr_{s1}___Slings:|{s1}   Пращи:
qstr_{s2}_|{s2}-
qstr__Click_on_the_troop_|(Нажмите на юнита чтобы повернуть его)^^Нажмите на элемент снаряжения^(шлем, броня, перчатки, ботинки)^ чтобы показать их.
qstr_ready_bows_and_missi|приготовить луки и снаряды
qstr_ready_side_arms|приготовить одноручное оружие
qstr_ready_two_hander|приготовить двуручники
qstr_ready_polearms|приготовить копья
qstr_shields_up|щиты наизготовку
qstr_doff_shields|убрать щиты
qstr_Distance___{reg70}__|Расстояние - {reg70} - {s11} Отряд - {s12}
qstr_A_golden_mist_from_L|Золотой туман Лориена застилает поле битвы. Ваши войска чувствуют себя ободренными в присутствии Леди.
qstr_A_golden_mist_from_Lr|Золотой туман Лориена застилает поле битвы. Ведьма совсем рядом. Она насылает дрожь по спине ваших воинов.
qstr_Dark_clouds_from_Mor|Тёмные облака Мордора сгущаются над полем битвы. Вашим лучникам трудно разглядеть врага, а присутствие зла сеет страх среди ваших людей.
qstr_Dark_clouds_from_Mord|Тёмные облака Мордора сгущаются на полем битвы. Присутствие Тёмного Владыки придаёт сил вам и вашим воинам.
qstr_A_thunderstorm_from_|Над полем брани бушует гроза из Туманных Гор. Ваши войска медленнее передвигаются, а суеверные люди напуганы.
qstr_A_thunderstorm_from_t|Над полем брани бушует гроза из Туманных Гор. Лучникам стало трудно целиться в такую погоду.
qstr_A_poisonous_fog_from|Ядовитый туман из Дол Гулдура навис прямо над полем битвы. Вы и ваши войска ослаблены. Среди людей ощущается страх.
qstr_A_poisonous_fog_from_|Ядовитый туман из Дол Гулдура навис прямо над полем битвы. Вы не чувствуете ничего особенного, но слышите, как страдают ваши враги. Вы чувствуете их страх.
qstr_You_shapeshift_into_|Вы превратились в медведя!
qstr_You_got_{reg1}_exper|У вас {reg1} опыта в обличье медведя.
qstr_Your_ability_to_chan|Проявилась ваша способность к превращению, отныне вы можете ходить по диким тропам и как человек, и как медведь.
qstr_You_change_back_to_h|Вы снова принимаете человеческий облик ...
qstr_Refill_Ammunition|Пополнить боеприпасы
qstr_Your_mount_stumbles!|Ваш скакун спотыкается! Кажется, он охромел.
qstr_Bitten_by_your_own_w|Вас укусил собственный варг!
qstr_You_weigh_too_much_f|Ваш вес слишком велик для низкорослой лошади!
qstr_Your_mount_rears_ref|Ваш скакун несётся прочь, не подчиняясь вам!
qstr_Cannot_Change_Camera|В режиме от первого лица, невозможно сменить режим камеры.
qstr_Switch_Back_to_3rd_P|Вернитесь к виду от третьего лица, чтобы вращать камерой.
qstr_Fixed_Custom_Camera|Закрепленная настраиваемая камера
qstr_Press_Ctrl_+_Left_/_|Используйте комбинации клавиш Ctrl + Стрелка Влево / Ctrl + Стрелка Вправо для переключения плеч
qstr_Press_Ctrl_+_Down_to|Нажмите Ctrl + Стрелка Вниз, чтобы центрировать камеру
qstr_Press_Ctrl_and_+/__t|Нажмите Ctrl и +/- для увеличения/уменьшения масштаба
qstr_Press_Ctrl_and_Up/Do|Нажмите Ctrl и клавиши со стрелками Вверх / вниз, чтобы наклонить вверх / вниз
qstr_Fixed_Camera___Right|Закреплённая камера - правое плечо
qstr_Fixed_Camera___Left_|Закреплённая камера - левое плечо
qstr_Fixed_Camera___Cente|Закреплённая камера - центр
qstr_Shield_is_too_big_to|Щит слишком большой, чтобы его можно было использовать с луком.
qstr_While_visiting_towns|Посещая города, поселки и лагеря, вы можете общаться с людьми, гуляющими вокруг. Члены разных фракций могут рассказывать разные вещи: одни позволят вам самим задать вопрос, другие поделятся интересными слухами. Они могут дать вам лучшее понимание их культуры и фракции, могут помочь найти секретные локации или поделятся советами и хитростями для путешествий по Диким землям и сражений в Войне Кольца.
qstr_Cannot_leave_now.|Сейчас нельзя уйти.
qstr_You_have_found_the_l|Вы нашли местную кузницу.
qstr_You_have_found_the_lo|Вы нашли местного управленца.
qstr_You_have_found_the_loc|Вы нашли местный склад.
qstr_You_have_found_the_c|Вы нашли капитана гарнизона
qstr_You_look_through_Hen|Вы смотрите сквозь Хеннет Аннун, Окно Заката. Это поистине прекрасное зрелище восстанавливает вашу веру в Запад и сверхъестественные силы.
qstr__cancelled_the_{reg1|(отменены {reg10} очков опыта за убийство пленников)
qstr_Forming_ranks.|Воины строятся шеренгами.
qstr_{reg2?You:Your_mount|{reg2?Вам:Вашей лошади} дополнительно нанесено {reg1} урона!
qstr_{reg2?You_strike:You|{reg2?Вы бьете:ваша лошадь таранит} на {reg1} бонусного урона!
qstr_Division_Placement|Передвижение подразделений.
qstr_Complex_Formations|Сложные формации
qstr_Formations_turned_OF|Формации выключены в настройках
qstr_Division_{reg1}_{s2}_g|Подразделение {reg1} {s2} движется к заданной позиции...
qstr_Division_{reg1}_{s2}_f|Подразделение {reg1} {s2} строится в линию (сохранено).
qstr_Division_{reg1}_{s2}_fo|Подразделение {reg1} {s2} строится в {reg0} линии (сохранено).
qstr_Delivered_{reg60}_da|Нанесено {reg60} урона.
qstr_DEBUG__Health_Regen_|DEBUG (Восст. здоровья): {s1} восстанавливает {reg0}% здоровья. = +{reg1}% СИЛ
qstr_Your_bear_form_has_{|У вашей формы медведя {reg2}/{reg1} здоровья!
qstr_Three_Nazgul_are_cir|Три Назгула кружат в небе над полем битвы!
qstr_Two_Nazgul_are_circl|Два Назгула кружат в небе над полем битвы!
qstr_A_Nazgul_is_circling|Назгул кружит над полем боя!
qstr_Some_of_your_human_t|Некоторые из ваших человеческих воинов не боятся темноты.(Ночные воины не подвержены штрафам в ночное время)
qstr_You_are_filled_with_|Вы наполняетесь яростью, когда видите врага (активен Берсерк).
qstr_Your_mount_is_scared|Ваш скакун напуган {s5}!
qstr_Your_mount_is_scared_|Ваш скакун напуган {s5}, но вы можете успокоить его!
qstr_Nazgul_sweep!|Назгул атакует!
qstr_You_and_your_horse_p|Вы и ваша лошадь в ужасе, крики назгула невыносимы!
qstr_Your_horse_panics_th|Ваша лошадь несётся прочь, крики назгула невыносимы!
qstr_You_cower_in_terror_|Вы сьёживаетесь от страха, крики назгула невыносимы!
qstr_knocked_unconscious|оглушён
qstr_Nazgul_diving_attack|Назгул спикировал на воина {s11}!
qstr_{s11}_is_{s10}_in_th|{s11} {s10} во время нападения назгула!
qstr_Received_{reg66}_dam|Получено {reg66} урона.
qstr_You_yell_for_your_ho|Вы призываете вашего коня.
qstr_You_do_not_need_to_r|Пока не требуется созыв ваших войск.
qstr_You_rally_{reg10}_tr|Вы созываете {reg10} воинов!
qstr_{s5}_rallies_{reg65?|{s5} вдохновляет {reg65?её:его} войск!
qstr_You_have_killed_{reg|Вы убили {reg1} врагов в этой битве! 
qstr_Your_bravery_inspire|Ваша отвага вдохновляет ваших воинов! 
qstr_Your_mount_has_falle|Ваше ездовое животное упало на землю прямо под вами!
qstr_Receive_{reg22}_dama|Получено {reg22} урона.
qstr_You_have_been_knocke|{s22} сбивает вас с ног, вы теряете сознание.
qstr_{s21}_has_been_knock|{s21} сваливается со {reg23?своего:своего} ездового животного, когда тот упал.
qstr_{s21}_{reg24?killed:|{s21} {reg24?убито:оглушено} {s22}.
qstr_A_bear_has_been_summ|Медведь был призван в битву!
qstr_In_The_Last_Days_of_|В Последние дни Третьей эпохи, в начале каждого сражения, ваши войска будут занимать позиции и удерживать их, вместо того чтобы слепо атаковать.^^Чтобы приказать войскам занять определённый строй, нажмите 'J' для Шеренги, 'K' для Стены щитов, 'L' для Клина, ';' для Карэ. Чтобы отменить формации, нажмите 'U'. ^Если ваши войска бегут с поля, вы можете нажать 'V', чтобы сплотить их. За бой вы получаете ограниченное количество сигналов сбора войск, их количество зависит от ваших навыков лидерства и харизмы.
qstr_You_can_also_order_y|Вы также можете приказать своим войскам переключиться на определённый тип оружия, которое они будут использовать в бою. Переключение циклическое.^^ Нажмите O, чтобы приказать войскам сменить тип оружия. Нажмите P для переключения режима использования щитов.
qstr_The_Last_Days_of_the|The Last Days of the Third Age внедрила пользовательскую камеру, чтобы обойти текущее ограничение камеры в отношении более коротких рас (например, орков и гномов).^^Смотрите Информационные страницы о том, как управлять различными режимами камеры.
qstr_Battlefield_is_too_s|Поле боя слишком мало для сложных формаций.
qstr_You_have_a_clear_per|Вы отчётливо ощущаете опасность, надвигающуюся отовсюду!
qstr_New_ent_reached_batt|Ещё один энт появился на поле боя...
qstr_You_receive_word_tha|До вас дошел слух, что деревни беорнингов подверглись атаке. Сила государства беорнингов снизилась.
qstr_You_receive_word_that|До вас дошёл слух, что главарей Охотники за Кольцом видели идущими в Мордор. У них был сундук. Сила государства Мордор выросла.
qstr_Enemy_reinforcements|Прибыло подкрепление противника
qstr_Yarrrr!!|Арррр!!
qstr_Get_all_of_them!|Кончайте их!
qstr_Kill_them_all!|Убить их всех!
qstr_Toss_them_overboard!|Бросить их за борт!
qstr_It_is_a_good_day_to_|Хороший денёк, чтобы умереть!
qstr_All_hands_on_deck!_T|Свистать всех наверх! Сбросить этих псов!
qstr_Ally_reinforcements_|Прибыло подкрепление союзников
qstr_Forward_men!|Вперёд!
qstr_Leave_none_of_these_|Не щадите этих мерзавцев!
qstr_End_them_all!|Кончай их!
qstr_Drive_them_back!|Дави их назад!
qstr_Protect_the_City!|Защищать город!
qstr_Forward!_Board_them!|Вперед! Взять их на абордаж!
qstr_The_Last_Days_of_the_|В The Last Days of the Third Age есть продвинутый ИИ осады, сильно отличающийся от Native. Все атакующие и защитники будут распределены по левому и правому флангам и центру. При атаке игрок командует своими войсками.
qstr_on_the_left_flank|на левом фланге
qstr_on_the_right_flank|на правом фланге
qstr_through_the_center|через центр
qstr_Attackers_charge_{s2|Противник атакует {s2}
qstr_Attackers_charge_{s1|Противник атакует {s1}
qstr_{s1}_rallied_to_your|{s1} перешел на вашу сторону благодаря навыку Харизма.
qstr_Last_attacker_wave._|Это последняя волна нападавших. Вы хотите отступить?
qstr_Attackers_almost_def|Враги практически разбиты. Вы хотите отступить?
qstr_The_remaining_attack|Остальные нападавшие разбегутся!
qstr_The_remaining_defend|Оставшиеся защитники бегут из осады!
qstr_Reached_Gauntlet_wav|Вы дожили до {reg1} волны противников!
qstr_Ballista:_out_of_amm|Баллиста: кончились стрелы!
qstr_Ballista:_turn_CURSO|Баллиста: повернуть КУРСОРОМ, нацелить левым SHIFT, выстрелить ПРОБЕЛОМ, поджечь T, уйти F
qstr_Ballista:_out_of_ammo|Баллиста: кончились стрелы
qstr_The_ladders_on_Deepi|Лестницы уже у Стены! Будьте начеку!
qstr_THREE.._TWO..._ONE..|ТРИ... ДВА... ОДИН... В БОЙ!
qstr_You_have_come_upon_t|Вы наткнулись на развалины Амон Хэн, Холм зрения. Гондорской сторожевой башни, на вершине которой находится Место Видения, вы чувствуете, что это место когда-то было великим, но давно уже забыто
qstr_You_have_come_upon_th|Вы натолкнулись на Мёртвые Топи, место битвы при Дагорладе во время Войны Последнего Союза^^Болота поглотили то, что когда-то было травянистой равниной, и теперь единственная зелень - это мертвенно-бледные водоросли на тёмных, масляных поверхностях мрачных вод^^Мёртвая трава и гниющие тростники едва вырисовываются в тумане, как тени давно забытых лет, а в тёмных глубинах вод плавают тела людей, эльфов и орков^^Воздух вокруг холодный и влажный, вас пробирает озноб, когда встречаете мерцающие огоньки свечей в глазах эльфского трупа прямо под поверхностью воды
qstr_You_have_entered_the|Вы вошли в лес Южного Темнолесья, когда-то известный как Великое Зеленолесье^^Крепость Дол Гулдур, находящаяся неподалеку, отбрасывает темную тень на лес. Здешние леса кажутся мёртвыми и болезненными. Древние дубы переполнены гнилью и грибком, а огромные запутанные паутины тянутся от ствола к стволу^^ Воздух вечно неподвижен, темен и душен, и кажется, что вы медленно задыхаетесь
qstr_You_have_found_the_D|Вы нашли гномий склад, в котором могли быть легендарные копья. {s3} должен узнать об этом.
qstr_Leave_the_Warehouse?|Покинуть склад?
qstr_Leave_the_place_in_s|Тихо уйти из этого места?
qstr_Leave_scene?|Покинуть это место?
qstr_Trace_back_your_step|Вернуться по своим следам и выйти наружу?
qstr_There_is_no_way_out!|Выхода нет! Сдаться оркам?
qstr_Stealth_mini_game_tu|Руководство мини-игры в скрытность: Есть два уровня тревоги. Уровень 1 включается, когда стражники видят труп или замечают вас. Уровень 2 включается, когда стражники замечают вас и уже включен первый уровень тревоги. Второй уровень очень опасен, т.к. стражники будут всё прибывать и прибывать. Вы можете избежать обнаружения, если будете прятаться. Чтобы спрятаться, просто переместитесь за любую подходящую для укрытия преграду или предмет. 
qstr_You_are_now_hidden.|Вы спрятались.
qstr_You_move_out_of_hidi|Вы больше не прячетесь.
qstr_The_guards_have_spot|Стражники обнаружили труп!
qstr_Alarm_Level_is_now_a|Включен уровень тревоги 1!
qstr_You_have_been_too_sl|Вы действовали слишком медленно: тревога распространилась, и колдун сбежал прежде, чем вы смогли подобраться поближе.
qstr_Alarm_Level_is_now_at|Включен уровень тревоги 0!
qstr_The_guards_have_spott|Стражники обнаружили вас!
qstr_Alarm_Level_is_now_at_|Включен уровень тревоги 2!
qstr_Enemy_reinforcements_|Прибыло вражеское подкрепление.
qstr_Venture_deeper_into_|Углубитесь в лес и найдите путь вперед.
qstr_The_sorcerer_has_fle|Колдун сбежал!
qstr_Report_this_ill_news|Сообщите эту дурную весть Владычице.
qstr_The_sorcerer_is_flee|Колдун убегает! Убейте его!
qstr_The_sorcerer_has_joi|Колдун вступил в бой! Убить его!
qstr_The_sorcerer_is_dead|Колдун мёртв!
qstr_The_battle_is_won!|Битва выиграна!
qstr_A_band_of_tribal_orc|Появилась группа Диких орков!
qstr_Gaaaar!!_We_wants_th|Гаааар!! Нам нужно человеческого мяса!
qstr_{s31}_scouts_have_ap|Замечены разведчики {s31}!
qstr_Those_are_ours!_We_h|Это наши! Мы следим за ними с тех пор, как они ушли! Никто не стоит на нашем пути!
qstr_Trolls_appeared!|Появились тролли!
qstr_Gaaaar!!|Гаааар!!
qstr_{s31}_scouts_have_app|Явились разведчики {s31}, чтобы помочь беженцам!
qstr_Hurry_men!_Help_the_|Скорее! Помогите беженцам! Убейте всех подонков и не дайте им сбежать!
qstr_Cannot_leave|Невозможно уйти
qstr_Longbeard_Kinsman|Длиннобородый сородич
qstr_Ori_Longbeard|Ори Длиннобородый
qstr_We_shall_make_our_st|Мы будем стоять здесь до конца! ЗА БАЛИНА!
qstr_Noooo!_You_orcs_will|Нееееет! Вы, орки, заплатите за это!
qstr_Arghhh!!_Nooo!!|Ааах!! Неееет!!
qstr_I_will_take_down_as_|Я снесу столько голов, сколько смогу, прежде чем паду!
qstr_Raaa!!|Рааа!!
qstr_Kill_the_dwarves!|Убить гномов!
qstr_Finish_them!|Прикончим их!
qstr_We_will_feast_on_you|Мы устроим пир на твоём трупе!
qstr_Dwarf_meat!|Гномье мясо!
qstr_Eru_Iluvatar_has_dec|Эру Илуватар, Отец всего, предрешил судьбу компании Балина, и изменить её нельзя.
qstr_They_are_coming....!|Они идут....!
qstr_Who...dares...enter.|Кто...осмелится...подойти...
qstr_You_are_not_welcome_|Тебе здесь не рады!
qstr_Finally_I_found_you!|Наконец-то я нашёл тебя! Давай выбираться отсюда!
qstr_You...are....ours...|Ты... наш...
qstr_Look_at_my_over_the_|Погляди, как красиво я выгляжу в ракурсе с плеча противника, {playername}!
qstr_You_wish_old_man_my_|Как хочешь, старик, но мой ракурс с плеча противника красивее!
qstr_You_should_really_se|Тебе действительно стоит посмотреть фотки наместника Денетора на Фэйсбуке, он потрясающий!
qstr_Press_Space_to_conti|Нажмите Пробел, чтобы продолжить...
qstr_{s24}__{reg13}____{r|{s24} ({reg13}) - {reg20} до следующего повышения^
qstr_Influence:^_{reg11}_|Влияние:^ {reg11} (в державе {s16})^
qstr_Resource_Points:^_{r|Очки снабжения:^ {reg12} (в державе {s16})^
qstr_{s11}_{s24}__{reg13}|{s11} {s24} ({reg13}) - {reg21} до следующего повышения^
qstr_{s13}_{reg11}__with_|{s13} {reg11} (в державе {s16})^
qstr_{s15}_{reg12}__in_{s|{s15} {reg12} (в державе {s16})^
qstr_Four_years_after_bri|Через четыре года, после того, как группа гномов из Эребора попыталась занять некогда бывший гномий город Кхазад-дум, Балин был убит орочьей стрелой, когда тот вглядывался в Зеркальное озеро, его компания тут же вступила в бой со множеством орков, идущими вверх по реке Серебрянка. После продолжительных отступлений от Восточных ворот и Первого Зала, затем от Моста Кхазад-дум и Второго Зала, оставшиеся Длиннобороды были вынуждены вернуться обратно в Двадцать первый Зал. После неудачной попытки сбежать через Врата Дурина, в которых погиб Оин, Чертог Мазарбул стала последним пристанищем колонии после потери Двадцать первого Зала, сразу за этим чертогом. Заперев ворота, Ори и, те немногие, кто остались в живых, организовали последнюю оборону.
qstr_You_chase_an_orc_sco|Вы гоните группу орков-разведчиков в лес...
qstr_^No_food:___{reg7}|^Нечего есть: -{reg7}
qstr_Current_party_morale|Текущий боевой дух отряда равен {reg5}.^В данный момент модификаторы боевого духа отряда таковы:^^Базовый боевой дух: +50^Размер отряда: {s2}{reg1}^Лидерство: {s3}{reg2}^Разнообразие пищи: {s4}{reg3}{s5}^Специальные предметы: {s6}{reg6}^Недавние события: {s7}{reg4}^ИТОГО: {reg5}
qstr_Defending|Обороняется
qstr_Gathering_army|Собирает армию
qstr_Besieging_{s11}|Осаждает {s11}
qstr_Raiding_{s11}|Разоряет {s11}
qstr_Attacking_enemies_ar|Бьётся с врагами близ города {s11}
qstr_No_one|Никто
qstr_{s9}{s10}^Current_st|{s9}{s10}^Текущий статус: {s11}^Маршал: {s12}^После последнего наступления прошло {reg1} часов^Максимальное число союзников во время наступления: {reg2}^^
qstr_Selected_faction_is:|Выбранная фракция: {s10}^^{s9}
qstr_You_are_in_perfect_h|Вы абсолютно здоровы. 
qstr_You_are_suffering_fr|Рана ({s1}) причиняет вам страдания. 
qstr_You_are_suffering_fro|Раны ({s1} и {s2}) причиняют вам страдания. 
qstr_You_are_suffering_from|Раны ({s1}, {s2} и {s3}) причиняют вам страдания. 
qstr_You_are_suffering_from_|Раны ({s1}, {s2}, {s3} и {s4}) причиняют вам страдания. 
qstr_Troop_upkeep__paid_e|Жалование воина (платится каждые 4 дня):
qstr_{s12}^^__{s4}:_{reg8|{s12}\n\n{s4}: {reg8}/{reg5} Очков снабжения\nОтряд: {reg4}\nРезерв: {reg7}
qstr_No_upkeep_costs|Войска не требуют содержания
qstr_Orc_hiring_bonus:_+2|Бонус найма орков: +2/3 за каждого орка в отряде^
qstr_Current_party_size_l|Текущий лимит размера отряда равен {reg5}.^Модификаторы размера отряда таковы:^^Базовый размер: +10^Лидерство: {s2}{reg1}^Харизма: {s3}{reg2}^Ранги: {s4}{reg3}^{s5}ИТОГО: {reg5}
qstr_{s2}^_________{s4}:_|{s2}^ {s4}: {reg1} ({s23})
qstr__________Faction_str| Отчёт о силе фракций:^{s2}
qstr_{s1}^^Factions_are_n|{s1}^^Когда сила фракции падает ниже {reg1}, враги начинают осаждать её города. 
qstr_Savagery|Дикость
qstr_{s2}^^{s5}^{s6}|{s2}^^{s5}^{s6}
qstr_Traits_gained:^{s2}|Полученные трейты:^{s2}
qstr_^^You_are_{s17}.|^^Вы {s17}.
qstr_Assassins_in_the_cam|Наёмные убийцы проникли в лагерь, защищайтесь!
qstr_Ally_party_size:_{re|Численность союзного отряда: {reg1} 
qstr_Enemy_party_size:_{r|Численность вражеского отряда: {reg1} 
qstr_Party_count:_{reg0}|Кол. участ.: {reg0}
qstr_Party_position__{reg|Позиция группы ({reg2}, {reg3}).
qstr_Party_size_increased|Размер отряда увеличен с {reg0} до {reg1}!
qstr_Faction_strengths_re|Отчёт о силе фракций:^{s2}
qstr_Attacking_enemy_part|Атакует вражеский отряд {s11}
qstr_Unknown_{reg3}_|Неизвестн. ({reg3})
qstr_ON|ВКЛ
qstr_OFF__cheat_|ВЫКЛ (чит)
qstr_OFF|ВЫКЛ
qstr_All_messages|Все сообщения
qstr_{reg0}__will_most_li|{reg0}
qstr_{reg0}__could_possib|{reg0}
qstr_Normal|Нормально 
qstr_Defender_only|Только защитники 
qstr_Halved|Вполовину меньше 
qstr_Battles_only|Только битвы 
qstr_Doubled|Удвоенный
qstr_Tripled|Утроенный
qstr_Quadrupled|Учетверенный
qstr_You_drank_the_Ent_Wa|Вы выпили энтийской воды...
qstr_You_used_the_Orc_Bre|Вы использовали отвар орков.
qstr_You_and_your_compani|Вы и ваши компаньоны делают глоток Мирувора. Вы ощущаете свежесть и прилив сил
qstr_You_give_a_few_leave|Вы отдаете пару листьев Ателаса своим лекарям
qstr_Not_enough_party_spa|Недостаточно места в отряде.
qstr_elites|Элиты
qstr_regulars|Рядовые
qstr_recruits|Добровольцы
qstr_wild|дикий
qstr_goblins|гоблины
qstr_lordless|Без лорда
qstr_orc_stragglers|Бродячие орки
qstr_You_camp_and_beat_th|Вы встаёте на лагерь, и бьете в Барабаны Бездны. Могучие звуки привлекают группу {s1}{s2}
qstr_You_camp_and_beat_the|Ты разбиваешь лагерь и бьешь в Барабаны Бездны. Мощный звук привлекает группу {s1} {s2}.
qstr_You_camp_and_beat_the_|Ты разбиваешь лагерь и бьешь в Барабаны Бездны. Слабый звук привлекает группу {s1} {s2}.
qstr_You_camp_and_try_to_|Ты разбиваешь лагерь и пытаешься бить в Барабаны Бездны, но никто не отвечает на твой жалкий зов.
qstr_^^^A_great_victory!^|^^^Великая победа!^^^Так вот что значили все россказни о Фангорне...
qstr_^^^Defeated...^^^Sca|^^^Поражение...^^^Раздавлен в древнем лесу Фангорн...В полном одиночестве...
qstr_Troll_caged_in_wheel|Тролль посажен в клетку на колёсах.
qstr_A_second_troll_is_ca|Ещё один тролль посажен в клетку на колёсах.
qstr_Here_you_are.|Вы здесь.
qstr_Player_was_moved_to_|Игрок был перемещён в {s10}.
qstr_neutral_whereabouts|ничейное место
qstr_any|любой
qstr_woman|женщина
qstr_gondor|гондор
qstr_rohan|рохан
qstr_dunlander|дунландец
qstr_urukhai|урук-хай
qstr_haradrim|харадрим
qstr_dwarf|гном
qstr_troll|тролль
qstr_dunedain|дунадан
qstr_lothlorien|лотлориэн
qstr_rivendell|ривенделл
qstr_mirkwood|темнолесье
qstr_evil_man|злой человек
qstr_{reg11}0___{reg11}9|{reg11}0 - {reg11}9
qstr_Regular_troops_only|Только рядовые бойцы
qstr_Heroes_only|Только герои
qstr_Regulars_and_Heroes|Рядовые бойцы и герои
qstr_HP_lost_from_poisoni|Потеря очков жизни из-за отравления.
qstr__{s17}.|, {s17}.
qstr_A_group_of_{s1}_is_{|Отряд {s1} {s10} на вас.
qstr_You_are_attacking_a_|Вы напали на отряд {s1}.
qstr_The_battle_against_t|Продолжается битва с отрядом {s1}.
qstr_There_are_{reg39}_al|В этой битве участвуют {reg39} командиры союзников. Вы можете командовать ими и их войсками для влияния {reg40}/{reg41}.
qstr_There_are_{reg39}_all|В этой битве участвуют {reg39} командиры союзников. У вас недостаточно влияния, чтобы принять командование.
qstr_Having_a_small_party|Наличие небольшой группы имеет свои преимущества... Вы и ваш отряд прячетесь от врага на несколько часов, чтобы быть уверенными, что вас не заметили.
qstr_Your_ability_to_mast|Ваше знание местности позволило вам найти безопасное место, чтобы спрятаться. (Ваш навык единение с природой позволяет вам спрятаться от войск {reg1})
qstr_{reg4}_will_be_lost.|{reg4} будет потеряно.
qstr_{s13}_asked_you_to_r|{s13} попросил вас прибыть к нему, имея при себе не менее {reg13} воинов.
qstr_{s13}_ordered_you_to|{s13} приказал вам присоединиться к штурму твердыни {s14}.
qstr_You_were_victorious!|Вы одержали победу!
qstr_The_battle_was_lost.|Битва проиграна. Ваши войска наголову разбиты.
qstr_Your_companions_carr|Ваши соратники вынесли вас с поля боя.
qstr_You_have_defeated_th|Вы разгромили врага.
qstr_You_have_retreated_f|Вы сбежали с поля боя.
qstr_^^Ally_Casualties:{s|^^Потери союзников:{s0}
qstr_You_and_{s3}_celebra|Вы и {s3} празднуете свою победу над {s4}.
qstr_News_of_your_victory|В {s3} пришли вести о том, что отряд державы {s4} разгромлен вашим войском.
qstr_{s3}_witnesses_your_|{s4} побеждён вами, и {s3} стал свидетелем этого.
qstr_Even_though_there_we|хотя не было союзников, чтобы засвидетельствовать вашу победу, ваши войска, тем не менее, празднуют вашу победу
qstr_{s1}_of_{s3}_managed|{s1} из державы {s3} сумел сбежать.
qstr_Prisoners_rescued_so|Освобождённые пленники: {reg1}
qstr_{reg1}_kills_of_{s1}|{reg1} убито {s1} воинов фракции во имя мести и клятвы. Всего убийств: {reg0}
qstr_Perhaps_I_m_getting_|Возможно, я становлюсь неудачником...
qstr_Retirement_is_starti|Уход на покой прельщает всё больше и больше.
qstr_No_matter!_I_will_pe|Не имеет значения! Я буду стойко идти к победе!
qstr_What_did_I_do_to_des|За что мне это?
qstr_I_suppose_it_ll_make|Думаю, из этого хотя бы выйдет неплохая байка...
qstr__{s17}|, {s17}
qstr_You_retreated_from_b|Вы сбежали с поля боя.
qstr_{s9}_wants_you_to_fo|{s9} хочет, чтобы вы следовали за его армией, ожидая указаний.
qstr_{s8}_of_{s9}|{s8} из {s9}
qstr__Your_own_banner_fli| Your own banner flies over the castle gate.
qstr__You_see_the_banner_| {s7} водрузил своё знамя над воротами этого замка.
qstr__This_castle_seems_t| This castle seems to belong to no one.
qstr__Your_own_banner_flie| Your own banner flies over the town gates.
qstr__You_see_the_banner_o| {s7} водрузил своё знамя над воротами этого города.
qstr__The_townsfolk_here_| Местный народ провозгласил независимость города.
qstr_Go_to_the_secret_ent|Пройти в секретный вход в Морию.
qstr_Search_for_a_secret_|Искать секретный вход в Морию.
qstr_Get_book.|Взять книгу.
qstr_The_{reg6?town_s:cas|Припасов {reg6?города:замка} хватит на {reg3} дней.
qstr_The_{reg6?town_s:cast|Запасы {reg6?города:замка} истощились, и защитники начали голодать.
qstr_You_re_preparing_to_|Вы готовитесь атаковать стены, работы должны закончиться через {reg9} часов.
qstr_Your_forces_are_buil|Ваши войска строят осадную башню. Они предполагают, что для завершения сборки потребуется еще {reg9} часов.
qstr_You_are_ready_to_att|Вы готовы атаковать стены в любой момент.
