itm_horse_meat|Конина
itm_leather_boots_dark|Сапоги наездника
itm_splinted_greaves|Шинные поножи
itm_white_tunic_a|Городская одежда
itm_rohan_shoes|Кожаные ботинки
itm_furry_boots|Сапоги из Шкур
itm_black_tunic|Чёрная одежда
itm_hood_black|Чёрный Капюшон
itm_hood_green|Зелёный Капюшон
itm_hood_grey|Серый Капюшон
itm_hood_leather|Кожаный Капюшон
itm_mail_coif|Кольчужный Капюшон
itm_axe_a|Топорик Северян
itm_axe_b|Бородовидный Топорик Северян
itm_axe_c|Топорик Северян
itm_axe_d|Топорик Северян
itm_long_bearded_axe|Боевая Секира Северян
itm_2_handed_axe|Длинная Секира Северян
itm_shortened_spear|Укороченное копьё
itm_spear|Копьё
itm_light_lance|Лёгкое кавалерийское копьё
itm_lance|Кавалерийское копьё
itm_tab_shield_small_round_b|Круглый щит всадника
itm_short_bow|Короткий лук
itm_regular_bow|Лук
itm_nomad_bow|Лук кочевника
itm_gondor_bow|Гондорский лук
itm_strong_bow|Тугой лук
itm_elven_bow|Эльфийский лук
itm_corsair_bow|Корсарский лук
itm_dwarf_horn_bow|Гномий роговой лук
itm_dwarf_short_bow|Гномий короткий лук
itm_harad_bow|Харадский кривой лук
itm_lg_bow|Лук Орлиной гвардии
itm_riv_bow|Ривендельский лук
itm_rhun_bow|Балхотский Лук
itm_lorien_bow|Галадримский лук
itm_isengard_large_bow|Изенгардский большой лук
itm_dale_bow|Дейльский лук
itm_uruk_bow|Орочий Роговой Лук
itm_mirkwood_bow|Темнолесский лук
itm_dunland_javelin|Дунландские дротики
itm_orc_throwing_arrow|Орочьи дротики
itm_heavy_throwing_spear|Тяжёлое метательное копьё
itm_javelin|Дротик
itm_harad_javelin|Харадский дротик
itm_gondor_javelin|Гондорский дротик
itm_rohirrim_throwing_axe|Метательные топоры северян
itm_loss_throwing_axes|Лоссарнахские метательные топоры
itm_arnor_helm_c|Арнорский украшенный шлем
itm_arnor_helm_b|Арнорский шлем
itm_arnor_helm_a|Лёгкий шлем Арнора
itm_arnor_light_a|Встревоженный рейнджер Дунэдайн
itm_arnor_light_b|Гонец рейнджеров Дунэдайн
itm_arnor_med_a|Куртка рейнджеров Дунэдайн
itm_arnor_med_b|Кольчуга Дунэдайн
itm_arnor_heavy|Арнорская высотная броня
itm_arnor_greaves|Арнорские поножи
itm_arnor_shield_c|Арнорский кавалерийский щит
itm_arnor_shield_a|Круглый щит Арнора
itm_arnor_sword_c|Арнорский боевой меч
itm_arnor_sword_a|Арнорский Полуторный Меч
itm_arnor_sword_f|Арнорский короткий меч
itm_riv_helm_a|Ривендельский койф
itm_riv_helm_b|Ривендельский шлем лучника
itm_riv_helm_c|Ривендельский шлем пехотинца
itm_tiara_reward|Тиара эльфийского правителя
itm_riv_shield_a|Ривендельский щит
itm_riv_shield_b|Ривендельский щит
itm_riv_bas_sword|Ривендельский меч-полутораручник
itm_riv_1h_sword|Ривендельский меч
itm_riv_riding_sword|Длинный меч Ривенделла
itm_riv_archer_sword|Короткий меч Ривенделла
itm_riv_spear|Ривендельское копьё
itm_riv_light|Ривендельская одежда 
itm_riv_leather|Ривендельская кожаная броня
itm_riv_foot_mail|Ривендельская кольчуга
itm_riv_foot_scale|Ривендельская чешуйчатая броня
itm_riv_surcoat|Ривендельская накидка
itm_riv_knight|Ривендельский доспех
itm_riv_armor_h_archer|Ривендельская броня
itm_riv_boots|Ривендельскые сапоги
itm_gon_footman|Гондорская кольчуга
itm_gon_jerkin|Гондорская куртка
itm_gon_regular|Гондорская тяжёлая кольчуга
itm_gon_bowman|Гондорский гамбезон
itm_gon_archer|Гондорский гамбезон с накидкой
itm_gon_noble_cloak|Гондорский дворянский камзол
itm_gon_squire|Гондорская кольчуга с накидкой
itm_gon_knight|Гондорская тяжёлая кольчуга с накидкой
itm_gon_ranger_cloak|Гондорский плащ рейнджера
itm_gon_ranger_skirt|Гондорская одежда рейнджера
itm_gon_steward_guard|Гондорская броня Стражи наместника
itm_gon_tower_guard|Гондорская броня Стражи Башни
itm_gon_tower_knight|Гондорская броня Рыцаря Башни
itm_gon_leader_surcoat_cloak|Гондорская накидка военачальника
itm_gondor_ranger_hood|Зелёный капюшон
itm_gondor_ranger_hood_mask|Гондорский капюшон рейнджера
itm_gondor_light_greaves|Гондорские кожаные поножи
itm_gondor_med_greaves|Гондорские средние поножи
itm_gondor_heavy_greaves|Гондорские кольчужные поножи
itm_gondor_auxila_helm|Гондорский лёгкий шлем
itm_gondorian_archer_helm|Гондорский шлем лучника
itm_tower_archer_helm|Шлем лучника Башни
itm_gondor_leader_helm|Гондорский превосходный шлем
itm_tower_guard_helm|Шлем Стража Башни
itm_gondor_citadel_knight_helm|Шлем Рыцаря Цитадели
itm_gondor_infantry_helm|Гондорский шлем пехотинца
itm_gondor_knight_helm|Гондорский кавалерийский шлем
itm_gondor_dolamroth_helm|Дол Амротский шлем
itm_swan_knight_helm|Лебединый рыцарский шлем
itm_gondor_lamedon_helm|Ламедонский шлем
itm_gondor_lamedon_leader_helm|Ламедонский превосходный шлем
itm_blackroot_archer|Мортондский гамбезон с плащом
itm_blackroot_bowman|Мортондская куртка с плащом
itm_blackroot_footman|Мортондская куртка
itm_blackroot_warrior|Мортондский гамбезон
itm_blackroot_leader|Мортондская кольчуга
itm_blackroot_hood|Чёрный капюшон
itm_dol_hauberk|Дол-амротский хауберк
itm_dol_heavy_mail|Дол-амротская тяжёлая кольчуга
itm_dol_padded_coat|Дол Амротская стёганка
itm_dol_shirt|Дол Амротская одежда
itm_dol_very_heavy_mail|Дол Амротская тяжёлая кольчуга
itm_dol_greaves|Дол Амротские поножи
itm_dol_shoes|Дол Амротские лёгкие сапоги
itm_lamedon_clansman|Ламедонская клановая броня
itm_lamedon_footman|Ламедонская броня пехотинца
itm_lamedon_knight|Ламедонская рыцарская броня
itm_lamedon_leader_surcoat_cloak|Ламедонская броня военачальника
itm_lamedon_warrior|Ламедонская броня воина
itm_lamedon_veteran|Ламедонская броня ветерана
itm_lamedon_vet_warrior|Ламедонская превосходная броня ветерана
itm_lamedon_hood|Капюшон
itm_pinnath_archer|Броня лучника Пиннат-Гелина
itm_pinnath_footman|Броня пехотинца Пиннат-Гелина
itm_pinnath_leader|Броня рыцаря Пиннат-Гелина
itm_pinnath_vet_footman|Броня пехотинца-ветерана Пиннат-Гелина
itm_pinnath_warrior|Броня воина Пиннат-Гелина
itm_pel_footman|Пеларгирская броня пехотинца
itm_pel_jerkin|Пеларгирская куртка
itm_pel_leader|Пеларгирская броня военачальника
itm_pel_marine|Пеларгирская броня моряка
itm_pelargir_marine_leader|Пеларгирская броня капитана
itm_pelargir_regular|Пеларгирская броня воина
itm_pelargir_hood|Белый капюшон
itm_pelargir_helmet_light|Пеларгирский шлем
itm_pelargir_helmet_heavy|Пеларгирский тяжёлый шлем
itm_pelargir_greaves|Пеларгирские поножи
itm_lossarnach_shirt|Лоссарнахская одежда
itm_lossarnach_axeman|Лоссарнахская броня секироносца
itm_lossarnach_leader|Лоссарнахская броня военачальника
itm_lossarnach_vet_axeman|Лоссарнахская броня секироносца-ветерана
itm_lossarnach_vet_warrior|Лоссарнахская броня воина-ветерана
itm_lossarnach_warrior|Лоссарнахская броня воина
itm_lossarnach_cloth_cap|Лоссарнахский тканевой шлем
itm_lossarnach_leather_cap|Лоссарнахский кожаный шлем
itm_lossarnach_scale_cap|Лоссарнахский чешуйчатый шлем
itm_lossarnach_greaves|Лоссарнахские поножи
itm_gondor_shield_a|Гондорский прямоугольный щит
itm_gondor_shield_b|Гондорский каплевидный щит
itm_gondor_shield_c|Гондорский ростовой щит
itm_gondor_shield_d|Гондорский каплевидный щит
itm_gondor_shield_e|Гондорский щит Стража Цитадели
itm_gon_tab_shield_a|Гондорский круглый щит с гербом
itm_gon_tab_shield_b|Гондорский прямоугольный щит с гербом
itm_gon_tab_shield_c|Гондорский каплевидный щит с гербом
itm_gon_tab_shield_d|Гондорский ростовой щит с гербом
itm_amroth_sword_a|Дол-амротский меч
itm_amroth_sword_b|Дол-амротский рыцарский меч
itm_gondor_sword|Гондорский пехотный меч
itm_amroth_bastard|Лебединый Клинок Дол Амрота
itm_gondor_short_sword|Линхирский экет
itm_pelargir_eket|Пеларгирский экет
itm_pelargir_sword|Пеларгирский меч
itm_gondor_ranger_sword|Гондорский меч рейнджера
itm_gondor_2h_sword|Гондорский боевой меч
itm_gondor_citadel_sword|Гондорский меч Стража Цитадели
itm_gondor_cav_sword|Гондорский кавалерийский меч
itm_gondor_spear|Гондорское копьё
itm_gondor_tower_spear|Гондорское копьё Стража Цитадели
itm_gondor_lance|Гондорское кавалерийское копьё
itm_loss_axe|Боевой топор Гондора
itm_loss_war_axe|Гондорский боевой топор
itm_lorien_sword_a|Лориэнский длинный меч
itm_lorien_sword_b|Лориэнский короткий меч
itm_lorien_sword_c|Лориэнский боевой меч
itm_lorien_archer|Лориэнская броня лучника
itm_lorien_armor_a|Лориэнская стёганая броня
itm_lorien_armor_b|Лориэнская кольчужная броня
itm_lorien_armor_c|Лориэнская чешуйчатая броня
itm_lorien_boots|Лориэнские сапоги
itm_lorien_shield_b|Лориэнский ростовой щит
itm_lorien_shield_c|Лориэнский каплевидный щит
itm_lorien_round_shield|Лориэнский круглый щит
itm_lorien_helm_a|Лориэнский шлем лучника
itm_lorien_helm_b|Лориэнский шлем лучника
itm_lorien_helm_c|Лориэнский шлем пехотинца
itm_orc_coif|Орочий койф
itm_orc_greaves|Орочьи кольчужные сапоги
itm_orc_ragwrap|Орочьи рваные обмотки
itm_orc_furboots|Орочьи меховые сапоги
itm_orc_tribal_a|Необработанная кожа
itm_orc_tribal_b|Необработанная кожа
itm_orc_tribal_c|Необработанная кожа
itm_evil_gauntlets_a|Чёрные перчатки
itm_evil_gauntlets_b|Чёрные латные перчатки
itm_isen_orc_light_a|Изенгардская орочья легкая упряжка
itm_isen_orc_light_b|Изенгардская орочья легкая упряжка
itm_isen_orc_pad_a|Изенгардская легкая пластинчатая броня
itm_isen_orc_pad_b|Изенгардская средняя пластинчатая броня
itm_isen_orc_mail_a|Изенгардская орочья кольчуга
itm_isen_orc_mail_b|Изенгардская тяжелая пластинчатая броня
itm_isen_uruk_light_a|Урук-хайская лёгкая броня
itm_isen_uruk_light_b|Урук-хайская боевая упряжь
itm_isen_uruk_light_c|Урук-хайская упряжь берсерка
itm_isen_uruk_med_a|Легкая сегментированная броня Урук-Хай
itm_isen_uruk_med_b|Урук-хайская кольчуга
itm_isen_uruk_heavy_a|Средние сегментированные доспехи Урук-хай
itm_isen_uruk_heavy_b|Тяжелая кольчуга Урук-Хай
itm_isen_uruk_heavy_c|Полный сегментированный доспех Урук-Хай
itm_isen_uruk_heavy_d|Урук-хайская кожаная броня следопыта
itm_isen_uruk_heavy_e|Урук-хайская кожаная броня следопыта
itm_uruk_tracker_boots|Урукские сапоги следопыта
itm_uruk_greaves|Урукские поножи
itm_uruk_chain_greaves|Урукские кольчужные поножи
itm_uruk_ragwrap|Урукские рваные обмотки
itm_isen_orc_helm_a|Изенгардский орочий шлем
itm_isen_uruk_helm_a|Урук-хайский шлем
itm_isen_uruk_helm_d|Урук-хайский шлем полководца
itm_isen_uruk_helm_e|Урук-хайский шлем следопыта
itm_uruk_pike_b|Мордорская пика
itm_uruk_falchion_a|Урукский фальшион
itm_uruk_falchion_b|Большой орочий ятаган
itm_isengard_sword|Изенгардский меч
itm_isengard_axe|Изенгардский топор
itm_isengard_hammer|Изенгардский молот
itm_isengard_halberd|Изенгардская алебарда
itm_isengard_mallet|Изенгардская палица
itm_isengard_heavy_axe|Изенгардский тяжёлый топор
itm_isengard_heavy_sword|Изенгардский тяжёлый меч
itm_isengard_spear|Изенгардское копьё
itm_isengard_pike|Изенгардская пика
itm_isen_orc_shield_a|Изенгардский орочий щит
itm_isen_orc_shield_b|Изенгардский орочий щит
itm_isen_uruk_shield_b|Изенгардский урукский щит
itm_wood_club|Деревянная дубина
itm_twohand_wood_club|Большая деревянная дубина
itm_bone_cudgel|Костяная дубина
itm_orc_pick|Орочья кирка
itm_orc_hammer|Молот Зла
itm_orc_club_b|Дубина волчьего всадника
itm_orc_club_c|Шипастая орочья дубина
itm_orc_club_d|Зловещая булава
itm_orc_sledgehammer|Орочья кувалда
itm_orc_simple_spear|Орочье копьё
itm_orc_skull_spear|Орочье копьё с черепом
itm_orc_bill|Орочье древко
itm_orc_slasher|Орочий короткий меч
itm_orc_falchion|Орочий фальшион
itm_orc_scimitar|Орочий ятаган
itm_orc_sabre|Орочья сабля
itm_orc_battle_axe|Боевой топор орков
itm_orc_axe|Орочий топор
itm_orc_two_handed_axe|Большой орочий топор
itm_orc_throwing_axes|Орочьи метательные топоры
itm_orc_bow|Орочий лук
itm_orc_shield_a|Простой щит
itm_orc_shield_b|Меховой щит
itm_orc_shield_c|Меховой башенный щит
itm_mordor_orc_shield_a|Мордорский орочий щит
itm_mordor_orc_shield_b|Мордорский орочий щит
itm_mordor_orc_shield_c|Мордорский орочий щит
itm_mordor_orc_shield_d|Мордорский орочий щит
itm_mordor_orc_shield_e|Мордорский орочий щит
itm_mordor_uruk_shield_a|Мордорский урукский щит
itm_mordor_uruk_shield_b|Мордорский урукский щит
itm_mordor_uruk_shield_c|Мордорский урукский щит
itm_mordor_man_shield_a|Мордорский человеческий щит
itm_mordor_man_shield_b|Мордорский человеческий щит
itm_angmar_shield|Ангмарский щит
itm_orc_nosehelm|Орочий шлем с наносником
itm_orc_kettlehelm|Орочий шлем-котел
itm_orc_buckethelm|Орочий шлем-горшок
itm_orc_morion|Орочий морион
itm_orc_beakhelm|Орочий шлем с клювом
itm_orc_bughelm|Орочий шлем жука
itm_orc_visorhelm|Орочий шлем с прорезью
itm_m_orc_light_a|Мордорская орочья лёгкая броня
itm_m_orc_light_b|Мордорская орочья лёгкая броня
itm_m_orc_light_c|Мордорская орочья лёгкая броня
itm_m_orc_light_d|Мордорская орочья лёгкая броня
itm_m_orc_light_e|Мордорская орочья лёгкая броня
itm_m_orc_heavy_a|Мордорская орочья тяжёлая броня
itm_m_orc_heavy_b|Мордорская орочья тяжёлая броня
itm_m_orc_heavy_c|Мордорская орочья тяжёлая броня
itm_m_orc_heavy_d|Мордорская орочья тяжёлая броня
itm_m_orc_heavy_e|Мордорская орочья тяжёлая броня
itm_m_uruk_light_a|Урукская броня
itm_m_uruk_light_b|Урукская кожаная броня
itm_m_uruk_light_c|Урукская лёгкая кольчуга
itm_m_uruk_med_a|Урукская усиленная кожанка
itm_m_uruk_med_b|Урукская тяжёлая кольчуга
itm_m_uruk_med_c|Урукская лёгкая чешуйчатая броня
itm_m_uruk_heavy_a|Урукская тяжёлая чешуйчатая броня
itm_m_uruk_heavy_b|Урукская пластинчатая броня
itm_m_uruk_heavy_c|Доспех Лугбурза
itm_m_cap_armor|Мордорская броня полководца
itm_black_num_armor|Броня чёрного нуменорца
itm_m_armor_a|Мордорская броня
itm_m_armor_b|Мордорская броня
itm_evil_light_armor|Устрашающее одеяние
itm_uruk_helm_a|Урукский шлем
itm_uruk_helm_b|Урукский шлем
itm_uruk_helm_c|Урукский шлем с клювом
itm_uruk_helm_d|Урукский устрашающий шлем
itm_uruk_helm_e|Урукский шлем с маской
itm_uruk_helm_f|Урукский шлем
itm_mordor_cap_helm|Мордорский шлем полководца
itm_mordor_helm|Мордорский шлем
itm_black_num_helm|Шлем чёрного нуменорца
itm_mordor_sword|Мордорский меч-полутораручник
itm_mordor_longsword|Мордорский меч
itm_moria_armor_a|Морийский нагрудник
itm_moria_armor_b|Морийский нагрудник с наплечниками
itm_moria_armor_c|Морийская орочья кольчуга
itm_moria_armor_d|Морийская проклёпанная кожаная броня
itm_moria_armor_e|Морийская орочья тяжёлая кольчуга
itm_moria_orc_shield_a|Великий Щит Мории
itm_moria_orc_shield_b|Морийский орочий щит
itm_moria_orc_shield_c|Морийский орочий щит
itm_gundabad_armor_a|Гундабадские орочьи лохмотья
itm_gundabad_armor_b|Гундабадская орочья меховая одежда
itm_gundabad_armor_c|Гундабадская орочья броня
itm_gundabad_armor_d|Гундабадская орочья броня
itm_gundabad_armor_e|Гундабадская орочья тяжёлая броня
itm_gundabad_helm_a|Кожаная шапка
itm_gundabad_helm_b|Кожаный шлем
itm_gundabad_helm_c|Гундабадский шлем
itm_gundabad_helm_d|Гундабадский шлем
itm_gundabad_helm_e|Шлем волчьего наездника
itm_dunland_wolfboots|Дунландские волчьи ботинки
itm_dunland_tunic_1|Дунландская кожаная туника
itm_dunland_tunic_2|Дунландская кожаная туника
itm_dunland_fur_1|Дунландский мех
itm_dunland_fur_2|Дунландский мех
itm_dunland_mail_1|Дунландский хауберк
itm_dunland_mail_2|Дунландский хауберк
itm_dunland_chieftain|Дунландская броня вождя
itm_dun_helm_a|Дунландский волчий шлем
itm_dun_helm_b|Дунландская меховая шапка
itm_dun_helm_c|Дунландский высокий шлем
itm_dun_helm_d|Дунландский высокий шлем
itm_dun_helm_e|Дунландский Олений Шлем
itm_dun_shield_a|Дунландский круглый щит 
itm_dun_shield_b|Дунландский овальный щит
itm_dun_berserker|Меч дунландского вождя
itm_dunnish_antler_axe|Дунландский топор из оленьего рога
itm_dunnish_war_axe|Дунландский боевой топор
itm_dunnish_axe|Дунландский топор
itm_dunland_spear|Дунландское копьё
itm_dunnish_pike|Дунландская пика
itm_rohan_cav_sword|Роханский кавалерийский меч
itm_rohan_inf_sword|Роханский меч
itm_rohan_spear|Роханское копьё
itm_rohan_lance|Роханское кавалерийское копьё
itm_rohan_sword_c|Роханский меч
itm_rohirrim_short_axe|Роханский топорик
itm_rohirrim_long_hafted_axe|Роханский большой топор
itm_rohan_2h_sword|Роханский боевой меч
itm_rohan_recruit|Роханская подбитая куртка
itm_rohan_leather|Роханский кожаный нагрудник
itm_rohan_mail|Роханский хауберк
itm_rohan_rider|Роханская броня всданика
itm_rohan_scale|Роханская чешуйчатая броня
itm_rohan_surcoat|Роханский сюртук
itm_rohan_guard|Роханская броня стражника
itm_rohan_light_helmet_a|Роханский лёгкий шлем
itm_rohan_light_helmet_b|Роханский лёгкий шлем
itm_rohan_inf_helmet_a|Роханский шлем с прорезью
itm_rohan_inf_helmet_b|Роханский шлем с прорезью
itm_rohan_archer_helmet_a|Роханский шлем с наносником
itm_rohan_archer_helmet_b|Роханский шлем с наносником
itm_rohan_archer_helmet_c|Роханский шлем стражника
itm_rohan_shield_a|Роханский щит
itm_rohan_shield_b|Роханский щит
itm_rohan_shield_c|Роханский щит
itm_rohan_shield_d|Роханский щит
itm_rohan_shield_e|Роханский щит
itm_rohan_shield_f|Роханский щит
itm_rohan_shield_g|Роханский королевский щит
itm_rohan_light_greaves|Роханские лёгкие поножи
itm_rohirrim_war_greaves|Роханские боевые поножи
itm_mirkwood_leather|Кожаная броня Лесных эльфов
itm_mirkwood_pad|Зеленолесская стёганая куртка
itm_mirkwood_mail|Зеленолесская Кольчуга
itm_mirkwood_scale|Зеленолесская Лёгкая Чешуйчатая Броня
itm_mirkwood_heavy_scale|Чешуйчатый Доспех Зеленолесья
itm_mirkwood_sword|Меч Лесных эльфов
itm_mirkwood_great_spear|Зеленолесское большое копьё
itm_mirkwood_war_spear|Зеленолесское боевое копьё
itm_mirkwood_short_spear|Копьё Лесных эльфов
itm_mirkwood_knife|Кинжал Лесных эльфов
itm_mirkwood_axe|Топор Лесных эльфов
itm_mirkwood_spear_shield_a|Щит Лесных эльфов
itm_mirkwood_spear_shield_b|Зеленолесский боевой щит
itm_mirkwood_spear_shield_c|Круглый Щит Лесных Эльфов
itm_mirkwood_helm_a|Шлем Лучника Лесных Эльфов
itm_mirkwood_helm_b|Зеленолесский шлем
itm_mirkwood_helm_c|Зеленолесский тяжёлый шлем
itm_mirkwood_helm_d|Зеленолесский королевский шлем
itm_woodelf_leather_boots|Кожаные ботинки Лесных эльфов
itm_mirkwood_boots|Лесные Ботинки
itm_harad_tunic|Харадская одежда
itm_harad_padded|Харрадская подбитая куртка
itm_harad_lamellar|Харадский чешуйчатый нагрудник
itm_harad_heavy_lamellar|Харадский тяжёлый чешуйчатый нагрудник
itm_harad_heavy|Броня-харасьяла
itm_harad_pectoral|Харадский нагрудник
itm_black_snake_armor|Броня-маранка
itm_harad_champion|Дальнехарадская одежда
itm_harad_scale|Харадская чешуйчатая броня
itm_harad_lion_scale|Львиная броня стражи
itm_harad_dragon_helm|Шлем-килока
itm_harad_cav_helm_a|Харондорский Легкий Шлем
itm_harad_cav_helm_b|Харондорский Легкий Шлем
itm_black_snake_helm|Шлем-маранка
itm_harad_finhelm|Харадский Шлем Тяжелого Пехотинца
itm_harad_heavy_inf_helm|Харадский Шлем Пехотинца
itm_harad_wavy_helm|Харадский конический шлем
itm_harad_eaglehelm|Шлем Орлиной гвардии
itm_lion_helm|Шлем Львиной гвардии
itm_harad_pantherhelm|Шлем Гвардии пантеры
itm_harad_khopesh|Харадский хопеш
itm_black_snake_sword|Харадский меч кобры
itm_harad_heavy_sword|Харадский драконий меч
itm_horandor_a|Харадский ятаган
itm_skirmisher_sword|Харадский меч застрельщика
itm_harad_sabre|Харадский меч саламандры
itm_harad_mace|Дальнехарадская булава
itm_far_harad_2h_mace|Дальнехарадская двуручная булава
itm_harad_dagger|Харадский кинжал
itm_harad_short_spear|Харадское короткое копьё
itm_harad_long_spear|Харадское копьё
itm_eagle_guard_spear|Копьё-харасьяла
itm_harad_long_shield_a|Харадский леопардовый щит
itm_harad_long_shield_b|Харадский бронзовый щит
itm_harad_long_shield_c|Харадский солнечный щит
itm_harad_long_shield_d|Харадский змеиный щит
itm_harad_long_shield_e|Харадский змеиный щит
itm_harad_shield_a|Харондорский щит
itm_harad_shield_b|Харондорский баклер
itm_harad_shield_c|Харондорский баклер
itm_harad_yellow_shield|Харадский щит
itm_desert_boots|Пустынные сапоги
itm_harad_leather_greaves|Харадские кожаные поножи
itm_harad_scale_greaves|Харадские поножи
itm_harad_lamellar_greaves|Харадские кольчатые поножи
itm_khand_inf_helm_a|Хандский шлем
itm_khand_inf_helm_b|Хандский шлем
itm_khand_inf_helm_c1|Хандский шлем-чаша
itm_khand_inf_helm_c2|Хандский шлем-чаша
itm_khand_inf_helm_d|Хандский конический шлем 
itm_khand_cav_helm_a|Хандский шлем всадника
itm_khand_cav_helm_b|Хандский шлем всадника
itm_khand_cav_helm_c|Хандский украшенный шлем
itm_khand_helm_mask|Хандская маска
itm_khand_light|Хандская юбка
itm_khand_light_lam|Хандская лёгкая броня пехотинца
itm_khand_foot_lam|Хандская тяжёлая броня пехотинца
itm_khand_med_lam|Хандский средний ламеллярный доспех
itm_khand_heavy_lam|Хандский тяжёлый ламеллярный доспех
itm_khand_mail|Хандский гонец
itm_khand_noble_lam|Хандская броня знатного воина
itm_khand_axe_great|Хандский большой топор
itm_khand_axe_winged|Хандский крылатый топор
itm_khand_halberd|Хандская алебарда
itm_khand_trident|Хандский трезубец
itm_khand_voulge|Хандский вуж
itm_khand_mace1|Хандская булава
itm_khand_mace2|Хандская булава
itm_khand_throwing_axe|Хандский метательный топор
itm_khand_rammace|Хандская "баранья" булава
itm_khand_pitsword|Меч поединщика
itm_khand_tulwar|Хандский тальвар
itm_khand_2h_tulwar|Кхандская великая сабля
itm_khand_lance|Хандское кавалерийское копьё
itm_easterling_round_horseman|Истерлингский круглый щит
itm_variag_gladiator_shield|Истерлингский щит
itm_easterling_hawk_shield|Истерлингский соколиный щит
itm_rhun_bull1_shield|Рунийский щит
itm_rhun_bull2_shield|Рунийский щит
itm_rhun_bull3_shield|Рунийский щит
itm_rhun_shield|Рунийский каплевидный щит
itm_rhun_armor_a|Рунийское лёгкое боевое одеяние
itm_rhun_armor_b|Рунийское лёгкое боевое одеяние
itm_rhun_armor_d|Рунийское лёгкое боевое одеяние
itm_rhun_armor_g|Рунийское тяжёлое боевое одеяние
itm_rhun_armor_h|Рунийское тяжёлое боевое одеяние
itm_rhun_armor_j|Рунийское среднее боевое одеяние
itm_rhun_armor_m|Рунийское среднее боевое одеяние
itm_rhun_armor_n|Рунийское среднее боевое одеяние
itm_rhun_armor_o|Рунийское среднее боевое одеяние
itm_rhun_armor_p|Рунийская броня знатного воина
itm_rhun_armor_k|Рунийская броня знатного воина
itm_rhun_helm_chieftain|Рунийский шлем вождя
itm_rhun_helm_pot|Рунийский шлем-котелок
itm_rhun_helm_barbed|Рунийский шлем с шипами
itm_rhun_helm_round|Рунийский круглый шлем
