ip_battle_formations|Формирования в сражениях: TLD ИИ Формирований
ip_starting_tips_text|Вы выбираете свою фракцию в самом начале и не можете изменить ее позже. Вы также можете выбирать из разных рас: людей, эльфов, гномов, уруков, Урук-хай или орков. Помните, что и фракция, и раса, которую Вы выберете, будут определенным образом ограничивать Вас. Некоторые фракции предоставляют отличных солдат, но в небольшом количестве. У некоторых слабые войска, но Вы можете нанять многих. Маленькие орки не могут носить доспехи, предназначенные для больших парней, но вместо этого могут ездить верхом на некоторых зверях. Гномы обладают исключительным снаряжением, но не могут ездить верхом.\n\nЭто не предназначено для того, чтобы быть полностью (искусственно) сбалансированным. Играть за более слабые расы или фракции может быть сложнее (в качестве первой игры Вы, возможно, захотите выбрать опции в главном меню, которые расположены в верхней части списка альтернатив).\n\nВы выбираете фракцию и сражаетесь за нее до тех пор, пока Ваша сторона не выиграет Великую войну или пока Ваша фракция не будет уничтожена. В этом случае Вы все еще можете продолжать сражаться за своих союзников.\n\n- бесцельно бродить - не лучшая идея, война требует целеустремленности с Вашей стороны. Перед началом войны Вы пытаетесь собрать отряд воинов, получить компаньонов с низкими требованиями и некоторое снаряжение, чтобы быть наготове. После начала войны Ваши стратегии могут измениться. Помните, важно как помогать своим союзникам, так и уничтожать врага. \n - выполнение миссий для лордов фракций - хороший способ подняться в ранге и получить очки снабжения и влияния.\n- выполняйте несколько миссий / квестов одновременно, спрашивайте всех! Вы часто можете "сделать обход" и выполнить несколько других действий, например, доставляя письмо. Не теряйте времени даром!
ip_rumours_and_legendary_places|Слухи и легендарные места
ip_rumours_and_legendary_places_text|Разговаривая с местными жителями, вы можете узнать их точку зрения на происходящие события. Иногда в таких беседах может всплыть информация, которая поможет вам обнаружить специальные легендарные места на мировой карте.^^Некоторые из них можно только осмотреть, в некоторых вас ждут уникальные квесты и пасхалки. Если в разговоре вам откроют местоположение такой локации, вы увидите специальное сообщение.
ip_trolls|Тролли
; ip_trolls_text|Trolls are very powerful. Evil players can only recruit them by spending influence points. Untrained trolls can become uncontrollable or even run amok!^^If you're looking for trolls as a mission, they can be found roaming around settlements they've been harassing (although friendly parties sometimes drive them further away, or outright deal with them before you do), or they roam the Misty Mountains, mostly nearby to their home caves.
ip_custom_camera|Настраиваемая камера
ip_custom_camera_text|Последние Дни Третьей Эпохи внедрила пользовательскую камеру, чтобы обойти текущее ограничение камеры в отношении более коротких рас (например, орков и гномов). Он прост в использовании, но может потребоваться некоторое время, чтобы привыкнуть к нему.^^ Существует 2 режима: Фиксированное положение и Свободный режим.^^Фиксированное положение - это оптимальное положение для всех гонок, однако его нельзя настроить.^^ Камера в свободном режиме помещает персонажа в середину экрана. Эта камера может быть настроена в соответствии с предпочтениями игрока. При прицеливании во время стрельбы из лука или метания он возвращается к камере по умолчанию для лучшего прицеливания (что вначале может быть довольно сложно, но к этому можно привыкнуть). После использования снаряда он возвращается к пользовательской камере.^^^ Элементы управления: ^^ Нажмите клавиши Ctrl + End вместе, чтобы переключаться между тремя различными режимами камеры: Камера по умолчанию / Фиксированная камера / Камера в свободном режиме.^^ Находясь в режиме "Камера в свободном режиме", нажмите и удерживайте клавишу Ctrl и стрелку Вверх (или стрелку Вниз), чтобы отрегулировать высоту камеры (наклон).^^Находясь в режиме "Камера в свободном режиме", нажмите и удерживайте клавиши Ctrl и Numpad + (или Numpad -), чтобы отрегулировать расстояние до камеры (масштабирование).^^ Кроме того, вы также можете нажать Shift во время перемещения / масштабирования камеры, чтобы включить сглаживание.^^В режиме "Камера с фиксированным режимом", Нажмите Ctrl и стрелки влево / вниз / вправо, чтобы переключить вид между левым плечом / центральным / правым плечом.
ip_sieges|ИИ осады
; ip_sieges_text|The Last Days of the Third Age has an Advanced Siege AI, vastly different from Native. All attackers and defenders will be distributed to the left and right flanks and the center. Players command some of their own troops. Troops from your party will also join when they're near to the player. Use them wisely to help out where needed most.^^In order to win a siege attack, you must conquer all three defender reinforcement points. You can only take a reinforcement point if the defenders have already rallied there.
; ip_battle_terrain|Battle Effects: Terrain and Weather
; ip_battle_terrain_text|Terrain and weather can have a big effect on the outcome of a battle. Difficult terrain like forests or marshland makes it different to move and fight, but light-armored troops (generally indicated by a higher athletics skill) suffer much less.^^The player and companion NPCs suffer a terrain penalty based on their equipment weight and agility attribute.^^Special "magical" weather effects can apply in certain areas. These can strengthen or weaken your troops.
; ip_night_penalty|Battle Effects: Day and Night
; ip_night_penalty_text|Orcs and trolls hate the sun, but love the darkness of the night. In some regions, tall mountains or dim forests block out the sun and make fighting at daylight more bearable for orcs.^Uruks und Uruk-hai fight and run equally well at night or day.^Other races fight worse at night than they do at day, Men more so than Elves or Dwarves. However, some Men are accustomed to fighting in the dark and suffer no penalty.^^Underground battles are especially difficult. Orcs, Uruks, trolls and Dwarves don't mind fighting in dark tunnels.
