qstr_Received_{reg0}_dama|Ricevuti {reg0} danni.
qstr_+2_to_Tactics|+2 in Tattica
qstr_+1_Intelligence|+1 in Intelligenza
qstr_+{reg1}_to_Spotting|+{reg1} in Avvistamento
qstr__Scales_with_Wildcra|(Scaglie Mimetiche)
qstr_Strengthens_all_Hero|Rafforza tutti gli Eroi
qstr_+2_to_First_Aid__Par|+2 in Primo Soccorso (Compagnia)
qstr_lead_more_Uruks|Comanda più Uruk
qstr_+1_to_Power_Throw|+1 in Potenza di Lancio
qstr_Recruit_Black_Numeno|Recluta Numenoreani Neri da vari luoghi
qstr__Scales_with_Charism|(Bilancia con il Carisma. Solo per comandanti umani.)
qstr_+1_to_Spotting|+1 in Avvistamento
qstr_+2_to_Weapon_Master|+2 in Maestria nelle armi
qstr_+2_to_First_Aid|+2 in Primo soccorso
qstr_Less_Dunnish_upkeep|Minore gestione Dunlandiana
qstr_Less_Wargs_upkeep|Minore gestione Wargs
qstr_Light_Armor|Armatura Leggera
qstr_Bonus_to_Strength__P|Bonus alla Forza (Solo per il personaggio)
qstr_Lead_more_Orcs|Comanda più Orchi
qstr_Can_scare_horses|Può spaventare i cavalli
qstr_+{reg1}_to_Party_Mor|+{reg1} al morale della compagnia
qstr_Range:_{reg55}|Portata: {reg55}
qstr_Dwarves|Nani
qstr_Humans_and_Elves|Uomini ed Elfi
qstr_Orcs|Orchi
qstr_Uruks_and_Uruk_Hai|Uruks e Uruk-Hai
qstr_Humans_Uruks_and_Uru|Uomini, Uruks, e Uruk-Hai
qstr_Humans|Uomini
qstr_This_item_can_be_use|Questo oggetto può essere usato da {s2}
qstr_Do_you_want_to_disem|Vuoi sbarcare ?
qstr_Move_here|Vai qui
qstr_View_notes|Controlla le note
qstr_Looted_your_items|Hanno i tuoi oggetti
qstr_nothing|Niente
qstr_Good|Bene
qstr_Med|Mediamente forte
qstr_Bad|Cattivo
qstr_You_gained_{reg84}_e|Hai guadagnato {reg84} Punti Esperienza bonus per la tua Intelligenza.
qstr_You_gained_{reg84}_w|Hai guadagnato {reg84}  punti arma per la tua agilità.
qstr_{reg4}_killed_{reg5}|{reg4} uccisi, {reg5} feriti, {reg6} in rotta
qstr_{reg4}_killed_{reg5}_|{reg4} uccisi, {reg5} feriti
qstr_{reg4}_killed_{reg5}_r|{reg4} uccisi, {reg5} in rotta
qstr_{reg4}_wounded_{reg5|{reg4} feriti, {reg5} in rotta
qstr_killed|ucciso
qstr_routed|in rotta
qstr_wounded|feriti
qstr_{s0}^TOTAL:_{reg3}__|{s0}^TOTALE: {reg3} ({s2})
qstr_^None|^Nessuno
qstr_near_the_Great_East_|vicino alla Grande Strada dell'Est, la vecchia strada abbandonata
qstr_near_what_is_left_of|vicino a quello che è rimasto della vecchia Strada della Foresta, l'antico sentiero dei nani che consente di attraversare la fitta foresta
qstr_close_to_the_Hand_sh|vicino al segno a forma di mano di Saruman, puntando verso la torre di Orthanc
qstr_in_sight_of_the_maje|in vista delle maestose mura della città di Minas Tirith, la Città Bianca
qstr_in_sight_of_Edoras_t|In vista di Edoras, la capitale di Rohan
qstr_in_sight_of_the_Horn|In vista del Fosso di Helm, la grande fortezza di Rohan
qstr_in_sight_of_Dol_Amro|in vista di Dol Amroth, la sede dei Principi di Belfalas
qstr_in_sight_of_the_Mora|in vista del Morannon, il Nero Cancello di Mordor
qstr_in_sight_of_Dol_Guld|in vista di Dol Guldur, la fortezza settentrionale di Sauron
qstr_on_the_green_pasture|sui verdi pascoli e sui prati sontuosamente fioriti che circondano la Casa di Beorn
qstr_on_the_shores_of_Lak|sulle rive del Mirolago, nei pressi del Cancello Orientale di Moria
qstr_on_the_shores_of_the|sulle rive di Lago Lungo, in vista di Esgaroth, la Città del Lago
qstr_near_the_coast_of_Go|nei pressi della costa di Gondor. Puoi sentire il suono distante delle onde e le grida dei gabbiani.
qstr_in_the_outskirts_of_|nella periferia di Osgiliath, l'antica capitale di Gondor
qstr_in_sight_of_the_entr|in vista dell'ingresso di Erebor, la fortezza nanica
qstr_in_sight_of_the_dark|in vista della Torre Oscura di Orthanc
qstr_near_the_Old_Ford_wh|vicino al Vecchio Guado, dove la Vecchia Strada della Foresta attraversa il fiume Anduin
qstr_near_a_big_ford_cros|vicino ad un grande guado che attraversa il fiume {s15}
qstr_near_a_small_ford_cr|vicino ad un piccolo guado che attraversa il fiume {s15}
