pt_rescued_prisoners|Prigionieri Liberati
pt_dale_company|Compagnia di Dale
pt_dwarf_company|Compagnia di Nani
pt_gondor_elite_company|Compagnia scelta di Gondor
pt_rohan_elite_company|Compagnia scelta di Rohan
pt_imladris_elite_company|Compagnia scelta di Gran Burrone
pt_lorien_elite_company|Compagnia scelta di Lothlórien
pt_woodelf_elite_company|Compagnia scelta di Bosco Atro
pt_dale_elite_company|Compagnia scelta di Dale
pt_dwarf_elite_company|Compagnia scelta di Nani
pt_gondor_caravan|Carovana di Gondor
pt_rohan_caravan|Carovana di Rohan
pt_imladris_caravan|Carovana di Gran Burrone
pt_lorien_caravan|Carovana di Lothlórien
pt_woodelf_caravan|Carovana di Bosco Atro
pt_dale_caravan|Carovana di Dale
pt_dwarf_caravan|Carovana di Nani
pt_mordor_caravan|Convoglio di rifornimenti di Mordor
pt_isengard_caravan|Convoglio di rifornimenti di Isengard
pt_gunda_caravan|Convoglio di rifornimenti di Gundabad
pt_gondor_p_train|Convoglio di prigionieri di Gondor
pt_rohan_p_train|Convoglio di prigionieri di Rohan
pt_imladris_p_train|Convoglio di prigionieri di Gran Burrone
pt_lorien_p_train|Convoglio di prigionieri di Lothlórien
pt_woodelf_p_train|Convoglio di prigionieri di Bosco Atro
pt_dale_p_train|Convoglio di prigionieri di Dale
pt_dwarf_p_train|Convoglio di prigionieri Nani
pt_mordor_p_train|Convoglio di prigionieri di Mordor
pt_isengard_p_train|Convoglio di prigionieri di Isengard
pt_kingdom_hero_party|Compagnia da Guerra
pt_caravan_survivors|Sopravvissuti della Carovana
pt_routed_allies|Alleati in Rotta
pt_routed_enemies|Nemici in Rotta
pt_legion_minas_morgul|Legione di Minas Morgul
pt_legion_udun|Legione dell'Udûn
pt_legion_gorgoroth|Legione del Gorgoroth
pt_legion_barad_dur|Legione di Barad-dûr
pt_beorn_messenger|Messaggero di Beorn
pt_village|Villaggio
pt_ring_hunters|Cacciatori dell'Anello
