itm_horse_meat|Carne di cavallo
itm_arnor_helm_b|Elmo di Arnor
itm_arnor_helm_a|Elmo Arnoriano Leggero
itm_arnor_light_a|Farsetto da Ranger Dúnedain
itm_arnor_light_b|Maglia da Ranger Dúnedain
itm_arnor_med_a|Mantella da Ranger Dúnedain
itm_arnor_med_b|Cotta di Maglia Dúnedain
itm_arnor_heavy|Alta armatura Arnoriana 
itm_arnor_greaves|Gambali Arnoriani
itm_arnor_shield_c|Scudo da cavalleria di Arnor
itm_arnor_shield_a|Scudo Rotondo Arnoriano
itm_arnor_sword_c|Spada da Guerra di Arnor
itm_arnor_sword_a|Spada bastarda di Arnor
itm_arnor_sword_f|Spada corta di Arnor
itm_riv_helm_a|Calotta di Cuoio di Gran Burrone
itm_riv_helm_b|Elmo da arciere di Gran Burrone
itm_riv_helm_c|Elmo da fante di Gran Burrone
itm_tiara_reward|Tiara da Elfo nobile
itm_riv_shield_a|Scudo di Gran Burrone
itm_riv_shield_b|Scudo di Gran Burrone
itm_riv_bas_sword|Spada bastarda di Gran Burrone
itm_riv_1h_sword|Spada di Gran Burrone
itm_riv_riding_sword|Spada Lunga di Gran Burrone
itm_riv_archer_sword|Spada Corta di Gran Burrone
itm_riv_spear|Lancia di Gran Burrone
itm_riv_light|Tunica di Gran Burrone
itm_riv_leather|Armatura di Cuoio di Gran Burrone
itm_riv_foot_mail|Maglia di Gran Burrone
itm_riv_foot_scale|Armatura a Scaglie di Gran Burrone
itm_riv_surcoat|Sorcotto di Gran Burrone
itm_riv_knight|Armatura da Cavaliere di Gran Burrone
itm_riv_armor_h_archer|Armatura di Gran Burrone
itm_riv_boots|Stivali di Gran Burrone
itm_gon_footman|Cotta di maglia di Gondor
itm_gon_jerkin|Giustacuore di Gondor
itm_gon_regular|Maglia pesante di Gondor
itm_gon_bowman|Trapunta di Gondor
itm_gon_archer|Trapunta con mantello di Gondor
itm_gon_noble_cloak|Giustacuore Nobiliare di Gondor
itm_gon_squire|Maglia con mantello di Gondor
itm_gon_knight|Maglia pesante con mantello di Gondor
itm_gon_ranger_cloak|Mantello da ramingo di Gondor
itm_gon_ranger_skirt|Gonnella da ramingo di Gondor
itm_gon_steward_guard|Armatura della guardia del Sovrintendente
itm_gon_tower_guard|Armatura da guardia della torre di Gondor
itm_gon_tower_knight|Armatura da cavaliere della torre di Gondor
itm_gon_leader_surcoat_cloak|Sopravveste da comandante di Gondor
itm_gondor_ranger_hood|Cappuccio verde
itm_gondor_ranger_hood_mask|Cappuccio da ramingo di Gondor
itm_gondor_light_greaves|Gambali in Cuoio Gondoriani
itm_gondor_med_greaves|Gambali Medi Gondoriani
itm_gondor_heavy_greaves|Gambali di Maglia Gondoriani
itm_gondor_auxila_helm|Elmo Leggero Gondoriano
itm_gondorian_archer_helm|Elmo da Arciere Gondoriano
itm_tower_archer_helm|Elmo da arciere della torre
itm_gondor_leader_helm|Alto elmo di Gondor
itm_tower_guard_helm|Elmo da guardia della torre
itm_gondor_citadel_knight_helm|Elmo da cavaliere della cittadella
itm_gondor_infantry_helm|Elmo da fante di Gondor
itm_gondor_knight_helm|Elmo da Cavaliere Gondoriano
itm_gondor_dolamroth_helm|Elmo di Dol Amroth
itm_swan_knight_helm|Elmo da Cavaliere Cigno
itm_gondor_lamedon_helm|Elmo del Lamedon
itm_gondor_lamedon_leader_helm|Elmo alto del Lamedon
itm_blackroot_archer|Gambesone Ammantato della Valle Cepponero
itm_blackroot_bowman|Giustacuore Ammantato della Valle Cepponero
itm_blackroot_footman|Giustacuore della Valle Cepponero
itm_blackroot_warrior|Gambeson della Valle Cepponero
itm_blackroot_leader|Cotta di Maglia della Valle Cepponero
itm_blackroot_hood|Cappuccio Nero
itm_dol_hauberk|Usbergo di Dol Amroth
itm_dol_heavy_mail|Maglia pesante di Dol Amroth
itm_dol_padded_coat|Mantello Imbottito di Dol Amroth
itm_dol_shirt|Maglia di Dol Amroth
itm_dol_very_heavy_mail|Maglia molto pesante di Dol Amroth
itm_dol_greaves|Stivali di Dor Amroth
itm_dol_shoes|Stivali leggeri di Dol Amroth
itm_lamedon_clansman|Armatura clan di Lamedon
itm_lamedon_footman|Armatura da fante del Lamedon
itm_lamedon_knight|Armatura da cavaliere del Lamedon
itm_lamedon_leader_surcoat_cloak|Armatura da condottiero del Lamedon
itm_lamedon_warrior|Armatura da guerriero del Lamedon
itm_lamedon_veteran|Armatura da veterano del Lamedon
itm_lamedon_vet_warrior|Armatura da guerriero veterano del Lamedon
itm_lamedon_hood|Cappuccio
itm_pinnath_archer|Armatura da arciere delle Pinnath Gelin
itm_pinnath_footman|Armatura da fante delle Pinnath Gelin
itm_pinnath_leader|Armatura da Cavaliere di Pinnath Gelin
itm_pinnath_vet_footman|Armatura da fante delle Pinnath Gelin
itm_pinnath_warrior|Armatura da guerriero delle Pinnath Gelin
itm_pel_footman|Armatura da fante di Pelargir
itm_pel_jerkin|Giustacuore di Pelargir
itm_pel_leader|Armatura da condottiero di Pelargir
itm_pel_marine|Fante di Marina di Pelargir
itm_pelargir_marine_leader|Condottiero della marina di Pelargir
itm_pelargir_regular|Regolare di Pelargir
itm_pelargir_hood|Cappuccio Bianco
itm_pelargir_helmet_light|Elmo di Pelargir
itm_pelargir_helmet_heavy|Elmo pesante di Pelargir
itm_pelargir_greaves|Gambali di Pelargir
itm_lossarnach_shirt|Maglia di Lossarnach
itm_lossarnach_axeman|Armatura da Uomo con Ascia di Lossarnach
itm_lossarnach_leader|Armatura da Condottiero di Lossarnach
itm_lossarnach_vet_axeman|Armatura da Uomo con Ascia Veterano di Lossarnach
itm_lossarnach_vet_warrior|Armatura da Guerriero Veterano di Lossarnach
itm_lossarnach_warrior|Armatura da Guerriero di Lossarnach
itm_lossarnach_cloth_cap|Cappello di Stoffa di Lossarnach
itm_lossarnach_leather_cap|Cappello di Cuoio di Lossarnach
itm_lossarnach_scale_cap|Cappello di Scaglie di Lossarnach
itm_lossarnach_greaves|Gambali di Lossarnach
itm_gondor_shield_a|Scudo Quadrato di Gondor
itm_gondor_shield_b|Scudo a Mandorla di Gondor
itm_gondor_shield_c|Scudo a Torre di Gondor
itm_gondor_shield_d|Scudo a Mandorla di Gondor
itm_gondor_shield_e|Scudo della Cittadella di Gondor
itm_gon_tab_shield_a|Scudo Araldico Rotondo di Gondor
itm_gon_tab_shield_b|Scudo Araldico Quadrato di Gondor
itm_gon_tab_shield_c|Scudo Araldico a Mandorla di Gondor
itm_gon_tab_shield_d|Scudo a Torre Araldico di Gondor
itm_amroth_sword_a|Spada di Dol Amroth
itm_amroth_sword_b|Spada da Cavaliere di Dol Amroth
itm_gondor_sword|Spada da Fanteria di Gondor
itm_amroth_bastard|Spada Cigno di Dol Amroth
itm_gondor_short_sword|Eket di Linhir
itm_pelargir_eket|Eket di Pelargir
itm_pelargir_sword|Spada di Pelargir
itm_gondor_ranger_sword|Spada da Ramingo di Gondor
itm_gondor_2h_sword|Spada da Guerra di Gondor
itm_gondor_citadel_sword|Spada della Cittadella di Gondor
itm_gondor_cav_sword|Spada da Cavalleria di Gondor
itm_gondor_spear|Lancia da Fanteria di Gondor
itm_gondor_tower_spear|Lancia della torre di Gondor
itm_gondor_lance|Lancia da Cavalleria di Gondor
itm_loss_axe|Ascia da Battaglia di Gondor
itm_loss_war_axe|Ascia da Guerra di Gondor
itm_lorien_sword_a|Spada Lunga di Lorien
itm_lorien_sword_b|Spada corta di Lorien
itm_lorien_sword_c|Spada da Guerra di Lorien
itm_lorien_archer|Armatura da Arciere di Lorien
itm_lorien_armor_a|Armatura Trapuntata di Lorien
itm_lorien_armor_b|Cotta di Maglia di Lorien
itm_lorien_armor_c|Armatura a Scaglie di Lorien
itm_lorien_boots|Stivali di Lothorien
itm_lorien_shield_b|Scudo a Torre di Lorien
itm_lorien_shield_c|Scudo a Mandorla di Lorien
itm_lorien_round_shield|Scudo Rotondo di Lorien
itm_lorien_helm_a|Elmo da Arciere di Lorien
itm_lorien_helm_b|Elmo da Arciere di Lorien
itm_lorien_helm_c|Elmo da Fanteria di Lorien
itm_orc_coif|Elmo Orchesco
itm_orc_greaves|Stivali di Maglia di Ferro Orcheschi
itm_orc_ragwrap|Stracci Orcheschi
itm_orc_furboots|Stivali di Pelliccia Orcheschi
itm_orc_tribal_a|Pelle Grezza
itm_orc_tribal_b|Pelle Grezza
itm_orc_tribal_c|Pelle Grezza
itm_evil_gauntlets_a|Guanti Neri
itm_evil_gauntlets_b|Guanti d'Arme Neri
itm_isen_orc_light_a|Bardatura Leggera Orchesca di Isengard
itm_isen_orc_light_b|Bardatura Leggera Orchesca di Isengard
itm_isen_orc_pad_a|Armatura Leggera Segmentata Orchesca di Isengard
itm_isen_orc_pad_b|Armatura Media Segmentata Orchesca  di Isengard
itm_isen_orc_mail_a|Maglia di Ferro Orchesca di Isengard
itm_isen_orc_mail_b|Armatura Segmentata Pesante Orchesca di Isengard
itm_isen_uruk_light_a|Bardatura Leggera Uruk--Hai
itm_isen_uruk_light_b|Bardatura da Battaglia Uruk--Hai
itm_isen_uruk_light_c|Bardatura da Berserker Uruk--Hai
itm_isen_uruk_med_a|Armatura Segmentata Leggera Uruk--Hai
itm_isen_uruk_med_b|Maglia in Ferro Uruk-hai
itm_isen_uruk_heavy_a|Armatura Segmentata Media Uruk--Hai
itm_isen_uruk_heavy_b|Maglia in Ferro Pesante Uruk--Hai
itm_isen_uruk_heavy_c|Armatura Segmentata Completa Uruk--Hai
itm_isen_uruk_heavy_d|Pelle da Braccatore Uruk-Hai
itm_isen_uruk_heavy_e|Pelle da Braccatore Uruk-Hai
itm_uruk_tracker_boots|Stivali da Braccatore Uruk
itm_uruk_greaves|Gambali Uruk
itm_uruk_chain_greaves|Gambali in Maglia di Ferro Uruk
itm_uruk_ragwrap|Stracci Uruk
itm_isen_orc_helm_a|Elmo Orchesco di Isengard
itm_isen_uruk_helm_a|Elmo Uruk-Hai
itm_isen_uruk_helm_d|Elmo da Capitano Uruk-Hai
itm_isen_uruk_helm_e|Elmo da Braccatore Uruk-Hai
itm_uruk_pike_b|Picca di Mordor
itm_uruk_falchion_a|Falcione Uruk
itm_uruk_falchion_b|Grande Scimitarra Orchesca
itm_isengard_sword|Spada di Isengard
itm_isengard_axe|Ascia di Isengard
itm_isengard_hammer|Martello di Isengard
itm_isengard_halberd|Alabarda di Isengard
itm_isengard_mallet|Martello Leggero di Isengard
itm_isengard_heavy_axe|Ascia Pesante di Isengard
itm_isengard_heavy_sword|Spada Pesante di Isengard
itm_isengard_spear|Lancia di Isengard
itm_isengard_pike|Picca di Isengard
itm_isen_orc_shield_a|Scudo da Orco di Isen
itm_isen_orc_shield_b|Scudo da Orco di Isen
itm_isen_uruk_shield_b|Scudo da Uruk di Isen
itm_wood_club|Mazza di Legno
itm_twohand_wood_club|Grossa Mazza di Legno
itm_bone_cudgel|Randello d'Osso
itm_orc_pick|Picca Orchesca
itm_orc_hammer|Martello Malvagio
itm_orc_club_b|Mazza da Fantino di Warg
itm_orc_club_c|Mazza Chiodata Orchesca
itm_orc_club_d|Mazza Malvagia
itm_orc_sledgehammer|Martello da Guerra Orchesco
itm_orc_simple_spear|Lancia Orchesca
itm_orc_skull_spear|Lancia del Teschio Orchesca
itm_orc_bill|Asta Orchesca
itm_orc_slasher|Spada Corta Orchesca
itm_orc_falchion|Falcione Orchesco
itm_orc_scimitar|Scimitarra Orchesca
itm_orc_sabre|Sciabola Orchesca
itm_orc_battle_axe|Ascia da Battaglia Orchesca
itm_orc_axe|Ascia Orchesca
itm_orc_two_handed_axe|Grande Ascia Orchesca
itm_orc_throwing_axes|Asce da Lancio Orchesche
itm_orc_bow|Arco Orchesco
itm_orc_shield_a|Scudo Semplice
itm_orc_shield_b|Scudo con pelliccia
itm_orc_shield_c|Scudo della Torre con Pelliccia
itm_mordor_orc_shield_a|Scudo Orchesco di Mordor
itm_mordor_orc_shield_b|Scudo Orchesco di Mordor
itm_mordor_orc_shield_c|Scudo Orchesco di Mordor
itm_mordor_orc_shield_d|Scudo Orchesco di Mordor
itm_mordor_orc_shield_e|Scudo Orchesco di Mordor
itm_mordor_uruk_shield_a|Scudo da Uruk di Mordor
itm_mordor_uruk_shield_b|Scudo da Uruk di Mordor
itm_mordor_uruk_shield_c|Scudo da Uruk di Mordor
itm_mordor_man_shield_a|Scudo Umano di Mordor
itm_mordor_man_shield_b|Scudo Umano di Mordor
itm_angmar_shield|Scudo di Angmar
itm_orc_nosehelm|Elmo Nasale Orchesco
itm_orc_kettlehelm|Elmo a Pentola Orchesco
itm_orc_buckethelm|Elmo a Secchio Orchesco
itm_orc_morion|Morione Orchesco
itm_orc_beakhelm|Elmo a Becco Orschesco
itm_orc_bughelm|Elmo insetto Orchesco
itm_orc_visorhelm|Elmo con Visiera Orchesco
itm_m_orc_light_a|Armatura Leggera Orchesca di Mordor
itm_m_orc_light_b|Armatura Leggera Orchesca di Mordor
itm_m_orc_light_c|Armatura Leggera Orchesca di Mordor
itm_m_orc_light_d|Armatura Leggera Orchesca di Mordor
itm_m_orc_light_e|Armatura Leggera Orchesca di Mordor
itm_m_orc_heavy_a|Armatura Pesante Orchesca di Mordor
itm_m_orc_heavy_b|Armatura Pesante Orchesca di Mordor
itm_m_orc_heavy_c|Armatura Pesante Orchesca di Mordor
itm_m_orc_heavy_d|Armatura Pesante Orchesca di Mordor
itm_m_orc_heavy_e|Armatura Pesante Orchesca di Mordor
itm_m_uruk_light_a|Bardatura Uruk
itm_m_uruk_light_b|Bardatura di Pelle Uruk
itm_m_uruk_light_c|Maglia Leggera Uruk
itm_m_uruk_med_a|Armatura Pesante in Pelle Uruk
itm_m_uruk_med_b|Maglia Pesante Uruk
itm_m_uruk_med_c|Armatura Leggera Uruk
itm_m_uruk_heavy_a|Armatura Pesante Uruk
itm_m_uruk_heavy_b|Armatura a Piatre Uruk
itm_m_uruk_heavy_c|Armatura a Piastre di Lugburz
itm_m_cap_armor|Armatura da Capitano di Mordor
itm_black_num_armor|Armatura Numeroreana Nera
itm_m_armor_a|Armatura di Mordor
itm_m_armor_b|Armatura di Mordor
itm_evil_light_armor|Vestito Losco
itm_uruk_helm_a|Elmo Uruk
itm_uruk_helm_b|Elmo Uruk
itm_uruk_helm_c|Elmo a Becco Uruk
itm_uruk_helm_d|Elmo a Griglia Uruk
itm_uruk_helm_e|Elmo Uruk Chiuso
itm_uruk_helm_f|Elmo Uruk
itm_mordor_cap_helm|Elmo da Capitano di Mordor
itm_mordor_helm|Elmo di Mordor
itm_black_num_helm|Elmo Numenoreano Nero
itm_mordor_sword|Spada Bastarda di Mordor
itm_mordor_longsword|Spada di Mordor
itm_moria_armor_a|Finimenti Pettorali di Moria
itm_moria_armor_b|Pettorale con Spallacci di Moria
itm_moria_armor_c|Cotta di Maglia Orchesca di Moria
itm_moria_armor_d|Pelle Borchiata di Moria
itm_moria_armor_e|Cotta Pesante Orchesca di Moria
itm_moria_orc_shield_a|Scudo Grande di Moria
itm_moria_orc_shield_b|Scudo Orchesco di Moria
itm_moria_orc_shield_c|Scudo Orchesco di Moria
itm_gundabad_armor_a|Stracci da Orco di Gundabad
itm_gundabad_armor_b|Pelliccia Orchesca di Gundabad
itm_gundabad_armor_c|Armatura da Orco di Gundabad
itm_gundabad_armor_d|Armatura da Orco di Gundabad
itm_gundabad_armor_e|Armatura Orchesca Pesante di Gundabad
itm_gundabad_helm_a|Calotta in Cuoio
itm_gundabad_helm_b|Elmo in Cuoio
itm_gundabad_helm_c|Elmo di Gundabad
itm_gundabad_helm_d|Elmo di Gundabad
itm_gundabad_helm_e|Elmo da CavalcaMannari
itm_dunland_wolfboots|Stivali del Lupo Dunlandiani
itm_dunland_tunic_1|Tunica in Pelle Dunlandiana
itm_dunland_tunic_2|Tunica in Pelle Dunlandiana
itm_dunland_fur_1|Pelliccia Dunlandiana
itm_dunland_fur_2|Pelliccia Dunlandiana
itm_dunland_mail_1|Usbergo Dunlandiano
itm_dunland_mail_2|Usbergo Dunlandiano
itm_dunland_chieftain|Armatura da Capo Dunlandiano
itm_dun_helm_a|Copricapo Lupo Dunlandiano
itm_dun_helm_b|Cappuccio in Pelliccia Dunlandiano
itm_dun_helm_c|Elmo Alto Dunlandiano
itm_dun_helm_d|Elmo Alto Dunlandiano
itm_dun_helm_e|Elmo Ramificato Dunlandiano
itm_dun_shield_a|Scudo Tondo Dunlandiano
itm_dun_shield_b|Scudo Ovale Dunlandiano
itm_dun_berserker|Spada da Capoclan Dunlandiano
itm_dunnish_antler_axe|Ascia in Osso Dunlandiana
itm_dunnish_war_axe|Scure da Guerra Dunlandiana
itm_dunnish_axe|Scure Dunlandiana
itm_dunland_spear|Lancia Dunlandiana
itm_dunnish_pike|Picca Dunlandiana
itm_rohan_cav_sword|Spada Da cavaliere di Rohan
itm_rohan_inf_sword|Spada di Rohan
itm_rohan_spear|Lancia di Rohan
itm_rohan_lance|Lancia di Rohan
itm_rohan_sword_c|Spada di Rohan
itm_rohirrim_short_axe|Ascia Corta dei Rohirrim
itm_rohirrim_long_hafted_axe|Ascia Lunga da Rohirrim
itm_rohan_2h_sword|Spada da Guerra di Rohan
itm_rohan_recruit|Giustacuore Imbottito di Rohan
itm_rohan_leather|Veste in Cuoio di Rohan
itm_rohan_mail|Usbergo di Rohan
itm_rohan_rider|Armatura da Cavallerizzo di Rohan
itm_rohan_scale|Armatura a Scaglie di Rohan
itm_rohan_surcoat|Sopravveste di Rohan
itm_rohan_guard|Armatura da Guardia di Rohan
itm_rohan_light_helmet_a|Elmo Leggero di Rohan
itm_rohan_light_helmet_b|Elmo Leggero di Rohan
itm_rohan_inf_helmet_a|Elmo Guardaocchi di Rohan
itm_rohan_inf_helmet_b|Elmo Guardaocchi di Rohan
itm_rohan_archer_helmet_a|Elmo con Nasale di Rohan
itm_rohan_archer_helmet_b|Elmo con Nasale di Rohan
itm_rohan_archer_helmet_c|Elmo da Guardia di Rohan
itm_rohan_shield_a|Scudo di Rohan
itm_rohan_shield_b|Scudo di Rohan
itm_rohan_shield_c|Scudo di Rohan
itm_rohan_shield_d|Scudo di Rohan
itm_rohan_shield_e|Scudo di Rohan
itm_rohan_shield_f|Scudo di Rohan
itm_rohan_shield_g|Scudo Reale di Rohan
itm_rohan_light_greaves|Gambali Leggeri di Rohan
itm_rohirrim_war_greaves|Gambali da Guerra di Rohan
itm_mirkwood_leather|Armatura di Cuoio degli Elfi Silvani
itm_mirkwood_pad|Mantello Trapuntato di Boscoverde
itm_mirkwood_mail|Cotta di Maglia di Boscoverde
itm_mirkwood_scale|Armatura a Scaglie Leggera di Boscoverde
itm_mirkwood_heavy_scale|Armatura a Scaglie di Boscoverde
itm_mirkwood_sword|Spada degli Elfi Silvani
itm_mirkwood_great_spear|Lancia Suprema di Boscoverde
itm_mirkwood_war_spear|Lancia da Guerra di Boscoverde
itm_mirkwood_short_spear|Lancia degli Elfi Silvani
itm_mirkwood_knife|Coltello degli Elfi Silvani
itm_mirkwood_axe|Ascia degli Elfi Silvani
itm_mirkwood_spear_shield_a|Scudo degli Elfi Silvani
itm_mirkwood_spear_shield_b|Scudo da Guerra di Boscoverde
itm_mirkwood_spear_shield_c|Scudo Tondo degli Elfi Silvani
itm_mirkwood_helm_a|Elmo da Arciere degli Elfi Silvani
itm_mirkwood_helm_b|Elmo di Boscoverde
itm_mirkwood_helm_c|Elmo Pesante di Boscoverde
itm_mirkwood_helm_d|Elmo Reale di Boscoverde
itm_woodelf_leather_boots|Stivali in Pelle degli Elfi Silvani
itm_mirkwood_boots|Stivali di Boscoverde
itm_harad_tunic|Tunica Harad
itm_harad_padded|Giustacuore Imbottito di Harad
itm_harad_lamellar|Veste in Scaglie di Harad
itm_harad_heavy_lamellar|Veste Pesante a Scaglie di Harad
itm_harad_heavy|Armatura Harasjala
itm_harad_pectoral|Corazza Pettorale di Harad
itm_black_snake_armor|Armatura Maranka
itm_harad_champion|Abito del Lontano Harad
itm_harad_scale|Corazza a Scaglie Haradrim
itm_harad_lion_scale|Corazza da Guardia Del Leone
itm_harad_dragon_helm|Elmo Kiloka
itm_harad_cav_helm_a|Elmo Leggero di Harondor
itm_harad_cav_helm_b|Elmo Leggero di Harondor
itm_black_snake_helm|Elmo Maranka
itm_harad_finhelm|Elmo da Fante Pesante di Harad
itm_harad_heavy_inf_helm|Elmo da Fante di Harad
itm_harad_wavy_helm|Elmo Conico di Harad
itm_harad_eaglehelm|Elmo da Guardia dell'Aquila
itm_lion_helm|Elmo da Guardia del Leone
itm_harad_pantherhelm|Calotta della Guardia della Pantera
itm_harad_khopesh|Khopesh Haradrim
itm_black_snake_sword|Spada del Cobra di Harad
itm_harad_heavy_sword|Spada del Drago di Harad
itm_horandor_a|Scimitarra Haradrim
itm_skirmisher_sword|Spada da Schermagliatore Haradrim
itm_harad_sabre|Spada della Salamandra di Harad
itm_harad_mace|Mazza del Lontano Harad
itm_far_harad_2h_mace|Mazza a Due Mani del Lontano Harad
itm_harad_dagger|Coltello Haradrim
itm_harad_short_spear|Lancia Corta Haradrim
itm_harad_long_spear|Lancia Haradrim
itm_eagle_guard_spear|Asta da Combattimento Harasjala
itm_harad_long_shield_a|Scudo Haradrim del Leopardo
itm_harad_long_shield_b|Scudo in Bronzo Haradrim
itm_harad_long_shield_c|Scudo del Sole Haradrim
itm_harad_long_shield_d|Scudo del Serpente Haradrim
itm_harad_long_shield_e|Scudo del Serpente Haradrim
itm_harad_shield_a|Scudo Harondor
itm_harad_shield_b|Brocchiero dell'Harondor
itm_harad_shield_c|Brocchiero dell'Harondor
itm_harad_yellow_shield|Scudo Haradrim
itm_desert_boots|Stivali da Deserto
itm_harad_leather_greaves|Stinchiere in Pelle di Harad
itm_harad_scale_greaves|Gambali Haradrim
itm_harad_lamellar_greaves|Stinchiere Steccate di Harad
itm_khand_inf_helm_a|Elmo del Khand
itm_khand_inf_helm_b|Elmo del Khand
itm_khand_inf_helm_c1|Elmo a Scodella di Khand
itm_khand_inf_helm_c2|Elmetto di Khand
itm_khand_inf_helm_d|Elmo Conico di Khand
itm_khand_cav_helm_a|Elmo da Cavallerizzo di Khand
itm_khand_cav_helm_b|Elmo da Cavallerizzo di Khand
itm_khand_cav_helm_c|Elmo Decorato del Khand
itm_khand_helm_mask|Maschera del Khand
itm_khand_light|Kilt Kandhiano
itm_khand_light_lam|Armatura Leggera da Fante di Arnor
