trp_unarmed_troop|Unarmed Troop
trp_i3_woodmen_skilled_forester|Woodmen Skilled Forester
trp_i3_woodmen_skilled_forester_pl|Woodmen Skilled Foresters
trp_i4_woodmen_axemen|Woodmen Axeman
trp_i4_woodmen_axemen_pl|Woodmen Axemen
trp_i5_woodmen_night_guard|Night Guard of Mirkwood
trp_i5_woodmen_night_guard_pl|Night Guards of Mirkwood
trp_a2_woodmen_tracker|Woodmen Tracker
trp_a2_woodmen_tracker_pl|Woodmen Trackers
trp_a3_woodmen_scout|Woodmen Scout
trp_a3_woodmen_scout_pl|Woodmen Scouts
trp_a4_woodmen_archer|Woodmen Archer
trp_a4_woodmen_archer_pl|Woodmen Archers
trp_a5_woodmen_night_stalker|Night Stalker of Mirkwood
trp_a5_woodmen_night_stalker_pl|Night Stalkers of Mirkwood
trp_i1_beorning_man|Beorning Man
trp_i1_beorning_man_pl|Beorning Men
trp_i2_beorning_warrior|Beorning Warrior
trp_i2_beorning_warrior_pl|Beorning Warriors
trp_i3_beorning_tolltacker|Beorning Toll-Taker
trp_i3_beorning_tolltacker_pl|Beorning Toll-Takers
trp_i4_beorning_sentinel|Beorning Sentinel
trp_i4_beorning_sentinel_pl|Beorning Sentinels
trp_i5_beorning_warden_of_the_ford|Beorning Warden of the Ford
trp_i5_beorning_warden_of_the_ford_pl|Beorning Wardens of the Ford
trp_i3_beorning_carrock_lookout|Beorning Carrock Lookout
trp_i3_beorning_carrock_lookout_pl|Beorning Carrock Lookouts
trp_i4_beorning_carrock_fighter|Beorning Carrock Fighter
trp_i4_beorning_carrock_fighter_pl|Beorning Carrock Fighters
trp_i5_beorning_carrock_berserker|Beorning Carrock Berserker
trp_i5_beorning_carrock_berserker_pl|Beorning Carrock Berserkers
trp_i1_dale_militia|Dale Militiaman
trp_i1_dale_militia_pl|Dale Militia
trp_i2_dale_man_at_arms|Dale Man-at-Arms
trp_i2_dale_man_at_arms_pl|Dale Men-at-Arms
trp_a2_dale_scout|Dale Scout
trp_a2_dale_scout_pl|Dale Scouts
trp_a3_dale_bowman|Dale Bowman
trp_a3_dale_bowman_pl|Dale Bowmen
trp_a4_dale_archer|Dale Archer
trp_a4_dale_archer_pl|Dale Archers
trp_a5_barding_bowman|Barding Bowman
trp_a5_barding_bowman_pl|Barding Bowmen
trp_i3_dale_swordsman|Dale Swordsman
trp_i3_dale_swordsman_pl|Dale Swordsmen
trp_i4_dale_sergeant|Dale Sergeant
trp_i4_dale_sergeant_pl|Dale Sergeants
trp_i5_dale_hearthman|Hearthman of Dale
trp_i5_dale_hearthman_pl|Hearthmen of Dale
trp_i3_dale_spearman|Dale Spearman
trp_i3_dale_spearman_pl|Dale Spearmen
trp_i4_dale_billman|Dale Billman
trp_i4_dale_billman_pl|Dale Billmen
trp_i5_dale_bill_master|Dale Bill Master
trp_i5_dale_bill_master_pl|Dale Bill Masters
trp_c2_rhovanion_retainer|Northmen Retainer
trp_c2_rhovanion_retainer_pl|Northmen Retainers
trp_c3_rhovanion_auxilia|Northmen Auxiliary
trp_c3_rhovanion_auxilia_pl|Northmen Auxilia
trp_c4_rhovanion_rider|Rhovanion Rider
trp_c4_rhovanion_rider_pl|Rhovanion Riders
trp_ac5_rhovanion_marchwarden|Rhovanion Marchwarden
trp_ac5_rhovanion_marchwarden_pl|Rhovanion Marchwardens
trp_i1_rhun_tribesman|Rhun Tribesman
trp_i1_rhun_tribesman_pl|Rhun Tribesmen
trp_ac2_rhun_horse_scout|Rhun Horse Scout
trp_ac2_rhun_horse_scout_pl|Rhun Horse Scouts
trp_ac3_rhun_horse_archer|Rhun Horse Archer
trp_ac3_rhun_horse_archer_pl|Rhun Horse Archers
trp_ac4_rhun_veteran_horse_archer|Rhun Veteran Horse Archer
trp_ac4_rhun_veteran_horse_archer_pl|Rhun Veteran Horse Archers
trp_ac5_rhun_balchoth_horse_archer|Balchoth Horse Archer
trp_ac5_rhun_balchoth_horse_archer_pl|Balchoth Horse Archers
trp_c3_rhun_swift_horseman|Rhun Swift Horseman
trp_c3_rhun_swift_horseman_pl|Rhun Swift Horsemen
trp_c4_rhun_veteran_swift_horseman|Rhun Veteran Swift Horseman
trp_c4_rhun_veteran_swift_horseman_pl|Rhun Veteran Swift Horsemen
trp_c5_rhun_falcon_horseman|Falcon Horseman
trp_c5_rhun_falcon_horseman_pl|Falcon Horsemen
trp_i2_rhun_tribal_warrior|Rhun Tribal Footman
trp_i2_rhun_tribal_warrior_pl|Rhun Tribal Footmen
trp_i3_rhun_tribal_infantry|Rhun Tribal Warrior
trp_i3_rhun_tribal_infantry_pl|Rhun Tribal Warriors
trp_i4_rhun_vet_infantry|Rhun Veteran Warrior
trp_i4_rhun_vet_infantry_pl|Rhun Veteran Warriors
trp_i5_rhun_ox_warrior|Warrior of the Ox
trp_i5_rhun_ox_warrior_pl|Warriors of the Ox
trp_c2_rhun_horseman|Horseman of Rhun
trp_c2_rhun_horseman_pl|Horsemen of Rhun
trp_c3_rhun_outrider|Outrider of Rhun
trp_c3_rhun_outrider_pl|Outriders of Rhun
trp_c4_rhun_noble_rider|Noble Rider of Rhun
trp_c4_rhun_noble_rider_pl|Noble Riders of Rhun
trp_c5_rhun_warrider|Warrider of Rhun
trp_c5_rhun_warrider_pl|Warriders of Rhun
trp_c6_rhun_warlord|Warlord of Rhun
trp_c6_rhun_warlord_pl|Warlords of Rhun
trp_i1_dwarf_apprentice|Apprentice-dwarf
trp_i1_dwarf_apprentice_pl|Apprentice-dwarves
trp_i2_dwarf_warrior|Warrior-dwarf
trp_i2_dwarf_warrior_pl|Warrior-dwarves
trp_i3_dwarf_hardened_warrior|Hardened Warrior-dwarf
trp_i3_dwarf_hardened_warrior_pl|Hardened Warrior-dwarves
trp_i4_dwarf_spearman|Spear-dwarf
trp_i4_dwarf_spearman_pl|Spear-dwarves
trp_i5_dwarf_pikeman|Pike-dwarf
trp_i5_dwarf_pikeman_pl|Pike-dwarves
trp_i6_dwarf_longpikeman|Longpike Dwarf
trp_i6_dwarf_longpikeman_pl|Longpike Dwarves
trp_i4_dwarf_axeman|Axedwarf
trp_i4_dwarf_axeman_pl|Axedwarves
trp_i5_dwarf_expert_axeman|Expert Axedwarf
trp_i5_dwarf_expert_axeman_pl|Expert Axedwarves
trp_i6_dwarf_longbeard_axeman|Longbeard Axedwarf
trp_i6_dwarf_longbeard_axeman_pl|Longbeard Axedwarves
trp_a2_dwarf_lookout|Lookout-dwarf
trp_a2_dwarf_lookout_pl|Lookout-dwarves
trp_a3_dwarf_scout|Scout-dwarf
trp_a3_dwarf_scout_pl|Scout-dwarves
trp_a4_dwarf_bowman|Bow-dwarf
trp_a4_dwarf_bowman_pl|Bow-dwarves
trp_i6_dwarf_longaxeman|Longaxe Dwarf
trp_i6_dwarf_longaxeman_pl|Longaxe Dwarves
trp_i3_iron_hills_warrior|Iron Hills Warrior
trp_i3_iron_hills_warrior_pl|Iron Hills Warriors
trp_i2_iron_hills_miner|Iron Hills Miner
trp_i2_iron_hills_miner_pl|Iron Hills Miners
trp_i4_iron_hills_infantry|Iron Hills Infantry
trp_i4_iron_hills_infantry_pl|Iron Hills Infantry
trp_i5_iron_hills_battle_dwarf|Iron Hills Battle-dwarf
trp_i5_iron_hills_battle_dwarf_pl|Iron Hills Battle-dwarves
trp_i6_iron_hills_grors_guard|Gror's Guard
trp_i6_iron_hills_grors_guard_pl|Gror's Guards
trp_i1_gon_levy|Gondor Levy
trp_i1_gon_levy_pl|Gondor Levies
trp_i2_gon_watchman|Gondor Watchman
trp_i2_gon_watchman_pl|Gondor Watchmen
trp_i3_gon_footman|Footman of Gondor
trp_i3_gon_footman_pl|Footmen of Gondor
trp_i4_gon_spearman|Spearman of Gondor
trp_i4_gon_spearman_pl|Spearmen of Gondor
trp_i5_gon_vet_spearman|Veteran Spearman of Gondor
trp_i5_gon_vet_spearman_pl|Veteran Spearmen of Gondor
trp_i6_gon_tower_spearman|Guard of the Fountain Court
trp_i6_gon_tower_spearman_pl|Guards of the Fountain Court
trp_i4_gon_swordsman|Swordsman of Gondor
trp_i4_gon_swordsman_pl|Swordsmen of Gondor
trp_i5_gon_vet_swordsman|Veteran Swordsman of Gondor
trp_i5_gon_vet_swordsman_pl|Veteran Swordsmen of Gondor
trp_i6_gon_tower_swordsman|Swordsman of the Tower Guard
trp_i6_gon_tower_swordsman_pl|Swordsmen of the Tower Guard
trp_c1_gon_nobleman|Gondor Noble
trp_c1_gon_nobleman_pl|Gondor Noble
trp_c2_gon_squire|Squire of Gondor
trp_c2_gon_squire_pl|Squires of Gondor
trp_c3_gon_vet_squire|Veteran Squire of Gondor
trp_c3_gon_vet_squire_pl|Veteran Squires of Gondor
trp_c4_gon_knight|Knight of Gondor
trp_c4_gon_knight_pl|Knights of Gondor
trp_c5_gon_vet_knight|Veteran Knight of Gondor
trp_c5_gon_vet_knight_pl|Veteran Knights of Gondor
trp_c6_gon_tower_knight|Knight of the Citadel
trp_c6_gon_tower_knight_pl|Knights of the Citadel
trp_a3_gon_bowman|Bowman of Gondor
trp_a3_gon_bowman_pl|Bowmen of Gondor
trp_a4_gon_archer|Archer of Gondor
trp_a4_gon_archer_pl|Archers of Gondor
trp_a5_gon_vet_archer|Veteran Archer of Gondor
trp_a5_gon_vet_archer_pl|Veteran Archers of Gondor
trp_a6_gon_tower_archer|Archer of the Tower Guard
trp_a6_gon_tower_archer_pl|Archers of the Tower Guard
trp_steward_guard|Steward's Guard
trp_steward_guard_pl|Steward's Guards
trp_a4_ithilien_ranger|Ranger of Ithilien
trp_a4_ithilien_ranger_pl|Rangers of Ithilien
trp_a5_ithilien_vet_ranger|Veteran Ranger of Ithilien
trp_a5_ithilien_vet_ranger_pl|Veteran Rangers of Ithilien
trp_a6_ithilien_master_ranger|Master Ranger of Ithilien
trp_a6_ithilien_master_ranger_pl|Master Rangers of Ithilien
trp_a6_ithilien_leader|Captain of Ithilien Rangers
trp_a6_ithilien_leader_pl|Captains of Ithilien Rangers
trp_i1_loss_woodsman|Woodsman of Lossarnach
trp_i1_loss_woodsman_pl|Woodsmen of Lossarnach
trp_i2_loss_axeman|Axeman of Lossarnach
trp_i2_loss_axeman_pl|Axemen of Lossarnach
trp_i3_loss_vet_axeman|Lossarnach Veteran Axeman
trp_i3_loss_vet_axeman_pl|Lossarnach Veteran Axemen
trp_i4_loss_heavy_axeman|Heavy Lossarnach Axeman
trp_i4_loss_heavy_axeman_pl|Heavy Lossarnach Axemen
trp_i5_loss_axemaster|Axemaster of Lossarnach
trp_i5_loss_axemaster_pl|Axemasters of Lossarnach
trp_i6_loss_leader|Captain of Lossarnach
trp_i6_loss_leader_pl|Captains of Lossarnach
trp_i1_pel_watchman|Pelargir Watchman
trp_i1_pel_watchman_pl|Pelargir Watchmen
trp_a2_pel_marine|Pelargir Marine
trp_a2_pel_marine_pl|Pelargir Marines
trp_a3_pel_vet_marine|Pelargir Veteran Marine
trp_a3_pel_vet_marine_pl|Pelargir Veteran Marines
trp_i2_pel_infantry|Pelargir Infantryman
trp_i2_pel_infantry_pl|Pelargir Infantrymen
trp_i3_pel_vet_infantry|Pelargir Veteran Infantryman
trp_i3_pel_vet_infantry_pl|Pelargir Veteran Infantrymen
trp_i6_pel_leader|Captain of Pelargir
trp_i6_pel_leader_pl|Captains of Pelargir
trp_a6_pel_marine_leader|Captain of Pelargir Marines
trp_a6_pel_marine_leader_pl|Captains of Pelargir Marine
trp_i1_lam_clansman|Clansman of Lamedon
trp_i1_lam_clansman_pl|Clansmen of Lamedon
trp_i2_lam_footman|Footman of Lamedon
trp_i2_lam_footman_pl|Footmen of Lamedon
trp_i3_lam_veteran|Veteran of Lamedon
trp_i3_lam_veteran_pl|Veterans of Lamedon
trp_i4_lam_warrior|Warrior of Lamedon
trp_i4_lam_warrior_pl|Warriors of Lamedon
trp_i5_lam_champion|Champion of Lamedon
trp_i5_lam_champion_pl|Champions of Lamedon
trp_c5_lam_knight|Knight of Lamedon
trp_c5_lam_knight_pl|Knights of Lamedon
trp_c6_lam_leader|Captain of Lamedon
trp_c6_lam_leader_pl|Captains of Lamedon
trp_i1_pinnath_plainsman|Plainsman of Pinnath Gelin
trp_i1_pinnath_plainsman_pl|Plainsmen of Pinnath Gelin
trp_c2_pinnath_rider|Rider of Pinnath Gelin
trp_c2_pinnath_rider_pl|Riders of Pinnath Gelin
trp_c3_pinnath_knight|Knight of Pinnath Gelin
trp_c3_pinnath_knight_pl|Knights of Pinnath Gelin
trp_a2_pinnath_bowman|Bowman of Pinnath Gelin
trp_a2_pinnath_bowman_pl|Bowmen of Pinnath Gelin
trp_a3_pinnath_archer|Archer of Pinnath Gelin
trp_a3_pinnath_archer_pl|Archers of Pinnath Gelin
trp_c6_pinnath_leader|Captain of Pinnath Gelin
trp_c6_pinnath_leader_pl|Captains of Pinnath Gelin
trp_a1_blackroot_hunter|Hunter of Blackroot Vale
trp_a1_blackroot_hunter_pl|Hunters of Blackroot Vale
trp_a2_blackroot_bowman|Bowman of Blackroot Vale
trp_a2_blackroot_bowman_pl|Bowmen of Blackroot Vale
trp_a3_blackroot_archer|Archer of Blackroot Vale
trp_a3_blackroot_archer_pl|Archers of Blackroot Vale
trp_i2_blackroot_footman|Footman of Blackroot Vale
trp_i2_blackroot_footman_pl|Footmen of Blackroot Vale
trp_i3_blackroot_spearman|Spearman of Blackroot Vale
trp_i3_blackroot_spearman_pl|Spearmen of Blackroot Vale
trp_a5_blackroot_shadow_hunter|Morthond Shadow Hunter
trp_a5_blackroot_shadow_hunter_pl|Morthond Shadow Hunters
trp_i1_amroth_recruit|Dol Amroth Recruit
trp_i1_amroth_recruit_pl|Dol Amroth Recruits
trp_c2_amroth_squire|Squire of Dol Amroth
trp_c2_amroth_squire_pl|Squires of Dol Amroth
trp_c3_amroth_vet_squire|Veteran Squire of Dol Amroth
trp_c3_amroth_vet_squire_pl|Veteran Squires of Dol Amroth
trp_c4_amroth_knight|Knight of Dol Amroth
trp_c4_amroth_knight_pl|Knights of Dol Amroth
trp_c5_amroth_vet_knight|Veteran Knight of Dol Amroth
trp_c5_amroth_vet_knight_pl|Veteran Knights of Dol Amroth
trp_c6_amroth_swan_knight|Swan Knight of Dol Amroth
trp_c6_amroth_swan_knight_pl|Swan Knights of Dol Amroth
trp_c6_amroth_leader|Captain of Dol Amroth
trp_c6_amroth_leader_pl|Captains of Dol Amroth
trp_a1_lorien_scout|Lothlorien Scout
trp_a1_lorien_scout_pl|Lothlorien Scouts
trp_a2_lorien_warden|Lothlorien Warden
trp_a2_lorien_warden_pl|Lothlorien Wardens
trp_a3_lorien_vet_warden|Lothlorien Veteran Warden
trp_a3_lorien_vet_warden_pl|Lothlorien Veteran Wardens
trp_a4_lorien_gal_warden|Galadhrim Warden
trp_a4_lorien_gal_warden_pl|Galadhrim Wardens
trp_a5_lorien_gal_royal_warden|Galadhrim Royal Warden
trp_a5_lorien_gal_royal_warden_pl|Galadhrim Royal Wardens
trp_a6_lorien_grey_warden|Grey Warden
trp_a6_lorien_grey_warden_pl|Grey Wardens
trp_galadhrim_royal_marksman|Galadhrim Royal Marksman
trp_galadhrim_royal_marksman_pl|Galadhrim Royal Marksmen
trp_noldorin_mounted_archer|Noldorin Mounted Archer
trp_noldorin_mounted_archer_pl|Noldorin Mounted Archers
trp_a2_lorien_archer|Lothlorien Archer
trp_a2_lorien_archer_pl|Lothlorien Archers
trp_a3_lorien_vet_archer|Lothlorien Veteran Archer
trp_a3_lorien_vet_archer_pl|Lothlorien Veteran Archers
trp_a4_lorien_gal_archer|Galadhrim Archer
trp_a4_lorien_gal_archer_pl|Galadhrim Archers
trp_a5_lorien_gal_royal_archer|Galadhrim Royal Marksman
trp_a5_lorien_gal_royal_archer_pl|Galadhrim Royal Marksmen
trp_i3_lorien_inf|Lothlorien Infantry
trp_i3_lorien_inf_pl|Lothlorien Infantry
trp_i4_lorien_gal_inf|Galadhrim Infantry
trp_i4_lorien_gal_inf_pl|Galadhrim Infantry
trp_i5_lorien_gal_royal_inf|Galadhrim Royal Guard
trp_i5_lorien_gal_royal_inf_pl|Galadhrim Royal Guards
trp_lothlorien_standard_bearer|Lothlorien Standard Bearer
trp_lothlorien_standard_bearer_pl|Lothlorien Standard Bearers
trp_a1_greenwood_scout|Greenwood Scout
trp_a1_greenwood_scout_pl|Greenwood Scouts
trp_a2_greenwood_veteran_scout|Greenwood Veteran Scout
trp_a2_greenwood_veteran_scout_pl|Greenwood Veteran Scouts
trp_a3_greenwood_archer|Greenwood Archer
trp_a3_greenwood_archer_pl|Greenwood Archers
trp_a4_greenwood_veteran_archer|Greenwood Veteran Archer
trp_a4_greenwood_veteran_archer_pl|Greenwood Veteran Archers
trp_a5_greenwood_master_archer|Greenwood Master Archer
trp_a5_greenwood_master_archer_pl|Greenwood Master Archers
trp_a6_greenwood_chosen_marksman|Thranduil's Chosen Marksman
trp_a6_greenwood_chosen_marksman_pl|Thranduil's Chosen Marksmen
trp_a3_greenwood_sentinel|Greenwood Sentinel
trp_a3_greenwood_sentinel_pl|Greenwood Sentinels
trp_a4_greenwood_vet_sentinel|Greenwood Veteran Sentinel
trp_a4_greenwood_vet_sentinel_pl|Greenwood Veteran Sentinels
trp_a5_greenwood_vigilant|Greenwood Guardian
trp_a5_greenwood_vigilant_pl|Greenwood Guardians
trp_i2_greenwood_infantry|Greenwood Infantry
trp_i2_greenwood_infantry_pl|Greenwood Infantry
trp_i3_greenwood_vet_infantry|Greenwood Veteran Infantry
trp_i3_greenwood_vet_infantry_pl|Greenwood Veteran Infantry
trp_i4_greenwood_elite_infantry|Greenwood Elite Infantry
trp_i4_greenwood_elite_infantry_pl|Greenwood Elite Infantry
trp_i5_greenwood_chosen_shieldmaster|Thranduil's Chosen Shield Master
trp_i5_greenwood_chosen_shieldmaster_pl|Thranduil's Chosen Shield Masters
trp_i5_greenwood_chosen_spearmaster|Thranduil's Chosen Spear Master
trp_i5_greenwood_chosen_spearmaster_pl|Thranduil's Chosen Spear Masters
trp_i5_greenwood_standard_bearer|Greenwood Standard Bearer
trp_i5_greenwood_standard_bearer_pl|Greenwood Standard Bearers
trp_a1_riv_scout|Rivendell Scout
trp_a1_riv_scout_pl|Rivendell Scouts
trp_a2_riv_vet_scout|Rivendell Veteran Scout
trp_a2_riv_vet_scout_pl|Rivendell Veteran Scouts
trp_a3_riv_archer|Rivendell Archer
trp_a3_riv_archer_pl|Rivendell Archers
trp_a4_riv_vet_archer|Rivendell Veteran Archer
trp_a4_riv_vet_archer_pl|Rivendell Veteran Archers
trp_a5_riv_master_archer|Rivendell Master Archer
trp_a5_riv_master_archer_pl|Rivendell Master Archers
trp_a6_riv_guardian|Guardian of Imladris
trp_a6_riv_guardian_pl|Guardians of Imladris
trp_i3_riv_swordbearer|Rivendell Swordbearer
trp_i3_riv_swordbearer_pl|Rivendell Swordbearers
trp_i4_riv_vet_swordbearer|Rivendell Veteran Swordbearer
trp_i4_riv_vet_swordbearer_pl|Rivendell Veteran Swordbearers
trp_i5_riv_swordmaster|Rivendell Swordmaster
trp_i5_riv_swordmaster_pl|Rivendell Swordmasters
trp_i6_riv_champion|Champion of Imladris
trp_i6_riv_champion_pl|Champions of Imladris
trp_ac5_riv_rider|Rivendell Rider
trp_ac5_riv_rider_pl|Rivendell Riders
trp_ac6_riv_knight|Knight of Imladris
trp_ac6_riv_knight_pl|Knights of Imladris
trp_i6_rivendell_standard_bearer|Rivendell Standard Bearer
trp_i6_rivendell_standard_bearer_pl|Rivendell Standard Bearers
trp_a1_arnor_scout|Dunedain Scout
trp_a1_arnor_scout_pl|Dunedain Scouts
trp_a2_arnor_vet_scout|Dunedain Tracker
trp_a2_arnor_vet_scout_pl|Dunedain Trackers
trp_i3_arnor_swordsman|Dunedain Swordsman
trp_i3_arnor_swordsman_pl|Dunedain Swordsmen
trp_i4_arnor_vet_swordsman|Dunedain Veteran Swordsman
trp_i4_arnor_vet_swordsman_pl|Dunedain Veteran Swordsmen
trp_i5_arnor_champion|Champion of Arnor
trp_i5_arnor_champion_pl|Champions of Arnor
trp_c4_arnor_horseman|Dunedain Horseman
trp_c4_arnor_horseman_pl|Dunedain Horsemen
trp_c5_arnor_knight|Knight of Arnor
trp_c5_arnor_knight_pl|Knights of Arnor
trp_a3_arnor_ranger|Dunedain Ranger
trp_a3_arnor_ranger_pl|Dunedain Rangers
trp_a4_arnor_vet_ranger|Dunedain Veteran Ranger
trp_a4_arnor_vet_ranger_pl|Dunedain Veteran Rangers
trp_a5_arnor_master_ranger|Master Ranger of Arnor
trp_a5_arnor_master_ranger_pl|Master Rangers of Arnor
trp_i1_rohan_youth|Rohan Youth
trp_i1_rohan_youth_pl|Rohan Youths
trp_i2_guardsman_of_rohan|Guardsman of Rohan
trp_i2_guardsman_of_rohan_pl|Guardsmen of Rohan
trp_i3_footman_of_rohan|Footman of Rohan
trp_i3_footman_of_rohan_pl|Footmen of Rohan
trp_i4_veteran_footman_of_rohan|Veteran Footman of Rohan
trp_i4_veteran_footman_of_rohan_pl|Veteran Footmen of Rohan
trp_i5_elite_footman_of_rohan|Elite Footman of Rohan
trp_i5_elite_footman_of_rohan_pl|Elite Footmen of Rohan
trp_i6_footman_guard_of_rohan|Folcwine Guard of Rohan
trp_i6_footman_guard_of_rohan_pl|Folcwine Guards of Rohan
trp_i6_frealaf_raider|Frealaf Raider
trp_i6_frealaf_raider_pl|Frealaf Raiders
trp_i5_raider_of_rohan|Raider of Rohan
trp_i5_raider_of_rohan_pl|Raiders of Rohan
trp_i6_warden_of_methuseld|Warden of Meduseld
trp_i6_warden_of_methuseld_pl|Wardens of Meduseld
trp_ac3_skirmisher_of_rohan|Skirmisher of Rohan
trp_ac3_skirmisher_of_rohan_pl|Skirmishers of Rohan
trp_ac4_veteran_skirmisher_of_rohan|Veteran Skirmisher of Rohan
trp_ac4_veteran_skirmisher_of_rohan_pl|Veteran Skirmishers of Rohan
trp_ac5_elite_skirmisher_of_rohan|Elite Skirmisher of Rohan
trp_ac5_elite_skirmisher_of_rohan_pl|Elite Skirmishers of Rohan
trp_ac6_skirmisher_guard_of_rohan|Thengel Guard of Rohan
trp_ac6_skirmisher_guard_of_rohan_pl|Thengel Guards of Rohan
trp_c4_lancer_of_rohan|Lancer of Rohan
trp_c4_lancer_of_rohan_pl|Lancers of Rohan
trp_c5_elite_lancer_of_rohan|Elite Lancer of Rohan
trp_c5_elite_lancer_of_rohan_pl|Elite Lancers of Rohan
trp_c6_lancer_guard_of_rohan|Brego Guard of Rohan
trp_c6_lancer_guard_of_rohan_pl|Brego Guards of Rohan
trp_c6_king_s_man_of_rohan|King's Guard
trp_c6_king_s_man_of_rohan_pl|King's Guards
trp_c2_squire_of_rohan|Squire of Rohan
trp_c2_squire_of_rohan_pl|Squires of Rohan
trp_c3_rider_of_rohan|Rider of Rohan
trp_c3_rider_of_rohan_pl|Riders of Rohan
trp_c4_veteran_rider_of_rohan|Veteran Rider of Rohan
trp_c4_veteran_rider_of_rohan_pl|Veteran Riders of Rohan
trp_c5_elite_rider_of_rohan|Elite Rider of Rohan
trp_c5_elite_rider_of_rohan_pl|Elite Riders of Rohan
trp_c6_rider_guard_of_rohan|Eorl Guard of Rohan
trp_c6_rider_guard_of_rohan_pl|Eorl Guards of Rohan
trp_i6_2h_guard_of_rohan|Helm Guard of Rohan
trp_i6_2h_guard_of_rohan_pl|Helm Guards of Rohan
trp_ac3_dism_skirmisher_of_rohan2|Skirmisher of Rohan
trp_ac3_dism_skirmisher_of_rohan2_pl|Skirmishers of Rohan
trp_ac4_dism_veteran_skirmisher_of_rohan2|Veteran Skirmisher of Rohan
trp_ac4_dism_veteran_skirmisher_of_rohan2_pl|Veteran Skirmishers of Rohan
trp_ac5_dism_elite_skirmisher_of_rohan2|Elite Skirmisher of Rohan
trp_ac5_dism_elite_skirmisher_of_rohan2_pl|Elite Skirmishers of Rohan
trp_i1_harad_levy|Harad Levy
trp_i1_harad_levy_pl|Harad Levies
trp_i3_harad_infantry|Harad Light Footman
trp_i3_harad_infantry_pl|Harad Light Footmen
trp_i4_harad_spearman|Harad Spearman
trp_i4_harad_spearman_pl|Harad Spearmen
trp_i5_harad_tiger_guard|Tiger Guard
trp_i5_harad_tiger_guard_pl|Tiger Guards
trp_i4_harad_swordsman|Harad Swordsman
trp_i4_harad_swordsman_pl|Harad Swordsmen
trp_i5_harad_lion_guard|Lion Guard
trp_i5_harad_lion_guard_pl|Lion Guards
trp_a3_harad_hunter|Harad Hunter
trp_a3_harad_hunter_pl|Harad Hunters
trp_a4_harad_archer|Harad Archer
trp_a4_harad_archer_pl|Harad Archers
trp_a5_harad_eagle_guard|Eagle Guard
trp_a5_harad_eagle_guard_pl|Eagle Guards
trp_c2_harondor_scout|Harondor Scout
trp_c2_harondor_scout_pl|Harondor Scouts
trp_c3_harondor_rider|Harondor Rider
trp_c3_harondor_rider_pl|Harondor Riders
trp_c4_harondor_light_cavalry|Harondor Light Rider
trp_c4_harondor_light_cavalry_pl|Harondor Light Riders
trp_c5_harondor_serpent_knight|Gold Serpent Knight
trp_c5_harondor_serpent_knight_pl|Gold Serpent Knights
trp_ac3_harondor_skirmisher|Harondor Skirmisher
trp_ac3_harondor_skirmisher_pl|Harondor Skirmishers
trp_ac4_harondor_horse_archer|Harondor Horse Archer
trp_ac4_harondor_horse_archer_pl|Harondor Horse Archers
trp_ac5_harondor_black_snake|Black Snake Horse Archer
trp_ac5_harondor_black_snake_pl|Black Snake Horse Archers
trp_i2_far_harad_tribesman|Far Harad Tribesman
trp_i2_far_harad_tribesman_pl|Far Harad Tribesmen
trp_i4_far_harad_champion|Far Harad Champion
trp_i4_far_harad_champion_pl|Far Harad Champions
trp_i5_far_harad_panther_guard|Panther Guard
