
str_yes|Yes.
str_tutorial_4_msg_3|Very good. Next we'll cover attacking enemies from horseback. Approach the flag now.
str_tutorial_4_msg_4|Draw your sword (using the mouse wheel) and destroy the four targets. Try hitting the dummies as you pass them at full gallop -- this provides an extra challenge, but the additional speed added to your blow will allow you to do more damage. The easiest way of doing this is by pressing and holding the left mouse button until the right moment, releasing it just before you pass the target.
str_tutorial_4_msg_5|Excellent work. Now let us try some target shooting from horseback. Go near the flag now.
str_tutorial_4_msg_6|Locate the archery target beside the riding course and shoot it three times with your bow. Although you are not required to ride while shooting, it's recommended that you try to hit the target at various speeds and angles to get a feel for how your horse's speed and course affects your aim.
str_tutorial_4_msg_7|Congratulations, you have finished this tutorial. You can press the Tab key at any time to return to the tutorial menu.
str_tutorial_5_msg_1|Welcome to the fifth and final tutorial, which gives you a brief overview of how to command troops in battle, one of the most important aspects in Mount & Blade.^^The first command menu that you have to learn are movement commands, which can be found by pressing the F1 key. Press that now and explore the many movement options you can give your troops in battle.^^For this first step, command your troops to follow you and move up the hill where the flag and pointer is.
str_tutorial_5_msg_2|Excellent. Your troops have followed you up the hill. Now you have a good view of the battlefield.^^This time, ask your troops to hold this hill by pressing the F1 command menu again, and selecting Hold this Position (F1).^^Once you have done that, you will notice your troops stop following you and hold the position you asked them to.^^This is a good time to learn the second command menu, which revolves around troop basic formations.^^This menu allows you to command your troops to tighten up their ranks, to hold against infantry charges, or spread apart to resist archer volleys.^^Commanding your troops to move forward or backward ten paces using this command menu allows your troops to move while keeping their formation.^^After exploring the different options, keep your troops holding this hill and move alone towards the opposite hill, where the flag and the pointer is.
str_tutorial_5_msg_3|Great. As you can see, your infantry is holding where you asked them to. Now, move towards the windmill by yourself.
str_tutorial_5_msg_4|Now you have archers join your command. In Mount & Blade, you can give separate commands to specific divisions of troops such as infantry, archers, and cavalry.^^Pressing the number keys will choose the division of your choice (1 for Infantry, 2 for Archers, 3 for Cavalry). You can then use the command menus that appear to command the specific division.^^Note that the choice will persist, and pressing any of the command menus (F1, F2, F3) will be for the last division chosen. Read the messages that appear on your screen to see which division is being commanded.^^Now, ask your Infantry to follow you, then ask your Archers to follow you too. Once they are all together, go back to the hill you came from.^^Once there, look for the pointer and command your infantry to move and hold there by pressing 1, then holding the F1 key to reveal a banner. You can use this to move your troops in a precise location of your choice.^^Ask your archers to move towards the flag behind the pointer, and on high ground.
str_tutorial_5_msg_5|Your men are in position, the enemies have gathered and are charging towards you. Use what you learned to maneuver your infantry forward in formation, or ask them to charge. Charging breaks all formations, and moves your troops towards the nearest enemies.^^You can also keep your archers above ground for a better vantage point, or also ask them to move elsewhere.^^You can also press F3 to reveal the third command menu and learn about the different weapon orders you can give your troops.
str_tutorial_5_msg_6|Excellent! You have completed your first field battle in Mount & Blade. Intelligent command of your troops in battle is paramount to your success as a commander in battle. Make sure to learn the different how to move your troops in advantageous positions.^^In The Last Days of the Third Age, there are complex formations for more advanced maneouvers such as Infantry Shieldwall and Cavalry Wedges. You can learn more about it in-game.^^You can press TAB anytime to leave the tutorial.
str_trainer_help_1|This is a training ground where you can learn the basics of the game. Use A, S, D, W keys to move and the mouse to look around.
str_trainer_help_2|To speak with the trainer, go near him, look at him and press the 'F' key when you see the word 'Talk' under his name. When you wish to leave this or any other area or retreat from a battle, you can press the TAB key.
str_custom_battle_1|Angbor the Fearless and his Gondor company intercepted a Harad reinforcement group. Shouting out his warcry, he spurs his horse forward, and leads his loyal men to a fierce battle.
str_custom_battle_2|Celeborn from Lorien is leading a patrol of horsemen and archers when a forward lookout brings a warning of a force of ash-faced evil men approaching. It's the dreaded Black Numenoreans! Those were not seen near Lothlorien for ages, but now they must be driven back to the neverworld.
str_custom_battle_3|Lord Grimbold of Rohan is leading the last defence of the walls against an army of Isengard. Now, as the besiegers prepare for a final assault on the walls, he must hold the walls with courage and bright steel.
str_custom_battle_4|When the scouts inform Lord Beranhelm of the approach of a Rhun war band, he decides to quickly prepare the defences of his camp and try to hold against superior numbers.
str_custom_battle_5|Ugluk has brought his fierce orksies into the west with the promise of plunder. If he can make this dwarf stronghold fall to him today, his masters in Barad-Dur will be mightily pleased.
str_custom_battle_6|Ugluk and his orc raider squad were as keen as possible in escaping Elven patrols. But one's good fortunes may not last forever, and it seems like filthy paleskins will have their share now.
str_custom_battle_7|Cosairs have set up their camp on the shores of Gondor! How dare they. Let us strike them before they get reinforcements and drive them off into the sea, where they belong.
str_finished|(Finished)
str_delivered_damage|Delivered {reg60} damage.
str_archery_target_hit|Distance: {reg61} yards. Score: {reg60}
str_use_baggage_for_inventory|Use your baggage to access your inventory during battle (it's at your starting position).
str_cant_use_inventory_now|Can't access inventory now.
str_cant_use_inventory_arena|Can't access inventory in the arena.
str_cant_use_inventory_disguised|Can't access inventory while you're disguised.
str_cant_use_inventory_tutorial|Can't access inventory in the training camp.
str_1_denar|1 Resource Point.
str_reg1_denars|{reg1} Resource Points.
str_january_reg1_reg2|T.A.{reg2}, Narvinyë {reg1} (Jan)
str_february_reg1_reg2|T.A.{reg2}, Nénimë {reg1} (Feb)
str_march_reg1_reg2|T.A.{reg2}, Súlìmë {reg1} (Mar)
str_april_reg1_reg2|T.A.{reg2}, Víressë {reg1} (Apr)
str_may_reg1_reg2|T.A.{reg2}, Lótessë {reg1} (May)
str_june_reg1_reg2|T.A.{reg2}, Náríë {reg1} (Jun)
str_july_reg1_reg2|T.A.{reg2}, Cermië {reg1} (Jul)
str_august_reg1_reg2|T.A.{reg2}, Urimë {reg1} (Aug)
str_september_reg1_reg2|T.A.{reg2}, Yavannië {reg1} (Sep)
str_october_reg1_reg2|T.A.{reg2}, Narquelië {reg1} (Oct)
str_november_reg1_reg2|T.A.{reg2}, Hísimë {reg1} (Nov)
str_december_reg1_reg2|T.A.{reg2}, Ringarë {reg1} (Dec)
str_calendar_spec_day_1|T.A.{reg2}, Yestarë (First Day)
str_calendar_spec_day_2|T.A.{reg2}, Tuilérë (Spring Day)
str_calendar_spec_day_3|T.A.{reg2}, Loëndë (Midyear's Day)
str_calendar_spec_day_4|T.A.{reg2}, Yáviérë (Harvest Day)
str_calendar_spec_day_5|T.A.{reg2}, Mettarë (Last Day)
str_town_nighttime| It is late at night.
str_door_locked|The door is locked.
str_castle_is_abondened|The castle seems to be unoccupied.
str_town_is_abondened|The town has no garrison defending it.
str_place_is_occupied_by_player|The place is held by your own troops.
str_place_is_occupied_by_enemy|The place is held by hostile troops.
str_place_is_occupied_by_friendly|The place is held by friendly troops.
str_do_you_want_to_retreat|Are you sure you want to retreat?
str_give_up_fight|Give up the fight?
str_do_you_wish_to_leave_tutorial|Do you wish to leave the tutorial?
str_do_you_wish_to_surrender|Do you wish to surrender?
str_can_not_retreat|Can't retreat, there are enemies nearby!
str_s1_joined_battle_enemy|{s1} has joined the battle on the enemy side.
str_s1_joined_battle_friend|{s1} has joined the battle on your side.
str_entrance_to_town_forbidden|The town guards are on the lookout for intruders and it seems that you won't be able to pass through the gates unchallenged.
str_sneaking_to_town_impossible|The town guards are alarmed. You wouldn't be able to sneak through that gate no matter how well you disguised yourself.
str_battle_won|You have won the battle!
str_battle_lost|You have lost the battle!
str_player_down|You have been knocked out, but your troops fight on!
str_attack_walls_success|After a bloody fight, your brave soldiers manage to claim the walls from the enemy.
str_attack_walls_failure|Your soldiers fall in waves as they charge the walls, and the few who remain alive soon rout and run away, never to be seen again.
str_attack_walls_continue|A bloody battle ensues and both sides fight with equal valour. Despite the efforts of your troops, the castle remains in enemy hands.
str_order_attack_success|Your men fight bravely and defeat the enemy.
str_order_attack_failure|You watch the battle in despair as the enemy cuts your soldiers down, then easily drives off the few ragged survivors.
str_order_attack_continue|Despite an extended skirmish, your troops were unable to win a decisive victory.
str_join_order_attack_success|Your men fight well alongside your allies, sharing in the glory as your enemies are beaten.
str_join_order_attack_failure|You watch the battle in despair as the enemy cuts your soldiers down, then easily drives off the few ragged survivors.
str_join_order_attack_continue|Despite an extended skirmish, neither your troops nor your allies were able to win a decisive victory over the enemy.
str_siege_defender_order_attack_success|The men of the garrison hold their walls with skill and courage, breaking the enemy assault and skillfully turning the defeat into a full-fledged rout.
str_siege_defender_order_attack_failure|The assault quickly turns into a bloodbath. Valiant efforts are for naught; the overmatched garrison cannot hold the walls, and the enemy puts every last defender to the sword.
str_siege_defender_order_attack_continue|Repeated, bloody attempts on the walls fail to gain any ground, but too many enemies remain for the defenders to claim a true victory. The siege continues.
str_hero_taken_prisoner|{s1} of {s3} has been taken prisoner by {s2}.
str_hero_freed|{s1} of {s3} has been freed from captivity by {s2}.
str_center_captured|{s2} have taken {s1} from {s3}!
str_troop_relation_increased|Your relation with {s1} has increased from {reg1} to {reg2}.
str_troop_relation_detoriated|Your relation with {s1} has deteriorated from {reg1} to {reg2}.
str_faction_relation_increased|Your relation with {s1} has increased from {reg1} to {reg2}.
str_faction_relation_detoriated|Your relation with {s1} has deteriorated from {reg1} to {reg2}.
str_party_gained_morale|Your party gains {reg1} morale.
str_party_lost_morale|Your party loses {reg1} morale.
str_qst_follow_spy_noticed_you|The spy has spotted you! He's making a run for it!
str_father|father
str_husband|husband
str_wife|wife
str_daughter|daughter
str_mother|mother
str_son|son
str_brother|brother
str_sister|sister
str_he|He
str_she|She
str_s3s_s2|{s3}'s {s2}
str_s5_is_s51|{s5} is {s51}.
str_s5_is_the_ruler_of_s51|{s5} is the ruler of {s51}. 
str_s5_is_a_nobleman_of_s6|{s5} is a nobleman of {s6}. 
str_relation_mnus_100|Vengeful
str_relation_mnus_90|Vengeful
str_relation_mnus_80|Vengeful
str_relation_mnus_70|Hateful
str_relation_mnus_60|Hateful
str_relation_mnus_50| Hostile
str_relation_mnus_40|  Angry
str_relation_mnus_30|    Resentful
str_relation_mnus_20|      Grumbling
str_relation_mnus_10|        Suspicious
str_relation_plus_0|         Indifferent
str_relation_plus_10|          Cooperative
str_relation_plus_20|           Welcoming
str_relation_plus_30|            Favorable
str_relation_plus_40|             Supportive
str_relation_plus_50|              Friendly
str_relation_plus_60|               Gracious
str_relation_plus_70|                 Fond
str_relation_plus_80|                  Loyal
str_relation_plus_90|                   Devoted
str_relation_mnus_100_ns|{s60} is vengeful towards you.
str_relation_mnus_90_ns|{s60} is vengeful towards you.
str_relation_mnus_80_ns|{s60} is vengeful towards you.
str_relation_mnus_70_ns|{s60} is hateful towards you.
str_relation_mnus_60_ns|{s60} is hateful towards you.
str_relation_mnus_50_ns|{s60} is hostile towards you.
str_relation_mnus_40_ns|{s60} is angry towards you.
str_relation_mnus_30_ns|{s60} is resentful against you.
str_relation_mnus_20_ns|{s60} is grumbling against you.
str_relation_mnus_10_ns|{s60} is suspicious towards you.
str_relation_plus_0_ns|{s60} is indifferent against you.
str_relation_plus_10_ns|{s60} is cooperative towards you.
str_relation_plus_20_ns|{s60} is welcoming towards you.
str_relation_plus_30_ns|{s60} is favorable to you.
str_relation_plus_40_ns|{s60} is supportive to you.
str_relation_plus_50_ns|{s60} is friendly to you.
str_relation_plus_60_ns|{s60} is gracious to you.
str_relation_plus_70_ns|{s60} is fond of you.
str_relation_plus_80_ns|{s60} is loyal to you.
str_relation_plus_90_ns|{s60} is devoted to you.
str_relation_reg1| Relation: {reg1}
str_center_relation_mnus_100|The populace hates you with a passion
str_center_relation_mnus_90|The populace hates you intensely
str_center_relation_mnus_80|The populace hates you strongly
str_center_relation_mnus_70|The populace hates you
str_center_relation_mnus_60|The populace is hateful to you
str_center_relation_mnus_50|The populace is extremely hostile to you
str_center_relation_mnus_40|The populace is very hostile to you
str_center_relation_mnus_30|The populace is hostile to you
str_center_relation_mnus_20|The populace is against you
str_center_relation_mnus_10|The populace is opposed to you
str_center_relation_plus_0|The populace is indifferent to you
str_center_relation_plus_10|The populace is acceptive to you
str_center_relation_plus_20|The populace is cooperative to you
str_center_relation_plus_30|The populace is somewhat supportive to you
str_center_relation_plus_40|The populace is supportive to you
str_center_relation_plus_50|The populace is very supportive to you
str_center_relation_plus_60|The populace is loyal to you
str_center_relation_plus_70|The populace is highly loyal to you
str_center_relation_plus_80|The populace is devoted to you
str_center_relation_plus_90|The populace is fiercely devoted to you
str_town_prosperity_0|The poverty of the town of {s60} is unbearable
str_town_prosperity_10|The squalorous town of {s60} is all but deserted.
str_town_prosperity_20|The town of {s60} looks a wretched, desolate place.
str_town_prosperity_30|The town of {s60} looks poor and neglected.
str_town_prosperity_40|The town of {s60} appears to be struggling.
str_town_prosperity_50|The town of {s60} seems unremarkable.
str_town_prosperity_60|The town of {s60} seems to be flourishing.
str_town_prosperity_70|The prosperous town of {s60} is bustling with activity.
str_town_prosperity_80|The town of {s60} looks rich and well-maintained.
str_town_prosperity_90|The town of {s60} is opulent and crowded with well-to-do people.
str_town_prosperity_100|The glittering town of {s60} openly flaunts its great wealth.
str_village_prosperity_0|The poverty of the village of {s60} is unbearable.
str_village_prosperity_10|The village of {s60} looks wretchedly poor and miserable.
str_village_prosperity_20|The village of {s60} looks very poor and desolate.
str_village_prosperity_30|The village of {s60} looks poor and neglected.
str_village_prosperity_40|The village of {s60} appears to be somewhat poor and struggling.
str_village_prosperity_50|The village of {s60} seems unremarkable.
str_village_prosperity_60|The village of {s60} seems to be flourishing.
str_village_prosperity_70|The village of {s60} appears to be thriving.
str_village_prosperity_80|The village of {s60} looks rich and well-maintained.
str_village_prosperity_90|The village of {s60} looks very rich and prosperous.
str_village_prosperity_100|The village of {s60}, surrounded by vast, fertile fields, looks immensely rich.
str_war_report_minus_4|we are about to lose the war
str_war_report_minus_3|the situation looks bleak
str_war_report_minus_2|things aren't going too well for us
str_war_report_minus_1|we can still win the war if we rally
str_war_report_0|we are evenly matched with the enemy
str_war_report_plus_1|we have a fair chance of winning the war
str_war_report_plus_2|things are going quite well
str_war_report_plus_3|we should have no difficulty defeating them
str_war_report_plus_4|we are about to win the war
str_persuasion_summary_very_bad|You try your best to persuade {s50}, but none of your arguments seem to come out right. Every time you start to make sense, you seem to say something entirely wrong that puts you off track. By the time you finish speaking you've failed to form a single coherent point in your own favour, and you realise that all you've done was dig yourself deeper into a hole. Unsurprisingly, {s50} does not look impressed.
str_persuasion_summary_bad|You try to persuade {s50}, but {reg51?she:he} outmanoeuvres you from the very start. Even your best arguments sound hollow to your own ears. {s50}, likewise, has not formed a very high opinion of what you had to say.
str_persuasion_summary_average|{s50} turns out to be a skilled speaker with a keen mind, and you can't seem to bring forth anything concrete that {reg51?she:he} cannot counter with a rational point. In the end, neither of you manage to gain any ground in this discussion.
str_persuasion_summary_good|Through quick thinking and smooth argumentation, you manage to state your case well, forcing {s50} to concede on several points. However, {reg51?she:he} still expresses doubts about your request.
str_persuasion_summary_very_good|You deliver an impassioned speech that echoes through all listening ears like poetry. The world itself seems to quiet down in order to hear you better . The inspiring words have moved {s50} deeply, and {reg51?she:he} looks much more well-disposed towards helping you.
str_name_1|Adanedhel
str_name_2|Ondoher
str_name_3|Aerandir
str_name_4|Agarwaen
str_name_5|Ailinel
str_name_6|Aldarion
str_name_7|Almarian
str_name_8|Amandil
str_name_9|Amlaith
str_name_10|Anardil
str_name_11|Anborn
str_name_12|Andróg
str_name_13|Angbor
str_name_14|Arador
str_name_15|Araglas
str_name_16|Arahael
str_name_17|Arantar
str_name_18|Arassuil
str_name_19|Alcarin
str_name_20|Belegund
str_name_21|Bereg
str_name_22|Bergil
str_name_23|Borthand
str_name_24|Ceorl
str_name_25|Ciryon
str_name_26|Damrod
str_name_27|Derufin
str_name_28|Dorlas
str_name_29|Duilin
str_name_30|Duinhir
str_name_31|Egalmoth
str_name_32|Emeldir
str_name_33|Eradan
str_name_34|Erellont
str_name_35|Erendis
str_name_36|Falathar
str_name_37|Fengel
str_name_38|Forweg
str_name_39|Frumgar
str_name_40|Fuinur
str_name_41|Galdor
str_name_42|Gethron
str_name_43|Gorlim
str_name_44|Grithnir
str_name_45|Gundor
str_name_46|Hador
str_name_47|Haldar
str_name_48|Hallacar
str_name_49|Hathol
str_name_50|Herion
str_name_51|Hild
str_name_52|Hunthor
str_name_53|Imlach
str_name_54|Ioreth
str_name_55|Ivorwen
str_name_56|Labadal
str_name_57|Larnach
str_name_58|Magor
str_name_59|Mairen
str_name_60|Malach
str_name_61|Malantur
str_name_62|Malvegil
str_name_63|Mardil
str_name_64|Meneldur
str_name_65|Minalcar
str_name_66|Minohtar
str_name_67|Ondoher
str_name_68|Orleg
str_name_69|Orodreth
str_name_70|Ostoher
str_name_71|Pelendur
str_name_72|Ragnor
str_name_73|Sador
str_name_74|Súrion
str_name_75|Thorongil
str_name_76|Turambar
str_name_77|Ulfast
str_name_78|Ulwarth
str_name_79|Valacar
str_name_80|Wulf
str_name_elf_1|Merlkir
str_name_elf_2|Romanoir
str_name_elf_3|Aegnor
str_name_elf_4|Amdír
str_name_elf_5|Amras
str_name_elf_6|Annael
str_name_elf_7|Aredhel
str_name_elf_8|Arminas
str_name_elf_9|Caranthir
str_name_elf_10|Curufin
str_name_elf_11|Daeron
str_name_elf_12|Eluchíl
str_name_elf_13|Edrahil
str_name_elf_14|Eluréd
str_name_elf_15|Erestor
str_name_elf_16|Faelivrin
str_name_elf_17|Finrod
str_name_elf_18|Felagund
str_name_elf_19|Galathil
str_name_elf_20|Galdor
str_name_elf_21|Gelmir
str_name_elf_22|Gildor
str_name_elf_23|Guilin
str_name_elf_24|Ithilbor
str_name_elf_25|Lindir
str_name_elf_26|Lómion
str_name_elf_27|Maedhros
str_name_elf_28|Maeglin
str_name_elf_29|Malgalad
str_name_elf_30|Nellas
str_name_elf_31|Nerdanel
str_name_elf_32|Nerwen
str_name_elf_33|Nimloth
str_name_elf_34|Orodreth
str_name_elf_35|Oropher
str_name_elf_36|Orophin
str_name_elf_37|Saeros
str_name_dwarf_1|Assistnik
str_name_dwarf_2|Vader
str_name_dwarf_3|Azaghâl
str_name_dwarf_4|Bifur
str_name_dwarf_5|Bofur
str_name_dwarf_6|Bombur
str_name_dwarf_7|Borin
str_name_dwarf_8|Dori
str_name_dwarf_9|Dwalin
str_name_dwarf_10|Farin
str_name_dwarf_11|Frár
str_name_dwarf_12|Frerin
str_name_dwarf_13|Frór
str_name_dwarf_14|Gamil
str_name_dwarf_15|Gróin
str_name_dwarf_16|Grór
str_name_dwarf_17|Ibun
str_name_dwarf_18|Khîm
str_name_dwarf_19|Lóni
str_name_dwarf_20|Mîm
str_name_dwarf_21|Nár
str_name_dwarf_22|Narvi
str_name_dwarf_23|Nori
str_name_dwarf_24|Óin
str_name_dwarf_25|Ori
str_name_dwarf_26|Telchar
str_name_dwarf_27|Marco
str_name_dwarf_28|Octo
str_name_orc_1|Triglav
str_name_orc_2|Adgulg
str_name_orc_3|Aghed
str_name_orc_4|Aguk
str_name_orc_5|Alog
str_name_orc_6|Azhug
str_name_orc_7|Bagdud
str_name_orc_8|Bargulg
str_name_orc_9|Bog
str_name_orc_10|Borug
str_name_orc_11|Bulgan
str_name_orc_12|Bumhug
str_name_orc_13|Carguk
str_name_orc_14|Dalthu
str_name_orc_15|Derthag
str_name_orc_16|Dregu
str_name_orc_17|Dugarod
str_name_orc_18|Ertguth
str_name_orc_19|Fandagh
str_name_orc_20|Farghed
str_name_orc_21|Fozhug
str_name_orc_22|Furbog
str_name_orc_23|Gholug
str_name_orc_24|Gnalurg
str_name_orc_25|Grug
str_name_orc_26|Haguk
str_name_orc_27|Hoknuk
str_name_orc_28|Igmut
str_name_orc_29|Jolagh
str_name_orc_30|Jukha
str_name_orc_31|Karguk
str_name_orc_32|Klog
str_name_orc_33|Krothu
str_name_orc_34|Kulgha
str_name_orc_35|Margulg
str_name_orc_36|Mazhug
str_name_orc_37|Naghat
str_name_orc_38|Nugbu
str_name_orc_39|Nurbag
str_name_orc_40|Oggha
str_name_orc_41|Olodagh
str_name_orc_42|Omogulg
str_name_orc_43|Opoguk
str_name_orc_44|Orgoth
str_name_orc_45|Perthag
str_name_orc_46|Pofhug
str_name_orc_47|Prutha
str_name_orc_48|Raguk
str_name_orc_49|Romarod
str_name_orc_50|Rugbu
str_name_orc_51|Sargulg
str_name_orc_52|Slog
str_name_orc_53|Suhgan
str_name_orc_54|Surgha
str_name_orc_55|Torug
str_name_orc_56|Turbag
str_name_orc_57|Urghat
str_name_orc_58|Varguk
str_name_orc_59|Zlog
str_name_orc_60|Zunuguk
str_surname_1|{s50} of Tarnost
str_surname_2|{s50} of Lossarnach
str_surname_3|{s50} of Erech
str_surname_4|{s50} of Edhellond
str_surname_5|{s50} of Pelargir
str_surname_6|{s50} of Linhir
str_surname_7|{s50} of Ethring
str_surname_8|{s50} of Aldburg
str_surname_9|{s50} of Isengard
str_surname_10|{s50} of Westfold
str_surname_11|{s50} of Erebor
str_surname_12|{s50} of Eastfold
str_surname_13|{s50} of Morannon
str_surname_14|{s50} of Cirith Ungol
str_surname_15|{s50} of Osgiliath
str_surname_16|{s50} of Moria
str_surname_17|{s50} of Dale
str_surname_18|{s50} of Esgaroth
str_surname_19|{s50} of Dol Guldur
str_surname_20|{s50} of Gundabad
str_surname_21|{s50} the Long
str_surname_22|{s50} the Gaunt
str_surname_23|{s50} the Nazgul
