pt_rescued_prisoners|Врятовані бранці
pt_moria_war_party|МоріЇське військо
pt_guldur_war_party|Військовий загін Дол Гулдуру
pt_rhun_war_party|Рунійське військо
pt_gondor_company|Дозорний загін Мінас-Тіріту
pt_rohan_company|Роганський загін
pt_imladris_company|Загін Рівенделлу
pt_lorien_company|Лоріенський загін
pt_woodelf_company|Загін ельфів Темнолісся
pt_dale_company|Загін Дейлу
pt_dwarf_company|Загін Гномів
pt_gondor_elite_company|Гондорський добірний загін
pt_rohan_elite_company|Роганський добірний загін
pt_imladris_elite_company|Добірний загін Рівенделлу
pt_lorien_elite_company|Лоріенський добірний загін
pt_woodelf_elite_company|Добірний загін ельфів Темнолісся
pt_dale_elite_company|Добірний загін Дейлу
pt_dwarf_elite_company|Добірний загін гномів
pt_gondor_caravan|Гондорський караван
pt_rohan_caravan|Роганський караван
pt_imladris_caravan|Караван Рівенделлу
pt_lorien_caravan|Лоріенський караван
pt_woodelf_caravan|Темнолісський караван
pt_dale_caravan|Караван Дейла
pt_dwarf_caravan|Ереборський караван
pt_mordor_caravan|Мордорський обоз
pt_isengard_caravan|Ізенгардський обоз
pt_gunda_caravan|Гундабадський обоз
pt_gondor_p_train|Гондорський конвой
pt_rohan_p_train|Роганський конвой
pt_imladris_p_train|Рівендельський конвой
pt_lorien_p_train|Лоріенський конвой
pt_woodelf_p_train|Темнолісський конвой
pt_dale_p_train|Конвой Дейлу
pt_dwarf_p_train|Ереборський конвой
pt_mordor_p_train|Мордорський конвой
pt_isengard_p_train|Ізенгардський конвой
pt_kingdom_hero_party|Військо
pt_caravan_survivors|Ті, що врятувалися караванники
pt_routed_allies|Втікші союзники
pt_routed_enemies|Втікші вороги
pt_legion_minas_morgul|Легіон Мінас-Ітілю
pt_legion_udun|Легіон Удуну
pt_legion_gorgoroth|Легіон Горгорота
pt_legion_barad_dur|Легіон Барад-Дуру
pt_beorn_messenger|Беорнінгський посильний
pt_village|Село
pt_ring_hunters|Мисливці за Перснем
pt_scout_camp_small|Табір розвідників
pt_scout_camp_large|Укріплений табір розвідників
pt_beorn_caravan|Караван лісовиків
pt_orc_horde|Орда Орків
pt_volunteers|Резерви
pt_refugees|Біженці
pt_retreat_troops|Війська прикриття
pt_radagast|Самотній вершник
