itm_horse_meat|Конина
itm_isen_orc_mail_a|Пошта орків Ізенгарда
itm_isen_orc_mail_b|Важка сегментована броня орків Ізенгарда
itm_isen_uruk_light_a|Урук-хайська легка броня
itm_isen_uruk_light_b|Бойова упряж Урук-хай
itm_isen_uruk_light_c|Урук-хай берсерк
itm_isen_uruk_med_a|Легка сегментована броня Урук-хай
itm_isen_uruk_med_b|Пошта Урук-Хай
itm_isen_uruk_heavy_a|Середній сегментований обладунок Урук-хай\n 
itm_isen_uruk_heavy_b|Важка пошта Урук-хай
itm_isen_uruk_heavy_c|Повна сегментована броня Урук-хай
itm_isen_uruk_heavy_d|Урук-хайська шкіряна броня слідопита
itm_isen_uruk_heavy_e|Урук-хайська шкіряна броня слідопита
itm_uruk_tracker_boots|Урукські чоботи слідопита
itm_uruk_greaves|Урукські поножі
itm_uruk_chain_greaves|Урукські кольчужні поножі
itm_uruk_ragwrap|Урукські рвані обмотки
itm_isen_orc_helm_a|Шлем орка Ізенгарда
itm_isen_uruk_helm_a|Урук-хайський шолом
itm_isen_uruk_helm_d|Урук-хайський шолом полководця
itm_isen_uruk_helm_e|Урук-хайський шолом слідопита
itm_uruk_pike_b|Мордорська піка
itm_uruk_falchion_a|Урукський фальшіон
itm_uruk_falchion_b|Великий Оркський Ятаган
itm_isengard_sword|Ізенґардський меч
itm_isengard_axe|Ізенґардська сокира
itm_isengard_hammer|Ізенґардський молот
itm_isengard_halberd|Ізенґардська алебарда
itm_isengard_mallet|Ізенґардський молоток
itm_isengard_heavy_axe|Ізенґардська важка сокира
itm_isengard_heavy_sword|Ізенґардський важкий меч
itm_isengard_spear|Ізенґардський спис
itm_isengard_pike|Ізенґардська піка
itm_isen_orc_shield_a|Ізенґардський орочий щит
itm_isen_orc_shield_b|Ізенґардський орочий щит
itm_isen_uruk_shield_b|Ізенґардський урукський щит
itm_wood_club|Дерев'яна дубина
itm_twohand_wood_club|Велика дерев'яна дубина
itm_bone_cudgel|Кістяна дубина
itm_orc_pick|Оркське Кайло
itm_orc_hammer|Молот Зла
itm_orc_club_b|Дубина вовчого вершника
itm_orc_club_c|Шпичаста оркська дубина
itm_orc_club_d|Зловісна булава
itm_orc_sledgehammer|Оркська кувалда
itm_orc_simple_spear|Оркський спис
itm_orc_skull_spear|Оркський спис з черепом
itm_orc_bill|Оркський Держак
itm_orc_slasher|Оркський Короткий меч
itm_orc_falchion|Оркський фальшіон
itm_orc_scimitar|Оркський ятаган
itm_orc_sabre|Оркська шабля
itm_orc_battle_axe|Оркська бойова сокира
itm_orc_axe|Оркська сокира
itm_orc_two_handed_axe|Велика Оркська сокира
itm_orc_throwing_axes|Оркські метальні сокири
itm_orc_bow|Оркський лук
; itm_orc_shield_a|Simple Shield
; itm_orc_shield_b|Fur Shield
; itm_orc_shield_c|Fur Tower Shield
itm_mordor_orc_shield_a|Мордорський орочий щит
itm_mordor_orc_shield_b|Мордорський орочий щит
itm_mordor_orc_shield_c|Мордорський орочий щит
itm_mordor_orc_shield_d|Мордорський орочий щит
itm_mordor_orc_shield_e|Мордорський орочий щит
itm_mordor_uruk_shield_a|Мордорський урукський щит
itm_mordor_uruk_shield_b|Мордорський урукський щит
itm_mordor_uruk_shield_c|Мордорський урукський щит
itm_mordor_man_shield_a|Мордорський людський щит
itm_mordor_man_shield_b|Мордорський людський щит
itm_angmar_shield|Анґмарський щит
itm_orc_nosehelm|Оркський шолом з наносником
itm_orc_kettlehelm|Оркський шолом-капеліна
itm_orc_buckethelm|Оркська цукрова голова
itm_orc_morion|Оркський моріон
itm_orc_beakhelm|Орочий шолом з дзьобом
itm_orc_bughelm|Оркський шолом жука
itm_orc_visorhelm|Орочий шолом з прорізом
itm_m_orc_light_a|Мордорська ороча легка броня
itm_m_orc_light_b|Мордорська ороча легка броня
itm_m_orc_light_c|Мордорська ороча легка броня
itm_m_orc_light_d|Мордорська ороча легка броня
itm_m_orc_light_e|Мордорська ороча легка броня
itm_m_orc_heavy_a|Мордорська ороча важка броня
itm_m_orc_heavy_b|Мордорська ороча важка броня
itm_m_orc_heavy_c|Мордорська ороча важка броня
itm_m_orc_heavy_d|Мордорська ороча важка броня
itm_m_orc_heavy_e|Мордорська ороча важка броня
itm_m_uruk_light_a|Урукська броня
itm_m_uruk_light_b|Урукська шкіряна броня
itm_m_uruk_light_c|Урукська легка кольчуга
itm_m_uruk_med_a|Урукська посилена шкірянка
itm_m_uruk_med_b|Урукська важка кольчуга
itm_m_uruk_med_c|Урукська легка луската броня
itm_m_uruk_heavy_a|Урукська важка луската броня
itm_m_uruk_heavy_b|Урукська пластинчата броня
itm_m_uruk_heavy_c|Обладунок Лугбурзу
itm_m_cap_armor|Мордорська броня полководця
itm_black_num_armor|Броня чорного нумінорця
itm_m_armor_a|Мордорська броня
itm_m_armor_b|Мордорська броня
itm_evil_light_armor|Страхітливе вбрання
itm_uruk_helm_a|Урукський шолом
itm_uruk_helm_b|Урукський шолом
itm_uruk_helm_c|Урукський шолом з дзьобом
itm_uruk_helm_d|Урукський страхітливий шолом
itm_uruk_helm_e|Урукський шолом з маскою
itm_uruk_helm_f|Урукський шолом
itm_mordor_cap_helm|Мордорський шолом полководця
itm_mordor_helm|Мордорський шолом
itm_black_num_helm|Шолом чорного нумінорця
itm_mordor_sword|Мордорський Меч-бастард
itm_mordor_longsword|Мордорський меч
itm_moria_armor_a|Морійський нагрудник
itm_moria_armor_b|Морійський нагрудник з наплічниками
itm_moria_armor_c|Морійськая ороча кольчуга
itm_moria_armor_d|Морійська Клепана шкіряна броня
itm_moria_armor_e|Морійськая ороча важка кольчуга
itm_moria_orc_shield_a|Великий Щит Морії
itm_moria_orc_shield_b|Морійський орочий щит
itm_moria_orc_shield_c|Морійський орочий щит
itm_gundabad_armor_a|Гундабадське оркське лахміття
itm_gundabad_armor_b|Гундабадськи орочий хутряний одяг
itm_gundabad_armor_c|Гундабадська ороча броня
itm_gundabad_armor_d|Гундабадська ороча броня
itm_gundabad_armor_e|Гундабадська ороча важка броня
itm_gundabad_helm_a|Шкіряна шапка
itm_gundabad_helm_b|Шкіряний шолом
itm_gundabad_helm_c|Гундабадський шолом
itm_gundabad_helm_d|Гундабадський шолом
itm_gundabad_helm_e|Шолом вовчого наїзника
itm_dunland_wolfboots|Дунландські вовчі черевики
itm_dunland_tunic_1|Дунландська шкіряна туніка
itm_dunland_tunic_2|Дунландська шкіряна туніка
itm_dunland_fur_1|Дунланьдське хутро
itm_dunland_fur_2|Дунланьдське хутро
itm_dunland_mail_1|Дунландський гауберк
itm_dunland_mail_2|Дунландський гауберк
itm_dunland_chieftain|Дунландська броня гетьмана
itm_dun_helm_a|Дунландський вовчий шолом
itm_dun_helm_b|Дунландська хутряна шапка
itm_dun_helm_c|Дунландський високий шолом
itm_dun_helm_d|Дунландський високий шолом
itm_dun_helm_e|Дунландський Оленячий Шолом
; itm_dun_shield_a|Dunnish Roundshield
; itm_dun_shield_b|Dunnish Oval Shield
itm_dun_berserker|Меч дунландського вождя
itm_dunnish_antler_axe|Дунландська сокира з оленячого рогу
itm_dunnish_war_axe|Дунландська бойова сокира
itm_dunnish_axe|Дунландська сокира
itm_dunland_spear|Дунландський спис
itm_dunnish_pike|Дунландська піка
itm_rohan_cav_sword|Роганський кавалерійський меч
itm_rohan_inf_sword|Роганський меч
itm_rohan_spear|Роганський спис
itm_rohan_lance|Роганський кавалерійський спис
itm_rohan_sword_c|Роганський меч
itm_rohirrim_short_axe|Роганська коротка сокира
itm_rohirrim_long_hafted_axe|Роганська велика сокира
itm_rohan_2h_sword|Роганський бойовий меч
itm_rohan_recruit|Роганська підбита куртка
itm_rohan_leather|Роганський шкіряний нагрудник
itm_rohan_mail|Роганський гауберк
itm_rohan_rider|Роганська броня вершника
itm_rohan_scale|Роганська луската броня
itm_rohan_surcoat|Роганське сюрко
itm_rohan_guard|Роганська броня стражника
itm_rohan_light_helmet_a|Роганський легкий шолом
itm_rohan_light_helmet_b|Роганський легкий шолом
itm_rohan_inf_helmet_a|Роганський шолом з прорізом
itm_rohan_inf_helmet_b|Роганський шолом з прорізом
itm_rohan_archer_helmet_a|Роганський шолом з наносником
itm_rohan_archer_helmet_b|Роганський шолом з наносником
itm_rohan_archer_helmet_c|Роганський шолом стражника
itm_rohan_shield_a|Роганський щит
itm_rohan_shield_b|Роганський щит
itm_rohan_shield_c|Роганський щит
itm_rohan_shield_d|Роганський щит
itm_rohan_shield_e|Роганський щит
itm_rohan_shield_f|Роганський щит
itm_rohan_shield_g|Роганський королівський щит
itm_rohan_light_greaves|Роганські легкі поножі
itm_rohirrim_war_greaves|Роганські бойові поножі
itm_mirkwood_leather|шкіряна броня лісових Ельфів
itm_mirkwood_pad|Стьобане пальто Темнолісся
itm_mirkwood_mail|Кольчуга Темнолісся
itm_mirkwood_scale|Легка луската броня Темнолісся
itm_mirkwood_heavy_scale|Лускатий Обладунок Зеленолісся
itm_mirkwood_sword|Меч Лісових ельфів
itm_mirkwood_great_spear|Великий спис Темнолісся
itm_mirkwood_war_spear|Бойовий спис Темнолісся
itm_mirkwood_short_spear|Спис лісових ельфів 
itm_mirkwood_knife|Ніж лісових Ельфів
itm_mirkwood_axe|Сокира лісових Ельфів
itm_mirkwood_spear_shield_a|Щит лісових Ельфів
itm_mirkwood_spear_shield_b|Військовий щит Темнолісся
itm_mirkwood_spear_shield_c|Круглий шолом лісових Ельфів
itm_mirkwood_helm_a|Шолом лучника лісових Ельфів
itm_mirkwood_helm_b|Шолом Темнолісся
itm_mirkwood_helm_c|Важкий шолом Темнолісся
itm_mirkwood_helm_d|Королівський шолом темнолісся
itm_woodelf_leather_boots|Шкіряні черевики лісових ельфів
itm_mirkwood_boots|Черевики темнолісся
itm_harad_tunic|Харадськия одяг
; itm_harad_padded|Harad Padded Jerkin
; itm_harad_lamellar|Harad Scale Vest
; itm_harad_heavy_lamellar|Harad Heavy Scale Vest
itm_harad_heavy|Броня-Харасьяла
; itm_harad_pectoral|Harad Breastplate
itm_black_snake_armor|Броня-Маранка
itm_harad_champion|Далекохарадський одяг
itm_harad_scale|Харадська луската броня
itm_harad_lion_scale|Левова броня варти 
itm_harad_dragon_helm|Шолом Кілока
itm_harad_cav_helm_a|Легкий шлем Харондора
itm_harad_cav_helm_b|Легкий шлем Харондора
itm_black_snake_helm|Шолом-Маранка
itm_harad_finhelm|Важкий шолом піхоти Харада
itm_harad_heavy_inf_helm|Шолом лакея Харада
itm_harad_wavy_helm|Кінний шолом Harad
itm_harad_eaglehelm|Шолом Орлиної гвардії
itm_lion_helm|Шолом Левиної гвардії
itm_harad_pantherhelm|Шолом Гвардії пантери
itm_harad_khopesh|Харадський хопеш
; itm_black_snake_sword|Harad Cobra Sword
; itm_harad_heavy_sword|Harad Dragon Sword
itm_horandor_a|Харадський ятаган
itm_skirmisher_sword|Харадський меч застрільника
; itm_harad_sabre|Harad Salamander Sword
itm_harad_mace|Далекохарадськая булава
itm_far_harad_2h_mace|Далекохарадська дворучна булава
itm_harad_dagger|Харадський кинджал
itm_harad_short_spear|Харадський короткий спис
itm_harad_long_spear|Харадський спис
itm_eagle_guard_spear|Спис-харасьяла
itm_harad_long_shield_a|Харадський леопардовий щит
itm_harad_long_shield_b|Харадський бронзовий щит
itm_harad_long_shield_c|Харадський сонячний щит
itm_harad_long_shield_d|Харадський зміїний щит
itm_harad_long_shield_e|Харадський зміїний щит
itm_harad_shield_a|Харондорський щит
itm_harad_shield_b|Харондорський баклер
itm_harad_shield_c|Харондорський баклер
itm_harad_yellow_shield|Харадський щит
itm_desert_boots|Пустельні чоботи
itm_harad_leather_greaves|Гарадські Шкіряні Поножі
itm_harad_scale_greaves|Харадські поножі
itm_harad_lamellar_greaves|Гарадські Пластинчаті Поножі
itm_khand_inf_helm_a|Кхандський шолом
itm_khand_inf_helm_b|Кхандський шолом
itm_khand_inf_helm_c1|Кхандський шолом у вигляді чаші
itm_khand_inf_helm_c2|Кхандський шолом у вигляді чаші
itm_khand_inf_helm_d|Кхандський конусний шолом
itm_khand_cav_helm_a|Кхандський шолом всадника
itm_khand_cav_helm_b|Кхандський шолом всадника
itm_khand_cav_helm_c|Кхандський прикрашений шолом
itm_khand_helm_mask|Кхандськая маска
itm_khand_light|Кхандськая спідниця
itm_khand_light_lam|Кхандський легкий обладунок лакеїв
itm_khand_foot_lam|Кхандський важкий лакейський обладунок
itm_khand_med_lam|Кхандський середній пластинчастий обладунок
itm_khand_heavy_lam|Кхандський важкий пластинчастий обладунок
; itm_khand_mail|Khand Mail
itm_khand_noble_lam|Кхандська броня знатного воїна
itm_khand_axe_great|Кхандська велика сокира
itm_khand_axe_winged|Кхандська крилата сокира
itm_khand_halberd|Кхандська алебарда
itm_khand_trident|Кхандський тризуб
itm_khand_voulge|Кхандський вульж
itm_khand_mace1|Кхандська булава
itm_khand_mace2|Кхандська булава
itm_khand_throwing_axe|Кхандські метальні сокири
itm_khand_rammace|Кхандська бараняча булава
itm_khand_pitsword|Меч бійця
itm_khand_tulwar|Кхандський тальвар
itm_khand_2h_tulwar|Кханд Великий Тулвар
itm_khand_lance|Кхандський кавалерійський спис
itm_easterling_round_horseman|Істерлінгський круглий щит
itm_variag_gladiator_shield|Істерлінгський ямний щит
itm_easterling_hawk_shield|Істерлінгський соколиний щит
itm_rhun_bull1_shield|Рунійський щит
itm_rhun_bull2_shield|Рунійський щит
itm_rhun_bull3_shield|Рунійський щит
itm_rhun_shield|Рунійський краплеподібний щит
itm_rhun_armor_a|Рунійське легке бойове вбрання
itm_rhun_armor_b|Рунійське легке бойове вбрання
itm_rhun_armor_d|Рунійське легке бойове вбрання
itm_rhun_armor_g|Рунійське важке бойове вбрання
itm_rhun_armor_h|Рунійське важке бойове вбрання
itm_rhun_armor_j|Рунійське середнє бойове вбрання
itm_rhun_armor_m|Рунійське середнє бойове вбрання
itm_rhun_armor_n|Рунійське середнє бойове вбрання
itm_rhun_armor_o|Рунійське середнє бойове вбрання
itm_rhun_armor_p|Рунійська броня знатного воїна
itm_rhun_armor_k|Рунійська броня знатного воїна
itm_rhun_helm_chieftain|Рунійський шолом вождя
itm_rhun_helm_pot|Рунійський Шолом Казанок
itm_rhun_helm_barbed|Рунійський шолом з шипами
itm_rhun_helm_round|Рунійський круглий шолом
itm_rhun_helm_leather|Рунійський шкіряний шолом
itm_rhun_warpick|Рунійське Бойове Кайло
