qstr_Received_{reg0}_dama|Отримано {reg0} шкоди.
qstr_1_Res.Pt__{s2}_|1 Оч.Поста. ({s2})
qstr_{reg1}_Res.Pts__{s2}|{reg1} Оч.Поста ({s2})
qstr_+30_to_Party_Morale|+30 до бойового духу загону
qstr_+20_to_Party_Morale|+20 до бойового духу загону
qstr_+1_to_Riding_Skill|+1 до навички верхової їзди
qstr_during_battles|під час боїв
qstr_+1_to_Pathfinding|+1 до навички пошуку шляху
qstr_+2_to_Wound_Treatmen|+2 до лікування ран (вечірка)
qstr_+2_to_Surgery__Party|+2 до хірургії (вечірка)
qstr_+2_to_Pathfinding__P|+2 до Пошуку шляху (Вечірка)
qstr_Use_from_Camp_Menu|Використати у меню табору
qstr_Use_from|Використовуйте у
qstr_Action_Menu|Меню дій
qstr_Bonus_to_Wound_Treat|Бонус до лікування ран (вечір)
qstr_Bonus_to_Surgery__Pa|Бонус до операції (вечір'я)
qstr_Bonus_to_First_Aid__|Бонус до першої допомоги (партія)
qstr_+1_to_Weapon_Mastery|+1 до навички Бойової Майстерності
qstr_+1_to_Wound_Treatmen|+1 до навички Лікування Ран
qstr_+1_to_Tactics|+1 до навички Тактики
qstr_+1_to_Power_Strike|+1 до навички Потужного Удару
qstr_+1_to_Strength|+1 до Сили
qstr_+1_to_Agility|+1 до Спритність
qstr_+1_to_Leadership|+1 до навички Лідерства
qstr_+1_to_Wildcraft|+1 до Знання Лісу
qstr_+1_to_Tracking|+1 до Відстеження
qstr_+1_to_Athletics|+1 до навички атлетики
qstr_when_equipped|коли одягнуте на персонажі
qstr_+1_to_Power_Draw|+1 до навички Потужного Пострілу
qstr_The_record_of_Balin_|Записи зниклої експедиції Баліна.
qstr_Who_might_be_interes|Кому це може бути цікаво?
qstr_Bonus_to_Shield_Skil|Бонус до Володіння Щитом
qstr_Turns_nature_to_your|Закликає сили природи
qstr_when_equipped.__Effe|коли застосовано. (Росте з навиком Єднання з природою)
qstr_Bonus_to_Power_Strik|Бонус до Потужного удару
qstr_+1_to_Trainer|+1 до навички Навчання
qstr_Recruits_Tribal_Orcs|Дозволяє рекрутувати диких орків
qstr_rally|сигнал до збору
qstr_rallies|сигнали до збору
qstr_+{reg1}_{s3}_in_batt|+ {reg1} {s3} під час битви
qstr_+1_to_Charisma|+1 до Харизмі
qstr_Call_Reinforcements|Викликати підкріплення
qstr__Effect_scales_with_|(Шкала ефектів із силою та харизмою)
qstr_+1_to_First_Aid|+1 до навички Першої Допомоги
qstr_+1_to_Surgery|+1 до навички Хірургії
qstr_+1_to_Intelligence|+1 до Інтелекту
qstr_+2_to_Surgery|+2 до Хірургії
qstr_+1_to_Riding|+1 до Верхової їзди
qstr_+1_to_Mounted_Archer|+1 до Верхової стрільби
qstr_Bonus_to_Riding|Бонус до Верхової їзди
qstr_when_equipped.__Effec|коли застосовано. (Ефект залежить від сили)
qstr_Orcs:_+1_Riding_Requ|Орки: +1 Вимога до Верхової їзди
qstr_+1_to_Prisoner_Mgmt|+1 до навички Утримання Полонених
qstr_+2_to_Tactics|+2 до Тактики
qstr_+1_Intelligence|+1 до Інтелекту
qstr_+{reg1}_to_Spotting|+{reg1} до Відстеження
qstr__Scales_with_Wildcra|(Росте з навиком Єднання з природою)
qstr_Strengthens_all_Hero|Зміцнює всіх Героїв
qstr_+2_to_First_Aid__Par|+2 до першої допомоги (партія)
qstr_lead_more_Uruks|ведіть більше Уруків
qstr_+1_to_Power_Throw|+1 до Потужного Кидка
qstr_Recruit_Black_Numeno|Вербуйте чорних нуменорців з різних місць
qstr__Scales_with_Charism|(Шкали з харизмою. Тільки для лідерів-людей).
qstr_+1_to_Spotting|+1 до Відстеження
qstr_+2_to_Weapon_Master|+2 до Володіння Зброєю
qstr_+2_to_First_Aid|+2 до Перша Допомога
qstr_Less_Dunnish_upkeep|Знижує вміст дунландців
qstr_Less_Wargs_upkeep|Знижує вміст вершників на Варзі
qstr_Light_Armor|Легка броня
qstr_Bonus_to_Strength__P|Бонус до Сили (Тільки для Гравця)
qstr_Lead_more_Orcs|Бонус до Числа Орків
qstr_Can_scare_horses|Кінь може перелякатися
qstr_+{reg1}_to_Party_Mor|+{reg1} до бойового духу загону
qstr_Range:_{reg55}|Дальність: {reg55}
qstr_Dwarves|Гноми
qstr_Humans_and_Elves|Люди та ельфи
qstr_Orcs|Орки
qstr_Uruks_and_Uruk_Hai|Уруки та Урук-Хай
qstr_Humans_Uruks_and_Uru|Люди, уруки та урук-хаї
qstr_Humans|Люди.
qstr_This_item_can_be_use|Цей елемент може бути використаний {s2}
qstr_Do_you_want_to_disem|Ви хочете висадитися?
qstr_Move_here|Перейти
qstr_View_notes|Нотатки
qstr_Looted_your_items|Ваші речі розграбовані
qstr_nothing|нічого
qstr_Good|Добре
qstr_Med|Середньо
qstr_Bad|Погано
qstr_You_gained_{reg84}_e|Ви отримали {reg84} досвіду, завдяки своїм знанням.
qstr_You_gained_{reg84}_w|Ви отримали {обл84} очок зброї завдяки своїй спритності.
qstr_{reg4}_killed_{reg5}|{reg4} вбито, {reg5} поранено, {reg6} втекли
qstr_{reg4}_killed_{reg5}_|{reg4} вбито, {reg5} поранено
qstr_{reg4}_killed_{reg5}_r|{reg4} вбито, {reg5} втекли
qstr_{reg4}_wounded_{reg5|{reg4} поранено, {reg5} втекли
qstr_killed|вбито
qstr_routed|втекли
qstr_wounded|поранено
qstr_{s0}^TOTAL:_{reg3}__|{s0}^ВСЬОГО: {reg3} ({s2})
qstr_^None|^Немає
qstr_near_the_Great_East_|поблизу Великого східного тракту, занедбаної старої дороги
qstr_near_what_is_left_of|поблизу майже зниклої Старої лісової дороги, стародавнього гном'ячого тракту, що проходив через густий ліс
qstr_close_to_the_Hand_sh|біля статуї у вигляді долоні Сарумана, що вказує в сторону вежі Ортханк
qstr_in_sight_of_the_maje|поблизу величних фортечних стін Мінас-ТІріту, Білого Міста
qstr_in_sight_of_Edoras_t|вас помітили в Едорасі, столиці Рогана
qstr_in_sight_of_the_Horn|вас помітили в Хорнбурзі, великої фортеці Рогана
qstr_in_sight_of_Dol_Amro|вас помітили в Дол Амроті, вотчині принців Белфаласа
qstr_in_sight_of_the_Mora|вас помітили у Мораннона, Темних Воріт Мордору
qstr_in_sight_of_Dol_Guld|вас помітили у Дол Гулдурі, північній твердині Саурона
qstr_on_the_green_pasture|на зелених пасовищах і квітучих луках, оточуючих Будинок Беорна
qstr_on_the_shores_of_Lak|на берегах Дзеркального Озера, у Східних Воріт Морії
qstr_on_the_shores_of_the|на берегах Довгого Озера, недалеко від Есгароту, Озерного Міста
qstr_near_the_coast_of_Go|поруч з узбережжям Ґондора. Ви могли чути віддалений звук хвиль і крики чайок.
qstr_in_the_outskirts_of_|на околицях Осгіліату, колишньої столиці Ґондора
qstr_in_sight_of_the_entr|поблизу входу в Еребор, гном'ячу твердиню
qstr_in_sight_of_the_dark|в тіні темної вежі Ортханк
qstr_near_the_Old_Ford_wh|поблизу Старого броду, де Стара лісова дорога перетинає річку Андуїн
qstr_near_a_big_ford_cros|при великому броду через річку {s15}
qstr_near_a_small_ford_cr|поблизу маленького броду через річку {s15}
qstr_Battle_Advantage_=_{= "Перевага в бою = {reg0}."
qstr_{s9}_wants_you_to_re|Полководець {s9} хоче, щоб ви продовжили слідувати за його армією, чекаючи наступних вказівок.
qstr__Being_Raided_|(Під нападом)
qstr__Looted_|(Розграбовано)
qstr__Under_Siege_|(Під облогою)
qstr_{s3}_is_no_longer_un|{s3} більше не під облогою.
qstr_Enemies_spotted_near|Поблизу поселення {s1} помічені вороги.
qstr_Your_relation_with_{|Ваші відносини з містом {s1} покращилися.
qstr_Your_relation_with_{s|Ваші відносини з містом {s1} погіршилися.
qstr_{s1}_gained_faction_|{s1} Збільшив силу фракції!
qstr_{s1}_lost_faction_st|{s1} втратив силу фракції!
qstr_{s2}_{reg3?was:is_cu|{s2} {reg3?Була:був: знаходиться} в {s3}.
qstr_{s2}_{reg3?was:is}_t|{s2} {reg3?{reg4?була:був}:знаходиться} у дорозі до {s3} та {reg3?:на даний момент} {reg3?{reg4?знаходилася:знаходився}:повинен бути} біля {s4}.
qstr_{s2}_{reg3?was:is}_i|{s2} {reg3?була:був} в дорозі і {reg4?вона:він} {reg3?на данний момент} неподалик до {s3}{reg3?:}.
qstr_{s2}_{reg3?was:is}_b|{s2} {reg3?була:був} перебуваючи в полоні в {s3}.
qstr_{s2}_{reg3?was:has_b|{s2} {reg3?була:був} взятий у полон {reg4?її:його} ворогами.
qstr_{reg3?{s2}_s_locatio|{reg3?{s2} знаходиться невідомо де: Я не знаю де {s2}}.
qstr_{s6}_has_joined_your|{s6} приєднався до Вашого загону.
qstr_elven|ельфійський
qstr_dwarven|гном
qstr_orc|орк
qstr_uruk|урук
qstr_uruk_hai|урук-гай
qstr_trollish|троль
qstr_man|людина
qstr_riding|скаче
qstr_marching|йде
qstr_charging|нападає
qstr_We_know_this_is_your|Ми знаємо, що це твоя земля, {playername}.^ Повір, ми прибули сюди, щоб битися з нашим спільним Ворогом.
qstr_I_trust_you._{s20}_a|Я вірю вам. {s20} і {s21} - друзі і повинні довіряти один одному.
qstr_There_is_wisdom_in_y|У ваших словах є мудрість, {playername}.
qstr_Why_should_I?_Better|Чому я повинен вам вірити? Краще покиньте ці землі. Їх охороняє {s20}.
qstr_We_will_go_in_peace_|Ми підемо з миром в той же час, як виконаємо наше завдання, про яке, боюся, ми не можемо тобі розповісти.
qstr_Is_this_your_land_{p|Це твоя країна, {playername}? Тут смердить, скажу я тобі. ^Заспокойся, ми прибули в {s20} лише для того, щоб виконувати накази нашого спільного Володаря.
qstr_Yes_go_on_do_whateve|Добре, їдьте далі, виконуйте, що накаже {s22}.
qstr_Of_course.|Звісно.
qstr_I_don_t_like_this._W|Мені це не подобається. Звідки вас принесло? {s21}! Навіщо ви прийшли?
qstr_Do_you_fear_us_{play|Ти боїшся нас, {playername}, що борешся за {s20}? Гм, ти щось приховуєш, хочеш обдурити {s22}?^^Залиш нас у спокої, і ніхто не постраждає.
qstr_It_s_a_servant_of_{s|Ось слуга, чий владика - {s22}. Так злякає тебе {s23}, {playername}!
qstr_Our_allies_are_you?_|Ви наші союзники? Думаю, ви можете пройти.
qstr_And_we_shall_not_kil|Ми поки що не будемо тебе вбивати!, поки що!.
qstr_This_land_belongs_to|{s20} володіє цією землею... {s23} тут нічого немає.
qstr_We_will_stay_as_long|Ми залишимося, доки велить наш господар! Дякую своїй долі, що ми не за тобою прийшли.
qstr_You_wear_the_colors_|Ви носите кольори {с20}. Чим займаєтесь у {с21}?^Говори швидко!
qstr_We_are_pursuing_our_|Ми переслідуємо наших ворогів, які також є вашими ворогами!
qstr_Maybe._Or_maybe_you_|Може бути. Або, можливо, ви шпигуни.^Поверніться туди, де вам місце, солдате {с20}.
qstr_We_are_friends_of_{s|Ми друзі {с21}.
qstr_Time_will_tell_if_yo|Час покаже, чи говорите ви правду. Сьогодні важко відрізнити друга від ворога.
qstr_What_are_you_doing_h|Що ти робиш тут у {с21}, {с20} покидьки? Це наше місце, а не ваше!
qstr_You_dare_question_di|Ви смієте поставити під сумнів прямі замовлення від {s23}?\n 
qstr_Guess_not._But_I_sti|Гадаю ні. Але мені все одно не подобається, щоб ти був поруч.^Я буду спостерігати за тобою, {playername} з {s20}.
qstr_None_of_your_busines|Не твоэ діло свиньо
qstr_*growls*^You_should_|*гарчить*^Ти маєш бути радий, що борешся за нашого Господа, інакше тобі не зійде з рук цей посягання.
qstr_What_are_you_doing_s|Що ти робиш так далеко від дому, рабе {s22}? Навколо, {s23} — Майстер!
qstr_Quiet!_I_didn_t_came|Спокійно! Я прийшов не за тобою. Цього разу.
qstr_And_I_ve_orders_to_l|І я маю наказ пропустити вас. Цього разу.
qstr_None_of_your_business|Не твоэ дiло
qstr_You_slaves_of_{s22}_|Ви, раби {s22}, слабкі! Вам пощастило, що ми вважаємо вас союзниками...
qstr_Look_whom_we_meet_so|Подивіться, кого ми зустрічаємо так далеко від дому: солдатів {s20}! Це гарна новина чи погана?
qstr_{s20}_and_{s21}_figh|{s20} і {s21} борються за спільну справу. Ми повинні співпрацювати на ворожих землях.
qstr_In_these_dark_times_|У ці темні часи кожен сам за себе, {playername}.^Але я бажаю тобі безпечної дороги додому.
qstr_Neither_good_nor_bad|Не добре, не погано. Наш бізнес – це наш власний бізнес
qstr_Everybody_on_his_way|Тоді всі в дорогу.
qstr_What_are_you_trying_|Що ти намагаєшся зробити, {s20} покидько? Вкрасти нашу здобич?
qstr_Ha!_Soon_there_will_|Ха! Скоро буде здобич для всіх
qstr_Yes._Unless_you_get_|Так. Якщо вас не вб’ють першим.
qstr_You_don_t_get_any_sp|Ви не отримаєте жодної здобичі, якщо ТЕБЕ вб'ють, покидьки {s21}.
qstr_Is_that_a_threat?_Be|Це загроза? Будьте вдячні, що у нас є вороги, яких потрібно вбити, поки не настане ваша черга.
qstr_The_enemy_is_upon_us|Ворог на нас! ^
qstr_They_are_upon_us!_^|Вони на нас! ^
qstr_{playername}_and_{hi|{playername} та {his/її} зграя з {s18} на нас! ^\n 
qstr_ORCS!_ORCS!|ОРКИ! ОРКИ!
qstr_ORCS!_ORCS!_Fight_fo|ОРКИ! ОРКИ! Боріться за своє життя!
qstr_Elven_ghosts!|Ельфійські привиди!
qstr_Here_they_come!_Hold|Ось вони прийшли! Тримай чини!
qstr_We_are_under_attack!|Ми під ударом!
qstr_Horse_people!_The_ho|Люди коні! Кінь на нас!
qstr_Men_from_the_White_C|Чоловіки з Білого міста? Нехай прийдуть, на смерть!
qstr_Death_to_men!|Смерть людям !
qstr_Kill_the_maggots!|Вбийте опаришів!
qstr_Death_to_traitors_of|Смерть зрадникам Ока!
qstr_Death_to_traitors_of_|Смерть зрадникам Білої Руки!
qstr_{s14}Kill_them_all!_|{s14}Убийте їх усіх! Не беріть полонених!
qstr_Tonight_we_feast_on_|Сьогодні ввечері ми ласуємо м’ясом {s15}!
qstr_Gharr!_Kill!_Kill!_K|Гррр! Убий! Убий! Убий!
qstr_Slaughter_these_half|Забийте цих напівлюдей!
qstr_Fear_no_elven_ghosts|Не бійся ельфійських привид!
qstr_{s14}Double_rations_|{s14}Подвійний пайок на той, який приніс мені найбільше голів!
qstr_{s14}Double_rations_t|{s14}Подвійний пайок на той, який приніс мені найбільше {s15} голів!
qstr_{s14}Kill_these_hors|{s14}Убийте цих конокрадів!
qstr_Kill_them_all!_Take_|Вбити їх всіх! Поверни те, що наше!
qstr_Tonight_there_will_b|Сьогодні ввечері на одного ворога {s16} буде менше!
qstr_Baruk_Khazd!_Khazd_a|Барук Хазад! Хазад согодн в меню
qstr_{s14}Riders_of_Rohan|{s14}Вершники Рохану! Пам’ятай, за що ти борешся!
qstr_{s14}More_{s19}heads|{s14}Більше {s19}голов, щоб прикрасити ворота Мораннона!
qstr_The_Wise_Master_shal|Мудрий Майстер буде задоволений, коли я покажу йому тіло {playername}!
qstr_{s14}Now_we_will_put|{s14}Тепер ми покладемо кінець стражданням цих нечистот.
qstr_{s14}Today_we_shall_|{s14}Сьогодні ми будемо битися з ворогами Імладріса та всього справедливого.
qstr_All_who_enter_Mirkwo|Усі, хто зі злобою входить у Ліволіс, ніколи не вийдуть!
qstr_Men_of_{s16}_the_ene| чоловіки {s16}, ворог тут! Боріться за свою землю!
qstr_Men_of_{s16}_charge!|Чоловіки {s16}, заряд! Боріться за свою землю!
qstr_{s14}Grind_their_bod|{s14}Подрібніть їхні тіла в пісок!
qstr_{s14}Dwarves_or_men_|{s14}Гноми чи люди, вони не зрівняються з нашою лютістю!
qstr_{s14}Elves_or_men_th|{s14}Ельфи чи люди, вони не зрівняються з нашою лютістю!
qstr_{s14}Flesh_to_shatte|{s14}Плоть розбити, горла перерізати, кров пролити!
qstr_Put_on_the_masks_of_|Одягніть маски воїнів, чоловіки! Сьогодні приреченість падає на наших ворогів із {s18}!
qstr_They_seek_the_tempes|Вони шукають бурі, і вони її отримають! Чоловіки, готуйтеся до бою!
qstr_Draw_your_weapons_me|Витягніть зброю, люди, бо на наших ворогів розгорнулася буря!
qstr_Orcs_of_{s16}_get_re|Орки {s16}, готуйтеся! Ось вам кілька горлянок, щоб перерізати!
qstr_These_friend_of_elve|Ці друзі ельфів впадуть під наші клинки!
qstr_These_Elves_will_fal|Ці ельфи впадуть під наші клинки!
qstr_Raahh!_Draw_your_wea|Рааа! Натягни зброю, покидьки {s16}! Сьогодні ввечері ми ласуємо нутрощами {s15}!
qstr_Rha!_{s14}More_{s15}|Rha! {s14}Більше тіл {s15}, які можна спотворити за допомогою нашої кривої зброї!
qstr_Slaughter_these_puny|Забийте цих дрібних злодіїв {s18} зараз! Тоді ми спалюємо їхні будинки та вирубаємо їхні родини.
qstr_Death_to_the_trespas|Смерть порушникам земель {s16}!
qstr_CHARGE!_Let_s_clear_|ЗАРЯДИТИ! Давайте очистимо {s18} {s19}накип з {s17}!
qstr_{s14}Now_that_{s19}s|{s14}Тепер ця {s19}накида скуштує люті ведмедя!
qstr_Attack!|Ваттаку
qstr_You_are_attacked_by_|На вас напала група бандитів
qstr_Holding|Холдинг
