menu_start_game_1|^^^^^^^^^^За що ти б'єшся?
menu_fangorn_search_fails|^^^^^^Ви обстежуєте темний, густий ліс, але не можете нічого знайти.^ Однак вам все більше відчувається, що за вами спостерігають і вам загрожує небезпека.
menu_fangorn_killed_player_only|^^^^^^Ви обстежуєте темний, густий ліс.^ Раптово ви отримуєте удар! Може бути, важка гілка впала вам на голову?^ Ви на короткий час втрачаєте свідомість. Ви серйозно поранені, але можете продовжувати рух.
mno_ow_get_out|Ай! Пора забиратися з цього проклятого місця!
menu_fangorn_killed_troop_and_player|^^^^^^Ви обстежуєте темний, густий ліс.^^ Раптово ви отримуєте удар! Може бути, важка гілка впала вам на голову?^^ Коли кілька хвилин по тому ви приходите в себе, то виявляєте, що деяким бійцям пощастило менше, ніж вам.^^
menu_fangorn_killed_troop_only|^^^^^^^^Ви обстежуєте темний, густий ліс. Ваші воїни тремтять від страху.^^ Раптово з кінця колони доносяться крики! Ви біжите туди, але знаходите лише кілька бійців з вашого загону. Вони лежать на землі, в калюжі крові.^^ Ще кілька воїнів пропали безвісти...
mno_get_out|Пора забиратися з цього проклятого місця!
menu_can_capture_troll|Повалений дикий троль все ще дихає!^^Його злісний погляд, наповнений болем і лють, впивається в вас.^ Навіть тепер убитий троль, безпорадно лежить в калюжі крові, здається жахливо небезпечним...
mno_killit|Негайно прикінчити його. Перевірити, що він здох.
mno_cageit1|Посадити його в клітку і везти за собою.
mno_cageit2|Посадити його в клітку разом з іншим тролем.
mno_cheat_disabable|Вимкнути опції чіткодів/модифікації.
menu_drank_ent_water_human|^^^Ви наважуєтеся випити цю дивну воду. Вона здається чистою і освіжаючою. У неї приємний запах, схожий на мускус.^ Ви відчуваєте себе бадьоро.^^ Однак у вас залишається дивне, неприродне відчуття. Щось підказує вам, що краще вам більше ніколи не торкатися до цієї води.
menu_drank_ent_water_orc|^^^Ви наважуєтеся випити дивною води. Це просто вода.^ Раптово ви хапається за горло, вас пронизує біль.^ Це отрута!^ Ви задихаєтеся, спльовуєте чорною кров'ю, ви мало не при смерті.^^ О, як боляче, як боляче...
mno_i_shall_surv|Я буду жити!
menu_end_game|^^^^^Вибір зроблений, і ви вирішуєте покінчити з мандрами і обачностями. Ви продаєте зброю і обладунки, збираєте свої пожитки і їдете на захід сонця...
mno_end_game_bye|Прощайте.
menu_cattle_herd|Ви натрапили на групу людей.
mno_cattle_drive_away|Наказати їм слідувати за вами.
mno_cattle_stop|Наказати їм зупинитися.
mno_leave|Продовжити.
menu_simple_encounter|^^^^^{s2}^ У вас {reg22} бійців проти {reg11} воїнів супротивника. ^^ Битва розгортається в землі, відомої як {s3}{s4}.^^ Які будуть ваші накази?
mno_encounter_attack|{reg21? В атаку!: Приготуватися до бою}
mno_encounter_order_attack|Наказати воїнам {reg21? Атакувати:битися з ворогом} без вашої участі.
mno_control_allies_menu|Використовуйте накази, щоб керувати своїми союзниками на полі.
mno_encounter_hide|Сховатися від ворога...
mno_special_whip|Рвонутись назустріч ворогу, клацнувши Батогом Пана {s4}.
mno_encounter_attack_bearform|{reg21?Вступити в бій в образі ведмедя}.
mno_encounter_leave|Відступити.
mno_encounter_retreat|Відступити, залишивши частину воїнів прикривати відхід.
mno_player_control_allies_simple|Командуйте ними і атакуйте ворога
mno_player_control_allies_back|Повернутися.
mno_hide_close|Продовжити...
menu_encounter_retreat_confirm|^^^^^Як учасник загону з найвищим показником Тактики, ({reg2}), {reg3? Ви розробили:{s3} придумує} план, який дозволить вам і вашим воїнам врятуватися, зберігши свої життя, але вам доведеться залишити {reg4 } бійців, щоб ті затримали противника.
mno_leave_behind|Нехай буде так. Слід принести в жертву цих воїнів, щоб врятувати інших.
mno_dont_leave_behind|Ні. Ми нікого не кидаємо.
menu_encounter_retreat|^^^^^Ви кажете {reg4} бійцям стримувати ворога, поки ви відступаєте з іншим загоном.
menu_order_attack_begin|^^^^^^Ваші воїни готові атакувати противника.
mno_order_attack_begin|Віддати наказ до атаки.
mno_call_back|Відкликати бійців назад.
menu_order_attack_2|^{S4}^ Ваші втрати: {s8}^^ Втрати ворога: {s9}
mno_order_attack_continue|Наказати воїнам продовжувати атаки.
mno_order_retreat|Відкликати воїнів назад.
menu_kingdom_army_quest_report_to_army|{S8} передає вам, що ви повинні приєднатися до його походу. Вам потрібно прибути, маючи при собі щонайменше {reg13} воїнів, або ж якомога швидше поповнити загін новобранцями, якщо у вас занадто мало бійців.
mno_reject|Передати послання, що ви дуже зайняті.
mno_send_word|Передати, що ви незабаром будете.
menu_kingdom_army_quest_messenger|{S8} хоче поговорити з вами з приводу однієї важливої ​​задачі. Він просить вас прибути до нього якомога швидше.
menu_kingdom_army_quest_join_siege_order|{S8} хоче, щоб ви приєдналися до штурму укріплень {s9}. Ваші війська повинні взяти {s9} Будь-якою ціною
menu_kingdom_army_follow_failed|Ви не виконали накази і не пішли за полководцем {s8}. Він надіслав листа, в якому допускає, що у вас є більш важливі справи, але попереджає, що і його терпіння не безмежно.
menu_battle_debrief|{S11}^Ваші втрати:{s8}{s10}^^Втрати ворога:{s9}
mno_inspect_troll|Оглянути поваленого троля
menu_pre_join|^^^^^Ви стали свідком битви між {s2} і {s1}. Ви приймаєте рішення...
mno_pre_join_help_attackers|Прийти на допомогу військам {s2}.
mno_pre_join_help_defenders|Прийти на допомогу військам {s1}.
mno_pre_join_help_refugees|Прийти на допомогу військам {s1}.
mno_pre_join_leave|Не Втручатися
menu_join_battle|^^^Ви прийшли на допомогу військам {s2} в битві проти {s1}.^ У вас {reg22} воїнів, готових до битви, проти {reg11} бійців ворога.^^ Битва розгортається в землі, відомої як {s3}{s4}.
mno_join_attack|Атакувати ворога.
mno_join_order_attack|Наказати воїнам битися разом з союзниками, але без вашої участі.
mno_control_allies_join_menu|Використовуйте накази, щоб керувати своїми союзниками на полі.
mno_join_attack_bearform|Вступити в бій у формі ведмедя
mno_join_leave|Відступити.
mno_player_control_allies_join_menu|Командуйте ними і атакуйте ворога
menu_join_order_attack|{S4}^^Ваші втрати: {s8}^^Втрати союзників: {s9}^^Втрати ворога: {s10}
mno_enter|Увійти.
menu_battlefields|^^^^^^^^^Виберіть поле...
mno_enter_f1|Поле 1
mno_enter_f2|Поле 2
mno_enter_f3|Поле 3
mno_enter_f4|Поле 4
mno_enter_f5|Поле 5
menu_join_siege_outside|^^^^^^{s1} тримає в облозі {s2}.
mno_approach_besiegers|Наблизитися до облоговому табору.
mno_pass_through_siege|Прорватися через облогові лінії і в'їхати в {s1}.
menu_cut_siege_without_fight|Облягати дозволяють вам безперешкодно наблизитися до воріт.
menu_besiegers_camp_with_allies|Під'їхавши до табору нападників, ви виявляєте, що це {s2} тримає в облозі {s1}. Вас і ваших людей вітають в таборі.
mno_talk_to_siege_commander|Вимагати зустрічі з командувачем.
mno_join_siege_with_allies|Приєднатися до наступного штурму.
mno_join_siege_stay_back|Наказати воїнам приєднатися до наступного штурму без вашої участі.
menu_moria_must_escape|^^В книзі, схоже, описується остання спроба гномів повернутися в Морію. Спроба, яка завершилася трагічною смертю всіх учасників походу. Гортаючи книгу, ви натикаєтеся на слова "справжнє срібло". Уважно вивчивши пошкоджені сторінки, ви розумієте мова тут йде про схованку гномів, розташованих десь на нижніх рівнях. Ха! Знайти давним-давно загублений Міфріл гномів - хіба це не приголомшливо?!^ Ви точно прямуєте всім вказівкам, входите в вузький тунель, йдете вниз ... ^ ... ^ Після пари годин марних пошуків ви розумієте, що заблукали в глибинах Морії і тепер вам потрібно шукати шлях назовні.
mno_moria_exit_scene|Шукати шлях назовні!
menu_castle_outside|Перед вами {s2}.{S11} {s3} {s4}
mno_moria_enter|Повернутися до головної зали Морії через потаємний хід
mno_moria_enter_door|Увійти в Морію.
mno_cheat_steal_book_door|Отримайте книгу
mno_castle_start_siege|Ні {reg6?town:castle}.
mno_castle_leave|Продовжити.
menu_castle_besiege|Ви осадите {s1}. {S2} {s3}
mno_siege_request_meeting|Викликати на зустріч командувача обороною замку.
mno_wait_24_hours|Почекати до завтра.
mno_castle_lead_attack|Повести своїх воїнів на штурм.
mno_attack_stay_back|Наказати своїм бійцям атакувати без вас...
mno_build_ladders|Приготувати сходи для штурму стін.
mno_lift_siege|Зняти облогу.
menu_siege_attack_meets_sally|^^^^^^Захисники роблять вилазку і починають контратаку.
menu_construct_ladders|Будучи найкращим інженером загону ({reg2}), {reg3? Ви підраховуєте:{s3} підраховує}, що на виготовлення штурмових драбин потрібно близько {reg4} годину.
mno_build_ladders_cont|Виготовити штурмові драбини.
menu_castle_attack_walls_simulate|{S4}^^ Ваші втрати:{s8}^^ Втрати ворога: {s9}
menu_castle_attack_walls_with_allies_simulate|{S4}^^Ваші втрати: {s8}^^Втрати союзників: {s9}^^Втрати ворога: {s10}
menu_castle_taken_by_friends|Тут нічого немає.
menu_castle_taken|{s3} - упав під натиском ваших військ, і ви тепер повністю контролюєте {reg2? Місто: замок}. {reg1? Здається, ніщо не заважає вам залишити його собі ...}
menu_castle_taken_2|{s3} - упав під натиском ваших військ, і ви тепер повністю контролюєте замок. Саме час послати звістку {s9} про вашу перемогу. {s5}
mno_castle_taken_no_claim|Не просити ніякої нагороди.
menu_siege_started_defender|{s1} починає штурм стін {s2}. У вас {reg22} військ, готових до бою, проти {reg11} військ противника. Ви вирішуєте...
mno_siege_defender_join_battle|Вступити в битву.
mno_siege_defender_troops_join_battle|Наказати воїнам вступити в битву без вашої участі.
mno_siege_defender_do_not_join_battle|Не Втручатися
menu_siege_join_defense|{S4}^^Ваші втрати: {s8}^^Втрати союзників: {s9}^^Втрати ворога: {s10}
menu_village_hunt_down_fugitive_defeated|^^^^^Злочинець завдає вам потужний удар, шокуючи вас додолу. В очах темніє, і ви втрачаєте свідомість. Проходить час. Коли ви знову відкриваєте очі, то розумієте, що стан ваше незавидний, але, на щастя, жодна з ран не смертельна.
menu_town_bandits_succeeded|^^^^^Гобліни падають перед вами, немов колосся під косою! Незабаром ви залишаєтеся один, більшість ваших противників або без свідомості, або мертві, або при смерті. Безумовно, місцеві жителі будуть дуже вдячні вам за те, що ви врятували їх від такої напасті.
menu_town_brawl_lost|^^^^^^Вас оглушили. Нападники, злочинці швидко обчистили вас і відправилися геть.
menu_town_brawl_won|^^^^^Ви перемогли всіх супротивників, а також стражників, що прибігли навести порядок. Ви швидко збираєте все, що є при них цінного, і зникаєте - поки не вляжеться піднята метушня.^ Може бути, в наступний раз вони виявлять більше поваги до вашої персони.
menu_close|Нічого.
menu_town|Перед вами {s60}.{S12}{s13}
mno_town_menu_0|Пройти далі.
; mno_town_menu_0_door|Inspect...
mno_town_approach|Увійти в {s1}...
mno_town_castle|Увійти в {s1}.
mno_town_castle_door|Увійти в замок.
mno_town_center|Пройти на головну площу...
mno_town_center_door|Вийти на головну площу.
mno_aw_chamber_door|Відкрити двері.
mno_trade_with_arms_merchant|Відвідати {s40}.
mno_trade_with_horse_merchant|Відвідати {s41}.
; mno_town_prison_door|To the Training Grounds
mno_dungeon_enter|Увійти в підземелля.
mno_dungeon_enter_door|Відкрити двері.
mno_dwarven_warehouse|Відвідати склад гномів
mno_dwarven_warehouse_door|Увійти в склад гномів
mno_talk_to_castle_commander|Увійти в казарми фракції {s61}.
mno_speak_with_elder|Увійти в казарми Фракції {s6}.
mno_isengard_underground|Увійти в підземелля.
mno_isengard_underground_door|Перейти до підземних печер
mno_tirith_toplevel|Зійти на верхній рівень.
mno_tirith_toplevel_door|Ідіть до Цитаделі
mno_erebor_gates|Відвідати Великі Врата.
; mno_erebor_gates_door|Go to the Great Gates
mno_town_leave|Продовжити...
mno_town_leave_door|Залишити територію
menu_player_initiated_siege_result|Ви напали на гарнізон під прапорами {s2}.
menu_disembark|Ви хочете висадитися?
mno_disembark_yes|Так.
mno_disembark_no|Ні.
menu_ship_reembark|Ви хочете сісти на корабель?
mno_reembark_yes|Так.
mno_reembark_no|Ні.
menu_center_reports|Поселення: {s1}^ Дохід: {reg1} монет^ Податки: {reg2} монет^ Запас провізії: на {reg3} днів
menu_sneak_into_town_suceeded|Замаскувавшись під бідного паломника, ви обманюєте варту і входите в місто.
menu_sneak_into_town_caught|Коли ви намагаєтеся проникнути всередину, один із охоронців впізнає вас і піднімає тривогу! Вам потрібно бігти назад через ворота, поки на вас не накинулася вся міська варта!
mno_sneak_caught_fight|Спробуємо прорватися силою!
mno_sneak_caught_surrender|Здатися.
menu_sneak_into_town_caught_dispersed_guards|Ви обманюєте варту і прибираєте сліди, перш ніж втекти, остаточно відірвавшись від переслідувачів в лабіринті вулиць.
menu_sneak_into_town_caught_ran_away|Ви проходите назад через ворота і швидко відступаєте в безпечні пагорби.
menu_tld_player_defeated|^^^^^Раптово ваш потилицю пронизує нестерпний біль! Ви здригаєтеся, і все навколо темніє ...^ Невже це кінець?
menu_recover_after_death_fangorn|Ви прокинулися. Кругом все той же ліс. Все тіло болить. Якимось дивом ви залишилися живі.^^ Так, це поразка, але ви, щонайменше, змогли зрозуміти, що трапилося. ^ Тепер ви знаєте, що твориться в цьому проклятому лісі,^ і ви вижили, щоб розповісти про це іншим.^^ Але чи повірить вам хто-небудь?
menu_recover_after_death_moria|^^^^^Ви прийшли до тями. Ви лежите на м'якій землі, свіже повітря обдає ваше обличчя. Ви вибралися назовні!^ Швидше за все, орки порахували вас мертвим і скинули ваше тіло в якусь темну западину.^ Мабуть, ви потрапили в підземну річку, яка і винесла вас на поверхню.
mno_whatever|Встати!
menu_recover_after_death_default|^^^^^Ви прийшли до тями. Ви лежите там же, де і впали. Швидше за все, вороги порахували вас мертвим і залишили тут. Здається, ваші рани не смертельні, і, хоча ви перекручено себе почуваєте, але ви, схоже, можете пересуватися. Ви встаєте і намагаєтеся знайти живих соратників.
menu_recover_after_death_town|^^^^Ви прийшли до тями десь на міській околиці. Ви живі! Кругом ні душі, і, скориставшись цим, ви намагаєтеся втекти з цього міста. Здається, ваші рани не смертельні, і, хоча ви перекручено себе почуваєте, але ви, схоже, можете пересуватися.
menu_recover_after_death_town_alone|Ви прийшли до тями десь на міській околиці. Ви живі! Кругом ні душі, і, скориставшись цим, ви намагаєтеся втекти з цього міста. Незабаром вас знаходять ваші соратники. Здається, ваші рани не смертельні, і, хоча ви перекручено себе почуваєте, але ви, схоже, можете пересуватися.
menu_notification_center_under_siege|{s2} з {s3} обложив {s1}!
menu_notification_one_side_left|^^^^^Війна Кільця закінчена!^^ {s1} знищили всіх ворогів і перемогли!
menu_notification_total_defeat|^^^^^Війна Кільця закінчена для вас!^^ {s1} знищені ворогами, і ви залишилися один перед обличчям розгрому!
menu_notification_your_faction_collapsed|^^^^^Ваша батьківщина - {s11} - була знищена!^ Однак залишилися союзники продовжують вести війну. Разом з небагатьма уцілілими воїнами фракції {s11} ви можете допомогти вашим союзникам виграти.
menu_notification_faction_defeated|^^^^^{s1} Держава {s1} більше не існує!^{s13} знищили її!
menu_ruins|^^^^Ви прибули в {s1}. Колись потужні укріплення зруйновано дощенту, хоча ви все ще бачите залишки стін і розкидану іржаву зброю.
menu_legendary_place|^^^^Ви вирішили довіритися чутками - і відшукали {s1}. Тепер ви можете обстежити це місце і перевірити правдивість міфів.
mno_explore|Обстежити місцевість.
menu_ring_hunter_lair|^^^^Пройшовши по сліду Мисливців за Кільцем через Темноліся, ви прибули в {s1}. Ви бачите їх, готових втекти разом з скринею.
mno_attack_lair|Атакувати їх зараз
mno_leave_bandit_lair|Піти.
menu_gondor_reinforcement_event|^^^^^Сигнальні багаття Ґондора запалилися, Мінас Тіріт просить про допомогу! ^^ Лорди з південних володінь тепер виступлять на північ, щоб захищати Біле Місто від насування темряви.
mno_gondor_reinforcement_event_close|Закрити
menu_gondor_beacons|Ви бачите {s1}, один з сигнальних маяків Ґондора, за допомогою якого оголошували про початок війни всьому королівству.
mno_gondor_beacons_close|Продовжити...
menu_player_added_to_war_council|^^^^^Посильний повідомляє Вам що тепер, як {s24}, {s2} просить Вас взяти участь в Військовій Раді. Ви зможете пропонувати рішення, які вплинуть на хід цієї війни.
mno_player_added_to_war_council_close|Закрити
menu_player_added_to_siege_reports|^^^^^Посильний повідомляє Вам що тепер, як {s24}, Ви будете отримувати донесення кожен раз, коли {s2} тримає в облозі гарнізон або коли гарнізон {s2} піддається ворожої облозі.
mno_player_added_to_siege_reports_close|Закрити
menu_player_added_to_allow_follow|^^^^^Прибув гонець і повідомляє вам, що тепер, як {s24}, вам дозволено наказати {s2} слідувати за вами, при цьому число супроводжуючих загонів не може перевищувати {reg55}.
mno_player_added_to_allow_follow_close|Закрити
menu_center_besieged_event|^^^^^Прибув посильний, який повідомив, що {s1} в даний час знаходиться під облогою {s2} з держави {s3}.
mno_center_besieged_event_close|Закрити
