trp_unarmed_troop|Беззбройний Воїн
trp_ac4_rhun_veteran_horse_archer|Рунійський кінний лучник-ветеран
trp_ac4_rhun_veteran_horse_archer_pl|Рунійські кінні лучники-ветерани
trp_ac5_rhun_balchoth_horse_archer|Балхотський кінний лучник
trp_ac5_rhun_balchoth_horse_archer_pl|Балхотські кінні лучники
trp_c3_rhun_swift_horseman|Рунійський швидкий вершник
trp_c3_rhun_swift_horseman_pl|Рунійські швидкі вершники
trp_c4_rhun_veteran_swift_horseman|Рунійський швидкий вершник-ветеран
trp_c4_rhun_veteran_swift_horseman_pl|Рунійські швидкі вершники-ветерани
trp_c5_rhun_falcon_horseman|Соколиний вершник
trp_c5_rhun_falcon_horseman_pl|Соколині вершники
trp_i2_rhun_tribal_warrior|Рунійський піхотинець
trp_i2_rhun_tribal_warrior_pl|Рунійські піхотинці
trp_i3_rhun_tribal_infantry|Воїн рунійського племені
trp_i3_rhun_tribal_infantry_pl|Воїни рунійських племен
trp_i4_rhun_vet_infantry|Рунійський Воїн Ветеран
trp_i4_rhun_vet_infantry_pl|Рунійські Воїни Ветерани
trp_i5_rhun_ox_warrior|Воїн Бика
trp_i5_rhun_ox_warrior_pl|Воїни Бика
trp_c2_rhun_horseman|Рунійський Вершник
trp_c2_rhun_horseman_pl|Рунійські Вершники
trp_c3_rhun_outrider|Рунійський Наїзник
trp_c3_rhun_outrider_pl|Рунійські Наїзники
trp_c4_rhun_noble_rider|Видатний Рунійський Вершник
trp_c4_rhun_noble_rider_pl|Видатні Рунійські Вершники
trp_c5_rhun_warrider|Рунійський Вершник Війни
trp_c5_rhun_warrider_pl|Рунійські Вершники Війни
trp_c6_rhun_warlord|Рунійський Командир
trp_c6_rhun_warlord_pl|Рунійські Командири
trp_i1_dwarf_apprentice|Гном-новобранець
trp_i1_dwarf_apprentice_pl|Гноми-новобранці
trp_i2_dwarf_warrior|Воїн гномів
trp_i2_dwarf_warrior_pl|Воїни гномів
trp_i3_dwarf_hardened_warrior|Загартований воїн гномів
trp_i3_dwarf_hardened_warrior_pl|Загартовані воїни гномів
trp_i4_dwarf_spearman|Гном з списом
trp_i4_dwarf_spearman_pl|Гноми з списами
trp_i5_dwarf_pikeman|Гном з пікою
trp_i5_dwarf_pikeman_pl|Гноми з піками
trp_i6_dwarf_longpikeman|Гном з довгою пікою
trp_i6_dwarf_longpikeman_pl|Гноми з довгими піками
trp_i4_dwarf_axeman|Гном з сокирою
trp_i4_dwarf_axeman_pl|Гноми з сокирами
trp_i5_dwarf_expert_axeman|Досвідчений гном з сокирою
trp_i5_dwarf_expert_axeman_pl|Досвідчені гноми з сокирами
trp_i6_dwarf_longbeard_axeman|Довгобородий гном з сокирою
trp_i6_dwarf_longbeard_axeman_pl|Довгобороді гноми з сокирами
trp_a2_dwarf_lookout|Гном-дозорець
trp_a2_dwarf_lookout_pl|Гноми-дозорні
trp_a3_dwarf_scout|Гном-розвідник
trp_a3_dwarf_scout_pl|Гноми-розвідники
trp_a4_dwarf_bowman|Гном-стрілок
trp_a4_dwarf_bowman_pl|Гноми-стрільці
trp_i6_dwarf_longaxeman|Гном сокироносець
trp_i6_dwarf_longaxeman_pl|Гноми сокироносці
trp_i3_iron_hills_warrior|Воїн з Залізних Пагорбів
trp_i3_iron_hills_warrior_pl|Воїни з Залізних Пагорбів
trp_i2_iron_hills_miner|Рудокоп з Залізних пагорбів
trp_i2_iron_hills_miner_pl|Рудокопи з Залізних пагорбів
trp_i4_iron_hills_infantry|Піхотинець з Залізних пагорбів
trp_i4_iron_hills_infantry_pl|Піхотинці з Залізних пагорбів
trp_i5_iron_hills_battle_dwarf|Гном-воїн з Залізних пагорбів
trp_i5_iron_hills_battle_dwarf_pl|Гноми-воїни з Залізних пагорбів
trp_i6_iron_hills_grors_guard|Воїн гвардії Грора
trp_i6_iron_hills_grors_guard_pl|Воїни гвардії Грора
trp_i1_gon_levy|Ґондорський новобранець
trp_i1_gon_levy_pl|Ґондорські новобранці
trp_i2_gon_watchman|Ґондорський стражник
trp_i2_gon_watchman_pl|Ґондорські стражники
trp_i3_gon_footman|Піхотинець Ґондора
trp_i3_gon_footman_pl|Піхотинці Ґондора
trp_i4_gon_spearman|Списоносець Ґондора
trp_i4_gon_spearman_pl|Списоносці Ґондора
trp_i5_gon_vet_spearman|Списоносець-ветеран Ґондора
trp_i5_gon_vet_spearman_pl|Списоносці-ветерани Ґондора
trp_i6_gon_tower_spearman|Страж Фонтана
trp_i6_gon_tower_spearman_pl|Сторожі Фонтана
trp_i4_gon_swordsman|Мечник Ґондора
trp_i4_gon_swordsman_pl|Мечники Ґондора
trp_i5_gon_vet_swordsman|Мечник-ветеран Ґондора
trp_i5_gon_vet_swordsman_pl|Мечники-ветерани Ґондора
trp_i6_gon_tower_swordsman|Мечник Вартовий Цитаделі
trp_i6_gon_tower_swordsman_pl|Мечники Вартові Цитаделі
trp_c1_gon_nobleman|Знатний Ґондорець
trp_c1_gon_nobleman_pl|Знатний Ґондорець
trp_c2_gon_squire|Зброєносець Ґондора
trp_c2_gon_squire_pl|Зброєносці Ґондора
trp_c3_gon_vet_squire|Зброєносець-ветеран Ґондора
trp_c3_gon_vet_squire_pl|Зброєносці-ветерани Ґондора
trp_c4_gon_knight|Лицар Ґондора
trp_c4_gon_knight_pl|Лицарі Ґондора
trp_c5_gon_vet_knight|Лицар-ветеран Ґондора
trp_c5_gon_vet_knight_pl|Лицарі-ветерани Ґондора
trp_c6_gon_tower_knight|Лицар Цитаделі
trp_c6_gon_tower_knight_pl|Лицарі Цитаделі
trp_a3_gon_bowman|Стрілець Ґондора
trp_a3_gon_bowman_pl|Стрільці Ґондора
trp_a4_gon_archer|Лучник Ґондора
trp_a4_gon_archer_pl|Лучники Ґондора
trp_a5_gon_vet_archer|Лучник-ветеран Ґондора
trp_a5_gon_vet_archer_pl|Лучники-ветерани Ґондора
trp_a6_gon_tower_archer|Лучник Вартові Цитаделі
trp_a6_gon_tower_archer_pl|Лучники Вартові Цитаделі
trp_steward_guard|Гвардієць Намісника
trp_steward_guard_pl|Гвардійці Намісника
trp_a4_ithilien_ranger|Рейнджер Ітілієну
trp_a4_ithilien_ranger_pl|Рейнджери Ітілієну
trp_a5_ithilien_vet_ranger|Рейнджер-ветеран Ітілієну
trp_a5_ithilien_vet_ranger_pl|Рейнджери-ветерани Ітілієну
trp_a6_ithilien_master_ranger|Майстерний рейнджер Ітілієну
trp_a6_ithilien_master_ranger_pl|Вправні рейнджери Ітілієну
trp_a6_ithilien_leader|Командир загону Ітіліенських рейнджерів
trp_a6_ithilien_leader_pl|Командири загонів Ітіліенських рейнджерів
trp_i1_loss_woodsman|Лоссарнахський лісоруб
trp_i1_loss_woodsman_pl|Лоссарнахські лісоруби
trp_i2_loss_axeman|Лоссарнахський воїн з сокирою
trp_i2_loss_axeman_pl|Лоссарнахські воїни з сокирами
trp_i3_loss_vet_axeman|Лоссарнахський досвідчений воїн з сокирою
trp_i3_loss_vet_axeman_pl|Лоссарнахські досвідчені воїни з сокирами
trp_i4_loss_heavy_axeman|Важкий лоссарнахський воїн з сокирою
trp_i4_loss_heavy_axeman_pl|Важкі лоссарнахські воїни з сокирами
trp_i5_loss_axemaster|Лоссарнахський майстерний воїн з сокирою
trp_i5_loss_axemaster_pl|Лоссарнахські вправні воїни з сокирами
trp_i6_loss_leader|Командир лоссарнахського загону
trp_i6_loss_leader_pl|Командири лоссарнахського загону
trp_i1_pel_watchman|Пеларгірський стражник
trp_i1_pel_watchman_pl|Пеларгірські стражники
trp_a2_pel_marine|Пеларгірський моряк
trp_a2_pel_marine_pl|Пеларгірські моряки
trp_a3_pel_vet_marine|Пеларгірський досвідчений моряк
trp_a3_pel_vet_marine_pl|Пеларгірські досвідченні моряки
trp_i2_pel_infantry|Пеларгірський піхотинець
trp_i2_pel_infantry_pl|Пеларгірські піхотинці
trp_i3_pel_vet_infantry|Пеларгірський досвідчений піхотинець
trp_i3_pel_vet_infantry_pl|Пеларгірські досвідчені піхотинці
trp_i6_pel_leader|Командир пеларгірського загону
trp_i6_pel_leader_pl|Командири пеларгірських загонів
trp_a6_pel_marine_leader|Командир загону пеларгірських моряків
trp_a6_pel_marine_leader_pl|Командири загонів пеларгірських моряків
trp_i1_lam_clansman|Воїн ламедонского клану
trp_i1_lam_clansman_pl|Воїни ламедонського клану
trp_i2_lam_footman|Піхотинець Ламедона
trp_i2_lam_footman_pl|Піхотинці Ламедона
trp_i3_lam_veteran|Досвідчений воїн Ламедона
trp_i3_lam_veteran_pl|Досвідчені воїни Ламедона
trp_i4_lam_warrior|Воїн Ламедона
trp_i4_lam_warrior_pl|Воїни Ламедона
trp_i5_lam_champion|Славетний воїн Ламедона
trp_i5_lam_champion_pl|Славетні воїни Ламедона
trp_c5_lam_knight|Лицар Ламедона
trp_c5_lam_knight_pl|Лицарі Ламедона
trp_c6_lam_leader|Командир ламедонського загону
trp_c6_lam_leader_pl|Командири ламедонських загонів
trp_i1_pinnath_plainsman|Житель рівнин Піннат-Геліна
trp_i1_pinnath_plainsman_pl|Жителі рівнин Піннат-Геліна
trp_c2_pinnath_rider|Вершник Піннат-Геліна
trp_c2_pinnath_rider_pl|Вершники Піннат-Геліна
trp_c3_pinnath_knight|Лицар Піннат-Геліна
trp_c3_pinnath_knight_pl|Лицарі Піннат-Геліна
trp_a2_pinnath_bowman|Стрілець Піннат-Геліна
trp_a2_pinnath_bowman_pl|Стрільці Піннат-Геліна
trp_a3_pinnath_archer|Лучник Піннат-Геліна
trp_a3_pinnath_archer_pl|Лучники Піннат-Геліна
trp_c6_pinnath_leader|Командир піннат-гелінського загону
trp_c6_pinnath_leader_pl|Командири піннат-гелінського загону
trp_a1_blackroot_hunter|Мисливці з долини чорного кореня
trp_a1_blackroot_hunter_pl|Мисливці з Чорнокореневої долини
trp_a2_blackroot_bowman|Стрілець з долини чорного кореня
trp_a2_blackroot_bowman_pl|Стрільці з долини чорного кореня
trp_a3_blackroot_archer|Лучник з долини чорного кореня
trp_a3_blackroot_archer_pl|Лучники з долини чорного кореня
trp_i2_blackroot_footman|Піхотинець з долини чорного кореня
trp_i2_blackroot_footman_pl|Піхотинці з долини чорного кореня
trp_i3_blackroot_spearman|Списоносець з долини чорного кореня
trp_i3_blackroot_spearman_pl|Списоносці з долини чорного кореня
trp_a5_blackroot_shadow_hunter|Мортондський темний мисливець
trp_a5_blackroot_shadow_hunter_pl|Мортондські темні мисливці
trp_i1_amroth_recruit|Дол-амротський новобранець
trp_i1_amroth_recruit_pl|Дол-амротські новобранці
trp_c2_amroth_squire|Зброєносець з Дол-Амроту
trp_c2_amroth_squire_pl|Зброєносці з Дол-Амроту
trp_c3_amroth_vet_squire|Досвідчений зброєносець з Дол-Амроту
trp_c3_amroth_vet_squire_pl|Досвідчені зброєносці з Дол-Амроту
trp_c4_amroth_knight|Лицар з Дол-Амроту
trp_c4_amroth_knight_pl|Лицарі з Дол-Амроту
trp_c5_amroth_vet_knight|Досвідчений лицар з Дол-Амроту
trp_c5_amroth_vet_knight_pl|Досвідчені лицарі з Дол-Амроту
trp_c6_amroth_swan_knight|Лебединий лицар з Дол-Амроту
trp_c6_amroth_swan_knight_pl|Лебедині лицарі з Дол-Амроту
trp_c6_amroth_leader|Командир дол-амротського загону
trp_c6_amroth_leader_pl|Командири дол-амротського загону
trp_a1_lorien_scout|Лоріенський розвідник
trp_a1_lorien_scout_pl|Лоріенські розвідники
trp_a2_lorien_warden|Лоріенський страж
trp_a2_lorien_warden_pl|Лоріенські стражі
trp_a3_lorien_vet_warden|Лоріенський досвідчений страж
trp_a3_lorien_vet_warden_pl|Лоріенські досвідчені стражі
trp_a4_lorien_gal_warden|Ґаладрімський Наглядач
trp_a4_lorien_gal_warden_pl|Ґаладрімські Наглядачі
trp_a5_lorien_gal_royal_warden|Королівський страж галадрім
trp_a5_lorien_gal_royal_warden_pl|Королівські стражі галадрім
trp_a6_lorien_grey_warden|Сірий Наглядач
trp_a6_lorien_grey_warden_pl|Сірі Наглядачі
trp_galadhrim_royal_marksman|Влучний стрілець галадрім
trp_galadhrim_royal_marksman_pl|Влучні стрілки галадрім
trp_noldorin_mounted_archer|Нолдорський кінний лучник
trp_noldorin_mounted_archer_pl|Нолдорські кінні лучники
trp_a2_lorien_archer|Лоріенський лучник
trp_a2_lorien_archer_pl|Лоріенські лучники
trp_a3_lorien_vet_archer|Лоріенський досвідчений стрілець
trp_a3_lorien_vet_archer_pl|Лоріенські досвідчені стрільці
trp_a4_lorien_gal_archer|Ґаладрімський Лучник
trp_a4_lorien_gal_archer_pl|Ґаладрімські Лучники
trp_a5_lorien_gal_royal_archer|Влучний стрілець галадрім
trp_a5_lorien_gal_royal_archer_pl|Влучні стрілки галадрім
trp_i3_lorien_inf|Лоріенський піший воїн
trp_i3_lorien_inf_pl|Лоріенський піший воїн
trp_i4_lorien_gal_inf|Ґаладрімський Піхотинець
trp_i4_lorien_gal_inf_pl|Ґаладрімські Піхотинці
trp_i5_lorien_gal_royal_inf|Ґаладрімський Королівський Гвардієць
trp_i5_lorien_gal_royal_inf_pl|Ґаладрімські Королівські Гвардійці
trp_lothlorien_standard_bearer|Лоріенський прапороносець
trp_lothlorien_standard_bearer_pl|Лоріенські прапороносці
trp_a1_greenwood_scout|Розвідник Темнолісся
trp_a1_greenwood_scout_pl|Розвідники Темнолісся
trp_a2_greenwood_veteran_scout|Досвідчений розвідник Темнолісся
trp_a2_greenwood_veteran_scout_pl|Досвідчені розвідники Темнолісся
trp_a3_greenwood_archer|Лучник Темнолісся
trp_a3_greenwood_archer_pl|Лучники Темнолісся
trp_a4_greenwood_veteran_archer|Досвідчений стрілець Темнолісся
trp_a4_greenwood_veteran_archer_pl|Досвідчені стрільці Темнолісся
trp_a5_greenwood_master_archer|Майстерний Лучник Зеленолісся
trp_a5_greenwood_master_archer_pl|Майстерні Лучники Зеленолісся
trp_a6_greenwood_chosen_marksman|Обраний Стрілець Трандуїла
trp_a6_greenwood_chosen_marksman_pl|Обрані Стрільці Трандуїла
trp_a3_greenwood_sentinel|Страж Темнолісся
trp_a3_greenwood_sentinel_pl|Стражі Темнолісся
trp_a4_greenwood_vet_sentinel|Досвідчений страж Темнолісся
trp_a4_greenwood_vet_sentinel_pl|Досвідчені стражі Темнолісся
trp_a5_greenwood_vigilant|Вартовий Зеленолісся
trp_a5_greenwood_vigilant_pl|Вартові Зеленолісся
trp_i2_greenwood_infantry|Піхотинець Темнолісся
trp_i2_greenwood_infantry_pl|Піхотинець Темнолісся
trp_i3_greenwood_vet_infantry|Піхотинці Темнолісся
trp_i3_greenwood_vet_infantry_pl|Піхотинці Темнолісся
trp_i4_greenwood_elite_infantry|Досвідчений піхотинець Темнолісся
trp_i4_greenwood_elite_infantry_pl|Досвідчені піхотинці Темнолісся
trp_i5_greenwood_chosen_shieldmaster|Обраний Майстер-Щита Трандуїла
trp_i5_greenwood_chosen_shieldmaster_pl|Обрані Майстри-Щиту Трандуїла
trp_i5_greenwood_chosen_spearmaster|Обраний Майстер-Спису Трандуїла
trp_i5_greenwood_chosen_spearmaster_pl|Обрані Майстри-Спису Трандуїла
trp_i5_greenwood_standard_bearer|Прапороносець Темнолісся
trp_i5_greenwood_standard_bearer_pl|Прапороносці Темнолісся
trp_a1_riv_scout|Рівендельський розвідник
trp_a1_riv_scout_pl|Рівендельські розвідники
trp_a2_riv_vet_scout|Рівендельський досвідчений розвідник
trp_a2_riv_vet_scout_pl|Рівендельські досвідчені розвідники
trp_a3_riv_archer|Рівенделлський Стрілець
trp_a3_riv_archer_pl|Рівенделлські Стрільці
trp_a4_riv_vet_archer|Рівенделлський Досвідчений-Стрілець
trp_a4_riv_vet_archer_pl|Рівенделлські Досвідчені-Стрільці
trp_a5_riv_master_archer|Рівенделлський Майстерний-Стрілець
trp_a5_riv_master_archer_pl|Рівенделлські Майстерні-Стрільці
trp_a6_riv_guardian|Хранитель Імладрісу
trp_a6_riv_guardian_pl|Хранителі Імладрісу
trp_i3_riv_swordbearer|Рівенделлський Мечоносець
trp_i3_riv_swordbearer_pl|Рівенделлські Мечоносці
trp_i4_riv_vet_swordbearer|Рівенделлський Досвідчений-Мечоносець
trp_i4_riv_vet_swordbearer_pl|Рівенделлські Досвідчені-Мечоносці
trp_i5_riv_swordmaster|Рівенделлський Майстер-Меча
trp_i5_riv_swordmaster_pl|Рівенделлські Майстри-Меча
trp_i6_riv_champion|Чемпіон Імладрісу
trp_i6_riv_champion_pl|Чемпіони Імладрісу
trp_ac5_riv_rider|Рівенделлський Вершник
trp_ac5_riv_rider_pl|Рівенделлські Вершники
trp_ac6_riv_knight|Лицар Імладрісу
trp_ac6_riv_knight_pl|Лицари Імладрісу
trp_i6_rivendell_standard_bearer|Рівендельський прапороносець
trp_i6_rivendell_standard_bearer_pl|Рівендельські прапороносці
trp_a1_arnor_scout|Розвідник Дунедайн
trp_a1_arnor_scout_pl|Розвідники Дунедайн
trp_a2_arnor_vet_scout|Слідопит Дунедайн
trp_a2_arnor_vet_scout_pl|Слідопити Дунедайн
trp_i3_arnor_swordsman|Дунeдайн Мечник
trp_i3_arnor_swordsman_pl|Мечники Дунедайн
trp_i4_arnor_vet_swordsman|Дунедайн Досвідчений-Мечник
trp_i4_arnor_vet_swordsman_pl|Досвідчені-Мечники Дунедайн
trp_i5_arnor_champion|Чемпіон Арнора
trp_i5_arnor_champion_pl|Чемпіони Арнора
trp_c4_arnor_horseman|Дунедайн Вершник
trp_c4_arnor_horseman_pl|Вершники Дунедайн
trp_c5_arnor_knight|Лицар Арнора
trp_c5_arnor_knight_pl|Лицарі Арнора
trp_a3_arnor_ranger|Рейнджер Дунедайн
trp_a3_arnor_ranger_pl|Рейнджери Дунедайн
trp_a4_arnor_vet_ranger|Досвідчений Рейнджер Дунедайн
trp_a4_arnor_vet_ranger_pl|Досвідчені Рейнджери Дунедайн
trp_a5_arnor_master_ranger|Майстер-Рейнджер Арнору
trp_a5_arnor_master_ranger_pl|Майстри-Рейнджери Арнору
trp_i1_rohan_youth|Роганський молодий воїн
trp_i1_rohan_youth_pl|Роганські молоді воїни
trp_i2_guardsman_of_rohan|Роганський стражник
trp_i2_guardsman_of_rohan_pl|Роганські стражники
trp_i3_footman_of_rohan|Піхотинець Рогана
trp_i3_footman_of_rohan_pl|Піхотинці Рогана
trp_i4_veteran_footman_of_rohan|Досвідчений піхотинець Рогана
trp_i4_veteran_footman_of_rohan_pl|Досвідчені піхотинці Рогана
trp_i5_elite_footman_of_rohan|Добірний піхотинець Рогана
trp_i5_elite_footman_of_rohan_pl|Добірні піхотинці Рогана
trp_i6_footman_guard_of_rohan|Роганський воїн гвардії Фольквін
trp_i6_footman_guard_of_rohan_pl|Роганський воїни гвардії Фольквін
trp_i6_frealaf_raider|Грабіжник Фреалафу
trp_i6_frealaf_raider_pl|Грабіжники Фреалафу
trp_i5_raider_of_rohan|Грабіжник Рогана
trp_i5_raider_of_rohan_pl|Грабіжники Рогана
trp_i6_warden_of_methuseld|Варта Медусельда
trp_i6_warden_of_methuseld_pl|Вартові Медусельда
trp_ac3_skirmisher_of_rohan|Застрільник Рогана
trp_ac3_skirmisher_of_rohan_pl|Застрільники Рогана
trp_ac4_veteran_skirmisher_of_rohan|Досвідчений застрільник Рогана
trp_ac4_veteran_skirmisher_of_rohan_pl|Досвідчені застрільники Рогана
trp_ac5_elite_skirmisher_of_rohan|Добірний застрільник Рогана
trp_ac5_elite_skirmisher_of_rohan_pl|Добірні застрільники Рогана
trp_ac6_skirmisher_guard_of_rohan|Роганський воїн гвардії Тенгела
trp_ac6_skirmisher_guard_of_rohan_pl|Роганські воїни гвардії Тенгела
trp_c4_lancer_of_rohan|Кінний списник Рогана
trp_c4_lancer_of_rohan_pl|Кінні списники Рогана
trp_c5_elite_lancer_of_rohan|Добірний кінний списник Рогана
trp_c5_elite_lancer_of_rohan_pl|Добірні кінні списники Рогана
trp_c6_lancer_guard_of_rohan|Роганський воїн гвардії Брего
trp_c6_lancer_guard_of_rohan_pl|Роганські воїни гвардії Брего
trp_c6_king_s_man_of_rohan|Королівський страж
trp_c6_king_s_man_of_rohan_pl|Королівські стражники
trp_c2_squire_of_rohan|Зброєносець Рогана
trp_c2_squire_of_rohan_pl|Зброєносці Рогана
trp_c3_rider_of_rohan|Вершник Рогана
trp_c3_rider_of_rohan_pl|Вершники Рогана
trp_c4_veteran_rider_of_rohan|Досвідчений вершник Рогана
trp_c4_veteran_rider_of_rohan_pl|Досвідчені вершники Рогана
trp_c5_elite_rider_of_rohan|Добірний вершник Рогана
trp_c5_elite_rider_of_rohan_pl|Добірні вершники Рогана
trp_c6_rider_guard_of_rohan|Роганський воїн гвардії Еорла
trp_c6_rider_guard_of_rohan_pl|Роганські воїни гвардії Еорла
trp_i6_2h_guard_of_rohan|Захисник Гельмової Паді
trp_i6_2h_guard_of_rohan_pl|Захисники Гельмової Паді
trp_ac3_dism_skirmisher_of_rohan2|Застрільник Рогана
trp_ac3_dism_skirmisher_of_rohan2_pl|Застрільники Рогана
trp_ac4_dism_veteran_skirmisher_of_rohan2|Досвідчений застрільник Рогана
trp_ac4_dism_veteran_skirmisher_of_rohan2_pl|Досвідчені застрільники Рогана
trp_ac5_dism_elite_skirmisher_of_rohan2|Добірний застрільник Рогана
trp_ac5_dism_elite_skirmisher_of_rohan2_pl|Добірні застрільники Рогана
trp_i1_harad_levy|Харадський новобранець
trp_i1_harad_levy_pl|Харадські новобранці
trp_i3_harad_infantry|Харадський Легкий Піхотинець
trp_i3_harad_infantry_pl|Харадські Легкі Піхотинці
trp_i4_harad_spearman|Харадський списоносець
trp_i4_harad_spearman_pl|Харадські списоносці
trp_i5_harad_tiger_guard|Воїн тигрячої гвардії
trp_i5_harad_tiger_guard_pl|Воїни тигрячої гвардії
trp_i4_harad_swordsman|Харадський мечник
trp_i4_harad_swordsman_pl|Харадські мечники
