qstr_Received_{reg0}_dama|{reg0} 피해 입음.
qstr__cancelled_the_{reg1|(죄수를 죽여 얻는 {reg10} pts 경험치 무효화)
qstr_Forming_ranks.|대열을 형성해라.
qstr_{reg2?You:Your_mount|{reg2?당신:당신의 탈것}이 {reg1}의 추가 대미지를 입었다!
qstr_{reg2?You_strike:You|{reg2?당신의 일격:당신의 기마돌격} {reg1}의 보너스 대미지!
qstr_Division_Placement|부대 배치
qstr_Complex_Formations|복합 진형
qstr_Formations_turned_OF|Formations turned OFF in options menu
qstr_Division_{reg1}_{s2}_g|{reg1} 명의 {s2} division이 기억해둔 지점으로 이동할 것입니다...
qstr_Division_{reg1}_{s2}_f|division {reg1} {s2} 선형 대형 (기억됨).
qstr_Division_{reg1}_{s2}_fo|Division {reg1} {s2} forms {reg0} lines (memorized).
qstr_Delivered_{reg60}_da|{reg60} 만큼의 피해를 입혔습니다.
qstr_DEBUG__Health_Regen_|디버그 (체력 재생): {s1} 회복 {reg0}% 체력.  = +{reg1}% STR
qstr_Your_bear_form_has_{|Your bear form has {reg2}/{reg1} HP!
qstr_Three_Nazgul_are_cir|세 마리의 나즈굴이 전장의 상공을 돌고 있다!
qstr_Two_Nazgul_are_circl|두 마리의 나즈굴이 전장의 상공을 돌고 있다!
qstr_A_Nazgul_is_circling|나즈굴이 전장의 하늘을 돌고 있다!
qstr_Some_of_your_human_t|당신 부대의 인간 중 일부는 어둠에 전혀 굴하지 않는다. (밤 병종은 밤 시간의 패널티를 받지 않습니다)
qstr_You_are_filled_with_|적들에게 향하는 당신의 눈에 분노만이 가득하다. (광전사 행동).
qstr_Your_mount_is_scared|당신의 탈것이 {s5}에게 겁을 먹었다!
; qstr_Your_mount_is_scared_|Your mount is scared by the {s5}, but you can master it!
qstr_Nazgul_sweep!|나즈굴이 휩쓴다!
qstr_You_and_your_horse_p|나즈굴의 견딜 수 없는 울음 소리에, 당신과 당신의 말이 혼란에 빠졌다!
qstr_Your_horse_panics_th|나즈굴의 견딜 수 없는 울음 소리에, 당신의 말이 혼란에 빠졌다!
qstr_You_cower_in_terror_|나즈굴의 견딜 수 없는 울음 소리에, 당신은 겁에 질려 움츠러들었다!
qstr_knocked_unconscious|의식을 잃었다
qstr_Nazgul_diving_attack|나즈굴이 {s11}을 공격한다!
qstr_{s11}_is_{s10}_in_th|나즈굴의 공격으로 {s11}은 {s10}!
qstr_Received_{reg66}_dam|{reg66} 만큼의 피해를 입었습니다.
qstr_You_yell_for_your_ho|당신은 말에게 소리를 지른다.
qstr_You_do_not_need_to_r|아직 당신 부대를 집결시킬 필요는 없다.
; qstr_You_rally_{reg10}_tr|You rally {reg10} troops!
qstr_{s5}_rallies_{reg65?|{s5}가 {reg65?그녀의:그의} 부대를 집결시키고 있습니다!
qstr_You_have_killed_{reg|당신은 전투에서 {reg1} 명의 적을 처치했다!
qstr_Your_bravery_inspire|당신의 용기가 부대를 고양시킨다!
qstr_Your_mount_has_falle|당신의 탈것이 당신 앞 땅에 쓰러졌습니다!
qstr_Receive_{reg22}_dama|{reg22} 만큼의 피해를 입었습니다.
qstr_You_have_been_knocke|당신은 {s22}의 손에 의식을 잃었다.
qstr_{s21}_has_been_knock|{s21}은 {reg23?그녀의:그의} 탈것에서 떨어지며 의식을 잃었다.
qstr_{s21}_{reg24?killed:|{s21}은 {s22}의 손에 {reg24?살해당했다:의식을 잃었다}.
qstr_A_bear_has_been_summ|전투에 곰이 소환되었습니다!
qstr_In_The_Last_Days_of_|The Last Days of the Third Age에선, 당신의 부대는 맹목적으로 돌격하지 않고 전투 초기에 자리를 잡고 지킬 것이다.^^부대 대열을 명령하려면 'J'를 눌러 대열을 형성하고, 'K'를 눌러 방패벽을, 'L'을 눌러 쐐기 대형을, ';'를 눌러 사각대형을 형성하라. 대형을 취소하려면, 'U'를 눌러라. ^만약 당신의 부대가 도망친다면, 'V'를 눌러 그들을 집결시킬 수 있다. 전투당 집결 횟수는 한정되어있으며, 당신의 리더십과 카리스마에 따라 집결양이 달라진다.
qstr_You_can_also_order_y|당신은 또한 당신의 부대가 사용하기를 원하는 종류의 무기를 번갈아 사용하도록 명령할 수 있다.^^ 무기 유형 간에 교체하려면 O를 누르십시오. Shield Order 유형으로 교체하려면 P를 누르십시오.
; qstr_The_Last_Days_of_the|The Last Days of the Third Age has implemented a Custom Camera in order to bypass the current camera limitation with regards to shorter races (e.g Orcs and Dwarves).^^See Info Pages for how to control the different camera modes.
qstr_Battlefield_is_too_s|복잡한 AI 대형을 사용하기에 전장이 너무 작습니다.
qstr_You_have_a_clear_per|당신 주변에서 다가오는 위험에 대해 명확히 인식하고 있다!
qstr_New_ent_reached_batt|전장에 새로운 엔트들이 도착했다...
qstr_You_receive_word_tha|베오른족 마을이 공격받고 있다는 소식을 들었다. 베오른족 팩션의 세력이 줄어든다.
qstr_You_receive_word_that|반지 추적자 대장들이 상자 하나를 끌고 모르도르로 움직이고 있다는 소식을 접했습니다. 모르도르의 세력이 더 강해졌습니다.
qstr_Enemy_reinforcements|적 지원 병력 도착
qstr_Yarrrr!!|Yarrrr!!
qstr_Get_all_of_them!|모두 처리해라!
qstr_Kill_them_all!|모조리 죽여라!
qstr_Toss_them_overboard!|놈들을 배 밖으로 던져버려!
qstr_It_is_a_good_day_to_|죽기 딱 좋은 날이군!
qstr_All_hands_on_deck!_T|전원 갑판으로 집합! 놈들을 던져버려라!
qstr_Ally_reinforcements_|아군 지원 병력이 도착했다
qstr_Forward_men!|전진하라, 병사들!
qstr_Leave_none_of_these_|이 오물들 한 놈도 서있게 하지 마라!
qstr_End_them_all!|모조리 끝장내버려!
qstr_Drive_them_back!|놈들을 쫓아내라!
qstr_Protect_the_City!|도시를 지켜라!
qstr_Forward!_Board_them!|앞으로! 올라타!
qstr_The_Last_Days_of_the_|TLD에서는 네이티브와 다른 고급 공성 AI를 지닙니다. 모든 공격수와 수비수가 좌우와 중앙에 분산배치되며, 공격자 플레이어는 자신의 군대를 일부 지휘합니다.
qstr_on_the_left_flank|좌측에
qstr_on_the_right_flank|우측에
qstr_through_the_center|중앙으로
qstr_Attackers_charge_{s2|공격대원이 {s2}로 돌격
qstr_Attackers_charge_{s1|공격자가 {s1}로 돌격
qstr_{s1}_rallied_to_your|{s1}이 당신의 카리스마에 의해 당신의 편에 섰다.
qstr_Last_attacker_wave._|마지막 공격자 웨이브. 퇴각하시겠습니까?
qstr_Attackers_almost_def|공격자가 대부분 패배했습니다. 퇴각하시겠습니까?
qstr_The_remaining_attack|남은 공격자들이 흩어진다!
qstr_The_remaining_defend|남은 수비자들이 포위망에서 탈출한다!
qstr_Reached_Gauntlet_wav|{reg1} Wave 시련 도달!
qstr_Ballista:_out_of_amm|노포: 탄약이 떨어졌다!
qstr_Ballista:_turn_CURSO|노포: 커서로 이동, 좌Shift 키로 조준, Space로 발사, T로 장전, F로 나가기
qstr_Ballista:_out_of_ammo|노포: 탄약이 떨어졌다
qstr_The_ladders_on_Deepi|협곡 성벽에 사다리! 조심해!
qstr_THREE.._TWO..._ONE..|셋.. 둘... 하나.... 싸워!
qstr_You_have_come_upon_t|당신은 아몬 헨, 감시의 언덕, 꼭대기 전망지에 곤도르 감시탑이 자리한 폐허에 접근 중이다^^당신은 이 땅이 한때 위대했으나 오랫동안 잊혀졌음을 감지했다.
qstr_You_have_come_upon_th|당신은 최후의 동맹 전투 장소인 죽음의 늪에 가까이 가고 있다.^^늪지대는 한때 풀이 무성한 평야를 삼켜버렸고, 이제 유일하게 푸른 것은 음침한 물의 어둡고 기름진 표면에 떠오른 잡초의 찌꺼기 뿐이다.^^죽은 풀과 썩어가는 갈대들이 오랫동안 잊힌 여름의 너덜너덜한 그림자처럼 안개 속에서 어렴풋이 피어오르고, 인간, 요정, 오르크들의 시체가 탁한 깊은 곳을 떠다닌다.^^^공기는 차갑고 축축하며, 수면 바로 아래 요정 시체의 눈에서 촛불 불빛이 깜빡이는 것을 보면 몸을 떨지 않을 수 없다.
qstr_You_have_entered_the|당신은 한때 위대한 초록숲이라 알려진 머크우드 남쪽 숲으로 들어갔다^^돌 굴두르 요새가 근처에 있으며 숲 위에 어두운 그림자를 드리우고 있다. 이곳의 숲은 병들고 부패한 느낌이 든다. 고대의 참나무는 줄기와 줄기마다 부패와 곰팡이와 엉켜있는 거대한 거미줄로 뒤덮여있다.^공기는 언제까지나 고요하고 어둠고 답답하며 천천히 숨을 조여오는 느낌이다.
qstr_You_have_found_the_D|당신은 전설의 창이 있을 가능성이 있는 난쟁이 창고를 발견했다. {s3}에게 당신이 발견한 것에 대해 보고하자.
qstr_Leave_the_Warehouse?|창고를 떠납니까?
qstr_Leave_the_place_in_s|이 장소를 조용히 떠납니까?
qstr_Leave_scene?|이 장소를 떠납니까?
qstr_Trace_back_your_step|당신의 발자취를 되짚어 출구로 나갑니까?
qstr_There_is_no_way_out!|퇴로가 없습니다! 오르크들에게 항복합니까?
qstr_Stealth_mini_game_tu|은신 미니 게임 튜토리얼: 두 가지 경보 단계가 있습니다. 1단계는 경비가 시체를 발견했거나 당신을 포착했을 경우 발생합니다. 2단계는 1단계가 이미 발령되었을 때 당신을 포착했을 경우 발생합니다. 2단계는 경비가 계속해서 도착하기 때문에 위험합니다. 숨는 것으로 포착되는 것을 막을 수 있습니다. 단순히 장애물 뒤에 밀착해있는 것으로 숨을 수 있습니다.
qstr_You_are_now_hidden.|당신은 숨어있습니다.
qstr_You_move_out_of_hidi|이제 당신은 숨어있지 않습니다.
qstr_The_guards_have_spot|경비가 시체를 발견했습니다!
qstr_Alarm_Level_is_now_a|경보 1단계 발령!
; qstr_You_have_been_too_sl|You have been too slow: The alarm has spread, and the sorcerer made his escape before you could get close.
qstr_Alarm_Level_is_now_at|경보 0단계 발령!
qstr_The_guards_have_spott|경비가 당신을 발견했습니다!
qstr_Alarm_Level_is_now_at_|경보 2단계 발령!
; qstr_Enemy_reinforcements_|Enemy reinforcements arrived.
; qstr_Venture_deeper_into_|Venture deeper into the forest and find a way onward.
qstr_The_sorcerer_has_fle|마술사가 도망쳤습니다!
qstr_Report_this_ill_news|여주인에게 이 나쁜 소식을 전해줘야한다.
qstr_The_sorcerer_is_flee|마술사가 도망칩니다! 죽이십시오!
qstr_The_sorcerer_has_joi|마술사가 싸움에 참가했다! 죽여라!
qstr_The_sorcerer_is_dead|마술사가 죽었습니다!
qstr_The_battle_is_won!|전투에서 승리하였습니다!
qstr_A_band_of_tribal_orc|부족 오르크 부대가 나타났다!
qstr_Gaaaar!!_We_wants_th|Gaaaar!! 우리는 인간의 고기를 원한다!
qstr_{s31}_scouts_have_ap|{s31} 정찰대가 나타났다!
qstr_Those_are_ours!_We_h|그것들은 우리 것이다! 우리는 놈들이 떠날때까지 계속 추적해왔단 말이다! 누구도 우릴 막지 못한다!
qstr_Trolls_appeared!|트롤이 나타났다!
qstr_Gaaaar!!|Gaaaar!!
qstr_{s31}_scouts_have_app|{s31} 정찰대가 난민들을 도우러 나타났다!
qstr_Hurry_men!_Help_the_|서둘러, 어서! 난민들을 도와! 쓰레기들을 모두 죽이고 도망치지 못하게 해!
qstr_Cannot_leave|떠날 수 없다
qstr_Longbeard_Kinsman|긴수염 근위대
qstr_Ori_Longbeard|긴수염 오리
qstr_We_shall_make_our_st|우리는 여기에 설 것이다! 발린을 위하여!
qstr_Noooo!_You_orcs_will|안돼애애! 오르크놈들, 댓가를 치를 것이다!
qstr_Arghhh!!_Nooo!!|Arghhh!! 안돼애애애!!
qstr_I_will_take_down_as_|쓰러질때까지 가능한 많은 적을 쓰러트릴 것이다!
qstr_Raaa!!|Raaa!!
qstr_Kill_the_dwarves!|난쟁이 놈들을 죽여!
qstr_Finish_them!|놈들을 끝내버려!
qstr_We_will_feast_on_you|우리는 네 고기로 축제를 벌일거다!
qstr_Dwarf_meat!|난쟁이 고기!
qstr_Eru_Iluvatar_has_dec|에루 일루바타르께서 발린 일행의 운명을 결정하셨으니, 절대 바꿀 수 없으리라.
qstr_They_are_coming....!|그들이 온다....!
qstr_Who...dares...enter.|누가...감히...발을 들이는가...
qstr_You_are_not_welcome_|여긴 네가 올 곳이 아니다!
qstr_Finally_I_found_you!|드디어, 네 놈을 찾았다! 어서 여기서 나가!
qstr_You...are....ours...|너는...우리...것이다...
qstr_Look_at_my_over_the_|내 어깨 위를 봐, {playername}! 멀리서 보아도 너무 아름다워!
qstr_You_wish_old_man_my_|마음대로 생각하시지, 늙은이, 내 어깨 위가 훨씬 더 아름다워!
qstr_You_should_really_se|섭정 데네소르의 페이스북 사진들을 봐야해, 굉장해!
qstr_Press_Space_to_conti|Space 를 눌러 계속합니다...
qstr_{s24}__{reg13}____{r|{s24} ({reg13}) - 다음 승급까지 {reg20}^
qstr_Influence:^_{reg11}_|영향력:^ {reg11} ({s16})^
qstr_Resource_Points:^_{r|자원 포인트:^{reg12} ({s16})^
qstr_{s11}_{s24}__{reg13}|{s11} {s24} ({reg13}) - 다음 승급까지 {reg21}^
qstr_{s13}_{reg11}__with_|{s13} {reg11} ({s16})^
qstr_{s15}_{reg12}__in_{s|{s15} {reg12} ({s16})^
qstr_Four_years_after_bri|카잣 둠의 난쟁이 도시를 다시 재건하겠다며 난쟁이 원정대가 에레보르를 떠난지도 어언 4년이 지났다. 발린은 거울 호수를 자세히 들여다보던 중 오르크 화살에 맞아 죽었고, 그의 일행은 즉시 실버로드 강을 거슬러올라오는 수많은 오르크들과 교전하게 되었다. 동쪽 문과 첫번째 회랑, 카잣 둠의 다리를 지나 두번째 회랑, 남은 긴수염들은 스물 한번째 회랑까지 밀려났다. 두린의 문을 통해 탈출하려는 시도가 오인의 죽음을 목격함으로 인해 실패로 돌아간 후, 마자르불의 방은 바로 바깥의 스물 한번째 회랑을 잃고 식민지 최후의 보루가 되었다. 오리와 몇 명의 생존자들은 성문을 막고 최후의 항전을 준비했다.
qstr_You_chase_an_orc_sco|당신은 오르크 정찰대를 쫓아 숲 안으로 들어갔다...
qstr_^No_food:___{reg7}|^식량이 바닥남: -{reg7}
qstr_Current_party_morale|현재 부대 사기는 {reg5}.^현재 부대 사기에 영향을 주는 것들:^^기본 사기: +50^부대 규모: {s2}{reg1}^리더십: {s3}{reg2}^식량의 질: {s4} {reg3}{s5}^특수 아이템: {s6}{reg6}^최근 사건: {s7}{reg4}^총합: {reg5}
qstr_Defending|방어 중
qstr_Gathering_army|군대를 집결 중
qstr_Besieging_{s11}|{s11}을 공성 중
qstr_Raiding_{s11}|{s11}을 약탈 중
qstr_Attacking_enemies_ar|{s11} 근처의 적을 요격 중
qstr_No_one|아무도 아님
qstr_{s9}{s10}^Current_st|{s9}{s10}^현재 상태: {s11}^총사령관: {s12}^마지막 공세로부터: {reg1} 시간^동원된 최대 군세: {reg2}^^
qstr_Selected_faction_is:|선택된 팩션: {s10}^^{s9}
qstr_You_are_in_perfect_h|당신은 완벽히 건강하다.
qstr_You_are_suffering_fr|당신은 {s1}로 고통받고 있다.
qstr_You_are_suffering_fro|당신은 {s1}과 {s2}로 고통받고 있다.
qstr_You_are_suffering_from|당신은 {s1}, {s2}와 {s3}로 고통받고 있다.
qstr_You_are_suffering_from_|당신은 {s1} {s2}, {s3}과 {s4}로 고통받고 있다.
; qstr_Troop_upkeep__paid_e|Troop upkeep (paid every four days):^
; qstr_{s12}^^__{s4}:_{reg8|{s12}^^  {s4}: {reg8}/{reg5} Resource Points ^Party: {reg4}^Reserves: {reg7}
qstr_No_upkeep_costs|유지 비용 없음
qstr_Orc_hiring_bonus:_+2|오르크 고용 보너스: 각 오르크에 +2/3 
qstr_Current_party_size_l|현제 부대 규모 제한 {reg5}.^현재 부대 사기에 영향을 주는 것들:^^기본 규모: +10^리더십: {s2}{reg1}^카리스마: {s3}{reg2}^계금: {s4}{reg3}^{s5} 총합: {reg5}
qstr_{s2}^_________{s4}:_|{s2}^        {s4}: {reg1} ({s23})
qstr__________Faction_str|         세력 군사력 보고:^{s2}
qstr_{s1}^^Factions_are_n|{s1}^^팩션은 일반적으로 군사력이 {reg1} 미만이면 공성 대상으로 지정됩니다.
qstr_Savagery|야만적
qstr_{s2}^^{s5}^{s6}|{s2}^^{s5}^{s6}
qstr_Traits_gained:^{s2}|특성 획득:^{s2}
qstr_^^You_are_{s17}.|^^당신은 {s17}이다.
qstr_Assassins_in_the_cam|캠프에 암살자가 있다, 방어하라!
qstr_Ally_party_size:_{re|동맹 부대 규모: {reg1}
qstr_Enemy_party_size:_{r|적군 부대 규모: {reg1}
qstr_Party_count:_{reg0}|부대원 수: {reg0}
qstr_Party_position__{reg|부대 위치 ({reg2},{reg3}).
qstr_Party_size_increased|부대 규모가 {reg0}에서 {reg1}로 늘어났습니다!
qstr_Faction_strengths_re|세력 군사력 보고:^{s2}
qstr_Attacking_enemy_part|{s11}의 적 부대를 공격 중
qstr_Unknown_{reg3}_|알 수 없음({reg3})
qstr_ON|켜기
qstr_OFF__cheat_|끄기 (치트)
qstr_OFF|끄기
qstr_All_messages|모든 알림
qstr_{reg0}__will_most_li|{reg0}(저장 충돌의 원인이 될 가능성이 높음)
qstr_{reg0}__could_possib|{reg0} (세이브와 충돌할 가능성이 높음)
qstr_Normal|일반
qstr_Defender_only|방어자만
qstr_Halved|절반만
qstr_Battles_only|전투만
qstr_Doubled|두배
qstr_Tripled|세배
qstr_Quadrupled|네배
qstr_You_drank_the_Ent_Wa|엔트워터를 들이켰다...
qstr_You_used_the_Orc_Bre|오르크 맥주를 사용했다.
qstr_You_and_your_compani|당신과 당신의 동료들은 미루보르를 한 모금 들이켰다. 기분이 상쾌해지고 힘이 솟는다.
qstr_You_give_a_few_leave|당신은 당신의 치료사들에게 임금님풀 몇 줌을 주었다.
; qstr_Not_enough_party_spa|Not enough party space.
qstr_elites|정예병
qstr_regulars|일반병
qstr_recruits|신병
; qstr_wild|wild
; qstr_goblins|goblins
qstr_lordless|주인없는
qstr_orc_stragglers|오르크 패잔병들
qstr_You_camp_and_beat_th|당신은 진을 치고 깊은 곳의 북을 두드린다. 그 웅장한 소리가 {s1}의 {s2}들을 끌어들인다.
; qstr_You_camp_and_beat_the|You camp and beat the Drums of the Deep. The powerful sound attracts a group of {s1} {s2}.
; qstr_You_camp_and_beat_the_|You camp and beat the Drums of the Deep. The weak sound attracts a group of {s1} {s2}.
; qstr_You_camp_and_try_to_|You camp and try to beat the Drums of the Deep, yet noone answers your pitiful call.
qstr_^^^A_great_victory!^|^^^대승이다!^^^이게 팡고른 숲을 둘러싼 전설의 정체였군...
qstr_^^^Defeated...^^^Sca|^^^패배...^^^팡고른 숲에 흩어졌다... 혼자...
qstr_Troll_caged_in_wheel|바퀴달린 우리에 트롤을 가두었다.
qstr_A_second_troll_is_ca|바퀴달린 우리에 두번째 트롤을 가두었다.
qstr_Here_you_are.|여기 있네.
qstr_Player_was_moved_to_|플레이어가 {s10}으로 이동.
qstr_neutral_whereabouts|neutral whereabouts
qstr_any|모두
qstr_woman|여성
qstr_gondor|곤도르
qstr_rohan|로한
qstr_dunlander|던랜드
qstr_urukhai|우르크하이
qstr_haradrim|하라드림
qstr_dwarf|난쟁이
qstr_troll|트롤
qstr_dunedain|던랜드인
qstr_lothlorien|로스로리엔
qstr_rivendell|리븐델
qstr_mirkwood|어둠숲
qstr_evil_man|악인
qstr_{reg11}0___{reg11}9|{reg11}0 - {reg11}9
qstr_Regular_troops_only|정규 부대만
qstr_Heroes_only|영웅들만
qstr_Regulars_and_Heroes|영웅과 정규 부대
qstr_HP_lost_from_poisoni|중독으로 인한 체력 감소
qstr__{s17}.|, {s17}
qstr_A_group_of_{s1}_is_{|{s10}의 {s1} 한 무리가 당신에게 다가왔다.
qstr_You_are_attacking_a_|당신은 {s1}의 무리를 공격하기 시작했다.
qstr_The_battle_against_t|{s1}의 무리를 상대로 한 전투가 계속된다.
; qstr_There_are_{reg39}_al|There are {reg39} allied commanders in this battle. You can command them and their troops for {reg40}/{reg41} influence.
; qstr_There_are_{reg39}_all|There are {reg39} allied commanders in this battle. You don't have enough influence to assume command.
qstr_Having_a_small_party|작은 부대를 꾸리는 것도 나름의 장점이 있다...당신과 당신의 부대는 적으로부터 몇 시간 동안 보이지 않은 채 숨어있을 수 있다.
qstr_Your_ability_to_mast|주변 환경을 마스터할 수 있는 능력을 통해 안전한 장소를 찾을 수 있었다. (서바이벌 기술을 통해 {reg1}의 병력을 숨길 수 있음)
qstr_{reg4}_will_be_lost.|{reg4} 명을 잃을 것이다.
qstr_{s13}_asked_you_to_r|{s13}은 당신이 최소 {reg13}의 병력을 모으면 보고하라 요청했다.
qstr_{s13}_ordered_you_to|{s13}이 {s14}에 대한 공격에 합류하기를 명령했다.
qstr_You_were_victorious!|당신은 승리하였습니다!
qstr_The_battle_was_lost.|전투에 패배하였습니다. 당신의 부대는 완전히 박살났습니다.
qstr_Your_companions_carr|동료가 당신을 업고 싸움에서 벗어났습니다.
qstr_You_have_defeated_th|당신은 적을 물리쳤습니다.
qstr_You_have_retreated_f|당신은 싸움에서 도망쳤습니다.
qstr_^^Ally_Casualties:{s|^^동맹 사상자:{s0}
qstr_You_and_{s3}_celebra|당신과 {s3}는 {s4}를 상대로 거둔 승리를 축하했다.
qstr_News_of_your_victory|{s4}에 대한 승리 소식이 {s3}에 도달함.
qstr_{s3}_witnesses_your_|{s3}이 {s4}을 상대로 거둔 당신의 승리를 목격했다.
qstr_Even_though_there_we|비록 당신의 승리를 증언해줄 어떤 아군도 없지만, 당신의 부대는 아랑곳하지 않고 당신의 승리를 축하한다.
qstr_{s1}_of_{s3}_managed|{s3}의 {s1}은 도망치는 데 성공했다.
qstr_Prisoners_rescued_so|지금까지 구출한 포로: {reg1}
qstr_{reg1}_kills_of_{s1}|{s1} 세력의 {reg1} 명을 죽이는 것이 당신의 맹세를 채워나간다. 총 킬수: {reg0}
qstr_Perhaps_I_m_getting_|어쩌면 내가 운이 다했는지도 모르겠군...
qstr_Retirement_is_starti|은퇴가 점점 더 나은 선택지처럼 보인다.
qstr_No_matter!_I_will_pe|상관 없어! 나는 견딜 것이다!
qstr_What_did_I_do_to_des|내가 무슨 짓을 했기에 이런 대접을 받는걸까?
qstr_I_suppose_it_ll_make|좋은 이야기가 될 것 같아, 적어도...
qstr__{s17}|, {s17}
qstr_You_retreated_from_b|당신은 전투에서 후퇴하였습니다.
qstr_{s9}_wants_you_to_fo|{s9}는 당신에게 따로 언질을 줄 때까지 따라오기를 원한다.
qstr_{s8}_of_{s9}|{s9}의 {s8}
qstr__Your_own_banner_fli| 당신 자신의 깃발이 성문에 펄럭이고 있다.
qstr__You_see_the_banner_| 성문에 {s7}의 깃발이 펄럭이는 것이 보인다.
qstr__This_castle_seems_t| 이 성은 누구의 것도 아닌 듯 하다.
qstr__Your_own_banner_flie| 당신 자신의 깃발이 도시 정문에 펄럭이고 있다.
qstr__You_see_the_banner_o| 도시 정문에 {s7}의 깃발이 펄럭이는 것이 보인다.
qstr__The_townsfolk_here_| 이 도시의 사람들은 독립을 주장하고 있다.
qstr_Go_to_the_secret_ent|모리아의 비밀 입구로 간다
qstr_Search_for_a_secret_|모리아의 비밀 입구를 찾는다
qstr_Get_book.|책을 읽는다.
qstr_The_{reg6?town_s:cas|{reg6?도시의:성의} 식료품점은 {reg3} 일 동안 지속될 듯 보인다.
qstr_The_{reg6?town_s:cast|{reg6?도시의:성의} 식료품점은 거의 바닥나 수비군들은 굶주리고 있다.
qstr_You_re_preparing_to_|당신은 성을 공격할 준비를 하고 있으며, 준비는 {reg9} 시간 뒤에 끝날 것이다.
qstr_Your_forces_are_buil|당신 부대는 공성탑을 건설 중이다. 그들은 {reg9} 시간 후에 작업이 끝날 것이라 예상한다.
qstr_You_are_ready_to_att|우리는 언제든 성벽을 공격할 수 있다.
qstr_The_siege_tower_is_b|공성탑이 건설되었으며 공격할 준비가 되었다.
qstr_As_a_last_defensive_|당신이 방어에 기울인 노력에도 불구하고, 당신은 성채의 중앙 회랑까지 퇴각했다. 당신과 남은 병사들은 그곳에서 절망적인 싸움을 계속하고 있다. 만약 패배한다면 이번에는 물러날 곳이 없다.
qstr_You_ve_been_driven_a|당신은 성벽에서 밀려났다. 이제 공격자들은 거리로 쏟아져나오기 시작했다. 만약 당신이 그들을 물리칠수만 있다면, 공세를 멈추고 날을 넘길 수 있을지도 모른다.
qstr_You_ve_breached_the_|당신은 도시 성벽을 돌파했지만, 완강한 방어자들이 거리에서 당신에게 저항을 계속하고 있다! 그들을 먼저 처리해야 도시 심장부에 위치한 성채를 공격할 수 있을 것이다.
qstr_The_town_centre_is_y|도시 중심가는 당신의 것이지만, 남은 방어자들이 성채로 퇴각했다. 당신의 승리를 확고히 하기 위해 그들을 처치해야한다.
qstr_The_remaining_defende|살아남은 방어자들은 항전을 위해 성으로 퇴각했다. 당신은 그곳으로 가 그들의 마지막 저항을 쳐부숴야한다.
qstr_However_since_you_ar|그러나, 당신은 {s9}의 {사람/추종자}가 되기로 맹세하지 않았기에,  그 자가 당신을 이 성의 {reg8?도시:성}의 {주인/여주인}으로 인정할 가능성은 거의 없다.
qstr_The_enemy_has_been_f|적은 어쩔 수 없이 후퇴했다. 공격은 끝났지만 포위는 계속되고 있다.
qstr_The_assasins_beat_yo|암살자들이 당신을 쓰러트렸고 죽게 내버려두었다.
qstr_You_have_fallen._The|당신은 쓰러졌다. 도적들은 재빨리 찾을 수 있는 귀중품을 찾아 당신 몸을 뒤지고는 밤 속으로 사라졌다. 그들은 당신을 겨우 살려두었다.
qstr_Luckily_some_of_your|다행히 당신이 돌아오지 않은 것을 염려한 동료 몇 명이 당신을 찾으러 왔으며, 당신이 도랑에 누워있는 것을 발견했다. 그들은 당신을 안전한 곳으로 데려갔고 당신의 상처를 치료했다.
qstr_Luckily_some_passing|다행히 지나가던 동네 사람들이 도랑에 누워있는 당신을 발견했고, 당신을 단순한 거지와 다르다는 것을 발견했다. 그들은 당신을 안전한 곳으로 데려갔고 당신의 상처를 치료해주었다.
qstr_{s13}^^You_have_succ|{s13}^^당신은 성공적으로 숨어들었다.
; qstr_The_tomb_is_destroye|The tomb is destroyed. A fierce fight took place here.
; qstr_Nothing_of_interest|Nothing of interest
qstr_the_place|그 장소에
qstr_the_castle|그 성에
qstr_the_Throne_Room|왕좌의 방
qstr_the_Secret_Cave|비밀 동굴
qstr_Meduseld_the_Golden_|황금회랑 메두셀드
qstr_the_Lord_Halls|군주의 회랑
qstr_the_Leader_s_Cave|지도자의 동굴
qstr_the_Tower|탑
qstr_the_tower_of_Orthanc|오르상크의 탑
qstr_Beorn_s_Hall|베오른의 회랑
qstr_the_Hall|회랑
qstr_the_Great_Chamber_of|스로르의 위대한 회랑
qstr_Stay_indoors_for_som|이곳에 얼마간 머무른다 (매일 밤 {reg1} 자원 포인트 소모)
qstr_Camp_outside_for_som|잠시 바깥에 머무른다 (무료)
qstr_{s4}_s_scouts_have_s|당신의 실패를 본 {s4}의 정찰대가 당신의 실패를 보고했다. {s4}에게 수치심을 안겨주었고 이 실패는 오로지 당신 책임이다.
qstr_{s1}_s_Ship|{s1}의 배
qstr_Time_passes...|시간이 흐른다...
qstr_Forces_of_Good|선 세력의 군세
qstr_Forces_of_Mordor|모르도르의 군세
qstr_Forces_of_Isengard|아이센가드의 군세
qstr_their_enemies|그들의 적들
qstr_{s11}_and_{s13}|{s11}과 {s13}
qstr_{s11}_{s13}|{s11}, {s13}
qstr_a_scout_party_from_{|{s3}의 정찰 부대
qstr_two_scout_parties_an|{s3}에서 온 두 정찰 부대와 약탈 부대 하나
qstr_two_scout_parties_and|{s3}에서 온 두 정찰 부대와 한 약탈 부대
qstr_three_scouts_two_for|{s3}에서 온 세 정찰 부대와 두 약탈 부대, 순찰대 하나
qstr_three_scouts_two_rai|{s3}에서 온 세 정찰 부대와 두 약탈 부대
