menu_start_game_1|^^^^^^^^^^자네는 무엇을 위해 싸우는가?
mno_start_du|고대 왕조의 인간들, 두네다인.
mno_start_be|곰 인간, 베오른족
mno_start_wo|어둠숲 외곽의 이들, 나무꾼.
mno_start_da|너른골 북부 왕국
menu_start_good_elf|^^^^^^^^^^어느 숲에서 사시겠습니까, 선인이시여?
mno_start_ri|엘론드가 통치하는 리븐델
mno_start_lo|여주인 갈라드리엘의 로스로리엔
mno_start_mi|숲의 요정의 땅, 어둠숲
menu_start_good_dwarf|^^^^^^^^^당신의 혈통을 선택하세요:
mno_start_er|에레보르의 거주자
mno_start_ih|철산의 광부
menu_start_gondor|^^^^^^^^^^곤도르의 어느 곳에서 오셨습니까?
mno_start_mt|수도, 미나스 티리스
mno_start_ls|도끼병의 영토, 롯사흐나흐
mno_start_la|산악 부족민의 영토, 라메돈
mno_start_pg|초록언덕의 영토, 피나스 겔린
mno_start_do|백조 기사단의 영토, 돌 암로스
mno_start_pe|해안 영토, 펠라르기르
mno_start_bl|궁수들의 영토, 검은뿌리 계곡
menu_start_eye_man|^^^^^^^^^^당신의 민족을 선택하세요:
mno_start_hr|남쪽에서 온 사막 민족, 하라드인
mno_start_bn|서쪽에서 온 탈주자들, 검은 누메노르인
mno_start_um|남쪽 바다에서 온 해적, 움바르
mno_start_rh|동쪽에서 온 야만인, 룬
mno_start_kh|남동쪽에서 온 약탈 민족, 칸드
menu_start_eye_uruk|^^^^^^^^^어디에 숨어있습니까?
mno_start_arm_uruk|모르도르의 군대 집결지
mno_start_cav_uruk|돌 굴두르 동굴 속
menu_start_eye_orc|^^^^^^^^^어디에 숨어있습니까?
mno_start_arm|모르도르의 군대 집결지
mno_start_cav|돌 굴두르 동굴 속
menu_start_hand_orc|^^^^^^^^^어디에 숨어있습니까?
mno_start_armis|아이센가드의 군대 집결지
mno_start_minmo|모리아의 광산 내부
mno_start_cliff|군다바드 산의 절벽
menu_start_gondor_mt|^^^^^^^^^^당신의 혈통을 선택하세요.
mno_start_1_com|평민
mno_start_2_hib|귀족
menu_start_haradrim|^^^^^^^당신은 사막의 인간들,^하라드림의 일원입니다.^당신의 갈래를 선택하세요
mno_start_1_des|사막 민족
mno_start_2_far|남끝 하라드 부족민
menu_start_numenorean|^^^^^^^당신은 검은 누메노르인,^모르고스와 어둠에 충실한 추종자입니다.^당신이 눈을 섬기는 곳을 선택하세요.
mno_start_1_bn|사우론의 입 휘하. 모란논.
mno_start_2_bn|강령술사의 숲. 돌 굴두르.
menu_choose_gender|^^^^^^^^^^성별은?
mno_start_male|남자
mno_start_female|여자
mno_proc|일반적으로 진행
menu_start_as_one|^^^^^^^^^^당신의 병종은 무엇입니까?
mno_start_default|{s23}되기 (기본)
mno_start_up1|{s21}되기 (쉬움)
mno_start_up2|{s22}되기 (쉬움)
mno_continue|계속...
menu_character_report|^^^^^부대 사기 : {reg8}^부대크기 제한:{reg7}^{s5}
menu_camp|^^^^당신은 {s1}에 있습니다.{s2}^^무엇을 하시겠습니까?
mno_camp_scene|주변을 걷는다
mno_camp_troop|보기{reg10?병사:}{reg12?그리고:}{reg11? 포로:}.
mno_camp_action|물품 사용
mno_camp_wait_here|캠프를 차려 시간을 보낸다
mno_camp_options|제 3세계 옵션 변경
mno_Dev_Menu|개발자 메뉴
menu_dev_menu|여기서는 다양한 치트와 툴과 같은 추가 옵션을 사용할 수 있습니다.^^ 그러나, 아직 실험중인 이벤트나 트리거,캠페인은 게임을 망가트릴 수 있습니다.^^ 위험이 있다는 점을 알아두세요! ^^ 또한, 버그를 신고하려면 Dev 메뉴를 이용해주세요.
mno_Cheat_enable|치트키/모드변경 옵션 사용
menu_game_options|^^^^^^^변경을 위해 옵션 클릭
mno_game_options_war_level_start|전쟁이 다음 레벨에 시작됩니다: {s1}
mno_game_options_restrict_items|제한된 플레이어 장비:{s7}
mno_game_options_formations|진형과 인공지능: {s7}
mno_game_options_siege_ai|향상된 공성 AI: {s7}
mno_game_options_town_menu|마을 NPC는 메뉴에서도 접근이 가능합니다:{s7}
mno_game_options_cutscenes|컷신: {s7}
mno_game_options_injuries|동료들의 부상:{s7}
mno_game_options_death|군주와 동료들의 영원한 죽음:{s7}
mno_game_options_death2|플레이어의 영원한 죽음(바로 당신!):{s7}
mno_game_options_morale|전투 사기 시스템:{s7}
mno_game_options_animal_ambushes|동물 습격:{s7}
mno_game_options_horse_ko|낙마 데미지 알림: {s7}
mno_game_options_bright_nights|밝은 야간 시야: {s7}.
mno_game_options_camera_pref|선호하는 카메라 모드: {s7}.
mno_game_options_tweaks|게임플레이 수정....
mno_game_options_back|캠프 메뉴로 돌아가기
mno_game_options_start_back|돌아가기
menu_camp_tweaks|^^^^^^^^당신이 조정하고 싶은 옵션을 선택하세요.
mno_tweak_options_compat|호환성 수정....
mno_tweak_options_strat|전략 수정...
mno_tweak_options_battlefield_ai|전장 AI 수정...
mno_tweak_options_back|옵션 메뉴로 돌아가기
menu_camp_compat_tweaks|^^^^^^^옵션변경을 위해 클릭하세요(shift키를 누르면 감소합니다);^(이건 호환성 때문이지 치트가 아닙니다)
mno_game_options_compat_party|부대의 최대수: {s1}
mno_game_options_compat_back|조정 메뉴로 돌아가기
menu_camp_strat_tweaks|^^^^^^^^변경을 위해 옵션 클릭:^(경고 : 이건 치트입니다!)
mno_strat_tweaks_siege_reqs|공성에 필요한 힘 요구량:{s7}
mno_strat_tweaks_siege_relax_rate|공성에 필요한 힘과 휴식 비율 : {reg1}
mno_strat_tweaks_regen_rate|힘 회복 비율:{s7}
mno_strat_tweaks_siege_regen_limit|{reg1} 에서 진영의 체력 회복 속도가 더뎌집니다. 
mno_strat_tweaks_influence_gain_rate|영향력 획득 비율: {s7}
mno_strat_tweaks_rank_gain_rate|지위 획득 비율: {s7}
mno_strat_tweaks_back|조정 메뉴로 돌아가기
menu_camp_action|^^^^^^^^^어떤 물건을 선택하시겠습니까?
mno_camp_drink_water|엔트워터를 마신다!
mno_camp_drink_orc_brew|오르크 맥주를 마신다!
mno_camp_drink_miruvor|미루보르를 마신다!
mno_camp_use_athelas|상처를 치료하기 위해 임금님풀(아델라스)를 사용한다.
mno_camp_use_drums|협곡의 나팔을 분다.
mno_camp_action_4|돌아가기
menu_assasins_attack_player_won|당신은 {s3}에 의해 보내진 암살자들을 {s2}에서 성공적으로 물리쳤습니다.
menu_assasins_attack_player_retreat|당신은 목숨을 건진 채 도망쳤습니다!
menu_fangorn_danger|이상하게도, 위협적인 소음이 당신 주변을 온통 둘러싸고 있습니다.^나무가 이야기를 하고 있습니까? 공기 중에 깊은 분노와 고통의 느낌이 있습니다.^ 당신의 명령은?
mno_be_quiet_elf|나무들의 증오심을 존중한다. 조용히 이동한다
mno_be_quiet|무기를 내리고 조용히 하라! 이곳을 벗어난다!
mno_be_bold|계속 가자! 나는 식물이나 오래된 미신같은 건 두렵지 않아!
; mno_fight_back|Let's find out! Search the area! Burn down a tree or two! (Camp)
menu_fangorn_search_fails|^^^^^^당신은 어둡고 빽빽한 숲을 조사했지만 아무것도 찾을 수 없었습니다.^하지만 당신은 더 많은 관찰과 위협을 느꼈습니다.
menu_fangorn_killed_player_only|^^^^^^당신은 빽빽한, 어두운 숲을 배회했습니다.^갑자기 당신은 무언가에 얻어맞았습니다! 아마도 묵직한 가지가 당신의 머리에 떨어진 듯 한데요?^당신은 몇분간 의식을 잃었습니다. 당신은 심하게 다쳤지만 도망칠 수 있었습니다.
mno_ow_get_out|아야! 이 저주받은 곳에서 나가자!
menu_fangorn_killed_troop_and_player|^^^^^^당신은 빽빽한, 어두운 숲을 배회했습니다.^^갑자기 당신은 무언가에 얻어맞았습니다! 아마도 묵직한 가지가 당신의 머리에 떨어진 듯 합니다.^^몇 분 후, 회복되었을 때, 당신은 운 좋게도 부대원 중 일부를 발견했습니다.^^
menu_fangorn_killed_troop_only|^^^^^^당신은 빽빽한, 어두운 숲을 배회했습니다. 병사들은 겁에 질려 있습니다.^^갑자기 당신은 뒤쪽에서 비명 소리를 들었습니다! 당신은 피웅덩이 속에서 병사들 중 일부를 찾기 위해 서둘렀습니다.^^몇몇은 어디서도 찾을 수 없었습니다...
mno_get_out|이 저주받은 곳에서 나가자!
menu_can_capture_troll|쓰러진 야생 트롤은 여전히 숨쉬고 있습니다!^^그 악한 눈은 고통과 분노로 가득 찬 채 당신을 바라보고 있습니다.^비록 지금은 쓰러졌고, 피웅덩이에 무기력하게 누워 있지만, 그것은 대단히 위험해보입니다...
mno_killit|당장 전해라. 죽었는지 확인하라고
mno_cageit1|가둬서 끌고간다
mno_cageit2|다른 트롤과 함께 가둔다
mno_cheat_disabable|치트키/모드변경 옵션 끄기
menu_drank_ent_water_human|^^^당신은 물을 마셨습니다. 이것은 깨끗하고 상쾌했습니다. 이것은 사향처럼 기분 좋은 향을 가지고 있습니다.^당신의 기분은 상쾌해졌습니다.^^그러나, 당신은 이상하고 부자연스러운 기분을 느꼈습니다. 뭔가가 당신에게 이 물을 다시 마셔도 이처럼 기분이 좋지는 않으리라는 것을 알려주고 있습니다.
menu_drank_ent_water_orc|^^^당신은 물을 마셨습니다. 이것은 그저 물이었습니다.^갑자기, 당신은 극심한 통증에 목을 부여잡았습니다.^중독되었습니다!^당신은 질식하며, 검은 피를 뱉어내고, 거의 숨을 거두는 듯 했습니다.^^아파요, 오, 아픕니다.
mno_i_shall_surv|나는...살아남을...것이다!
menu_end_game|^^^^^결정은 이루어졌고, 당신은 모험가의 삶을 포기하고 정착하기로 결정했습니다. 당신은 당신의 모든 무기와 방어구를 팔고, 석양을 뒤로 한 채 걷기 시작했습니다...
mno_end_game_bye|안녕히
menu_cattle_herd|몇몇 사람들과 조우했습니다
mno_cattle_drive_away|따라오라고 명령
mno_cattle_stop|멈추라고 명령
mno_leave|떠나기
menu_simple_encounter|^^^^^{s2}^당신은 {reg11}명의 적군에 맞서 싸울 {reg22}명의 병사를 가지고 있습니다.\n^^전투는 {s3}{s4}에서 일어나고 있습니다.^^당신의 명령은?
mno_encounter_attack|{reg21?적을 향해 돌격한다:적과 싸울 준비를 한다}
mno_encounter_order_attack|당신이 뒤로 물러나 있는 동안 병사들에게 {reg21?공격하라고:싸우라고} 명령한다
; mno_control_allies_menu|Use influence to command your allies in the field.
mno_encounter_hide|적으로부터 숨는다...
mno_special_whip|{s4}을(를) 채찍질하며 그들을 향해 돌격한다
mno_encounter_attack_bearform|{reg21?Leap into battle in bear form:Turn skin and face them}.
mno_encounter_leave|떠나기
mno_encounter_retreat|몇몇 병사들을 당신이 후퇴할 때 남겨놓기
mno_player_control_allies_simple|그들에게 적에게 돌격하라 명령한다.
mno_player_control_allies_back|돌아가기..
mno_hide_close|계속...
menu_encounter_retreat_confirm|^^^^^부대원이 가진 가장 높은 전략가 스킬({reg2})로, {reg3?당신은:{s3}은(는)} 당신과 부대원들을 살아서 탈출시킬 계획을 궁리해냈지만, 적을 멈추기 위해 {reg4}명의 군사를 뒤에 남겨야만 합니다.
mno_leave_behind|계속 간다. 그들의 희생이 남은 이들을 살릴 것이다
mno_dont_leave_behind|아니. 전우를 버려둔 채 떠날 수 없다
menu_encounter_retreat|^^^^^당신은 {reg4}명의 병사들에게 당신과 다른 이들이 도망갈 수 있도록 적을 붙잡아두라고 했습니다.
menu_order_attack_begin|^^^^^^ 당신의 병사들이 적을 공격할 준비를 완료했습니다.
mno_order_attack_begin|공격을 시작하라고 명령
mno_call_back|군사를 불러들인다
menu_order_attack_2|^{s4}^아군 사상자: {s8}^적군 사상자: {s9}
mno_order_attack_continue|당신의 병사들에게 공격을 계속하라고 명령
mno_order_retreat|군사를 불러들인다
menu_kingdom_army_quest_report_to_army|{s8}은(는) {reg4?그녀:그의}의 새 군사작전에 당신이 참여하길 원한다고 서신을 전해왔습니다. 작전에 참여하려면 적어도 {reg13}명의 병사가 있어야 하고, 만약 병사가 없다면 서둘러 징집하라고 지침을 받았습니다.
mno_reject|너무 바쁘다는 편지를 보내기
mno_send_word|곧 합류할 것이라 전하기
menu_kingdom_army_quest_messenger|{s8}은(는) 당신에게 가능한 한 빨리 면담을 하자고 요청했습니다.
menu_kingdom_army_quest_join_siege_order|{s8}은(는) {s9}의 공성전에 대한 총공격 준비에 참여하라고 서신을 전했습니다. 당신의 군대는 어떤 희생을 치르더라도 {s9}을(를) 돌파해야 합니다.
menu_kingdom_army_follow_failed|당신은 명령에 불복종했고 {s8}을 따라가는데 실패했습니다. 그는 당신이 더 시급한 문제가 있을 것으로 간주하겠지만, 그의 인내심은 무한하지 않음을 경고하는 편지를 보내왔습니다.
menu_battle_debrief|{s11}^^아군 사상자: {s8}{s10}^^적군 사상자: {s9}\n
mno_inspect_troll|쓰러진 트롤 조사하기
menu_pre_join|^^^^^당신은 {s2} 그리고 {s1}, 양측의 군대가 대치하는 전장에 도착했습니다. 당신은...
mno_pre_join_help_attackers|{s2}의 군대에 가세한다
mno_pre_join_help_defenders|{s1}의 군대에 가세한다
mno_pre_join_help_refugees|{s1}의 군대에 가세한다
mno_pre_join_leave|참전하지 않는다
menu_join_battle|당신은 {s1}에 맞서 {s2}의 군단에 가세했습니다.^우리측 {reg22}명의 군대로 {reg11}명의 적군에 맞서싸워야 합니다.^^전투는 {s3}{s4}에서 일어나고 있습니다.
mno_join_attack|적에게 돌격하기
mno_join_order_attack|당신이 뒤에 있는동안 동맹군과 함께 공격하라고 명령한다.
; mno_control_allies_join_menu|Use influence to command your allies in the field.
mno_join_attack_bearform|곰의 형태로 전투에 뛰어든다.
mno_join_leave|떠나기
mno_player_control_allies_join_menu|그들에게 적에게 돌격하라 명령한다.
menu_join_order_attack|{s4}^^당신의 피해: {s8}^^동맹의' 피해: {s9}^^적의 피해: {s10}
mno_enter|들어가기
menu_battlefields|^^^^^^^^^전장을 선택하세요...
mno_enter_f1|전장 1
mno_enter_f2|전장 2
mno_enter_f3|전장 3
mno_enter_f4|전장 4
mno_enter_f5|전장 5
menu_join_siege_outside|{s1}은 {s2}에 의해서 포위되었습니다.
mno_approach_besiegers|공성캠프에 접근하기
mno_pass_through_siege|공성진을 지나 {s1}로 가기
menu_cut_siege_without_fight|포위자들은 전투 없이 당신이 문까지 가게 두었습니다.
menu_besiegers_camp_with_allies|{s1}은 포위된 상태입니다. {s2}의 깃발이 당신을 환영하는 포위자들의 캠프 위로 펄럭입니다.
mno_talk_to_siege_commander|사령관과 면담 요청
mno_join_siege_with_allies|다음 공격에 참가
mno_join_siege_stay_back|당신 없이 다음 전투에 참전하라고 명령
menu_moria_must_escape|^^이 책은 모리아에 정착한 난쟁이의 마지막 시도에 대한 기록으로 보입니다. 시도에 참여한 모두는 분명히 명백한 죽음으로 끝났습니다. 책을 정독하면서, 당신은 우연히 '진정한 은' 이라는 단어를 발견했습니다! 당신은 페이지를 연구하다 그것들이 지하 어딘가에 난쟁이들이 숨겨둔 것에 대한 서술임을 갑자기 깨달았습니다. 하! 오래전 잃어버린 난쟁이의 미스릴이 발견된다면 끝내주지 않을까요? ^당신은 열심히 책의 지시를 따라, 바람 부는 좁은 터널 아래로 내려갔습니다...^...^수색에 몇 시간을 헛되이 보낸 후 당신은 모리아에서 길을 잃었고 나갈 길을 찾아야 한다는 것을 깨달았습니다.
mno_moria_exit_scene|나갈 길을 찾는다!
menu_castle_outside|당신은 {s2}의 야외에 있습니다.{s11} {s3} {s4}
mno_moria_enter|비밀 입구를 통해 모리아의 본관으로 돌아가기
mno_moria_enter_door|모리아에 입장
mno_cheat_steal_book_door|책을 읽는다.
mno_castle_start_siege|{reg6?town:castle} 포위하기
mno_castle_leave|떠나기
menu_castle_besiege|당신은 {s1}을 포위하고 있습니다. {s2} {s3}
mno_siege_request_meeting|성의 지휘관과 면담 요청
mno_wait_24_hours|내일까지 기다리기
mno_castle_lead_attack|당신의 병사들을 이끌고 공격
mno_attack_stay_back|당신이 뒤에 있을동안 공격하라고 명령한다...
mno_build_ladders|성벽 공략을 위한 사다리 준비
mno_lift_siege|포위를 포기함
menu_siege_attack_meets_sally|^^^^^^방어군은 당신의 공격에 성 밖으로 출격했습니다.
menu_construct_ladders|부대원이 가진 가장 높은 건축가 스킬 ({reg2})로, {reg3?당신은:{s3}은(는)} 공격을 위한 공성사다리를 만드는데 {reg4}시간이 걸릴 것이라고 어림했습니다.
mno_build_ladders_cont|실행
menu_castle_attack_walls_simulate|{s4}^^아군 사상자: {s8}^^적군 사상자: {s9}
menu_castle_attack_walls_with_allies_simulate|{s4}^^아군 사상자: {s8}^^동맹 사상자: {s9}^^적군 사상자: {s10}
menu_castle_taken_by_friends|여기서 볼 건 없다.
menu_castle_taken|여기는 볼 일이 없습니다.\nmenu_castle_taken|{s3}는 당신의 군대에게 함락 되었고, 지금 당신은 {reg2?도시의:성의} 모든 통제권을 가졌습니다.{reg1? 당신이 이 곳을 취하는 것을 막을 자는 아무도 없는 것으로 보입니다...:}
menu_castle_taken_2|{s3}은 당신의 군사에게 함락되었고, 당신은 성의 모든 통제권을 가졌습니다. {s9}에게 당신의 승리에 대한 서신을 보낼 시간입니다. {s5}
mno_castle_taken_no_claim|보상 요구하지 않기
menu_siege_started_defender|{s1}은(는) {s2}에 대한 공성전을 감행하고 있습니다. ^{reg22}명의 아군을 이끌고 {reg11}명의 적을 상대해야 합니다. 당신은...
mno_siege_defender_join_battle|전투에 참가하기
mno_siege_defender_troops_join_battle|당신없이 전투에 참가하라고 명령
mno_siege_defender_do_not_join_battle|참전하지 않는다
menu_siege_join_defense|{s4}^^아군 사상자: {s8}^^동맹 사상자: {s9}^^적군 사상자: {s10}
menu_village_hunt_down_fugitive_defeated|도망자들로부터의 무거운 타격이 당신을 땅에 눕혔고, 당신의 시야는 회전했고 어두워졌습니다. 시간이 지나 당신이 눈을 떴을 때 당신은 지치고 피로 물든 자신의 모습을 찾을 수 있었습니다. 그러나, 운좋게도 어떤 상처도 치명적으로 보이진 않았습니다.
menu_town_bandits_succeeded|고블린은 당신앞에 낙엽처럼 쓰러졌습니다! 이내 당신은 공격자 대부분이 의식을 잃고 죽거나 죽어가는 가운데 홀로 서 있었습니다. 위협으로부터 그들을 구원함으로서 지역 주민들은 확실히 매우 감사히 여길 것입니다.
menu_town_brawl_lost|^^^^^^당신은 의식을 잃고 쓰러졌습니다. 당신을 공격한 이들은 그들의 일상으로 돌아가기 전 빠르게 당신 품을 뒤져 값나가는 것을 챙겨갔습니다.
menu_town_brawl_won|^^^^당신은 모든 상대를 두들겨 팬 후 소요를 진압하기 위해 경비병을 보냈습니다. 당신은 빠르게 품 속을 뒤져 값 나가는 물건을 챙기고 사라졌습니다.^다음 번에 만났을 때 아마 그들은 더 많은 존경을 표하고 물러갈 것입니다.
menu_close|아무 것도 안하기
menu_town|당신은 {s60}에 도착했습니다.{s12}{s13}
mno_town_menu_0|들어가기
; mno_town_menu_0_door|Inspect...
mno_town_approach|다가가기
mno_town_castle|{s1}에 가기
mno_town_castle_door|마을 입구
mno_town_center|거리 주변을 걷기
mno_town_center_door|마을 입구
mno_aw_chamber_door|문 열기
mno_trade_with_arms_merchant|무기 상인과 거래
mno_trade_with_horse_merchant|말 상인과 거래
; mno_town_prison_door|To the Training Grounds
; mno_talk_to_healer|Speak with {s40}.
mno_talk_to_castle_commander|{s61}의 병영을 방문
mno_speak_with_elder|{s6}와(과) 대화
; mno_town_ask|Ask around for persons of import...
mno_isengard_underground|지하 선술집에 들어가기
mno_isengard_underground_door|지하 동굴로 들어가기.
mno_tirith_toplevel|꼭대기층으로 올라가기
mno_tirith_toplevel_door|요새로 가기
mno_erebor_gates|정문으로 가기.
; mno_erebor_gates_door|Go to the Great Gates
; mno_glittering_caves|Go to the Glittering Caves.
; mno_glittering_caves_door|Go to the Glittering Caves
mno_town_leave|떠나기
mno_town_leave_door|떠나기
mno_town_find_NPCs_cont|실행
; menu_town_find_NPCs_end|Talking to the people of {s2}, {reg3?you have found:{s3} has found} out the locations of the local stables and warehouse, the smithy, {s4} ^^{s6}
menu_player_initiated_siege_result|당신은 {s2}의 깃발 아래 중심지를 공격했습니다.
menu_disembark|내리시겠습니까?
mno_disembark_yes|그래
mno_disembark_no|아니
menu_ship_reembark|승선하시겠습니까?
mno_reembark_yes|그래
mno_reembark_no|아니
menu_center_reports|도시명: {s1}^임대료 수입: {reg1} 디나르^조세 수입: {reg2} 디나르^식량 축적: {reg3} 일
menu_sneak_into_town_suceeded|당신은 빈곤한 방랑자의 옷으로 위장한 후, 보초들을 속이고 마을로 들어갔습니다.
menu_sneak_into_town_caught|당신은 잠입을 시도했으나, 보초 중 한 명이 당신을 알아보고 경보를 울렸습니다! 당신은 마을의 모든 보초들이 당신에게 오기 전에 도망쳐야만 합니다!
mno_sneak_caught_fight|도망치기 위해 싸운다!
mno_sneak_caught_surrender|항복
menu_sneak_into_town_caught_dispersed_guards|당신은 보초들을 따돌리고 추격자들이 거리의 미로에서 당신을 쉽게 놓치도록 도망치기 전의 흔적을 숨겼습니다. 
menu_sneak_into_town_caught_ran_away|당신은 문을 통해 신속히 안전한 둔덕으로 달아났습니다.
menu_tld_player_defeated|^^^^^갑자기 당신의 뒤통수에서 산산조각나는 듯한 고통이 폭발했습니다! \\ 당신은 떨면서, 주변 모든 세상이 까매져 가면서, 떨었습니다...^이것이 당신의 최후일까요?
menu_recover_after_death_fangorn|당신은 일어났습니다. 숲은 아직 당신 주위에 있습니다. 모든 뼈마디가 아픕니다. 당신은 기적적으로 살아있습니다.^^패배했지만, 적어도 당신은 어떤 일이 있었는지 볼 수 있었습니다. ^이제, 당신은 이 저주받은 숲에서 무슨 일이 일어나고 있는지 알고,^당신은 살아남았다고 말합니다. ^^누가 당신 말을 믿어줄까요?
menu_recover_after_death_moria|^^^^^당신은 의식을 회복했습니다. 당신은 부드러운 흙 위에 누워 있고, 신선한 공기가 얼굴에 사뿐히 불어옵니다. 당신은 바깥에 있습니다!^오르크들은 당신이 죽은 줄 알고 어떤 어두운 구덩이 속에 던져넣었을 것입니다.^당신에게 지하의 수면이 느껴져 왔습니다.
mno_whatever|일어나자!
menu_recover_after_death_default|^^^^^당신은 의식을 회복했습니다. 당신은 쓰러진 그 자리에 누워있습니다. 당신의 적들은 당신이 죽은 줄 알고 거기 남겨두었을 것입니다. 하지만 치명적인 상처는 하나도 없었고, 비록 끔찍한 기분이 들지만 당신은 여전히 걸을 수 있을 것 같습니다.우선 일어나 당신 부대의 다른 생존자를 찾아보십시오.
menu_recover_after_death_town|^^^^당신은 의식을 회복했고 자기가 교외에 있다는 것을 알아챘습니다. 당신은 살았습니다! 주변에 아무도 없고 당신은 마을 바깥에서 곤경을 벗어날 기회를 잡았습니다. 치명적인 상처는 하나도 없고, 비록 끔찍한 기분이 들지만 당신은 여전히 걸을 수 있을 것 같습니다.
menu_recover_after_death_town_alone|당신은 의식을 회복했고 자기가 교외에 있다는 것을 알아챘습니다. 당신은 살았습니다! 주변에 아무도 없고 당신은 마을 바깥에서 곤경을 벗어날 기회를 잡았습니다. 당신의 동료가 당신을 찾았습니다. 치명적인 상처는 하나도 없고, 비록 끔찍한 기분이 들지만 당신은 여전히 걸을 수 있을 것 같습니다.
menu_notification_center_under_siege|{s3}의 {s2}가 {s1}을(를) 포위했습니다!
menu_notification_one_side_left|^^^^^반지전쟁은 종결되었습니다!^^{s1}은 모든 적을 패배시키고 승리를 지켜냈습니다!
menu_notification_total_defeat|^^^^^반지전쟁은 종결되었습니다!!^^{s1}은 적들에 의해 멸망하고 당신은 패배했습니다!
