pt_rescued_prisoners|구출된 포로들
pt_gondor_patrol|곤도르 순찰자
pt_rohan_patrol|로히림 순찰자
pt_imladris_patrol|두네다인 순찰자
pt_lorien_patrol|로스로리엔 순찰자
pt_woodelf_patrol|어둠숲 순찰자
pt_dale_patrol|너른골 순찰자
pt_esgaroth_patrol|에스가로스 순찰자
pt_dwarf_patrol|난쟁이족 순찰자
pt_ranger_patrol|순찰자 순찰자
pt_amroth_patrol|돌 암로스 순찰자
pt_pelargir_patrol|펠라르기르 순찰자
pt_lossarnach_patrol|롯사르나흐 순찰자
pt_brv_patrol|검은뿌리 순찰자
pt_pinnath_patrol|피나스 순찰자
pt_lamedon_patrol|라메돈 순찰자
pt_mordor_war_party|모르도르 전쟁 부대
pt_isengard_war_party|아이센가드 전쟁 부대
pt_harad_war_party|하라드 전쟁 부대
pt_dunland_war_party|던랜딩 전쟁집단
pt_khand_war_party|바리아그 전쟁 부대
pt_moria_war_party|모리아 전쟁 부대
pt_guldur_war_party|돌 굴두르 전쟁 부대
pt_rhun_war_party|룬 전쟁 부대
pt_gondor_company|미나스 티리스 순찰자
pt_rohan_company|로한 중대
pt_imladris_company|리븐델 중대
pt_lorien_company|로스로리엔 중대
pt_woodelf_company|어둠숲 중대
pt_dale_company|너른골 중대
pt_dwarf_company|난쟁이족 중대
pt_gondor_elite_company|곤도르 정예 중대
pt_rohan_elite_company|로한 정예 중대
pt_imladris_elite_company|리븐델 정예 중대
pt_lorien_elite_company|로스로리엔 정예 중대
pt_woodelf_elite_company|어둠숲 정예 중대
pt_dale_elite_company|너른골 정예 중대
pt_dwarf_elite_company|난쟁이족 정예 중대
pt_gondor_caravan|곤도르 상단
pt_rohan_caravan|로한 상단
pt_imladris_caravan|리븐델 상단
pt_lorien_caravan|로스로리엔 상단
pt_woodelf_caravan|어둠숲 상단
pt_dale_caravan|너른골 상단
pt_dwarf_caravan|난쟁이족 상단
pt_mordor_caravan|모르도르 보급 수레
pt_isengard_caravan|아이센가드 보급 수레
pt_gunda_caravan|군다바드 보급 수레
pt_gondor_p_train|곤도르 죄수 후송대
pt_rohan_p_train|로한 죄수 후송대
pt_imladris_p_train|리븐델 죄수 후송대
pt_lorien_p_train|로스로리엔 죄수 후송대
pt_woodelf_p_train|어둠숲 죄수 후송대
pt_dale_p_train|너른골 죄수 후송대
pt_dwarf_p_train|난쟁이족 죄수 후송대
pt_mordor_p_train|모르도르 죄수 후송대
pt_isengard_p_train|아이센가드 죄수 후송대
pt_kingdom_hero_party|전쟁 부대
pt_caravan_survivors|상단 생존자
pt_routed_allies|후퇴한 동맹군
pt_routed_enemies|후퇴한 적군
pt_legion_minas_morgul|미나스 모르굴 군단
pt_legion_udun|우툼노 군단
pt_legion_gorgoroth|고르고로스 군단
pt_legion_barad_dur|바랏두르 군단
pt_beorn_messenger|베오른족 전령
pt_village|촌락
pt_ring_hunters|반지 추적자
pt_scout_camp_small|정찰 캠프
pt_scout_camp_large|요새화된 정찰 캠프
pt_beorn_caravan|숲사람 상단
pt_orc_horde|오르크 부족
pt_volunteers|예비군
pt_refugees|난민
pt_retreat_troops|Cover Troops
pt_radagast|말을 탄 낯선 이
