
str_yes|예
str_tutorial_1_msg_6|잘 하셨습니다! 이제 기초적인 움직임과 공격은 끝났습니다. 조금만 더 연습하면 모든 기능을 익히게 될 겁니다. 두번째 튜토리얼에서는 조금 더 복잡한 격투 스킬과 무장한 적을 상대하는 방법을 배울 겁니다. 언제라도 탭 키를 눌러 튜토리얼 메뉴로 돌아올 수 있습니다.
str_tutorial_2_msg_1|이번 튜토리얼은 방패를 이용해 공격을 막는 방법과 무장한 적을 상대하는 방법에 관한 것입니다. 이번에는 당신에게 방패 이외의 다른 무기는 주어지지 않을 것입니다. 공격하지 않고 방패를 이용해 적의 공격으로부터 당신을 완벽하게 지켜봅시다. 다음 방에는 무장한 채로 당신을 기다리는 적이 있습니다. 이 튜토리얼을 나가거나 본 게임에서 튜토리얼을 진행하고 싶으면 탭 키를 누르면 된다는 것을 기억하세요.
str_tutorial_2_msg_2|오른쪽 마우스 버튼을 길게 눌러 방패를 올립니다. 30초 동안 버텨보세요. {reg3} 초 남았습니다.
str_tutorial_2_msg_3|잘 했습니다, 무장한 적을 상대로 방어하는 법을 배우셨군요. 다음 단계 튜토리얼은 적 궁수에 맞서 방패를 이용하는 법을 다룰 것입니다. 적 궁수에 대항할 준비가 되었다면 다음 방으로 이동하세요.
str_tutorial_2_msg_4|오른쪽 마우스 버튼을 눌러 방패를 들고 화살을 막으세요. 30초 동안 버텨보세요. {reg3} 초 남았습니다.
str_tutorial_2_msg_5|훌륭합니다, 적 궁수에 맞서 완벽한 방어를 펼쳤습니다. 다음 방에 보상이 기다리고 있습니다.
str_tutorial_2_msg_6|기본 키 세팅을 기준으로, F 키는 게임 속 사물이나 사람들과 비폭력적인 상호작용을 하는 데 사용됩니다. 제단 위의 검을 집으려면, 검에 시선을 고정하고 '장착'이라는 글자가 보일 때 F 키를 누르세요.
str_tutorial_2_msg_7|괜찮은 무기네요! 이제 아까 당했던 것을 되갚아주러 가 봅시다. 문을 열고 나가서 아까 마주쳤던 궁수들을 처단하세요.
str_tutorial_2_msg_8|잘 하셨습니다. 이 튜토리얼을 끝내기 위한 마지막 단계는 저 문 밖에 있습니다. 문을 열고 나가서 본때를 보여주세요!
str_tutorial_2_msg_9|축하합니다! 이제 당신은 방패를 이용해 자신을 지키는 법과 무장한 적을 상대로 맞서 싸우는 법을 배웠습니다. 조금만 더 경험을 쌓으면 곧 저명한 검사가 될 겁니다. 다음 튜토리얼은 마운트&블레이드 전투에서 가장 중요한 방어 기술 중 하나인 방향성 방어를 다룰 겁니다. 탭 키를 눌러 언제든지 튜토리얼 메뉴로 돌아올 수 있습니다.
str_tutorial_3_msg_1|해당 튜토리얼에선 방패 없이 방어하거나 반격하는 법을 배웁니다. 방패 없이 반격하는 것은 방패로 방어하는 것보다 훨씬 어렵습니다. 무기로 방어할 때, 무기를 겨누고 있는 한 방향으로만 방어할 수 있습니다. 만약 당신이 무기로 상단을 방어한다면 다른 방향에서 오는 찌르기 같은 공격은 방어할 수 없지만, 위에서부터 오는 공격을 방어할 수 있을 것입니다. 당신은 살아남기 위해서 방패 없이 다양한 방향으로 무기를 이용해 방어하는 법을 배워야합니다. 가서 도끼를 들고 연습을 시작하세요.
str_tutorial_3_msg_2|기본적으로 방어하는 방향은 가장 근접한 적의 공격 방향에 따라 결정됩니다. (우측 마우스 버튼을 누른 채 유지하는 것으로 방어합니다.) 예를 들어, 적이 찌르기 공격을 시도할 때 우측 마우스 버튼을 누른다면, 당신은 찌르기 공격을 방어할 것입니다. 다른 방향에서 오는 공격은 막을 수 없으므로 신중하게 방어하십시오. 적이 공격하기 전에 방어 태세를 취한다면 엉뚱한 방향을 방어하게 될 수도 있습니다! 이제 다음 장소로 이동해서, 무장한 적을 상대로 방어하는 법을 배워봅시다. 당신이 할 일은 30초 동안 도끼를 제외한 어떤 장비도 갖지 않은 채 성공적으로 방어하는 것입니다. 공격 기능은 방어하는 것에 집중하기 위해 튜토리얼 동안 잠시 비활성화되었으니 걱정하지 마세요. 준비가 되었으면 다음 장소로 이동해 전투를 시작하세요.
str_tutorial_3_msg_3|마우스 우측 버튼을 누른 채 유지하는 것으로 적이 공격을 시작할 때 방어할 수 있습니다. 30초 동안 버텨보세요. {reg3} 초 남았습니다.
str_tutorial_3_msg_4|잘 하셨습니다. 도전을 성공하셨군요! 이제 당신에게 맞는 상대방과 싸우게 될 것이며, 그것은 더 어려울 것입니다. 준비가 되셨다면 다음 방으로 이동해 적을 상대하세요.
str_tutorial_3_msg_5|마우스 우측 버튼을 누른 채 유지하는 것으로 적이 공격을 시작할 때 방어할 수 있습니다. 30초 동안 버텨보세요. {reg3} 초 남았습니다.
str_tutorial_3_msg_6|축하합니다. 적의 맹공에도 여전히 멀쩡하시군요. 이제 공격할 시간입니다. 문에 가까이 다가간 후, Go라는 단어가 보이면 F 키를 누르세요.
str_tutorial_3_2_msg_1|도끼 공격이 다시 활성화 되었습니다. 당신의 상대가 다음 방에서 기다리고 있습니다. 공격과 방어를 섞어 그를 무찌르세요.
str_tutorial_3_2_msg_2|상대를 도끼로 무찌르세요.
str_tutorial_3_2_msg_3|잘 하셨습니다. 이제 단 한 명의 상대만이 남았습니다. 다음 방으로 넘어가셔서 상대를 때려눕히세요.
str_tutorial_3_2_msg_4|상대를 도끼로 무찌르세요.
str_tutorial_3_2_msg_5|참 잘 했습니다! 이 튜토리얼에서 당신은 방패를 사용하지 않고 싸우는 법을 배웠습니다. 열심히, 그리고 꾸준하게 훈련한다면 그 누구도 감히 당신에게 덤비지 못 할 겁니다. 다음 튜토리얼은 마상 전투를 다룹니다. 탭 키를 눌러 언제라도 튜토리얼로 돌아올 수 있습니다.
str_tutorial_4_msg_1|네번째 튜토리얼에 오신 것을 환영합니다. 이번 시퀀스에서 당신은 말과 와르그에 올라타 무술을 전개하는 방법을 배울 것입니다. 먼저 승마부터 시작하겠습니다. 말에 다가가서 '승마'라는 글자가 보일 때 F를 눌러주세요.
str_tutorial_4_msg_2|말 위에서는 WASD를 이용해 당신이 아닌 말의 이동을 조종합니다. 말을 몰아 코스의 깃발을 따라가보세요. 깃발에 다가가면 결승선에 도달할 때 까지 다음 지점으로 깃발이 이동할 것입니다. 
str_tutorial_4_msg_3|좋습니다. 다음은 말 위에서 적의 공격을 방어하는 방법입니다. 깃발에 가까이 가세요.
str_tutorial_4_msg_4|검을 뽑은 후 (마우스 휠 사용) 표적 네 개를 처리하세요. 속도가 최대일 때 공격을 시도해보세요. --난이도가 꽤 있을테지만, 타격에 속도가 추가되면 더 많은 피해를 줄 수 있습니다. 가장 쉬운 방법은 좌측 마우스 버튼을 적당하 때가 올 때까지 누르고 있다가 표적을 통과할때 떼는 것입니다.
str_tutorial_4_msg_5|잘 하셨습니다. 이제 말 위에서 표적을 쏘아맞추는 방법입니다. 깃발에 가까이 가세요,.
str_tutorial_4_msg_6|승마장 옆에 있는 활쏘기 표적을 찾아 세 번 활로 쏘아 맞추세요. 활을 쏘려면 굳이 말을 탈 필요가 없지만, 말의 속도와 방향이 목표에 어떤 영향을 미치는 지 느낄 수 있도록 다양한 속도와 각도로 과녁을 노려보세요.
str_tutorial_4_msg_7|축하합니다. 이것으로 튜토리얼을 마칩니다. Tab 키를 눌러 언제든지 튜토리얼 메뉴로 돌아올 수 있습니다.
str_tutorial_5_msg_1|마운트 & 블레이드에서 가장 중요한 요소 중 하나인 전투에서 군대를 지휘하는 법에 대한 5번째 및 최종 튜토리얼에 오신 것을 환영합니다.^^첫번째로 배워야할 명령 메뉴는 이동 명령으로, F1키를 눌러 확인할 수 있습니다. 그것을 누르고 전투 중에 당신의 군대에게 내릴 수 있는 다양한 이동 옵션을 살펴보십시오.^^그 첫걸음으로 부대에 명령을 내려서 부대가 당신을 따라 깃발 지시표가 있는 언덕을 올라가게 하십시오.
str_tutorial_5_msg_2|훌륭합니다. 당신의 부대가 언덕을 올라갔습니다. 이제 전장을 더 잘 살필 수 있게 되었습니다.^^이번에는 F1 명령 메뉴를 다시 눌러 Hold this Position(F1)을 선택하여 이 언덕을 사수하도록 명령하십시오.^^ 한번 그렇게 명령을 내리면 부대가 당신을 따라가는 것을 멈추고 위치를 사수할 것입니다.^^ 이제 군대 기본 진형을 포함한 두번째 지휘 메뉴를 배우는 것이 좋겠군요.^^이 메뉴에서는 당신의 부대가 대열을 강화하거나, 적의 돌격을 막거나, 궁수의 일제사격을 막을 수 있도록 흩어지게 명령할 수 있습니다.^^이 명령 메뉴를 사용해 당신의 부대에 10보 전진 또는 10보 후퇴를 명령하면 당신의 부대는 대형을 유지하며 이동할 수 있습니다.^^적당히 선택지를 확인한 후에는 부대가 언덕을 지키게 놔둔 채 깃발과 포인터가 있는 반대편 언덕을 향해 혼자 이동하십시오.
str_tutorial_5_msg_3|훌륭합니다. 보다시피 당신의 부대는 당신이 명령한 자리를 사수할 것입니다. 이제 혼자 전방의 풍차를 향해 이동하십시오.
str_tutorial_5_msg_4|이제 궁수들이 당신의 지휘를 따릅니다. 마운트&블레이드에서는 보병, 궁병, 기병 등 특정 부대에 따라 별도의 명령을 내릴 수 있습니다.^^Number 키를 누르면 해당 부대가 선택됩니다(보병 1, 궁수 2, 기병 3). 그 다음 표시되는 명령 메뉴를 사용하여 독립된 명령을 내릴 수 있습니다.^^명령을 계속해서 수행하며, 명령메뉴 중 하나를 선택해도(F1,F2,F3) 마지막으로 내린 명령을 수행합니다. 화면의 메시지를 읽고 개별 명령을 확인하십시오.^^이제 보병들에게 따라오게 한 다음, 궁병들에게도 따라오라고 하십시오. 모두 모이고 나면, 당신이 왔던 언덕으로 돌아가십시오.^^언덕으로 간 후 포인터를 찾아 1을 누른 후 F1키를 눌러 깃발이 나타나게 하십시오. 이걸로 병력을 원하는 정확한 위치로 움직이게 할 수 있습니다.^^포인터 뒤쪽의 깃발 쪽으로, 고지대로 궁병들을 이동하도록 명령하십시오.
str_tutorial_5_msg_5|당신의 부하들이 위치를 잡았고, 집결한 적들이 당신을 향해 돌격해오고 있습니다. 배운 것을 사용하여 보병들을 배치하거나 돌격하도록 하십시오. 돌격은 모든 대형을 붕괴시킬 것이며, 가장 가까운 적을 향해 당신의 군대가 이동할 것입니다.^^더 나은 위치를 위해 궁병들에게 자리를 지키게 하거나, 다른 곳으로 움직이게 할 수 있습니다.^^ F3을 눌러 세번째 명령 메뉴를 확인하고 군대에게 다양한 무기를 사용하게 하는 법을 배워봅시다.
str_tutorial_5_msg_6|잘 하셨습니다. 마운트&블레이드에서 첫번째 전장 전투를 완료하셨습니다. 전투에서 당신 군대를 전략적으로 지휘하는 것은 지휘관으로서 당신의 성공에 중요한 영향을 미칩니다. 유리한 위치에서 병력을 이동시키는 방법을 숙지하십시오,^^The Last Days of the Third Age에서는 보병 방패 대형이나 기병 쐐기 대형같은 더 복잡한 대형을 만나보실 수 있습니다.^^ 튜토리얼을 종료하려면 언제든지 Tab 키를 누르세요.
str_trainer_help_1|이곳은 게임의 기본적인 요소를 배울 수 있는 훈련장입니다. WASD 키를 사용해 움직이고 마우스를 움직여 주변을 둘러보십시오.
str_trainer_help_2|훈련교관에게 말을 걸려면 그에게 가까이 간 후, talk라는 단어가 뜰 때 F 키를 누르면 됩니다. 어떤 장소를 떠나거나 전투에서 퇴각하고 싶으시면 Tab 키를 누르면 됩니다.
str_custom_battle_1|"용감한" 앙그보르와 그의 곤도르 군세가 하라드 무리를 요격하러 나섰습니다. 그는 전투의 함성을 지르며, 그의 말과 충성스러운 친위대를 맹렬한 전장으로 내몰았습니다.
str_custom_battle_2|로리엔의 켈레보른은 선발대로부터 잿빛 얼굴의 악인들의 군세가 다가온다는 경고를 받고 휘하 기병과 궁병들을 인솔해 나섰습니다. 공포의 검은 누메노르인들입니다! 오랜 세월 동안 그들은 로리엔 근처에 출몰하지 않았으나, 그들이 있던 어둠의 세계로 내쫓을 시간입니다.
str_custom_battle_3|로한의 그림볼드 경이 아이센가드의 군대에 맞서 최후의 방어선을 지키고 있습니다. 포위군이 성벽에 마지막 공격을 가하는 가운데, 용기와 빛나는 무기로 무장하고 그들의 공격을 버텨내야만 합니다.
str_custom_battle_4|정찰대가 베른헬름 경에게 룬 전쟁군대의 접근을 알리자, 그는 자신 캠프의 방어를 재빨리 강화하고 압도적인 수의 차이에 대항하기로 결정했습니다.
str_custom_battle_5|우글루크가 사나운 오크들을 데리고 서쪽을 약탈하러 들어왔습니다. 오늘 그가 난쟁이의 방어선을 무너뜨릴 수 있다면, 바랏두르에 있는 그의 주인들이 크게 기뻐할 것입니다.
str_custom_battle_6|우글루크와 그의 오르크 습격대가 요정족 순찰대를 피하기 위해 최대한 조심히 이동했습니다. 하지만 운명은 저 망할 허여멀건 것들에게 호의를 보이는 모양입니다.
str_custom_battle_7|해적들이 곤도르의 해변에 상륙해 진영을 꾸렸습니다! 건방진 놈들이군요. 그들의 증원이 오기 전에 쳐서 그들의 고향인 바다로 쫓아냅시다!
str_finished|(끝났습니다)
str_delivered_damage|{reg60} 만큼의 피해를 입혔습니다.
str_archery_target_hit|거리: {reg61} 야드. 점수: {reg60}
str_use_baggage_for_inventory|당신의 봇짐을 통해 전투 중에 인벤토리를 사용하십시오 (봇짐은 당신의 시작 지점에 있습니다).
str_cant_use_inventory_now|지금은 인벤토리를 사용할 수 없습니다.
str_cant_use_inventory_arena|아레나에서는 인벤토리를 사용할 수 없습니다.
str_cant_use_inventory_disguised|변장 도중에는 인벤토리를 사용할 수 없습니다.
str_cant_use_inventory_tutorial|훈련장에서는 인벤토리를 사용할 수 없습니다.
str_1_denar|1 자원 포인트.
str_reg1_denars|{reg1} 자원 포인트
str_january_reg1_reg2|제 3시대{reg2}, 나르비녜 {reg1} (1월)
str_february_reg1_reg2|제 3시대{reg2}, 네니메 {reg1} (2월)
str_march_reg1_reg2|제 3시대{reg2}, 수리메 {reg1} (3월)
str_april_reg1_reg2|제 3시대{reg2}, 비레쎄 {reg1} (4월)
str_may_reg1_reg2|제 3시대{reg2}, 로테쎄 {reg1} (5월)
str_june_reg1_reg2|제 3시대{reg2}, 나리에 {reg1} (6월)
str_july_reg1_reg2|제 3시대{reg2}, 케르미에 {reg1} (7월)
str_august_reg1_reg2|제 3시대{reg2}, 우리메 {reg1} (8월)
str_september_reg1_reg2|제 3시대{reg2}, 야바니에 {reg1} (9월)
str_october_reg1_reg2|제 3시대{reg2}, 나퀠리에 {reg1} (10월)
str_november_reg1_reg2|제 3시대{reg2}, 히시메 {reg1} (11월)
str_december_reg1_reg2|제 3시대{reg2}, 린가레 {reg1} (12월)
str_calendar_spec_day_1|제 3시대{reg2}, 예스타레 (첫째 날)
str_calendar_spec_day_2|제 3시대{reg2}, 툴리에레 (입춘)
str_calendar_spec_day_3|제 3시대{reg2}, 로엔데 (중간 날)
str_calendar_spec_day_4|제 3시대{reg2}, 로엔데 (추수의 날)
str_calendar_spec_day_5|제 3시대{reg2}, 로엔데 (마지막 날)
str_town_nighttime|밤이 깊었습니다.
str_door_locked|문이 잠겨져 있습니다.
str_castle_is_abondened|성에는 아무도 없는 모양입니다.
str_town_is_abondened|마을을 방어 중인 수비대가 없습니다.
str_place_is_occupied_by_player|여기는 당신의 군대가 점거하고 있습니다.
str_place_is_occupied_by_enemy|여기는 적의 군대가 점거하고 있습니다.
str_place_is_occupied_by_friendly|여기는 동맹의 군대가 점거하고 있습니다.
str_do_you_want_to_retreat|후퇴하시겠습니까?
str_give_up_fight|전투를 포기하시겠습니까?
str_do_you_wish_to_leave_tutorial|튜토리얼을 그만 두시겠습니까?
str_do_you_wish_to_surrender|항복하시겠습니까?
str_can_not_retreat|적들이 근처에 있어서 퇴각할 수 없습니다!
str_s1_joined_battle_enemy|{s1}이 상대 편으로 참전했습니다.
str_s1_joined_battle_friend|{s1}이 당신 편으로 참전했습니다.
str_entrance_to_town_forbidden|마을 경비들이 침입자를 감시하는 중이니 발각되지 않고 정문을 통과하기는 어려워 보입니다.
str_sneaking_to_town_impossible|마을 경비들이 경비를 강화했습니다. 이제 아무리 변장을 잘해도 정문을 통과할 수는 없을 것입니다.
str_battle_won|전투에서 승리하였습니다!
str_battle_lost|전투에서 패배했습니다!
str_player_down|당신은 쓰러졌지만, 당신의 병사들은 계속해서 싸울 것입니다!
str_attack_walls_success|치열한 싸움 끝에, 당신의 용감한 병사들은 적의 성벽을 탈취했습니다.
str_attack_walls_failure|당신의 병사들은 적의 성벽앞에 속수무책으로 쓰러져갑니다. 얼마 남지 않은 생존자들은 곧 도망쳐서 돌아오지 않을 것입니다.
str_attack_walls_continue|유혈이 낭자한 전투가 계속되고 양쪽은 우열을 가리기 힘들 정도로 열심히 싸웠습니다. 당신 군대의 활약에도 불과하고, 성은 여전히 적들의 손에 있습니다.
str_order_attack_success|당신의 부하들은 용감하게 싸워서 적을 물리쳤습니다.
str_order_attack_failure|당신은 병사들이 적들 앞에 추풍낙엽처럼 쓰러져가는 모습을 보며 경악하며 얼마 안되는 지친 생존자들을 데리고 쫓겨납니다.
str_order_attack_continue|당신의 군대는 계속된 접전에도 불과하고 확실한 승리를 따내지 못했습니다.
str_join_order_attack_success|당신의 부하들은 동맹군 곁에서 열심히 싸웠습니다. 쓰러진 적 앞에 그들은 승리의 명예를 만끽합니다.
str_join_order_attack_failure|당신은 병사들이 적들 앞에 추풍낙엽처럼 쓰러져가는 모습을 보며 경악하며 얼마 안되는 지친 생존자들을 데리고 쫓겨납니다.
str_join_order_attack_continue|당신의 군대와 동맹군은 계속된 접전에도 적들을 상대로 확실하게 승리할 수 없었습니다.
str_siege_defender_order_attack_success|주둔병들이 농성중에 온 기량을 총동원해 적들의 공격을 물리쳐 패배하기 직전의 상황을 뒤집어냈습니다. 
str_siege_defender_order_attack_failure|공격은 금방 학살극으로 변했습니다. 용맹한 전사들의 노력이 무색하게 농성중인 군대는 더이상 공격을 버티지 못하고 적들은 방어자들을 한 사람도 남김없이 도륙했습니다.
str_siege_defender_order_attack_continue|공성중인 군대가 유혈이 낭자한 전투를 계속하며 아무런 소득도 얻지 못하지만, 아직 적이 너무 많이 남아 승리를 장담할 수 없습니다. 공성은 계속됩니다.
str_hero_taken_prisoner|{s3}의 {s1}이 {s2}에게 포로로 붙잡혔습니다.
str_hero_freed|{s2}가 포로로 붙잡힌 {s3}의 {s1}를 구해주었습니다.
str_center_captured|{s2}가 {s3}로부터 {s1}를 빼앗았습니다!
str_troop_relation_increased|{s1}과의 관계가 {reg1}에서 {reg2}로 상승하였습니다
str_troop_relation_detoriated|{s1}과의 관계가 {reg1}에서 {reg2}로 하락하였습니다
str_faction_relation_increased|{s1}과의 관계가 {reg1}에서 {reg2}로 상승하였습니다
str_faction_relation_detoriated|{s1}과의 관계가 {reg1}에서 {reg2}로 하락하였습니다
str_party_gained_morale|당신 일행은 {reg1} 만큼의 사기를 얻었습니다.
str_party_lost_morale|당신 일행은 {reg1} 만큼의 사기를 잃었습니다.
str_qst_follow_spy_noticed_you|첩자가 당신을 발견했습니다! 그가 도망치고 있습니다!
str_father|아버지
str_husband|남편
str_wife|부인
str_daughter|딸
str_mother|어머니
str_son|아들
str_brother|형제
str_sister|누이
str_he|그
str_she|그녀
str_s3s_s2|{s3}의 {s2}
str_s5_is_s51|{s5}는 {s51}입니다.
str_s5_is_the_ruler_of_s51|{s5}는 {s51}의 통치자입니다.
str_s5_is_a_nobleman_of_s6|{s5}는 {s6}의 귀족입니다.
str_relation_mnus_100|복수심에 불타는
str_relation_mnus_90|복수심에 불타는
str_relation_mnus_80|복수심에 불타는
str_relation_mnus_70|증오하는
str_relation_mnus_60|증오하는
str_relation_mnus_50|호전적인
str_relation_mnus_40|분노한
str_relation_mnus_30|분통한
str_relation_mnus_20|불평하는
str_relation_mnus_10|의심스러운
str_relation_plus_0|무관심한
str_relation_plus_10|협조적인
str_relation_plus_20|환영하는
str_relation_plus_30|호의적인
str_relation_plus_40|지지하는
str_relation_plus_50|친근한
str_relation_plus_60|자애로운
str_relation_plus_70|좋아하는
str_relation_plus_80|충성스러운
str_relation_plus_90|헌신적인
str_relation_mnus_100_ns|{s60}이/가 당신에게 원한을 품었습니다.
str_relation_mnus_90_ns|{s60} 이 당신에게 원한을 품었습니다.
str_relation_mnus_80_ns|{s60} 이 당신에게 원한을 품었습니다.
str_relation_mnus_70_ns|{s60}이/가 당신을 증오합니다.
str_relation_mnus_60_ns|{s60}이 당신을 증오합니다.
str_relation_mnus_50_ns|{s60}이/가 당신에게 적의를 품었습니다.
str_relation_mnus_40_ns|{s60}이/가 당신에게 분노했습니다.
str_relation_mnus_30_ns|{s60}이/가 당신에게 분통합니다.
str_relation_mnus_20_ns|{s60}이/가 당신에게 불평합니다.
str_relation_mnus_10_ns|{s60}이/가 당신을 수상쩍어합니다.
str_relation_plus_0_ns|{s60}이/가 당신에게 무관심합니다.
str_relation_plus_10_ns|{s60}이/가 당신에게 협조적입니다.
str_relation_plus_20_ns|{s60}이/가 당신을 달가워합니다.
str_relation_plus_30_ns|{s60}이/가 당신에게 호의적입니다.
str_relation_plus_40_ns|{s60}이/가 당신을 지지합니다.
str_relation_plus_50_ns|{s60}이/가 당신을 친근하게 여깁니다.
str_relation_plus_60_ns|{s60}이/가 당신에게 친절합니다.
str_relation_plus_70_ns|{s60}이/가 당신을 좋아합니다.
str_relation_plus_80_ns|{s60}이/가 당신에게 충성스러운 편입니다.
str_relation_plus_90_ns|{s60}이/가 당신에게 헌신적입니다.
str_relation_reg1|관계: {reg1}
str_center_relation_mnus_100|대중들이 당신을 열정적으로 증오합니다
str_center_relation_mnus_90|대중들이 당신을 극심하게 증오합니다
str_center_relation_mnus_80|대중들이 당신을 심하게 증오합니다
str_center_relation_mnus_70|대중들이 당신을 증오합니다
str_center_relation_mnus_60|대중들이 당신에게 증오심을 품었습니다
str_center_relation_mnus_50|대중들이 당신에게 극도로 적대적입니다
str_center_relation_mnus_40|대중들이 당신에게 많이 적대적입니다
str_center_relation_mnus_30|대중들이 당신에게 적의를 품었습니다
str_center_relation_mnus_20|대중들이 당신을 반대합니다
str_center_relation_mnus_10|대중들이 당신을 거부합니다
str_center_relation_plus_0|대중들이 당신을 좋게 보진 않습니다
str_center_relation_plus_10|대중들이 당신을 받아들이는 편입니다
str_center_relation_plus_20|대중들이 당신에게 협조적입니다
str_center_relation_plus_30|대중들이 당신을 약간 지지합니다
str_center_relation_plus_40|대중들이 당신을 지지합니다
str_center_relation_plus_50|대중들이 당신을 매우 지지합니다
str_center_relation_plus_60|대중들이 당신에게 충성스러운 편입니다
str_center_relation_plus_70|대중들이 당신에게 매우 충성스러운 편입니다
str_center_relation_plus_80|대중들이 당신에게 헌신적입니다
str_center_relation_plus_90|대중들이 당신에게 열렬하게 헌신적입니다
str_town_prosperity_0|{s60}의 관리하에 있는 도시의 빈곤함은 견딜 수 없을 정도입니다
str_town_prosperity_10|{s60}의 관리하에 있는 누추한 도시는 황폐함뿐입니다.
str_town_prosperity_20|{s60}의 관리하에 있는 도시는 비참하고 황량해 보입니다.
str_town_prosperity_30|{s60}의 관리하에 있는 도시는 빈곤하고 소외되어 보입니다.
str_town_prosperity_40|{s60}의 관리하에 있는 도시는 노력중입니다.
str_town_prosperity_50|{s60}의 관리하에 있는 도시는 특출나진 않습니다.
str_town_prosperity_60|{s60}의 관리하에 있는 도시는 번성하고 있습니다.
str_town_prosperity_70|{s60}의 관리하에 있는 도시는 번화한 곳입니다.
str_town_prosperity_80|{s60}의 관리하에 있는 도시는 부유하고 잘 관리되는 것으로 보입니다.
str_town_prosperity_90|{s60}의 관리하에 있는 도시는 부귀하고 부유층으로 가득합니다.
str_town_prosperity_100|{s60}의 관리하에 있는 황금 빛으로 반짝이는 도시는 공공연하게 그곳의 엄청난 부를 과시합니다.
str_village_prosperity_0|{s60}의 관리하에 있는 촌락의 빈곤함은 견딜 수 없을 정도입니다.
str_village_prosperity_10|{s60}의 관리하에 있는 촌락은 비참할 정도로 빈곤하고 처참하게 보입니다.
str_village_prosperity_20|{s60}의 관리하에 있는 촌락은 매우 빈곤하고 황량해 보입니다.
str_village_prosperity_30|{s60}의 관리하에 있는 촌락은 빈곤하고 소외되어 보입니다.
str_village_prosperity_40|{s60}의 관리하에 있는 촌락은 약간 빈곤하고 노력중인 것같습니다.
str_village_prosperity_50|{s60}의 관리하에 있는 촌락은 특출나진 않아 보입니다.
str_village_prosperity_60|{s60}의 관리하에 있는 촌락은 번성하고 있습니다.
str_village_prosperity_70|{s60}의 관리하에 있는 촌락은 번영하고 있습니다.
