itm_horse_meat|말 고기
itm_riv_armor_med|리븐델 방어구
itm_riv_armor_heavy|리븐델 방어구 
itm_riv_armor_h_archer|리븐델 방어구 
itm_riv_armor_leader|리븐델 대장 갑옷
itm_riv_boots|리븐델 부츠
itm_gon_footman|곤도르 사슬 셔츠
itm_gon_jerkin|곤도르 조끼
itm_gon_regular|곤도르 두꺼운 사슬 갑옷
itm_gon_bowman|곤도르 양모 옷
itm_gon_archer|곤도르 양모 옷과 망토
itm_gon_noble_cloak|곤도르 귀족 조끼
itm_gon_squire|곤도르 망토 달린 사슬 갑옷
itm_gon_knight|곤도르 사슬과 망토
itm_gon_ranger_cloak|곤도르 순찰자 갑옷
itm_gon_ranger_skirt|곤도르 순찰자 치마
itm_gon_steward_guard|곤도르 섭정 근위대 갑옷
itm_gon_tower_guard|곤도르 타워가드 갑옷
itm_gon_tower_knight|곤도르 타워나이트 갑옷
itm_gon_leader_surcoat_cloak|곤도르 대장 겉옷
itm_gondor_ranger_hood|녹색 후드
itm_gondor_ranger_hood_mask|곤도르 순찰자 후드
itm_gondor_light_greaves|곤도르인 가죽 정강이 보호대
itm_gondor_med_greaves|곤도르인 정강이 보호대
itm_gondor_heavy_greaves|곤도르인 사슬 정강이 보호대
itm_gondorian_light_helm|곤도르인 시종 투구
itm_gondor_infantry_helm|곤도르 보병 투구
itm_gondor_auxila_helm|곤도르 보충대 투구
itm_gondorian_light_helm_b|곤도르인 궁병 투구
itm_gondorian_archer_helm|곤도르인 궁수 투구
itm_tower_archer_helm|타워 궁수 투구
itm_gondor_leader_helm|곤도르 고급 투구
itm_tower_guard_helm|타워가드 투구
itm_gondor_citadel_knight_helm|시타델 기사단 투구
itm_gondor_squire_helm|곤도르 귀족 투구
itm_gondor_knight_helm|곤도르 기사단 투구
itm_gondor_dolamroth_helm|돌 암로스 투구
itm_swan_knight_helm|백조기사단 투구
itm_gondor_lamedon_helm|라메돈 투구
itm_gondor_lamedon_leader_helm|라메돈 고급 투구
; itm_blackroot_archer|Blackroot Vale Cloaked Gambeson
; itm_blackroot_bowman|Blackroot Vale Cloaked Jerkin
; itm_blackroot_footman|Blackroot Vale Jerkin
; itm_blackroot_warrior|Blackroot Vale Gambeson
; itm_blackroot_leader|Blackroot Vale Mail
; itm_blackroot_hood|Black Hood
itm_dol_hauberk|돌 암로스 사슬갑옷
itm_dol_heavy_mail|돌암로스 두꺼운 사슬 갑옷
itm_dol_padded_coat|돌 암로스 패드를 덧댄 외투
itm_dol_shirt|돌 암로스 셔트
itm_dol_very_heavy_mail|돌 암로스 매우 두꺼운 사슬 갑옷
itm_dol_greaves|돌암로스 정강이 보호대
itm_dol_shoes|돌 암로스 가벼운 부츠
itm_lamedon_clansman|라메돈 부족원 갑옷
itm_lamedon_footman|라메돈 시종 갑옷
itm_lamedon_knight|라메돈 기사 갑옷
itm_lamedon_leader_surcoat_cloak|라메돈 대장 갑옷
itm_lamedon_warrior|라메돈 전사 갑옷
itm_lamedon_veteran|라메돈 고참 갑옷
itm_lamedon_vet_warrior|라메돈 고참 전사 갑옷
; itm_lamedon_hood|Hood
itm_pinnath_archer|피나스 겔린 궁수 갑옷
itm_pinnath_footman|피나스 겔린 시종 갑옷
; itm_pinnath_leader|Pinnath Gelin Knight Armor
itm_pinnath_vet_footman|피나스 겔린 고참 시종 갑옷
itm_pinnath_warrior|피나스 겔린 전사 갑옷
itm_pel_footman|펠라르기르 시종 갑옷
itm_pel_jerkin|펠라르기르 조끼
itm_pel_leader|펠라르기르 대장 갑옷
itm_pel_marine|펠라르기르 해병
itm_pelargir_marine_leader|펠라르기르 해병 지휘관
itm_pelargir_regular|펠라르기르 정규군
; itm_pelargir_hood|White Hood
itm_pelargir_helmet_light|펠라르기르 투구
itm_pelargir_helmet_heavy|펠라르기르 두꺼운 투구
itm_pelargir_greaves|펠라르기르 정강이 보호대
itm_lossarnach_shirt|롯사르나흐 셔츠
itm_lossarnach_axeman|롯사르나흐 도끼병 갑옷
itm_lossarnach_leader|롯사르나흐 지휘관 갑옷
itm_lossarnach_vet_axeman|롯사르나흐 고참 도끼병 갑옷
itm_lossarnach_vet_warrior|롯사르나흐 고참 전사 갑옷
itm_lossarnach_warrior|롯사르나흐 전사 갑옷
itm_lossarnach_cloth_cap|롯사르나흐 천 모자
itm_lossarnach_leather_cap|롯사르나흐 가죽 모자
itm_lossarnach_scale_cap|롯사르나흐 미늘 모자
itm_lossarnach_greaves|롯사르나흐 정강이 보호대
itm_gondor_shield_a|곤도르 사각 방패
itm_gondor_shield_b|곤도르 연모양 방패
itm_gondor_shield_c|곤도르 타워 방패
itm_gondor_shield_d|곤도르 연모양 방패
; itm_gondor_shield_e|Gondor Citadel Shield
itm_gon_tab_shield_a|문양있는 곤도르 원형 방패
itm_gon_tab_shield_b|문양있는 곤도르 사각 방패
itm_gon_tab_shield_c|문양있는 곤도르 연모양 방패
itm_gon_tab_shield_d|문양있는 곤도르 타워 방패
itm_amroth_sword_a|돌 암로스 검
itm_amroth_sword_b|돌 암로스 기사 검
itm_gondor_sword|곤도르 보병 검
; itm_amroth_bastard|Dol Amroth Swan Blade
itm_gondor_short_sword|린히르 이켓
itm_pelargir_eket|펠라르기르 이켓
itm_pelargir_sword|펠라르기르 검
itm_gondor_ranger_sword|곤도르 순찰자 검
itm_gondor_bastard|곤도르 바스타드 소드
itm_gondor_citadel_sword|곤도르 시타델 검
itm_gondor_cav_sword|곤도르 기사 검
itm_gondor_spear|곤도르인 창
itm_gondor_tower_spear|곤도르 타워가드 창
itm_gondor_lance|곤도르 기병 창
itm_loss_axe|롯사르나흐 전투 도끼
itm_loss_war_axe|롯사르나흐 전쟁 도끼
itm_lorien_sword_a|로리엔 장검
itm_lorien_sword_b|로리엔 단검
itm_lorien_sword_c|로리엔 전쟁 검
itm_lorien_archer|로리엔 궁수 갑옷
itm_lorien_armor_a|로리엔 보병 갑옷
itm_lorien_armor_b|로리엔 무거운 보병 갑옷
itm_lorien_armor_c|로리엔 근위 궁수 갑옷
itm_lorien_armor_d|로리엔 근위보병 갑옷
itm_lorien_armor_e|로리엔 관리인 망토
itm_lorien_armor_f|로리엔 정예 갑옷
itm_lorien_boots|로스로리엔 부츠
itm_lorien_shield_b|로리엔 타워 쉴드
itm_lorien_shield_c|로리엔 연모양 방패
itm_lorien_round_shield|로리엔 원형 방패
itm_lorien_helm_a|로리엔 궁수 투구
itm_lorien_helm_b|로리엔 궁수 투구
itm_lorien_helm_c|로리엔 보병 투구
itm_orc_chain_greaves|오크 정강이 보호대
; itm_orc_coif|Orc Skullcap
itm_orc_greaves|오크 사슬 부츠
itm_orc_ragwrap|오크 헝겊두건
itm_orc_furboots|오크 모피 부츠
itm_orc_furboot_tall|오크 모피 부츠
itm_orc_tribal_a|미처리 가죽
itm_orc_tribal_b|미처리 가죽
itm_orc_tribal_c|미처리 가죽
itm_evil_gauntlets_a|건틀릿
itm_evil_gauntlets_b|건틀릿
itm_isen_orc_armor_a|아이센가드 오크 갑옷
itm_isen_orc_armor_b|아이센가드 오크 갑옷
itm_isen_orc_armor_c|아이센가드 오크 갑옷
itm_isen_orc_armor_d|아이센가드 오크 갑옷
itm_isen_orc_armor_e|아이센가드 오크 갑옷
itm_isen_orc_armor_f|아이센가드 오크 갑옷
itm_isen_orc_armor_g|아이센가드 오크 갑옷
itm_isen_uruk_light_a|우르크 하이 가벼운 하네스
itm_isen_uruk_light_b|우르크 하이 가죽 갑옷
itm_isen_uruk_light_c|우르크 하이 가죽 갑옷
itm_isen_uruk_light_d|우르크하이 사슬과 가죽
itm_isen_uruk_light_e|우르크 하이 사슬 하네스
itm_isen_uruk_heavy_a|우르크하이 사슬과 가죽
itm_isen_uruk_heavy_b|우르크 하이 무거운 갑옷
itm_isen_uruk_heavy_c|우르크 하이 무거운 갑옷
itm_isen_uruk_heavy_d|우르크 하이 추적자 가죽
itm_isen_uruk_heavy_e|우르크 하이 추적자 가죽
itm_uruk_tracker_boots|우르크 추적자 부츠
itm_uruk_greaves|우르크 정강이 보호대
itm_uruk_chain_greaves|우르크 사슬 정강이 보호대
itm_uruk_ragwrap|우르크 헝겊두건
itm_isen_orc_helm_a|아이센 오크 투구
itm_isen_orc_helm_b|아이센 오크 투구
itm_isen_orc_helm_c|아이센 오크 투구
itm_isen_uruk_helm_a|우르크 하이 투구
itm_isen_uruk_helm_b|우르크 하이 투구
itm_isen_uruk_helm_c|우르크 하이 투구
itm_isen_uruk_helm_d|우르크 하이 대장 투구
itm_isen_uruk_helm_e|우르크 하이 추적자 투구
itm_isen_uruk_helm_f|우르크 하이 추적자 투구
itm_uruk_pike_a|우르크 파이크
; itm_uruk_pike_b|Mordor Pike
itm_uruk_falchion_a|우르크 펄션
itm_uruk_falchion_b|우르크 펄션
; itm_uruk_spear|Mordor Spear
itm_uruk_skull_spear|우르크 뼈 창
itm_uruk_voulge|우르크 할버드
itm_uruk_heavy_axe|우르크 무거운 도끼
itm_isengard_sword|아이센가드 검
itm_isengard_axe|아이센가드 도끼
itm_isengard_hammer|아이센가드 투구
itm_isengard_halberd|아이센가드 할버드
itm_isengard_mallet|아이센가드 망치
itm_isengard_heavy_axe|아이센가드 무거운 도끼
itm_isengard_heavy_sword|아이센가드 무거운 검
itm_isengard_spear|아이센가드 창
itm_isengard_pike|아이센가드 파이크
itm_isen_orc_shield_a|아이센 오크 방패
itm_isen_orc_shield_b|아이센 오크 방패
itm_isen_uruk_shield_b|아이센 우르크 방패
itm_wood_club|나무 클럽
itm_twohand_wood_club|거대한 나무 클럽
itm_bone_cudgel|뼈 곤봉
itm_skull_club|뼈 클럽
itm_orc_club_a|오크 클럽
; itm_orc_club_b|Warg Rider Club
; itm_orc_club_c|Spiky Orc Club
; itm_orc_club_d|Evil Mace
itm_orc_sledgehammer|오크 슬래지헤머
itm_orc_simple_spear|오크 창
itm_orc_skull_spear|오크 뼈 창
itm_orc_bill|오크 미늘창
itm_orc_slasher|오크 슬래셔
itm_orc_falchion|오크 펄션
itm_orc_scimitar|오크 언월도
itm_orc_sabre|오크 사브르
itm_orc_machete|오크 마체테
itm_orc_axe|오크 도끼
itm_orc_two_handed_axe|오크 두손 도끼
itm_orc_throwing_axes|오크 투척 도끼
itm_orc_bow|오크 활
itm_orc_shield_a|오크 방패
itm_orc_shield_b|오크 방패
; itm_orc_shield_c|Orc Tower Shield
itm_mordor_orc_shield_a|모르도르 오크 방패
itm_mordor_orc_shield_b|모르도르 오크 방패
itm_mordor_orc_shield_c|모르도르 오크 방패
itm_mordor_orc_shield_d|모르도르 오크 방패
itm_mordor_orc_shield_e|모르도르 오크 방패
itm_mordor_uruk_shield_a|모르도르 우르크 방패
itm_mordor_uruk_shield_b|모르도르 우르크 방패
itm_mordor_uruk_shield_c|모르도르 우르크 방패
itm_mordor_man_shield_a|모르도르인 방패
itm_mordor_man_shield_b|모르도르인 방패
itm_angmar_shield|앙그마르 방패
; itm_orc_nosehelm|Orc Nosehelm
; itm_orc_kettlehelm|Orc Kettlehelm
itm_orc_buckethelm|오크 버켓투구
; itm_orc_morion|Orc Morion
itm_orc_beakhelm|오크 부리 투구
itm_orc_bughelm|오크 벅헬름
; itm_orc_visorhelm|Orc Visorhelm
itm_m_orc_light_a|모르도르 오크 가벼운 갑옷
itm_m_orc_light_b|모르도르 오크 가벼운 갑옷
itm_m_orc_light_c|모르도르 오크 가벼운 갑옷
itm_m_orc_light_d|모르도르 오크 가벼운 갑옷
itm_m_orc_light_e|모르도르 오크 가벼운 갑옷
itm_m_orc_heavy_a|모르도르 오크 무거운 갑옷
itm_m_orc_heavy_b|모르도르 오크 무거운 갑옷
itm_m_orc_heavy_c|모르도르 오크 무거운 갑옷
itm_m_orc_heavy_d|모르도르 오크 무거운 갑옷
itm_m_orc_heavy_e|모르도르 오크 무거운 갑옷
itm_m_uruk_light_a|우르크 하네스
itm_m_uruk_light_b|우르크 가죽 갑옷
; itm_m_uruk_light_c|Uruk Light Mail
; itm_m_uruk_med_a|Uruk Heavy Leather
; itm_m_uruk_med_b|Uruk Heavy Mail
; itm_m_uruk_med_c|Uruk Light Scale
; itm_m_uruk_heavy_a|Uruk Heavy Scale
; itm_m_uruk_heavy_b|Uruk Platemail
; itm_m_uruk_heavy_c|Lugburz Platemail
itm_m_uruk_heavy_j|우르크 무거운 갑옷
itm_m_uruk_heavy_k|우르크 가드 갑옷
itm_m_cap_armor|우르크 대장 갑옷
itm_black_num_armor|검은 누메노르 갑옷
itm_m_armor_a|모르도르 갑옷
itm_m_armor_b|모르도르 갑옷
itm_evil_light_armor|사악한 의복
itm_uruk_helm_a|우르크 투구
itm_uruk_helm_b|우르크 투구
itm_uruk_helm_c|우르크 부리 투구
itm_uruk_helm_d|우루크 그릴 투구
itm_uruk_helm_e|우르크 마스크 투구
itm_uruk_helm_f|우르크 투구
itm_mordor_cap_helm|모르도르 대장 투구
itm_mordor_helm|모르도르 투구
itm_black_num_helm|검은 누메노르인 투구
itm_mordor_sword|모르도르의 바스타드 소드
itm_mordor_longsword|모르도르의 검
itm_moria_armor_a|모리아 가슴 하네스
itm_moria_armor_b|모리아 가슴과 어께끈
itm_moria_armor_c|모리아 오크 사슬갑옷
itm_moria_armor_d|모리아 이음 가죽 갑옷
itm_moria_armor_e|모리아 오크 무거운 사슬갑옷
; itm_moria_orc_shield_a|Moria Great Shield
itm_moria_orc_shield_b|모리아 오크 방패
itm_moria_orc_shield_c|모리아 오크 방패
itm_gundabad_armor_a|군다바드 오크 헝겊
itm_gundabad_armor_b|군다바드 오크 모피
itm_gundabad_armor_c|군다바드 오크 갑옷
itm_gundabad_armor_d|군다바드 오크 갑옷
itm_gundabad_armor_e|군다바드 오크 무거운 갑옷
; itm_gundabad_helm_a|Leather Cap
; itm_gundabad_helm_b|Leather Helm
itm_gundabad_helm_c|군다바드 투구
itm_gundabad_helm_d|군다바드 투구
itm_gundabad_helm_e|와르그기수 투구
itm_dunland_wolfboots|던랜드 늑대부츠
itm_dunland_armor_a|던랜드인 모피 갑옷
itm_dunland_armor_b|던랜드인 모피 갑옷
itm_dunland_armor_c|던랜드인 모피 갑옷
itm_dunland_armor_d|던랜드인 모피 갑옷
itm_dunland_armor_e|던랜드인 모피 갑옷
itm_dunland_armor_g|던랜드인 모피 갑옷
itm_dunland_armor_h|둔 긴 모피 갑옷
itm_dunland_armor_i|던랜드인 사슬갑옷
itm_dunland_armor_j|던랜드인 사슬갑옷
itm_dunland_armor_k|둔 대장 갑옷
itm_dun_helm_a|던랜드인 늑대 모자
itm_dun_helm_b|던랜드인 뿔 모자
itm_dun_helm_c|던랜드인 높은 투구
itm_dun_helm_d|던랜드인 높은 투구

; itm_dun_helm_e|Dunnish Antler Helm
itm_dun_shield_a|던랜드인 방패
itm_dun_shield_b|던랜드인 방패
itm_dun_berserker|던랜드 부족장 검
itm_dunnish_antler_axe|던랜드인 뿔 도끼
itm_dunnish_war_axe|던랜드인 전쟁 도끼
itm_dunnish_axe|던랜드인 도끼
itm_dunland_spear|던랜드인 창
itm_dunnish_pike|던랜드인 파이크
itm_rohan_armor_a|로한 셔츠
itm_rohan_armor_e|로한 사슬갑옷
; itm_rohan_armor_h|Rohan Leather Armor
itm_rohan_armor_k|로한 사슬갑옷
; itm_rohan_recruit|Rohan Padded Jerkin
; itm_rohan_leather|Rohan Leather Vest
itm_rohan_mail|로한 사슬갑옷
; itm_rohan_rider|Rohan Rider Armor
itm_rohan_scale|로한 미늘 갑옷
; itm_rohan_surcoat|Rohan Surcoat
; itm_rohan_guard|Rohan Guard Armor
itm_rohan_light_helmet_a|로한 가벼운 투구
itm_rohan_light_helmet_b|로한 가벼운 투구
; itm_rohan_inf_helmet_a|Rohan Eyeguard Helm
; itm_rohan_inf_helmet_b|Rohan Eyeguard Helm
; itm_rohan_archer_helmet_a|Rohan Nasal Helm
; itm_rohan_archer_helmet_b|Rohan Nasal Helm
; itm_rohan_archer_helmet_c|Rohan Guard Helm
; itm_rohan_cav_helmet_a|Rohan Cavalry Helm
; itm_rohan_cav_helmet_b|Rohan Cavalry Helm
; itm_rohan_cav_helmet_c|Rohan Cavalry Helm
; itm_rohan_captain_helmet|Rohan Captain Helm
itm_rohan_shield_a|로한 투구
itm_rohan_shield_b|로한 투구
itm_rohan_shield_c|로한 투구
itm_rohan_shield_d|로한 투구
itm_rohan_shield_e|로한 투구
itm_rohan_shield_f|로한 투구
itm_rohan_shield_g|로한 근위대 방패
itm_rohan_light_greaves|로한 가벼운 정강이 보호대
itm_rohirrim_war_greaves|로한인 전쟁 정강이 보호대
itm_rohan_shoes|가죽 신발
itm_rohan_cav_sword|로한 기수 검
itm_rohan_inf_sword|로한 검
itm_rohan_spear|로한 창
itm_rohan_lance|로한 기병 창
itm_rohan_sword_c|로한 검
itm_rohirrim_short_axe|로한인 짧은 도끼
itm_rohirrim_long_hafted_axe|로한인 긴손잡이 도끼
itm_rohan_2h_sword|로한 전쟁 검
itm_mirkwood_light_scale|가벼운 숲의 요정 사슬갑옷
itm_mirkwood_armor_a|가벼운 가죽갑옷
itm_mirkwood_armor_b|가벼운 누비와 사슬갑옷
; itm_mirkwood_armor_c|Mirkwood Royal Mail
itm_mirkwood_armor_d|가벼운 누비 겉옷
itm_mirkwood_armor_e|가벼운 사슬 겉옷
; itm_mirkwood_armor_f|Mirkwood Leafscale
itm_mirkwood_great_spear|어둠숲 거대한 창
itm_mirkwood_war_spear|어둠숲 전쟁 창
itm_mirkwood_short_spear|어둠숲 창
itm_mirkwood_knife|어둠숲 하얀 칼
itm_mirkwood_sword|어둠숲 검
itm_mirkwood_spear_shield_a|어둠숲 창병 방패
itm_mirkwood_spear_shield_b|어둠숲 전쟁 방패
itm_mirkwood_spear_shield_c|어둠숲 보병 방패
itm_mirkwood_helm_a|어둠숲 궁수 투구
itm_mirkwood_helm_b|어둠숲 투구
itm_mirkwood_helm_c|어둠숲 근위 창병 투구
itm_mirkwood_helm_d|어둠숲 근위 궁수 투구
itm_mirkwood_boots|어둠숲 부츠
itm_mirkwood_leather_greaves|어둠숲 가죽 정강이 보호대
itm_harad_tunic|하라드 튜닉
itm_harad_padded|하론도르를 패드를 덧댄 갑옷
itm_harad_hauberk|하론도르 사슬갑옷
itm_harad_lamellar|하라드인 갑옷
; itm_harad_heavy|Harad Noble Armor
itm_harad_skirmisher|가벼운 하라드 의복
itm_harad_archer|하라드 궁수 갑옷
itm_black_snake_armor|마란카 갑옷
itm_harad_champion|먼 하라드 의복
itm_panther_guard|표범 가죽
itm_harad_scale|하라드 미늘 갑옷
itm_harad_tiger_scale|호랑이 근위대 갑옷
itm_harad_lion_scale|사자 근위대 갑옷
itm_harad_dragon_helm|킬로카 투구
itm_harad_cav_helm_a|하론도르 기병 투구
itm_harad_cav_helm_b|하론도르 기병 투구
itm_black_snake_helm|마란카 투구
itm_harad_finhelm|거대한 하라드 투구
itm_harad_heavy_inf_helm|거대한 하라드 투구
itm_harad_wavy_helm|거대한 하라드 투구
itm_harad_eaglehelm|독수리 근위대 투구
itm_lion_helm|사자 근위대 투구
itm_harad_pantherhelm|표범 근위대 모자
itm_harad_khopesh|하라드 코피스
itm_black_snake_sword|하라드 무거운 펄션
itm_harad_heavy_sword|하라드 무거운 검
itm_horandor_a|하라드 언월도
itm_skirmisher_sword|하라드 척후병 검
itm_harad_sabre|하라드 사브르
itm_harad_mace|먼 하라드 전곤
itm_far_harad_2h_mace|먼 하라드 두손 전곤
itm_harad_dagger|하라드 칼
itm_harad_short_spear|하라드 짧은 창
itm_harad_long_spear|하라드 창
itm_eagle_guard_spear|하라드인 폴암
itm_harad_long_shield_a|하라드 표범 방패
itm_harad_long_shield_b|하라드 동 방패
itm_harad_long_shield_c|하라드 태양 방패
itm_harad_long_shield_d|하라드 뱀 방패
itm_harad_long_shield_e|하라드 뱀 방패
itm_harad_shield_a|하론도르 방패
itm_harad_shield_b|하론도르 버클러
itm_harad_shield_c|하론도르 버클러
itm_harad_tribal_a|먼 하라드 방패
itm_harad_tribal_b|먼 하라드 방패
itm_harad_yellow_shield|하라드 방패
itm_desert_boots|사막 부츠
itm_harad_leather_greaves|하라드 정강이 보호대
itm_harad_scale_greaves|하라드 부츠
itm_harad_lamellar_greaves|하라드 부츠
itm_khand_helmet_a1|칸드 사슬 두건과 투구
itm_khand_helmet_a2|칸드 투구
itm_khand_helmet_a3|칸드 베일이 있는 투구
itm_khand_helmet_b1|간드 장식된 투구
itm_khand_helmet_b2|칸드 마스크 투구
itm_khand_helmet_b3|칸드 베일이 있는 투구
itm_khand_helmet_b4|칸드 사슬 두건과 투구
itm_khand_helmet_c3|칸드 보병 투구
itm_khand_helmet_c4|칸드 보병 투구
itm_khand_helmet_d1|칸드 마스크 투구
itm_khand_helmet_d2|칸드 사슬 두건과 투구
itm_khand_helmet_d3|칸드 마스크 투구
itm_khand_helmet_e1|칸드 베일이 있는 투구
itm_khand_helmet_e2|칸드 사슬 두건과 투구
itm_khand_helmet_e3|칸드 투구
itm_khand_helmet_e4|칸드 베일이 있는 투구
itm_khand_helmet_f1|칸드 베일이 있는 투구
itm_khand_helmet_mask1|칸드 마스크
itm_khand_helmet_mask2|칸드 마스크
itm_khand_light|칸드 킬트
itm_khand_foot_lam_a|칸드 갑옷
itm_khand_foot_lam_b|칸드 갑옷
itm_khand_foot_lam_c|칸드 갑옷
itm_khand_heavy_lam|칸드 무거운 미늘 갑옷
itm_khand_light_lam|칸드 가벼운 미늘 갑옷
itm_khand_med_lam_b|칸드 미늘 갑옷
itm_khand_med_lam_c|칸드 미늘 갑옷
itm_khand_med_lam_d|칸드 미늘 갑옷
