737
qstr_Gate_is_breached! Gate_is_breached!
qstr_Inventory:_{reg0}_de Inventory:_{reg0}_denars
qstr_Renown:_{reg0} Renown:_{reg0}
qstr_Experience:_{reg0} Experience:_{reg0}
qstr_Days_Passed:_{reg0} Days_Passed:_{reg0}
qstr_Difficulty:_{reg0}% Difficulty:_{reg0}%
qstr_{reg3?+:}{reg0} {reg3?+:}{reg0}
qstr_TOTAL_SCORE:_{reg0} TOTAL_SCORE:_{reg0}
qstr_You_gain_{reg10}_Res You_gain_{reg10}_Resource_Pts._of_{s10}.
qstr_You_used_{reg10}_Res You_used_{reg10}_Resource_Pts._of_{s10}.
qstr_{s24}: {s24}:
qstr_Grandmaster_Knight_o Grandmaster_Knight_of_{s5}_(rank_{reg10})
qstr_Master_Knight_of_{s5 Master_Knight_of_{s5}
qstr_Veteran_Knight_of_{s Veteran_Knight_of_{s5}
qstr_Knight_of_{s5} Knight_of_{s5}
qstr_Commander_of_{s5} Commander_of_{s5}
qstr_Sergeant_of_{s5} Sergeant_of_{s5}
qstr_Veteran_of_{s5} Veteran_of_{s5}
qstr_Soldier_of_{s5} Soldier_of_{s5}
qstr_Recruit_of_{s5} Recruit_of_{s5}
qstr_Unknown_to_{s5} Unknown_to_{s5}
qstr_Great_Hope_of_{s5}__ Great_Hope_of_{s5}_(rank_{reg10})
qstr_Hope_of_{s5} Hope_of_{s5}
qstr_Great_Friend_of_{s5} Great_Friend_of_{s5}
qstr_Dearest_friend_of_{s Dearest_friend_of_{s5}
qstr_Admired_friend_of_{s Admired_friend_of_{s5}
qstr_Trusted_friend_of_{s Trusted_friend_of_{s5}
qstr_Friend_of_{s5} Friend_of_{s5}
qstr_Familiar_to_{s5} Familiar_to_{s5}
qstr_Known_to_{s5} Known_to_{s5}
qstr_Stranger_to_{s5} Stranger_to_{s5}
qstr_You_are_now_{s10}_{s You_are_now_{s10},_{s24}
qstr_Earned_{reg11}_rank_ Earned_{reg11}_rank_points_{reg12?and_{reg12}_influence_:}with_{s11}.
qstr_Troop_upkeep: Troop_upkeep:
qstr_{s11}_and_{s10} {s11}_and_{s10}
qstr_their their
qstr_{s11} {s11}
qstr_its its
qstr_[no_upkeep_costs] [no_upkeep_costs]
qstr_Short_of_Resource_Po Short_of_Resource_Points!!
qstr_{s10}_will_soon_reas {s10}_will_soon_reassign_some_of_{s12}_troops_away_from_your_party!
qstr_Superior_orders_from Superior_orders_from_{s11}_to_reassign_troops:
qstr_{reg12}_{s10}_left_t {reg12}_{s10}_left_the_party!
qstr_the_Steward the_Steward
qstr_our our
qstr_your your
qstr_{s13}_King {s13}_King
qstr_{s13}_Master {s13}_Master
qstr_Fangorn_claimed_{reg Fangorn_claimed_{reg0}_killed_and_{reg1}_wounded_among_your_troops!
qstr_You_were_wounded_in_ You_were_wounded_in_Fangorn!
qstr__+_ _+_
qstr_DEBUG:_Troll_hit!!! DEBUG:_Troll_hit!!!
qstr_{s1}_of_{s3}_was_def {s1}_of_{s3}_was_defeated_in_battle_but_managed_to_escape.
qstr_{s2}_have_razed_{s1} {s2}_have_razed_{s1}!
qstr_DEBUG:_{s1}_no_longe DEBUG:_{s1}_no_longer_leads_a_party.
qstr_DEBUG:_{s1}_is_no_lo DEBUG:_{s1}_is_no_longer_a_prisoner.
qstr_DEBUG:_{s1}_is_now_a DEBUG:_{s1}_is_now_a_prisoner_of_player.
qstr_DEBUG:_{s1}_is_now_a_ DEBUG:_{s1}_is_now_a_prisoner_of_{s2}.
qstr_1_Res.Pt__{s2}_ 1_Res.Pt_({s2})
qstr_{reg1}_Res.Pts__{s2} {reg1}_Res.Pts_({s2})
qstr_+1_to_Riding_Skill +1_to_Riding_Skill
qstr_+1_to_Horse_Archery +1_to_Horse_Archery
qstr_+1_to_Pathfinding +1_to_Pathfinding
qstr_+5_to_Wound_Treateme +5_to_Wound_Treatement
qstr_Use_from Use_from
qstr_Camp_Menu Camp_Menu
qstr_+{reg1}_to_party_mor +{reg1}_to_party_morale
qstr_Do_you_want_to_disem Do_you_want_to_disembark?
qstr_Move_here Move_here
qstr_View_notes View_notes
qstr_Debug_str:_{reg0} Debug_str:_{reg0}
qstr__{s61} _{s61}
qstr_ERROR:_More_than_15_ ERROR:_More_than_15_trade_routes_are_given_for_{s1}.
qstr_{reg4}_killed_{reg5} {reg4}_killed,_{reg5}_wounded
qstr_killed killed
qstr_wounded wounded
qstr_{reg3?{reg3}:}_{s1}_ {reg3?{reg3}:}_{s1}_({s2})
qstr_{s0}_{reg3?{reg3}:}_ {s0},_{reg3?{reg3}:}_{s1}_({s2})
qstr_{s0}^{reg3?{reg3}:}_ {s0}^{reg3?{reg3}:}_{s1}_({s2})
qstr_{s0}^TOTAL:_{reg3}__ {s0}^TOTAL:_{reg3}_({s2})
qstr_None None
qstr_^None ^None
qstr_nothing nothing
qstr_{reg0}_village{reg1? {reg0}_village{reg1?s:}
qstr_{reg0}_castle{reg1?s {reg0}_castle{reg1?s:}
qstr_{reg0}_castle{reg1?s: {reg0}_castle{reg1?s:}_and_{s0}
qstr_{reg0}_town{reg1?s:} {reg0}_town{reg1?s:}
qstr_{reg0}_town{reg1?s:}_ {reg0}_town{reg1?s:}_and_{s0}
qstr_{reg0}_town{reg1?s:}_{ {reg0}_town{reg1?s:},_{s0}
qstr_Battle_Advantage_=_{ Battle_Advantage_=_{reg0}.
qstr_{s9}_wants_you_to_re {s9}_wants_you_to_resume_following_his_army_until_further_notice.
qstr__Being_Raided_ (Being_Raided)
qstr__Looted_ (Looted)
qstr__Under_Siege_ (Under_Siege)
qstr_The_village_of_{s1}_ The_village_of_{s1}_has_been_looted_by_{s2}.
qstr_{s3}_is_no_longer_un {s3}_is_no_longer_under_siege.
qstr_Enemies_spotted_near Enemies_spotted_near_{s1}.
qstr_{s1}_is_chosen_as_th {s1}_is_chosen_as_the_marshall_of_{s2}.
qstr_You_gained_{reg12}_r You_gained_{reg12}_renown.
qstr_You_lose_{reg12}_ren You_lose_{reg12}_renown.
qstr_Your_relation_with_{ Your_relation_with_{s1}_has_improved.
qstr_Your_relation_with_{s Your_relation_with_{s1}_has_deteriorated.
qstr_You_gain_honour. You_gain_honour.
qstr_You_lose_honour. You_lose_honour.
qstr_{s1}_has_declared_wa {s1}_has_declared_war_against_{s2}.
qstr_{s2}_{reg3?was:is_cu {s2}_{reg3?was:is_currently}_at_{s3}.
qstr_{s2}_{reg3?was:is}_t {s2}_{reg3?was:is}_travelling_to_{s3}_and_{reg4?she:he}_{reg3?was:should_be}_close_to_{s4}{reg3?:_at_the_moment}.
qstr_{s2}_{reg3?was:is}_i {s2}_{reg3?was:is}_in_wilderness_and_{reg4?she:he}_{reg3?was:should_be}_close_to_{s3}{reg3?:_at_the_moment}.
qstr_{s2}_{reg3?was:is}_b {s2}_{reg3?was:is}_being_held_captive_at_{s3}.
qstr_{s2}_{reg3?was:has_b {s2}_{reg3?was:has_been}_taken_captive_by_{reg4?her:his}_enemies.
qstr_{reg3?{s2}_s_locatio {reg3?{s2}'s_location_was_unknown:I_don't_know_where_{s2}_is}.
qstr_{s6}_has_joined_your {s6}_has_joined_your_party
qstr_SCENE:_steppe SCENE:_steppe
qstr_SCENE:_plain SCENE:_plain
qstr_SCENE:_snow SCENE:_snow
qstr_SCENE:_desert SCENE:_desert
qstr_small_scene_used small_scene_used
qstr_SCENE:_steppe_forest SCENE:_steppe_forest
qstr_SCENE:_plain_forest SCENE:_plain_forest
qstr_SCENE:_snow_forest SCENE:_snow_forest
qstr_SCENE:_desert_forest SCENE:_desert_forest
qstr_You_now_owe_{reg2}_R You_now_owe_{reg2}_RPs_to_{s1}.
qstr_Renown_value_for_thi Renown_value_for_this_battle_is_{reg8}.
qstr_You_have_run_into_a_ You_have_run_into_a_trap!
qstr_You_are_attacked_by_ You_are_attacked_by_a_group_of_bandits!
qstr_Holding Holding
qstr_Following Following
qstr_Charging Charging
qstr_Advancing Advancing
qstr_Falling_Back Falling_Back
qstr_Standing_Closer Standing_Closer
qstr_Spreading_Out Spreading_Out
qstr_Standing Standing
qstr_N/A N/A
qstr_Free Free
qstr_Any_Weapon Any_Weapon
qstr_Blunt_Weapons Blunt_Weapons
qstr_Infantry__{reg1}_ Infantry_({reg1})
qstr_Archers__{reg2}_ Archers_({reg2})
qstr_Cavalry__{reg3}_ Cavalry_({reg3})
qstr_{reg4} {reg4}
qstr_{reg5} {reg5}
qstr_{reg6} {reg6}
qstr_{reg7} {reg7}
qstr_{reg8} {reg8}
qstr_{reg9} {reg9}
qstr_{reg10} {reg10}
qstr_{reg11} {reg11}
qstr_{reg12} {reg12}
qstr_Orc_brew_finished! Orc_brew_finished!
qstr_{s1}_Rebels {s1}_Rebels
qstr_Given_by:_{s62} Given_by:_{s62}
qstr_Given_on:_{s60} Given_on:_{s60}
qstr_You_have_{reg0}_days You_have_{reg0}_days_to_finish_this_quest.
qstr_This_quest_has_been_ This_quest_has_been_concluded._Talk_to_{s59}_to_finish_it.
qstr_This_quest_has_been_s This_quest_has_been_successfully_completed._Talk_to_{s59}_to_claim_your_reward.
qstr_This_quest_has_faile This_quest_has_failed._Talk_to_{s59}_to_explain_the_situation.
qstr_At_the_time_quest_wa At_the_time_quest_was_given:^{s1}
qstr_{s4}_is_in_{s5} {s4}_is_in_{s5}
qstr_no_holdings no_holdings
qstr_{s7}_and_{s8} {s7}_and_{s8}
qstr_{s7}_{s8} {s7},_{s8}
qstr_noone noone
qstr_{s9}_and_{s10} {s9}_and_{s10}
qstr_{s9}_{s10} {s9},_{s10}
qstr_no_one no_one
qstr_{s11}_and_{s12} {s11}_and_{s12}
qstr_{s11}_{s12} {s11},_{s12}
qstr_{s5}_is_ruled_by_{s6 {s5}_is_ruled_by_{s6}.^It_controls_{s8}.^Its_commanders_are_{s10}.^{s5}_is_at_war_with_{s12}.
qstr_{s5}_has_been_defeat {s5}_has_been_defeated!
qstr_{s5}_has_a_strength_ {s5}_has_a_strength_of_{reg1}_men_in_total.
qstr_{s54}_is_a_claimant_ {s54}_is_a_claimant_to_the_throne_of_{s56}.
qstr_{s57}_and_{s58} {s57}_and_{s58}
qstr_{s57}_{s58} {s57},_{s58}
qstr_{reg3?She:He} {reg3?She:He}
qstr_^{s59} ^{s59}
qstr_{reg6?:{reg4?{s54}_i {reg6?:{reg4?{s54}_is_the_ruler_of_{s56}.^:{s54}_serves_{s55}_of_{s56}.^}}Renown:_{reg5}.{reg9?^{reg3?She:He}_is_the_{reg3?lady:lord}_of_{s58}.:}{s59}
qstr_The_last_time_you_sa The_last_time_you_saw_{reg1?her:him},_{s1}
qstr_The_last_time_you_he The_last_time_you_heard_about_{reg1?her:him},_{s1}
qstr_The_town_of_{s50} The_town_of_{s50}
qstr_The_village_of_{s50} The_village_of_{s50}_near_{s52}
qstr_{s50} {s50}
qstr_{s50}_belongs_to_{s1 {s50}_belongs_to_{s1}_of_{s2}.^
qstr_{s2}It_has_no_villag {s2}It_has_no_villages.^
qstr_{s2}{reg0?Its_villag {s2}{reg0?Its_villages_are:Its_village_is}_{s8}.^
qstr_{s2} {s2}
qstr_Current_garrison_con Current_garrison_consists_of_{reg5}_men.^Has_food_stock_for_{reg6}_days.
qstr_Very_Poor Very_Poor
qstr_Poor Poor
qstr_Average Average
qstr_Rich Rich
qstr_Very_Rich Very_Rich
qstr_Manor Manor
qstr_A_manor_lets_you_res A_manor_lets_you_rest_at_the_village_and_pay_your_troops_half_wages_while_you_rest.
qstr_Mill Mill
qstr_A_mill_increases_vil A_mill_increases_village_prosperity_by_5%.
qstr_Watch_Tower Watch_Tower
qstr_A_watch_tower_lets_t A_watch_tower_lets_the_villagers_raise_alarm_earlier._The_time_it_takes_for_enemies_to_loot_the_village_increases_by_25%.
qstr_School School
qstr_A_shool_increases_th A_shool_increases_the_loyality_of_the_villagers_to_you_by_+1_every_month.
qstr_Messenger_Post Messenger_Post
qstr_A_messenger_post_let A_messenger_post_lets_the_inhabitants_send_you_a_message_whenever_enemies_are_nearby,_even_if_you_are_far_away_from_here.
qstr_Prison_Tower Prison_Tower
qstr_A_prison_tower_reduc A_prison_tower_reduces_the_chance_of_captives_held_here_running_away_successfully.
qstr_{s50}_Caves {s50}_Caves
qstr_{s50}_Mines {s50}_Mines
qstr_{s50}_Woods {s50}_Woods
qstr_ERROR:_Companion_str ERROR:_Companion_strings_actual/needed:_{reg1}/{reg2}
qstr_{s4}_looks_upset. {s4}_looks_upset.
qstr_your_party your_party
qstr_{reg0?One_of_your_pr {reg0?One_of_your_prisoners,_:}{s1}_of_{s3}_has_escaped_from_captivity!
qstr_You_brought_{reg3}_h You_brought_{reg3}_heads_of_cattle_to_{s1}.
qstr_I_heard_that_there_w I_heard_that_there_will_be_a_tournament_in_{s62}_soon.
qstr_I_heard_that_one_can I_heard_that_one_can_buy_{s62}_very_cheap_at_{s63}.
qstr_I_heard_that_they_pa I_heard_that_they_pay_a_very_high_price_for_{s62}_at_{s63}.
qstr_Log_entry_{reg3}:_ty Log_entry_{reg3}:_type_{reg4}
qstr_Center:_{s4} Center:_{s4}
qstr_Troop:_{s4} Troop:_{s4}
qstr_Lord:_{s4} Lord:_{s4}
qstr_Ally_party_is_presen Ally_party_is_present
qstr_{s4}_is_present_at_e {s4}_is_present_at_event
qstr_Event_#{reg5}_type_{ Event_#{reg5},_type_{reg6},_time_{reg8}:_player's_kingdom_relation_to_troop_object_=_{reg7}
qstr_Event_#{reg5}_type_{r Event_#{reg5},_type_{reg6},_time_{reg8}:_player's_kingdom_relation_to_center_object_faction_=_{reg7}
qstr_Event_#{reg5}_type_{re Event_#{reg5},_type_{reg6},_time_{reg8}:_player's_kingdom_relation_to_faction_object_=_{reg7}
qstr_Event_#{reg5}_type_{reg Event_#{reg5},_type_{reg6},_time_{reg8}._No_relevant_kingdom_relation
qstr_Event_#{reg5}_type_{reg6 Event_#{reg5},_type_{reg6},_time_{reg8}._Player_unaffiliated
qstr_Elapsed_hours:_{reg7 Elapsed_hours:_{reg7}
qstr_Reputation_type:_{s1 Reputation_type:_{s15}
qstr_Entries_up_to_#{reg5 Entries_up_to_#{reg5}_skipped
qstr_You_company_cannot_t You_company_cannot_take_more_men
qstr_You_inventory_doesn_ You_inventory_doesn't_have_enough_space.
qstr_{s1}_has_been_besieg {s1}_has_been_besieged_by_{s2}_of_{s3}.
qstr_{s6}_s_Host {s6}'s_Host
qstr__{s7}_has_assumed_th _{s7}_has_assumed_the_command_of_a_{s5}_host!
qstr_The_forces_of_{s2}_m The_forces_of_{s2}_march_on_{s15}!
qstr_The_hosts_of_{s2}_ma The_hosts_of_{s2}_march_back_to_defend_their_homes!
qstr_ERROR ERROR
qstr_{s1}_ruins {s1}_ruins
qstr_ranks ranks
qstr_shield_wall shield_wall
qstr_wedge wedge
qstr_square square
qstr_up up
qstr___Infantry_forming_{ __Infantry_forming_{s1}.
qstr___Not_enough_infantr __Not_enough_infantry_to_form_{s1},_holding_instead.
qstr___Cavalry_forming_{s __Cavalry_forming_{s1}.
qstr___Not_enough_cavalry __Not_enough_cavalry_to_form_{s1},_holding_instead.
qstr___Archers_forming_{s __Archers_forming_{s1}.
qstr___Not_enough_archers __Not_enough_archers_to_form_{s1},_holding_instead.
qstr___Infantry_formation __Infantry_formation_disassembled.
qstr___Cavalry_formation_ __Cavalry_formation_disassembled.
qstr___Archer_formation_d __Archer_formation_disassembled.
qstr_Three_Nazguls_are_ci Three_Nazguls_are_circling_in_the_sky_above_the_battlefield!
qstr_Two_Nazguls_are_circ Two_Nazguls_are_circling_in_the_sky_above_the_battlefield!
qstr_A_Nazgul_is_circling A_Nazgul_is_circling_in_the_sky_above_the_battlefield!
qstr_Nazgul_sweep! Nazgul_sweep!
qstr_You_and_your_horse_p You_and_your_horse_panic,_the_Nazgul_cries_are_unbearable!
qstr_Your_horse_panics_th Your_horse_panics,_the_Nazgul_cries_are_unbearable!
qstr_You_cower_in_terror_ You_cower_in_terror,_the_Nazgul_cries_are_unbearable!
qstr_knocked_unconsciuos knocked_unconsciuos
qstr_Nazgul_diving_attack Nazgul_diving_attack_on_{s11}!
qstr_{s11}_is_{s10}_in_th {s11}_is_{s10}_in_the_Nazgul_attack!
qstr_DEBUG:_troll_health: DEBUG:_troll_health:_{reg1}%!
qstr_Bitten_by_your_own_w Bitten_by_your_own_warg_mount!
qstr_Your_horse_rears_ref Your_horse_rears,_refusing_to_obey_your_commands!
qstr_CHEAT:_SELF_mind_bla CHEAT:_SELF_mind_blast!!!_(ctrl+s)
qstr_CHEAT:_player_team:_ CHEAT:_player_team:_"A-a-a-a-argh!"_(ctrl+s)
qstr_Cannot_leave_now. Cannot_leave_now.
qstr_New_ent_reached_batt New_ent_reached_battle_scene...
qstr_Forming_ranks. Forming_ranks.
qstr_Tutorial Tutorial
qstr_DEBUG:borders_Xmin:{ DEBUG:borders_Xmin:{reg1}_Xmax{reg0}
qstr_DEBUG:borders_Ymin:{ DEBUG:borders_Ymin:{reg1}_Ymax{reg0}
qstr_ball_X:{reg0} ball_X:{reg0}
qstr_ball_Y:{reg0} ball_Y:{reg0}
qstr_Ballista:_out_of_amm Ballista:_out_of_ammo!
qstr_Ballista:_turn_CURSO Ballista:_turn_CURSOR,_aim_LSHIFT,_shoot_SPACE,_set_fire_T,_exit_F
qstr_Ballista:_out_of_ammo Ballista:_out_of_ammo
qstr_The_ladders_on_Deepi The_ladders_on_Deeping_Wall!_Watch_out!
qstr_You_yell_for_your_ho You_yell_for_your_horse.
qstr_max_X_{reg0}_max_Y_{ max_X_{reg0}_max_Y_{reg1}
qstr_THREE.._TWO..._ONE.. THREE.._TWO..._ONE...._FIGHT!
qstr_{s24} {s24}
qstr_Influence:^_{reg11}_ Influence:^_{reg11}_(with_{s16})
qstr_Resource_Pts:^_{reg1 Resource_Pts:^_{reg12}_(in_{s16})
qstr_{s11}_{s24} {s11},_{s24}
qstr_{s13}_{reg11}__with_ {s13},_{reg11}_(with_{s16})
qstr_{s15}_{reg12}__with_ {s15},_{reg12}_(with_{s16})
qstr__={s10}=_^{s11}.^^{s -={s10}=-^{s11}.^^{s13}.^^{s15}.^^Renown:_{reg2}.
qstr_{s4}:_M{reg3}_2M{reg {s4}:_M{reg3},_2M{reg4},_PC{reg5},_2PC{reg6},_PM{reg7}
qstr_They_came_here_after They_came_here_after_we_kicked_their_asses_5:0_in_the_first_round!_Let's_do_it_again.
qstr_TEST:_troll_VS_infan TEST:_troll_VS_infantry
qstr_TEST:_troll_VS_arche TEST:_troll_VS_archers
qstr_TEST:_troll_VS_chava TEST:_troll_VS_chavalry
qstr_TEST:_troll_VS_lance TEST:_troll_VS_lancers
qstr_TEST:_Troll_vs_Troll TEST:_Troll_vs_Troll
qstr_TEST:_Troll_by_playe TEST:_Troll_by_player
qstr_TROLL_TEST TROLL_TEST
qstr_TEST_SCENE TEST_SCENE
qstr_FACTION_SHOWOFF FACTION_SHOWOFF
qstr___ _-
qstr__ _
qstr__+ _+
qstr_^No_food:___{reg7} ^No_food:__-{reg7}
qstr_Current_party_morale Current_party_morale_is_{reg5}.^Current_party_morale_modifiers_are:^^Base_morale:__+50^Party_size:_{s2}{reg1}^Leadership:_{s3}{reg2}^Food_variety:_{s4}{reg3}{s5}^Recent_events:_{s7}{reg4}^TOTAL:__{reg5}
qstr_Defending Defending
qstr_Gathering_army Gathering_army
qstr_Besieging_{s11} Besieging_{s11}
qstr_Raiding_{s11} Raiding_{s11}
qstr_Attacking_enemies_ar Attacking_enemies_around_{s11}
qstr_No_one No_one
qstr_{s9}{s10}^Current_st {s9}{s10}^Current_state:_{s11}^Marshall:_{s12}^Since_the_last_offensive:_{reg1}_hours^Offensive_maximum_followers:_{reg2}^^
qstr_Selected_faction_is: Selected_faction_is:_{s10}^^{s9}
qstr_Weekly_upkeep_for_tr Weekly_upkeep_for_troops:^{reg5}_Resource_Points^
qstr_{s12}^__{s4}:_{reg4} {s12}^__{s4}:_{reg4}_Resource_pts_({reg5})
qstr_No_upkeep_costs No_upkeep_costs
qstr_Current_party_size_l Current_party_size_limit_is_{reg5}.^Current_party_size_modifiers_are:^^Base_size:__+10^Leadership:_{s2}{reg1}^Charisma:_{s3}{reg2}^Renown:_{s4}{reg3}^TOTAL:__{reg5}
qstr_Loyal Loyal
qstr_Devoted Devoted
qstr_Fond Fond
qstr_Gracious Gracious
qstr_Friendly Friendly
qstr_Supportive Supportive
qstr_Favorable Favorable
qstr_Cooperative Cooperative
qstr_Accepting Accepting
qstr_Indifferent Indifferent
qstr_Suspicious Suspicious
qstr_Grumbling Grumbling
qstr_Hostile Hostile
qstr_Resentful Resentful
qstr_Angry Angry
qstr_Hateful Hateful
qstr_Revengeful Revengeful
qstr_Vengeful Vengeful
qstr_{s2}^{s4}:_{reg1}__{ {s2}^{s4}:_{reg1}_({s3})
qstr_Your_relation_with_t Your_relation_with_the_factions_are:^{s2}
qstr_Assassins_in_the_cam Assassins_in_the_camp,_defend_yourself!
qstr_You_have_been_pimped You_have_been_pimped_up!
qstr_Added_+1000_XP_now_w Added_+1000_XP,_now_wait_for_the_War...
qstr_Good_factions_defeat Good_factions_defeated!_Now_wait_for_it...
qstr_Party_size_increased Party_size_increased_from_{reg0}_to_{reg1}!
qstr_Lord_locations_updat Lord_locations_updated_-_see_wiki!
qstr_{s2}^{s4}:_{reg1}__{s {s2}^{s4}:_{reg1}_({s23})_Diff:_{reg2}
qstr_Faction_strengths_re Faction_strengths_report:^{s2}
qstr_Attacking_enemy_part Attacking_enemy_party_{s11}
qstr_Unknown_{reg3}_ Unknown({reg3})
qstr_SE SE
qstr_SW SW
qstr_C C
qstr_N N
qstr_INVALID INVALID
qstr_{s2}^{s4}:_Th:_{s9}_ {s2}^{s4}:_Th:_{s9}-{s10}_Str:_{reg1}_Hosts:_{reg2}_{s11}
qstr_Faction_AI_report:^{ Faction_AI_report:^{s2}
qstr_Detailed_faction_AI_ Detailed_faction_AI_report_for_{s4}:^Theater:{s9}-{s10}_Str:{reg1}_Hosts:{reg2}_{s11}
qstr_Faction_defeated!^{s Faction_defeated!^{s1}
qstr_{s1}^{s6}_leads_{s7} {s1}^{s6}_leads_{s7},_
qstr_{s1}_no_host__ {s1}(no_host),_
qstr_{s1}doing_nothing {s1}doing_nothing
qstr_{s1}escorting_{s7} {s1}escorting_{s7}
qstr_{s1}besieging_{s7} {s1}besieging_{s7}
qstr_{s1}defending_{s7} {s1}defending_{s7}
qstr_{s1}patrolling_aroun {s1}patrolling_around_{s7}
qstr_{s1}recruiting_in_{s {s1}recruiting_in_{s7}_-_INVALID
qstr_{s1}raiding_around_{ {s1}raiding_around_{s7}_-_INVALID
qstr_{s1}engaging_{s7} {s1}engaging_{s7}
qstr_{s1}retreating_to_{s {s1}retreating_to_{s7}
qstr_{s1}unknown_{reg3}_ {s1}unknown({reg3})
qstr_Faction_defeated!_No Faction_defeated!_Now_wait_for_it...
qstr_Faction_spawn_losses Faction_spawn_losses_for_{s4}_after_{reg1}_days^
qstr_{s1}^Scouts_lost:_{r {s1}^Scouts_lost:_{reg1}_Str_loss:_{reg2}_Active:_{reg3}_(Party_Str:_{reg4})
qstr_{s1}^Raiders_lost:_{ {s1}^Raiders_lost:_{reg1}_Str_loss:_{reg2}_Active:_{reg3}_(Party_Str:_{reg4})
qstr_{s1}^Patrols_lost:_{ {s1}^Patrols_lost:_{reg1}_Str_loss:_{reg2}_Active:_{reg3}_(Party_Str:_{reg4})
qstr_{s1}^Caravans_lost:_ {s1}^Caravans_lost:_{reg1}_Str_loss:_{reg2}_Active:_{reg3}_(Party_Str:_{reg4})
qstr_{s1}^P._trains_lost_ {s1}^P._trains_lost-arrived:_{reg1}_Strength_loss:_0{reg2?-{reg2}:}_Active:_{reg3}
qstr_{s1}^^Total_strength {s1}^^Total_strength_loss_from_spawns:_{reg1}^
qstr_{s1}^Total_strength_ {s1}^Total_strength_gain:_{reg1}
qstr_{s1}^Total_strength_l {s1}^Total_strength_loss:_{reg2}
qstr_{s1}^Difference:_{re {s1}^Difference:_{reg1}
qstr_Daily_strength_incom Daily_strength_income_and_garrisons_for_{s4}
qstr_{s1}^{s7}:_{reg1}__G {s1}^{s7}:_{reg1}__Garrison:_{reg3}/{reg2}{reg4?:_Capturable}
qstr_{s1}^^Total:_{reg1} {s1}^^Total:_{reg1}
qstr_SW_advance_camps_spa SW_advance_camps_spawned_around_a_point_northwest_of_East_Emnet!
qstr_SE_advance_camps_spa SE_advance_camps_spawned_around_a_point_west_of_West_Osgiliath!
qstr_C_advance_camps_spaw C_advance_camps_spawned_around_Cerin_Amroth!
qstr_N_advance_camps_spaw N_advance_camps_spawned_around_Beorn's_House!
qstr_Advance_camps_disabl Advance_camps_disabled,_theaters_restored!
qstr_SW_advance_camps_spaw SW_advance_camps_spawned_around_{reg2},{reg3}!
qstr_SE_advance_camps_spaw SE_advance_camps_spawned_around_{reg2},{reg3}!
qstr_C_advance_camps_spawn C_advance_camps_spawned_around_{reg2},{reg3}!
qstr_N_advance_camps_spawn N_advance_camps_spawned_around_{reg2},{reg3}!
qstr_OFF OFF
qstr_ON ON
qstr_Fangorn_search:_fail Fangorn_search:_failed.
qstr_Here_you_are. Here_you_are.
qstr_Player_was_moved_to_ Player_was_moved_to_{s10}.
qstr_neutral_whereabouts neutral_whereabouts
qstr_any any
qstr_man man
qstr_woman woman
qstr_gondor gondor
qstr_rohan rohan
qstr_dunlander dunlander
qstr_orc orc
qstr_urukhai urukhai
qstr_uruk uruk
qstr_haradrim haradrim
qstr_dwarf dwarf
qstr_troll troll
qstr_dunedain dunedain
qstr_lothlorien lothlorien
