trp_unarmed_troop|Neozbrojená jednotka
trp_i3_woodmen_skilled_forester|Skúsený lesník drevorubač
trp_i3_woodmen_skilled_forester_pl|Skúsení lesníci drevorubači
trp_i4_woodmen_axemen|Lesný sekerník
trp_i4_woodmen_axemen_pl|Lesní sekerníci
trp_i5_woodmen_night_guard|Nočný strážca z Temnohvozdu
trp_i5_woodmen_night_guard_pl|Nočná stráž z Temnohvozdu
trp_a2_woodmen_tracker|Lesník stopár
trp_a2_woodmen_tracker_pl|Lesníci stopári
trp_a3_woodmen_scout|Lesný prieskumník
trp_a3_woodmen_scout_pl|Lesní prieskumníci
trp_a4_woodmen_archer|Lesník lukostrelec
trp_a4_woodmen_archer_pl|Lesníci lukostrelci
trp_a5_woodmen_night_stalker|Nočný stopár z Temnohvozdu
trp_a5_woodmen_night_stalker_pl|Noční stropári z Temnohvozdu
trp_i1_beorning_man|Grizlovec
trp_i1_beorning_man_pl|Grizlovci
trp_i2_beorning_warrior|Grizlovecký bojovník
trp_i2_beorning_warrior_pl|Grizloveckí bojovníci
trp_i3_beorning_tolltacker|Grizlovský mýtnik
trp_i3_beorning_tolltacker_pl|Grizlovskí mýtnici
trp_i4_beorning_sentinel|Grizlovský strážnik
trp_i4_beorning_sentinel_pl|Grizlovskí strážnici
trp_i5_beorning_warden_of_the_ford|Grizlovský ochránca Brodu
trp_i5_beorning_warden_of_the_ford_pl|Grizlovskí ochráncovia Brodu
trp_i3_beorning_carrock_lookout|Grizlovecký strážnik na Carrocku
trp_i3_beorning_carrock_lookout_pl|Grizloveckí strážnici na Carrocku
trp_i4_beorning_carrock_fighter|Grizlovecký bojovník Carrocku
trp_i4_beorning_carrock_fighter_pl|Grizloveckí bojovníci Carrocku
trp_i5_beorning_carrock_berserker|Grizlovecký berserk z Carrocku
trp_i5_beorning_carrock_berserker_pl|Grizloveckí berserkovia z Carrocku
trp_i1_dale_militia|Dálsky domobranca
trp_i1_dale_militia_pl|Dálska domobrana
trp_i2_dale_man_at_arms|Dálsky ozbrojenec
trp_i2_dale_man_at_arms_pl|Dálski ozbrojenci
trp_a2_dale_scout|Dálsky prieskumník
trp_a2_dale_scout_pl|Dálski prieskumníci
trp_a3_dale_bowman|Dalský lovec
trp_a3_dale_bowman_pl|Dalskí lovci
trp_a4_dale_archer|Dalský lukostrelec
trp_a4_dale_archer_pl|Dalskí lukostrelci
trp_a5_barding_bowman|Bardov lučišník
trp_a5_barding_bowman_pl|Bartovi lučišníci
trp_i3_dale_swordsman|Dálsky šermiar
trp_i3_dale_swordsman_pl|Dálski šermiari
trp_i4_dale_sergeant|Dálsky strážmajster
trp_i4_dale_sergeant_pl|Dalskí strážmajstri
trp_i5_dale_hearthman|Dálsky veliteľ
trp_i5_dale_hearthman_pl|Dálski velitelia
trp_i3_dale_spearman|Dálsky kopijník
trp_i3_dale_spearman_pl|Dálski kopijníci
trp_i4_dale_billman|Dálsky gizarmník
trp_i4_dale_billman_pl|Dálski gizarmníci
trp_i5_dale_bill_master|Dálsky majster gizarmník
trp_i5_dale_bill_master_pl|Dálski majstri gizarmníci
trp_c2_rhovanion_retainer|Severský jazdec
trp_c2_rhovanion_retainer_pl|Severskí jazdci
trp_c3_rhovanion_auxilia|Severský kavalerista
trp_c3_rhovanion_auxilia_pl|Severskí kavaleristi
trp_c4_rhovanion_rider|Rhovanionský jazdec
trp_c4_rhovanion_rider_pl|Rhovanionskí jazdci
trp_ac5_rhovanion_marchwarden|Rhovanionský družiník
trp_ac5_rhovanion_marchwarden_pl|Rhovanionskí družiníci
trp_i1_rhun_tribesman|Rhunský domorodec
trp_i1_rhun_tribesman_pl|Rhunskí domorodci
trp_ac2_rhun_horse_scout|Rhunský jazdecký prieskumník
trp_ac2_rhun_horse_scout_pl|Rhunskí jazdeckí prieskumníci
trp_ac3_rhun_horse_archer|Rhunský lukostrelec na koni
trp_ac3_rhun_horse_archer_pl|Rhunskí lukostrelci na koni
trp_ac4_rhun_veteran_horse_archer|Rhunský skúsený lukostrelec na koni
trp_ac4_rhun_veteran_horse_archer_pl|Rhunskí skúsení lukostrelci na koni
trp_ac5_rhun_balchoth_horse_archer|Balchothský lukostrelec na koni
trp_ac5_rhun_balchoth_horse_archer_pl|Balchothskí lukostrelci na koni
trp_c3_rhun_swift_horseman|Rhunský rýchly jazdec na koni
trp_c3_rhun_swift_horseman_pl|Rhunskí rychlí jazdci na koni
trp_c4_rhun_veteran_swift_horseman|Rhunský skúsený rýchly jazdec
trp_c4_rhun_veteran_swift_horseman_pl|Rhunskí skúsení rychlí jazdci
trp_c5_rhun_falcon_horseman|Sokolí jazdec na koni
trp_c5_rhun_falcon_horseman_pl|Sokolí jazdci na koni
trp_i2_rhun_tribal_warrior|Rhunský domorodý bojovník
trp_i2_rhun_tribal_warrior_pl|Rhunskí domorodí bojovníci
trp_i3_rhun_tribal_infantry|Rhunský domorodý pešiak
trp_i3_rhun_tribal_infantry_pl|Rhunská domorodá pechota
trp_i4_rhun_vet_infantry|Rhunský skúsený pešiak
trp_i4_rhun_vet_infantry_pl|Rhunská skúsená pechota
trp_i5_rhun_ox_warrior|Pešiak z Oxu
trp_i5_rhun_ox_warrior_pl|Pechota z Oxu
trp_c2_rhun_light_horseman|Rhunský ľahký jazdec
trp_c2_rhun_light_horseman_pl|Rhunskí ľahkí jazdci
trp_c3_rhun_light_cavalry|Rhunský člen ľahkej kavalérie
trp_c3_rhun_light_cavalry_pl|Rhunská ľahká kavaléria
trp_c4_rhun_noble_cavalry|Rhunský urodzený kavalerista
trp_c4_rhun_noble_cavalry_pl|Rhunskí urodzení kavaleristi
trp_c5_rhun_heavy_noble_cavalry|Rhunský urodzený príslušník ťažkej jazdy
trp_c5_rhun_heavy_noble_cavalry_pl|Rhunská ťažká jazda šľachticov
trp_c6_rhun_dorwinion_noble|Dorwinionský šľachtic z Rhunu
trp_c6_rhun_dorwinion_noble_pl|Dorwinionská šľachta z Rhunu
trp_i1_dwarf_apprentice|Trpasličí branec
trp_i1_dwarf_apprentice_pl|Trpasličí branci
trp_i2_dwarf_warrior|Trpasličí bojovník
trp_i2_dwarf_warrior_pl|Trpasličí bojovníci
trp_i3_dwarf_hardened_warrior|Trpasličí vycvičený vojak
trp_i3_dwarf_hardened_warrior_pl|Trpasličí vycvičení vojaci
trp_i4_dwarf_spearman|Trpasličí kopijník
trp_i4_dwarf_spearman_pl|Trpasličí kopijníci
trp_i5_dwarf_pikeman|Trpasličí pikenýr
trp_i5_dwarf_pikeman_pl|Trpasličí pikenýri
trp_i6_dwarf_longpikeman|Trpaslík s dlhou pikou
trp_i6_dwarf_longpikeman_pl|Trpaslíci s dlhými pikami
trp_i4_dwarf_axeman|Trpasličí sekerník
trp_i4_dwarf_axeman_pl|Trpasličí sekerníci
trp_i5_dwarf_expert_axeman|Trpasličí profesionálny sekerník
trp_i5_dwarf_expert_axeman_pl|Trpasličí profesionálni sekerníci
trp_i6_dwarf_longbeard_axeman|Dlhobradý trpasličí sekerník
trp_i6_dwarf_longbeard_axeman_pl|Dlhobradí trpasličí sekerníci
trp_a2_dwarf_lookout|Trpasličí strážnik
trp_a2_dwarf_lookout_pl|Trpasličia stráž
trp_a3_dwarf_scout|Trpasličí prieskumník
trp_a3_dwarf_scout_pl|Trpasličí prieskumníci
trp_a4_dwarf_bowman|Trpasličí strelec
trp_a4_dwarf_bowman_pl|Trpasličí strelci
trp_i6_dwarf_longaxeman|Trpasličí helebardník
trp_i6_dwarf_longaxeman_pl|Trpasličí helebardníci
trp_i3_iron_hills_warrior|Bojovník zo Železných hôr
trp_i3_iron_hills_warrior_pl|Bojovníci zo Železných hôr
trp_i2_iron_hills_miner|Baník zo Železných hôr
trp_i2_iron_hills_miner_pl|Baníci zo Železných hôr
trp_i4_iron_hills_infantry|Pešiaci zo Železných hôr
trp_i4_iron_hills_infantry_pl|Pešiaci zo Železných hôr
trp_i5_iron_hills_battle_dwarf|Bojovník zo Železných hôr
trp_i5_iron_hills_battle_dwarf_pl|Bojovníci zo Železných hôr
trp_i6_iron_hills_grors_guard|Grórov gardista
trp_i6_iron_hills_grors_guard_pl|Grórova garda
trp_i1_gon_levy|Gondorský branec
trp_i1_gon_levy_pl|Gondorskí branci
trp_i2_gon_watchman|Gondorský strážnik
trp_i2_gon_watchman_pl|Gondorská stráž
trp_i3_gon_footman|Gondorský pešiak
trp_i3_gon_footman_pl|Gondorskí pešiaci
trp_i4_gon_spearman|Gondorský kopijník
trp_i4_gon_spearman_pl|Gondorskí kopijníci
trp_i5_gon_vet_spearman|Skúsený gondorský kopijník
trp_i5_gon_vet_spearman_pl|Skúsení gondorskí kopijníci
trp_i6_gon_tower_spearman|Ochranca Fontánového nádvoria
trp_i6_gon_tower_spearman_pl|Ochránci Fontánového nádvoria
trp_i4_gon_swordsman|Gondorský šermiar
trp_i4_gon_swordsman_pl|Gondorskí šermiari
trp_i5_gon_vet_swordsman|Skúsený gondorský šermiar
trp_i5_gon_vet_swordsman_pl|Skúsení gondorskí šermiari
trp_i6_gon_tower_swordsman|Šermiar stráže Citadely
trp_i6_gon_tower_swordsman_pl|Šermiari stráže Citadely
trp_c1_gon_nobleman|Gondorský šľachtic
trp_c1_gon_nobleman_pl|Gondorskí šľachtici
trp_c2_gon_squire|Gondorský panoš
trp_c2_gon_squire_pl|Gondorskí panoši
trp_c3_gon_vet_squire|Skúsený gondorský panoš
trp_c3_gon_vet_squire_pl|Skúsení gondorskí panoši
trp_c4_gon_knight|Rytier Gondoru
trp_c4_gon_knight_pl|Rytieri Gondoru
trp_c5_gon_vet_knight|Skúsený rytier Gondoru
trp_c5_gon_vet_knight_pl|Skúsení rytieri Gondoru
trp_c6_gon_tower_knight|Rytier Citadely
trp_c6_gon_tower_knight_pl|Rytieri Citadely
trp_a3_gon_bowman|Gondorský strelec
trp_a3_gon_bowman_pl|Gondorskí strelci
trp_a4_gon_archer|Gondorský lukostrelec
trp_a4_gon_archer_pl|Gondorskí lukostrelci
trp_a5_gon_vet_archer|Skúsený gondorský lukostrelec
trp_a5_gon_vet_archer_pl|Skúsení gondorskí lukostrelci
trp_a6_gon_tower_archer|Lukostrelec Citadely
trp_a6_gon_tower_archer_pl|Lukostrelci Citadely
trp_steward_guard|Správcov gardista
trp_steward_guard_pl|Správcova garda
trp_a4_ithilien_ranger|Hraničiar Ithilienu
trp_a4_ithilien_ranger_pl|Hraničiari Ithilienu
trp_a5_ithilien_vet_ranger|Skúsený hraničiar Ithilienu
trp_a5_ithilien_vet_ranger_pl|Skúsení hraničiari Ithilienu
trp_a6_ithilien_master_ranger|Majster hraničiar z Ithilienu
trp_a6_ithilien_master_ranger_pl|Majstri hraničiari z Ithilienu
trp_a6_ithilien_leader|Kapitán Ithilienských hraničiarov
trp_a6_ithilien_leader_pl|Kapitáni Ithilienských hraničiarov
trp_i1_loss_woodsman|Lesník z Lossarnachu
trp_i1_loss_woodsman_pl|Lesníci z Lossarnachu
trp_i2_loss_axeman|Sekerník z Lossarnachu
trp_i2_loss_axeman_pl|Sekerníci z Lossarnachu
trp_i3_loss_vet_axeman|Skúsený lesník z Lossarnachu
trp_i3_loss_vet_axeman_pl|Skúsení lesníci z Lossarnachu
trp_i4_loss_heavy_axeman|Mocný sekerník z Lossarnachu
trp_i4_loss_heavy_axeman_pl|Mocní sekerníci z Lossarnachu
trp_i5_loss_axemaster|Majster sekerník z Lossarnachu
trp_i5_loss_axemaster_pl|Majstri sekerníci z Lossarnachu
trp_i6_loss_leader|Kapitán z Lossarnachu
trp_i6_loss_leader_pl|Kapitáni z Lossarnachu
trp_i1_pel_watchman|Strážnik z Pelargiru
trp_i1_pel_watchman_pl|Stráž Pelargiru
trp_a2_pel_marine|Pelargirský námorník
trp_a2_pel_marine_pl|Pelargirskí námorníci
trp_a3_pel_vet_marine|Pelargirský skúsený námorník
trp_a3_pel_vet_marine_pl|Pelargirskí ostrieľaní námorníci
trp_i2_pel_infantry|Pelargirský pešiak
trp_i2_pel_infantry_pl|Pelargirskí pešiaci
trp_i3_pel_vet_infantry|Pelargirský skúsený pešiak
trp_i3_pel_vet_infantry_pl|Pelargirskí skúsení pešiaci
trp_i6_pel_leader|Kapitán z Pelargiru
trp_i6_pel_leader_pl|Kapitáni z Pelargiru
trp_a6_pel_marine_leader|Kapitán Pelargirských námorníkov
trp_a6_pel_marine_leader_pl|Kapitáni Pelargirských námorníkov
trp_i1_lam_clansman|Domorodec z Lamedonu
trp_i1_lam_clansman_pl|Domorodci z Lamedonu
trp_i2_lam_footman|Pešiak z Lamedonu
trp_i2_lam_footman_pl|Pešiaci z Lamedonu
trp_i3_lam_veteran|Skúsený pešiak z Lamedonu
trp_i3_lam_veteran_pl|Skúsení pešiaci z Lamedonu
trp_i4_lam_warrior|Bojovník z Lamedonu
trp_i4_lam_warrior_pl|Bojovníci z Lamedonu
trp_i5_lam_champion|Šampión z Lamedonu
trp_i5_lam_champion_pl|Šampióni z Lamedonu
trp_c5_lam_knight|Rytier z Lamedonu
trp_c5_lam_knight_pl|Rytieri z Lamedonu
trp_c6_lam_leader|Kapitán z Lamedonu
trp_c6_lam_leader_pl|Kapitáni z Lamedonu
trp_i1_pinnath_plainsman|Roľník z Pinnath Gelin
trp_i1_pinnath_plainsman_pl|Roľníci z Pinnath Gelin
trp_c2_pinnath_rider|Jazdec z Pinnath Gelinu
trp_c2_pinnath_rider_pl|Jazda z Pinnath Gelinu
trp_c3_pinnath_knight|Rytier z Pinnath Gelinu
trp_c3_pinnath_knight_pl|Rytieri z Pinnath Gelinu
trp_a2_pinnath_bowman|Lovec z Pinnath Gelin
trp_a2_pinnath_bowman_pl|Lovci z Pinnath Gelin
trp_a3_pinnath_archer|Lukostrelec z Pinnath Gelin
trp_a3_pinnath_archer_pl|Lukostrelci z Pinnath Gelin
trp_c6_pinnath_leader|Kapitán z Pinnath Gelin
trp_c6_pinnath_leader_pl|Kapitáni z Pinnath Gelin
trp_a1_blackroot_hunter|Lovec z Čiernodolu
trp_a1_blackroot_hunter_pl|Lovci z Čiernodolu
trp_a2_blackroot_bowman|Strelec z Čiernodolu
trp_a2_blackroot_bowman_pl|Strelci z Čiernodolu
trp_a3_blackroot_archer|Lukostrelec z Čiernodolu
trp_a3_blackroot_archer_pl|Lukostrelci z Čiernodolu
trp_i2_blackroot_footman|Pešiak z Čiernodolu
trp_i2_blackroot_footman_pl|Pešiaci z Čiernodolu
trp_i3_blackroot_spearman|Kopijník z Čiernodolu
trp_i3_blackroot_spearman_pl|Kopijníci z Čiernodolu
trp_a5_blackroot_shadow_hunter|Morthondský Temný Jazdec
trp_a5_blackroot_shadow_hunter_pl|Morthondská Temní Jazdci
trp_i1_amroth_recruit|Branec z Dol Amrothu
trp_i1_amroth_recruit_pl|Branci z Dol Amrothu
trp_c2_amroth_squire|Panoš z Dol Amrothu
trp_c2_amroth_squire_pl|Panoši z Dol Amrothu
trp_c3_amroth_vet_squire|Skúsený panoš z Dol Amrothu
trp_c3_amroth_vet_squire_pl|Skúsení panoši z Dol Amrothu
trp_c4_amroth_knight|Rytier z Dol Amrothu
trp_c4_amroth_knight_pl|Rytieri z Dol Amrothu
trp_c5_amroth_vet_knight|Skúsený rytier z Dol Amrothu
trp_c5_amroth_vet_knight_pl|Skúsení rytieri z Dol Amrothu
trp_c6_amroth_swan_knight|Labutí rytier z Dol Amrothu
trp_c6_amroth_swan_knight_pl|Labutí rytieri z Dol Amrothu
trp_c6_amroth_leader|Kapitán z Dol Amrothu
trp_c6_amroth_leader_pl|Kapitáni z Dol Amrothu
trp_lothlorien_scout|Lothlorienský prieskumník
trp_lothlorien_scout_pl|Lothlorienskí prieskumníci
trp_lothlorien_veteran_scout|Lothlorienský skúsený prieskumník
trp_lothlorien_veteran_scout_pl|Lothlorienská skúsení prieskumník
trp_lothlorien_archer|Lothlorienský lukostrelec
trp_lothlorien_archer_pl|Lothlorienskí lukostrelci
trp_lothlorien_veteran_archer|Lothlorienský skúsený lukostrelec
trp_lothlorien_veteran_archer_pl|Lothlorienskí skúsení lukostrelec
trp_lothlorien_master_archer|Lothlorienský majster lukostrelec
trp_lothlorien_master_archer_pl|Lothlorienskí majster lukostrelec
trp_galadhrim_royal_archer|Urodzený lukostrelec Galadhrim
trp_galadhrim_royal_archer_pl|Urodzení lukostrelci Galadhrim
trp_galadhrim_royal_marksman|Urodzený ostrostrelec Galadhrim
trp_galadhrim_royal_marksman_pl|Urodzení ostrostrelci Galadhrim
trp_noldorin_mounted_archer|Noldorský jazdecký lukostrelec
trp_noldorin_mounted_archer_pl|Noldorskí jazdeckí lukostrelci
trp_lothlorien_infantry|Lothlorienský pešiak
trp_lothlorien_infantry_pl|Lothlorienská pechota
trp_lothlorien_veteran_infantry|Lothlorienský skúsený pešiak
trp_lothlorien_veteran_infantry_pl|Lothlorienská skúsená pechota
trp_lothlorien_elite_infantry|Lothlorienský elitný zbrojnoš
trp_lothlorien_elite_infantry_pl|Lothlorienská elitná pechota
trp_galadhrim_royal_swordsman|Urodzený šermiar Galadhrim
trp_galadhrim_royal_swordsman_pl|Urodzení šermiari Galadhrim
trp_lothlorien_warden|Lothlorienský strážca
trp_lothlorien_warden_pl|Lothlorienská stráž
trp_lothlorien_veteran_warden|Lothlorienský skúsený strážca
trp_lothlorien_veteran_warden_pl|Lothlorienská skúsená stráž
trp_galadhrim_royal_warden|Urodzený strážca Galadhrim
trp_galadhrim_royal_warden_pl|Urodzená stráž Galadhrim
trp_lothlorien_standard_bearer|Lothlorienský vlajkonoš
trp_lothlorien_standard_bearer_pl|Lothlorienskí zástavníci
trp_a1_greenwood_scout|Prieskumník z Temnohvozdu
trp_a1_greenwood_scout_pl|Prieskumníci z Temnohvozdu
trp_a2_greenwood_veteran_scout|Skúsený prieskumník z Temnohvozdu
trp_a2_greenwood_veteran_scout_pl|Skúsení prieskumníci z Temnohvozdu
trp_a3_greenwood_archer|Temnohvozdský lovec
trp_a3_greenwood_archer_pl|Temnohvozdskí lovci
trp_a4_greenwood_veteran_archer|Temnohvozdský lukostrelec
trp_a4_greenwood_veteran_archer_pl|Temnohvozdskí lukostrelci
trp_a5_greenwood_master_archer|Skúsený lukostrelec z Temnohvozdu
trp_a5_greenwood_master_archer_pl|Skúsení lukostrelci z Temnohvozdu
trp_a6_greenwood_chosen_marksman|Thranduilov urodzený ostrostrelec
trp_a6__pl|Thranduiloví urodzení ostrostrelci
trp_a3_greenwood_sentinel|Ochranca Temnohvozdu
trp_a3_greenwood_sentinel_pl|Ochrancovia Temnohvozdu
trp_a4_greenwood_vet_sentinel|Skúsený ochranca Temnohvozdu
trp_a4_greenwood_vet_sentinel_pl|Skúsení ochrancovia Temnohvozdu
trp_a5_greenwood_vigilant|Temnohvozdský strážca
trp_a5_greenwood_vigilant_pl|Temnohvozdská stráž
trp_i2_greenwood_infantry|Temnohvozdský pešiak
trp_i2_greenwood_infantry_pl|Temnohvozdská pechota
trp_i3_greenwood_vet_infantry|Temnohvozdský skúsený pešiak
trp_i3_greenwood_vet_infantry_pl|Temnohvozdská skúsená stráž
trp_i4_greenwood_elite_infantry|Temnohvozdský elitný zbrojnoš
trp_i4_greenwood_elite_infantry_pl|Temnohvozdská elitná pechota
trp_i5_greenwood_chosen_shieldmaster|Thranduilov urodzený šermiar
trp_i5_greenwood_chosen_shieldmaster_pl|Thranduiloví urodzení šermiari
trp_i5_greenwood_chosen_spearmaster|Thranduilov urodzený kopijník
trp_i5_greenwood_chosen_spearmaster_pl|Thranduiloví urodzení kopijník
trp_i5_greenwood_standard_bearer|Temnohvozdský vlajkonoš
trp_i5_greenwood_standard_bearer_pl|Temnohvozdskí zástavníci
trp_rivendell_scout|Prieskumník z Roklinky
trp_rivendell_scout_pl|Prieskumníci z Roklinky
trp_rivendell_veteran_scout|Skúsený prieskumník z Roklinky
trp_rivendell_veteran_scout_pl|Skúsení prieskumníci z Roklinky
trp_rivendell_sentinel|Ochranca Roklinky
trp_rivendell_sentinel_pl|Ochrancovia Roklinky
trp_rivendell_veteran_sentinel|Skúsený ochranca Roklinky
trp_rivendell_veteran_sentinel_pl|Skúsení ochrancovia Roklinky
trp_rivendell_elite_sentinel|Elitný ochranca Roklinky
trp_rivendell_elite_sentinel_pl|Elitní ochrancovia Roklinky
trp_rivendell_guardian|Strážca z Roklinky
trp_rivendell_guardian_pl|Stráž z Roklinky
trp_rivendell_infantry|Pešiak z Roklinky
trp_rivendell_infantry_pl|Roklinská pechota
trp_rivendell_veteran_infantry|Skúsený pešiak z Roklinky
trp_rivendell_veteran_infantry_pl|Skúsená Roklinská pechota
trp_rivendell_elite_infantry|Elitný zbrojnoš z Roklinky
trp_rivendell_elite_infantry_pl|Elitná Roklinská pechota
trp_rivendell_royal_infantry|Urodzení ťažkoodenec z Roklinky
trp_rivendell_royal_infantry_pl|Pechota urodzených z Roklinky
trp_rivendell_cavalry|Kavalerista Roklinky
trp_rivendell_cavalry_pl|Roklinská kavaléria
trp_knight_of_rivendell|Rytier z Roklinky
trp_knight_of_rivendell_pl|Rytieri z Roklinky
trp_rivendell_standard_bearer|Roklinský vlajkonoš
trp_rivendell_standard_bearer_pl|Roklinskí zástavníci
trp_dunedain_scout|Dunedainský prieskumník
trp_dunedain_scout_pl|Dunedainskí prieskumníci
trp_dunedain_trained_scout|Dunedainský stopár
trp_dunedain_trained_scout_pl|Dunedainskí stopári
trp_arnor_man_at_arms|Arnorský ozbrojenec
trp_arnor_man_at_arms_pl|Arnorskí ozbrojenci
trp_arnor_master_at_arms|Arnorský majstrer ozbrojenec
trp_arnor_master_at_arms_pl|Arnorskí majstri ozbrojenci
trp_high_swordsman_of_arnor|Urodzený šermiar z Arnoru
trp_high_swordsman_of_arnor_pl|Urodzení šermiari z Arnoru
trp_arnor_horsemen|Arnorský jazdec
trp_arnor_horsemen_pl|Arnorskí jazdci
trp_knight_of_arnor|Rytier z Arnoru
trp_knight_of_arnor_pl|Rytieri z Arnoru
trp_dunedain_ranger|Dunedainský strelec
trp_dunedain_ranger_pl|Dunedainskí strelci
trp_dunedain_veteran_ranger|Dunedainský skúsený strelec
trp_dunedain_veteran_ranger_pl|Dunedainskí skúsení strelci
trp_dunedain_master_ranger|Dunedainský majster strelec
trp_dunedain_master_ranger_pl|Dunedainskí majstri strelci
trp_i1_rohan_youth|Rohanský mladík
trp_i1_rohan_youth_pl|Rohanská mládež
trp_i2_guardsman_of_rohan|Rohanský strážnik
trp_i2_guardsman_of_rohan_pl|Rohanská stráž
trp_i3_footman_of_rohan|Rohanský pešiak
trp_i3_footman_of_rohan_pl|Rohanskí pešiaci
trp_i4_veteran_footman_of_rohan|Skúsený pešiak z Rohanu
trp_i4_veteran_footman_of_rohan_pl|Skúsení pešiaci z Rohanu
trp_i5_elite_footman_of_rohan|Elitný zbrojnoš z Rohanu
trp_i5_elite_footman_of_rohan_pl|Elitní zbrojnoši z Rohanu
trp_i6_footman_guard_of_rohan|Folcwineov rohanský gardista
trp_i6_footman_guard_of_rohan_pl|Folcwineova rohanská garda
trp_i6_frealaf_raider|Frealafov marodér
trp_i6_frealaf_raider_pl|Frealafovi marodéri
trp_i5_raider_of_rohan|Rohanský marodér
trp_i5_raider_of_rohan_pl|Rohanskí marodéri
trp_i6_warden_of_methuseld|Ochránca Meduseldu
trp_i6_warden_of_methuseld_pl|Stráž Meduseldu
trp_ac3_skirmisher_of_rohan|Rohanský ľahký kavalerista
trp_ac3_skirmisher_of_rohan_pl|Ľahká jazda Rohanu
trp_ac4_veteran_skirmisher_of_rohan|Skúsený ľahký kavalerista z Rohanu
trp_ac4_veteran_skirmisher_of_rohan_pl|Skúsená ľahká jazda Rohanu
trp_ac5_elite_skirmisher_of_rohan|Elitný ľahký kavalerista z Rohanu
trp_ac5_elite_skirmisher_of_rohan_pl|Elitná ľahká jazda Rohanu
trp_ac6_skirmisher_guard_of_rohan|Thengelov rohanský gardista
trp_ac6_skirmisher_guard_of_rohan_pl|Thengelova rohanská garda
trp_c4_lancer_of_rohan|Jazdecký kopijník z Rohanu
trp_c4_lancer_of_rohan_pl|Jazdeckí kopijníci z Rohanu
trp_c5_elite_lancer_of_rohan|Elitný jazdecký kopijník z Rohanu
trp_c5_elite_lancer_of_rohan_pl|Elitní jazdeckí kopijníci z Rohanu
trp_c6_lancer_guard_of_rohan|Bregov rohanský gardista
trp_c6_lancer_guard_of_rohan_pl|Bregova rohanská garda
trp_c6_king_s_man_of_rohan|Kráľov gardista
trp_c6_king_s_man_of_rohan_pl|Kráľova garda
trp_c2_squire_of_rohan|Rohanský panoš
trp_c2_squire_of_rohan_pl|Rohanskí panoši
trp_c3_rider_of_rohan|Rohanský jazdec
trp_c3_rider_of_rohan_pl|Rohanskí jazdci
trp_c4_veteran_rider_of_rohan|Skúsený rohanský jazdec
trp_c4_veteran_rider_of_rohan_pl|Skúsení rohanskí jazdci
trp_c5_elite_rider_of_rohan|Elitný jazdec z Rohanu
trp_c5_elite_rider_of_rohan_pl|Elitní jazdci z Rohanu
trp_c6_rider_guard_of_rohan|Eorlov rohanský strážca
trp_c6_rider_guard_of_rohan_pl|Eorlova rohanská stráž
trp_i6_2h_guard_of_rohan|Helmov Strážca z Rohanu
trp_i6_2h_guard_of_rohan_pl|Helmovi Strážci z rohanu
trp_dismounted_veteran_skirmisher_of_rohan|Skúsený ľahký kavalerista z Rohanu
trp_dismounted_veteran_skirmisher_of_rohan_pl|Skúsená ľahká jazda Rohanu
trp_dismounted_elite_skirmisher_of_rohan|Elitný ľahký kavalerista z Rohanu
trp_dismounted_elite_skirmisher_of_rohan_pl|Elitná ľahká jazda Rohanu
