itm_horse_meat|Konské Mäso
itm_gondor_lam_horse|Lamedonský Obrnený Kôň
itm_lorien_warhorse|Lothlorienský Vojenský Kôň
itm_harad_horse|Haradský Kôň
itm_harad_warhorse|Haradský Vojnový Kôň
itm_variag_pony|Varjagský Poník
itm_variag_kataphrakt|Východniarsky Vojnový Kôň
itm_warg_1b|Vrok
itm_warg_1c|Vrok
itm_warg_1d|Vrok
itm_wargarmored_1b|Obrnený Vrok
itm_wargarmored_1c|Obrnený Vrok
itm_wargarmored_2b|Obrnený Vrok
itm_wargarmored_2c|Obrnený Vrok
itm_wargarmored_3a|Obrnený Vrok
itm_warg_reward|Obrovský Vrok
itm_tree_trunk_club_a|Kmeň Stromu
itm_giant_mace|Obrý palcát
itm_troll_shield_a|Štít zlobra
itm_arrows|Šípy
itm_gondor_arrows|Gondorské Šípy
itm_orc_javelin|Ťažký ohyzdí oštep
itm_khergit_arrows|Rohanské Šípy
itm_harad_arrows|Haradské Šípy
itm_corsair_arrows|Korazárske Šípy
itm_ithilien_arrows|Ithilienské Šípy
itm_woodelf_arrows|Šípy Lesných Elfov
itm_elven_arrows|Elfské Šípy
itm_orc_hook_arrow|Hákové Šípy Ohyzdov
itm_isengard_arrow|Isengradské Šípy
itm_leather_gloves|Kožené rukavice
itm_mail_mittens|Krúžkové rukavice
itm_leather_boots|Kožené topánky
itm_leather_boots_dark|Jazdecké čižmy
itm_splinted_greaves|Ohybné holenice
itm_white_tunic_a|Mešťanský odev
itm_rohan_shoes|Kožené topánky
itm_furry_boots|Kožušinové topánky
itm_black_tunic|Čierna tunika
itm_hood_black|Čierna kapucňa
itm_hood_green|Zelená kapucňa
itm_hood_grey|Šedá kapucňa
itm_hood_leather|Kožená kapucňa
; itm_mail_coif|Mail Coif
itm_axe_a|Severanská sekera
itm_axe_b|Sekera starých severanov
itm_axe_c|Severanská sekera
itm_axe_d|Severanská sekera
itm_long_bearded_axe|Helebarda starých severanov
itm_2_handed_axe|Severanská helebarda
itm_shortened_spear|Skrátená kopija
itm_spear|Kopija
itm_light_lance|Ľahká žrď
itm_lance|Žrď
itm_tab_shield_small_round_b|Guľatý jazdecký štít
itm_short_bow|Krátky luk
itm_regular_bow|Luk
itm_nomad_bow|Kočovnícky luk
itm_gondor_bow|Gondorský luk
itm_strong_bow|Silný luk
itm_elven_bow|Elfský luk
itm_corsair_bow|Korzársky luk
itm_dwarf_horn_bow|Trpasličí luk z rohoviny
itm_dwarf_short_bow|Trpasličí krátky luk
itm_harad_bow|Haradský zakrivený luk
itm_lg_bow|Luk Orlej Stráže
itm_riv_bow|Luk z Roklinky
itm_rhun_bow|Balchothský luk
itm_lorien_bow|Lothlorienský luk Galadhrim
itm_isengard_large_bow|Isengardský veľký luk
itm_dale_bow|Dálsky luk
itm_uruk_bow|Ohyzdí luk z rohoviny
itm_mirkwood_bow|Luk Lesných Elfov
itm_dunland_javelin|Oštepy z Vrchoviny
itm_orc_throwing_arrow|Ohyzdie šípové oštepy
itm_heavy_throwing_spear|Ťažký vrhací oštep
itm_javelin|Vrhacia kopija
itm_harad_javelin|Haradská vrhacia kopija
itm_gondor_javelin|Gondorská vrhacia kopija
itm_rohirrim_throwing_axe|Severanské vrhacie sekery
itm_loss_throwing_axes|Lossarnachské vrhacie sekery
itm_arnor_helm_c|Arnorská zdobená helma
itm_arnor_helm_b|Arnorská helma
; itm_arnor_helm_a|Arnor Light Helm
; itm_arnor_light_a|Dunedain Ranger Jerkin
; itm_arnor_light_b|Dunedain Ranger Mail
; itm_arnor_med_a|Dunedain Ranger Coat
; itm_arnor_med_b|Dunedain Mail
itm_arnor_heavy|Arnorské šlachtické brnenie
itm_arnor_greaves|Arnorské holenice
itm_arnor_shield_c|Arnorský jazdecký štít
; itm_arnor_shield_a|Arnor Round Shield
; itm_arnor_sword_c|Arnor War Sword
itm_arnor_sword_a|Arnorský meč Bastard
itm_arnor_sword_f|Arnosrký krátky meč
itm_riv_helm_a|Roklinská čiapka
itm_riv_helm_b|Roklinský lukostrelecká helma
itm_riv_helm_c|Roklinská pechotná helma
itm_tiara_reward|Elfská lordská čelenka
itm_riv_shield_a|Štít Roklinky
itm_riv_shield_b|Štít Roklinky
itm_riv_bas_sword|Roklinský meč Bastard
itm_riv_1h_sword|Roklinský meč
itm_riv_riding_sword|Roklinský dlhý meč
itm_riv_archer_sword|Roklinský krátky meč
itm_riv_spear|Roklinská kopija
itm_riv_light|Roklinská tunika
itm_riv_leather|Roklinské kožené brnenie
itm_riv_foot_mail|Roklinské krúžkové brnenie
itm_riv_foot_scale|Roklinské šupinové brnenie
itm_riv_surcoat|Roklinský varkoč
itm_riv_knight|Roklinské rytierske brnenie
itm_riv_armor_h_archer|Roklinské brnenie
itm_riv_boots|Roklinské topánky
itm_gon_footman|Gondorská drôtená košeľa
itm_gon_jerkin|Gondorská vesta
itm_gon_regular|Gondorská ťažká drôtená košeľa
itm_gon_bowman|Gondorské prešívané brnenie
itm_gon_archer|Gondorské prešívané brnenie s plášťom
itm_gon_noble_cloak|Gondorská šlachtická vesta
itm_gon_squire|Gondorské krúžkové brnenie s plášťom
itm_gon_knight|Gondorské ťažké krúžkové brnenie s plášťom
itm_gon_ranger_cloak|Gondorský plášť hraničiarov
itm_gon_ranger_skirt|Gondorská hraničiarská sukňa
itm_gon_steward_guard|Gondorské brnenie pobočníkovej stráže
itm_gon_tower_guard|Gondorské brnenie strážcov Veže
itm_gon_tower_knight|Gondorské brnenie rytierov Veže
itm_gon_leader_surcoat_cloak|Gondorská veliteľská rytierska tunika
itm_gondor_ranger_hood|Zelená kapucňa
itm_gondor_ranger_hood_mask|Gonroská kapucňa hraničiarov
itm_gondor_light_greaves|Gondorské kožené holenice
itm_gondor_med_greaves|Gondorské stredne dobré holenice
itm_gondor_heavy_greaves|Gondorské krúžkové holenice
itm_gondor_auxila_helm|Gondorská ľahká prilba
itm_gondorian_archer_helm|Gondorská lukostrelecká prilba
itm_tower_archer_helm|Helma lukostrelcov Veže
itm_gondor_leader_helm|Gondorská šlachtická helma
itm_tower_guard_helm|Helma stráže Veže
itm_gondor_citadel_knight_helm|Helma rytierov Citadely
itm_gondor_infantry_helm|Gondorská pechotná helma
itm_gondor_knight_helm|Gondorská jazdecká prilba
itm_gondor_dolamroth_helm|Dol Amrothská helma
itm_swan_knight_helm|Helma labutích rytierov
itm_gondor_lamedon_helm|Lamedonská helma
itm_gondor_lamedon_leader_helm|Lamedonská šlachtická helma
itm_blackroot_archer|Čiernodolská prešívanica s plášťom
itm_blackroot_bowman|Čiernodolský kabátec s plášťom
itm_blackroot_footman|Čiernodolský kabátec
itm_blackroot_warrior|Čiernodolská prešívanica
itm_blackroot_leader|Čiernodolský hauberk
itm_blackroot_hood|Čierna kapucňa
itm_dol_hauberk|Dol Amrothská krúžková zbroj
itm_dol_heavy_mail|Dol Amrothská ťažká drôtená košeľa
itm_dol_padded_coat|Dol Amrothský vystužený kabát
itm_dol_shirt|Dol Amrothská košeľa
itm_dol_very_heavy_mail|Dol Amrothská veľmi ťažká drôtená košeľa
itm_dol_greaves|Dol Amrothské holenice
itm_dol_shoes|Dol Amrothské ľahké topánky
itm_lamedon_clansman|Lamedonské klanové brnenie
itm_lamedon_footman|Lamedonské pešiacke brnenie
itm_lamedon_knight|Lamedonské rytierske brnenie
itm_lamedon_leader_surcoat_cloak|Lamedonské veliteľské brnenie
itm_lamedon_warrior|Lamedonské bojovnícke brnenie
itm_lamedon_veteran|Lamedonské veteránske brnenie
itm_lamedon_vet_warrior|Lamedonské brnenie veterána
itm_lamedon_hood|Kapucňa
itm_pinnath_archer|Pinnath Gelinské lukostrelecké brnenie
itm_pinnath_footman|Pinnath Gelinské pešiacké brnenie
itm_pinnath_leader|Brnenie rytierov z Pinnath Gelinu
itm_pinnath_vet_footman|Pinnath Gelinské brnenie skúseného pešiaka
itm_pinnath_warrior|Pinnath Gelinské bojovnícke brnenie
itm_pel_footman|Pelargirské pešiacke brnenie
itm_pel_jerkin|Pelargirská vesta
itm_pel_leader|Pelargirské veliteľské brnenie
itm_pel_marine|Pelargirský námorník
itm_pelargir_marine_leader|Pelargirský námorný veliteľ
itm_pelargir_regular|Pelargirský zelenáč
itm_pelargir_hood|Biela kapucňa
itm_pelargir_helmet_light|Pelargirská prilba
itm_pelargir_helmet_heavy|Pelargirský ťažká pribla
itm_pelargir_greaves|Pelargirské holenice
itm_lossarnach_shirt|Lossarnachská košeľa
itm_lossarnach_axeman|Lossarnachské sekernícke brnenie
itm_lossarnach_leader|Lossarnachské veliteľské brnenie
itm_lossarnach_vet_axeman|Lossarnachské brnenie skúseného sekerníka
itm_lossarnach_vet_warrior|Lossarnachské brnenie skúseného vojaka
itm_lossarnach_warrior|Lossarnachské bojovnícke brnenie
itm_lossarnach_cloth_cap|Lossarnachská plátená čiapka
itm_lossarnach_leather_cap|Lossarnachská kožená čiapka
itm_lossarnach_scale_cap|Lossarnachská šupinatá čiapka
itm_lossarnach_greaves|Lossarnachské holenice
itm_gondor_shield_a|Gondorský štvorcový štít
itm_gondor_shield_b|Gondorský štít vo tvare slzy
itm_gondor_shield_c|Gondorský štít Veže
itm_gondor_shield_d|Gondorský štít vo tvare slzy
itm_gondor_shield_e|Gondorský Štít z Citadely
itm_gon_tab_shield_a|Heraldický guľatý štít Gondoru
itm_gon_tab_shield_b|Heraldický štvorcový štít Gondoru
itm_gon_tab_shield_c|Heraldický štít vo tvare slzy Gondoru
itm_gon_tab_shield_d|Heraldický štít Gondorskej Veže
itm_amroth_sword_a|Dol Amrothský meč
itm_amroth_sword_b|Dol Amrothský rytiersky meč
itm_gondor_sword|Gondorský pechotný meč
itm_amroth_bastard|Dol Amrothský labutí meč
itm_gondor_short_sword|Linhirský krátky meč
itm_pelargir_eket|Pelargirský krátky meč
itm_pelargir_sword|Pelargirský meč
itm_gondor_ranger_sword|Gondorský hraničiarský meč
; itm_gondor_2h_sword|Gondor War Sword
itm_gondor_citadel_sword|Gondorský meč Citadely
itm_gondor_cav_sword|Gondorský jazdecký meč
itm_gondor_spear|Gondorská kopija
itm_gondor_tower_spear|Gondorská kopija Veže
itm_gondor_lance|Gondrorská dlhá žrď
; itm_loss_axe|Gondor Fighting Axe
; itm_loss_war_axe|Gondor War Axe
itm_lorien_sword_a|Lorienský dlhý meč
itm_lorien_sword_b|Lorienský krátky meč
itm_lorien_sword_c|Lorienský vojnový meč
itm_lorien_archer|Lorienské lukostrelecké brnenie
itm_lorien_armor_a|Lorienské prešívané brnenie
itm_lorien_armor_b|Lorienské krúžkové brnenie
itm_lorien_armor_c|Lorienské šupinové brnenie
itm_lorien_boots|Lorienské topánky
itm_lorien_shield_b|Lorienský vežový štít 
itm_lorien_shield_c|Lorienský štít vo tvare slzy
itm_lorien_round_shield|Lorienský guľatý štít
itm_lorien_helm_a|Lorienská lukostrelecká prilba
itm_lorien_helm_b|Lorienská lukostrelecká prilba
itm_lorien_helm_c|Lorienská pechotná prilba
itm_orc_coif|Ohyzdia prilba z lebky
itm_orc_greaves|Ohyzdie krúžkové topánky
itm_orc_ragwrap|Ohyzdia šatka
itm_orc_furboots|Ohyzdie kožušinové topánky
itm_orc_tribal_a|Neopracovaná koža
itm_orc_tribal_b|Neopracovaná koža
itm_orc_tribal_c|Neopracovaná koža
itm_evil_gauntlets_a|Čierne rukavice
itm_evil_gauntlets_b|Čierne kovové rukavice
; itm_isen_orc_light_a|Isengard Orc Light Harness
; itm_isen_orc_light_b|Isengard Orc Light Harness
; itm_isen_orc_pad_a|Isengard Orc Light Segmented Armor
; itm_isen_orc_pad_b|Isengard Orc Medium Segmented Armor
; itm_isen_orc_mail_a|Isengard Orc Mail
; itm_isen_orc_mail_b|Isengard Orc Heavy Segmented Armor
itm_isen_uruk_light_a|Uruk-haiský ľahký postroj
; itm_isen_uruk_light_b|Uruk-hai Fighting Harness
; itm_isen_uruk_light_c|Uruk-hai Berserker Harness
; itm_isen_uruk_med_a|Uruk-hai Light Segmented Armour
; itm_isen_uruk_med_b|Uruk-hai Mail
; itm_isen_uruk_heavy_a|Uruk-hai Medium Segmented Armour
; itm_isen_uruk_heavy_b|Uruk-hai Heavy Mail
; itm_isen_uruk_heavy_c|Uruk-hai Full Segmented Armour
itm_isen_uruk_heavy_d|Uruk-haiský stopársky odev
itm_isen_uruk_heavy_e|Uhyzd-haiský stopársky odev
itm_uruk_tracker_boots|Urukské stopárske topánky
itm_uruk_greaves|Urukské holenice
itm_uruk_chain_greaves|Urukské drôtené holenice
itm_uruk_ragwrap|Urukská šatka
; itm_isen_orc_helm_a|Isengard Orc Helm
itm_isen_uruk_helm_a|Uruk-Haiská helma
itm_isen_uruk_helm_d|Uruk-Haiská kapitánska helma
itm_isen_uruk_helm_e|Uruk-Haiská stopárska helma
itm_uruk_pike_b|Mordorská píka
itm_uruk_falchion_a|Urukský Falchion
itm_uruk_falchion_b|Veľká ohyzdia šabľa
itm_isengard_sword|Isengardský meč
itm_isengard_axe|Isengardská sekera
itm_isengard_hammer|Isengardské kladivo
itm_isengard_halberd|Isengardská halapartňa
itm_isengard_mallet|Isengardský kropáč
itm_isengard_heavy_axe|Isengardská ťažká sekera
itm_isengard_heavy_sword|Isengardský ťažký meč
itm_isengard_spear|Isengardská kopija
itm_isengard_pike|Isengardská dlhá kopija
itm_isen_orc_shield_a|Isengardský ohyzdí štít
itm_isen_orc_shield_b|Isengardský ohyzdí štít
itm_isen_uruk_shield_b|Isengardský urukský štít
itm_wood_club|Kyjak
itm_twohand_wood_club|Veľký kyjak
itm_bone_cudgel|Palica z kostí
; itm_orc_pick|Orc Pick
itm_orc_hammer|Temné kladivo
itm_orc_club_b|Kyjak vročieho jazdca
itm_orc_club_c|Ohyzdí kyj obitý klincami
itm_orc_club_d|Temný palcát
itm_orc_sledgehammer|Ohyzdie tupé kladivo
itm_orc_simple_spear|Ohyzdia kopija
itm_orc_skull_spear|Ohyzdia lebková kopija
itm_orc_bill|Ohyzdia kosa
itm_orc_slasher|Krátky ohyzdí meč
itm_orc_falchion|Ohyzdí Falchion
itm_orc_scimitar|Ohyzdia zakrivená šabľa
itm_orc_sabre|Ohyzdia šabľa
itm_orc_battle_axe|Ohyzdia bojová sekera
itm_orc_axe|Ohyzdia sekera
itm_orc_two_handed_axe|Ohyzdia veľká sekera
itm_orc_throwing_axes|Ohyzdie hádzacie sekery
itm_orc_bow|Ohyzdí luk
; itm_orc_shield_a|Simple Shield
; itm_orc_shield_b|Fur Shield
; itm_orc_shield_c|Fur Tower Shield
itm_mordor_orc_shield_a|Mordorský ohyzdí štít
itm_mordor_orc_shield_b|Mordorský ohyzdí štít
itm_mordor_orc_shield_c|Mordorský ohyzdí štít
itm_mordor_orc_shield_d|Mordorský ohyzdí štít
itm_mordor_orc_shield_e|Mordorský ohyzdí štít
itm_mordor_uruk_shield_a|Mordorský Urukský štít
itm_mordor_uruk_shield_b|Mordorský Urukský štít
itm_mordor_uruk_shield_c|Mordorský Urukský štít
itm_mordor_man_shield_a|Mordorský ľudský štít
itm_mordor_man_shield_b|Mordorský ľudský štít
itm_angmar_shield|Angmarský štít
itm_orc_nosehelm|Ohyzdia prilba s nánosníkom
itm_orc_kettlehelm|Ohyzdia hrncová prilba
itm_orc_buckethelm|Ohyzdia hrncová helma
itm_orc_morion|Ohyzdí Morion
itm_orc_beakhelm|Ohyzdia zobcovitá helma
itm_orc_bughelm|Ohyzdia hmyzia helma
itm_orc_visorhelm|Ohyzdia prilba s priezorom
itm_m_orc_light_a|Mordorské ľahké ohyzdie brnenie
itm_m_orc_light_b|Mordorské ľahké ohyzdie brnenie
itm_m_orc_light_c|Mordorské ľahké ohyzdie brnenie
itm_m_orc_light_d|Mordorské ľahké ohyzdie brnenie
itm_m_orc_light_e|Mordorské ľahké ohyzdie brnenie
itm_m_orc_heavy_a|Mordorské ťažké ohyzdie brnenie
itm_m_orc_heavy_b|Mordorské ťažké ohyzdie brnenie
itm_m_orc_heavy_c|Mordorské ťažké ohyzdie brnenie
itm_m_orc_heavy_d|Mordorské ťažké ohyzdie brnenie
itm_m_orc_heavy_e|Mordorské ťažké ohyzdie brnenie
itm_m_uruk_light_a|Urukský postroj
itm_m_uruk_light_b|Urukské kožené brnenie
itm_m_uruk_light_c|Urukský ľahký hauberk
itm_m_uruk_med_a|Urukská Ťažká Varená Koža
itm_m_uruk_med_b|Urukský Ťažký Hauberk
itm_m_uruk_med_c|Urukské ľahké šupinové brnenie
itm_m_uruk_heavy_a|Urukské ťažké šupinové brnenie
itm_m_uruk_heavy_b|Urukské plátové brnenie
itm_m_uruk_heavy_c|Lugburz Plátové brnenie
itm_m_cap_armor|Mordorské kapitánské brnenie
itm_black_num_armor|Čierno-Númenorejské brnenie
itm_m_armor_a|Mordorské brnenie
itm_m_armor_b|Mordorské brnenie
itm_evil_light_armor|Zlovestný háv
itm_uruk_helm_a|Urukská helma
itm_uruk_helm_b|Urukská helma
itm_uruk_helm_c|Urukská zobcovitá helma
itm_uruk_helm_d|Urukská gladiátorká helma
itm_uruk_helm_e|Urukská masková helma
itm_uruk_helm_f|Urukská helma
itm_mordor_cap_helm|Mordorská kapitánska helma
itm_mordor_helm|Mordorská helma
itm_black_num_helm|Čierno-Númenorejská helma
itm_mordor_sword|Mordorský meč Bastard
itm_mordor_longsword|Mordorský meč
itm_moria_armor_a|Mórijský hrudný postroj
itm_moria_armor_b|Mórijský hrudný a ramenný postroj
itm_moria_armor_c|Mórijská ohyzdia drôtená košeľa
itm_moria_armor_d|Mórijský spevnený odev
itm_moria_armor_e|Mórijská ohyzdia ťažká drôtená košeľa
itm_moria_orc_shield_a|Mórijský Veľký Štít
itm_moria_orc_shield_b|Mórijský ohyzdí štít
itm_moria_orc_shield_c|Mórijský ohyzdí štít
itm_gundabad_armor_a|Gundabadské ohyzdie zdrapy
itm_gundabad_armor_b|Gundabadská ohyzdia kožušina
itm_gundabad_armor_c|Gundabadské ohyzdie brnenie
itm_gundabad_armor_d|Gundabadské ohyzdie brnenie
itm_gundabad_armor_e|Gundabadské ohyzdie ťažké brnenie
itm_gundabad_helm_a|Kožená čapica
itm_gundabad_helm_b|Kožená helma
itm_gundabad_helm_c|Gundabadská helma
itm_gundabad_helm_d|Gundabadská helma
itm_gundabad_helm_e|Helma vročieho jazdca
itm_dunland_wolfboots|Vrchovecké vĺčie topánky
; itm_dunland_tunic_1|Dunnish Leather Tunic
; itm_dunland_tunic_2|Dunnish Leather Tunic
; itm_dunland_fur_1|Dunnish Fur
; itm_dunland_fur_2|Dunnish Fur
itm_dunland_mail_1|Vrchovecká krúžková zbroj
itm_dunland_mail_2|Vrchovecká krúžková zbroj
; itm_dunland_chieftain|Dunnish Chief Armor
itm_dun_helm_a|VRchovecká vlčia čiapka
; itm_dun_helm_b|Dunnish Fur Cap
itm_dun_helm_c|Vrchovecká vysoká prilba
itm_dun_helm_d|Vrchovecká vysoká prilba
itm_dun_helm_e|Vrchovecká parohatá prilba
; itm_dun_shield_a|Dunnish Roundshield
; itm_dun_shield_b|Dunnish Oval Shield
itm_dun_berserker|Vrchovecký náčelnícky meč
itm_dunnish_antler_axe|Vrchovecká sekera z rohoviny
itm_dunnish_war_axe|Vrchovecká vojnová sekera
itm_dunnish_axe|Vrchovecká sekera
itm_dunland_spear|Vrchovecká kopija
itm_dunnish_pike|Vrchovecká dlhá kopija
itm_rohan_cav_sword|Rohanský jazdecký meč
itm_rohan_inf_sword|Rohanský meč
itm_rohan_spear|Rohanská dlhá kopija
itm_rohan_lance|Rohanská žrď
itm_rohan_sword_c|Rohanský meč
itm_rohirrim_short_axe|Rohirrská krátka sekera
itm_rohirrim_long_hafted_axe|Rohirrská dlhá sekera
itm_rohan_2h_sword|Rohanský vojnový meč
itm_rohan_recruit|Rohanská prešívanica
itm_rohan_leather|Rohanská kožená vesta
itm_rohan_mail|Rohanská krúžková zbroj
itm_rohan_rider|Rohanské jazdecké brnenie
itm_rohan_scale|Rohanské šupinové brnenie
itm_rohan_surcoat|Rohanský varkoč
itm_rohan_guard|Rohanské strážnické brnenie
itm_rohan_light_helmet_a|Rohanská ľahká prilba
itm_rohan_light_helmet_b|Rohanská ľahká prilba
itm_rohan_inf_helmet_a|Rohanská prilba s priezorom
itm_rohan_inf_helmet_b|Rohanská helma s priezorom
itm_rohan_archer_helmet_a|Rohanská prilba s nánosníkom
itm_rohan_archer_helmet_b|Rohanská helma s nánosníkom
itm_rohan_archer_helmet_c|Rohanská strážnická prilbica
itm_rohan_shield_a|Rohanský štít
itm_rohan_shield_b|Rohanský štít
itm_rohan_shield_c|Rohanský štít
itm_rohan_shield_d|Rohanský štít
itm_rohan_shield_e|Rohanský štít
itm_rohan_shield_f|Rohanský štít
itm_rohan_shield_g|Rohanský šľachtický štít
itm_rohan_light_greaves|Rohanské ľahké holenice
itm_rohirrim_war_greaves|Rohirrské vojenské holenice
itm_mirkwood_leather|Brnenie lesných elfov
itm_mirkwood_pad|Temnohvozdský prešívaný kabát
itm_mirkwood_mail|Temnohvozdské krúžkové brnenie
itm_mirkwood_scale|Temnohvozdské ľahké šupinové brnenie
itm_mirkwood_heavy_scale|Zelenohvozdská listová košeľa
itm_mirkwood_sword|Meč lesných elfov
itm_mirkwood_great_spear|Temnohvozdská veľká kopija
itm_mirkwood_war_spear|Temnohvozdská vojnová kopija
itm_mirkwood_short_spear|Kopija lesných elfov
itm_mirkwood_knife|Nôž lesných elfov
itm_mirkwood_axe|Sekera lesných elfov
itm_mirkwood_spear_shield_a|Štít lesných elfov
itm_mirkwood_spear_shield_b|Vojnový štít lesných elfov
itm_mirkwood_spear_shield_c|Okrúhly štít lesných elfov
itm_mirkwood_helm_a|Lukostrelecká prilba lesných elfov
itm_mirkwood_helm_b|Temnohvozdská prilba
itm_mirkwood_helm_c|Temnohvozdská ťažká prilba
itm_mirkwood_helm_d|Temnohvozdská kráľovská prilba
; itm_woodelf_leather_boots|Woodelf Leather Boots
; itm_mirkwood_boots|Greenwood Boots
itm_harad_tunic|Haradská tunika
; itm_harad_padded|Harad Padded Jerkin
; itm_harad_lamellar|Harad Scale Vest
; itm_harad_heavy_lamellar|Harad Heavy Scale Vest
itm_harad_heavy|Harasjalské brnenie
; itm_harad_pectoral|Harad Breastplate
itm_black_snake_armor|Marankské brnenie
itm_harad_champion|Odev Ďalekého Haradu
itm_harad_scale|Haradské šupinové brnenie
itm_harad_lion_scale|Brnenie Leviej stráže
itm_harad_dragon_helm|Kiloksá helma
; itm_harad_cav_helm_a|Harondor Light Helm
; itm_harad_cav_helm_b|Harondor Light Helm
itm_black_snake_helm|Marankská helma
; itm_harad_finhelm|Harad Heavy Footman Helmet
; itm_harad_heavy_inf_helm|Harad Footman Helmet
; itm_harad_wavy_helm|Harad Conical Helmet
itm_harad_eaglehelm|Helma Orliej stráže
itm_lion_helm|Helma Leviej stráže
itm_harad_pantherhelm|Čiapka Pantérskej stráže
itm_harad_khopesh|Haradský bojový kosák
; itm_black_snake_sword|Harad Cobra Sword
; itm_harad_heavy_sword|Harad Dragon Sword
itm_horandor_a|Haradská zakrivená šabľa
itm_skirmisher_sword|Haradský šermiarský meč
; itm_harad_sabre|Harad Salamander Sword
itm_harad_mace|Palcát Ďalekého Haradu
itm_far_harad_2h_mace|Obojručný kyj Ďalekého Haradu
itm_harad_dagger|Haradský nôž
itm_harad_short_spear|Haradská krátka kopija
itm_harad_long_spear|Haradská kopija
itm_eagle_guard_spear|Harasjalská tyč
itm_harad_long_shield_a|Haradský leopardí štít
itm_harad_long_shield_b|Haradský bronzový štít
itm_harad_long_shield_c|Haradský slnečný štít
itm_harad_long_shield_d|Haradský hadí štít
itm_harad_long_shield_e|Haradský hadí štít
itm_harad_shield_a|Harondorský štít
itm_harad_shield_b|Harondorský drobný štít
itm_harad_shield_c|Harondorský drobný štít
itm_harad_yellow_shield|Haradský štít
itm_desert_boots|Dezertérske topánky
; itm_harad_leather_greaves|Harad Leather Greaves
itm_harad_scale_greaves|Haradské holenice
; itm_harad_lamellar_greaves|Harad Splinted Greaves
itm_khand_inf_helm_a|Khandská helma
itm_khand_inf_helm_b|Khandská helma
itm_khand_inf_helm_c1|Khandská misová prilba
itm_khand_inf_helm_c2|Khandská misová prilba
itm_khand_inf_helm_d|Khandská kužeľová prilba
itm_khand_cav_helm_a|Khandská jazdecká prilba
itm_khand_cav_helm_b|Khandská jazdecká prilba
itm_khand_cav_helm_c|Khandská zdobená helma
itm_khand_helm_mask|Khandská maska
itm_khand_light|Khandský šorc
; itm_khand_light_lam|Khand Light Footmen Armor
; itm_khand_foot_lam|Khand Heavy Footman Armor
itm_khand_med_lam|Khandské stredné lamelové brnenie
itm_khand_heavy_lam|Khandské ťažké lamelové brnenie
; itm_khand_mail|Khand Mail
itm_khand_noble_lam|Khandské šľachtické brnenie
itm_khand_axe_great|Khandská veľká sekera
itm_khand_axe_winged|Khandská okrídlená sekera
itm_khand_halberd|Khandská halapartňa
itm_khand_trident|Khandský trojzubec
itm_khand_voulge|Khandská sudlica
itm_khand_mace1|Khandský palcát
itm_khand_mace2|Khandský palcát
itm_khand_throwing_axe|Khandská vrhacia sekera
itm_khand_rammace|Khandský lamelový palcát
itm_khand_pitsword|Gladiátorský meč
itm_khand_tulwar|Khandský prehnutý meč
; itm_khand_2h_tulwar|Khand Great Tulwar
itm_khand_lance|Khandská žrď
itm_easterling_round_horseman|Východniarský guľatý štít
itm_variag_gladiator_shield|Východniarsky zápasnícky štít
