
str_yes|Áno.
str_tutorial_1_msg_3|Výborne. Ďalšou časťou tohto návodu je útok so zbraňami na blízko. Výpad so zbraňou, ktorú máš práve zvolenú, zahájiš ľavým tlačidlom myši. Stisni a drž tlačidlo pre prípravu útoku, pre útok samotný ho pusť. Pokiaľ držíš ľavé tlačidlo myši chvíľu pred samotným útokom, bude tvoj útok silnejší. Teraz vytiahni svoj meč a znič štyroch pajácov v miestnosti.
str_tutorial_1_msg_4|Dobrá práca! Zničil si všetkých pajácov. Teraz sa môžeš presunúť do ďalšej miestnosti.
str_tutorial_1_msg_5|Ako vidíš, na konci miestnosti stojí terč. Tvojou ďalšou úlohou bude trafiť ho tri krát pomocou luku. Stisni a drž ľavé tlačidlo myši pre napnutie luku. Šíp môžeš vystreliť pustením ľavého tlačidla. Všimni si mieridla uprostred obrazovky. To ti ukazuje presnosť tvojho výstrelu. Aby si dosiahol čo najvhodnejšej presnosti, vypusť šíp keď je mieridlo čo najmenšie. Teraz skús trafiť terč.
str_tutorial_1_msg_6|Výborne! Naučil si sa základy pohybu a útoku. S trochou cviku sa ich určite naučíš znamenite ovládať. V druhom návode sa naučíš viac o pokročilých bojových schopnostiach a tiež budeš čeliť ozbrojeným súperom. Môžeš stisnúť klávesu TAB kedykoľvek sa budeš chcieť vrátiť do menu návodu.
str_tutorial_2_msg_1|V tomto návode sa naučíš sebaobrane so štítom a boju s ozbrojenými protivníkmi. Nateraz je tvojou jedinou výstrojou štít. Tvojou úlohou nie je útočiť, ale úspešne sa ním obrániť pred zranením. V ďalšej miestnosti na teba čaká ozbrojený protivník. Urobí všetko, čo je v jeho silách, aby ťa omráčil, pričom sa ty musíš brániť so štítom držaním pravého tlačidla myši. Choď do ďalšej miestnosti a čel svojmu sokovi. Pamätaj, že môžeš kedykoľvek stisnúť klávesu TAB pre opustenie návodu či ktorejkoľvek oblasti v hre.
str_tutorial_2_msg_2|Stisni a drž pravé tlačidlo myši pre vzpriamenie štítu do obrannej polohy. Skús držať svoje postavenie bez pohybu tridsať sekúnd. Musíš vydržať ešte {reg3} sekúnd.
str_tutorial_2_msg_3|Výborne, úspešne sa ti podarilo obrániť pred ozbrojeným protivníkom. V ďalšej časti tohoto návodu budeš stáť so štítom proti nepriateľským lukostrelcom. Choď do ďalšej miestnosti keď im budeš pripravený čeliť.
str_tutorial_2_msg_4|Bráň sa pred šípmi nadvihnutím tvojho štítu pravým tlačidlom myši. Skús držať svoje postavenie po tridsať sekúnd. Musíš ešte vydržať {reg3} sekúnd.
str_tutorial_2_msg_5|Výborne, podarilo sa ti ubrániť pred lukostrelcami. V ďalšej miestnosti na teba čaká odmena.
str_tutorial_2_msg_6|V základnom nastavení ovládania slúži klávesa F na neútočnú odpoveď voči veciam a ľuďom v prostredí sveta hry. Pre zodvihnutie meča z oltára sa pozri smerom naň a stlač F, keď uvidíš slovo ´Vziať´.
str_tutorial_2_msg_7|Dobrá oceľ! Využi ju pre svoju odplatu. Vráť sa do predošlej miestnosti a vysporiadaj sa s lukostrelcami.
str_tutorial_2_msg_8|Veľmi dobre. Tvojou poslednou úlohou pred ukončením tohto návodu bude čeliť panošovi. Choď do ďalšej miestnosti a daj mu okúsiť svoju čepeľ!
str_tutorial_2_msg_9|Gratulujem! Už si sa naučil ako sa ubrániť pomocou štítu a okúsil si i boj s ozbrojenými protivníkmi. S trochou cviku sa určite staneš uznávaným bojovníkom. Ďalší návod zahrňuje obranu podľa smeru, čo je jeden z najdôležitejších prvkov v boja v Mount&Blade. Môžeš kedykoľvek stlačiť klávesu TAB pre návrat do menu návodu.
str_tutorial_3_msg_1|V tomto návode získaš prehľad o odrážaní úderov a obrane bez štítu. Odrážanie úderov so zbraňou je o niečo ťažšie než obrana so štítom. Pokiaľ sa brániš zbraňou, si chránený len z jedného smeru, a to zo smeru na ktorý nastavíš svoju zbraň. Keď sa brániš zhora, odrazíš akýkoľvek útok mieriaci zvrchu, ale nezastavíš bočné ani bodavé útoky. Každý z týchto útokov by ťa i tak zasiahol. Preto, aby si prežil s bez štítu, sa musíš naučiť obranu podľa smeru. Choď a vezmi si sekeru pre započatie cviku.
str_tutorial_3_msg_2|Podľa základného nastavenia ovládania je smer, ktorý brániš (kliknutím a držaním pravého tlačidla myši) daný smerom útoku tvojho najbližšieho nepriateľa. Ak sa napríklad pripravuje na bodnutie, stisnutím a držaním pravého tlačidla myši budeš brániť bodavým útokom, ale nie útoky zo strán či zvrchu. Svojho nepriateľa musíš pozorne sledovať a zahájiť obranu AŽ PO TOM čo spustí svoj útok. Ak sa začneš brániť PRED TÝM, než začne útočiť, môže sa stať, že budeš brániť úplne iný smer, než na ktorý on útočí. Teraz je čas prejsť do nasledujúcej miestnosti, kde sa budeš musieť brániť proti ozbrojenému protivníkovi. Tvojou úlohou bude úspešne sa brániť po tridsať sekúnd bez výzbroje inej než obyčajnej sekery. Útoky tvojej sekery sú pre tento návod vypnuté, takže sa nemusíš zapodievať útokom. Miesto neho sa snaž brániť. Choď do ďalšej miestnosti, keď budeš pripravený na okamžitý útok.
str_tutorial_3_msg_3|Stisni a drž pravé tlačidlo myši pre obranu sekerou po tom, čo tvoj protivník zaháji útok. Skús vydržať tridsať sekúnd. Ostáva ešte {re3} sekúnd.
str_tutorial_3_msg_4|Výborne, obstál si v tejto skúške! Za chvíľu budeš čeliť horšiemu protivníkovy, ktorý ti obranu príliš neuľahčí. Choď do ďalšej miestnosti keď sa s ním budeš pripravený stretnúť.
str_tutorial_3_msg_5|Stisni a drž pravé tlačidlo myši pre obranu sekerou po tom, čo tvoj protivník zaháji útok. Skús vydržať tridsať sekúnd. Ostáva ešte {re3} sekúnd.
str_tutorial_3_msg_6|Gratulujem, držíš sa na nohách aj napriek úsiliu tvojich protivníkov dostať ťa do kolien. Nadišiel čas zlúčiť obranu s útokom. Choď k dverám a stisni klávesu F, keď uvidíš slovo ´Ísť´.
str_tutorial_3_2_msg_1|Útoky tvojej sekery boli znova zapnuté. Tvoj prvý protivník na teba čaká v ďalšej miestnosti. Poraz ho spojením útoku a obrany.
str_tutorial_3_2_msg_2|Poraz nepriateľa so sekerou.
str_tutorial_3_2_msg_3|Skvelé. Posledné, čo ti stojí v ceste, je tvoj záverečný sok. Je v ďalšej miestnosti. Vstúp a poraz ho.
str_tutorial_3_2_msg_4|Poraz nepriateľa so sekerou.
str_tutorial_3_2_msg_5|Výborne! V tomto návode si sa naučil, ako si vystačiť v boji bez štítu. Cvič tvrdo a poctivo a nik pre teba nebude prekážkou. V ďalšom návode sa naučíš jazdu a útok v sedle. Môžeš kedykoľvek stisnúť klávesu TAB pre návrat do menu návodu.
str_tutorial_4_msg_1|Vitaj vo štvrtom návode. V tejto časti sa naučíš ako jazdiť na koni/vrrkovi a ako bojovať zo sedla. Začneme tým, že doň prv vylezieš. Pristúp ku koňovi a stisni klávesu F, keď uvidíš slovo ´Nasadnúť´.
str_tutorial_4_msg_2|V sedle riadiš koňa klávesami WASD. Zajazdi si s ním a skús nasledovať vlajku. Keď ju dosiahneš, premiestni sa na ďalší bod na ceste, dokiaľ nedosiahneš cieľ.
str_tutorial_4_msg_3|Výborne. Teraz sa naučíš boj zo sedla. Pricválaj k vlajke.
str_tutorial_4_msg_4|Tas svoj meč (použitím kolečka myši) a znič štyri ciele. Skús trafiť pajácov v plnom cvale - je to ťažšie, ale čím rýchlejší si, tým silnejší bude tvoj výpad. Najľahší spôsob ako to urobiť je stisnúť a držať ľavé tlačidlo myši a pustiť ho v správny moment tesne pred tým, než precválaš popri cieli.
str_tutorial_4_msg_5|Výborná práca. Je čas skúsiť streľbu zo sedla. Doklusaj k vlajke.
str_tutorial_4_msg_6|Snaž sa trafiť terč s lukom tri krát. Aj keď sa nevyžaduje, aby si jazdil behom streľby, odporúča sa, aby si si vyskúšal streľbu za rôznej rýchlosti a rozličných uhlov pre okúsene toho, ako rýchlosť a smer jazdy koňa ovplyvňuje tvoje mierenie.
str_tutorial_4_msg_7|Blahoželám, ukončil si tento návod. Môžeš kedykoľvek stisnúť klávesu TAB pre návrat do menu návodu.
str_tutorial_5_msg_1|Vitaj v piatom a poslednom návode, v ktorom získaš prehľad o velení nad družinou v boji, jedným z najdôležitejších prvkov v Mount & Blade.^^Prvý druh povelov, ktoré sa musíš naučiť, sú pohybové príkazy, ktoré sa zjavia na obrazovke po stisnutí klávesy F1. Stisni ju a prezri si možnosti pohybu, ktoré môžeš prikázať svojím jednotkám v boji.^^Najprv svojim jednotkám prikáž, aby ťa následovali a vyjdi na pahorok, kde sa nachádza vlajka a ukazovateľ.
str_tutorial_5_msg_2|Výborne. Tvoje jednotky ťa následovali až na vrch. Teraz máš dobrý výhľad na bojové pole.^^Teraz prikáž svojím jednotkám, aby zostali na kopci stisnutím znova klávesy F1 a výberom Držte postavenie (F1).^^Môžeš si všimnúť, že jednotky ťa už nenasledujú a držia postavenie, ktoré si im určil.^^Je vhodná chvíľa pozrieť sa na druhé príkazové menu, ktorým vyvolávaš základné vojenské útvary.^^Toto príkazové menu ti dovoľuje prikázať jednotkám, aby sa tesnejšie zomkli, odolali vlne útoku pechoty alebo aby sa rozptýlili, ak po nich strieľajú salvy lukostrelci.^^Ak prikážeš jednotkám, aby postúpili či ustúpili o desať krokov, urobia tak držiac svoj útvar.^^Po preskúšaní si rôznych možností, prikáž svojím jednotkám, aby držali tento kopec a následne sa sám presuň na vrch oproti, kde je vlajka a ukazovateľ.
str_tutorial_5_msg_3|Dobre. Ako vidíš, pechota drží postavenie kde si im to prikázal. Teraz sa vydaj sám k veternému mlýnu.
str_tutorial_5_msg_4|Teraz máš pod svojim velením lukostrelcov. V Mount & Blade môžeš dávať rozličným oddielom ako pechote, lukostrelcom, či jazdectvu samostatné povely.^^Stisnutím kláves čísel si vyberáš oddiel, ktorému chceš dať rozkaz (1 pre Pechotu, 2 pre Lukostrelcov, 3 pre Jazdectvo). Následne môžeš použiť príkazové menu, ktoré sa zjaví, pre vybraný oddiel.^^Maj na pamäti, že tvoj vybraný oddiel je vybraný, dokiaľ nezvolíš iný a bude vykonávať všetky následné príkazy z príkazových menu (F1, F2, F3). Čítaj si správy, ktoré sa zjavujú na ľavej časti obrazovky aby si vedel, ktorý oddiel je volený pre nasledujúce príkazy.^^Teraz prikáž pechote, aby ťa následovala, potom prikáž lukostrelcom, aby ťa tiež následovali. Až budú všetci pohromade, vráť sa na kopec z ktorého si prišiel.^^Keď budeš tam, nájdi ukazovateľ a prikáž pechote, any tam šla a držala svoje postavenie držaním stisnutím klávesy 1 a následným držaním klávesy F1 pre zjavenie praporu. Používaj to pre prikázanie pohybu svojich jednotiek na presné miesto podľa tvojej voľby.^^Prikáž svojim lukostrelcom, aby sa pohli smerom k vlajke za ukazovateľom a navrch.
str_tutorial_5_msg_5|Tvoji muži sú na miestach, nepriatelia sa zoskupili a uháňajú smerom k vám. Použi svoje znalosti a manévruj svoju pechotu vpred s útvarom, alebo im prikáž zaútočiť. Príkaz Útok rozbíja všetky útvary a presúva tvoje jednotky k najbližším nepriateľom.^^Tiež môžeš svojich lukostrelcov umiestniť na vyvýšeninu pre výhodnejšie postavenie, alebo ich tiež umiestniť inde.^^Pre otvorenie tretieho príkazového menu stlač F3 a prezri si povely pre použitie rozličných druhov zbraní, ktoré môžeš prikázať svojim jednotkám.
str_tutorial_5_msg_6|Výborne! Dokončil si svoj prvý poľný boj v Mount & Blade. Schopné velenie nad tvojimi jednotkami v boji je kľúčom k víťazstvu. Precvičuj si prispôsobenie útvarov podľa členitosti povrchu do výhodných postavení.^^V Posledných Dňoch Tretieho Veku sú vložené zložitejšie útvary pre pokročilejšie úkony jednotiek ako napríklad Štítová Stena Pechoty alebo Klín Jazdectva. Tie sa môže naučiť v hre.^^Môžeš kedykoľvek stisnúť klávesu TAB pre opustenie tohto návodu.
str_trainer_help_1|Toto je cvičisko kde sa môžeš naučiť základy hry. Hýbeš sa pomocou kláves A, S, D, W, myšou určuješ smer zorného poľa.
str_trainer_help_2|Aby si prehovoril s cvičiteľom, pristúp k nemu, pozri sa smerom naň a stisni ´F´, keď uvidíš slovo "Porozprávať sa´ pod jeho menom. Ak budeš chcieť opustiť túto alebo ktorúkoľvek inú oblasť v hre či ustúpiť z boja, stlač klávesu TAB.
str_custom_battle_1|Angbor Nebojácny a jeho Gondorská družina narazili na Haradský oddiel posíl. Za bojového ryku popchne valacha vpred a vedúc svojich verných mužov do ľúteho boja.
str_custom_battle_2|Celeborn z Lorienu práve vedie hliadku jazdcov a lukostrelcov, keď jeho zvedovia prinesú správu o blížiacom sa voji mužov s popolavými tvárami. To sú hrôzostrašní Čierni Númenorejci! Už veky ich nik neuzrel v blízkosti hraníc Lothlorienu, ale teraz musia byť zahnaní späť do pekelného podsvetia.
str_custom_battle_3|Lord Grimbold z Rohanu vedie poslednú obranu hradieb proti armáde Isengardu. A teraz, keď sa nepriatelia pripravujú na konečný útok proti hradbám, on ich musí udržať s odvahou a jasnou čepeľou.
str_custom_battle_4|Keď zvedovia oboznámia Lorda Beranhelma o približujúcej sa armáde Rhunčanov, chvatne sa rozhodne vztýčiť obranu tábora a pokúsiť sa odolať veľkej presile.
str_custom_battle_5|Ugluk priviedol svojich divokých ohyzdov zo severu, ktorím sľúbil drancovanie a plienenie. Pokiaľ sa mu dnes podarí dobiť trpasličiu pevnosť, jeho páni v Barad-Dure budú veľmi potešení.
str_custom_battle_6|Ugluk a jeho banda nájazdníkov boli veľmi nenápadní pri úteku Elfím hliadkám. Ale šťastena je prchavá paní, a zdá sa, že tí ostrouchí bleďasina na to teraz doplatia.
str_custom_battle_7|Korzári rozbili svoj tábor vo vrchovine Gondoru! Ako sa len opovažujú. Napadneme ich pred tým, než dorazia ich posily a vyženieme ich späť do mora, kam tá piratská banda patrí.
str_finished|(Dokončené)
str_delivered_damage|Spôsobené {reg60} zranenia
str_archery_target_hit|Vzdialenosť: {reg61} jardov. Hodnotenie: {reg60}
str_use_baggage_for_inventory|Pre prístup k inventáru počas boja využi svoju batožinu (leží na startovacej pozícií)
str_cant_use_inventory_now|Teraz nemôžeš vstúpiť do inventára.
str_cant_use_inventory_arena|V aréne nemôžeš vstúpiť do inventára.
str_cant_use_inventory_disguised|Nemôžeš vstúpiť do inventára keď si v prestrojení.
str_cant_use_inventory_tutorial|V trénovaciom tábore nemôžeš vstúpiť do inventára.
str_1_denar|1 Bod Zásob.
str_reg1_denars|{reg1} Bodov Zásob.
str_january_reg1_reg2|T.V.{reg2}, Narvinyë {reg1} (Jan)
str_february_reg1_reg2|T.V.{reg2}, Nénimë {reg1} (Feb)
str_march_reg1_reg2|T.V.{reg2}, Súlìmë {reg1} (Mar)
str_april_reg1_reg2|T.V.{reg2}, Víressë {reg1} (Apr)
str_may_reg1_reg2|T.V.{reg2}, Lótessë {reg1} (Máj)
str_june_reg1_reg2|T.V.{reg2}, Náríë {reg1} (Jún)
str_july_reg1_reg2|T.V.{reg2}, Cermië {reg1} (Júl)
str_august_reg1_reg2|T.V.{reg2}, Urimë {reg1} (Aug)
str_september_reg1_reg2|T.V.{reg2}, Yavannië {reg1} (Sep)
str_october_reg1_reg2|T.V.{reg2}, Narquelië {reg1} (Okt)
str_november_reg1_reg2|T.V.{reg2}, Hísimë {reg1} (Nov)
str_december_reg1_reg2|T.V.{reg2}, Ringarë {reg1} (Dec)
str_calendar_spec_day_1|T.V.{reg2}, Yestarë (Prvý Deň)
str_calendar_spec_day_2|T.V.{reg2}, Tuilérë (Jarný Deň)
str_calendar_spec_day_3|T.V.{reg2}, Loëndë (Polročný Deň)
str_calendar_spec_day_4|T.V.{reg2}, Yáviérë (Deň Žatvy)
str_calendar_spec_day_5|T.V.{reg2}, Mettarë (Posledný Deň)
str_town_nighttime|Je neskorá noc.
str_door_locked|Dvere sú zamknuté.
str_castle_is_abondened|Hrad vyzerá byť neobývaný.
str_town_is_abondened|Mesto nemá posádku, ktorá by ho bránila.
str_place_is_occupied_by_player|Miesto je obsadené tvojimi mužmi.
str_place_is_occupied_by_enemy|Miesto je držané nepriateľskými jednotkami.
str_place_is_occupied_by_friendly|Miesto je držané spojeneckými jednotkami.
str_do_you_want_to_retreat|Si si istý, že chceš zaveliť k ústupu?
str_give_up_fight|Vzdať boj?
str_do_you_wish_to_leave_tutorial|Chcete opustiť návod?
str_do_you_wish_to_surrender|Chcete sa vzdať?
str_can_not_retreat|Nemôžete ustúpiť, nepriatelia sú príliš blízko!
str_s1_joined_battle_enemy|{s1} sa pridal do bitky na strane nepriateľa.
str_s1_joined_battle_friend|{s1} sa pridal do bitky na tvojej strane.
str_entrance_to_town_forbidden|Mestská stráž ostražito hliadkuje a preveruje podozrivých ľudí. Zdá sa, že sa dovnútra nedostaneš bez boja.
str_sneaking_to_town_impossible|Mestská stráž spustila poplach. Nebude možné priplížiť sa cez bránu nepozorovane.
str_battle_won|Vyhrál si bitku!
str_battle_lost|Prehrál si bitku!
str_player_down|Omráčili ťa, ale tvoji muži bojujú ďalej!
str_attack_walls_success|Po krvavom boji tvojí chrabrí muži dobili nepriateľské hradby.
str_attack_walls_failure|Rad radom padajú tvoji muži pri pokuse zdolať hradby nepriateľa, a tých pár čo ostáva ešte nažive zuteká až sa za nimi práši.
str_attack_walls_continue|Krvavá rúbačka pokračuje a obe strany zápolia o hrad s rovnakou statočnosťou. Napriek výpätí a úsiliu tvojich mužov hrad ostáva v rukách nepriateľa.
str_order_attack_success|Tvoji muži bojujú statočne a porážajú nepriateľa.
str_order_attack_failure|Zúfalo sleduješ, ako nepriatelia zrážajú tvojich mužov k zemi a následne so sebou ťahajú niekoškých otrhaných preživších.
str_order_attack_continue|Napriek tomu, že sa bitka predĺžila, tvoji muži nie sú schopní úplne pokoriť nepriateľa.
str_join_order_attack_success|Tvoji muži bojujú statočne bok po boku so spojencami, zatiaľ čo sa nepriatelia kúpu v krvy.
str_join_order_attack_failure|Zúfalo sleduješ, ako nepriatelia zrážajú tvojich mužov k zemi a následne so sebou ťahajú niekoškých otrhaných preživších.
str_join_order_attack_continue|Napriek tomu, že sa bitka predĺžila, tvoji muži ani spojenci nedokázali úplne pokoriť nepriateľa.
str_siege_defender_order_attack_success|Skúsení muži z posádky odvážne bránia hradby, odrážajú nepriateľský útok a obratne menia ich útok na zbesilý úprk.
str_siege_defender_order_attack_failure|Útok rychlo mení na krvavú lázeň. Statočnosť je nanič; presílená posádka nedokáže udržať hradby a nepriatelia pobíjajú obráncov do posledného muža.
str_siege_defender_order_attack_continue|Opakovane dopadá krvavý pokus o dobitie hradieb neúspešne, ale nepriatelia majú proti obráncom stále značnú početnú prevahu. Obliehanie pokračuje.
str_hero_taken_prisoner|{s1} z {s3} bol zajatý {s2}om.
str_hero_freed|{s1} z {s3} bol prepustený zo zajatia {s2}om.
str_center_captured|{s2} zabral {s1} od {s3}u!
str_troop_relation_increased|Tvoj vzťah s {s1} sa zlepšil z {reg1} na {reg2}
str_troop_relation_detoriated|Tvoj vzťah s {s1} sa zhoršil z {reg1} na {reg2}.
str_faction_relation_increased|Tvoj vzťah s {s1} sa zlepšil z {reg1} na {reg2}
str_faction_relation_detoriated|Tvoj vzťah s {s1} sa zhoršil z {reg1} na {reg2}.
str_party_gained_morale|Tvoja družina získava {reg1} morálky.
str_party_lost_morale|Tvoja družina stráca {reg1} morálky.
str_qst_follow_spy_noticed_you|Špeh ťa spozoroval! Snaží sa utiecť!
str_father|otec
str_husband|manžel
str_wife|žena
str_daughter|dcéra
str_mother|matka
str_son|syn
str_brother|brat
str_sister|sestra
str_he|On
str_she|Ona
str_s3s_s2|{s3}ov {s2}
str_s5_is_s51|{s5} je {s51}.
str_s5_is_the_ruler_of_s51|{s5} je vládca {s51}u.
str_s5_is_a_nobleman_of_s6|{s5} je šľachticom z {s6}u.
str_relation_mnus_100|Pomstychtivý
str_relation_mnus_90|Pomstychtivý
str_relation_mnus_80|Pomstychtivý
str_relation_mnus_70|Nenávistný
str_relation_mnus_60|Nenávistný
str_relation_mnus_50|Nepriateľský
str_relation_mnus_40|Naštvaný
str_relation_mnus_30|Rozhorčený
str_relation_mnus_20|Reptajúci
str_relation_mnus_10|Podozrievavý
str_relation_plus_0|Ľahostajný
str_relation_plus_10|Ochotný spolupracovať
str_relation_plus_20|Vítajúci
str_relation_plus_30|Priaznivý
str_relation_plus_40|Nápomocný
str_relation_plus_50|Priateľský
str_relation_plus_60|Vľudný
str_relation_plus_70|Naklonený
str_relation_plus_80|Verný
str_relation_plus_90|Oddaný
str_relation_mnus_100_ns|{s60} je voči tebe pomstychtivý.
str_relation_mnus_90_ns|{s60} je voči tebe pomstychtivý.
str_relation_mnus_80_ns|{s60} je voči tebe pomstychtivý.
str_relation_mnus_70_ns|{s60} ťa nenávidí.
str_relation_mnus_60_ns|{s60} ťa nenávidí.
str_relation_mnus_50_ns|{s60} je voči tebe nepriateľský.
str_relation_mnus_40_ns|{s60} je na teba naštvaný.
str_relation_mnus_30_ns|{s60} je tebou rozhorčený.
str_relation_mnus_20_ns|{s60} na teba reptá.
str_relation_mnus_10_ns|{s60} ťa podozrieva.
str_relation_plus_0_ns|{s60} je voči tebe ľahostajný.
str_relation_plus_10_ns|{s60} je s tebou ochotný spolupracovať.
str_relation_plus_20_ns|{s60} je voči tebe vítajúci.
str_relation_plus_30_ns|{s60} je k tebe priaznivý.
str_relation_plus_40_ns|{s60} je ti nápomocný.
str_relation_plus_50_ns|{s60} je k tebe priateľský.
str_relation_plus_60_ns|{s60} je k tebe vľudný.
str_relation_plus_70_ns|{s60} je ti naklonený.
str_relation_plus_80_ns|{s60} je to verný.
str_relation_plus_90_ns|{s60} je ti oddaný.
str_relation_reg1|Vzťah: {reg1}
str_center_relation_mnus_100|Obyvateľstvo ťa z hĺbky duše nenávidí.
str_center_relation_mnus_90|Obyvateľstvo ťa urputne neznáša
str_center_relation_mnus_80|Obyvateľstvo ťa silne neznáša
str_center_relation_mnus_70|Obyvateľstvo ťa nenávidí
str_center_relation_mnus_60|Obyvateľstvo je k tebe nenávistné
str_center_relation_mnus_50|Obyvateľstvo je k tebe extrémne nepriateľské
str_center_relation_mnus_40|Obyvateľstvo je k tebe veľmi nepriateľské
str_center_relation_mnus_30|Obyvateľstvo je k tebe nepriateľské
str_center_relation_mnus_20|Obyvateľstvo je proti tebe
str_center_relation_mnus_10|Obyvateľstvo ti vzdoruje
str_center_relation_plus_0|Obyvateľstvo je k tebe ľahostajné
str_center_relation_plus_10|Obyvateľstvo ťa príjma
str_center_relation_plus_20|Obyvateľstvo s tebou spolupracuje
str_center_relation_plus_30|Obyvateľstvo je ti trochu nápomocné
str_center_relation_plus_40|Obyvateľstvo je ti nápomocné
str_center_relation_plus_50|Obyvateľstvo je ti veľmi nápomocné
str_center_relation_plus_60|Obyvateľstvo je to verné
str_center_relation_plus_70|Obyvateľstvo je ti veľmi verné
str_center_relation_plus_80|Obyvateľstvo je ti oddané
str_center_relation_plus_90|Obyvateľstvo je ti úplne oddané
str_town_prosperity_0|Chudoba mesta {s60} je neúnosná
str_town_prosperity_10|Zubožené mesto {s60} je už opustené.
str_town_prosperity_20|Mesto {s60} vyzerá ako biedne, pusté miestno.
str_town_prosperity_30|Mesto {s60} vyzerá biedne a zanedbane.
str_town_prosperity_40|Mesto {s60} sa snaží prežiť.
str_town_prosperity_50|Mesto {s60} vyzerá všedne.
str_town_prosperity_60|Mesto {s60} prosperuje.
str_town_prosperity_70|V prosperujúcom meste {s60} je rušno.
str_town_prosperity_80|Mesto {s60} je bohaté a dobre udržované.
str_town_prosperity_90|Mesto {s60} je veľmi bohate a preplnené zámožnými ľuďmi.
str_town_prosperity_100|Žiariace mesto {s60} sa otvorene pýši svojím bohatstvom.
str_village_prosperity_0|Chudoba dediny {s60} je neznesiteľná.
str_village_prosperity_10|Dedina {s60} vyzerá zúfalo a uboho.
str_village_prosperity_20|Dedina {s60} vyzerá veľmi chudobne a pusto.
str_village_prosperity_30|Dedina {s60} vyzerá chudobne a zanedbane.
str_village_prosperity_40|Dedina {s60} je na hranici s chudobou a snaží sa prežiť.
str_village_prosperity_50|Dedina {s60} vyzerá všedne.
str_village_prosperity_60|Dedina {s60} prosperuje.
str_village_prosperity_70|Prosperujúca dedina {s60} sa rozrastá a kvitne.
str_village_prosperity_80|Dedina {s60} vyzerá bohato a dobre udržovaná.
str_village_prosperity_90|Prosperujúca dedina {s60} vyzerá veľmi bohato.
str_village_prosperity_100|Dedina {s60} je obklopená rozľahlými, plodnými poliami, vyzerá nesmierne bohato.
str_war_report_minus_4|onedlho zrejme túto vojnu prehráme
str_war_report_minus_3|sme v zúfalej situácií
str_war_report_minus_2|nevyzerá to pre nás dobre
str_war_report_minus_1|vojnu stále môžeme vyhrať, pokiaľ sa zjednotíme
str_war_report_0|naše a nepriateľské sily sú vyrovnané
str_war_report_plus_1|máme pomerne veľkú šancu na zvíťazenie vo vojne
str_war_report_plus_2|vyzerá to pre nás dobre
str_war_report_plus_3|nemali by sme mať problém poraziť ich
str_war_report_plus_4|onedlho zrejme túto vojnu vyhrajeme
