qstr_Received_{reg0}_dama|Utrpel si {reg0} poškodenia.
qstr_Ironflesh^Power_Stri|Valibuk^Mocný úder^Mocný vrh^Silné napnutie^Štít^Atletika^Jazdenie^Streľba v sedle
qstr_Proficiencies|Zvláštne schopnosti
qstr_1H_Weapons^2H_Weapon|1R Zbrane^2R Zbrane^Týčové zbrane^Lukostreľba^Kušostreľba^Vrhanie
qstr_Equipment|Vybavenie
qstr_The_Last_Days_Mod_Op|Možnosti The Last Days Módu
qstr_War_Starts_at_Level:|Vojna začína na úrovni:
qstr_Restrict_Player_Equi|Obmedziť vybavenie hráča:
qstr_Battle_Formations_an|Bojové formácie a AI:
qstr_Native|Pôvodný
qstr_TLD_FormAI__Original|TLD FormAI (originál)
qstr_TLD_New_FormAI|TLD Nová FormaAI
; qstr_Siege_AI:__|Siege AI:  
; qstr_Basic__better_perfor|Basic (better performance)
; qstr_Advanced|Advanced
; qstr_Campaign_difficulty:|Campaign difficulty:  
; qstr_Hard|Hard
; qstr_Default|Default
; qstr_Easy|Easy
qstr_Cutscenes:__|Filmové scény:
qstr_Injuries_for_compani|Zranenia spoločníkov:
qstr_Permanent_death_for_|Povoliť možnosť trvalej smrti pre pánov a spoločníkov:
qstr_Permanent_death_for_p|Trvalá smrť hráča (to si ty!): 
qstr_Battle_morale_system|Systém bojovej morálky
qstr_Animal_ambushes:__|Zvieracie prepady:
qstr_Fallen_rider_damage_|Správa o poškodení jazdca:
qstr_No_Messages|Žiadne správy
qstr_Player_damage_only|Iba poškodenie hráča
qstr_All_Messages|Všetky správy
qstr_Preferred_Camera_Mod|Preferovaný režim Kamery 
qstr_Default_Camera|Základná kamera
qstr_Free_Mode_Custom_Cam|Voľný režim vlastnej kamery 
qstr_Fixed_Over_The_Shoul|Pevná kamera cez rameno
qstr_Prevent_AI_from_taki|Zabrániť AI, aby zaujímala obranné postavenie:
qstr_Brighter_Nights:__|Jasnejšie noci:
qstr_Done|Hotovo
qstr_Gameplay_Tweaks|Vylepšenia hry
qstr_Beta_Formations_Twea|Beta vylepšenia útvarov
; qstr_Set_to_Native_if_you|Set to Native if you encounter any types of AI problems during battle.
; qstr_Disable_cutscenes_if|Disable cutscenes if you encounter any crashes at the start of the war.
; qstr_Campaign_Difficulty_a|Campaign Difficulty affects abundance of volunteers, lord party size, and strength income for allied factions.
qstr_War_Will_Start_at_Le|Vojna začne na úrovni {reg0}
; qstr_Be_aware_that_many_q|Be aware that many quests and campaign mechanics scale with player level. Increasing this setting will give you more time to prepare, but will make the war unfold quicker.
qstr_Troop_Tree|Strom jednotiek
qstr__Click_on_a_unit_for|(Podrobnosti získaš kliknutím na jednotku)
qstr_Weapons|Zbrane
qstr_Armors|Brnenia
qstr_Others|Ostatní
qstr_F4___Complex_formati|F4 - Komplexné formácie
qstr_F7___Memorize_div._p|F7 - Zapamätať umiestnenia útvarov
qstr_F8___Default_divisio|F8 - Predvolené umiestnenie útvarov
qstr_F4___Ranks|F4 - Śíky
qstr_F5___Shield_Wall|F5 - Štítová stena
qstr_F6___Wedge|F6 - Klin
qstr_F7___Square|F7 - štvorec
qstr_F8___No_Formation|F8 - Bez formácie
qstr_Extended_Formations_|Rozšírené formácie a možnosti AI
qstr_Put_player_in_divisi|Zaradiť hráča do divízie:
qstr_None|Nič
qstr_Army_rotates_to_face|Armáda sa otáča tvárou v tvár nepriateľskému stredu:
qstr_Prevent_AI_from_takin|Zabrániť AI, aby zaujímala obranné postavenie:
qstr_AI_Controls_Troops_W|AI bude kontrolovať vojakov, keď hráč padne:
qstr_You_gained_{reg0}_Re|Získal si {reg0} Bodov Zásob z {s0}.
qstr_You_lost_{reg0}_Reso|Stratil si {reg0} Bodov Zásob z {s0}.
qstr_{s24}:|{s24}:
qstr_Great_Hope_of_{s5}|Veľká nádej {s5}u
qstr_Hope_of_{s5}|Nádej {s5}u
qstr_Indispensable_Ally_o|Nepostradateľný spojenec {s5}u
qstr_Faithful_Ally_of_{s5|Verný spojenec {s5}u
qstr_Trusted_Friend_of_{s|Oddaný priateľ {s5}u
qstr_Close_Friend_of_{s5}|Blízky priateľ {s5}u
qstr_Friend_of_{s5}|Priateľ {s5}u
qstr_Familiar_to_{s5}|Povedomý v {s5}e
qstr_Known_to_{s5}|Známy v {s5}e
qstr_Stranger_to_{s5}|Cudzinec pre {s5}
qstr_Great_Enforcer_of_{s|Veľký zmocnenec {s5}u
qstr_Enforcer_of_{s5}|Zmocnenec {s5}u
qstr_Important_Ally_of_{s|Dôležitý spojenec {s5}u
qstr_Ally_of_{s5}|Spojenec {s5}u
qstr_Accomplice_of_{s5}|Stúpenec {s5}
qstr_Useful_Tool_of_{s5}|Cenný nástroj {s5}u
qstr_Servant_of_{s5}|Služobník {s5}u
qstr_Unknown_to_{s5}|Neznámy v {s5}e
qstr_You_have_been_{reg1?|Bol si {reg1?povýšený:degradovaný} na {s24} ({reg0})!
qstr_You_{reg1?earned:los|{reg1?Získal si:Stratil si} {reg11} bodov hodnosti {reg12?a {reg12} vplyvu :}s tvojou rodovou frakciou {s11}.
qstr_You_{reg1?earned:lost|{reg1?Ziskáváš:Strácaš} {reg11} bodov Hodnosti {reg12?a {reg12} Vplyvu :}v {s11}.
qstr_You_spent_{reg10}_of|Použil si {reg10} tvojho Vplyvu v {s1}, zostáva ti {reg11}.
qstr_Troop_upkeep:|Žold vojaka:
qstr_{s11}_and_{s10}|{s11} a {s10}
qstr_their|ich
qstr_its|onoho
qstr_[no_upkeep_costs]|[nulový žold]
qstr_Short_of_Resource_Po|Nedostatok Bodov Zásob!!
qstr_{s10}_will_soon_reas|{s10} onedlho odobere niekoľko tvojich {s12} jednotiek z tvojej družiny!
qstr_Superior_orders_from|Rozkazy {s11} pre odobranie jednotiek: 
qstr_{reg12}_{s10}_left_t|{reg12} {s10} opustili tvoju družinu!
qstr_Fangorn_claimed_{reg|Vo Farngorne zahynulo {reg0} a bolo zranených {reg1} mužov!
qstr_You_were_wounded_in_|Bol si zranený vo Farngornskom lese!
qstr_{s1}_of_{s3}_was_def|{s1} z {s3} bol porazený v bitke.
qstr_{s2}_have_razed_{s1}|{s2} vyplienil {s1}!
qstr_Left_for_dead_but_mi|Ponechaní napospas smrti ale zázrakom prežili: {reg1?{reg1} čas{reg2?s:}:NIKDY}
qstr_1_Res.Pt__{s2}_|1 B.Sur. ({s2})
qstr_{reg1}_Res.Pts__{s2}|{reg1} B.Sur. ({s2})
qstr_+30_to_Party_Morale|+30 k morálke družiny
qstr_+20_to_Party_Morale|+20 k morálke družiny
qstr_+1_to_Riding_Skill|+1 k jazdectvu
qstr_during_battles|behom bojov
qstr_+1_to_Pathfinding|+1 k Cestovaniu
; qstr_+2_to_Wound_Treatmen|+2 to Wound Treatment (Party)
; qstr_+2_to_Surgery__Party|+2 to Surgery (Party)
; qstr_+2_to_Pathfinding__P|+2 to Pathfinding (Party)
qstr_Use_from_Camp_Menu|Použi z menu tábora
qstr_Use_from|Použiť z
qstr_Action_Menu|Menu činností
; qstr_Bonus_to_Wound_Treat|Bonus to Wound Treatment (Party)
; qstr_Bonus_to_Surgery__Pa|Bonus to Surgery (Party)
; qstr_Bonus_to_First_Aid__|Bonus to First Aid (Party)
qstr_+1_to_Weapon_Mastery|+1 k Majstrovi zbrane
qstr_+1_to_Wound_Treatmen|+1 k Liečeniu zranení
qstr_+1_to_Tactics|+1 k Taktike
qstr_+1_to_Power_Strike|+1 k Mocnému úderu
qstr_+1_to_Strength|+1 k Sile
qstr_+1_to_Agility|+1 k Obratnosti
qstr_+1_to_Leadership|+1 k Vodcovstvu
qstr_+1_to_Wildcraft|+1 k Lesníctvu
qstr_+1_to_Tracking|+1 k Stopovaniu
qstr_+1_to_Athletics|+1 k Atletike
qstr_when_equipped|pokiaľ je nasadené
qstr_+1_to_Power_Draw|+1 k Silnému napnutiu
qstr_The_record_of_Balin_|Kronika Balinovej stratenej výpravy.
qstr_Who_might_be_interes|Koho by to zaujímalo?
qstr_Bonus_to_Shield_Skil|Bonus do schopnosti Štít
qstr_Turns_nature_to_your|Obracia prírodu na tvoju stranu
qstr_when_equipped.__Effe|keď sa používa. (Efekt sa zvyšuje s Prežitím v divočine)
qstr_Bonus_to_Power_Strik|Bonus k Mocnému úderu
qstr_+1_to_Trainer|+1 k Trénerovi
qstr_Recruits_Tribal_Orcs|Najať Kmeňových Ohyzdov
qstr_rally|vyburcovať
qstr_rallies|inšpiruje
qstr_+{reg1}_{s3}_in_batt|+{reg1} {s3} v boji
qstr_+1_to_Charisma|+1 k Charizme
; qstr_Call_Reinforcements|Call Reinforcements
; qstr__Effect_scales_with_|(Effect scales with Strength and Charisma)
qstr_+1_to_First_Aid|+1 k Prvej pomoci
qstr_+1_to_Surgery|+1 k Chirurgii
qstr_+1_to_Intelligence|+1 k Inteligencii
qstr_+2_to_Surgery|+2 k Chirurgii
qstr_+1_to_Riding|+1 k Jazdectvu
qstr_+1_to_Mounted_Archer|+1 k Streľbe v sedle
qstr_Bonus_to_Riding|Bonus k Jazdectvu
qstr_when_equipped.__Effec|keď sa používa. (Efekt sa zvyšuje so Silou)
qstr_Orcs:_+1_Riding_Requ|Ohyzdi: +1 k potrebe Jazdectva
qstr_+1_to_Prisoner_Mgmt|+1 k Väzneniu
qstr_+2_to_Tactics|+2 k Taktike
qstr_+1_Intelligence|+1 k Inteligencii
qstr_+{reg1}_to_Spotting|+{reg1} k Ostražitosti
qstr__Scales_with_Wildcra|(zvyšuje sa spolu s Lesníctvom)
; qstr_Strengthens_all_Hero|Strengthens all Heroes
; qstr_+2_to_First_Aid__Par|+2 to First Aid (Party)
; qstr_lead_more_Uruks|lead more Uruks
qstr_+1_to_Power_Throw|+1 k Mocnému vrhu
; qstr_Recruit_Black_Numeno|Recruit Black Numenoreans from various places
; qstr__Scales_with_Charism|(Scales with Charisma. Human leaders only.)
qstr_+1_to_Spotting|+1 k Ostražitosti
; qstr_+2_to_Weapon_Master|+2 to Weapon Master
; qstr_+2_to_First_Aid|+2 to First Aid
qstr_Less_Dunnish_upkeep|Menší žold Vrchovcov
qstr_Less_Wargs_upkeep|Menší žold vrokov
qstr_Light_Armor|Ľahké brnenie
qstr_Bonus_to_Strength__P|Bonus k Sile (Len hráč)
qstr_Lead_more_Orcs|Veď viac Ohyzdov
; qstr_Can_scare_horses|Can scare horses
qstr_+{reg1}_to_Party_Mor|+{reg1} k Morálke družiny
qstr_Range:_{reg55}|Dostrel: {reg55}
qstr_Dwarves|Trpaslíci
; qstr_Humans_and_Elves|Humans and Elves
; qstr_Orcs|Orcs
; qstr_Uruks_and_Uruk_Hai|Uruks and Uruk-Hai
; qstr_Humans_Uruks_and_Uru|Humans, Uruks, and Uruk-Hai
; qstr_Humans|Humans
; qstr_This_item_can_be_use|This item can be used by {s2}
qstr_Do_you_want_to_disem|Chceš vystúpiť?
qstr_Move_here|Poď sem
qstr_View_notes|Prezrieť si poznámky
qstr_Looted_your_items|Ukradli ti predmety
qstr_nothing|nič
qstr_Good|Dobrý
qstr_Med|Stredný
qstr_Bad|Zlý
qstr_You_gained_{reg84}_e|Získal si {reg84} skúseností vďaka svojej inteligencii
; qstr_You_gained_{reg84}_w|You gained {reg84} weapon points from your agility.
qstr_{reg4}_killed_{reg5}|{reg4} mŕtvych, {reg5} ranených, {reg6} zbehlo 
qstr_{reg4}_killed_{reg5}_|{reg4} mŕtvych, {reg5} ranených
qstr_{reg4}_killed_{reg5}_r|{reg4} mŕtvych, {reg5} zbehlo
qstr_{reg4}_wounded_{reg5|{reg4} ranených, {reg5} zbehlo
qstr_killed|mŕtvi
qstr_routed|zbehovia
qstr_wounded|ranení
qstr_{s0}^TOTAL:_{reg3}__|{s0}^CELKOVO: {reg3} ({s2})
qstr_^None|^Nikto
qstr_near_the_Great_East_|neďaleko Veľkej Východnej Cesty, dnes už starej a opustenej
qstr_near_what_is_left_of|neďaleko pozostatku Starej Lesnej Cesty, pradávnej trpasličiej cesty, ktorá viedla skrz hustý les
qstr_close_to_the_Hand_sh|neďaleko Sarumanovho znaku v podobe ruky, ktorý ukazuje smerom k veži Orthanc
qstr_in_sight_of_the_maje|na dohľad majestátnych Mestských Hradbieb Minas Tirith, Bieleho Mesta
qstr_in_sight_of_Edoras_t|na dohľad od Edorasu, hlavného mesta Rohanu
qstr_in_sight_of_the_Horn|na dohľad od Helmovho žľabu, veľkej pevnosti Rohanu
qstr_in_sight_of_Dol_Amro|na dohľad od Dol Amroth, sídla princov Zálivu Belfalas
qstr_in_sight_of_the_Mora|na dohľad od Morannonu, Čiernej brány Mordoru
qstr_in_sight_of_Dol_Guld|na dohľad od Dol Gulduru, Sauronovej severskej pevnosti
qstr_on_the_green_pasture|na zelených pasienkoch a mnohých kvetinových lúkach obklopujúcich Grizlovo panstvo
qstr_on_the_shores_of_Lak|na brehoch Zrkadlového jazera, v blízkosti Východnej brány Morie
qstr_on_the_shores_of_the|na brehoch Dlhého Jazera, pri pohľade na Esgaroth, Jazerné mesto
qstr_near_the_coast_of_Go|v blízkosti pobrežia Gondoru. Dolieha k tebe vzdialený škrek čajok a zurčanie vĺn.
qstr_in_the_outskirts_of_|na predmestiach Osgilliathu, bývalého hlavného mesta Gondoru
qstr_in_sight_of_the_entr|na dohľad k vstupu do Ereboru, trpasličej pevnosti
qstr_in_sight_of_the_dark|na dohľad od temnej veže Orthanc
qstr_near_the_Old_Ford_wh|neďaleko Starého mostu, kde Stará Lesná Cesta pretína rieku Anduin
qstr_near_a_big_ford_cros|neďaleko veľkého mostu cez rieku {s15}
qstr_near_a_small_ford_cr|neďaleko malého mostu cez rieku {s15}
qstr_Battle_Advantage_=_{ = "Bojová Prevaha = {reg0}."
qstr_{s9}_wants_you_to_re|{s9} chce, aby si hneď pokračoval v následování jeho armády
qstr__Being_Raided_|(je plienené)
qstr__Looted_|(práve vykorisťované)
qstr__Under_Siege_|(obliehané)
qstr_{s3}_is_no_longer_un|{s3} už nie je obliehané
qstr_Enemies_spotted_near|Nepriatelia boli spozorovaní v blízkosti {s1}.
qstr_Your_relation_with_{|Tvoje vzťahy s {s1} sa zlepšili.
qstr_Your_relation_with_{s|Tvoj vzťah k {s1} sa zhoršil.
qstr_{s1}_gained_faction_|{s1} získal k sile frakcie!
qstr_{s1}_lost_faction_st|{s1} stratil zo sily frakcie!
qstr_{s2}_{reg3?was:is_cu|{s2} {reg3?bol:je práve} v {s3}.
qstr_{s2}_{reg3?was:is}_t|{s2} {reg3?cestoval:cestuje} do {s3} a {reg4?ona:on} {reg3?bol:mal by sa nachádzať} {reg3?: práve} v blízkosti {s4}.
qstr_{s2}_{reg3?was:is}_i|{s2} {reg3?Bol:je} v divočine a {reg4?ona:on} {reg3?bol:by sa mal nachádzať} {reg3?: práve} v blízkosti {s3}.
qstr_{s2}_{reg3?was:is}_b|{s2} {reg3?bol:je} väznený v {s3}.
qstr_{s2}_{reg3?was:has_b|{s2} {reg3?bol:je} uvrhnutý do zajatia {reg4?jej:jeho} nepriateľmi.
qstr_{reg3?{s2}_s_locatio|{Poloha reg3?{s2}a bola neznáma: Netuším kde {s2} je}.
qstr_{s6}_has_joined_your|{s6} sa pridal do tvojej družiny.
qstr_elven|elfský
qstr_dwarven|trpasličí
qstr_orc|ohyzdí
qstr_uruk|uruskský
qstr_uruk_hai|uruk-haiský
qstr_trollish|zlobrí
qstr_man|ľudský
qstr_riding|jazdectvo
qstr_marching|pochodovanie
qstr_charging|útočenie
qstr_We_know_this_is_your|Vieme, že je toto tvoja zem, {playername}.^Ver, že sme prišli bojovať len s naším spoločným Nepriateľom.
qstr_I_trust_you._{s20}_a|Verím vám. {s20} a {s21} by mali byť spojencami a navzájom si veriť.
qstr_There_is_wisdom_in_y|V tvojích slovách sa ozýva múdrosť, {playername}.
qstr_Why_should_I?_Better|Prečo by som mal? Radšej opustím zem {s20}u.
qstr_We_will_go_in_peace_|Odídeme v mieri hneď, ako náhle splníme našu úlohu, o ktorej vám nemôžeme nič prezradiť. 
qstr_Is_this_your_land_{p|Toto je tvoja zem, {playername}? Páchne to tu.^Ale buď pokojný, v {s20}e sme len preto, aby sme splnili rozkazy nášho spoločného Pána. 
qstr_Yes_go_on_do_whateve|Áno, pokračuje, urobte čokoľvek, čo {s22} prikázal.
qstr_Of_course.|Samozrejme.
qstr_I_don_t_like_this._W|Nepáči sa mi to. Prečo ste dorazili z {s21} až sem?
qstr_Do_you_fear_us_{play|Bojíš sa náš, {playername} z {s20}u? Mmm, čo ukrývaš pred {s22}om?^^Daj nám pokoj, a nikto nepríde k újme.
qstr_It_s_a_servant_of_{s|Je to služobník {s22}. Boj sa {s23}, {playername}!
qstr_Our_allies_are_you?_|Ste našimi spojencami? Myslím, že môžete pokračovať.
qstr_And_we_shall_not_kil|Nezabijeme ťa, ešte nie.
qstr_This_land_belongs_to|Táto zem partrí {s20}u... {s23} tu nemá čo robiť.
qstr_We_will_stay_as_long|Ostaneme tak dlho, jak nám Pán rozkázal! Ďakuj osudu, pokiaľ si po teba neprídeme.
qstr_You_wear_the_colors_|Nosíš farby {s20}u. Čo pohľadávaš tu v {s21}e?^Hovor, a rýchlo!
qstr_We_are_pursuing_our_|PRenásledujeme našich nepriateľov, ktorí sú zároveň i tvojimi nepriateľmi!
qstr_Maybe._Or_maybe_you_|Možno. A možno ste špehovia.^Vráť sa kam patríš, vojak {s20}u.
qstr_We_are_friends_of_{s|Sme priateľmi {s21}.
qstr_Time_will_tell_if_yo|Čas ukáže či vravíte pravdu. V týchto časoch je ťažké rozoznať priateľa od nepriateľa.
qstr_What_are_you_doing_h|Čo sliediš v {s21}e, {s20}á špína? Toto je len naše územie! 
qstr_You_dare_question_di|Opovažuješ sa spochybňovať rozkazy priamo od {s23}?
qstr_Guess_not._But_I_sti|Rozhodne nie. Ale stále sa mi vôbec nepáči mať vás tu v okolí.  ^Dám si na vás pozor, {playername} z {s20}u.
qstr_None_of_your_busines|Nestaraj sa, červ!
qstr_*growls*^You_should_|*zavrčí*^Môžeš byť rád že bojuješ za nášho Pána, inak by si neodišiel s hlavou na krku.
qstr_What_are_you_doing_s|Čo robíš tak ďaleko od domova, otrok {s22}a? V týchto krajoch je Pánom {s23}!
qstr_Quiet!_I_didn_t_came|Ticho! Neprišiel som si po teba. Tentokrát. 
qstr_And_I_ve_orders_to_l|Mám rokzaz nechať ťa ísť. Tento krát.
qstr_None_of_your_business|Do toho vám nič.
qstr_You_slaves_of_{s22}_|Vy otroci {s22}a ste slabí! Buďte radi, že vás považujeme za spojencov...
qstr_Look_whom_we_meet_so|Aha na koho sme narazil tak ďaleko od domova: vojakov z {s20}u! Je to vôbec dobré, či nie?
qstr_{s20}_and_{s21}_figh|{s20} a {s21} bojujú za spoločný cieľ. Mali by sme na znepriatelených územiach spolupracovať.
qstr_In_these_dark_times_|V týchto temných časoch sa musí každý postarať sám o seba, {playername}.^Dúfam, že dorazíš domov v poriadku.
qstr_Neither_good_nor_bad|Ani dobré ani zlé. Naše záležitosti sú súkromé.
qstr_Everybody_on_his_way|Poďme si teda každý vlastnou cestou.
qstr_What_are_you_trying_|O čo sa snažíš, {s20}á špina? Okradnúť nas o náš lup?
qstr_Ha!_Soon_there_will_|Ha! Onedlho bude koristi dosť pre každého.
qstr_Yes._Unless_you_get_|Hej. Ale len pokiaľ sa najprv nenecháš zabiť.
qstr_You_don_t_get_any_sp|To ty nezískaš žaidnu korisť pokiaľ sa TY necháš zabiť, lotor z {s21}u.
qstr_Is_that_a_threat?_Be|To je vyhrážka? Buď rád, že v okolí musíme zmasakrovať nepriateľov pred tým, než prídeš na radu ty.
qstr_The_enemy_is_upon_us|Nepriatelia nás napadli! ^
qstr_They_are_upon_us!_^|Útočia na nás! ^
qstr_{playername}_and_{hi|{playername} a {jeho/jej} zberba z {s18}u na nás útočia! ^
qstr_ORCS!_ORCS!|OHYZDI! OHYZDI!
qstr_ORCS!_ORCS!_Fight_fo|OHYZDI! OHYZDI! Bite sa o život!
qstr_Elven_ghosts!|Elfský duchovia!
qstr_Here_they_come!_Hold|Prichádzajú! Držte rady!
qstr_We_are_under_attack!|Sme pod útokom!
qstr_Horse_people!_The_ho|Koňský ľud! Koňský ľud nás prepadol!
qstr_Men_from_the_White_C|Ľudia z Bieleho Mesta? Len nech si prídu po svoju smrť!
qstr_Death_to_men!|Smrť ľuďom!
qstr_Kill_the_maggots!|Zabite tých zlosynov!
qstr_Death_to_traitors_of|Smrť zrádcom Oka!
qstr_Death_to_traitors_of_|Smrť zrádcom Bielej ruky!
qstr_{s14}Kill_them_all!_|{s14}Zabite ich všetkých! Neberte zajatcov!
qstr_Tonight_we_feast_on_|Dnes večer budeme hodovať {s15} mäse!
qstr_Gharr!_Kill!_Kill!_K|Gharr! Zabiť! Zabiť!
qstr_Slaughter_these_half|Zmasakrujte polomužov!
qstr_Fear_no_elven_ghosts|Nenechajte sa zastrašiť elfskými duchmi!
qstr_{s14}Double_rations_|{s14}Dvojnásobný žold tomu, kto prinesie najviac hláv!
qstr_{s14}Double_rations_t|{s14}Dvojnásobný žold tomu, kto prinesie najviac {s15} hláv!
qstr_{s14}Kill_these_hors|{s14}Zabite lotrov na koňoch!
qstr_Kill_them_all!_Take_|Zabite ich všetkých! Vezmite si čo je naše!
qstr_Tonight_there_will_b|Dnes večer budeme mať o jedného nepriateľa z {s16}u menej!
qstr_Baruk_Khazd!_Khazd_a|Baruk Khazâd! Khazâd ai-mênu!
qstr_{s14}Riders_of_Rohan|{s14}Rohanskí jazdci! Nezabúdajte, za čo bojujete!
qstr_{s14}More_{s19}heads|{s14}Viac {s19}hláv na ozdobu brán Morannonu!
qstr_The_Wise_Master_shal|Múdry Pán sa bude radovať, keď mu ukážem telo {playername}!
qstr_{s14}Now_we_will_put|{s14}Ukončíme utrpenie tých odporných tvorov.
qstr_{s14}Today_we_shall_|{s14}Dnes budeme bojovať s nepriateľmi Imladrisu za všetko čo je krásne.
qstr_All_who_enter_Mirkwo|Každý, kto vstúpi do Temnohvozdu s temným úmyslom, už nikdy neodíde.
qstr_Men_of_{s16}_the_ene|Ľud {s16}u, nepriatelia už sú tu! Bojujte za svoju domovinu!
qstr_Men_of_{s16}_charge!|Ľud {s16}u, útok! Bojujte za svoju domovinu!
qstr_{s14}Grind_their_bod|{s14}Zasýpte ich mŕtvoly v piesku!
qstr_{s14}Dwarves_or_men_|{s14}Trpaslíci či ľudia, nevyrovnajú sa našej zúrivosti v boji!
qstr_{s14}Elves_or_men_th|{s14}Elfovia či ľudia, tí nie sú pre nás žiadnou výzvou!
qstr_{s14}Flesh_to_shatte|{s14}Mäso na rezanie, krky na sekanie, krv na preliate!
qstr_Put_on_the_masks_of_|Muži, nasaďte si masky bojovníkov! Dnes našich nepriateľov z {s18}u čaká záhuba!
qstr_They_seek_the_tempes|Vyhľadávajú násilie, majú ho mať! Muži, pripravte sa k boju! 
qstr_Draw_your_weapons_me|Taste zbrane, muži, lebo smyčka na krku našich nepriateľov sa sťahuje!
