itm_horse_meat|Hästkött
itm_harad_horse|Harad Häst
itm_harad_warhorse|Harad Krigshäst
; itm_variag_pony|Variag Pony
; itm_variag_kataphrakt|Easterling Warhorse
itm_warg_1b|Warg
itm_warg_1c|Warg
itm_warg_1d|Warg
itm_wargarmored_1b|Bepansrad warg
itm_wargarmored_1c|Bepansrad warg
itm_wargarmored_2b|Bepansrad warg
itm_wargarmored_2c|Bepansrad warg
itm_wargarmored_3a|Bepansrad warg
itm_warg_reward|Gigantisk warg
itm_tree_trunk_club_a|Stubbe
itm_giant_mace|Gigantisk klubba
itm_troll_shield_a|Trollsköld
itm_arrows|Pilar
itm_gondor_arrows|Gondor-pilar
; itm_orc_javelin|Orc Heavy Javelin
itm_khergit_arrows|Pilar från Rohirrim
itm_harad_arrows|Pilar från Haradrim
; itm_corsair_arrows|Corsair Arrows
itm_ithilien_arrows|Ithilien-pilar
itm_woodelf_arrows|Skogsalv-pilar
itm_elven_arrows|Alv-pilar
itm_orc_hook_arrow|Orkiska krok-pilar
itm_isengard_arrow|Pilar från Isengård
itm_leather_gloves|Läderhandskar
itm_mail_mittens|Ringbrynevantar
itm_leather_boots|Stövlar av läder
itm_leather_boots_dark|Ridarskor
; itm_splinted_greaves|Splinted Greaves
itm_white_tunic_a|Civil Klädsel
itm_rohan_shoes|Läderskor
itm_furry_boots|Pälsiga Skor
itm_black_tunic|Svart tunika
itm_hood_black|Svart Huva
itm_hood_green|Grön Huva
itm_hood_grey|Grå Huva
itm_hood_leather|Läderhuva
; itm_axe_a|Northmen Axe
; itm_axe_b|Northmen Bearded Axe
; itm_axe_c|Northmen Axe
; itm_axe_d|Northmen Axe
; itm_long_bearded_axe|Northmen Bearded Longaxe
; itm_2_handed_axe|Northmen Longaxe
itm_shortened_spear|Nerkortat Spjut
itm_spear|Spjut
itm_light_lance|Lätt Lans
itm_lance|Lans
itm_tab_shield_small_round_b|Rund Kavallerisköld
itm_short_bow|Kortbåge
itm_regular_bow|Pilbåge
itm_nomad_bow|Nomad-Pilbåge
itm_gondor_bow|Gondor-Pilbåge
itm_strong_bow|Kraftig Pilbåge
itm_elven_bow|Alv-Pilbåge
; itm_corsair_bow|Corsair Bow
itm_dwarf_horn_bow|Dvärg-hornspilbåge
itm_dwarf_short_bow|Dvärgisk kortbåge
itm_harad_bow|Harad Kurvad Pilbåge
itm_lg_bow|Örnvaktspilbåge
itm_riv_bow|Rivendell-Pilbåge
itm_rhun_bow|Balchoth-Pilbåge
itm_lorien_bow|Galadhrim-Pilbåge
itm_isengard_large_bow|Isengard Stor Pilbåge
itm_dale_bow|Dale-Pilbåge
itm_uruk_bow|Orkhornspilbåge
itm_mirkwood_bow|Mirkwood-Pilbåge
; itm_dunland_javelin|Dunland Javelins
itm_orc_throwing_arrow|Orkpilar
itm_heavy_throwing_spear|Tungt Kastspjut
itm_javelin|Spjut
itm_harad_javelin|Harad-Spjut
itm_gondor_javelin|Gondor-Spjut
itm_rohirrim_throwing_axe|Nordmans Kastyxa
itm_loss_throwing_axes|Lossarnach Kastyxa
itm_arnor_helm_a|Arnorhjälm
itm_arnor_helm_b|Arnorhjälm
itm_arnor_helm_c|Arnorhjälm
itm_dunedain_helm_b|Dekorerad Arnorhjälm
itm_arnor_armor_a|Arnoriansk Rustning
itm_arnor_armor_b|Arnoriansk Rustning
; itm_arnor_armor_c|Dunedain Ranger Leather
; itm_arnor_armor_d|Dunedain Ranger Leather
; itm_arnor_armor_e|Arnorian Reinforced Jerkin
; itm_arnor_armor_f|Arnorian High Armor
; itm_arnor_greaves|Arnorian Greaves
itm_arnor_shield_a|Arnorisk Sköld
; itm_arnor_shield_c|Arnor Cavalry Shield
; itm_arnor_sword_a|Arnor Bastard Sword
; itm_arnor_sword_c|Arnor Bastard Sword
itm_arnor_sword_f|Arnor Kortsvärd
itm_riv_helm_a|Rivendellhuva
itm_riv_helm_b|Rivendell Pilbågskyttshjälm
itm_riv_helm_c|Rivendell Infanteri-Hjälm
itm_riv_tiara|Alvherre Tiara
itm_riv_shield_a|Rivendell-Sköld
itm_riv_shield_b|Rivendell-Sköld
; itm_riv_bas_sword|Rivendell Bastard Sword
itm_riv_1h_sword|Rivendellsvärd
itm_riv_riding_sword|Rivendellångbåge
itm_riv_archer_sword|Rivendellkortsvärd
itm_riv_spear|Rivendellspjut
itm_riv_light|Rivendelltunika
itm_riv_leather|Rivendell Läderrustning
itm_riv_foot_mail|Rivendell-Ringbryna
itm_riv_foot_scale|Rivendell Skalbrynja
; itm_riv_surcoat|Rivendell Surcoat
; itm_riv_knight|Rivendell Knightly Armour
itm_riv_armor_h_archer|Rivendellrustning
itm_riv_armor_leader|Rivendell Läderrustning
itm_riv_boots|Rivendellskor
itm_gon_footman|Rivendell Ringbryne-Tröja
; itm_gon_jerkin|Gondor Jerkin
itm_gon_regular|Gondor Tung Ringbryna
; itm_gon_bowman|Gondor Gambeson
; itm_gon_archer|Gondor Gambeson with Cloak
; itm_gon_noble_cloak|Gondor Noble's Jerkin
; itm_gon_squire|Gondor Mail with Cloak
; itm_gon_knight|Gondor Heavy Mail and Cloak
; itm_gon_ranger_cloak|Gondor Ranger Cloak
; itm_gon_ranger_skirt|Gondor Ranger Skirt
; itm_gon_steward_guard|Gondor Steward Guard Armor
itm_gon_tower_guard|Gondortorns-vaktrusting
; itm_gon_tower_knight|Gondor Tower Knight Armor
; itm_gon_leader_surcoat_cloak|Gondor Leader's Surcoat
itm_gondor_ranger_hood|Grön Huva
; itm_gondor_ranger_hood_mask|Gondor Ranger Hood
; itm_gondor_light_greaves|Gondorian Leather Greaves
; itm_gondor_med_greaves|Gondorian Medium Greaves
; itm_gondor_heavy_greaves|Gondorian Mailed Greaves
itm_gondor_infantry_helm|Gondor Infanterihjälm
itm_gondor_auxila_helm|Gondor Lätt Hjälm
itm_gondorian_archer_helm|Gondor Pilbågskyttshjälm
; itm_tower_archer_helm|Tower Archer Helm
; itm_gondor_leader_helm|Gondor High Helmet
; itm_tower_guard_helm|Tower Guard Helm
; itm_gondor_citadel_knight_helm|Citadel Knight Helm
; itm_gondor_knight_helm|Gondor Cavalry Helm
itm_gondor_dolamroth_helm|Dol Amroth-hjälm
itm_swan_knight_helm|Swan-Riddarhjälm
itm_gondor_lamedon_helm|Lamedonhjälm
; itm_gondor_lamedon_leader_helm|Lamedon High Helmet
; itm_blackroot_archer|Blackroot Vale Cloaked Gambeson
; itm_blackroot_bowman|Blackroot Vale Cloaked Jerkin
; itm_blackroot_footman|Blackroot Vale Jerkin
; itm_blackroot_warrior|Blackroot Vale Gambeson
; itm_blackroot_leader|Blackroot Vale Mail
itm_blackroot_hood|Svart huva
; itm_dol_hauberk|Dol Amroth Hauberk
; itm_dol_heavy_mail|Dol Amroth Heavy Mail
; itm_dol_padded_coat|Dol Amroth Padded Coat
; itm_dol_shirt|Dol Amroth Shirt
; itm_dol_very_heavy_mail|Dol Amroth Very Heavy Mail
; itm_dol_greaves|Dol Amroth Greaves
; itm_dol_shoes|Dol Amroth Light Boots
; itm_lamedon_clansman|Lamedon Clansman Armor
; itm_lamedon_footman|Lamedon Footman Armor
itm_lamedon_knight|Lamedon Riddarrustning
itm_lamedon_leader_surcoat_cloak|Lamedon Ledarrustning
; itm_lamedon_warrior|Lamedon Warrior Armor
; itm_lamedon_veteran|Lamedon Veteran Armor
; itm_lamedon_vet_warrior|Lamedon Veteran Warrior Armor
itm_lamedon_hood|Huva
; itm_pinnath_archer|Pinnath Gelin Archer Armor
; itm_pinnath_footman|Pinnath Gelin Footman Armor
; itm_pinnath_leader|Pinnath Gelin Knight Armor
; itm_pinnath_vet_footman|Pinnath Gelin Veteran Footman Armor
; itm_pinnath_warrior|Pinnath Gelin Warrior Armor
; itm_pel_footman|Pelargir Footman Armor
; itm_pel_jerkin|Pelargir Jerkin
; itm_pel_leader|Pelargir Leader Armor
; itm_pel_marine|Pelargir Marine
; itm_pelargir_marine_leader|Pelargir Marine Leader
; itm_pelargir_regular|Pelargir Regular
itm_pelargir_hood|Vit Huva
itm_pelargir_helmet_light|Pelargirhjälm
itm_pelargir_helmet_heavy|Pelargir Tung Hjälm
itm_pelargir_greaves|Pelargir Handskar
itm_lossarnach_shirt|Lossarnach-Tröja
; itm_lossarnach_axeman|Lossarnach Axeman Armor
; itm_lossarnach_leader|Lossarnach Leader Armor
; itm_lossarnach_vet_axeman|Lossarnach Veteran Axeman Armor
; itm_lossarnach_vet_warrior|Lossarnach Veteran Warrior Armor
; itm_lossarnach_warrior|Lossarnach Warrior Armor
itm_lossarnach_cloth_cap|Lossarnach Tygkeps
itm_lossarnach_leather_cap|Lossarnach Läderkeps
; itm_lossarnach_scale_cap|Lossarnach Scale Cap
itm_lossarnach_greaves|Lossarnach Handskar
; itm_gondor_shield_a|Gondor Square Shield
; itm_gondor_shield_b|Gondor Kite Shield
itm_gondor_shield_c|Gondortorns-sköld
; itm_gondor_shield_d|Gondor Kite Shield
itm_gondor_shield_e|Gondorcitadells-Sköld
; itm_gon_tab_shield_a|Heraldic Gondor Round Shield
; itm_gon_tab_shield_b|Heraldic Gondor Square Shield
; itm_gon_tab_shield_c|Heraldic Gondor Kite Shield
; itm_gon_tab_shield_d|Heraldic Gondor Tower Shield
itm_amroth_sword_a|Dol Amroth-Svärd
; itm_amroth_sword_b|Dol Amroth Knight Sword
itm_gondor_sword|Gondor Infanterisvärd
; itm_amroth_bastard|Dol Amroth Swan Blade
; itm_gondor_short_sword|Linhir Eket
; itm_pelargir_eket|Pelargir Eket
itm_pelargir_sword|Pelargirsvärd
; itm_gondor_ranger_sword|Gondor Ranger Sword
; itm_gondor_bastard|Gondor Bastard Sword
itm_gondor_citadel_sword|Gondorcitadell-svärd
; itm_gondor_cav_sword|Gondor Cavalry Sword
itm_gondor_spear|Gondorianskt Spjut
itm_gondor_tower_spear|Gondorianskt Torn-Spjut
itm_gondor_lance|Gondorlans
itm_loss_axe|Lossarnach Stridsyxa
itm_loss_war_axe|Lossarnach Krigsyxa
itm_lorien_sword_a|Lorien Långsvärd
itm_lorien_sword_b|Lorien Kortsvärd
itm_lorien_sword_c|Lorien Krigssvärd
; itm_lorien_archer|Lorien Archer Armor
; itm_lorien_armor_a|Lorien Quilted Armor
; itm_lorien_armor_b|Lorien Mail Armor
; itm_lorien_armor_c|Lorien Scale Armor
itm_lorien_boots|Lothlorienskor
; itm_lorien_shield_b|Lorien Tower Shield
; itm_lorien_shield_c|Lorien Kite Shield
; itm_lorien_round_shield|Lorien Round Shield
; itm_lorien_helm_a|Lorien Archer Helm
; itm_lorien_helm_b|Lorien Archer Helm
; itm_lorien_helm_c|Lorien Infantry Helm
; itm_orc_coif|Orc Skullcap
; itm_orc_greaves|Orc Chain Boots
; itm_orc_ragwrap|Orc Ragwrap
; itm_orc_furboots|Orc Fur Boots
; itm_orc_tribal_a|Untreated Skin
; itm_orc_tribal_b|Untreated Skin
; itm_orc_tribal_c|Untreated Skin
; itm_evil_gauntlets_a|Black Gloves
; itm_evil_gauntlets_b|Black Gauntlets
; itm_free_isen_orc_armor_a|Isengard Orc Armor
; itm_isen_orc_light_a|Isengard Orc Armor
; itm_isen_orc_light_b|Isengard Orc Armor
; itm_isen_orc_pad_a|Isengard Orc Armor
; itm_isen_orc_pad_b|Isengard Orc Armor
; itm_isen_orc_mail_a|Isengard Orc Armor
; itm_isen_orc_mail_b|Isengard Orc Armor
; itm_isen_uruk_light_a|Uruk-hai Light Harness
; itm_isen_uruk_light_b|Uruk-hai Leather Armor
; itm_isen_uruk_light_c|Uruk-hai Leather Armor
; itm_isen_uruk_light_d|Uruk-hai Mail and Leather
; itm_isen_uruk_light_e|Uruk-hai Mail Harness
; itm_isen_uruk_heavy_a|Uruk-hai Mail and Leather
; itm_isen_uruk_heavy_b|Uruk-hai Heavy Armor
; itm_isen_uruk_heavy_c|Uruk-hai Heavy Armor
; itm_isen_uruk_heavy_d|Uruk-hai Tracker Leather
; itm_isen_uruk_heavy_e|Uruk-hai Tracker Leather
; itm_uruk_tracker_boots|Uruk Tracker Boots
; itm_uruk_greaves|Uruk Greaves
; itm_uruk_chain_greaves|Uruk Chain Greaves
; itm_uruk_ragwrap|Uruk Ragwrap
; itm_isen_orc_helm_a|Isen Orc Helm
; itm_free_isen_orc_helm_b|Isen Orc Helm
; itm_free_isen_orc_helm_c|Isen Orc Helm
; itm_isen_uruk_helm_a|Uruk-Hai Helm
; itm_free_isen_uruk_helm_a|Uruk-Hai Helm
; itm_free_isen_uruk_helm_c|Uruk-Hai Helm
; itm_isen_uruk_helm_d|Uruk-Hai Captain Helm
; itm_isen_uruk_helm_e|Uruk-Hai Tracker Helm
; itm_free_isen_uruk_helm_f|Uruk-Hai Tracker Helm
; itm_uruk_pike_b|Mordor Pike
; itm_uruk_falchion_a|Uruk Falchion
; itm_uruk_falchion_b|Orc Great Scimitar
; itm_isengard_sword|Isengard Sword
; itm_isengard_axe|Isengard Axe
; itm_isengard_hammer|Isengard Hammer
; itm_isengard_halberd|Isengard Halberd
; itm_isengard_mallet|Isengard Mallet
; itm_isengard_heavy_axe|Isengard Heavy Axe
; itm_isengard_heavy_sword|Isengard Heavy Sword
; itm_isengard_spear|Isengard Spear
; itm_isengard_pike|Isengard Pike
itm_isen_orc_shield_a|Isen Orksköld
itm_isen_orc_shield_b|Isen Orksköld
itm_isen_uruk_shield_b|Isen Uruksköld
itm_wood_club|Träklubba
itm_twohand_wood_club|Stor Träklubba
; itm_bone_cudgel|Bone Cudgel
; itm_orc_pick|Orc Pick
itm_orc_hammer|Ond Hammare
; itm_orc_club_b|Warg Rider Club
itm_orc_club_c|Spikig Ork-Klubba
itm_orc_club_d|Ond Spikklubba
itm_orc_sledgehammer|Orkslägga
itm_orc_simple_spear|Orkspjut
; itm_orc_skull_spear|Orc Skull Spear
; itm_orc_bill|Orc Polearm
itm_orc_slasher|Ork-Kortsvärd
; itm_orc_falchion|Orc Falchion
; itm_orc_scimitar|Orc Scimitar
itm_orc_sabre|Orksabel
itm_orc_battle_axe|Ork Stridsyxa
itm_orc_axe|Orkyxa
; itm_orc_two_handed_axe|Orc Great Axe
; itm_orc_throwing_axes|Orc Throwing Axes
itm_orc_bow|Orkpilbåge
itm_orc_shield_a|Orksköld
itm_orc_shield_b|Orksköld
itm_orc_shield_c|Ork Tornssköld
itm_mordor_orc_shield_a|Mordor Orksköld
itm_mordor_orc_shield_b|Mordor Orksköld
itm_mordor_orc_shield_c|Mordor Orksköld
itm_mordor_orc_shield_d|Mordor Orksköld
itm_mordor_orc_shield_e|Mordor Orksköld
itm_mordor_uruk_shield_a|Mordor Uruksköld
itm_mordor_uruk_shield_b|Mordor Uruksköld
itm_mordor_uruk_shield_c|Mordor Uruksköld
itm_mordor_man_shield_a|Mordor Manssköld
itm_mordor_man_shield_b|Mordor Manssköld
; itm_angmar_shield|Angmar Shield
; itm_orc_nosehelm|Orc Nosehelm
; itm_orc_kettlehelm|Orc Kettlehelm
; itm_orc_buckethelm|Orc Buckethelm
; itm_orc_morion|Orc Morion
; itm_orc_beakhelm|Orc Beakhelm
; itm_orc_bughelm|Orc Bughelm
itm_orc_visorhelm|Ork Visirhjälm
itm_m_orc_light_a|Mordorork Lätt Rustning
itm_m_orc_light_b|Mordorork Lätt Rustning
itm_m_orc_light_c|Mordorork Lätt Rustning
itm_m_orc_light_d|Mordorork Lätt Rustning
itm_m_orc_light_e|Mordorork Lätt Rustning
itm_m_orc_heavy_a|Mordorork Tung Rustning
itm_m_orc_heavy_b|Mordorork Tung Rustning
itm_m_orc_heavy_c|Mordorork Tung Rustning
itm_m_orc_heavy_d|Mordorork Tung Rustning
itm_m_orc_heavy_e|Mordorork Tung Rustning
itm_m_uruk_light_a|Uruk Harnesk
itm_m_uruk_light_b|Uruk Läderrustning
itm_m_uruk_light_c|Uruk Lätt Ringbryna
itm_m_uruk_med_a|Uruk Tungt Läder
itm_m_uruk_med_b|Uruk Tung Ringbryna
; itm_m_uruk_med_c|Uruk Light Scale
; itm_m_uruk_heavy_a|Uruk Heavy Scale
; itm_m_uruk_heavy_b|Uruk Platemail
; itm_m_uruk_heavy_c|Lugburz Platemail
itm_m_cap_armor|Mordor Kaptensrustning
itm_black_num_armor|Svart Numenoreansk Rustning
itm_m_armor_a|Mordorrustning
itm_m_armor_b|Mordorrustning
itm_evil_light_armor|Ond Dräkt
itm_uruk_helm_a|Urukhjälm
itm_uruk_helm_b|Urukhjälm
; itm_uruk_helm_c|Uruk Beak Helm
; itm_uruk_helm_d|Uruk Grill Helm
; itm_uruk_helm_e|Uruk Mask Helm
itm_uruk_helm_f|Urukhjälm
itm_mordor_cap_helm|Mordor Kaptenshjälm
itm_mordor_helm|Mordorhjälm
; itm_black_num_helm|Black Numenorean Helm
; itm_mordor_sword|Bastard Sword of Mordor
; itm_mordor_longsword|Sword of Mordor
; itm_moria_armor_a|Moria Breast Harness
; itm_moria_armor_b|Moria Breast and Shoulders
; itm_moria_armor_c|Moria Orc Mail
; itm_moria_armor_d|Moria Bolted Leather
; itm_moria_armor_e|Moria Orc Heavy Mail
; itm_moria_orc_shield_a|Moria Great Shield
; itm_moria_orc_shield_b|Moria Orc Shield
; itm_moria_orc_shield_c|Moria Orc Shield
; itm_gundabad_armor_a|Gundabad Orc Rags
itm_gundabad_armor_b|Gundabadorkspäls
itm_gundabad_armor_c|Gundabadork-rustning
itm_gundabad_armor_d|Gundabadork-rustning
; itm_gundabad_armor_e|Gundabad Orc Heavy Armor
itm_gundabad_helm_a|Lädermössa
itm_gundabad_helm_b|Läderhjälm
; itm_gundabad_helm_c|Gundabad Helm
; itm_gundabad_helm_d|Gundabad Helm
; itm_gundabad_helm_e|Wargrider Helm
; itm_dunland_wolfboots|Dunland Wolfboots
itm_dunland_armor_a|Dunnisk Pälsrustning
itm_dunland_armor_b|Dunnisk Pälsrustning
itm_dunland_armor_c|Dunnisk Pälsrustning
itm_dunland_armor_d|Dunnisk Pälsrustning
itm_dunland_armor_e|Dunnisk Pälsrustning
itm_dunland_armor_g|Dunnisk Pälsrustning
itm_dunland_armor_h|Dun Lång Pälsrustning
; itm_dunland_armor_i|Dunnish Hauberk
; itm_dunland_armor_j|Dunland Hauberk
; itm_dunland_armor_k|Dun Chief Armor
; itm_dun_helm_a|Dunnish Wolf Cap
; itm_dun_helm_b|Dunnish Antler Cap
; itm_dun_helm_c|Dunnish Tall Helm
; itm_dun_helm_d|Dunnish Tall Helm
; itm_dun_helm_e|Dunnish Antler Helm
; itm_dun_shield_a|Dunnish Shield
; itm_dun_shield_b|Dunnish Shield
; itm_dun_berserker|Dunland Chieftain Sword
; itm_dunnish_antler_axe|Dunnish Antler Axe
; itm_dunnish_war_axe|Dunnish War Axe
; itm_dunnish_axe|Dunnish Axe
; itm_dunland_spear|Dunnish Spear
; itm_dunnish_pike|Dunnish Pike
; itm_rohan_cav_sword|Rohan Riding Sword
; itm_rohan_inf_sword|Rohan Sword
; itm_rohan_spear|Rohan Spear
; itm_rohan_lance|Rohan Lance
; itm_rohan_sword_c|Rohan Sword
; itm_rohirrim_short_axe|Rohirrim Short Axe
; itm_rohirrim_long_hafted_axe|Rohirrim Long Hafted Axe
; itm_rohan_2h_sword|Rohan War Sword
; itm_rohan_recruit|Rohan Padded Jerkin
; itm_rohan_leather|Rohan Leather Vest
; itm_rohan_mail|Rohan Hauberk
; itm_rohan_rider|Rohan Rider Armor
; itm_rohan_scale|Rohan Scale Armor
; itm_rohan_surcoat|Rohan Surcoat
; itm_rohan_guard|Rohan Guard Armor
; itm_rohan_light_helmet_a|Rohan Light Helm
; itm_rohan_light_helmet_b|Rohan Light Helm
; itm_rohan_inf_helmet_a|Rohan Eyeguard Helm
; itm_rohan_inf_helmet_b|Rohan Eyeguard Helm
; itm_rohan_archer_helmet_a|Rohan Nasal Helm
; itm_rohan_archer_helmet_b|Rohan Nasal Helm
; itm_rohan_archer_helmet_c|Rohan Guard Helm
; itm_rohan_shield_a|Rohan Shield
; itm_rohan_shield_b|Rohan Shield
; itm_rohan_shield_c|Rohan Shield
; itm_rohan_shield_d|Rohan Shield
; itm_rohan_shield_e|Rohan Shield
; itm_rohan_shield_f|Rohan Shield
; itm_rohan_shield_g|Rohan Royal Shield
; itm_rohan_light_greaves|Rohan Light Greaves
; itm_rohirrim_war_greaves|Rohirrim War Greaves
; itm_mirkwood_leather|Woodelf Leather Armor
; itm_mirkwood_pad|Greenwood Quilted Coat
; itm_mirkwood_mail|Greenwood Mail
; itm_mirkwood_scale|Greenwood Light Scale
; itm_mirkwood_heavy_scale|Greenwood Leafscale
; itm_mirkwood_sword|Woodelf Sword
; itm_mirkwood_great_spear|Greenwood Great Spear
; itm_mirkwood_war_spear|Greenwood War Spear
; itm_mirkwood_short_spear|Woodelf Spear
; itm_mirkwood_knife|Woodelf Knife
; itm_mirkwood_axe|Woodelf Axe
; itm_mirkwood_spear_shield_a|Woodelf Shield
; itm_mirkwood_spear_shield_b|Greenwood War Shield
; itm_mirkwood_spear_shield_c|Woodelf Round Shield
; itm_mirkwood_helm_a|Woodelf Archer Helm
; itm_mirkwood_helm_b|Greenwood Helm
; itm_mirkwood_helm_c|Greenwood Heavy Helm
; itm_mirkwood_helm_d|Greenwood Royal Helm
; itm_mirkwood_boots|Woodelf Boots
; itm_harad_tunic|Harad Tunic
; itm_harad_padded|Harondor Padded Armor
; itm_harad_hauberk|Harondor Hauberk
; itm_harad_lamellar|Harasjala Armor
; itm_harad_heavy|Harad Noble Armor
; itm_harad_skirmisher|Light Harad Garb
; itm_harad_archer|Harad Archer Armor
; itm_black_snake_armor|Maranka Armor
; itm_harad_champion|Far Harad Garb
itm_panther_guard|Panterskinn
; itm_harad_scale|Harad Scale Armor
itm_harad_tiger_scale|Tigervaktsrustning
itm_harad_lion_scale|Lejonvaktsrustning
; itm_harad_dragon_helm|Kiloka Helm
; itm_harad_cav_helm_a|Harondor Cavalry Helm
; itm_harad_cav_helm_b|Harondor Cavalry Helm
; itm_black_snake_helm|Maranka Helm
; itm_harad_finhelm|Great Harad Helmet
; itm_harad_heavy_inf_helm|Great Harad Helmet
; itm_harad_wavy_helm|Great Harad Helmet
; itm_harad_eaglehelm|Eagle Guard Helm
itm_lion_helm|Lejonvaktshjälm
itm_harad_pantherhelm|Pantervaktskeps
; itm_harad_khopesh|Harad Khopesh
; itm_black_snake_sword|Harad Heavy Falchion
; itm_harad_heavy_sword|Harad Heavy Sword
; itm_horandor_a|Harad Scimitar
; itm_skirmisher_sword|Harad Skirmisher Sword
itm_harad_sabre|Haradsabel
; itm_harad_mace|Far Harad Mace
; itm_far_harad_2h_mace|Far Harad Two Handed Mace
itm_harad_dagger|Haradkniv
itm_harad_short_spear|Harad Kortspjut
itm_harad_long_spear|Haradspjut
; itm_eagle_guard_spear|Harasjala Polearm
itm_harad_long_shield_a|Harad Leopardsköld
itm_harad_long_shield_b|Harad Bronssköld
itm_harad_long_shield_c|Harad Solsköld
itm_harad_long_shield_d|Harad Ormsköld
itm_harad_long_shield_e|Harad Ormsköld
itm_harad_shield_a|Harondorsköld
; itm_harad_shield_b|Harondor Buckler
; itm_harad_shield_c|Harondor Buckler
itm_harad_yellow_shield|Haradsköld
itm_desert_boots|Ökenskor
; itm_harad_leather_greaves|Harad Greaves
itm_harad_scale_greaves|Haradskor
itm_harad_lamellar_greaves|Haradskor
itm_khand_inf_helm_a|Khandhjälm
itm_khand_inf_helm_b|Khandhjälm
; itm_khand_inf_helm_c1|Khand Bowl Helm
; itm_khand_inf_helm_c2|Khand Bowl Helm
; itm_khand_inf_helm_d|Khand Cone Helm
; itm_khand_cav_helm_a|Khand Rider Helm
; itm_khand_cav_helm_b|Khand Rider Helm
; itm_khand_cav_helm_c|Khand Decorated Helm
; itm_khand_helm_mask|Khand Mask
; itm_khand_light|Khand Kilt
; itm_khand_light_lam|Khand Light Lamellar
; itm_khand_foot_lam|Khand Footman Armor
; itm_khand_med_lam|Khand Medium Lamellar
; itm_khand_heavy_lam|Khand Heavy Lamellar
; itm_khand_axe_great|Khand Great Axe
; itm_khand_axe_winged|Khand Winged Axe
; itm_khand_halberd|Khand Halberd
; itm_khand_trident|Khand Trident
; itm_khand_voulge|Khand Voulge
; itm_khand_mace1|Khand Mace
; itm_khand_mace2|Khand Mace
; itm_khand_throwing_axe|Khand Throwing Axe
; itm_khand_rammace|Khand Ram Mace
; itm_khand_pitsword|Pit Fighter Sword
; itm_khand_tulwar|Khand Tulwar
; itm_khand_2h_tulwar|Khand Tulwar
; itm_khand_lance|Khand Lance
; itm_easterling_round_horseman|Easterling Round Shield
; itm_variag_gladiator_shield|Easterling Pit Shield
; itm_easterling_hawk_shield|Easterling Hawk Shield
; itm_rhun_bull1_shield|Rhun Shield
; itm_rhun_bull2_shield|Rhun Shield
; itm_rhun_bull3_shield|Rhun Shield
; itm_rhun_shield|Rhun Kite Shield
; itm_rhun_armor_a|Rhun Light Battlewear
; itm_rhun_armor_b|Rhun Light Battlewear
; itm_rhun_armor_d|Rhun Light Battlewear
; itm_rhun_armor_g|Rhun Heavy Battlewear
; itm_rhun_armor_h|Rhun Heavy Battlewear
; itm_rhun_armor_j|Rhun Medium Battlewear
; itm_rhun_armor_m|Rhun Medium Battlewear
; itm_rhun_armor_n|Rhun Medium Battlewear
; itm_rhun_armor_o|Rhun Medium Battlewear
; itm_rhun_armor_p|Rhun Noble Armor
; itm_rhun_armor_k|Rhun Noble Armor
; itm_rhun_helm_barbed|Rhun Barbed Helm
; itm_rhun_helm_horde|Rhun Horde Helm
