pt_rescued_prisoners|Prizonidi saveteet
pt_gondor_company|Patrouilh Minas Tirith
pt_rohan_company|Kompagnuniezh ar Rohan
pt_imladris_company|Kompagnuniezh ar Rivendell
pt_lorien_company|Kompagnuniezh al Lothlorien
pt_woodelf_company|Kompagnuniezh Mirkwood
pt_dale_company|Kompagnuniezh Dale
pt_dwarf_company|Kompagnuniezh Korred
pt_gondor_elite_company|Kompagnuniezh Begenn ar Gondor
pt_rohan_elite_company|Kompagnuniezh Begenn ar Rohan
pt_imladris_elite_company|Kompagnuniezh Begenn ar Rivendell
pt_lorien_elite_company|Kompagnuniezh Begenn al Lothlorien
pt_woodelf_elite_company|Kompagnuniezh Begenn ar Mirkwood
pt_dale_elite_company|Kompagnuniezh Begenn Dale
pt_dwarf_elite_company|Kompagnuniezh Begenn Korred
pt_gondor_caravan|Karvanenn ar Gondor
pt_rohan_caravan|Karvanenn ar Rohan
pt_imladris_caravan|Karvanenn ar Rivendell
pt_lorien_caravan|Karvanenn al Lothlorien
pt_woodelf_caravan|Karvanenn ar Mirkwood
pt_dale_caravan|Karvanenn Dale
pt_dwarf_caravan|Karvanenn Korred
pt_mordor_caravan|Pourvezañs ar Mordor
pt_isengard_caravan|Pourvezañs Isengard
pt_gunda_caravan|Pourvezañs Gundabad
pt_gondor_p_train|Bagad Prizonidi ar Gondor
pt_rohan_p_train|Bagad Prizonidi ar Rohan
pt_imladris_p_train|Bagad Prizonidi Rivendell
pt_lorien_p_train|Bagad Prizonidi Lothlorien
pt_woodelf_p_train|Bagad Prizonidi ar Mirkwood
pt_dale_p_train|Bagad Prizonidi Dale
pt_dwarf_p_train|Bagad Prizonidi Korred
pt_mordor_p_train|Bagad Prizonidi ar Mordor
pt_isengard_p_train|Bagad Prizonidi Isengard
pt_kingdom_hero_party|Brezelourien
pt_caravan_survivors|Karavanenn ar re chomet bev
pt_routed_allies|Kevredet disparfoeltret
pt_routed_enemies|Enebourien disparfoeltret
pt_legion_minas_morgul|Lejion Minas Morgul
pt_legion_udun|Lejion Udun
pt_legion_gorgoroth|Lejion Gorgoroth
pt_legion_barad_dur|Lejion Barad-Dur
pt_beorn_messenger|Kannad Beorning
pt_village|Kêriadenn
pt_ring_hunters|Chaseourien ar walenn
pt_scout_camp_small|Kamp an ergerzhourien
pt_scout_camp_large|Kamp an ergerzhourien kreñvaet
pt_beorn_caravan|Karavanenn Tud ar c'hoadeier
pt_orc_horde|Hord Ork
; pt_volunteers|Reserves
; pt_refugees|Refugees
; pt_retreat_troops|Cover Troops
pt_radagast|Marc'heger e-unan
