menu_start_game_1|^^^^^^^^^^ مالذي تحاربون لأجله؟
mno_start_1_des|رجل الصحراء
mno_start_2_far|من قبيلة ال فار هاراد
menu_start_numenorean|^ ^ ^ ^ ^ ^ ^ ^ أنت اسم أسود ، ^ مخلص للظلام ومورجوث. ^ حدد المكان الذي تخدم فيه العين
mno_start_1_bn|بجانب فم سورون ، في مورانون
mno_start_2_bn|في قلعة مستحضر الأرواح ، دول غولدور
menu_choose_gender|ماهوا جنسك؟
mno_start_male|ذكر
mno_start_female|انثى
menu_start_as_one|مانوعك من الجنود
mno_start_default|كن (Default) {s23}
mno_start_up1|كن (Easy) {s21}
mno_start_up2|كن {s22} (سهل)
mno_continue|اكمل....
menu_character_report|الروح المعنوية للجيش:
menu_camp|^ ^ ^ ^ أنت في {s1}. {s2} ^^ ماذا تريد أن تفعل؟
mno_camp_scene|تجول
mno_camp_troop|مراجعة {reg10؟ القوات:} {reg12؟ و:} {reg11؟ السجناء:}.
mno_camp_action|استعمل الغرض
mno_camp_wait_here|خيم هنا لبعض الوقت
mno_camp_options|تغيير خيارات TLD.
mno_Dev_Menu|قائمة المطور
menu_dev_menu|هذه خيارات تطوير تمنحك الكثير من خيارات الغش/الأدوات للعب بها.^^ ومع ذلك، سيؤدي هذا إلى بعض الأحداث قيد التطوير والمشغلات وتغييرات الحملة التي قد تفسد اللعبة.^^ استخدمها على مسؤوليتك الخاصة! ^^ أيضًا، عند الإبلاغ عن الأخطاء، يرجى إخبارنا بأنك تستخدم قائمة المطور.
mno_cheat_enable|تفعيل خيارات الغش / التعديل.
menu_game_options|^ ^ ^ ^ ^ ^ ^ ^ انقر على خيار للتبديل:
mno_game_options_war_level_start|تبدأ الحرب على المستوى: {s1}
mno_game_options_restrict_items|معدات اللاعب المقيدة: {s7}
mno_game_options_formations|تشكيلات المعركة والذكاء الاصطناعي: {s7}
mno_game_options_siege_ai|تنسيق حصار، مثل: {s7}
mno_game_options_town_menu|يمكن الوصول دائمًا إلى شخصيات المدينة غير القابلة للعب من القوائم: {s7}
mno_game_options_cutscenes|مشاهد: {s7}
mno_game_options_injuries|إصابات الصحبه: {s7}.
mno_game_options_death|الموت الدائم للوردات و الصحبه: {s7}.
mno_game_options_death2|الموت الدائم للاعب (that is YOU!): {s7}.
mno_game_options_morale|نظام معنويات المعركة: {s7}
mno_game_options_animal_ambushes|نصب كمائن للحيوانات: {s7}
mno_game_options_horse_ko|رسائل تلف الراكب الساقط: {s7}
mno_game_options_bright_nights|ليالي أكثر إشراقًا: {s7}.
mno_game_options_camera_pref|وضع الكاميرا المفضل: {s7}.
mno_game_options_tweaks|تعديلات اللعب ...
mno_game_options_back|العوده الى قائمة المخيم.
mno_game_options_start_back|العوده.
menu_camp_tweaks|^ ^ ^ ^ ^ ^ ^ ^ حدد الخيار الذي تريد تعديله.
mno_tweak_options_compat|تعديلات التوافق ...
mno_tweak_options_strat|تعديلات الإستراتيجية ...
mno_tweak_options_battlefield_ai|تعديلات المعركه AI ...
mno_tweak_options_back|العوده الى قائمة الاعدادات.
menu_camp_compat_tweaks|^ ^ ^ ^ ^ ^ ^ ^ انقر فوق خيار للتغيير (اضغط باستمرار على الشفت للتقليل): ^ (هذه للتوافق وليست غش)
mno_game_options_compat_party|الحد الأقصى لعدد الصحبه: {s1}
mno_game_options_compat_back|العودة إلى قائمة التعديلات.
menu_camp_strat_tweaks|^ ^ ^ ^ ^ ^ ^ ^ انقر على خيار للتبديل:^(تحذير: هذه خيارات غش!)
mno_strat_tweaks_siege_reqs|متطلبات قوة الحصار: {s7}
mno_strat_tweaks_siege_relax_rate|شارع الحصار. مطلوب. معدل الاسترخاء: {reg1}
mno_strat_tweaks_regen_rate|معدل استعادة القوة: {s7}
mno_strat_tweaks_siege_regen_limit|تتجدد قوة الفصيل بشكل أبطأ عند: {reg1}
mno_strat_tweaks_influence_gain_rate|معدل كسب النفوذ: {reg0}%
mno_strat_tweaks_rank_gain_rate|معدل كسب الرتبة: {reg0}%
mno_strat_tweaks_back|العودة إلى قائمة المهام.
menu_camp_action|^ ^ ^ ^ ^ ^ ^ ^ ^ اى موضوع؟
mno_camp_drink_water|اشرب ماء اينت!
mno_camp_drink_orc_brew|مر حول Orc !
mno_camp_drink_miruvor|مر حول Miruvor!
mno_camp_use_athelas|استخدم أثيلاس لعلاج الجروح.
mno_camp_use_drums|تغلب على طبول الأعماق.
mno_camp_action_4|العوده.
menu_assasins_attack_player_won|لقد نجحت في هزيمة قتلة من {s2} ، تم إرسالهم بواسطة {s3}.
menu_assasins_attack_player_retreat|انت هربت بعمرك يالخوي!
menu_fangorn_danger|^ ^ ^ ^ ^ ^ ^ أصوات غريبة ، مهددة في كل مكان من حولك. ^ هل تتحدث الأشجار؟ هناك شعور بالغضب الشديد والألم في الهواء. ^ أوامرك؟
mno_be_quiet_elf|احترم كراهية الأشجار. تحرك بهدوء.
mno_be_quiet|ضع الأسلحة جانباً وابقى صامتاً! الآن من هنا!
mno_be_bold|تابع! أنا لا أخاف من النباتات أو الأساطير القديمة!
mno_fight_back|دعنا نكتشف! ابحث في المنطقة! أحرق شجرة أو اثنتين! (تخييم)
menu_fangorn_search_fails|^ ^ ^ ^ ^ ^ إنك تبحث في الغابة الكثيفة المظلمة ولكنك لا تجد شيئًا. ^ ومع ذلك ، تشعر بالملاحظة والتهديد ، أكثر وأكثر.
menu_fangorn_killed_player_only|^ ^ ^ ^ ^ ^ تتجول في الغابة الكثيفة المظلمة. فجأة يصطدم بشيء ما! ربما سقط غصن ثقيل على رأسك؟ ^ أنت تبقى فاقدًا للوعي لدقائق فقط. أنت تتأذى بشدة ولكن يمكنك الاستمرار.
mno_ow_get_out|اه! دعنا نخرج من هذا المكان الملعون!
menu_fangorn_killed_troop_and_player|^ ^ ^ ^ ^ ^ تتجول في الغابة الكثيفة المظلمة. ^^ فجأة يصطدم بشيء ما! ربما سقط غصن ثقيل على رأسك. ^^ عندما تتعافى ، وبعد دقائق ، تجد أن ليس كل جنودك محظوظين. ^^
menu_fangorn_killed_troop_only|^ ^ ^ ^ ^ ^ ^ ^ ^ تتجول في الغابة الكثيفة والمظلمة. قواتك خائفة ^ ^ فجأة ، تسمع صراخ من الخلف! تسرع في العودة ، فقط لتجد القليل من جنودك على الأرض ، في بركة من الدماء. ^ ^ لا يوجد مكان آخر يمكن العثور عليه ...
mno_get_out|دعنا نخرج من هذا المكان الملعون!
menu_can_capture_troll|القزم البري الذي سقط يتنفس ما زال يتنفس عيناها الشريرة تحدقان فيك مليئة بالألم والغضب. ^ حتى الآن بعد أن تم إنزالها ، وترقد بلا حول ولا قوة في بركة من دمائها ، تبدو خطيرة للغاية ...
mno_killit|أرسلها الآن. تأكد من أنها ماتت.
mno_cageit1|ضعها في قفص واسحبه.
mno_cageit2|ضعها في قفص مع القزم الآخر.
mno_cheat_disabable|تعطيل خيارات الغش / التعديل.
menu_drank_ent_water_human|^ ^ ^ أنت تشرب الماء. طعمها نظيف ومنعش. له رائحة لطيفة مثل المسك. تشعر بالانتعاش. ^ ^ ومع ذلك ، لديك أيضا شعور غريب وغير طبيعي. هناك شيء يخبرك أنه من الأفضل ألا تشرب هذه المياه مرة أخرى.
menu_drank_ent_water_orc|^ ^ ^ أنت تشرب الماء. إنه مجرد ماء. ^ فجأة ، تمسك حلقك ، في نوبة ألم. ^ مسمومة! ^ تختنق ، تتقيأ دمًا أسود ، وتكاد تموت. ^^ إنه مؤلم ، أوه ، إنه مؤلم.
mno_i_shall_surv|أنا ... يجب ... البقاء على قيد الحياة!
menu_end_game|^ ^ ^ ^ ^ تم اتخاذ القرار ، وأنت عازم على التخلي عن حياة مغامرك والاستقرار. أنت تبيع أسلحتك ودروعك ، وتجمع كل متعلقاتك ، وتنطلق نحو غروب الشمس ...
mno_end_game_bye|وداعاً.
menu_cattle_herd|تصادف بعض الناس.
mno_cattle_drive_away|اطلب منهم أن يتبعوا.
mno_cattle_stop|اجعلهم يتوقفون.
mno_leave|ارحل.
menu_simple_encounter|^ ^ ^ ^ ^ {s2} ^ لديك {reg22} من القوات المناسبة للمعركة ضد {reg11}. ^^ المعركة تجري في {s3} {s4}. ^^؟
mno_encounter_attack|{reg21؟ اشحنهم: استعد لمواجهتهم}.
mno_encounter_order_attack|اطلب من قواتك {reg21؟ attack: face them} بدونك.
mno_control_allies_menu|استخدم النفوذ لقيادة حلفائك في الميدان.
mno_encounter_hide|ازبن من الاعداء...
mno_special_whip|اندفع للأمام تجاههم في كسر {s4}.
mno_encounter_attack_bearform|{reg21؟ قفز إلى المعركة في شكل دب: اقلب الجلد ووجهه}.
mno_encounter_leave|فك الارتباط
mno_encounter_retreat|انسحب تاركًا بعض الجنود خلفك لتغطية انسحابك.
mno_player_control_allies_simple|قم بقيادةهم واشحن العدو
mno_player_control_allies_back|ارجع للخلف
mno_hide_close|اكمل....
menu_encounter_retreat_confirm|^ ^ ^ ^ ^ بصفتك عضوًا في المجموعة يتمتع بأعلى مهارة في التكتيكات ، ({reg2}) ، {reg3؟ ابتكرت: {s3} تضع} خطة تسمح لك ولرجالك بالهروب بحياتك ، لكن عليك ترك جنود {reg4} خلفك لمنع العدو من المطاردة.
mno_leave_behind|تابع. تضحية هؤلاء الرجال ستنقذ البقية.
mno_dont_leave_behind|لا ، نحن لا نترك أحدًا خلفنا.
menu_encounter_retreat|^ ^ ^ ^ ^ أنت تخبر {reg4} من قواتك بإمساك العدو بينما تتراجع مع بقية مجموعتك.
menu_order_attack_begin|^ ^ ^ ^ ^ ^ تستعد قواتك لمهاجمة العدو.
mno_order_attack_begin|امرهم ببد الهجوم .
mno_call_back|امرهم بلرجوع.
menu_order_attack_2|^ {s4} ^ خسائرك: {s8} ^^ خسائر العدو: {s9}
mno_order_attack_continue|امرهم باستكمال الهجوم
mno_order_retreat|امر جنودك للرجوع
menu_kingdom_army_quest_report_to_army|يرسل {s8} كلمة أنه يرغب في انضمامك إلى حملته العسكرية الجديدة. تحتاج إلى إحضار ما لا يقل عن {reg13} من القوات إلى الجيش ويتم توجيهك إلى رفع المزيد من المحاربين بكل سرعة إذا لم يكن لديك ما يكفي.
mno_reject|ارسل رسالة انك مشغول للغاية
mno_send_word|ارسل رساله سانضم لك قريبا
menu_kingdom_army_quest_messenger|يرسل {s8} كلمة يرغب في التحدث معك حول مهمة يحتاج إلى أداؤها. يطلب منك أن تأتي وتراه في أسرع وقت ممكن.
menu_kingdom_army_quest_join_siege_order|يرسل {s8} كلمة تفيد بأنك ستنضم إلى حصار {s9} استعدادًا لهجوم كامل. القوات الخاصة بك سوف تأخذ {s9} بأي ثمن.
menu_kingdom_army_follow_failed|لقد عصيت الأوامر وفشلت في اتباع {s8}. يرسل رسالة يفترض أن لديك أمورًا أكثر إلحاحًا ، لكنه يحذر من أن صبره ليس بلا حدود.
menu_battle_debrief|{s11} ^ الخسائر الخاصة بك: {s8} {s10} ^^ خسائر العدو: {s9}
mno_inspect_troll|فحص القزم الذي سقط
menu_pre_join|^ ^ ^ ^ ^ واجهت معركة بين {s2} و {s1}. قررت أن ...
mno_pre_join_help_attackers|تحرك لمساعدة {s2}.
mno_pre_join_help_defenders|التسرع لمساعدة {s1}.
mno_pre_join_help_refugees|التسرع لمساعدة {s1}.
mno_pre_join_leave|مالي دخل فيهم
menu_join_battle|^ ^ ^ ^ أنت تساعد {s2} ضد {s1}. ^ لديك {reg22} من القوات الصالحة للمعركة ضد العدو {reg11}. ^^ المعركة تدور في {s3} {s4}.
mno_join_attack|مهاجمة العدو.
mno_join_order_attack|اطلب من قواتك الهجوم مع حلفائك أثناء بقائك في الخلف.
mno_control_allies_join_menu|استخدم النفوذ لقيادة حلفائك في الميدان.
mno_join_attack_bearform|قفز إلى المعركة في شكل دب
mno_join_leave|فك الارتباط
mno_player_control_allies_join_menu|قم بقيادةهم ومهاجمة العدو
menu_join_order_attack|{s4} ^^ خسائرك: {s8} ^^ خسائر الحلفاء: {s9} ^^ خسائر العدو: {s10}
mno_enter|ادخل.
menu_battlefields|^ ^ ^ ^ ^ ^ ^ ^ ^ ^ حدد خانة ...
mno_enter_f1|حقل 1
mno_enter_f2|حقل 2
mno_enter_f3|حقل 3
mno_enter_f4|حقل 4
mno_enter_f5|حقل 5
menu_join_siege_outside|^ ^ ^ ^ ^ ^ {s1} تعرض للحصار من قبل {s2}.
mno_approach_besiegers|اقترب من معسكر الحصار.
mno_pass_through_siege|مر عبر خطوط الحصار وادخل {s1}.
menu_cut_siege_without_fight|يتيح لك المحاصرون الاقتراب من البوابات دون اعتراض.
menu_besiegers_camp_with_allies|{s1} لا يزال تحت الحصار. رايات {s2} تطير فوق معسكر المحاصرين حيث يتم الترحيب بك وبقواتك.
mno_talk_to_siege_commander|طلب لقاء مع القائد.
mno_join_siege_with_allies|انضم إلى الهجوم التالي.
mno_join_siege_stay_back|اطلب من جنودك الانضمام إلى الهجوم التالي بدونك.
menu_moria_must_escape|^^يبدو أن الكتاب يروي آخر محاولة للأقزام لإعادة التوطين في موريا، والتي يبدو أنها انتهت بموت بشع لجميع المشاركين. بينما تتأمل مصيرهم المظلم، تسمع فجأة صيحات قاسية وصوت العديد من الأقدام المسرعة.^ إنهم قادمون!^ بمغادرة الحجرة بسرعة، تلاحظ أن الأصوات تأتي من القاعة. ليس لديك خيار سوى الفرار في الاتجاه الآخر، إلى نفق ضيق متعرج ونزولاً... ^...^بعد ساعتين تدرك أنك تائه في أعماق موريا وتحتاج إلى إيجاد مخرج.
mno_moria_exit_scene|ابحث عن طريقك للخروج!
menu_castle_outside|أنت خارج {s2}. {s11} {s3} {s4}
mno_cheat_steal_book_door|احصل على الكتاب
mno_moria_enter|عد إلى القاعة الرئيسية لموريا عبر المدخل السري
mno_moria_enter_door|أدخل موريا.
mno_castle_start_siege|حاصر {reg6؟ town: castle}.
mno_castle_leave|ارحل.
menu_castle_besiege|أنت تفرض حصارًا على {s1}. {s2} {s3}
mno_siege_request_meeting|دعوة للقاء مع قائد القلعة.
mno_wait_24_hours|انتظر لين بكره
mno_castle_lead_attack|قُد جنودك في هجوم.
mno_attack_stay_back|امر جنودك بالهجوم أثناء بقائك في الخلف ...
mno_build_ladders|جهز السلالم لمهاجمة الجدران.
mno_lift_siege|اسحب على الحصار.
menu_siege_attack_meets_sally|^ ^ ^ ^ ^ ^ واصف المدافعون مواجهة هجومك.
menu_construct_ladders|بصفتك عضوًا في المجموعة يتمتع بأعلى مهارة مهندس ({reg2}) ، {reg3؟ تقدر: {s3} تقدر} أن الأمر سيستغرق {reg4} ساعات لبناء سلالم متدرجة كافية للهجوم.
mno_build_ladders_cont|افعلها
menu_castle_attack_walls_simulate|{s4} ^^ خسائرك: {s8} ^^ خسائر العدو كانت: {s9}
menu_castle_attack_walls_with_allies_simulate|{s4} ^^ خسائرك: {s8} ^^ خسائر الحلفاء: {s9} ^^ خسائر العدو: {s10}
menu_castle_taken_by_friends|مافيه شي تراه هنا.
menu_castle_taken|{s3} سقطت بيد قواتك ، وأنت الآن تتحكم بشكل كامل في {reg2؟ town: castle}. {reg1؟ يبدو أنه لا يوجد ما يمنعك من أخذها لنفسك ...:}
menu_castle_taken_2|لقد سقط {s3} في يد قواتك ، وأنت الآن تتمتع بالسيطرة الكاملة على القلعة. حان الوقت لإرسال كلمة إلى {s9} حول انتصارك. {s5}
mno_castle_taken_no_claim|الشريف ماياخذ مكافاة.
menu_siege_started_defender|{s1} يشن هجومًا على جدران {s2}. لديك {reg22} من القوات الصالحة للمعركة ضد العدو {reg11}. قررت أن ...
mno_siege_defender_join_battle|انضم للمعركه .
mno_siege_defender_troops_join_battle|اطلب من رجالك الانضمام إلى المعركة بدونك.
mno_siege_defender_do_not_join_battle|مالي دخل فيهم
menu_siege_join_defense|{s4} ^^ خسائرك: {s8} ^^ خسائر الحلفاء: {s9} ^^ خسائر العدو: {s10}
menu_village_hunt_down_fugitive_defeated|^ ^ ^ ^ ^ ضربة قوية من الهارب توصلك الى الارض وتدور رؤيتك وتظل مظلمة. الوقت يمضي. عندما تفتح عينيك مرة أخرى تجد نفسك مضروبًا وداميًا ، لكن لحسن الحظ لا يبدو أن أيًا من الجروح مميتة.
menu_town_bandits_succeeded|^ ^ ^ ^ ^ تسقط العفاريت امامك كالقمح في منجل! سرعان ما تقف بمفردك بينما يرقد معظم مهاجميك فاقدًا للوعي أو ميتًا أو يحتضر. بالتأكيد سيكون السكان المحليون ممتنين جدًا لأنك أنقذتهم من هذا الخطر.
menu_town_brawl_lost|^ ^ ^ ^ ^ ^ لقد تم طردك من البرد. الأشخاص الذين هاجمتهم يفتشونك بسرعة بحثًا عن الأشياء الثمينة ، قبل متابعة أعمالهم اليومية.
menu_town_brawl_won|^ ^ ^ ^ ^ لقد هزمت جميع المعارضين والحراس المرسلين لقمع الاضطراب. تقوم بتفتيشهم سريعًا بحثًا عن الأشياء الثمينة ثم تختفي حتى تهدأ الأعصاب. ^ ربما في المرة القادمة سيظهرون مزيدًا من الاحترام ويتراجعون.
menu_close|لاشيئ.
menu_town|لقد وصلت في {s60}. {s12} {s13}
mno_town_menu_0|اذهب إلى بعض المواقع.
mno_town_menu_0_door|افحص...
mno_town_approach|اقتراب{s1} ...
mno_town_castle|اذهب إلى {s1}.
mno_town_castle_door|باب القلعة.
mno_town_center|المشي في ساحة المدينة.
mno_town_center_door|باب الى وسط المدينة.
mno_aw_chamber_door|افتح الباب.
mno_trade_with_arms_merchant|قم بزيارة {s40}.
mno_trade_with_horse_merchant|قم بزيارة {s41}.
mno_town_prison_door|إلى ساحة التدريب
mno_talk_to_healer|تحدث مع {s40}.
mno_talk_to_castle_commander|قم بزيارة {s61} Barracks.
mno_speak_with_elder|تحدث مع {s6}.
mno_town_ask|اسأل عن الأشخاص ذوي الأهمية...
mno_player_initiate_siege|هاجم {reg6?town: castle}...
mno_isengard_underground|اذهب إلى الكهوف تحت الأرض.
mno_isengard_underground_door|اذهب إلى الكهوف تحت الأرض
mno_tirith_toplevel|يصعد إلى المستوى الأعلى.
mno_tirith_toplevel_door|اذهب إلى القلعة
mno_erebor_gates|قم بزيارة Great Gates.
mno_erebor_gates_door|اذهب إلى البوابات العظيمة
mno_glittering_caves|اذهب إلى الكهوف المتلألئة.
mno_glittering_caves_door|اذهب إلى الكهوف المتلألئة
mno_town_leave|ارحل...
mno_town_leave_door|ارحل من المنطقة.
mno_town_find_NPCs_cont|افعلها
menu_town_find_NPCs_end|بالتحدث مع أهل {s2}، {reg3?وجدت:{s3} وجد} مواقع الإسطبلات المحلية والمستودع والحدادة {s4} ^^{s6}
menu_player_initiated_siege_result|لقد هاجمت هذا المركز تحت شعار {s2}.
menu_disembark|هل ترغب في النزول؟
mno_disembark_yes|نعم.
mno_disembark_no|لا.
menu_ship_reembark|هل ترغب في الانطلاق؟
mno_reembark_yes|نعم.
mno_reembark_no|لا.
menu_center_reports|اسم المدينة: {s1} ^ دخل الإيجار: {reg1} denars ^ Tariff Income: {reg2} denars ^ مخزون الطعام: لـ {reg3} يومًا
menu_sneak_into_town_suceeded|متنكرا في ثياب حاج فقير ، تخدع الحراس وتشق طريقك إلى المدينة.
menu_sneak_into_town_caught|أثناء محاولتك التسلل ، يتعرف عليك أحد الحراس ويطلق ناقوس الخطر! يجب أن تهرب من خلال البوابات قبل أن ينزل عليك جميع الحراس في المدينة!
mno_sneak_caught_fight|حاول أن تقاتل في طريقك للخروج!
mno_sneak_caught_surrender|استسلام.
menu_sneak_into_town_caught_dispersed_guards|أنت تدفع بعيدًا عن الحراس وتغطي دربك قبل الهروب ، وتفقد بسهولة من يلاحقونك في متاهة الشوارع.
menu_sneak_into_town_caught_ran_away|تشق طريقك مرة أخرى عبر البوابات وتراجع سريعًا إلى الأمان خارج المدينة.
menu_tld_player_defeated|^ ^ ^ ^ ^ فجأة ينفجر ألم محطم في مؤخرة رأسك! \\ أنت ترتجف لأن كل العالم يتحول إلى اللون الأسود من حولك ... ^ هل هذه هي نهايتك؟
menu_recover_after_death_fangorn|استيقظ. الغابة لا تزال حولك. كل عظم يؤلم. أنت على قيد الحياة ، بالمعجزة. ^ لقد كانت هزيمة ، لكن على الأقل كنت قادرًا على رؤية ما حدث. ^ الآن أنت تعرف ما يحدث في هذه الغابة اللعينة ، ونجوت لتخبر. ^^ هل سيصدقك أحد؟
menu_recover_after_death_moria|^ ^ ^ ^ ^ تستعيد وعيك. أنت مستلق على تربة ناعمة ، والهواء النقي ينساب على وجهك. أنت بالخارج ^ لابد أن العفاريت أخذوك ليموتوا وألقوا بك في حفرة مظلمة. ^ لابد أنك قد حملت إلى السطح بواسطة تيار تحت الأرض.
mno_whatever|استيقظ.
menu_recover_after_death_default|^ ^ ^ ^ ^ تستعيد وعيك. أنت تكذب على المكان الذي وقعت فيه. يجب أن يكون الأعداء قد أخذوك من الموت وتركوك هناك. ومع ذلك ، يبدو أن أيا من جروحك لم تكن مميتة ، وعلى الرغم من شعورك بالفزع ، فإنك تكتشف أنه لا يزال بإمكانك المشي. تنهض وتحاول البحث عن ناجين آخرين من حزبك.
menu_recover_after_death_town|^ ^ ^ ^ تستعيد وعيك وتجد نفسك في ضواحي المدينة. انت على قيد الحياة! لا أحد في الجوار وأنت تغتنم فرصتك لتجر نفسك خارج المدينة. يبدو أن أيًا من جروحك لم تكن مميتة ، وعلى الرغم من شعورك بالسوء ، فلا يزال بإمكانك المشي.
