trp_tutorial_maceman|حامل صولجان
trp_a5_woodmen_night_stalker_pl|مطاردو الليل في ميركوود
trp_i1_beorning_man|رجل بيورنينغ
trp_i1_beorning_man_pl|رجال بيورنينغ
trp_i2_beorning_warrior|محارب بيورنينغ
trp_i2_beorning_warrior_pl|محاربون بيورنينغ
trp_i3_beorning_tolltacker|آخذ رسوم بيورنينغ
trp_i3_beorning_tolltacker_pl|آخذو رسوم بيورنينغ
trp_i4_beorning_sentinel|حارس بيورنينغ
trp_i4_beorning_sentinel_pl|حراس بيورنينغ
trp_i5_beorning_warden_of_the_ford|حارس المخاضة البيورنينغ
trp_i5_beorning_warden_of_the_ford_pl|حراس المخاضة البيورنينغ
trp_i3_beorning_carrock_lookout|مراقب كاروك البيورنينغ
trp_i3_beorning_carrock_lookout_pl|مراقبو كاروك البيورنينغ
trp_i4_beorning_carrock_fighter|مقاتل كاروك البيورنينغ
trp_i4_beorning_carrock_fighter_pl|مقاتلو كاروك البيورنينغ
trp_i5_beorning_carrock_berserker|برزيركر كاروك البيورنينغ
trp_i5_beorning_carrock_berserker_pl|برزيركرو كاروك البيورنينغ
trp_i1_dale_militia|جندي ميليشيا ديل
trp_i1_dale_militia_pl|ميليشيا ديل
trp_i2_dale_man_at_arms|رجل سلاح ديل
trp_i2_dale_man_at_arms_pl|رجال سلاح ديل
trp_a2_dale_scout|كشاف ديل
trp_a2_dale_scout_pl|كشافة ديل
trp_a3_dale_bowman|حامل قوس ديل
trp_a3_dale_bowman_pl|حاملو قوس ديل
trp_a4_dale_archer|رامي ديل
trp_a4_dale_archer_pl|رماة ديل
trp_a5_barding_bowman|رامي باردينغ
trp_a5_barding_bowman_pl|رماة باردينغ
trp_i3_dale_swordsman|سياف ديل
trp_i3_dale_swordsman_pl|سيافو ديل
trp_i4_dale_sergeant|رقيب ديل
trp_i4_dale_sergeant_pl|رقباء ديل
trp_i5_dale_hearthman|رجل الموقد في ديل
trp_i5_dale_hearthman_pl|رجال الموقد في ديل
trp_i3_dale_spearman|حامل رمح ديل
trp_i3_dale_spearman_pl|حاملو رمح ديل
trp_i4_dale_billman|حامل منجل ديل
trp_i4_dale_billman_pl|حاملو مناجل ديل
trp_i5_dale_bill_master|سيد المنجل في ديل
trp_i5_dale_bill_master_pl|سادة المنجل في ديل
trp_c2_rhovanion_retainer|تابع شمالي
trp_c2_rhovanion_retainer_pl|أتباع شماليون
trp_c3_rhovanion_auxilia|مساعد شمالي
trp_c3_rhovanion_auxilia_pl|مساعدون شماليون
trp_c4_rhovanion_rider|فارس روفانيون
trp_c4_rhovanion_rider_pl|فرسان روفانيون
trp_ac5_rhovanion_marchwarden|حارس الثغر في روفانيون
trp_ac5_rhovanion_marchwarden_pl|حراس الثغر في روفانيون
trp_i1_rhun_tribesman|رجل قبيلة رون
trp_i1_rhun_tribesman_pl|رجال قبيلة رون
trp_ac2_rhun_horse_scout|كشاف فرسان رون
trp_ac2_rhun_horse_scout_pl|كشافة فرسان رون
trp_ac3_rhun_horse_archer|رامي فرسان رون
trp_ac3_rhun_horse_archer_pl|رماة فرسان رون
trp_ac4_rhun_veteran_horse_archer|رامي فرسان رون مخضرم
trp_ac4_rhun_veteran_horse_archer_pl|رماة فرسان رون مخضرمون
trp_ac5_rhun_balchoth_horse_archer|رامي فرسان بالشوث
trp_ac5_rhun_balchoth_horse_archer_pl|رماة فرسان بالشوث
trp_c3_rhun_swift_horseman|فارس رون السريع
trp_c3_rhun_swift_horseman_pl|فرسان رون السريعون
trp_c4_rhun_veteran_swift_horseman|فارس رون السريع المخضرم
trp_c4_rhun_veteran_swift_horseman_pl|فرسان رون السريعون المخضرمون
trp_c5_rhun_falcon_horseman|فارس الصقر
trp_c5_rhun_falcon_horseman_pl|فرسان الصقر
trp_i2_rhun_tribal_warrior|محارب قبيلة رون
trp_i2_rhun_tribal_warrior_pl|محاربو قبيلة رون
trp_i3_rhun_tribal_infantry|جندي مشاة قبيلة رون
trp_i3_rhun_tribal_infantry_pl|مشاة قبيلة رون
trp_i4_rhun_vet_infantry|جندي مشاة رون مخضرم
trp_i4_rhun_vet_infantry_pl|مشاة رون مخضرمون
trp_i5_rhun_ox_warrior|محارب الثور
trp_i5_rhun_ox_warrior_pl|محاربو الثور
; trp_c2_rhun_horseman|Horseman of Rhun
; trp_c2_rhun_horseman_pl|Horsemen of Rhun
; trp_c3_rhun_outrider|Outrider of Rhun
; trp_c3_rhun_outrider_pl|Outriders of Rhun
; trp_c4_rhun_noble_rider|Noble Rider of Rhun
; trp_c4_rhun_noble_rider_pl|Noble Riders of Rhun
; trp_c5_rhun_warrider|Warrider of Rhun
; trp_c5_rhun_warrider_pl|Warriders of Rhun
trp_c6_rhun_warlord|قائد حرب رون
; trp_c6_rhun_warlord_pl|Warlords of Rhun
trp_i1_dwarf_apprentice|قزم متدرب
trp_i1_dwarf_apprentice_pl|أقزام متدربون
trp_i2_dwarf_warrior|قزم محارب
trp_i2_dwarf_warrior_pl|أقزام محاربون
trp_i3_dwarf_hardened_warrior|قزم محارب صلب
trp_i3_dwarf_hardened_warrior_pl|أقزام محاربون صلبون
trp_i4_dwarf_spearman|قزم حامل رمح
trp_i4_dwarf_spearman_pl|أقزام حاملو رمح
trp_i5_dwarf_pikeman|قزم حامل مطرد
trp_i5_dwarf_pikeman_pl|أقزام حاملو مطرد
trp_i6_dwarf_longpikeman|قزم حامل مطرد طويل
trp_i6_dwarf_longpikeman_pl|أقزام حاملو مطرد طويل
trp_i4_dwarf_axeman|قزم حامل فأس
trp_i4_dwarf_axeman_pl|أقزام حاملو فؤوس
trp_i5_dwarf_expert_axeman|قزم حامل فأس خبير
trp_i5_dwarf_expert_axeman_pl|أقزام حاملو فؤوس خبراء
trp_i6_dwarf_longbeard_axeman|قزم طويل اللحية حامل فأس
trp_i6_dwarf_longbeard_axeman_pl|أقزام طويلو اللحية حاملو فؤوس
trp_a2_dwarf_lookout|قزم مراقب
trp_a2_dwarf_lookout_pl|أقزام مراقبون
trp_a3_dwarf_scout|قزم كشاف
trp_a3_dwarf_scout_pl|أقزام كشافة
trp_a4_dwarf_bowman|قزم حامل قوس
trp_a4_dwarf_bowman_pl|أقزام حاملو قوس
trp_i6_dwarf_longaxeman|قزم حامل فأس طويلة
trp_i6_dwarf_longaxeman_pl|أقزام حاملو فؤوس طويلة
trp_i3_iron_hills_warrior|محارب تلال الحديد
trp_i3_iron_hills_warrior_pl|محاربو تلال الحديد
trp_i2_iron_hills_miner|عامل منجم تلال الحديد
trp_i2_iron_hills_miner_pl|عمال مناجم تلال الحديد
trp_i4_iron_hills_infantry|مشاة تلال الحديد
trp_i4_iron_hills_infantry_pl|مشاة تلال الحديد
trp_i5_iron_hills_battle_dwarf|قزم معركة تلال الحديد
trp_i5_iron_hills_battle_dwarf_pl|أقزام معركة تلال الحديد
trp_i6_iron_hills_grors_guard|حرس غرور
trp_i6_iron_hills_grors_guard_pl|حرس غرور
trp_i1_gon_levy|مجند غوندور
trp_i1_gon_levy_pl|مجندو غوندور
trp_i2_gon_watchman|حارس غوندور
trp_i2_gon_watchman_pl|حراس غوندور
trp_i3_gon_footman|جندي مشاة غوندور
trp_i3_gon_footman_pl|جنود مشاة غوندور
trp_i4_gon_spearman|حامل رمح غوندور
trp_i4_gon_spearman_pl|حاملو رمح غوندور
trp_i5_gon_vet_spearman|حامل رمح غوندور مخضرم
trp_i5_gon_vet_spearman_pl|حاملو رمح غوندور مخضرمون
trp_i6_gon_tower_spearman|حارس بلاط النافورة
trp_i6_gon_tower_spearman_pl|حراس بلاط النافورة
trp_i4_gon_swordsman|سياف غوندور
trp_i4_gon_swordsman_pl|سيافو غوندور
trp_i5_gon_vet_swordsman|سياف غوندور مخضرم
trp_i5_gon_vet_swordsman_pl|سيافو غوندور مخضرمون
trp_i6_gon_tower_swordsman|سياف حرس البرج
trp_i6_gon_tower_swordsman_pl|سيافو حرس البرج
trp_c1_gon_nobleman|نبيل غوندور
trp_c1_gon_nobleman_pl|نبلاء غوندور
trp_c2_gon_squire|مرافق غوندور
trp_c2_gon_squire_pl|مرافقو غوندور
trp_c3_gon_vet_squire|مرافق غوندور مخضرم
trp_c3_gon_vet_squire_pl|مرافقو غوندور مخضرمون
trp_c4_gon_knight|فارس غوندور
trp_c4_gon_knight_pl|فرسان غوندور
trp_c5_gon_vet_knight|فارس غوندور مخضرم
trp_c5_gon_vet_knight_pl|فرسان غوندور مخضرمون
trp_c6_gon_tower_knight|فارس القلعة
trp_c6_gon_tower_knight_pl|فرسان القلعة
trp_a3_gon_bowman|حامل قوس غوندور
trp_a3_gon_bowman_pl|حاملو قوس غوندور
trp_a4_gon_archer|رامي غوندور
trp_a4_gon_archer_pl|رماة غوندور
trp_a5_gon_vet_archer|رامي غوندور مخضرم
trp_a5_gon_vet_archer_pl|رماة غوندور مخضرمون
trp_a6_gon_tower_archer|رامي حرس البرج
trp_a6_gon_tower_archer_pl|رماة حرس البرج
trp_steward_guard|حارس المضيف
trp_steward_guard_pl|حراس المضيف
trp_a4_ithilien_ranger|حارس إثيليان
trp_a4_ithilien_ranger_pl|حراس إثيليان
trp_a5_ithilien_vet_ranger|حارس إثيليان مخضرم
trp_a5_ithilien_vet_ranger_pl|حراس إثيليان مخضرمون
trp_a6_ithilien_master_ranger|حارس إثيليان رئيسي
trp_a6_ithilien_master_ranger_pl|حراس إثيليان رئيسيون
trp_a6_ithilien_leader|قبطان حراس إثيليان
trp_a6_ithilien_leader_pl|قباطنة حراس إثيليان
trp_i1_loss_woodsman|حطاب لوسارناخ
trp_i1_loss_woodsman_pl|حطابو لوسارناخ
trp_i2_loss_axeman|حامل فأس لوسارناخ
trp_i2_loss_axeman_pl|حاملو فؤوس لوسارناخ
trp_i3_loss_vet_axeman|حامل فأس لوسارناخ مخضرم
trp_i3_loss_vet_axeman_pl|حاملو فؤوس لوسارناخ مخضرمون
trp_i4_loss_heavy_axeman|حامل فأس لوسارناخ الثقيل
trp_i4_loss_heavy_axeman_pl|حاملو فؤوس لوسارناخ الثقيلون
trp_i5_loss_axemaster|سيد الفأس في لوسارناخ
trp_i5_loss_axemaster_pl|سادة الفأس في لوسارناخ
trp_i6_loss_leader|قبطان لوسارناخ
trp_i6_loss_leader_pl|قباطنة لوسارناخ
trp_i1_pel_watchman|حارس بيلارغير
trp_i1_pel_watchman_pl|حراس بيلارغير
trp_a2_pel_marine|مشاة بحرية بيلارغير
trp_a2_pel_marine_pl|مشاة بحرية بيلارغير
trp_a3_pel_vet_marine|مشاة بحرية بيلارغير مخضرمون
trp_a3_pel_vet_marine_pl|مشاة بحرية بيلارغير مخضرمون
trp_i2_pel_infantry|جندي مشاة بيلارغير
trp_i2_pel_infantry_pl|جنود مشاة بيلارغير
trp_i3_pel_vet_infantry|جندي مشاة بيلارغير مخضرم
trp_i3_pel_vet_infantry_pl|جنود مشاة بيلارغير مخضرمون
trp_i6_pel_leader|قبطان بيلارغير
trp_i6_pel_leader_pl|قباطنة بيلارغير
trp_a6_pel_marine_leader|قبطان مشاة بحرية بيلارغير
trp_a6_pel_marine_leader_pl|قباطنة مشاة بحرية بيلارغير
trp_i1_lam_clansman|رجل عشيرة لاميدون
trp_i1_lam_clansman_pl|رجال عشيرة لاميدون
trp_i2_lam_footman|جندي مشاة لاميدون
trp_i2_lam_footman_pl|جنود مشاة لاميدون
trp_i3_lam_veteran|مخضرم لاميدون
trp_i3_lam_veteran_pl|مخضرمي لاميدون
trp_i4_lam_warrior|محارب لاميدون
trp_i4_lam_warrior_pl|محاربو لاميدون
trp_i5_lam_champion|بطل لاميدون
trp_i5_lam_champion_pl|أبطال لاميدون
trp_c5_lam_knight|فارس لاميدون
trp_c5_lam_knight_pl|فرسان لاميدون
trp_c6_lam_leader|قبطان لاميدون
trp_c6_lam_leader_pl|قباطنة لاميدون
trp_i1_pinnath_plainsman|رجل سهول بينات غيلين
trp_i1_pinnath_plainsman_pl|رجال سهول بينات غيلين
trp_c2_pinnath_rider|فارس بينات غيلين
trp_c2_pinnath_rider_pl|فرسان بينات غيلين
trp_c3_pinnath_knight|فارس بينات غيلين
trp_c3_pinnath_knight_pl|فرسان بينات غيلين
trp_a2_pinnath_bowman|حامل قوس بينات غيلين
trp_a2_pinnath_bowman_pl|حاملو قوس بينات غيلين
trp_a3_pinnath_archer|رامي بينات غيلين
trp_a3_pinnath_archer_pl|رماة بينات غيلين
trp_c6_pinnath_leader|قبطان بينات غيلين
trp_c6_pinnath_leader_pl|قباطنة بينات غيلين
trp_a1_blackroot_hunter|صياد وادي بلاكروت
trp_a1_blackroot_hunter_pl|صياد وادي بلاكروت
trp_a2_blackroot_bowman|حامل قوس وادي بلاكروت
trp_a2_blackroot_bowman_pl|حاملو قوس وادي بلاكروت
trp_a3_blackroot_archer|رامي وادي بلاكروت
trp_a3_blackroot_archer_pl|رماة وادي بلاكروت
trp_i2_blackroot_footman|جندي مشاة وادي بلاكروت
trp_i2_blackroot_footman_pl|جنود مشاة وادي بلاكروت
trp_i3_blackroot_spearman|حامل رمح وادي بلاكروت
trp_i3_blackroot_spearman_pl|حاملو رمح وادي بلاكروت
trp_a5_blackroot_shadow_hunter|صياد الظل في مورثوند
trp_a5_blackroot_shadow_hunter_pl|صيادو الظل في مورثوند
trp_i1_amroth_recruit|مجند دول امروث
trp_i1_amroth_recruit_pl|مجندو دول امروث
trp_c2_amroth_squire|مرافق دول امروث
trp_c2_amroth_squire_pl|مرافقو دول امروث
trp_c3_amroth_vet_squire|مرافق دول امروث مخضرم
trp_c3_amroth_vet_squire_pl|مرافقو دول امروث مخضرمون
trp_c4_amroth_knight|فارس دول امروث
trp_c4_amroth_knight_pl|فرسان دول امروث
trp_c5_amroth_vet_knight|فارس دول امروث مخضرم
trp_c5_amroth_vet_knight_pl|فرسان دول امروث مخضرمون
trp_c6_amroth_swan_knight|فارس البجعة في دول امروث
trp_c6_amroth_swan_knight_pl|فرسان البجعة في دول امروث
trp_c6_amroth_leader|قبطان دول امروث
trp_c6_amroth_leader_pl|قباطنة دول امروث
trp_a1_lorien_scout|كشاف لوثلورين
trp_a1_lorien_scout_pl|كشافة لوثلورين
trp_a2_lorien_warden|كشاف لوثلورين مخضرم
trp_a2_lorien_warden_pl|كشافة لوثلورين مخضرمون
trp_a3_lorien_vet_warden|رامي لوثلورين
trp_a3_lorien_vet_warden_pl|رماة لوثلورين
trp_a4_lorien_gal_warden|رامي لوثلورين مخضرم
trp_a4_lorien_gal_warden_pl|رماة لوثلورين مخضرمون
trp_a5_lorien_gal_royal_warden|رامي لوثلورين رئيسي
trp_a5_lorien_gal_royal_warden_pl|رماة لوثلورين رئيسيون
trp_a6_lorien_grey_warden|رامي غالادريم الملكي
trp_a6_lorien_grey_warden_pl|رماة غالادريم الملكيون
trp_galadhrim_royal_marksman|رامي غالادريم الملكي المتميز
trp_galadhrim_royal_marksman_pl|رماة غالادريم الملكيون المتميزون
trp_noldorin_mounted_archer|رامي نولدوري منقول
trp_noldorin_mounted_archer_pl|رماة نولدوريون منقولون
trp_a2_lorien_archer|مشاة لوثلورين
trp_a2_lorien_archer_pl|مشاة لوثلورين
trp_a3_lorien_vet_archer|مشاة لوثلورين مخضرمون
trp_a3_lorien_vet_archer_pl|مشاة لوثلورين مخضرمون
trp_a4_lorien_gal_archer|مشاة لوثلورين النخبة
trp_a4_lorien_gal_archer_pl|مشاة لوثلورين النخبة
trp_a5_lorien_gal_royal_archer|رامي غالادريم الملكي المتميز
trp_a5_lorien_gal_royal_archer_pl|رماة غالادريم الملكيون المتميزون
trp_i3_lorien_inf|حارس لوثلورين
trp_i3_lorien_inf_pl|حراس لوثلورين
trp_i4_lorien_gal_inf|حارس لوثلورين مخضرم
trp_i4_lorien_gal_inf_pl|حراس لوثلورين مخضرمون
trp_i5_lorien_gal_royal_inf|سياف غالادريم الملكي
trp_i5_lorien_gal_royal_inf_pl|سيافو غالادريم الملكيون
trp_lothlorien_standard_bearer|حامل راية لوثلورين
trp_lothlorien_standard_bearer_pl|حاملو راية لوثلورين
trp_a1_greenwood_scout|كشاف غرينوود
trp_a1_greenwood_scout_pl|كشافة غرينوود
trp_a2_greenwood_veteran_scout|كشاف غرينوود مخضرم
trp_a2_greenwood_veteran_scout_pl|كشافة غرينوود مخضرمون
trp_a3_greenwood_archer|حامل قوس غرينوود
trp_a3_greenwood_archer_pl|حاملو قوس غرينوود
trp_a4_greenwood_veteran_archer|رامي غرينوود
trp_a4_greenwood_veteran_archer_pl|رماة غرينوود
trp_a5_greenwood_master_archer|رامي غرينوود مخضرم
trp_a5_greenwood_master_archer_pl|رماة غرينوود مخضرمون
trp_a6_greenwood_chosen_marksman|رامي ثراندويل الملكي المتميز
; trp_a6_greenwood_chosen_marksman_pl|Thranduil's Chosen Marksmen
trp_a3_greenwood_sentinel|حارس غرينوود
trp_a3_greenwood_sentinel_pl|حراس غرينوود
trp_a4_greenwood_vet_sentinel|حارس غرينوود مخضرم
trp_a4_greenwood_vet_sentinel_pl|حراس غرينوود مخضرمون
trp_a5_greenwood_vigilant|حارس غرينوود
trp_a5_greenwood_vigilant_pl|حراس غرينوود
trp_i2_greenwood_infantry|مشاة غرينوود
trp_i2_greenwood_infantry_pl|مشاة غرينوود
trp_i3_greenwood_vet_infantry|مشاة غرينوود مخضرمون
trp_i3_greenwood_vet_infantry_pl|مشاة غرينوود مخضرمون
trp_i4_greenwood_elite_infantry|مشاة غرينوود النخبة
trp_i4_greenwood_elite_infantry_pl|مشاة غرينوود النخبة
trp_i5_greenwood_chosen_shieldmaster|سياف ثراندويل الملكي
trp_i5_greenwood_chosen_shieldmaster_pl|سيافو ثراندويل الملكيون
trp_i5_greenwood_chosen_spearmaster|حامل رمح ثراندويل الملكي
trp_i5_greenwood_chosen_spearmaster_pl|حاملو رمح ثراندويل الملكيون
trp_i5_greenwood_standard_bearer|حامل راية غرينوود
trp_i5_greenwood_standard_bearer_pl|حاملو راية غرينوود
trp_a1_riv_scout|كشاف ريفيندل
trp_a1_riv_scout_pl|كشافة ريفيندل
trp_a2_riv_vet_scout|كشاف ريفيندل مخضرم
trp_a2_riv_vet_scout_pl|كشافة ريفيندل مخضرمون
trp_a3_riv_archer|حارس ريفيندل
trp_a3_riv_archer_pl|حراس ريفيندل
trp_a4_riv_vet_archer|حارس ريفيندل مخضرم
trp_a4_riv_vet_archer_pl|حراس ريفيندل مخضرمون
trp_a5_riv_master_archer|حارس ريفيندل النخبة
trp_a5_riv_master_archer_pl|حراس ريفيندل النخبة
trp_a6_riv_guardian|وصي ريفيندل
trp_a6_riv_guardian_pl|أوصياء ريفيندل
trp_i3_riv_swordbearer|مشاة ريفيندل
trp_i3_riv_swordbearer_pl|مشاة ريفيندل
trp_i4_riv_vet_swordbearer|مشاة ريفيندل مخضرمون
trp_i4_riv_vet_swordbearer_pl|مشاة ريفيندل مخضرمون
trp_i5_riv_swordmaster|مشاة ريفيندل النخبة
trp_i5_riv_swordmaster_pl|مشاة ريفيندل النخبة
trp_i6_riv_champion|مشاة ريفيندل الملكيون
trp_i6_riv_champion_pl|مشاة ريفيندل الملكيون
trp_ac5_riv_rider|فرسان ريفيندل
trp_ac5_riv_rider_pl|فرسان ريفيندل
trp_ac6_riv_knight|فارس ريفيندل
trp_ac6_riv_knight_pl|فرسان ريفيندل
trp_i6_rivendell_standard_bearer|حامل راية ريفيندل
trp_i6_rivendell_standard_bearer_pl|حاملو راية ريفيندل
trp_a1_arnor_scout|كشاف دونيدان
trp_a1_arnor_scout_pl|كشافة دونيدان
trp_a2_arnor_vet_scout|متعقب دونيدان
trp_a2_arnor_vet_scout_pl|متعقبو دونيدان
trp_i3_arnor_swordsman|رجل سلاح أرنور
trp_i3_arnor_swordsman_pl|رجال سلاح أرنور
trp_i4_arnor_vet_swordsman|سيد سلاح أرنور
trp_i4_arnor_vet_swordsman_pl|سادة سلاح أرنور
trp_i5_arnor_champion|سياف أرنور العالي
trp_i5_arnor_champion_pl|سيافو أرنور العاليون
trp_c4_arnor_horseman|فارس أرنور
trp_c4_arnor_horseman_pl|فرسان أرنور
trp_c5_arnor_knight|فارس أرنور
trp_c5_arnor_knight_pl|فرسان أرنور
trp_a3_arnor_ranger|حارس دونيدان
trp_a3_arnor_ranger_pl|حراس دونيدان
trp_a4_arnor_vet_ranger|حارس دونيدان مخضرم
trp_a4_arnor_vet_ranger_pl|حراس دونيدان مخضرمون
trp_a5_arnor_master_ranger|حارس دونيدان رئيسي
trp_a5_arnor_master_ranger_pl|حراس دونيدان رئيسيون
trp_i1_rohan_youth|شاب روهان
trp_i1_rohan_youth_pl|شبان روهان
trp_i2_guardsman_of_rohan|حارس روهان
trp_i2_guardsman_of_rohan_pl|حراس روهان
trp_i3_footman_of_rohan|جندي مشاة روهان
trp_i3_footman_of_rohan_pl|جنود مشاة روهان
trp_i4_veteran_footman_of_rohan|جندي مشاة روهان مخضرم
trp_i4_veteran_footman_of_rohan_pl|جنود مشاة روهان مخضرمون
trp_i5_elite_footman_of_rohan|جندي مشاة روهان النخبة
trp_i5_elite_footman_of_rohan_pl|جنود مشاة روهان النخبة
trp_i6_footman_guard_of_rohan|حارس فولكوين في روهان
trp_i6_footman_guard_of_rohan_pl|حراس فولكوين في روهان
trp_i6_frealaf_raider|مغير فريالاف
trp_i6_frealaf_raider_pl|مغيرو فريالاف
trp_i5_raider_of_rohan|مغير روهان
trp_i5_raider_of_rohan_pl|مغيرو روهان
trp_i6_warden_of_methuseld|حارس ميدوسيلد
trp_i6_warden_of_methuseld_pl|حراس ميدوسيلد
trp_ac3_skirmisher_of_rohan|مناوش روهان
trp_ac3_skirmisher_of_rohan_pl|مناوشو روهان
trp_ac4_veteran_skirmisher_of_rohan|مناوش روهان مخضرم
trp_ac4_veteran_skirmisher_of_rohan_pl|مناوشو روهان مخضرمون
trp_ac5_elite_skirmisher_of_rohan|مناوش روهان النخبة
trp_ac5_elite_skirmisher_of_rohan_pl|مناوشو روهان النخبة
trp_ac6_skirmisher_guard_of_rohan|حارس ثينغل في روهان
trp_ac6_skirmisher_guard_of_rohan_pl|حراس ثينغل في روهان
trp_c4_lancer_of_rohan|حامل رمح روهان
trp_c4_lancer_of_rohan_pl|حاملو رمح روهان
trp_c5_elite_lancer_of_rohan|حامل رمح روهان النخبة
trp_c5_elite_lancer_of_rohan_pl|حاملو رمح روهان النخبة
trp_c6_lancer_guard_of_rohan|حارس بريغو في روهان
trp_c6_lancer_guard_of_rohan_pl|حراس بريغو في روهان
trp_c6_king_s_man_of_rohan|حارس الملك
trp_c6_king_s_man_of_rohan_pl|حراس الملك
trp_c2_squire_of_rohan|مرافق روهان
trp_c2_squire_of_rohan_pl|مرافقو روهان
trp_c3_rider_of_rohan|فارس روهان
trp_c3_rider_of_rohan_pl|فرسان روهان
trp_c4_veteran_rider_of_rohan|فارس روهان مخضرم
trp_c4_veteran_rider_of_rohan_pl|فرسان روهان مخضرمون
trp_c5_elite_rider_of_rohan|فارس روهان النخبة
trp_c5_elite_rider_of_rohan_pl|فرسان روهان النخبة
trp_c6_rider_guard_of_rohan|حارس إيورل في روهان
trp_c6_rider_guard_of_rohan_pl|حراس إيورل في روهان
trp_i6_2h_guard_of_rohan|حارس هيلم في روهان
trp_i6_2h_guard_of_rohan_pl|حراس هيلم في روهان
trp_ac3_dism_skirmisher_of_rohan2|مناوش روهان
trp_ac3_dism_skirmisher_of_rohan2_pl|مناوشو روهان
trp_ac4_dism_veteran_skirmisher_of_rohan2|مناوش روهان مخضرم
trp_ac4_dism_veteran_skirmisher_of_rohan2_pl|مناوشو روهان مخضرمون
trp_ac5_dism_elite_skirmisher_of_rohan2|مناوش روهان النخبة
trp_ac5_dism_elite_skirmisher_of_rohan2_pl|مناوشو روهان النخبة
trp_i1_harad_levy|مجند هاراد
trp_i1_harad_levy_pl|مجندو هاراد
trp_i3_harad_infantry|مشاة هاراد الخفيفة
trp_i3_harad_infantry_pl|مشاة هاراد الخفيفة
trp_i4_harad_spearman|حامل رمح هاراد
trp_i4_harad_spearman_pl|حاملو رمح هاراد
trp_i5_harad_tiger_guard|حارس النمر
trp_i5_harad_tiger_guard_pl|حراس النمر
trp_i4_harad_swordsman|سياف هاراد
trp_i4_harad_swordsman_pl|سيافو هاراد
trp_i5_harad_lion_guard|حارس الأسد
trp_i5_harad_lion_guard_pl|حراس الأسد
trp_a3_harad_hunter|صياد هاراد
trp_a3_harad_hunter_pl|صيادو هاراد
trp_a4_harad_archer|رامي هاراد
trp_a4_harad_archer_pl|رماة هاراد
trp_a5_harad_eagle_guard|حارس النسر
trp_a5_harad_eagle_guard_pl|حراس النسر
trp_c2_harondor_scout|كشاف هاروندور
trp_c2_harondor_scout_pl|كشافة هاروندور
trp_c3_harondor_rider|فارس هاروندور
trp_c3_harondor_rider_pl|فرسان هاروندور
trp_c4_harondor_light_cavalry|فارس هاروندور الخفيف
trp_c4_harondor_light_cavalry_pl|فرسان هاروندور الخفيفون
