pt_rescued_prisoners|Befreite Gefangene
pt_gondor_raiders|Versorgungstrupp von Gondor
pt_rohan_raiders|Versorgungstrupp aus Rohan
pt_imladris_raiders|Versorgungstrupp aus dem Bruchtal
pt_lorien_raiders|Versorgungstrupp aus Lothlorien
pt_woodelf_raiders|Versorgungstrupp aus dem Düsterwald
pt_dale_raiders|Versorgungstrupp aus Thal
pt_dwarf_raiders|Zwergischer Versorgungstrupp
pt_ranger_raiders|Plünderer der Waldläufer
pt_morgul_raiders|Plünderer von Morgul
pt_mordor_raiders|Plünderer von Mordor
pt_isengard_raiders|Plünderer von Isengart
pt_dunland_raiders|Plünderer der Dunländer
pt_harad_raiders|Plünderer der Haradrim
pt_khand_raiders|Plünderer von Khand
pt_umbar_raiders|Plünderer von Umbar
pt_moria_raiders|Plünderer von Moria
pt_guldur_raiders|Plünderer von Dol Guldur
pt_gundabad_raiders|Plünderer von Gundabad
pt_rhun_raiders|Plünderer von Rhun
pt_gondor_patrol|Patrouille aus Gondor
pt_rohan_patrol|Patrouille aus Rohan
pt_imladris_patrol|Patrouille der Dunedain
pt_lorien_patrol|Patrouille aus Lothlorien
pt_woodelf_patrol|Patrouille aus dem Düsterwald
pt_dale_patrol|Patrouille von Thal
pt_esgaroth_patrol|Patrouille von Esgaroth
pt_dwarf_patrol|Zwergen-Patrouille
pt_ranger_patrol|Patrouille der Waldläufer
pt_amroth_patrol|Patrouille von Dol Amroth
pt_pelargir_patrol|Patrouille von Pelargir
pt_lossarnach_patrol|Patrouille aus Lossarnach
pt_brv_patrol|Patrouille aus dem Schwarzgrundtal
pt_pinnath_patrol|Patrouille der Pinnath
pt_lamedon_patrol|Patrouille aus Lamedon
pt_mordor_war_party|Heerschar von Mordor
pt_isengard_war_party|Heerschar von Isengart
pt_harad_war_party|Heerschar von Harad
pt_dunland_war_party|Heerschar der Dunländer
pt_khand_war_party|Heerschar der Variags
pt_moria_war_party|Heerschar von Moria
pt_dale_war_party|Heerschar von Thal
pt_rhun_war_party|Heerschar von Rhun
pt_gondor_company|Patrouille von Minas Tirith
pt_rohan_company|Kompanie von Rohan
pt_imladris_company|Kompanie von Bruchtal
pt_lorien_company|Kompanie von Lothlorien
pt_woodelf_company|Kompanie aus dem Düsterwald
pt_dale_company|Kompanie von Thal
pt_dwarf_company|Kompanie der Zwerge
pt_gondor_elite_company|Elitetruppe aus Gondor
pt_rohan_elite_company|Elitetruppe aus Rohan
pt_imladris_elite_company|Elitetruppe aus dem Bruchtal
pt_lorien_elite_company|Elitetruppe aus Lothlorien
pt_woodelf_elite_company|Elitetruppe aus dem Düsterwald
pt_dale_elite_company|Elitetruppe aus Thal
pt_dwarf_elite_company|Zwergische Elitetruppe
pt_gondor_caravan|Kaufmannszug von Gondor
pt_rohan_caravan|Kaufmannszug von Rohan
pt_imladris_caravan|Kaufmannszug aus dem Bruchtal
pt_lorien_caravan|Kaufmannszug von Lothlorien
pt_woodelf_caravan|Kaufmannszug aus dem Düsterwald
pt_dale_caravan|Kaufmannszug von Thal
pt_dwarf_caravan|Zwergischer Kaufmannszug
pt_mordor_caravan|Versorgungszug von Mordor
pt_isengard_caravan|Versorgungszug von Isengart
pt_gunda_caravan|Versorgungszug von Gundabad
pt_gondor_p_train|Gefangenenzug von Gondor
pt_rohan_p_train|Gefangenenzug von Rohan
pt_imladris_p_train|Gefangenenzug aus Bruchtal
pt_lorien_p_train|Gefangenenzug von Lothlorien
pt_woodelf_p_train|Gefangenenzug aus dem Düsterwald
pt_dale_p_train|Gefangenenzug von Thal
pt_dwarf_p_train|Zwergischer Gefangenenzug
pt_mordor_p_train|Gefangenenzug von Mordor
pt_isengard_p_train|Gefangenenzug von Isengart
pt_kingdom_hero_party|Heerschar
pt_caravan_survivors|Überlebende des Kaufmannszugs
pt_routed_allies|Geflohene Verbündete
pt_routed_enemies|Geflohene Feinde
pt_legion_minas_morgul|Legion von Minas Morgul
pt_legion_udun|Legion von Udun
pt_legion_gorgoroth|Legion von Gorgoroth
pt_legion_barad_dur|Legion von Barad-dur
pt_beorn_messenger|Bote der Beorninger
pt_village|Dorf
pt_ring_hunters|Ringjäger
