trp_unarmed_troop|Unbewaffneter
trp_i6_iron_hills_grors_guard_pl|Grorskrieger
trp_i1_gon_levy|Mann aus Gondor
trp_i1_gon_levy_pl|Männer aus Gondor
trp_i2_gon_watchman|Wachmann aus Gondor
trp_i2_gon_watchman_pl|Wachmänner aus Gondor
trp_i3_gon_footman|Hilfstruppensoldat aus Gondor
trp_i3_gon_footman_pl|Hilfstruppensoldaten aus Gondor
trp_i4_gon_spearman|Speerträger aus Gondor
trp_i4_gon_spearman_pl|Speerträger aus Gondor
trp_i5_gon_vet_spearman|Erfahrener Speerträger aus Gondor
trp_i5_gon_vet_spearman_pl|Erfahrene Speerträger aus Gondor
trp_i6_gon_tower_spearman|Wächter des Brunnens
trp_i6_gon_tower_spearman_pl|Wächter des Brunnens
trp_i4_gon_swordsman|Schwertträger aus Gondor
trp_i4_gon_swordsman_pl|Schwertträger aus Gondor
trp_i5_gon_vet_swordsman|Erfahrener Schwertträger aus Gondor
trp_i5_gon_vet_swordsman_pl|Erfahrene Schwertträger aus Gondor
trp_i6_gon_tower_swordsman|Schwertträger der Turmwache
trp_i6_gon_tower_swordsman_pl|Schwertträger der Turmwache
trp_c1_gon_nobleman|Edelmann aus Gondor
trp_c1_gon_nobleman_pl|Edelmann aus Gondor
trp_c2_gon_squire|Knappe aus Gondor
trp_c2_gon_squire_pl|Knappen aus Gondor
trp_c3_gon_vet_squire|Erfahrener Knappe aus Gondor
trp_c3_gon_vet_squire_pl|Erfahrene Knappen aus Gondor
trp_c4_gon_knight|Ritter aus Gondor
trp_c4_gon_knight_pl|Ritter aus Gondor
trp_c5_gon_vet_knight|Erfahrener Ritter aus Gondor
trp_c5_gon_vet_knight_pl|Erfahrene Ritter aus Gondor
trp_c6_gon_tower_knight|Ritter der Veste
trp_c6_gon_tower_knight_pl|Ritter der Veste
trp_a3_gon_bowman|Hilfstruppenbogenschütze aus Gondor
trp_a3_gon_bowman_pl|Hilfstruppenbogenschützen aus Gondor
trp_a4_gon_archer|Bogenschütze aus Gondor
trp_a4_gon_archer_pl|Bogenschützen aus Gondor
trp_a5_gon_vet_archer|Erfahrener Bogenschütze aus Gondor
trp_a5_gon_vet_archer_pl|Erfahrene Bogenschützen aus Gondor
trp_a6_gon_tower_archer|Bogenschütze der Turmwache
trp_a6_gon_tower_archer_pl|Bogenschützen der Turmwache
trp_steward_guard|Leibwache des Truchsess
trp_steward_guard_pl|Leibwachen des Truchsess
trp_a4_ithilien_ranger|Waldläufer aus Ithilien
trp_a4_ithilien_ranger_pl|Waldläufer aus Ithilien
trp_a5_ithilien_vet_ranger|Erfahrener Waldläufer aus Ithilien
trp_a5_ithilien_vet_ranger_pl|Erfahrene Waldläufer aus Ithilien
trp_a6_ithilien_master_ranger|Meisterwaldläufer aus Ithilien
trp_a6_ithilien_master_ranger_pl|Meisterwaldläufer aus Ithilien
trp_a6_ithilien_leader|Hauptmann der Waldläufer
trp_a6_ithilien_leader_pl|Hauptmänner der Waldläufer
trp_i1_loss_woodsman|Waldmann aus Lossarnach
trp_i1_loss_woodsman_pl|Waldmänner aus Lossarnach
trp_i2_loss_axeman|Axtkämpfer aus Lossarnach
trp_i2_loss_axeman_pl|Axtkämpfer aus Lossarnach
trp_i3_loss_vet_axeman|Erfahrener Axtkämpfer aus Lossarnach
trp_i3_loss_vet_axeman_pl|Erfahrener Axtkämpfer aus Lossarnach
trp_i4_loss_heavy_axeman|Gepanzerter Axtkämpfer aus Lossarnach
trp_i4_loss_heavy_axeman_pl|Gepanzerte Axtkämpfer aus Lossarnach
trp_i5_loss_axemaster|Axtmeister aus Lossarnach
trp_i5_loss_axemaster_pl|Axtmeister aus Lossarnach
trp_i6_loss_leader|Hauptmann von Lossarnach
trp_i6_loss_leader_pl|Hauptmänner von Lossarnach
trp_i1_pel_watchman|Wachmann von Pelargir
trp_i1_pel_watchman_pl|Wachmänner von Pelargir
trp_a2_pel_marine|Seemann von Pelargir
trp_a2_pel_marine_pl|Seemänner von Pelargir
trp_a3_pel_vet_marine|Erfahrener Seemann von Pelargir
trp_a3_pel_vet_marine_pl|Erfahrene Seemänner von Pelargir
trp_i2_pel_infantry|Soldat von Pelargir
trp_i2_pel_infantry_pl|Soldaten von Pelargir
trp_i3_pel_vet_infantry|Erfahrener Soldat von Pelargir
trp_i3_pel_vet_infantry_pl|Erfahrene Soldaten von Pelargir
trp_i6_pel_leader|Hauptmann von Pelargir
trp_i6_pel_leader_pl|Hauptmänner von Pelargir
trp_a6_pel_marine_leader|Hauptmann zur See von Pelargir
trp_a6_pel_marine_leader_pl|Hauptmänner zur See von Pelargir
trp_i1_lam_clansman|Hochlandbewohner aus Lamedon
trp_i1_lam_clansman_pl|Hochlandbewohner aus Lamedon
trp_i2_lam_footman|Hochlandkrieger aus Lamedon
trp_i2_lam_footman_pl|Hochlandkrieger aus Lamedon
trp_i3_lam_veteran|Erfahrener Hochlandkrieger aus Lamedon
trp_i3_lam_veteran_pl|Erfahrene Hochlandkrieger aus Lamedon
trp_i4_lam_warrior|Hochlandstreiter aus Lamedon
trp_i4_lam_warrior_pl|Hochlandstreiter aus Lamedon
trp_i5_lam_champion|Recke von Lamedon
trp_i5_lam_champion_pl|Recke von Lamedon
trp_c5_lam_knight|Ritter von Lamedon
trp_c5_lam_knight_pl|Ritter von Lamedon
trp_c6_lam_leader|Hauptmann von Lamedon
trp_c6_lam_leader_pl|Hauptmänner von Lamedon
trp_i1_pinnath_plainsman|Bauer der Pinnath Gelin
trp_i1_pinnath_plainsman_pl|Bauern der Pinnath Gelin
trp_c2_pinnath_rider|Reiter der Pinnath Gelin
trp_c2_pinnath_rider_pl|Reiter der Pinnath Gelin
trp_c3_pinnath_knight|Ritter von den Grünen Hügeln
trp_c3_pinnath_knight_pl|Ritter von den Grünen Hügeln
trp_a2_pinnath_bowman|Bogenschütze der Pinnath Gelin
trp_a2_pinnath_bowman_pl|Bogenschützen der Pinnath Gelin
trp_a3_pinnath_archer|Erfahrener Bogenschütze der Pinnath Gelin
trp_a3_pinnath_archer_pl|Erfahrene Bogenschützen der Pinnath Gelin
trp_c6_pinnath_leader|Hauptmann der Pinnath Gelin
trp_c6_pinnath_leader_pl|Hauptmänner der Pinnath Gelin
trp_a1_blackroot_hunter|Jäger aus dem Schwarzgrundtal
trp_a1_blackroot_hunter_pl|Jäger aus dem Schwarzgrundtal
trp_a2_blackroot_bowman|Bogenschütze aus dem Schwarzgrundtal
trp_a2_blackroot_bowman_pl|Bogenschützen aus dem Schwarzgrundtal
trp_a3_blackroot_archer|Erfahrener Bogenschütze aus dem Schwarzgrundtal
trp_a3_blackroot_archer_pl|Erfahrene Bogenschützen aus dem Schwarzgrundtal
trp_i2_blackroot_footman|Speerträger aus dem Schwarzgrundtal
trp_i2_blackroot_footman_pl|Speeträger aus dem Schwarzgrundtal
trp_i3_blackroot_spearman|Erfahrener Speerträger aus dem Schwarzgrundtal
trp_i3_blackroot_spearman_pl|Erfahrene Speerträger aus dem Schwarzgrundtal
trp_a5_blackroot_shadow_hunter|Schattenjäger vom Morthond
trp_a5_blackroot_shadow_hunter_pl|Schattenjäger vom Morthond
trp_i1_amroth_recruit|Jüngling von Dol Amroth
trp_i1_amroth_recruit_pl|Jünglinge von Dol Amroth
trp_c2_amroth_squire|Knappe von Dol Amroth
trp_c2_amroth_squire_pl|Knappen von Dol Amroth
trp_c3_amroth_vet_squire|Erfahrener Knappe von Dol Amroth
trp_c3_amroth_vet_squire_pl|Erfahrene Knappen von Dol Amroth
trp_c4_amroth_knight|Ritter von Dol Amroth
trp_c4_amroth_knight_pl|Ritter von Dol Amroth
trp_c5_amroth_vet_knight|Erfahrener Ritter von Dol Amroth
trp_c5_amroth_vet_knight_pl|Erfahrene Ritter von Dol Amroth
trp_c6_amroth_swan_knight|Schwanenritter von Dol Amroth
trp_c6_amroth_swan_knight_pl|Schwanenritter von Dol Amroth
trp_c6_amroth_leader|Hauptmann von Dol Amroth
trp_c6_amroth_leader_pl|Hauptmänner von Dol Amroth
trp_a1_lorien_scout|Späher von Lothlorien
trp_a1_lorien_scout_pl|Späher von Lothlorien
trp_a2_lorien_warden|Wächter von Lothlorien
trp_a2_lorien_warden_pl|Wächter von Lothlorien
trp_a3_lorien_vet_warden|Erfahrener Wächter von Lothlorien
trp_a3_lorien_vet_warden_pl|Erfahrene Wächter von Lothlorien
trp_a4_lorien_gal_warden|Hüter der Galadhrim
trp_a4_lorien_gal_warden_pl|Hüter der Galadhrim
trp_a5_lorien_gal_royal_warden|Königlicher Wächter der Galadhrim
trp_a5_lorien_gal_royal_warden_pl|Königliche Wächter der Galadhrim
trp_a6_lorien_grey_warden|Grauer Hüter
trp_a6_lorien_grey_warden_pl|Grauer Hüter
trp_galadhrim_royal_marksman|Königlicher Scharfschütze der Galadhrim
trp_galadhrim_royal_marksman_pl|Königliche Scharfschützen der Galadhrim
trp_noldorin_mounted_archer|Berittener Bogenschütze der Noldor
trp_noldorin_mounted_archer_pl|Berittene Bogenschützen der Noldor
trp_a2_lorien_archer|Bogenschütze von Lothlorien
trp_a2_lorien_archer_pl|Bügenschützen von Lothlorien
trp_a3_lorien_vet_archer|Geübter Bogenschütze von Lothlorien
trp_a3_lorien_vet_archer_pl|Geübte Bogenschützen von Lothlorien
trp_a4_lorien_gal_archer|Bogenschütze der Galadhrim
trp_a4_lorien_gal_archer_pl|Bügenschützen der Galadhrim
trp_a5_lorien_gal_royal_archer|Königlicher Scharfschütze der Galadhrim
trp_a5_lorien_gal_royal_archer_pl|Königliche Scharfschützen der Galadhrim
trp_i3_lorien_inf|Schwertträger von Lothlorien
trp_i3_lorien_inf_pl|Schwertträger von Lothlorien
trp_i4_lorien_gal_inf|Fußsoldat der Galadhrim
trp_i4_lorien_gal_inf_pl|Fußsoldaten der Galadhrim
trp_i5_lorien_gal_royal_inf|Königliche Schildwache der Galadhrim
trp_i5_lorien_gal_royal_inf_pl|Königliche Schildwachen der Galadhrim
trp_lothlorien_standard_bearer|Standartenträger von Lothlorien
trp_lothlorien_standard_bearer_pl|Standartenträger von Lothlorien
trp_a1_greenwood_scout|Späher aus dem Grünwald
trp_a1_greenwood_scout_pl|Späher aus dem Grünwald
trp_a2_greenwood_veteran_scout|Erfahrener Späher aus dem Grünwald
trp_a2_greenwood_veteran_scout_pl|Erfahrene Späher aus dem Grünwald
trp_a3_greenwood_archer|Geübter Bogenschütze aus dem Grünwald
trp_a3_greenwood_archer_pl|Geübte Bogenschützen aus dem Grünwald
trp_a4_greenwood_veteran_archer|Meisterschütze aus dem Grünwald
trp_a4_greenwood_veteran_archer_pl|Meisterschützen aus dem Grünwald
trp_a5_greenwood_master_archer|Meisterschütze der Galadhrim
trp_a5_greenwood_master_archer_pl|Meisterschützen der Galadhrim
trp_a6_greenwood_chosen_marksman|Thranduils Erwählter Meisterschütze
trp_a6_greenwood_chosen_marksman_pl|Thranduils Erwählte Meisterschützen
trp_a3_greenwood_sentinel|Grenzwächter des Grünwalds
trp_a3_greenwood_sentinel_pl|Grenzwächter des Grünwalds
trp_a4_greenwood_vet_sentinel|Behüter des Grünwalds
trp_a4_greenwood_vet_sentinel_pl|Behüter des Grünwalds
trp_a5_greenwood_vigilant|Beschirmer des Grünwalds
trp_a5_greenwood_vigilant_pl|Beschirmer des Grünwalds
trp_i2_greenwood_infantry|Kämpfer aus dem Grünwald
trp_i2_greenwood_infantry_pl|Kämpfer aus dem Grünwald
trp_i3_greenwood_vet_infantry|Erfahrener Kämpfer aus dem Grünwald
trp_i3_greenwood_vet_infantry_pl|Erfahrene Kämpfer aus dem Grünwald
trp_i4_greenwood_elite_infantry|Meisterkämpfer aus dem Grünwald
trp_i4_greenwood_elite_infantry_pl|Meisterkämpfer aus dem Grünwald
trp_i5_greenwood_chosen_shieldmaster|Thranduils Erwählter Schildträger
trp_i5_greenwood_chosen_shieldmaster_pl|Thranduils Erwählte Schildträger
trp_i5_greenwood_chosen_spearmaster|Thranduils Erwählter Speerträger
trp_i5_greenwood_chosen_spearmaster_pl|Thranduils Erwählte Speerträger
trp_i5_greenwood_standard_bearer|Bannerträger des Grünwalds
trp_i5_greenwood_standard_bearer_pl|Bannerträger des Grünwalds
trp_a1_riv_scout|Späher aus Bruchtal
trp_a1_riv_scout_pl|Späher aus Bruchtal
trp_a2_riv_vet_scout|Erfahrener Späher aus Bruchtal
trp_a2_riv_vet_scout_pl|Erfahrene Späher aus Bruchtal
trp_a3_riv_archer|Bogenschütze aus Bruchtal
trp_a3_riv_archer_pl|Bogenschützen aus Bruchtal
trp_a4_riv_vet_archer|Erfahrener Bogenschütze aus Bruchtal
trp_a4_riv_vet_archer_pl|Erfahrene Bogenschützen aus Bruchtal
trp_a5_riv_master_archer|Meisterschütze aus Bruchtal
trp_a5_riv_master_archer_pl|Meisterschützen aus Bruchtal
trp_a6_riv_guardian|Wächter von Imladris
trp_a6_riv_guardian_pl|Wächter von Imladris
trp_i3_riv_swordbearer|Schwertträger aus Bruchtal
trp_i3_riv_swordbearer_pl|Schwertträger aus Bruchtal
trp_i4_riv_vet_swordbearer|Erfahrener Schwertträger aus Bruchtal
trp_i4_riv_vet_swordbearer_pl|Erfahrene Schwertträger aus Bruchtal
trp_i5_riv_swordmaster|Schwertmeister aus Bruchtal
trp_i5_riv_swordmaster_pl|Schwertmeister aus Bruchtal
trp_i6_riv_champion|Held von Imladris
trp_i6_riv_champion_pl|Helden von Imladris
trp_ac5_riv_rider|Reiter aus Bruchtal
trp_ac5_riv_rider_pl|Reiter aus Bruchtal
trp_ac6_riv_knight|Ritter von Imladris
trp_ac6_riv_knight_pl|Ritter von Imladris
trp_i6_rivendell_standard_bearer|Standartenträger von Bruchtal
trp_i6_rivendell_standard_bearer_pl|Standartenträger von Bruchtal
trp_a1_arnor_scout|Späher der Dunedain
trp_a1_arnor_scout_pl|Späher der Dunedain
trp_a2_arnor_vet_scout|Fährtenleser der Dunedain
trp_a2_arnor_vet_scout_pl|Fährtenleser der Dunedain
trp_i3_arnor_swordsman|Krieger der Dúnedain
trp_i3_arnor_swordsman_pl|Krieger der Dúnedain
trp_i4_arnor_vet_swordsman|Erfahrener Krieger der Dúnedain
trp_i4_arnor_vet_swordsman_pl|Erfahrene Krieger der Dúnedain
trp_i5_arnor_champion|Erlesener Held von Arnor
trp_i5_arnor_champion_pl|Erlesene Helden von Arnor
trp_c4_arnor_horseman|Reiter der Dúnedain
trp_c4_arnor_horseman_pl|Reiter der Dúnedain
trp_c5_arnor_knight|Ritter von Arnor
trp_c5_arnor_knight_pl|Ritter von Arnor
trp_a3_arnor_ranger|Waldläufer der Dunedain
trp_a3_arnor_ranger_pl|Waldläufer der Dunedain
trp_a4_arnor_vet_ranger|Erfahrener Waldläufer der Dunedain
trp_a4_arnor_vet_ranger_pl|Erfahrene Waldläufer der Dunedain
trp_a5_arnor_master_ranger|Meisterwaldläufer von Arnor
trp_a5_arnor_master_ranger_pl|Meisterwaldläufer von Arnor
trp_i1_rohan_youth|Jüngling aus Rohan
trp_i1_rohan_youth_pl|Jünglinge aus Rohan
trp_i2_guardsman_of_rohan|Wachmann aus Rohan
trp_i2_guardsman_of_rohan_pl|Wachmänner aus Rohan
trp_i3_footman_of_rohan|Fußkrieger aus Rohan
trp_i3_footman_of_rohan_pl|Fußkrieger aus Rohan
trp_i4_veteran_footman_of_rohan|Erfahrener Fußkrieger aus Rohan
trp_i4_veteran_footman_of_rohan_pl|Erfahrene Fußkrieger aus Rohan
trp_i5_elite_footman_of_rohan|Angesehener Fußkrieger aus Rohan
trp_i5_elite_footman_of_rohan_pl|Angesehene Fußkrieger aus Rohan
trp_i6_footman_guard_of_rohan|Folcwine-Wache aus Rohan
trp_i6_footman_guard_of_rohan_pl|Folcwine-Wachen aus Rohan
trp_i6_frealaf_raider|Frealafskrieger
trp_i6_frealaf_raider_pl|Frealafskrieger
trp_i5_raider_of_rohan|Vorkämpfer von Rohan
trp_i5_raider_of_rohan_pl|Vorkämpfer von Rohan
trp_i6_warden_of_methuseld|Wächter von Meduseld
trp_i6_warden_of_methuseld_pl|Wächter von Meduseld
trp_ac3_skirmisher_of_rohan|Scharmützler aus Rohan
trp_ac3_skirmisher_of_rohan_pl|Scharmützler aus Rohan
trp_ac4_veteran_skirmisher_of_rohan|Erfahrener Scharmützler aus Rohan
trp_ac4_veteran_skirmisher_of_rohan_pl|Erfahrene Scharmützler aus Rohan
trp_ac5_elite_skirmisher_of_rohan|Angesehener Scharmützler aus Rohan
trp_ac5_elite_skirmisher_of_rohan_pl|Angesehene Scharmützler aus Rohan
trp_ac6_skirmisher_guard_of_rohan|Thengelsreiter
trp_ac6_skirmisher_guard_of_rohan_pl|Thengelsreiter
trp_c4_lancer_of_rohan|Lanzenreiter aus Rohan
trp_c4_lancer_of_rohan_pl|Lanzenreiter aus Rohan
trp_c5_elite_lancer_of_rohan|Angesehener Lanzenreiter aus Rohan
trp_c5_elite_lancer_of_rohan_pl|Angesehene Lanzenreiter aus Rohan
trp_c6_lancer_guard_of_rohan|Bregosreiter
trp_c6_lancer_guard_of_rohan_pl|Bregosreiter
trp_c6_king_s_man_of_rohan|Leibwache des Königs
trp_c6_king_s_man_of_rohan_pl|Leibwachen des Königs
trp_c2_squire_of_rohan|Knappe aus Rohan
trp_c2_squire_of_rohan_pl| Knappen aus Rohan
trp_c3_rider_of_rohan|Reiter aus Rohan
trp_c3_rider_of_rohan_pl|Reiter aus Rohan
trp_c4_veteran_rider_of_rohan|Erfahrener Reiter aus Rohan
trp_c4_veteran_rider_of_rohan_pl|Erfahrene Reiter aus Rohan
trp_c5_elite_rider_of_rohan|Angesehener Reiter aus Rohan
