itm_horse_meat|Pferdefleisch
itm_axe_d|Nordmannaxt
itm_long_bearded_axe|Lange Bartaxt der Nordmänner
itm_2_handed_axe|Langaxt der Nordmänner
itm_shortened_spear|Gekürzter Speer
itm_spear|Speer
itm_light_lance|Leichte Lanze
itm_lance|Lanze
itm_tab_shield_small_round_b|Runder Reiterschild
itm_short_bow|Kurzbogen
itm_regular_bow|Bogen
itm_nomad_bow|Nomadenbogen
itm_gondor_bow|Bogen aus Gondor
itm_strong_bow|Starker Bogen
itm_elven_bow|Elbenbogen
itm_corsair_bow|Korsarenbogen
itm_dwarf_horn_bow|Zwergischer Hornbogen
itm_dwarf_short_bow|Zwergischer Kurzbogen
itm_harad_bow|Rundbogen aus Harad
itm_lg_bow|Bogen der Adlerschützen
itm_riv_bow|Bogen aus Bruchtal
itm_rhun_bow|Bogen der Balchoth
itm_lorien_bow|Bogen der Galadhrim
itm_isengard_large_bow|Großer Bogen aus Isengart
itm_dale_bow|Bogen aus Thal
itm_uruk_bow|Orkischer Hornbogen
itm_mirkwood_bow|Bogen aus dem Düsterwald
itm_dunland_javelin|Wurfspeere aus Dunland
itm_orc_throwing_arrow|Orkischer Wurfspieß
itm_heavy_throwing_spear|Schwerer Wurfspeer
itm_javelin|Wurfspeer
itm_harad_javelin|Wurfspeer aus Harad
itm_gondor_javelin|Wurfspeer aus Gondor
itm_rohirrim_throwing_axe|Nordmann-Wurfäxte
itm_loss_throwing_axes|Wurfaxt aus Lossarnach
itm_arnor_helm_c|Verzierter Helm aus Arnor
itm_arnor_helm_b|Helm aus Arnor
itm_arnor_helm_a|Leichter Helm aus Arnor
itm_arnor_light_a|Waldläufer-Lederwams der Dunedain
itm_arnor_light_b|Waldläufer-Kettenrüstung der Dunedain
itm_arnor_med_a|Waldläufer-Ledermantel der Dunedain
itm_arnor_med_b|Kettenrüstung der Dunedain
itm_arnor_heavy|Edle Rüstung aus Arnor
itm_arnor_greaves|Beinschienen aus Arnor
itm_arnor_shield_c|Arnorischer Reiterschild
itm_arnor_shield_a|Rundschild aus Arnor
itm_arnor_sword_c|Kriegsschwert aus Arnor
itm_arnor_sword_a|Bastardschwert aus Arnor
itm_arnor_sword_f|Kurzschwert aus Arnor
itm_riv_helm_a|Kettenhaube aus Bruchtal
itm_riv_helm_b|Schützenhelm aus Bruchtal
itm_riv_helm_c|Soldatenhelm aus Bruchtal
itm_tiara_reward|Elbischer Stirnreif
itm_riv_shield_a|Schild aus Bruchtal
itm_riv_shield_b|Schild aus Bruchtal
itm_riv_bas_sword|Bastardschwert aus Bruchtal
itm_riv_1h_sword|Schwert aus Bruchtal
itm_riv_riding_sword|Langschwert aus Bruchtal
itm_riv_archer_sword|Kurzschwert aus Bruchtal
itm_riv_spear|Speer aus Bruchtal
itm_riv_light|Wams aus Bruchtal
itm_riv_leather|Lederrüstung aus Bruchtal
itm_riv_foot_mail|Kettenhemd aus Bruchtal
itm_riv_foot_scale|Schuppenpanzer aus Bruchtal
itm_riv_surcoat|Waffenrock aus Bruchtal
itm_riv_knight|Ritterrüstung aus Bruchtal
itm_riv_armor_h_archer|Rüstung aus Bruchtal
itm_riv_boots|Stiefel aus Bruchtal
itm_gon_footman|Kettenhemd aus Gondor
itm_gon_jerkin|Wams aus Gondor
itm_gon_regular|Schweres Kettenhemd aus Gondor
itm_gon_bowman|Gambeson aus Gondor
itm_gon_archer|Gamebson mit Mantel aus Gondor
itm_gon_noble_cloak|Edles Wams aus Gondor
itm_gon_squire|Kettenhemd mit Mantel aus Gondor
itm_gon_knight|Schweres Kettenhemd mit Mantel aus Gondor
itm_gon_ranger_cloak|Waldläufermantal aus Gondor
itm_gon_ranger_skirt|Waldläuferrüstung aus Gondor
itm_gon_steward_guard|Rüstung der Wache des Truchsess
itm_gon_tower_guard|Rüstung der Turmwache
itm_gon_tower_knight|Rüstung der Ritter vom Turm
itm_gon_leader_surcoat_cloak|Hauptmannsrüstung von Gondor
itm_gondor_ranger_hood|Grüne Kapuze
itm_gondor_ranger_hood_mask|Waldläuferkapuze aus Gondor
itm_gondor_light_greaves|Lederbeinschienen aus Gondor
itm_gondor_med_greaves|Mittlere Beinschienen aus Gondor
itm_gondor_heavy_greaves|Kettenbeinschienen aus Gondor
itm_gondor_auxila_helm|Leichter Helm aus Gondor
itm_gondorian_archer_helm|Schützenhelm aus Gondor
itm_tower_archer_helm|Schützenhelm der Turmwache
itm_gondor_leader_helm|Hauptmannshelm von Gondor
itm_tower_guard_helm|Helm der Turmwache
itm_gondor_citadel_knight_helm|Helm der Ritter der Veste
itm_gondor_infantry_helm|Schwerer Soldatenhelm aus Gondor
itm_gondor_knight_helm|Reiterhelm aus Gondor
itm_gondor_dolamroth_helm|Helm aus Dol Amroth
itm_swan_knight_helm|Helm der Schwanenritter
itm_gondor_lamedon_helm|Helm aus Lamedon
itm_gondor_lamedon_leader_helm|Hauptmannshelm aus Lamedon
itm_blackroot_archer|Gambeson und Mantel aus dem Schwarzgrundtal
itm_blackroot_bowman|Lederwams und Mantel aus dem Schwarzgrundtal
itm_blackroot_footman|Lederwams aus dem Schwarzgrundtal
itm_blackroot_warrior|Gambeson aus dem Schwarzgrundtal
itm_blackroot_leader|Kettenhemd aus dem Schwarzgrundtal
itm_blackroot_hood|Schwarze Kapuze
itm_dol_hauberk|Kettenpanzer aus Dol Amroth
itm_dol_heavy_mail|Verstärkter Kettenpanzer aus Dol Amroth
itm_dol_padded_coat|Gepolsterte Rüstung aus Dol Amroth
itm_dol_shirt|Wams aus Dol Amroth
itm_dol_very_heavy_mail|Schwere Rüstung aus Dol Amroth
itm_dol_greaves|Beinschienen aus Dol Amroth
itm_dol_shoes|Leichte Stiefel aus Dol Amroth
itm_lamedon_clansman|Hochlandkleidung aus Lamedon
itm_lamedon_footman|Hochlandrüstung aus Lamedon
itm_lamedon_knight|Ritterrüstung aus Lamedon
itm_lamedon_leader_surcoat_cloak|Fürstliche Rüstung aus Lamedon
itm_lamedon_warrior|Kettenpanzer aus Lamedon
itm_lamedon_veteran|Verstärkte Hochlandrüstung aus Lamedon
itm_lamedon_vet_warrior|Verstärkter Kettenpanzer aus Lamedon
itm_lamedon_hood|Kapuze
itm_pinnath_archer|Schützenwams aus den Pinnath Gelin
itm_pinnath_footman|Wams aus den Pinnath Gelin
itm_pinnath_leader|Ritterrüstung aus den Pinnath Gelin
itm_pinnath_vet_footman|Verstärktes Wams aus den Pinnath Gelin
itm_pinnath_warrior|Polsterwams aus den Pinnath Gelin
itm_pel_footman|Rüstung aus Pelargir
itm_pel_jerkin|Wams aus Pelargir
itm_pel_leader|Fürstliche Rüstung aus Pelargir
itm_pel_marine|Seemannsrüstung aus Pelargir
itm_pelargir_marine_leader|Kapitänsrüstung aus Pelargir
itm_pelargir_regular|Verstärkte Rüstung aus Pelargir
itm_pelargir_hood|Weiße Kapuze
itm_pelargir_helmet_light|Helm aus Pelargir
itm_pelargir_helmet_heavy|Verstärkter Helm aus Pelargir
itm_pelargir_greaves|Beinschienen aus Pelargir
itm_lossarnach_shirt|Tunika aus Lossarnach
itm_lossarnach_axeman|Lederwams aus Lossarnach
itm_lossarnach_leader|Fürstliche Rüstung aus Lossarnach
itm_lossarnach_vet_axeman|Verstärktes Lederwams aus Lossarnach
itm_lossarnach_vet_warrior|Verstärkter Schuppenpanzer aus Lossarnach
itm_lossarnach_warrior|Schuppenpanzer aus Lossarnach
itm_lossarnach_cloth_cap|Stoffkappe aus Lossarnach
itm_lossarnach_leather_cap|Lederkappe aus Lossarnach
itm_lossarnach_scale_cap|Eisenkappe aus Lossarnach
itm_lossarnach_greaves|Beinschienen aus Lossarnach
itm_gondor_shield_a|Breitschild aus Gondor
itm_gondor_shield_b|Schild aus Gondor
itm_gondor_shield_c|Turmschild aus Gondor
itm_gondor_shield_d|Langschild aus Gondor
itm_gondor_shield_e|Zitadellenschild von Gondor
itm_gon_tab_shield_a|Runder Wappenschild aus Gondor
itm_gon_tab_shield_b|Breiter Wappenschild aus Gondor
itm_gon_tab_shield_c|Wappenschild aus Gondor
itm_gon_tab_shield_d|Langer Wappenschild aus Gondor
itm_amroth_sword_a|Schwert aus Dol Amroth
itm_amroth_sword_b|Ritterschwert aus Dol Amroth
itm_gondor_sword|Schwert aus Gondor
itm_amroth_bastard|Schwanenklinge von Dol Amroth
itm_gondor_short_sword|Eket aus Linhir
itm_pelargir_eket|Eket aus Pelargir
itm_pelargir_sword|Schwert aus Pelargir
itm_gondor_ranger_sword|Waldläuferschwert aus Gondor
itm_gondor_2h_sword|Kriegsschwert aus Gondor
itm_gondor_citadel_sword|Zitadellenschwert aus Gondor
itm_gondor_cav_sword|Reiterschwert aus Gondor
itm_gondor_spear|Speer aus Gondor
itm_gondor_tower_spear|Turmspeer aus Gondor
itm_gondor_lance|Lanze aus Gondor
itm_loss_axe|Kampfaxt aus Gondor
itm_loss_war_axe|Kriegsaxt aus Gondor
itm_lorien_sword_a|Langschwert aus Lorien
itm_lorien_sword_b|Kurzschwert aus Lorien
itm_lorien_sword_c|Kriegsschwert aus Lorien
itm_lorien_archer|Schützenrüstung aus Lorien
itm_lorien_armor_a|Polsterwams aus Lorien
itm_lorien_armor_b|Kettenhemd aus Lorien
itm_lorien_armor_c|Schuppenrüstung aus Lorien
itm_lorien_boots|Stiefel aus Lorien
itm_lorien_shield_b|Turmschild aus Lorien
itm_lorien_shield_c|Langschild aus Lorien
itm_lorien_round_shield|Rundschild aus Lorien
itm_lorien_helm_a|Schützenhelm aus Lorien
itm_lorien_helm_b|Schützenhelm aus Lorien
itm_lorien_helm_c|Soldatenhelm aus Lorien
itm_orc_coif|Orkische Eisenhaube
itm_orc_greaves|Orkische Panzerstiefel
itm_orc_ragwrap|Orkischer Lumpenwickel
itm_orc_furboots|Orkische Fellstiefel
itm_orc_tribal_a|Unbehandelte Haut
itm_orc_tribal_b|Unbehandelte Haut
itm_orc_tribal_c|Unbehandelte Haut
itm_evil_gauntlets_a|Schwarze Handschuhe
itm_evil_gauntlets_b|Schwarze Panzerhandschuhe
itm_isen_orc_light_a|Leichtes Ork-Rüstzeug aus Isengart
itm_isen_orc_light_b|Leichtes Ork-Rüstzeug aus Isengart
itm_isen_orc_pad_a|Leichter Ork-Schienenpanzer aus Isengart
itm_isen_orc_pad_b|Mittlerer Ork-Schienenpanzer aus Isengart
itm_isen_orc_mail_a|Ork-Kettenpanzer aus Isengart
itm_isen_orc_mail_b|Schwerer Ork-Schienenpanzer aus Isengart
itm_isen_uruk_light_a|Leichtes Gurtzeug der Uruk-hai
itm_isen_uruk_light_b|Kampfmontur der Uruk-hai
itm_isen_uruk_light_c|Berserkermontur der Uruk-hai
itm_isen_uruk_med_a|Leichter Schienenpanzer der Uruk-hai
itm_isen_uruk_med_b|Kettenpanzer der Uruk-hai
itm_isen_uruk_heavy_a|Mittlerer Schienenpanzer der Uruk-hai
itm_isen_uruk_heavy_b|Schwerer Kettenpanzer der Uruk-hai
itm_isen_uruk_heavy_c|Schwerer Schienenpanzer der Uruk-hai
itm_isen_uruk_heavy_d|Späher-Lederpanzer der Uruk-hai
itm_isen_uruk_heavy_e|Späher-Lederpanzer der Uruk-hai
itm_uruk_tracker_boots|Späherstiefel der Uruk-hai
itm_uruk_greaves|Uruk-Beinschienen
itm_uruk_chain_greaves|Uruk-Kettenhosen
itm_uruk_ragwrap|Uruk-Lumpenwickel
itm_isen_orc_helm_a|Orkhelm aus Isengart
itm_isen_uruk_helm_a|Helm der Uruk-hai
itm_isen_uruk_helm_d|Hauptmannshelm der Uruk-hai
itm_isen_uruk_helm_e|Späherhelm der Uruk-hai
itm_uruk_pike_b|Mordor-Langspeer
itm_uruk_falchion_a|Uruk-Falchion
itm_uruk_falchion_b|Großer Ork-Krummsäbel
itm_isengard_sword|Schwert aus Isengart
itm_isengard_axe|Axt aus Isengart
itm_isengard_hammer|Hammer aus Isengart
itm_isengard_halberd|Hellebarde aus Isengart
itm_isengard_mallet|Langstielhammer aus Isengart
itm_isengard_heavy_axe|Schwere Axt aus Isengart
itm_isengard_heavy_sword|Schweres Schwert aus Isengart
itm_isengard_spear|Speer aus Isengart
itm_isengard_pike|Pike aus Isengart
itm_isen_orc_shield_a|Orkschild aus Isengart
itm_isen_orc_shield_b|Orkschild aus Isengart
itm_isen_uruk_shield_b|Uruk-Schild aus Isengart
itm_wood_club|Holzkeule
itm_twohand_wood_club|Große Holzkeule
itm_bone_cudgel|Knochenkeule
itm_orc_pick|Ork-Picke
itm_orc_hammer|Bösartiger Kriegshammer
itm_orc_club_b|Wargreiterkeule
itm_orc_club_c|Orkknüppel mit Dornen
itm_orc_club_d|Bösartiger Streitkolben
itm_orc_sledgehammer|Grober Orkhammer
itm_orc_simple_spear|Orkspeer
itm_orc_skull_spear|Orkischer Schädelspeer
itm_orc_bill|Ork-Hellebarde
itm_orc_slasher|Ork-Kurzschwert
itm_orc_falchion|Ork-Falchion
itm_orc_scimitar|Ork-Krummschwert
itm_orc_sabre|Ork-Säbel
itm_orc_battle_axe|Ork-Kriegsaxt
itm_orc_axe|Orkaxt
itm_orc_two_handed_axe|Ork-Großaxt
itm_orc_throwing_axes|Orkische Wurfäxte
itm_orc_bow|Orkbogen
itm_orc_shield_a|Einfacher Schild
itm_orc_shield_b|Orkischer Fellschild
itm_orc_shield_c|Orkischer Fell-Turmschild
itm_mordor_orc_shield_a|Orkschild aus Mordor
itm_mordor_orc_shield_b|Orkschild aus Mordor
itm_mordor_orc_shield_c|Orkschild aus Mordor
itm_mordor_orc_shield_d|Orkschild aus Mordor
itm_mordor_orc_shield_e|Orkschild aus Mordor
itm_mordor_uruk_shield_a|Urukschild aus Mordor
itm_mordor_uruk_shield_b|Urukschild aus Mordor
itm_mordor_uruk_shield_c|Urukschild aus Mordor
itm_mordor_man_shield_a|Menschenschild aus Mordor
itm_mordor_man_shield_b|Menschenschild aus Mordor
itm_angmar_shield|Schild aus Angmar
itm_orc_nosehelm|Orkischer Nasenhelm
itm_orc_kettlehelm|Orkischer Eisenhut
itm_orc_buckethelm|Orkischer Schaller
itm_orc_morion|Orkischer Krempenhelm
itm_orc_beakhelm|Orkischer Schnabelhelm
itm_orc_bughelm|Orkischer Wurmhelm
itm_orc_visorhelm|Orkischer Visierhelm
itm_m_orc_light_a|Leichte Orkrüstung aus Mordor
itm_m_orc_light_b|Leichte Orkrüstung aus Mordor
itm_m_orc_light_c|Leichte Orkrüstung aus Mordor
itm_m_orc_light_d|Leichte Orkrüstung aus Mordor
itm_m_orc_light_e|Leichte Orkrüstung aus Mordor
itm_m_orc_heavy_a|Schwere Orkrüstung aus Mordor
itm_m_orc_heavy_b|Schwere Orkrüstung aus Mordor
itm_m_orc_heavy_c|Schwere Orkrüstung aus Mordor
itm_m_orc_heavy_d|Schwere Orkrüstung aus Mordor
itm_m_orc_heavy_e|Schwere Orkrüstung aus Mordor
itm_m_uruk_light_a|Uruk-Gurtzeug
itm_m_uruk_light_b|Uruk-Lederrüstung
itm_m_uruk_light_c|Leichte Uruk-Kettenrüstung
itm_m_uruk_med_a|Schwere Uruk-Lederrüstung
itm_m_uruk_med_b|Schwere Uruk-Kettenrüstung
itm_m_uruk_med_c|Leichte Uruk-Schuppenrüstung
itm_m_uruk_heavy_a|Schwere Uruk-Schuppenrüstung
itm_m_uruk_heavy_b|Schwere Uruk-Rüstung
itm_m_uruk_heavy_c|Lugburz-Rüstung
itm_m_cap_armor|Hauptmannsrüstung aus Mordor
itm_black_num_armor|Hauptmannsrüstung der schwarzen Numenorer
itm_m_armor_a|Rüstung aus Mordor
itm_m_armor_b|Rüstung aus Mordor
itm_evil_light_armor|Finstres Gewand
itm_uruk_helm_a|Uruk-Helm
itm_uruk_helm_b|Uruk-Helm
itm_uruk_helm_c|Uruk-Schnabelhelm
itm_uruk_helm_d|Uruk-Visierhelm
itm_uruk_helm_e|Uruk-Maskenhelm
itm_uruk_helm_f|Uruk-Helm
itm_mordor_cap_helm|Hauptmannshelm von Modor
itm_mordor_helm|Helm aus Mordor
itm_black_num_helm|Helm der schwarzen Numenorer
itm_mordor_sword|Bastardschwert aus Mordor
itm_mordor_longsword|Schwert aus Mordor
itm_moria_armor_a|Brustpanzer aus Moria
itm_moria_armor_b|Brust-und-Schulterpanzer aus Moria
itm_moria_armor_c|Ork-Kettenpanzer aus Moria
itm_moria_armor_d|Vernietete Lederrüstung aus Moria
itm_moria_armor_e|Schwerer Ork-Kettenpanzer aus Moria
itm_moria_orc_shield_a|Großer Orkschild aus Moria
itm_moria_orc_shield_b|Orkschild aus Moria
itm_moria_orc_shield_c|Orkschild aus Moria
itm_gundabad_armor_a|Orkfetzen vom Gundabadberg
itm_gundabad_armor_b|Fellrüstung vom Gundabadberg
itm_gundabad_armor_c|Orkrüstung vom Gundabadberg
itm_gundabad_armor_d|Orkrüstung vom Gundabadberg
itm_gundabad_armor_e|Schwere Orkrüstung vom Gundabadberg
itm_gundabad_helm_a|Lederhaube
itm_gundabad_helm_b|Lederhelm
itm_gundabad_helm_c|Helm vom Gundabadberg
itm_gundabad_helm_d|Helm vom Gundabadberg
itm_gundabad_helm_e|Wargreiterhelm
itm_dunland_wolfboots|Wolfstiefel aus Dunland
itm_dunland_tunic_1|Lederhemd aus Dunland
itm_dunland_tunic_2|Lederhemd aus Dunland
itm_dunland_fur_1|Fellrüstung aus Dunland
itm_dunland_fur_2|Fellrüstung aus Dunland
itm_dunland_mail_1|Brünne aus Dunland
itm_dunland_mail_2|Brünne aus Dunland
itm_dunland_chieftain|Häuptlingsrüstung aus Dunland
itm_dun_helm_a|Wolfskappe aus Dunland
itm_dun_helm_b|Fellkappe aus Dunland
itm_dun_helm_c|Hoher Helm aus Dunland
itm_dun_helm_d|Hoher Helm aus Dunland
itm_dun_helm_e|Geweihhelm aus Dunland
itm_dun_shield_a|Rundschild aus Dunland
itm_dun_shield_b|Ovaler Schild aus Dunland
itm_dun_berserker|Häuptlingsschwert aus Dunland
itm_dunnish_antler_axe|Geweihaxt aus Dunland
itm_dunnish_war_axe|Kriegsaxt aus Dunland
itm_dunnish_axe|Axt aus Dunland
itm_dunland_spear|Spieß aus Dunland
itm_dunnish_pike|Langspieß aus Dunland
itm_rohan_cav_sword|Reiterschwert aus Rohan
itm_rohan_inf_sword|Schwert aus Rohan
itm_rohan_spear|Speer aus Rohan
itm_rohan_lance|Lanze aus Rohan
itm_rohan_sword_c|Schwert aus Rohan
itm_rohirrim_short_axe|Kurzaxt aus Rohan
itm_rohirrim_long_hafted_axe|Langstielaxt aus Rohan
itm_rohan_2h_sword|Kriegsschwert aus Rohan
itm_rohan_recruit|Wams aus Rohan
itm_rohan_leather|Lederrüstung aus Rohan
itm_rohan_mail|Brünne aus Rohan
itm_rohan_rider|Reiterrüstung aus Rohan
itm_rohan_scale|Schuppenpanzer aus Rohan
itm_rohan_surcoat|Wappenrock von Rohan
itm_rohan_guard|Meduseld-Schuppenpanzer
itm_rohan_light_helmet_a|Leichter Helm aus Rohan
itm_rohan_light_helmet_b|Leichter Helm aus Rohan
itm_rohan_inf_helmet_a|Brillenhelm aus Rohan
itm_rohan_inf_helmet_b|Brillenhelm aus Rohan
itm_rohan_archer_helmet_a|Nasalhelm aus Rohan
itm_rohan_archer_helmet_b|Nasalhelm aus Rohan
itm_rohan_archer_helmet_c|Edler Helm aus Rohan
itm_rohan_shield_a|Schild aus Rohan
itm_rohan_shield_b|Schild aus Rohan
itm_rohan_shield_c|Schild aus Rohan
itm_rohan_shield_d|Schild aus Rohan
itm_rohan_shield_e|Schild aus Rohan
itm_rohan_shield_f|Schild aus Rohan
itm_rohan_shield_g|Königlicher Schild von Rohan
itm_rohan_light_greaves|Leichte Beinschienen aus Rohan
itm_rohirrim_war_greaves|Kriegsbeinschienen aus Rohan
itm_mirkwood_leather|Lederrüstung der Waldelben
itm_mirkwood_pad|Polsterwams aus dem Grünwald
itm_mirkwood_mail|Kettenhemd aus dem Grünwald
itm_mirkwood_scale|Leichte Schuppenrüstung aus dem Grünwald
itm_mirkwood_heavy_scale|Grünblatt-Rüstung
itm_mirkwood_sword|Schwert der Waldelben
itm_mirkwood_great_spear|Großer Speer aus dem Grünwald
itm_mirkwood_war_spear|Kriegsspeer aus dem Grünwald
itm_mirkwood_short_spear|Speer der Waldelben
itm_mirkwood_knife|Kampfmesser der Waldelben
itm_mirkwood_axe|Axt der Waldelben
itm_mirkwood_spear_shield_a|Schild der Waldelben
itm_mirkwood_spear_shield_b|Kriegsschild aus dem Grünwald
itm_mirkwood_spear_shield_c|Rundschild der Waldelben
itm_mirkwood_helm_a|Leichter Helm der Waldelben
itm_mirkwood_helm_b|Helm aus dem Grünwald
itm_mirkwood_helm_c|Schwerer Helm aus dem Grünwald
itm_mirkwood_helm_d|Königlicher Helm aus dem Grünwald
itm_woodelf_leather_boots|Lederstiefel der Waldelben
itm_mirkwood_boots|Stiefel aus Grünwald
itm_harad_tunic|Tunika aus Harad
itm_harad_padded|Polsterwams aus Harad
itm_harad_lamellar|Schuppenweste aus Harad
itm_harad_heavy_lamellar|Schwere Schuppenweste aus Harad
itm_harad_heavy|Harasjala-Rüstung
itm_harad_pectoral|Brustpanzer aus Harad
itm_black_snake_armor|Maranka-Rüstung
itm_harad_champion|Gewand aus Fern-Harad
itm_harad_scale|Schuppenpanzer aus Harad
itm_harad_lion_scale|Rüstung der Löwenbruderschaft
itm_harad_dragon_helm|Kiloka-Helm
itm_harad_cav_helm_a|Leichter Helm aus Harondor
itm_harad_cav_helm_b|Leichter Helm aus Harondor
itm_black_snake_helm|Maranka-Helm
itm_harad_finhelm|Schwerer Helm aus Harad
itm_harad_heavy_inf_helm|Fußsoldatenhelm aus Harad
itm_harad_wavy_helm|Konischer Helm aus Harad
itm_harad_eaglehelm|Helm der Adlerschützen
itm_lion_helm|Helm der Löwenbruderschaft
itm_harad_pantherhelm|Kappe der Pantherhünen
itm_harad_khopesh|Sichelschwert aus Harad
itm_black_snake_sword|Schlangenschwert aus Harad
itm_harad_heavy_sword|Drachenschwert aus Harad
itm_horandor_a|Krummsäbel aus Harad
itm_skirmisher_sword|Plänklerschwert aus Harad
itm_harad_sabre|Salamanderschwert aus Harad
itm_harad_mace|Streitkolben aus Fern-Harad
itm_far_harad_2h_mace|Zweihändiger Streitkolben aus Fern-Harad
itm_harad_dagger|Messer aus Harad
itm_harad_short_spear|Kurzspeer aus Harad
itm_harad_long_spear|Speer aus Harad
itm_eagle_guard_spear|Harasjala-Speer
itm_harad_long_shield_a|Leopardenschild aus Harad
itm_harad_long_shield_b|Bronzeschild aus Harad
itm_harad_long_shield_c|Sonnenschild aus Harad
itm_harad_long_shield_d|Schlangenschild aus Harad
itm_harad_long_shield_e|Schlangenschild aus Harad
itm_harad_shield_a|Schild aus Harondor
itm_harad_shield_b|Faustschild aus Harad
itm_harad_shield_c|Faustschild aus Harondor
itm_harad_yellow_shield|Schild aus Harad
itm_desert_boots|Wüstenstiefel
itm_harad_leather_greaves|Lederbeinschienen aus Harad
itm_harad_scale_greaves|Beinschienen aus Harad
itm_harad_lamellar_greaves|Beinschienen aus Harad
itm_khand_inf_helm_a|Helm aus Khand
itm_khand_inf_helm_b|Helm aus Khand
itm_khand_inf_helm_c1|Rundhelm aus Khand
itm_khand_inf_helm_c2|Rundhelm aus Khand
itm_khand_inf_helm_d|Kegelhelm aus Khand
itm_khand_cav_helm_a|Reiterhelm aus Khand
itm_khand_cav_helm_b|Reiterhelm aus Khand
itm_khand_cav_helm_c|Verzierter Helm aus Khand
itm_khand_helm_mask|Maske aus Khand
itm_khand_light|Kriegerrock aus Khand
itm_khand_light_lam|Leichte Fußsoldatenrüstung aus Khand
