
str_yes|Ja
str_tutorial_3_msg_1|Dieses Tutorial gibt dir einen Überblick über Parieren und Verteidigung ohne Schild. Das Parieren von Angriffen mit deiner Waffe ist etwas schwieriger, als sie mit einem Schild abzublocken. Wenn du mit einer Waffe parierst, bist du nur in eine Richtung geschützt, nämlich der, in die deine Waffe ausgerichtet ist. Wenn du aufwärts blockst, parierst du alle von oben kommenden Schläge, aber keine Stöße oder Angriffe auf deine Seiten. Diese Angriffsarten würden dich trotzdem treffen. Daher musst du die direktionale Verteidigung lernen, um ohne Schild überleben zu können. Hole dir nun die Axt, um mit der Übung zu beginnen.
str_tutorial_3_msg_2|Als Voreinstellung wird die Richtung deiner Verteidigung (mittels Klicken und Halten der linken Maustaste) durch die Angriffsrichtung deines nächsten Gegners bestimmt. Wenn zum Beispiel dein Gegner einen Stoß vorbereitet, kannst du durch Drücken und Halten der rechten Maustaste Stöße parieren, aber keine Angriffe von der Seite oder von oben. Du musst deinen Gegner sorgfältig beobachten und darfst deine Parade erst einleiten, NACHDEM er seinen Angriff beginnt. Wenn du startest, BEVOR er angreift, könnte deine Abwehr in die falsche Richtung gehen! Nun ist es Zeit, in den nächsten Raum zu gehen, in dem du dich gegen einen bewaffneten Gegner verteidigen musst. Deine Aufgabe ist es, dich dreißig Sekunden lang mit nichts als deiner Axt erfolgreich zu verteidigen. Die Angriffe deiner Axt sind für dieses Tutorial deaktiviert, mache dir also keine Gedanken über Angriffe, sondern konzentriere dich auf die Verteidigung. Gehe in den nächsten Raum, wenn du zum Kampf bereit bist.
str_tutorial_3_msg_3|Drücke und halte die rechte Maustaste, um dich mit deiner Axt zu verteidigen, nachdem dein Gegner seine Attacke beginnt. Versuche, dreißig Sekunden lang standzuhalten. Du hast noch {reg3} Sekunden.
str_tutorial_3_msg_4|Gut gemacht, du hast diese Prüfung bestanden! Nun wirst du gegen einen schwierigeren Gegner antreten. Gehe in den nächsten Raum, wenn du bereit bist.
str_tutorial_3_msg_5|Drücke und halte die rechteMaustaste, um dich mit deiner Axt zu verteidigen, nachdem dein Gegner seine Attacke beginnt. Versuch, dreißig Sekunden lang standzuhalten. Ihr habt noch {reg3} Sekunden.
str_tutorial_3_msg_6|Glückwunsch, trotz aller Anstrengungen des Gegners stehst du immer noch. Nun ist es an der Zeit, anzugreifen und zu verteidigen. Gehe zur Tür und drückt die F-Taste, wenn das Wort 'Los' erscheint.
str_tutorial_3_2_msg_1|Angriffe mit deiner Axt sind nun wieder aktiviert. Dein erster Gegner wartet im nächsten Raum. Besiege ihn mit einer Kombination aus Angriff und Verteidigung.
str_tutorial_3_2_msg_2|Besiege deinen Gegner mit deiner Axt.
str_tutorial_3_2_msg_3|Ausgezeichnet. Nun steht dir nur noch ein letzter Gegner im Weg. Er ist im nächsten Raum. Gehe hinein und hau' ihn um!
str_tutorial_3_2_msg_4|Besiege deinen Gegner mit deiner Axt.
str_tutorial_3_2_msg_5|Gut gemacht! In diesem Tutorial hast du den Kampf ohne Schild gelernt. Übe viel und gründlich, und niemand wird dir ein Haar krümmen können. Im nächsten Tutorial lernst du Reiten und den Kampf zu Pferd. Du kannst nun jederzeit die Tab-Taste drücken, um zum Tutorial-Menü zurückzukehren.
str_tutorial_4_msg_1|Willkommen zum vierten Tutorial. Hier wirst du lernen, wie man reitet und verschiedene Kampfarten zu Pferd ausführt. Beginnen wir mit dem Aufsitzen. Nähere dich dem Pferd und drücke die 'F'-Taste, wenn das Wort 'Aufsitzen' erscheint.
str_tutorial_4_msg_2|Während du im Sattel sitzt, kontrollieren die WASD-Tasten die Bewegungen deines Pferds, nicht die deinen. Versuche, zu Pferd der gelben Flagge um die Bahn herum zu folgen. Wenn du die Flagge erreichst, bewegt sie sich zum nächsten Wegpunkt auf der Bahn, bis du das Ziel erreicht hast.
str_tutorial_4_msg_3|Sehr gut. Als nächstes lernst du, Feinde vom Sattel aus anzugreifen. Reite nun zur gelben Flagge
str_tutorial_4_msg_4|Ziehe dein Schwert (mit dem Mausrad) und zerstöre die vier Ziele. Versuche, die Strohpuppen zu treffen, während du im vollen Galopp an ihnen vorbeireitest -- dies bietet eine zusätzliche Herausforderung, aber die höhere Geschwindigkeit verleiht deinen Schlägen auch mehr Wucht. Am einfachsten ist dies zu bewerkstelligen, indem du die linke Maustaste drückst und hältst, bis der richtige Moment gekommen ist, und sie dann loslässt, kurz bevor du am Ziel vorbeireitest.
str_tutorial_4_msg_5|Ausgezeichnete Arbeit. Versuchen wir nun, vom Sattel aus zu schießen. Reite hinüber zur gelben Flagge.
str_tutorial_4_msg_6|Suche die Zielscheibe neben der Reitbahn und schieße drei Mal mit deinem Bogen darauf. Obwohl du während des Schießens nicht reiten musst, ist es empfehlenswert, das Ziel bei verschiedenen Geschwindigkeiten und aus Winkeln zu beschießen, um ein Gefühl dafür zu bekommen, wie der Laufweg und die Geschwindigkeit deines Pferdes dein Zielen beeinflusst.
str_tutorial_4_msg_7|Glückwunsch, du hast dieses Tutorial abgeschlossen. Du kannst nun jederzeit die Tab-Taste drücken, um zum Tutorial-Menü zurückzukehren.
str_tutorial_5_msg_1|Willkommen im fünften und letzten Tutorial, welches dir eine kurze Einführung in das Befehligen deiner Truppen im Feld bieten wird, einen der wichtigsten Aspekte in Mount&Blade.^^Das erste Kommandomenü, das du kennenlernen solltest, ist das Bewegungsmenü, welches über F1 aufgerufen werden kann. Drücke nun F1 und sieh dir dir Bewegungsmöglichkeiten an, die du deinen Truppen in der Schlacht befehlen kannst.^^Als ersten Schritt, befehle deinen Truppen, dir zu folgen, und gehe dann zu dem Hügel, wo die Fahne und der Pfeil sind.
str_tutorial_5_msg_2|Sehr gut! Deine Truppen sind dir auf den Hügel gefolgt. Nun hast du einen guten Blick über das Schlachtfeld.^^Befehle deinen Truppen nun, hier zu halten, indem du das Bewegungsmenü erneut mit F1 öffnest, und nun den Befehl "Position Halten" (F1) auswählst.^^Wenn du das getan hast, werden deine Truppen dir nicht mehr folgen, sondern auf der Position bleiben, die du ihnen zugewiesen hast.^^Dies ist ein guter Zeitpunkt, das zweite Kommandomenü in Augenschein zu nehmen, welches grundlegende Truppenformationen behandelt.^^In diesem Menü befiehlst du deinen Truppen, näher zusammenzurücken, um einem Ansturm feindlicher Truppen zu begegnen, oder aber auszufächern, um sich vor feindlichen Bogenschützen zu schützen.^^Wenn du deinen Truppen befiehlst, zehn Schritte vorzurücken oder zurückzuweichen, so werden sie ihre Formation dabei halten.^^Wenn du fertig bist, lasse deine Truppen auf diesem Hügel weiter die Position halten und gehe zum gegenüberliegenden Hügel, wo sich die Flagge und der Pfeil befinden.
str_tutorial_5_msg_3|Gut! Wie du siehst, bleibt die Infanterie dort, wo du sie zurückgelassen hast. Gehe nun zur Windmühle.
str_tutorial_5_msg_4|Nun hast du einen Trupp Bogenschützen unter deinem Kommando. In M&B kannst du verschiedenen Befehle an unterschiedliche Abteilungen wie Infanterie, Bogenschützen oder Kavallerie vergeben.^^Über die Zahlentasten wählst du die entsprechende Abteilung aus (1 für Infanterie, 2 für Bogenschützen, 3 für Kavallerie). Du kannst dann die Kommandomenüs nutzen, um die ausgewählte Abteilung zu befehligen.^^Merke dir, dass die Auswahl bestehen bleibt, und alle folgenden Kommandos(über F1, F2, F3) für die zuletzt ausgewählte Abteilung gelten. Auf deinem Bildschirm siehst du eine Nachricht, die dir anzeigt, wem du gerade Befehle erteilst.^^Befehle nun deiner Infanterie, dir zu folgen. Befehle auch deinen Bogenschützen, dir zu folgen. Sobald sie alle zusammenstehen, gehe zurück zu dem Hügel, von dem du gekommen bist.^^Wenn du dort angekommen bist, suche den Pfeil und befehle deiner Infanterie, dorthin zu gehen, indem du 1 drückst und dann die F1-Taste gedrückt hältst, sodass ein Banner erscheint. Du kannst dieses Banner platzieren, um deinen Truppen eine bestimmte Position zuzuweisen.^^Befehle deinen Bogenschützen, sich auf dem erhöhten Grund bei der Flage hinter dem Pfeil zu positionieren.
str_tutorial_5_msg_5|Deine Männer sind in Position, die Feinde haben sich gesammelt und greifen dich an! Nutze, was du gelernt hast, um deine Infanterie nach vorn zu bewegen, oder befehle ihnen, anzugreifen. Ein Angrifflöst die Formation auf und deine Truppen bewegen sich selbstständig zum nächsten Gegner.^^Du kannst dienen Bogenschützen auch befehlen, einen anderen hochgelegenen Ort aufzusuchen.^^Du kannst auch F3 drücken, um das dritte Kommandomenü aufzurufen und die verschiedenen Waffenbefehle zu begutachten.
str_tutorial_5_msg_6|Gut gemacht! Du hast deine erste Feldschlacht in M&B geschlagen. Ein kluger Einsatz deiner Truppen in der Schlacht ist von höchster Wichtigkeit für deinen Erfolg als Befehlshaber. Du musst lernen, das Gelände zu lesen, und deinen Truppen vorteilhafte Positionen zuzuweisen.^^ In TLD gibt es außerdem erweiterte Formationen für fortgeschrittene Manöver, wie etwa den Schildwall für Infanterie oder die Keilformation für Reiter. Über diese erfährst du mir im Infomenü der Kampagne.^^Du kannst nun TAB drücken, um jederzeit dieses Tutorial zu verlassen.
str_trainer_help_1|Dies ist das Ausbildungsgelände, wo du die Grundlagen des Spiels erlernen wirst. Nutze die WASD-Tasten, um dich zu bewegen, und die Maus, um dich umzusehen.
str_trainer_help_2|Um mit dem Ausbilder zu reden, gehe näher und drücke 'F', wenn du das Wort 'Reden' unter seinem Namen siehst. Wenn du dieses oder jedes andere Gebiet verlassen möchtest, drücke TAB.
str_custom_battle_1|Angbor der Furchtlose von Gondor und seine Kompanie fangen einen Verstärkungstrupp der Haradrim ab. Er lässt seinen Kriegsruf ertönen, spornt sein Pferd an und führt seine treuen Männer in eine wilde Schlacht.
str_custom_battle_2|Celeborn von Lorien führt eine Patrouille mit Reitern und Bogenschützen, als ein Späher ihn vor einer herannahenden Streitmacht aschgesichtiger böser Menschen warnt. Es sind die gefürchteten Schwarzen Numenorer! Jene wurden um Lorien seit Ewigkeiten nicht gesehen, doch nun müssen sie zurück in die Schatten getrieben werden.
str_custom_battle_3|Hauptmann Grimbold von Rohan führt die letzten Verteidiger des Klammwalls gegen die Armeen von Isengart. Nun, da die Belagerer sich zum letzten Angriff bereiten, muss er die Mauern mit Mut und blankem Stahl verteidigen.
str_custom_battle_4|Als die Späher Fürst Beranhelm von einem herannahenden Kriegstrupp aus Rhun berichten, entscheidet er sich, rasch die Verteidigung seines Lagers vorzubereiten und dieses gegen die Überzahl zu halten.
str_custom_battle_5|Ugluk hat seine wilden Orks mit dem Versprechen auf Beute in den Westen geführt. Wenn diese Zwergenfestung heute an ihn fällt, werden seine Gebieter in Barad-dur sehr zufrieden sein.
str_custom_battle_6|Ugluk und sein Überfallkommando sind lange klug jeder Elbenpatrouille entkommen. Aber Glück hält nicht ewig und nun sind die dreckigen Fahlhäute am Zug.
str_custom_battle_7|Korsaren haben ein Lager an den Küsten von Gondor aufgeschlagen! Wie können sie es wagen! Lasst uns rasch zuschlagen, bevor sie Verstärkung erhalten, und sie zurück in die See treiben, wohin sie gehören.
str_finished|(Beendet)
str_delivered_damage|{reg60} Schaden zugefügt.
str_archery_target_hit|Distanz: {reg61}. Punkte: {reg60}
str_use_baggage_for_inventory|In deiner Truhe findest du während des Gefechts dein Inventar (sie befindet sich an deiner Startposition).
str_cant_use_inventory_now|Inventar kann jetzt nicht geöffnet werden.
str_cant_use_inventory_arena|Inventar kann in der Arena nicht geöffnet werden.
str_cant_use_inventory_disguised|Inventar kann nicht geöffnet werden, während du getarnt bist.
str_cant_use_inventory_tutorial|Inventar kann im Ausbildungslager nicht geöffnet werden.
str_1_denar|1 Ressourcenpunkt.
str_reg1_denars|{reg1} Ressourcenpunkte.
str_january_reg1_reg2|{reg1}. Narvinyë (Jan) {reg2}, D.Z.
str_february_reg1_reg2|{reg1}. Nénimë (Feb) {reg2}, D.Z.
str_march_reg1_reg2|{reg1}. Súlìmë (Mär) {reg2}, D.Z.
str_april_reg1_reg2|{reg1}. Víressë (Apr) {reg2}, D.Z.
str_may_reg1_reg2|{reg1}. Lótessë (Mai) {reg2}, D.Z.
str_june_reg1_reg2|{reg1}. Náríë (Jun) {reg2}, D.Z.
str_july_reg1_reg2|{reg1}. Cermië (Jul) {reg2}, D.Z.
str_august_reg1_reg2|{reg1}. Urimë (aug) {reg2}, D.Z.
str_september_reg1_reg2|{reg1}. Yavannië (Sep) {reg2}, D.Z.
str_october_reg1_reg2|{reg1}. Narquelië (Okt) {reg2}, D.Z.
str_november_reg1_reg2|{reg1}. Hísimë (Nov) {reg2}, D.Z.
str_december_reg1_reg2|{reg1}. Ringarë (Dez) {reg2}, D.Z.
str_calendar_spec_day_1|Yestarë (Erster Tag) {reg2}, D.Z.
str_calendar_spec_day_2|Tuilérë (Frühlingstag) {reg2}, D.Z.
str_calendar_spec_day_3|Loëndë (Mittjahrstag) {reg2}, D.Z.
str_calendar_spec_day_4|Yáviérë (Erntetag) {reg2}, D.Z.
str_calendar_spec_day_5|Mettarë (Letzter Tag) {reg2}, D.Z.
str_town_nighttime|Es ist später Abend.
str_door_locked|Die Tür ist verriegelt.
str_castle_is_abondened|Die Burg scheint unbesetzt zu sein.
str_town_is_abondened|Die Stadt hat keine Garnison zu ihrer Verteidigung.
str_place_is_occupied_by_player|Der Ort wird von deinen eigenen Truppen gehalten.
str_place_is_occupied_by_enemy|Der Ort wird von feindlichen Truppen gehalten.
str_place_is_occupied_by_friendly|Der Ort wird von verbündeten Truppen gehalten.
str_do_you_want_to_retreat|Bist du dir sicher, dich zurückziehen zu wollen?
str_give_up_fight|Den Kampf aufgeben?
str_do_you_wish_to_leave_tutorial|Wünschst du das Tutorial zu verlassen?
str_do_you_wish_to_surrender|Wünschst du zu kapitulieren?
str_can_not_retreat|Rückzug nicht möglich, es sind Feinde in der Nähe!
str_s1_joined_battle_enemy|{s1} hat sich dem Gefecht auf Feindesseite angeschlossen.
str_s1_joined_battle_friend|{s1} hat sich dem Gefecht auf deiner Seite angeschlossen.
str_entrance_to_town_forbidden|Die Stadtwachen halten Ausschau nach Eindringlingen, und es scheint nicht, dass du unbehelligt die Tore passieren kannst.
str_sneaking_to_town_impossible|Die Stadtwachen sind alarmiert. Du kannst nicht unerkannt durch das Tor schlüpfen, wie gut auch immer deine Verkleidung sein mag.
str_battle_won|Du hast das Gefecht gewonnen!
str_battle_lost|Du hast das Gefecht verloren!
str_player_down|Du wurdest niedergeschlagen, aber deine Truppen kämpfen weiter!
str_attack_walls_success|Nach einem blutigen Kampf haben es deine tapferen Soldaten geschafft, die Mauern dem Feind aus den Händen zu reißen.
str_attack_walls_failure|Deine Soldaten fallen beim Sturm auf die Mauren wie die Fliegen, und die wenigen Überlebenden fliehen auf Nimmerwiedersehen.
str_attack_walls_continue|Ein blutiges Gefecht bricht aus, und beide Seite kämpfen mit gleichsamer Tapferkeit. Trotz der Anstrengungen deiner Truppen verbleibt die Burg in feindlicher Hand.
str_order_attack_success|Deine Männer kämpfen tapfer und besiegen den Feind.
str_order_attack_failure|Sinkenden Herzens wirst du Zeuge, wie der Feind deine Soldaten niedermäht und die wenigen zerlumpten Überlebenden von dannen treibt.
str_order_attack_continue|Trotz eines ausgedehnten Scharmützles konnten deine Truppen keinen entscheidenden Sieg davontragen.
str_join_order_attack_success|Deine Männer kämpften gut an der Seite deiner Verbündeten und teilen sich den Ruhm, deine Feinde geschlagen zu haben.
str_join_order_attack_failure|Sinkenden Herzens wirst du Zeuge, wie der Feind deine Soldaten niedermäht und die wenigen zerlumpten Überlebenden von dannen treibt.
str_join_order_attack_continue|Trotz eines ausgedehnten Scharmützles konnten deine Truppen keinen entscheidenden Sieg davontragen.
str_siege_defender_order_attack_success|Die Männer der Garnison halten ihre Mauern mit Mut und Geschick, schlagen den Ansturm der Feinde zurück und verwandeln die Niederlage in eine schmachvolle Schlappe.
str_siege_defender_order_attack_failure|Der Ansturm wandelt sich schnell zum Blutbad. Tapfere Anstrengungen verlaufen im Sand; die überwältigte Garnison kann die Mauern nicht halten, und der Feind lässt auch noch den letzten Verteidiger über die Klinge springen.
str_siege_defender_order_attack_continue|Wiederholte, blutige Versuche, die Mauern zu stürmen, versickern im Sande, doch zu viele Feinde verbleiben, als das die Verteidiger einen echten Sieg ihr eigen nennen dürften. Die Belagerung fährt fort.
str_hero_taken_prisoner|{s1} von {s3} wurde von {s2} gefangen genommen.
str_hero_freed|{s1} von {s3} wurde von {s2} aus der Gefangenschaft befreit.
str_center_captured|{s2} haben {s1} von {s3} genommen!
str_troop_relation_increased|Deine Beziehung mit {s1} ist von {reg1} auf {reg2} angestiegen.
str_troop_relation_detoriated|Deine Beziehung mit {s1} hat sich von {reg1} auf {reg2} verschlechtert.
str_faction_relation_increased|Deine Beziehung mit {s1} ist von {reg1} auf {reg2} angestiegen.
str_faction_relation_detoriated|Deine Beziehung mit {s1} hat sich von {reg1} auf {reg2} verschlechtert.
str_party_gained_morale|Dein Trupp gewinnt an {reg1} Moral.
str_party_lost_morale|Dein Trupp verliert {reg1} Moral.
str_qst_follow_spy_noticed_you|Der Spion hat dich erspäht! Er rennt um sein Leben!
str_father|Vater
str_husband|Gatte
str_wife|Gattin
str_daughter|Tochter
str_mother|Mutter
str_son|Sohn
str_brother|Bruder
str_sister|Schwester
str_he|Er
str_she|Sie
str_s3s_s2|{s3}s {s2}
str_s5_is_s51|{s5} ist {s51}.
str_s5_is_the_ruler_of_s51|{s5} ist Herrscher von {s51}.
str_s5_is_a_nobleman_of_s6|{s5} ist ein Adliger von {s6}.
str_relation_mnus_100|Verzehrt von Rachsucht
str_relation_mnus_90|Verzehrt von Rachsucht
str_relation_mnus_80|Verzehrt von Rachsucht
str_relation_mnus_70|Hasserfüllt
str_relation_mnus_60|Hasserfüllt
str_relation_mnus_50|Feindlich
str_relation_mnus_40|Verärgert
str_relation_mnus_30|Missgünstig
str_relation_mnus_20|Mürrisch
str_relation_mnus_10|Misstrauisch
str_relation_plus_0|Gleichgültig
str_relation_plus_10|Kooperativ
str_relation_plus_20|Einladend
str_relation_plus_30|Wohlwollend
str_relation_plus_40|Befürwortend
str_relation_plus_50|Freundlich
str_relation_plus_60|Gnädig
str_relation_plus_70|Zugetan
str_relation_plus_80|Loyal
str_relation_plus_90|Ergeben
str_relation_mnus_100_ns|{s60} ist verzehrt von Rachsucht auf dich.
str_relation_mnus_90_ns|{s60} ist verzehrt von Rachsucht auf dich.
str_relation_mnus_80_ns|{s60} ist verzehrt von Rachsucht auf dich.
str_relation_mnus_70_ns|{s60} ist voller Hass auf dich.
str_relation_mnus_60_ns|{s60} ist voller Hass auf dich.
str_relation_mnus_50_ns|{s60} ist dir feindlich gesinnt.
str_relation_mnus_40_ns|{s60} ist verärgert über dich.
str_relation_mnus_30_ns|{s60} ist dir missgünstig gestimmt.
str_relation_mnus_20_ns|{s60} ist dir gegenüber mürrisch.
str_relation_mnus_10_ns|{s60} ist dir gegenüber misstrauisch.
str_relation_plus_0_ns|{s60} ist dir gegenüber gleichgültig.
str_relation_plus_10_ns|{s60} ist dir gegenüber kooperativ.
str_relation_plus_20_ns|{s60} ist dir gegenüber einladend.
str_relation_plus_30_ns|{s60} ist dir wohlwollend gesinnt.
str_relation_plus_40_ns|{s60} ist dir befürwortend gesinnt.
str_relation_plus_50_ns|{s60} ist dir freundlich gesinnt.
str_relation_plus_60_ns|{s60} ist dir gnädig gesinnt.
str_relation_plus_70_ns|{s60} ist dir zugetan.
str_relation_plus_80_ns|{s60} ist dir gegenüber loyal.
str_relation_plus_90_ns|{s60} ist dir ergeben gesinnt.
str_relation_reg1|Beziehung: {reg1}
str_center_relation_mnus_100|Die Bevölkerung hasst dich mit Leidenschaft
str_center_relation_mnus_90|Die Bevölkerung hasst dich intensiv
str_center_relation_mnus_80|Die Bevölkerung hasst dich sehr
str_center_relation_mnus_70|Die Bevölkerung hasst dich
str_center_relation_mnus_60|Die Bevölkerung ist voller Hass gegen dich
str_center_relation_mnus_50|Die Bevölkerung ist dir äußerst feindlich gesinnt
str_center_relation_mnus_40|Die Bevölkerung ist dir sehr feindlich gesinnt
str_center_relation_mnus_30|Die Bevölkerung ist dir feindlich gesinnt
str_center_relation_mnus_20|Die Bevölkerung ist gegen dich
str_center_relation_mnus_10|Die Bevölkerung ist gegen dich eingestellt
str_center_relation_plus_0|Die Bevölkerung ist dir gegenüber gleichgültig
str_center_relation_plus_10|Die Bevölkerung akzeptiert dich
str_center_relation_plus_20|Die Bevölkerung ist dir kooperativ gesinnt
str_center_relation_plus_30|Die Bevölkerung befürwortet dich etwas
str_center_relation_plus_40|Die Bevölkerung befürwortet dich
str_center_relation_plus_50|Die Bevölkerung befürwortet dich sehr
str_center_relation_plus_60|Die Bevölkerung ist dir loyal gesinnt
str_center_relation_plus_70|Die Bevölkerung ist dir sehr loyal gesinnt
str_center_relation_plus_80|Die Bevölkerung ist dir ergeben
str_center_relation_plus_90|Die Bevölkerung ist dir äußerst ergeben
str_town_prosperity_0|Die Armut der Stadt {s60} ist unerträglich
str_town_prosperity_10|Die verkommene Stadt {s60} ist völlig verlassen.
str_town_prosperity_20|Die Stadt {s60} ist ein verkommener, desolater Ort.
str_town_prosperity_30|Die Stadt {s60} sieht arm und vernachlässigt aus.
str_town_prosperity_40|Die Stadt {s60} scheint in Geldschwierigkeiten zu stecken.
