itm_horse_meat|Carne de caballo
itm_gondorian_archer_helm|Yelmo de arquero de Gondor
itm_tower_archer_helm|Yelmo de Arquero de la Torre
itm_gondor_leader_helm|Yelmo alto de Gondor
itm_tower_guard_helm|Yelmo de la Guardia de la Torre
itm_gondor_citadel_knight_helm|Yelmo de Caballero de la Ciudadela
itm_gondor_infantry_helm|Yelmo de infantería de Gondor
itm_gondor_knight_helm|Yelmo de caballería de Gondor
itm_gondor_dolamroth_helm|Yelmo de Dol Amroth
itm_swan_knight_helm|Yelmo de Caballero Cisne
itm_gondor_lamedon_helm|Yelmo de Lamedon
itm_gondor_lamedon_leader_helm|Yelmo alto de Lamedon
itm_blackroot_archer|Gambesón con capa del Valle de la Raiz Negra
itm_blackroot_bowman|Jubón con capa del Valle de la Raiz Negra
itm_blackroot_footman|Jubón del Valle de la Raiz Negra
itm_blackroot_warrior|Gambesón del Valle de la Raiz Negra
itm_blackroot_leader|Cota de malla del Valle de la Raiz Negra
itm_blackroot_hood|Capucha negra
itm_dol_hauberk|Cota de malla de Dol Amroth
itm_dol_heavy_mail|Cota de malla pesada de Dol Amroth
itm_dol_padded_coat|Armadura acolchada de Dol Amroth
itm_dol_shirt|Camisa de Dol Amroth
itm_dol_very_heavy_mail|Cota de malla acorazada de Dol Amroth
itm_dol_greaves|Grebas de Dol Amroth
itm_dol_shoes|Botas ligeras de Dol Amroth
itm_lamedon_clansman|Armadura de los clanes de Lamedon
itm_lamedon_footman|Armadura de infante de Lamedon
itm_lamedon_knight|Armadura de caballero de Lamedon
itm_lamedon_leader_surcoat_cloak|Armadura de líder de Lamedon
itm_lamedon_warrior|Armadura de guerrero de Lamedon
itm_lamedon_veteran|Armadura de veterano de Lamedon
itm_lamedon_vet_warrior|Armadura de guerrero veterano de Lamedon
itm_lamedon_hood|Capucha
itm_pinnath_archer|Armadura de arquero de Pinnath Gelin
itm_pinnath_footman|Armadura de infnate de Pinnath Gelin
itm_pinnath_leader|Armadura de caballero de Pinnath Gelin
itm_pinnath_vet_footman|Armadura de soldado veterano de Pinnath Gelin
itm_pinnath_warrior|Armadura de guerrero de Pinnath Gelin
itm_pel_footman|Armadura de infante de Pelargir
itm_pel_jerkin|Jubón de Pelargir
itm_pel_leader|Armadura de líder de Pelargir
itm_pel_marine|Atuendo de infante de marina de Pelargir
itm_pelargir_marine_leader|Atuendo de líder de infantería de marina de Pelargir
itm_pelargir_regular|Armadura pesada de Pelargir
itm_pelargir_hood|Capucha blanca
itm_pelargir_helmet_light|Yelmo de Pelargir
itm_pelargir_helmet_heavy|Yelmo pesado de Pelargir
itm_pelargir_greaves|Grebas de Pelargir
itm_lossarnach_shirt|Camisa de Lossarnach
itm_lossarnach_axeman|Armadura de hachero de Lossarnach
itm_lossarnach_leader|Armadura de líder de Lossarnach
itm_lossarnach_vet_axeman|Armadura de hachero veterano de Lossarnach
itm_lossarnach_vet_warrior|Armadura de guerrero veterano de Lossarnach
itm_lossarnach_warrior|Armadura de guerrero de Lossarnach
itm_lossarnach_cloth_cap|Cofia de tela de Lossarnach
itm_lossarnach_leather_cap|Cofia de cuero de Lossarnach
itm_lossarnach_scale_cap|Cofia de escamas de Lossarnach
itm_lossarnach_greaves|Grebas de Lossarnach
itm_gondor_shield_a|Escudo cuadrado de Gondor
itm_gondor_shield_b|Escudo cometa de Gondor
itm_gondor_shield_c|Pavés de Gondor 
itm_gondor_shield_d|Escudo cometa de Gondor
itm_gondor_shield_e|Escudo de la Ciudadela de Gondor
itm_gon_tab_shield_a|Escudo heráldico redondo de Gondor
itm_gon_tab_shield_b|Escudo heráldico cuadrado de Gondor
itm_gon_tab_shield_c|Escudo cometa heráldico de Gondor
itm_gon_tab_shield_d|Pavés heráldico de Gondor
itm_amroth_sword_a|Espada de Dol Amroth
itm_amroth_sword_b|Espada de caballero de Dol Amroth
itm_gondor_sword|Espada de infantería de Gondor
itm_amroth_bastard|Hoja del Cisne de Dol Amroth
itm_gondor_short_sword|Eket de Linhir
itm_pelargir_eket|Eket de Pelargir
itm_pelargir_sword|Espada de Pelargir
itm_gondor_ranger_sword|Espada de Montaraz de Gondor
itm_gondor_2h_sword|Espada de guerra de Gondor
itm_gondor_citadel_sword|Espada de la Ciudadela de Gondor
itm_gondor_cav_sword|Espada de caballería de Gondor
itm_gondor_spear|Lanza de Gondor
itm_gondor_tower_spear|Lanza de la Torre de Gondor
itm_gondor_lance|Lanza de caballería de Gondor
itm_loss_axe|Hacha de combate de Gondor
itm_loss_war_axe|Hacha de guerra de Gondor
itm_lorien_sword_a|Espada Larga de Lórien
itm_lorien_sword_b|Espada corta de Lórien
itm_lorien_sword_c|Espada de guerra de Lórien
itm_lorien_archer|Armadura de arquero de Lórien
itm_lorien_armor_a|Armadura acolchada de Lórien
itm_lorien_armor_b|Armadura de malla de Lórien
itm_lorien_armor_c|Armadura de escamas de Lórien
itm_lorien_boots|Botas de Lórien
itm_lorien_shield_b|Pavés de Lórien
itm_lorien_shield_c|Escudo cometa de Lórien
itm_lorien_round_shield|Escudo redondo de Lórien
itm_lorien_helm_a|Yelmo de arquero de Lórien
itm_lorien_helm_b|Yelmo de arquero de Lórien
itm_lorien_helm_c|Yelmo de infantería de Lórien
itm_orc_coif|Capacete orco
itm_orc_greaves|Botas orcas de malla
itm_orc_ragwrap|Harapos orcos
itm_orc_furboots|Botas orcas de piel
itm_orc_tribal_a|Piel sin curtir
itm_orc_tribal_b|Piel sin curtir
itm_orc_tribal_c|Piel sin curtir
itm_evil_gauntlets_a|Guantes negros
itm_evil_gauntlets_b|Guanteletes negros
itm_isen_orc_light_a|Arnés ligero de orco de Isengard
itm_isen_orc_light_b|Arnés Ligero de orco de Isengard
itm_isen_orc_pad_a|Armadura segmentada ligera de orco de Isengard
itm_isen_orc_pad_b|Armadura segmentada media de orco de Isengard
itm_isen_orc_mail_a|Malla de orco de Isengard
itm_isen_orc_mail_b|Armadura segmentada pesada de orco de Isengard
itm_isen_uruk_light_a|Arnés ligero Uruk-hai
itm_isen_uruk_light_b|Arnés de guerrero Uruk-hai
itm_isen_uruk_light_c|Arnés de Berserker Uruk-hai
itm_isen_uruk_med_a|Armadura segmentada ligera Uruk-hai
itm_isen_uruk_med_b|Cota de malla Uruk-hai
itm_isen_uruk_heavy_a|Armadura segmentada media Uruk-hai
itm_isen_uruk_heavy_b|Cota de malla pesada Uruk-hai
itm_isen_uruk_heavy_c|Armadura segmentada completa Uruk-hai
itm_isen_uruk_heavy_d|Armadura de cuero de rastreador Uruk-hai
itm_isen_uruk_heavy_e|Armadura de cuero de rastreador Uruk-hai
itm_uruk_tracker_boots|Botas de rastreador Uruk-hai
itm_uruk_greaves|Grebas de uruk
itm_uruk_chain_greaves|Grebas de malla de uruk
itm_uruk_ragwrap|Harapos de uruk
itm_isen_orc_helm_a|Yelmo orco de Isengard
itm_isen_uruk_helm_a|Yelmo Uruk-hai
itm_isen_uruk_helm_d|Yelmo de Capitán Uruk-hai
itm_isen_uruk_helm_e|Yelmo de rastreador Uruk-hai
itm_uruk_pike_b|Pica de Mordor
itm_uruk_falchion_a|Alfanje de uruk
itm_uruk_falchion_b|Gran cimitarra orca
itm_isengard_sword|Espada de Isengard
itm_isengard_axe|Hacha de Isengard
itm_isengard_hammer|Martillo de Isengard
itm_isengard_halberd|Alabarda de Isengard
itm_isengard_mallet|Mazo de Isengard
itm_isengard_heavy_axe|Hacha pesada de Isengard
itm_isengard_heavy_sword|Espadón de Isengard
itm_isengard_spear|Lanza de Isengard
itm_isengard_pike|Pica de Isengard
itm_isen_orc_shield_a|Escudo orco de Isengard
itm_isen_orc_shield_b|Escudo orco de Isengard
itm_isen_uruk_shield_b|Escudo de uruk de Isengard
itm_wood_club|Garrote de madera
itm_twohand_wood_club|Garrote grande de madera
itm_bone_cudgel|Porra de hueso
itm_orc_pick|Pico orco
itm_orc_hammer|Martillo maligno
itm_orc_club_b|Garrote de jinete de huargo
itm_orc_club_c|Garrote orco con pinchos
itm_orc_club_d|Maza maligna
itm_orc_sledgehammer|Almádena orca
itm_orc_simple_spear|Lanza orca
itm_orc_skull_spear|Lanza de calavera orca
itm_orc_bill|Bisarma orca
itm_orc_slasher|Espada corta orca
itm_orc_falchion|Alfanje orco
itm_orc_scimitar|Cimitarra orca
itm_orc_sabre|Sable orco
itm_orc_battle_axe|Hacha de batalla orca
itm_orc_axe|Hacha de orco
itm_orc_two_handed_axe|Gran hacha orca
itm_orc_throwing_axes|Hacha arrojadiza orca
itm_orc_bow|Arco orco
itm_orc_shield_a|Escudo sencillo
itm_orc_shield_b|Escudo de piel
itm_orc_shield_c|Pavés de piel
itm_mordor_orc_shield_a|Escudo de orco de Mordor
itm_mordor_orc_shield_b|Escudo de orco de Mordor
itm_mordor_orc_shield_c|Escudo de orco de Mordor
itm_mordor_orc_shield_d|Escudo de orco de Mordor
itm_mordor_orc_shield_e|Escudo de orco de Mordor
itm_mordor_uruk_shield_a|Escudo de uruk de Mordor
itm_mordor_uruk_shield_b|Escudo de uruk de Mordor
itm_mordor_uruk_shield_c|Escudo de uruk de Mordor
itm_mordor_man_shield_a|Escudo de Hombre de Mordor
itm_mordor_man_shield_b|Escudo de Hombre de Mordor
itm_angmar_shield|Escudo de Angmar
itm_orc_nosehelm|Yelmo orco con nasal
itm_orc_kettlehelm|Capelina orca
itm_orc_buckethelm|Yelmo de cubo orco
itm_orc_morion|Morrión orco
itm_orc_beakhelm|Yelmo orco con pico
itm_orc_bughelm|Yelmo de sabandija orco
itm_orc_visorhelm|Yelmo orco con visor
itm_m_orc_light_a|Armadura ligera de orco de Mordor
itm_m_orc_light_b|Armadura ligera de orco de Mordor
itm_m_orc_light_c|Armadura ligera de orco de Mordor
itm_m_orc_light_d|Armadura ligera de orco de Mordor
itm_m_orc_light_e|Armadura ligera de orco de Mordor
itm_m_orc_heavy_a|Armadura pesada de orco de Mordor
itm_m_orc_heavy_b|Armadura pesada de orco de Mordor
itm_m_orc_heavy_c|Armadura pesada de orco de Mordor
itm_m_orc_heavy_d|Armadura pesada de orco de Mordor
itm_m_orc_heavy_e|Armadura pesada de orco de Mordor
itm_m_uruk_light_a|Arnés de uruk
itm_m_uruk_light_b|Armadura de cuero uruk
itm_m_uruk_light_c|Cota de malla ligera uruk
itm_m_uruk_med_a|Armadura pesada de cuero uruk
itm_m_uruk_med_b|Cota de malla pesada uruk
itm_m_uruk_med_c|Armadura de escamas ligera uruk
itm_m_uruk_heavy_a|Armadura de escamas pesada uruk
itm_m_uruk_heavy_b|Cota de malla y placas uruk
itm_m_uruk_heavy_c|Cota de malla y placas de Lugburz
itm_m_cap_armor|Armadura de Capitán de Mordor
itm_black_num_armor|Armadura de Numenóreano Negro
itm_m_armor_a|Armadura de Mordor
itm_m_armor_b|Armadura de Mordor
itm_evil_light_armor|Atuendo siniestro
itm_uruk_helm_a|Yelmo uruk
itm_uruk_helm_b|Yelmo uruk
itm_uruk_helm_c|Yelmo uruk con pico
itm_uruk_helm_d|Yelmo uruk de reja
itm_uruk_helm_e|Yelmo uruk con máscara
itm_uruk_helm_f|Yelmo uruk
itm_mordor_cap_helm|Yelmo de Capitán de Mordor
itm_mordor_helm|Yelmo de Mordor
itm_black_num_helm|Yelmo de Numenóreano Negro
itm_mordor_sword|Espada bastarda de Mordor
itm_mordor_longsword|Espada de Mordor
itm_moria_armor_a|Arnés pectoral de Moria
itm_moria_armor_b|Peto y hombreras de Moria
itm_moria_armor_c|Malla orca de Moria
itm_moria_armor_d|Cuero remendado de Moria
itm_moria_armor_e|Malla pesada de orco de Moria
itm_moria_orc_shield_a|Gran escudo de Moria
itm_moria_orc_shield_b|Escudo orco de Moria
itm_moria_orc_shield_c|Escudo orco de Moria
itm_gundabad_armor_a|Harapos de orco de Gundabad
itm_gundabad_armor_b|Pieles de orco de Gundabad
itm_gundabad_armor_c|Armadura de orco de Gundabad
itm_gundabad_armor_d|Armadura de orco de Gundabad
itm_gundabad_armor_e|Armadura pesada de orco de Gundabad
itm_gundabad_helm_a|Gorro de cuero
itm_gundabad_helm_b|Casco de cuero
itm_gundabad_helm_c|Yelmo de Gundabad
itm_gundabad_helm_d|Yelmo de Gundabad
itm_gundabad_helm_e|Yelmo de jinete de huargo
itm_dunland_wolfboots|Botas de lobo dunlendinas
itm_dunland_tunic_1|Túnica de cuero dunledina
itm_dunland_tunic_2|Túnica de cuero dunledina
itm_dunland_fur_1|Pieles dunledinas
itm_dunland_fur_2|Pieles dunledinas
itm_dunland_mail_1|Cota de malla dunlendina
itm_dunland_mail_2|Cota de malla dunlendina
itm_dunland_chieftain|Armadura de caudillo dunlendino
itm_dun_helm_a|Gorro de lobo dunlendino
itm_dun_helm_b|Gorro de pieles dunlendino
itm_dun_helm_c|Yelmo alto dunlendino
itm_dun_helm_d|Yelmo alto dunlendino
itm_dun_helm_e|Yelmo astado dunlendino
itm_dun_shield_a|Escudo redondo dunlendino
itm_dun_shield_b|Escudo oval dunlendino
itm_dun_berserker|Espada de caudillo dunlendino
itm_dunnish_antler_axe|Hacha de cuerno dunlendina
itm_dunnish_war_axe|Hacha de guerra dunlendina
itm_dunnish_axe|Hacha dunlendina
itm_dunland_spear|Lanza dunlendina
itm_dunnish_pike|Pica dunlendina
itm_rohan_cav_sword|Espada de montar de Rohan
itm_rohan_inf_sword|Espada de Rohan
itm_rohan_spear|Lanza de Rohan
itm_rohan_lance|Lanza de caballería de Rohan
itm_rohan_sword_c|Espada de Rohan
itm_rohirrim_short_axe|Hacha corta Rohirrim
itm_rohirrim_long_hafted_axe|Hacha de mango largo Rohirrim
itm_rohan_2h_sword|Espada de guerra de Rohan
itm_rohan_recruit|Jubón acolchado de Rohan
itm_rohan_leather|Justillo de cuero de Rohan
itm_rohan_mail|Cota de malla de Rohan
itm_rohan_rider|Armadura de Jinete de Rohan
itm_rohan_scale|Armadura de escamas de Rohan
itm_rohan_surcoat|Sobrevesta de Rohan
itm_rohan_guard|Armadura de guardia de Rohan
itm_rohan_light_helmet_a|Yelmo ligero de Rohan
itm_rohan_light_helmet_b|Yelmo ligero de Rohan
itm_rohan_inf_helmet_a|Yelmo de anteojos de Rohan
itm_rohan_inf_helmet_b|Yelmo de anteojos de Rohan
itm_rohan_archer_helmet_a|Yelmo con nasal de Rohan
itm_rohan_archer_helmet_b|Yelmo con nasal de Rohan
itm_rohan_archer_helmet_c|Yelmo de guardia de Rohan
itm_rohan_shield_a|Escudo de Rohan
itm_rohan_shield_b|Escudo de Rohan
itm_rohan_shield_c|Escudo de Rohan
itm_rohan_shield_d|Escudo de Rohan
itm_rohan_shield_e|Escudo de Rohan
itm_rohan_shield_f|Escudo de Rohan
itm_rohan_shield_g|Escudo real de Rohan
itm_rohan_light_greaves|Grebas ligeras de Rohan
itm_rohirrim_war_greaves|Grebas de guerra de Rohan
itm_mirkwood_leather|Armadura de cuero de los Elfos del Bosque
itm_mirkwood_pad|Cota acolchada del Bosque Verde
itm_mirkwood_mail|Malla del Bosque Verde
itm_mirkwood_scale|Armadura ligera de escamas del Bosque Verde
itm_mirkwood_heavy_scale|Armadura hojaescama del Bosque Verde
itm_mirkwood_sword|Espada de los Elfos del Bosque
itm_mirkwood_great_spear|Gran lanza del Bosque Verde
itm_mirkwood_war_spear|Lanza de guerra del Bosque Verde
itm_mirkwood_short_spear|Lanza de los Elfos del Bosque
itm_mirkwood_knife|Cuchillo de los Elfos del Bosque
itm_mirkwood_axe|Hacha de los Elfos del Bosque
itm_mirkwood_spear_shield_a|Escudo de los Elfos del Bosque
itm_mirkwood_spear_shield_b|Escudo de guerra del Bosque Verde
itm_mirkwood_spear_shield_c|Escudo redondo de los Elfos del Bosque
itm_mirkwood_helm_a|Yelmo de arquero de los Elfos del Bosque
itm_mirkwood_helm_b|Yelmo del Bosque Verde
itm_mirkwood_helm_c|Yelmo pesado del Bosque Verde
itm_mirkwood_helm_d|Yelmo real del Bosque Verde
itm_woodelf_leather_boots|Botas de cuero de los Elfos del Bosque
itm_mirkwood_boots|Botas del Bosque Verde
itm_harad_tunic|Túnica de Harad
itm_harad_padded|Jubón acolchado de Harad
itm_harad_lamellar|Justillo de escamas de Harad
itm_harad_heavy_lamellar|Justillo de escamas pesado de Harad
itm_harad_heavy|Armadura Harasjala
itm_harad_pectoral|Peto de Harad
itm_black_snake_armor|Armadura Maranka
itm_harad_champion|Ropajes del Lejano Harad
itm_harad_scale|Armadura de Escamas de Harad
itm_harad_lion_scale|Armadura de Guardia León
itm_harad_dragon_helm|Yelmo Kiloka
itm_harad_cav_helm_a|Yelmo ligero de Harondor
itm_harad_cav_helm_b|Yelmo ligero de Harondor
itm_black_snake_helm|Yelmo Maranka
itm_harad_finhelm|Yelmo de infante pesado de Harad
itm_harad_heavy_inf_helm|Yelmo de infante de Harad
itm_harad_wavy_helm|Yelmo cónico de Harad
itm_harad_eaglehelm|Yelmo de Guardia Águila
itm_lion_helm|Yelmo de Guardia León
itm_harad_pantherhelm|Gorro de Guardia Pantera
itm_harad_khopesh|Khopesh de Harad
itm_black_snake_sword|Espada cobra de Harad
itm_harad_heavy_sword|Espada dragón de Harad
itm_horandor_a|Cimitarra de Harad
itm_skirmisher_sword|Espada de escaramuzador de Harad
itm_harad_sabre|Espada salamandra de Harad
itm_harad_mace|Maza del Lejano Harad
itm_far_harad_2h_mace|Maza de dos manos del Lejano Harad
itm_harad_dagger|Cuchillo de Harad
itm_harad_short_spear|Lanza corta de Harad
itm_harad_long_spear|Lanza de Harad
itm_eagle_guard_spear|Alabarda Harasjala
itm_harad_long_shield_a|Escudo de leopardo de Harad
itm_harad_long_shield_b|Escudo de bronce de Harad
itm_harad_long_shield_c|Escudo del sol de Harad
itm_harad_long_shield_d|Escudo serpiente de Harad
itm_harad_long_shield_e|Escudo serpiente de Harad
itm_harad_shield_a|Escudo de Harondor
itm_harad_shield_b|Rodela de Harondor
itm_harad_shield_c|Rodela de Harondor
itm_harad_yellow_shield|Escudo de Harad
itm_desert_boots|Botas del desierto
itm_harad_leather_greaves|Grebas de cuero de Harad
itm_harad_scale_greaves|Grebas de Harad
itm_harad_lamellar_greaves|Grebas de láminas de Harad
itm_khand_inf_helm_a|Yelmo de Khand
itm_khand_inf_helm_b|Yelmo de Khand
itm_khand_inf_helm_c1|Yelmo de tazón de Khand
itm_khand_inf_helm_c2|Yelmo de tazón de Khand
itm_khand_inf_helm_d|Yelmo cónico de Khand
itm_khand_cav_helm_a|Yelmo de jinete de Khand
itm_khand_cav_helm_b|Yelmo de jinete de Khand
itm_khand_cav_helm_c|Yelmo decorado de Khand
itm_khand_helm_mask|Máscara de Khand
itm_khand_light|Kilt de Khand
itm_khand_light_lam|Armadura ligera de infante de Khand
itm_khand_foot_lam|Armadura pesada de infante de Khand
itm_khand_med_lam|Armadura de láminas de Khand
itm_khand_heavy_lam|Armadura Pesada de Láminas de Khand
itm_khand_mail|Cota de malla de Khand
itm_khand_noble_lam|Armadura de noble de Khand
itm_khand_axe_great|Gran hacha de Khand
itm_khand_axe_winged|Hacha de aletas de Khand
itm_khand_halberd|Alabarda de Khand
itm_khand_trident|Tridente de Khand
itm_khand_voulge|Guja de Khand
itm_khand_mace1|Maza de Khand
itm_khand_mace2|Maza de Khand
itm_khand_throwing_axe|Hacha arrojadiza de Khand
itm_khand_rammace|Maza de ariete de Khand
itm_khand_pitsword|Espada de reñidor
itm_khand_tulwar|Tulwar de Khand
itm_khand_2h_tulwar|Gran tulwar de Khand
itm_khand_lance|Lanza de caballería de Khand
itm_easterling_round_horseman|Escudo redondo de Rhûn
itm_variag_gladiator_shield|Escudo de gladiador del Este
itm_easterling_hawk_shield|Escudo halcón de Rhûn
itm_rhun_bull1_shield|Escudo de Rhûn
itm_rhun_bull2_shield|Escudo de Rhûn
itm_rhun_bull3_shield|Escudo de Rhûn
