
str_yes|Sí.
str_tutorial_1_msg_3|Excelente. La próxima parte del tutorial te enseñará a atacar con armas de cuerpo a cuerpo. Para atacar con el arma que tengas en la mano usa el botón izquierdo del ratón. Mantén el botón pulsado para preparar un ataque, y suéltalo para golpear. Si mantienes pulsado el botón durante un tiempo antes de soltarlo, tu ataque será más poderoso. Ahora saca tu espada y destruye los cuatro maniquíes que hay en la habitación.
str_tutorial_1_msg_4|¡Buen trabajo! Has destruido los cuatro maniquíes. Ahora puedes pasar a la siguiente habitación.
str_tutorial_1_msg_5|Como puedes ver, hay una diana al otro lado de la habitación. Tu próxima tarea es usar tu arco para clavar tres flechas en la diana. Mantén apretado el botón izquierdo del ratón para cargar la flecha y apuntar. Puedes disparar la flecha soltando el botón izquierdo del ratón. Fíjate en el punto de mira en el centro de tu pantalla, que muestra la precisión de tu disparo. Para conseguir la mayor precisión posible, suelta la flecha cuando el punto de mira es más pequeño. Ahora intenta disparar a la diana.
str_tutorial_1_msg_6|¡Bien hecho! Has aprendido los conceptos básicos de movimiento y ataque. Con un poco de práctica pronto los dominarás. En el segundo tutorial puedes aprender habilidades de combate más avanzadas y enfrentarte a oponentes armados. Puedes pulsar la tecla Tab en cualquier momento para volver al menú del tutorial.
str_tutorial_2_msg_1|Este tutorial te enseñará cómo defenderte con un escudo y cómo enfrentarte a oponentes armados. Por el momento solo cuentas con un escudo. Tu objetivo no es atacar, sino portegerte con éxito del daño usando tu escudo. Hay un oponente armado esperándote en la siguiente habitación. Hará todo lo posible para dejarte inconsciente, mientras tú debes protegerte con tu escudo manteniendo pulsado el botón derecho del ratón. Ahora pasa a la siguiente habitación para enfrentarte a tu oponente. Recuerda que puedes pulsar la tecla Tab en cualquier momento para salir de este tutorial y de cualquier área del juego.
str_tutorial_2_msg_2|Mantén pulsado el botón derecho del ratón para levantar tu escudo. Procura mantenerte en pie durante treinta segundos. {reg3} segundos restantes.
str_tutorial_2_msg_3|Bien hecho, te has defendido con éxito contra un oponente armado. La siguiente fase de este tutorial os enfrentará a ti y a tu escudo contra una fuerza de arqueros enemigos. Pasa a la siguiente habitación cuando quieras enfrentarte a los arqueros.
str_tutorial_2_msg_4|Defíendete de las flechas levantando tu escudo con el botón derecho del ratón. Procura mantenerte en pie durante treinta segundos. {reg3} segundos restantes.
str_tutorial_2_msg_5|Excelente, te has defendido con éxito de los arqueros. Hay una recompensa esperándote en la siguiente habitación.
str_tutorial_2_msg_6|En la configuración por defecto, la tecla F del teclado se usa para interacciones no violentas con objetos y personas en el mundo del juego. Para recoger la espada del altar, mira en su dirección y pulsa F cuando veas la palabra 'Equipar'.
str_tutorial_2_msg_7|¡Una buena arma! Ahora puedes usarla para vengarte. Vuelve a la habitación anterior usando la puerta y líbrate de los arqueros a los que te enfrentaste antes.
str_tutorial_2_msg_8|Muy bien. Tu último objetivo antes de finalizar este tutorial es enfrentarte al escudero. ¡Atraviesa la puerta y enséñale el valor de tu acero!
str_tutorial_2_msg_9|¡Enhorabuena! Has aprendido a defenderte con un escudo y hasta has probado por primera vez el combate contra oponentes armados. Practica un poco más y pronto serás un espadachín de renombre. El próximo tutorial  te enseñará a usar la defensa direccional, que es uno de los elementos más importantes del combate en Mount&Blade. Puedes pulsar la tecla Tab en cualquier momento para volver al menú del tutorial.
str_tutorial_3_msg_1|Este tutorial tiene el objetivo de presentarte una visión general de cómo parar ataques y defenderte sin un escudo. Parar ataques con un arma es un poco más difícil que bloquearlos con un escudo. Cuando te defiendes con un arma, solo estás protegido en una dirección, la dirección en la que tu arma está colocada. Si bloqueas hacia arriba, pararás cualquer ataque que venga por encima de tu cabeza, pero no podrás parar estocadas ni ataques que vengan por los lados. Cualquiera de estos ataques podrá alcanzarte. Por eso, para sobrevivir sin un escudo, debes aprender a usar la defensa direccional. Ve a coger el hacha para empezar a practicar.
str_tutorial_3_msg_2|Por defecto, la dirección en la que te defiendes (manteniendo pulsado el botón derecho del ratón) es determinda por la dirección de ataque de tu oponente más cercano. Por ejemplo, si tu oponente está preparando un ataque de estocada, mantener pulsado el botón derecho del ratón, parará una estocada, pero no un ataque lateral o superior. Debes observar cuidadosamente a tu oponente y solo iniciar tu parada DESPUÉS de que el enemigo empiece su ataque. ¡Si empiezas a parar ANTES de que haya preparado su ataque, puede que hagas la parada en la dirección equivocada! Ahora es el momento de que pases a la siguiente habitación, donde tendrás que defenderte de un oponente armado. Tu objetivo es defenderte sin más equipamiento que una simple hacha. Los ataques de tu hacha están desactivados para este tutorial, así que no te preocupes por atacar y céntrate en la defensa. Pasa a la siguiente habitación cuando quieras comenzar el combate.
str_tutorial_3_msg_3|Mantén pulsado el botón derecho del ratón para defenderte con tu hacha después de que tu oponente haya empezado su ataque. Procura mantenerte en pie durante treinta segundos. {reg3} segundos restantes.
str_tutorial_3_msg_4|¡Bien hecho, has superado la prueba! Ahora te enfrentarás a un oponente más desafiante, que te pondrá las cosas más difíciles. Pasa a la siguiente habitación cuando quieras enfrentarte a él.
str_tutorial_3_msg_5|Mantén pulsado el botón derecho del ratón para defenderte con tu hacha después de que tu oponente haya empezado su ataque. Procura mantenerte en pie durante treinta segundos. {reg3} segundos retsantes.
str_tutorial_3_msg_6|Enhorabuena, sigues en pie a pesar de los esfuerzos del enemigo. Ahora ha llegado el momento de atacar además de defender. Acércate a la puerta y pulsa la tecla F cuando veas la palabra 'Ir'.
str_tutorial_3_2_msg_1|Los ataques de tu hacha han sido habilitados de nuevo. Tu primer oponente te espera en la siguiente habitación. Derrótalo con una combinación de ataque y defensa.
str_tutorial_3_2_msg_2|Derrota a tu oponente con tu hacha.
str_tutorial_3_2_msg_3|Excelente. Ahora lo único que se interpone en tu camino es un último oponente. Está en la siguiente habitación. Pasa y derríbalo.
str_tutorial_3_2_msg_4|Derrota a tu oponente con tu hacha.
str_tutorial_3_2_msg_5|¡Bien hecho! En este tutorial has aprendido a luchar hábilmente sin un escudo. Entrena duro, entrena bien y nadie será capaz de tocarte un pelo. En el siguiente tutorial, podrás aprender a montar y combatir a caballo. Puedes pulsar la tecla Tab en cualquier momento para volver al menú del tutorial.
str_tutorial_4_msg_1|Te damos la bienvenida al cuarto tutorial. En esta secuencia aprenderás a montar un caballo o huargo y a llevar a cabo varios ejercicios marciales desde tu montura. Empezaremos por darte una montura. Acércate al animal y pulsa la tecla 'F' cuando veas la palabra 'Montar'.
str_tutorial_4_msg_2|Cuando montas a caballo, las teclas WASD del teclado controlan los movimientos de la montura, no los tuyos. Cabalga tratando de seguir la bandera a lo largo del circuito. Cuando llegues a la bandera, ésta se moverá hasta el siguiente punto del circuito hasta qe llegues a la meta.
str_tutorial_4_msg_3|Muy bien. A continuación aprenderás a atacar a enemigos desde el caballo. Acércate a la bandera.
str_tutorial_4_msg_4|Desenvaina tu espada (usando la rueda del ratón) y destruye los cautro objetivos. Intenta golpear a los maniquíes mientras pasas a su lado a todo galope; esto resulta más difícil, pero la velocidad adicional permitirá que tu golpe haga más daño. La forma más fácil de hacerlo es mantener pulsado el botón izquierdo del ratón hasta el momento adecuado, soltándolo justo antes de pasar junto al objetivo.
str_tutorial_4_msg_5|Excelente trabajo. Ahora probaremos algo de tiro al blanco desde el caballo. Ve junto a la bandera.
str_tutorial_4_msg_6|Locatliza la diana junto al circuito y aciérta en ella tres veces con tu arco. Aunque no es obligatorio que estés cabalgando mientras disparas, es recomendable que intentes acertar en la diana a varias velocidades y desde distintos ángulos, para hacerte una idea de cómo la velocidad y trayectoria de tu montura afectan a tu puntería.
str_tutorial_4_msg_7|Enhorabuena, has finalizado este tutorial. Puedes pulsar la tecla Tab en cualquier momento para volver al menú del tutorial.
str_tutorial_5_msg_1|Te damos la bienvenida al quinto y último tutorial, que te dará una visión general de cómo dirigir tropas en combate, uno de los aspectos más importantes de Mount & Blade.^^El primer menú de órdenes que tendrás que aprender a usar es el de órdenes de movimiento, que puedes encontrar pulsando la tecla F1. Púlsala ahora y explora las muchas opciones de movimiento que puedes dar a tus tropas en la batalla.^^Para este primer paso, ordena a tus tropas que te sigan y sube a lo alto de la colina hasta donde están la bandera y el marcador.
str_tutorial_5_msg_2|Excelente. Tus tropas te han seguido colina arriba. Ahora tienes una buena vista del campo de batalla.^^Esta vez, manda a tus tropas que mantengan ocupada la colina pulsando otra vez F1 para abrir el menú de órdenes y seleccionando Mantened la Posición (F1).^^Una vez hayas hecho esto, verás que tus tropas han dejado de seguirte y mantienen la posición que les has indicado.^^Éste es un buen momento para aprender a usar el segundo menú de órdenes, que se refiere a las formaciones básicas.^^Este menú te permite ordenar a tus tropas que cierren sus filas para resistir cargas de infantería, o que se separen para resistir los disparos de los arqueros.^^Ordenar a tus tropas que se muevan diez pasos adelante o atrás usando este menú, permite a tus tropas moverse manteniendo la formación.^^Cuando hayas explorado las diferentes opciones, deja a tus tropas manteniendo su posición en la colina y dirígete en solitario a la colina de enfrente, donde están la bandera y el marcador.
str_tutorial_5_msg_3|Genial. Como puedes ver, tu infantería se mantiene donde les has ordenado. Ahora, dirígete en solitario hacia el molino.
str_tutorial_5_msg_4|Ahora tienes arqueros que se han unido a tus tropas. En Mount & Blade, puedes dar órdenes independientes a distintas divisiones de tropas, como infantería, arqueros y caballería.^^Pulsar las teclas de los números te permitirá elegir la división que quieras (1 para infantería, 2 para arqueros, 3 para caballería). Entonces poidrás usar los menús de órdenes que aparecerán en pantalla para dar órdenes a esa división en concreto.^^Ten en cuenta que la elección de división es persistente, y pulsar cualquiera de los menús de órdenes (F1, F2, F3) dará órdenes solo a la división seleccionada. Lee los mensajes que aparecen en pantalla para saber qué devisión está recibiendo las órdenes.^^Ahora, ordena a tu infantería que te siga, y a continuación ordena a tus arqueros que te sigan también. Una vez que estén todos juntos, vuelve a la colina de la que viniste.^^Una vez allí, busca el marcador y ordena a tu infantería que vaya allí y mantenga esa posición, pulsando 1 y a continuación manteniendo pulsado F1 para revelar un estandarte que puedes mover con el ratón. Puedes usarlo para mover a tus tropas a un punto preciso de tu elección.^^Ordena a tus arqueros que se sitúen junto a la bandera detrás del marcador, en terreno más alto.
str_tutorial_5_msg_5|Tus tropas están en posición, los enemigos han reunido sus fuerzas y están cargando ocntra ti. Usa lo que has aprendido para hacer que tu infantería avance en formación, o puedes ordenarles que carguen. Cargar rompe cualquier formación, y manda a tus tropas contra los enemigos más cercanos.^^Mientras tnato, puedes mantener a tus arqueros en el terreno elevado para tener una posición ventajosa, o puedes ordenarles que se muevan a otra posición.^^También puedes pulsar F3 para revelar el tercer menú de órdenes y explorar las diferentes órdenes de armas que puedes dar a tus tropas.
str_tutorial_5_msg_6|¡Excelente! Has completado tu primera batalla campal en Mount & Blade. El manejo inteligente de tus tropas en combate es primordial para tu éxito como comandante en batalla. Asegúrate de aprender las diferentes formas de mover a tus tropas a posiciones ventajosas.^^En The Last Days of the Third Age, contarás con formaciones complejas para maniobras más avanzadas, tales como Muro de Escudos de Infantería y Cuña de Caballería. Puedes aprender más sobre ellas en el juego.^^Puedes pulsar Tab en cualquier momento para salir del tutorial.
str_trainer_help_1|Éste es un campo de entrenamiento en el que puedes aprender los conceptos básicos del juego. Usa las teclas A, S, D, W  para moverte y el ratón para mirar a tu alrededor.
str_trainer_help_2|Para hablar con el entrenador, acércate a él, mírale y pulsa la tecla 'F' cuando veas la palabra 'Hablar' bajo su nombre. Cuando quieras abandonar esta o cualquier otra área, o retirarte de una batalla, puedes pulsar la tecla Tab.
str_custom_battle_1|Angbor el Intrépido y su compañía de Gondor han interceptado un grupo de refuerzos de Harad. Entonando su grito de guerra, espolea a su caballo y conduce a sus leales hombres a una batalla encarnizada.
str_custom_battle_2|Celeborn de Lórien dirige una patrulla de jinetes y arqueros cuando uno de los batidores de vanguardia viene a advertir de una fuerza de hombres malvados de rostro ceniciento que se acerca. ¡Son los temidos Númenóreanos Negros! No se los había visto cerca de Lothlórien en mucho tiempo, pero ahora deben ser enviados de vuelta a la oscuridad.
str_custom_battle_3|El señor Grimbold de Rohan lidera la última defensa de los muros contra el ejército de Isengard. Y ahora, mientras el enemigo se prepara para su asalto final a los muros, debe defender la fortaleza con coraje y brillante acero.
str_custom_battle_4|Cuando los exploradores informan al señor Beranhelm de que una banda de guerreros de Rhûn se está acercando, decide preparar rápidamente las defensas en su campamento e intentar resistir contra un enemigo más numeroso. 
str_custom_battle_5|Ugluk ha traido a sus fieros orcos al oeste con promesas de saqueo. Si consigue hacerse con esta fortaleza enana hoy, sus amos en Barad-Dûr estarán contentos.
str_custom_battle_6|Ugluk y su pelotón de orcos hacían todo lo posible para escapar de las patrullas élficas. Pero la suerte no dura eternamente y por lo que parece ahora es el turno de los sucios Pálidos para vengarse.
str_custom_battle_7|¡Los corsarios han montado un campamento en las costas de Gondor! ¡Cómo se atreven! Ataquemos antes de que reciban refuerzos y devolvámoslos al mar de donde vinieron.
str_finished|(Terminado)
str_delivered_damage|Haces {reg60} puntos de daño.
str_archery_target_hit|Distancia: {reg61} yardas. Puntuación: {reg60}
str_use_baggage_for_inventory|Usa tu equipaje para acceder a tu inventario durante la batalla (está en tu posición inicial).
str_cant_use_inventory_now|No se puede acceder al inventario ahora.
str_cant_use_inventory_arena|No se puede acceder al inventario en la arena.
str_cant_use_inventory_disguised|No se puede acceder al inventario mientrás estás disfrazado.
str_cant_use_inventory_tutorial|No se puede acceder al inventario en el campo de entrenamiento.
str_1_denar|1 Punto de recursos.        
str_reg1_denars|{reg1} Puntos de recursos.           
str_january_reg1_reg2|{reg2} T.E., {reg1} de Narvinyë (Ene)
str_february_reg1_reg2|{reg2} T.E., {reg1} de Nénimë (Feb)
str_march_reg1_reg2|{reg2} T.E., {reg1} de Súlìmë (Mar)
str_april_reg1_reg2|{reg2} T.E., {reg1} de Víressë (Abr)
str_may_reg1_reg2|{reg2} T.E., {reg1} de Lótessë (May)
str_june_reg1_reg2|{reg2} T.E., {reg1} de Náríë (Jun)
str_july_reg1_reg2|{reg2} T.E., {reg1} de Cermië (Jul)
str_august_reg1_reg2|{reg2} T.E., {reg1} de Urimë (Ago)
str_september_reg1_reg2|{reg2} T.E., {reg1} de Yavannië (Sep)
str_october_reg1_reg2|{reg2} T.E., {reg1} de Narquelië (Oct)
str_november_reg1_reg2|{reg2} T.E., {reg1} de Hísimë (Nov)
str_december_reg1_reg2|{reg2} T.E., {reg1} de Ringarë (Dic)
str_calendar_spec_day_1|{reg2} T.E., Yestarë (Primer Día)
str_calendar_spec_day_2|{reg2} T.E., Tuilérë (Día de Primavera)
str_calendar_spec_day_3|{reg2} T.E., Loëndë (Día de Año Medio)
str_calendar_spec_day_4|{reg2} T.E., Yáviérë (Día de la Cosecha)
str_calendar_spec_day_5|{reg2} T.E., Mettarë (Último Día)
str_town_nighttime|Es noche cerrada.
str_door_locked|La puerta está cerrada.
str_castle_is_abondened|El castillo parece abandonado.
str_town_is_abondened|La ciudad no tiene a nadie defendiéndola.
str_place_is_occupied_by_player|Este lugar está ocupado por nuestras tropas.
str_place_is_occupied_by_enemy|Este lugar está ocupado por tropas hostiles.
str_place_is_occupied_by_friendly|Este lugar está ocupado por tropas aliadas.
str_do_you_want_to_retreat|¿Seguro que quieres retirarte?
str_give_up_fight|¿Rendirse?
str_do_you_wish_to_leave_tutorial|¿Deseas salir del tutorial?
str_do_you_wish_to_surrender|¿Deseas rendirte?
str_can_not_retreat|Imposible retirarse, ¡hay enemigos cerca!
str_s1_joined_battle_enemy|{s1} se ha unido a la batalla del lado enemigo.
str_s1_joined_battle_friend|{s1} se ha unido a la batalla de tu lado.
str_entrance_to_town_forbidden|Los guardias de la ciudad están buscando intrusos y parece que no podrás pasar las puertas sin que te vean.
str_sneaking_to_town_impossible|Los guardias de la ciudad han sido alertados. No podrás pasar inadvertido por la puerta sin importar el disfraz que lleves puesto.
str_battle_won|¡Has ganado la batalla!
str_battle_lost|¡Has perdido la batalla!
str_player_down|¡Te han derribado, pero tus tropas seguirán luchando!
str_attack_walls_success|Después de una sangrienta batalla, tus valientes soldados consiguen arrebatar el control de las murallas al enemigo.
str_attack_walls_failure|Tus soldados caen como moscas asaltando las murallas, y los pocos que quedan vivos pronto huyen en desbandada. Nunca los volverás a ver.
str_attack_walls_continue|Una sangrienta batalla tiene lugar y ambos bandos luchan con igual valor. A pesar de los esfuerzos de tus tropas, el castillo permanece en manos enemigas.
str_order_attack_success|Tus hombres luchan con valentía y derrotan al enemigo. 
str_order_attack_failure|Observas la batalla con desesperación, mientras el enemigo destroza a tus soldados y hace huir con facilidad a los pocos supervivientes.
str_order_attack_continue|A pesar de la larga escaramuza, tus tropas han sido incapaces de conseguir una victoria decisiva.
str_join_order_attack_success|Tus hombres luchan codo con codo con tus aliados, compartiendo la gloria según van derrotando a los enemigos.
str_join_order_attack_failure|Observas la batalla con desesperación, mientras el enemigo destroza a tus soldados y hace huir con facilidad a los pocos supervivientes.
str_join_order_attack_continue|A pesar de la larga escaramuza, ni tus tropas ni las de tus aliados han sido capaces de conseguir una victoria decisiva.
str_siege_defender_order_attack_success|Los hombres de la guarnición defienden sus murallas con destreza y coraje, haciendo fracasar el asalto enemigo y convirtiendo la derrota en una desbandada del enemigo.
str_siege_defender_order_attack_failure|El asalto pronto se torna en matanza. Los valientes esfuerzos de los defensores resultan ser vanos; la guarnición desbordada no puede defender los muros y el enemigo pasa hasta al último defensor por la espada.
str_siege_defender_order_attack_continue|Los sucesivos y sangrientos asaltos contra las murallas no logran ganar terreno, pero quedan demasiados enemigos como para que los defensores puedan cantar victoria. El asedio continúa.       
str_hero_taken_prisoner|{s1} de {s3} ha sido tomado prisionero por {s2}.
str_hero_freed|{s1} de {s3} ha sido liberado por {s2}.    
str_center_captured|¡{s2} ha tomado {s1} de {s3}!
str_troop_relation_increased|Tu relación con {s1} ha aumentado de {reg1} a {reg2}.
str_troop_relation_detoriated|Tu relación con {s1} ha empeorado de {reg1} a {reg2}.  
str_faction_relation_increased|Tu relación con {s1} ha aumentado de {reg1} a {reg2}.
str_faction_relation_detoriated|Tu relación con {s1} ha empeorado de {reg1} a {reg2}.
str_party_gained_morale|Tu grupo gana {reg1} puntos de moral.        
str_party_lost_morale|Tu grupo pierde {reg1} puntos de moral.             
str_qst_follow_spy_noticed_you|¡El espía te ha visto! ¡Se escapa!     
str_father|padre
str_husband|marido
str_wife|esposa
str_daughter|hija
str_mother|madre
str_son|hijo
str_brother|hermano
str_sister|hermana
str_he|Él
str_she|Ella
str_s3s_s2|{s2} de {s3}
str_s5_is_s51|{s5} es {s51}.       
str_s5_is_the_ruler_of_s51|{s5} es el gobernante de {s51}. 
str_s5_is_a_nobleman_of_s6|{s5} es un noble de {s6}. 
str_relation_mnus_100|Vengativo
str_relation_mnus_90|Vengativo
str_relation_mnus_80|Vengativo
str_relation_mnus_70|Lleno de odio
str_relation_mnus_60|Lleno de odio
str_relation_mnus_50|Hostil
str_relation_mnus_40|Enfadado           
str_relation_mnus_30|Resentido
str_relation_mnus_20|Gruñón
str_relation_mnus_10|Suspicaz
str_relation_plus_0|Indiferente
str_relation_plus_10|Cooperativo
str_relation_plus_20|Acogedor
str_relation_plus_30|Favorable
str_relation_plus_40|Comprensivo
str_relation_plus_50|Amistoso
str_relation_plus_60|Benévolo
str_relation_plus_70|Afectuoso
str_relation_plus_80|Leal
str_relation_plus_90|Devoto
str_relation_mnus_100_ns|{s60} es vengativo contra ti.          
str_relation_mnus_90_ns|{s60} es vengativo contra ti.
str_relation_mnus_80_ns|{s60} es vengativo contra ti.
str_relation_mnus_70_ns|{s60} te odia.
str_relation_mnus_60_ns|{s60} te odia.
str_relation_mnus_50_ns|{s60} es hostil hacia ti.
str_relation_mnus_40_ns|{s60} está enfadado contigo.
str_relation_mnus_30_ns|{s60} te guarda rencor.
str_relation_mnus_20_ns|{s60} está gruñón contigo.
str_relation_mnus_10_ns|{s60} no confía en ti.
str_relation_plus_0_ns|{s60} es indiferente hacia ti.
str_relation_plus_10_ns|{s60} es cooperativo contigo.
str_relation_plus_20_ns|{s60} es acogedor contigo.      
str_relation_plus_30_ns|{s60} es favorable hacia ti.
str_relation_plus_40_ns|{s60} es comprensivo contigo.
str_relation_plus_50_ns|{s60} te es amistoso.
str_relation_plus_60_ns|{s60} es benévolo hacia ti.
str_relation_plus_70_ns|{s60} te tiene un gran aprecio.
str_relation_plus_80_ns|{s60} te es leal.
str_relation_plus_90_ns|{s60} te es devoto.
str_relation_reg1| Relación: {reg1}
str_center_relation_mnus_100|El pueblo de odia con todas sus fuerzas
str_center_relation_mnus_90|El pueblo te odia intensamente
str_center_relation_mnus_80|El pueblo te odia de verdad
str_center_relation_mnus_70|El pueblo te odia
str_center_relation_mnus_60|El pueblo siente odio hacia ti
str_center_relation_mnus_50|El pueblo es extremadamente hostil hacia ti
str_center_relation_mnus_40|El pueblo es bastante hostil hacia ti
str_center_relation_mnus_30|El pueblo es hostil hacia ti
str_center_relation_mnus_20|El pueblo está en tu contra
str_center_relation_mnus_10|El pueblo se opone a ti
str_center_relation_plus_0|Al pueblo le eres indiferente
str_center_relation_plus_10|El pueblo te acepta
str_center_relation_plus_20|El pueblo se muestra cooperativo
str_center_relation_plus_30|El pueblo te apoya un poco
str_center_relation_plus_40|El pueblo te apoya
str_center_relation_plus_50|El pueblo te apoya mucho
str_center_relation_plus_60|El pueblo te es leal
str_center_relation_plus_70|El pueblo te es muy leal
str_center_relation_plus_80|El pueblo te es devoto
str_center_relation_plus_90|El pueblo te es ferozmente devoto
str_town_prosperity_0|La pobreza de la ciudad de {s60} es insostenible.
str_town_prosperity_10|La mugrienta ciudad de {s60} no está en absoluto desierta.
str_town_prosperity_20|La ciudad de {s60} es un lugar penoso y desolado.
str_town_prosperity_30|La ciudad de {s60} parece pobre y descuidada.
str_town_prosperity_40|La ciudad de {s60} parece estár luchando por sobrevivir.
str_town_prosperity_50|La ciudad de {s60} parece normal y corriente.
str_town_prosperity_60|La ciudad de {s60} parece próspera.
str_town_prosperity_70|La próspera ciudad de {s60} está llena de actividad.
str_town_prosperity_80|La ciudad de {s60} parece rica y bien cuidada.
str_town_prosperity_90|La ciudad de {s60} es adinerada y está llena de gente de bien.
str_town_prosperity_100|La brillante ciudad de {s60} alardea abiertamente de su riqueza.
str_village_prosperity_0|La pobreza de la aldea de {s60} es insostenible.
str_village_prosperity_10|La aldea de {s60} parece pobre y miserable.
str_village_prosperity_20|La aldea de {s60} parece muy pobre y desolada.
str_village_prosperity_30|La aldea de {s60} parece pobre y descuidada.
str_village_prosperity_40|La aldea de {s60} parece bastante pobre pero lucha por sobrevivir.
str_village_prosperity_50|La aldea de {s60} parece normal y corriente.
str_village_prosperity_60|La aldea de {s60} parece próspera.
str_village_prosperity_70|La aldea de {s60} parece muy próspera.
str_village_prosperity_80|La aldea de {s60} parece rica y bien cuidada.
str_village_prosperity_90|La aldea de {s60} parece rica y próspera.
str_village_prosperity_100|La aldea de {s60}, rodeada por vastos y fértiles campos, parece inmensamente rica.
str_war_report_minus_4|estamos a punto de perder la guerra
str_war_report_minus_3|la situación es desalentadora
str_war_report_minus_2|las cosas no nos van muy bien
str_war_report_minus_1|todavía podemos ganar la guerra si nos reagrupamos
str_war_report_0|estamos bastante igualados con el enemigo
str_war_report_plus_1|tenemos una buena oportunidad de ganar la guerra
str_war_report_plus_2|las cosas van bastante bien
str_war_report_plus_3|no deberíamos de tener ninguna dificultad para derrotarlos
str_war_report_plus_4|estamos a punto de ganar la guerra
str_persuasion_summary_very_bad|Haces todo lo posible para persuadir a {s50}, pero ninguno de tus argumentos parece salir bien. Cada vez que empiezas a ir por el buen camino, de repente dices algo que te desvía totalmente del objetivo. Para cuando has acabado de hablar no has conseguido ni un solo argumento a tu favor, y te das cuenta de que todo lo que has hecho ha resultado ser en tu contra. Como era de esperar, {s50} no parece impresionado.
str_persuasion_summary_bad|Intentas persuadir a {s50}, pero {reg51?she:he} te supera desde el comienzo. Tus argumentos parecen vacíos incluso a tus propios oídos. {s50}, tampoco se ha formado una buena opinión de lo que has dicho.
str_persuasion_summary_average|{s50} resulta ser un hábil orador con una mente brillante y tu no consigues esbozar aningún argumento concreto que {reg51?she:he} no pueda contrarrestar con su razonamiento. Al final, ninguno consigue ganar terreno en esta discusión.
str_persuasion_summary_good|Con pensamiento rápido y una buena argumentación consigues exponer bien tu caso, forzando a {s50} a darte la razón. No obstante, {reg51?she:he} todavía tiene dudas sobre tu petición.
str_persuasion_summary_very_good|Das un apasionado discurso que resuena en los oídos de todos los que te escuchan como si fuera poesía. El mundo parece silenciarse para escucharte mejor. Las inspiradas palabras han conmovido profundamente a {s50}  y {reg51?she:he} parece mucho más dispuesto a ayudarte.
str_name_1|Adanedhel
str_name_2|Ondoher
str_name_3|Aerandir
str_name_4|Agarwaen
str_name_5|Ailinel
str_name_6|Aldarion
str_name_7|Almarian
str_name_8|Amandil
str_name_9|Amlaith
str_name_10|Anardil
str_name_11|Anborn
str_name_12|Andróg
str_name_13|Angbor
str_name_14|Arador
str_name_15|Araglas
str_name_16|Arahael
str_name_17|Arantar
str_name_18|Arassuil
str_name_19|Alcarin
str_name_20|Belegund
str_name_21|Bereg
str_name_22|Bergil
str_name_23|Borthand
str_name_24|Ceorl
str_name_25|Ciryon
str_name_26|Damrod
str_name_27|Derufin
str_name_28|Dorlas
str_name_29|Duilin
str_name_30|Duinhir
str_name_31|Egalmoth
str_name_32|Emeldir
str_name_33|Eradan
str_name_34|Erellont
str_name_35|Erendis
str_name_36|Falathar
str_name_37|Fengel
str_name_38|Forweg
str_name_39|Frumgar
str_name_40|Fuinur
str_name_41|Galdor
str_name_42|Gethron
str_name_43|Gorlim
str_name_44|Grithnir
str_name_45|Gundor
str_name_46|Hador
str_name_47|Haldar
