qstr_Received_{reg0}_dama|Recibes {reg0} de daño.
qstr_Injuries_for_compani|Compañeros pueden sufrir heridas:  
qstr_Permanent_death_for_|Líderes y compañeros pueden morir permanentemente:  
qstr_Permanent_death_for_p|El jugador puede morir permanentemente (¡se refiere a TI!):  
qstr_Battle_morale_system|Sistema de moral de batalla:  
qstr_Animal_ambushes:__|Emboscadas de animales:  
qstr_Fallen_rider_damage_|Mensajes de daño de jinetes caídos:  
qstr_No_Messages|Sin mensajes
qstr_Player_damage_only|Solo daño del jugador
qstr_All_Messages|Todos los mensajes
qstr_Preferred_Camera_Mod|Modo de cámara preferente:  
qstr_Default_Camera|Cámara predeterminada
qstr_Free_Mode_Custom_Cam|Cámara personalizada libre
qstr_Fixed_Over_The_Shoul|Cámara fija sobre el hombro
qstr_Prevent_AI_from_taki|Evitar que la IA use formacione defensivas:  
qstr_Brighter_Nights:__|Noches luminosas:
qstr_Done|Hecho
qstr_Gameplay_Tweaks|Retoques de juego
qstr_Beta_Formations_Twea|Retoques a las formaciopnes Beta
; qstr_Set_to_Native_if_you|Set to Native if you encounter any types of AI problems during battle.
; qstr_Disable_cutscenes_if|Disable cutscenes if you encounter any crashes at the start of the war.
; qstr_Campaign_Difficulty_a|Campaign Difficulty affects abundance of volunteers, lord party size, and strength income for allied factions.
qstr_War_Will_Start_at_Le|La Guerra empezará al nivel {reg0}
; qstr_Be_aware_that_many_q|Be aware that many quests and campaign mechanics scale with player level. Increasing this setting will give you more time to prepare, but will make the war unfold quicker.
qstr_Troop_Tree|Árbol de tropas
qstr__Click_on_a_unit_for|(Haz clic en una unidad para ver detalles)
qstr_Weapons|Armas
qstr_Armors|Armaduras
qstr_Others|Otros
qstr_F4___Complex_formati|F4 - Formaciones complejas
qstr_F7___Memorize_div._p|F7 - Memorizar posición de divisiones
qstr_F8___Default_divisio|F8 - Posición de divisiones por defecto
qstr_F4___Ranks|F4 - Filas
qstr_F5___Shield_Wall|F5 -  Muro de escudos
qstr_F6___Wedge|F6 - Cuña
qstr_F7___Square|F7 - Cuadro
qstr_F8___No_Formation|F8 - Sin formación
qstr_Extended_Formations_|Opciones extendidas de formaciones e IA
qstr_Put_player_in_divisi|Poner jugador en división: 
qstr_None|Nada
qstr_Army_rotates_to_face|El ejército rota para estar enfrente del centro enemigor: 
qstr_Prevent_AI_from_takin|Evitar que la IA use formacione defensivas:  
qstr_AI_Controls_Troops_W|La IA controla a las tropas cuando el jugador está KO: 
qstr_You_gained_{reg0}_Re|Has conseguido {reg0} Puntos de Recursos de {s0}.
qstr_You_lost_{reg0}_Reso|Has perdido {reg0} Puntos de Recursos de {s0}.
qstr_{s24}:|{s24}:
qstr_Great_Hope_of_{s5}|Gran esperanza de {s5}
qstr_Hope_of_{s5}|Esperanza de {s5}
qstr_Indispensable_Ally_o|{Aliado/Aliada} indispensable de {s5}
qstr_Faithful_Ally_of_{s5|Fiel {aliado/aliada} de {s5}
qstr_Trusted_Friend_of_{s|{Amigo/Amiga} de confianza de {s5}
qstr_Close_Friend_of_{s5}|{Amigo cercano/Amiga cercana} de {s5}
qstr_Friend_of_{s5}|{Amigo/Amiga} de {s5}
qstr_Familiar_to_{s5}|Bien {conocido/conocida} en {s5}
qstr_Known_to_{s5}|{Conocido/Conocida} de {s5} 
qstr_Stranger_to_{s5}|{Desconocido/Desconcida} para {s5}
qstr_Great_Enforcer_of_{s|Gran {ejecutor/ejecutora} de {s5}
qstr_Enforcer_of_{s5}|{Ejecutor/Ejecutora} de {s5}
qstr_Important_Ally_of_{s|{Aliado/Aliada} importante de {s5}
qstr_Ally_of_{s5}|{Aliado/Aliada} de {s5}
qstr_Accomplice_of_{s5}|Cómplice de {s5}
qstr_Useful_Tool_of_{s5}|Instrumento útil de {s5}
qstr_Servant_of_{s5}|Sirviente de {s5}
qstr_Unknown_to_{s5}|Desconocido para {s5}
qstr_You_have_been_{reg1?|¡Te han {reg1?ascendido:degradado} a {s24} ({reg0})!
qstr_You_{reg1?earned:los|Has {reg1?ganado:perdido} {reg11} puntos de rango {reg12?y {reg12} de influencia :}con tu facción de origen; {s11}.
qstr_You_{reg1?earned:lost|Has {reg1?ganado:perdido} {reg11} puntos de rango {reg12?y {reg12} de influencia :}con {s11}.
qstr_You_spent_{reg10}_of|Has gastado {reg10} de tu influencia con {s1}, te quedan {reg11}.
qstr_Troop_upkeep:|Mantenimiento de tropas:
qstr_{s11}_and_{s10}|{s11} y {s10}
qstr_their|sus
qstr_its|sus
qstr_[no_upkeep_costs]|[sin gastos de mantenimiento]
qstr_Short_of_Resource_Po|¡Puntos de Recursos insuficientes!
qstr_{s10}_will_soon_reas|¡{s10} reasignará pronto algunas de {s12} tropas actualmente en tu grupo!
qstr_Superior_orders_from|Llegan órdenes de los líderes de {s11} para reasignar tropas:
qstr_{reg12}_{s10}_left_t|¡{reg12} {s10} han dejado el grupo!
qstr_Fangorn_claimed_{reg|¡Fangorn se ha cobrado {reg0} muertos y {reg1} heridos entre tus tropas!
qstr_You_were_wounded_in_|¡Te han herido en Fangorn!
qstr_{s1}_of_{s3}_was_def|{s1} de {s3} ha sufrido una derrota en batalla.
qstr_{s2}_have_razed_{s1}|¡{s2} ha asolado {s1}!
qstr_Left_for_dead_but_mi|Dado por muerto pero sobrevivió milagrosamente: {reg1?{reg1} tiempo{reg2?s:}:NUNCA}
qstr_1_Res.Pt__{s2}_|1 Pt. de Rec. ({s2})
qstr_{reg1}_Res.Pts__{s2}|{reg1} Pts. de Rec. ({s2})
qstr_+30_to_Party_Morale|+30 a la Moral del grupo
qstr_+20_to_Party_Morale|+20 a la Moral del grupo
qstr_+1_to_Riding_Skill|+1 a Cabalgar
qstr_during_battles|en batallas
qstr_+1_to_Pathfinding|+1 a Busca-rutas
qstr_+2_to_Wound_Treatmen|+2 a Tratamiento de heridas (Grupo)
qstr_+2_to_Surgery__Party|+2 a Cirugía (Grupo)
qstr_+2_to_Pathfinding__P|+2 to Busca-rutas (Grupo)
qstr_Use_from_Camp_Menu|Se usa desde el menú de campamento
qstr_Use_from|Se usa desde
qstr_Action_Menu|el Menú de Acción
qstr_Bonus_to_Wound_Treat|Bonificación a Tratamiento de heridas (Grupo)
qstr_Bonus_to_Surgery__Pa|Bonificación a Cirugía (Grupo)
qstr_Bonus_to_First_Aid__|Bonificación a Primeros auxilios (Grupo)
qstr_+1_to_Weapon_Mastery|+1 a Maestría con armas
qstr_+1_to_Wound_Treatmen|+1 a Tratamiento de heridas
qstr_+1_to_Tactics|+1 a Tácticas
qstr_+1_to_Power_Strike|+1 a Potencia de golpe
qstr_+1_to_Strength|+1 a Fuerza
qstr_+1_to_Agility|+1 a Agilidad
qstr_+1_to_Leadership|+1 a Liderazgo
qstr_+1_to_Wildcraft|+1 de Dominio de la tierras salvajes
qstr_+1_to_Tracking|+1 a Rastreo
qstr_+1_to_Athletics|+1 a Atletismo
qstr_when_equipped|cuando está equipado
qstr_+1_to_Power_Draw|+1 a Arquería
qstr_The_record_of_Balin_|La crónica de la expedición perdida de Balin.
qstr_Who_might_be_interes|¿A quién le podría interesar?
qstr_Bonus_to_Shield_Skil|Bonifica la habilidad de Escudo
qstr_Turns_nature_to_your|Pone a la naturaleza de tu parte
qstr_when_equipped.__Effe|cuando se equipa (mejora con Dominio de las tierras salvajes)
qstr_Bonus_to_Power_Strik|Bonifica la Potencia de Golpe
qstr_+1_to_Trainer|+1 a Instrucción
qstr_Recruits_Tribal_Orcs|Recluta orcos tribales
qstr_rally|tropa
qstr_rallies|tropas
qstr_+{reg1}_{s3}_in_batt|Reagrupas a +{reg1} {s3} en batalla
qstr_+1_to_Charisma|+1 a Carisma
qstr_Call_Reinforcements|Llamar a los refuerzos
qstr__Effect_scales_with_|(el efecto aumenta en proporción a la Fuerza y Carisma)
qstr_+1_to_First_Aid|+1 a Primeros Auxilios
qstr_+1_to_Surgery|+1 a Cirugía
qstr_+1_to_Intelligence|+1 a Inteligencia
qstr_+2_to_Surgery|+2 a Cirugía
qstr_+1_to_Riding|+1 a Cabalgar
qstr_+1_to_Mounted_Archer|+1 a Arquería montada
qstr_Bonus_to_Riding|Bonificación a Cabalgar
qstr_when_equipped.__Effec|cuando esté equipado (el efecto es proporcional a la Fuerza).
qstr_Orcs:_+1_Riding_Requ|Orcos: +1 a los requisitos de Cabalgar
qstr_+1_to_Prisoner_Mgmt|+1 a Manejo de Prisioneros
qstr_+2_to_Tactics|+2 a Tácticas
qstr_+1_Intelligence|+1 a Inteligencia
qstr_+{reg1}_to_Spotting|+{reg1} en Avistar
qstr__Scales_with_Wildcra|(Mejora con Dominio de las tierras salvajes)
qstr_Strengthens_all_Hero|Fortalece a todos los héroes
qstr_+2_to_First_Aid__Par|+2 a Primeros auxilios (Grupo)
qstr_lead_more_Uruks|liderar a más uruks
qstr_+1_to_Power_Throw|+1 a Lanzamiento
qstr_Recruit_Black_Numeno|Recluta Númenóreanos Negros en varios ligares
qstr__Scales_with_Charism|(Crece de forma proporcional al Carisma, solo en líderes humanos)
qstr_+1_to_Spotting|+1 en Avistar
qstr_+2_to_Weapon_Master|+2 a Maestría con armas
qstr_+2_to_First_Aid|+2 a Primeros auxilios
qstr_Less_Dunnish_upkeep|Reduce coste de mantenimiento de dunlendinos
qstr_Less_Wargs_upkeep|Reduce coste de mantenimiento de huargos
qstr_Light_Armor|Armadura ligera
qstr_Bonus_to_Strength__P|Bonificación de fuerza (sólo para el jugador)
qstr_Lead_more_Orcs|Liderar a más orcos
qstr_Can_scare_horses|Asusta a los caballos
qstr_+{reg1}_to_Party_Mor|+{reg1} a la Moral del grupo
qstr_Range:_{reg55}|Distancia: {reg55}
qstr_Dwarves|enanos
qstr_Humans_and_Elves|humanos y elfos
qstr_Orcs|orcos
qstr_Uruks_and_Uruk_Hai|uruks y Uruk-Hai
qstr_Humans_Uruks_and_Uru|humanos, uruks, y Uruk-hai
qstr_Humans|humanos
qstr_This_item_can_be_use|Este objeto puede ser usado por {s2}
qstr_Do_you_want_to_disem|¿Quieres desembarcar?
qstr_Move_here|Mover aquí
qstr_View_notes|Ver Notas
qstr_Looted_your_items|Saqueó tus objetos
qstr_nothing|Nada
qstr_Good|Bien
qstr_Med|Normal
qstr_Bad|Mal
qstr_You_gained_{reg84}_e|Has ganado {reg84} puntos de experiencia gracias a tu inteligencia.
qstr_You_gained_{reg84}_w|Has ganado {reg84} puntos de armas por tu agilidad
qstr_{reg4}_killed_{reg5}|{reg4} muertos, {reg5} heridos, {reg6} huidos
qstr_{reg4}_killed_{reg5}_|{reg4} muertos, {reg5} heridos
qstr_{reg4}_killed_{reg5}_r|{reg4} muertos, {reg5} huidos
qstr_{reg4}_wounded_{reg5|{reg4} heridos, {reg5} huidos
qstr_killed|muertos
qstr_routed|huidos
qstr_wounded|heridos
qstr_{s0}^TOTAL:_{reg3}__|{s0}^TOTAL: {reg3} ({s2})
qstr_^None|^Ninguna
qstr_near_the_Great_East_|cerca del Gran Camino del Este, la vieja ruta abandonada
qstr_near_what_is_left_of|cerca de lo que queda del Viejo Camino del Bosque, el antiguo camino enano utilizado para cruzar la espesura del Bosque Negro
qstr_close_to_the_Hand_sh|cerca de la señal de la Mano Blanca de Saruman, que señala hacia la torre de Orthanc
qstr_in_sight_of_the_maje|a la vista de las majestuosas murallas de Minas Tirith, la Ciudad Blanca
qstr_in_sight_of_Edoras_t|a la vista de Edoras, la capital de Rohan
qstr_in_sight_of_the_Horn|a la vista de Cuernavilla, la gran fortaleza de Rohan
qstr_in_sight_of_Dol_Amro|a la vista de Dol Amroth, la sede de los Príncipes de Belfalas
qstr_in_sight_of_the_Mora|a la vista del Morannon, la Puerta Negra de Mordor
qstr_in_sight_of_Dol_Guld|a la vista de Dol Guldur, la fortaleza norteña de Sauron
qstr_on_the_green_pasture|en los pastos verdes y campos floridos que rodean la Casa de Beorn
qstr_on_the_shores_of_Lak|junto a la orilla del Lago Espejo, cerca de la Puerta Este de Moria
qstr_on_the_shores_of_the|junto a la orilla del Lago Largo, a la vista de Esgaroth, la Ciudad del Lago
qstr_near_the_coast_of_Go|cerca de la costa de Gondor. Puedes oír el distante rumor de las olas y el chillido de las gaviotas
qstr_in_the_outskirts_of_|en las afueras de Osgiliath, la antigua capital de Gondor
qstr_in_sight_of_the_entr|a la vista de la entrada a Erebor, la fortaleza enana
qstr_in_sight_of_the_dark|a la vista de la oscura Torre de Orthanc
qstr_near_the_Old_Ford_wh|cerca del Viejo Vado, donde el Viejo Camino del Bosque cruza el río Anduin
qstr_near_a_big_ford_cros|cerca de un gran vado cruzando el Río {s15}
qstr_near_a_small_ford_cr|cerca de un pequeño vado cruzando el Río {s15}
qstr_Battle_Advantage_=_{ = "Ventaja de batalla: {reg0}"
qstr_{s9}_wants_you_to_re|{s9} quiere que continúes siguiendo a su ejército hasta nuevo aviso.
qstr__Being_Raided_|(Siendo asolado)
qstr__Looted_|(Saqueado)
qstr__Under_Siege_|(Bajo Asedio)
qstr_{s3}_is_no_longer_un|{s3} ya no está bajo asedio.
qstr_Enemies_spotted_near|Enemigos avistados cerca de {s1}.
qstr_Your_relation_with_{|Tu relación con {s1} ha mejorado.
qstr_Your_relation_with_{s|Tu relación con {s1} ha empeorado.
qstr_{s1}_gained_faction_|¡{s1} ha ganado fuerza!
qstr_{s1}_lost_faction_st|¡{s1} ha perdido fuerza!
qstr_{s2}_{reg3?was:is_cu|{s2} {reg3?estaba:está ahora mismo} en {s3}.
qstr_{s2}_{reg3?was:is}_t|{s2} {reg3?estaba:está} viajando hacia {s3} y {reg3?estaba:debería estar} cerca de {s4}{reg3?: en este momento}.
qstr_{s2}_{reg3?was:is}_i|{s2} {reg3?estaba:está} en campo abierto y {reg3?estaba:debería estar} cerca de {s3}{reg3?: en este momento}.
qstr_{s2}_{reg3?was:is}_b|{s2} {reg3?se encontraba:se encuentra} en cautividad en {s3}.
qstr_{s2}_{reg3?was:has_b|{s2} {reg3?fue:ha sido} {reg4?capturada:capturado} por sus enemigos.
qstr_{reg3?{s2}_s_locatio|{reg3?Se desconoce la localización de {s2}:No sé dónde está {s2}}.
qstr_{s6}_has_joined_your|{s6} se ha unido a tu grupo
qstr_elven|elfos
qstr_dwarven|enanos
qstr_orc|orcos
qstr_uruk|uruk
qstr_uruk_hai|uruk-hai
qstr_trollish|troll
qstr_man|hombres
qstr_riding|cabalgando
qstr_marching|marchando
qstr_charging|cargando
qstr_We_know_this_is_your|Sabemos que ésta es tu tierra, {playername}.^Confía en nosotros, estamos aquí para luchar contra el Enemigo común.
qstr_I_trust_you._{s20}_a|Confío en vosotros. Los pueblos de {s20} y {s21} deberían ser amigos y confiar el uno en el otro.
qstr_There_is_wisdom_in_y|Hay sabiduría en tus palabras, {playername}.
qstr_Why_should_I?_Better|¿Por qué debería fiarme? Será mejor que abandonéis el país de {s20}.
qstr_We_will_go_in_peace_|Nos iremos en paz tan pronto como hayamos completado nuestra misión, la cual me temo, no podemos decirte.
qstr_Is_this_your_land_{p|¿Éstas es tu país, {playername}? Este lugar es hediondo.^Pero tranquilo, estamos en la tierra de {s20} siguiendo órdenes de nuestro Amo.
qstr_Yes_go_on_do_whateve|Sí, continuad, haced lo que sea que {s22} diga.
qstr_Of_course.|Por supuesto.
qstr_I_don_t_like_this._W|No me gusta esto. ¿Qué hacéis vosotros aquí, tan lejos de {s21}?
qstr_Do_you_fear_us_{play|¿Nos temes, {playername} de {s20}? ¿Que estás escondiendo de {s22}?^^Déjanos en paz y nadie saldrá herido.
qstr_It_s_a_servant_of_{s|Es un siervo de {s22}. ¡Teme a {s23}, {playername}!
qstr_Our_allies_are_you?_|Somos aliados, ¿no? Supongo que podéis pasar.
qstr_And_we_shall_not_kil|Y no os mataremos, por ahora.
qstr_This_land_belongs_to|Esta tierra pertenece a {s20}... {s23} no tiene nada que hacer aquí.
qstr_We_will_stay_as_long|¡Nos quedaremos tanto tiempo como nuestro amo ordene! Agradece al destino que no hayamos venido a por ti.
qstr_You_wear_the_colors_|Llevas los colores de {s20}. ¿Qué te trae a {s21}?^¡Habla, rápido!
qstr_We_are_pursuing_our_|Estamos persiguiendo a nuestros enemigos, ¡Que también son los vuestros!
qstr_Maybe._Or_maybe_you_|Quizá. O quizá sois espías.^Regresa al lugar que te corresponde, soldado de {s20}.
qstr_We_are_friends_of_{s|Somos amigos de {s21}.
qstr_Time_will_tell_if_yo|El tiempo dirá si lo que dices es verdad. Es difícil distinguir al amigo del enemigo en estos tiempos.
qstr_What_are_you_doing_h|¿Que estáis haciendo aquí en {s21}, escoria de {s20}? ¡Este es nuestro lugar, no el vuestro!
qstr_You_dare_question_di|¿Te atreves a cuestionar órdenes directas de {s23}?
qstr_Guess_not._But_I_sti|Supongo que no. Pero aún así no me gusta tenerte por aquí.^Te estaré vigilando, {playername} de {s20}.
qstr_None_of_your_busines|No es asunto tuyo, ¡cerdo!
qstr_*growls*^You_should_|*gruñe*^Tienes suerte de luchar por nuestro Amo, de otro modo no te saldrías con la tuya.
qstr_What_are_you_doing_s|¿Qué hacéis tan lejos de casa, {esclavo/esclava} de {s22}? En este lugar, ¡{s23} es el Amo!
qstr_Quiet!_I_didn_t_came|¡Silencio! No he venido a por ti. Al menos por ahora...
qstr_And_I_ve_orders_to_l|Y yo tengo órdenes de dejarte pasar. Por ahora.
qstr_None_of_your_business|No es asunto tuyo.
qstr_You_slaves_of_{s22}_|¡Vosotros, los esclavos de {s22}, sois débiles! Tenéis suerte de que os consideremos nuestros aliados...
qstr_Look_whom_we_meet_so|Mirad a quién tenemos aquí, tan lejos de su hogar: ¡Soldados de {s20}! ¿Son buenas o malas noticias?
qstr_{s20}_and_{s21}_figh|{s20} y {s21} luchan por una causa en común, deberíamos cooperar en tierras hostiles.
qstr_In_these_dark_times_|Éstos son tiempos oscuros, {playername}, cada uno sigue su propio camino.^Pero te deseo un buen viaje de vuelta a casa.
qstr_Neither_good_nor_bad|Ni buenas ni malas. Nuestros asuntos son sólo nuestros.
qstr_Everybody_on_his_way|En tal caso, que cada cual siga su propio camino.
qstr_What_are_you_trying_|¿Qué intentas, escoria de {s20}? ¿Robar nuestro botín?
qstr_Ha!_Soon_there_will_|¡Ja! Pronto habrá botín para todos.
qstr_Yes._Unless_you_get_|Sí. A menos que os maten primero.
qstr_You_don_t_get_any_sp|No conseguirás nada de botín si eres TÚ quien muere, escoria de {s21}.
qstr_Is_that_a_threat?_Be|¿Eso es una amenaza? Agradece que tengamos otros enemigos que masacrar antes de que llegue tu turno.
qstr_The_enemy_is_upon_us|¡El enemigo nos ataca! ^
qstr_They_are_upon_us!_^|¡Nos atacan! ^
qstr_{playername}_and_{hi|¡{playername} y {su/su} chusma de {s18} nos atacan! ^
qstr_ORCS!_ORCS!|¡ORCOS! ¡ORCOS!
qstr_ORCS!_ORCS!_Fight_fo|¡ORCOS! ¡ORCOS! ¡Luchad por vuestra vida!
qstr_Elven_ghosts!|¡Fantasmas elfos!
qstr_Here_they_come!_Hold|¡Aquí vienen! ¡Mantened la formación!
qstr_We_are_under_attack!|¡Nos atacan!
qstr_Horse_people!_The_ho|¡Los Jinetes! ¡Los Jinetes se nos echan encima!
qstr_Men_from_the_White_C|¿Hombres de la Ciudad Blanca? ¡Dejad que vengan, a su muerte!
qstr_Death_to_men!|¡Muerte a los hombres!
qstr_Kill_the_maggots!|¡Matad a esos gusanos!
qstr_Death_to_traitors_of|¡Muerte a los traidores del Ojo!
qstr_Death_to_traitors_of_|¡Muerte a los traidores de la Mano Blanca!
qstr_{s14}Kill_them_all!_|{s14}¡Matadlos a todos! ¡No hagáis prisioneros!
qstr_Tonight_we_feast_on_|¡Esta noche nos daremos un festín con carne de {s15}!
qstr_Gharr!_Kill!_Kill!_K|¡Garrg! ¡Matar! ¡Matar! ¡Matar!
qstr_Slaughter_these_half|¡Masacrad a esos medio-hombres!
qstr_Fear_no_elven_ghosts|¡No temáis a los fantasmas elfos!
qstr_{s14}Double_rations_|{s14}¡Ración doble al que me traiga más cabezas!
qstr_{s14}Double_rations_t|{s14}¡Ración doble al que me traiga más cabezas de {s15}!
qstr_{s14}Kill_these_hors|{s14}¡Acabad con esos ladrones de caballos!
qstr_Kill_them_all!_Take_|¡Matadlos a todos! ¡Recuperad lo que es nuestro!
qstr_Tonight_there_will_b|¡Esta noche habrá un enemigo de {s16} menos!
qstr_Baruk_Khazd!_Khazd_a|¡Baruk Khazâd! ¡Khazâd ai-mênu!
qstr_{s14}Riders_of_Rohan|{s14}¡Jinetes de Rohan! ¡Recordad por qué lucháis!
qstr_{s14}More_{s19}heads|{s14}¡Más cabezas de {s19} para decorar las puertas del Morannon!
qstr_The_Wise_Master_shal|¡El Sabio Amo estará complacido cuando le muestre el cuerpo de {playername}!
qstr_{s14}Now_we_will_put|{s14}Ahora pondremos fin al sufrimiento de éstas repulsivas criaturas.
qstr_{s14}Today_we_shall_|{s14}Combatiremos a los enemigos de Imladris, y de todo lo que es justo y hermoso.
qstr_All_who_enter_Mirkwo|¡Todo aquel que entre en el Bosque Negro con malicia jamás saldrá con vida!
qstr_Men_of_{s16}_the_ene|Hombres de {s16}, ¡El enemigo está aquí! ¡Luchad por vuestra tierra!
qstr_Men_of_{s16}_charge!|¡Hombres de {s16}, cargad! ¡Luchad por vuestra tierra!
qstr_{s14}Grind_their_bod|{s14}¡Que sus cuerpos queden cubiertos por la arena!
qstr_{s14}Dwarves_or_men_|{s14}¡Hombres o enanos, no son rivales para nuestra fiereza!
qstr_{s14}Elves_or_men_th|{s14}¡Ni Hombres ni elfos son rival para contener nuestra fiereza!
qstr_{s14}Flesh_to_shatte|{s14}¡Carne que destrozar, gargantas que cortar, sangre que derramar!
qstr_Put_on_the_masks_of_|¡Hombres, poneos vuestras máscaras! ¡Hoy caerá la muerte sobre nuestros enemigos de {s18}!
qstr_They_seek_the_tempes|¡Van buscnado la tempestad, y la han encontrado! ¡Hombres, a las armas!
qstr_Draw_your_weapons_me|¡Desenvainad vuestras armas, hombres! ¡Que la tempestad se desate sobre nuestros enemigos!
qstr_Orcs_of_{s16}_get_re|¡Orcos de {s16}, preparaos! ¡Aquí hay gargantas que cortar!
