menu_start_game_1|^^^^^^^^^^¿Por qué fin lucháis?
mno_start_du|DÚNEDAIN, la antigua dinastía de Hombres
mno_start_be|BEÓRNIDAS, la gente oso
mno_start_wo|HOMBRES DEL BOSQUE, en las lindes del Bosque Negro
mno_start_da|VALLE, el reino norteño
menu_start_good_elf|^^^^^^^^^^¿De que bosque provienes?
mno_start_ri|RIVENDEL, del Señor Elrond
mno_start_lo|LOTHLÓRIEN, de la Dama Galadriel
mno_start_mi|EL BOSQUE NEGRO, hogar de los Elfos Silvanos
menu_start_good_dwarf|^^^^^^^^^^Elige tu Linaje:
mno_start_er|un habitante de EREBOR
mno_start_ih|un minero de las COLINAS DE HIERRO
menu_start_gondor|^^^^^^^^^^¿De qué parte de Gondor procedes?
mno_start_mt|MINAS TIRITH, la Capital
mno_start_ls|LOSSARNACH, el feudo de los forjadores de hachas
mno_start_la|LAMEDON, el feudo de los clanes de la montaña
mno_start_pg|PINNATH GELIN, el feudo de las colinas verdes
mno_start_do|DOL AMROTH, el feudo de los Caballeros del Cisne
mno_start_pe|PELARGIR, el feudo costero
mno_start_bl|VALLE DE LA RAÍZ NEGRA, el feudo de los arqueros
menu_start_eye_man|^^^^^^^^^^Elige a tu pueblo:
mno_start_hr|HARADRIM, las gentes de los desiertos del Sur
mno_start_bn|NUMENÓREANOS NEGROS, los renegados del Oeste
mno_start_um|UMBAR, los piratas de los mares del Sur
mno_start_rh|RHÛN, los bárbaros del Este
mno_start_kh|KHAND, el pueblo salvaje del Sureste
menu_start_eye_uruk|^^^^^^^^^^¿Desde donde acechas al enemigo?
mno_start_arm_uruk|desde los ejércitos reunidos en MORDOR
mno_start_cav_uruk|desde las cuevas de DOL GULDUR
menu_start_eye_orc|^^^^^^^^^^¿Desde donde acechas al enemigo?
mno_start_arm|desde los ejércitos reunidos en MORDOR
mno_start_cav|desde las cuevas de DOL GULDUR
menu_start_hand_orc|^^^^^^^^^^¿Desde donde acechas al enemigo?
mno_start_armis|desde los ejércitos reunidos en ISENGARD
mno_start_minmo|desde las minas de MORIA
mno_start_cliff|desde los barrancos del Monte GUNDABAD
menu_start_gondor_mt|^^^^^^^^^^Selecciona tu Linaje:
mno_start_1_com|Del pueblo llano
mno_start_2_hib|De alta alcurnia
menu_start_haradrim|^^^^^^^Perteneces al pueblo Haradrim,^los Hombres del Desierto.^Elige tu linaje
mno_start_1_des|Pueblo del Desierto
mno_start_2_far|Miembro de las tribus de la Lejana Harad
menu_start_numenorean|^^^^^^^Eres uno de los Númenóreanos Negros,^ leal a la Oscuridad y a Morgoth.^Selecciona dónde sirves al Ojo
mno_start_1_bn|Junto a la Boca de Sauron, en MORANNON
mno_start_2_bn|En la fortaleza del Nigromante, DOL GULDUR
menu_choose_gender|^^^^^^^^^^¿Cuál es tu sexo?
mno_start_male|Hombre
mno_start_female|Mujer
mno_proc|Seguir sin más
menu_start_as_one|^^^^^^^^^^¿Qué clase de soldado eres?
mno_start_default|Empezar como {s23} (Por defecto)
mno_start_up1|Empezar como {s21} (Fácil)
mno_start_up2|Empezar como {s22} (Fácil)
mno_continue|Continuar...
menu_character_report|^^^^^Moral del Grupo: {reg8}^Límite del tamaño del grupo: {reg7}^{s5}
menu_camp|^^^^Estás en {s1}.{s2}^^¿Qué quieres hacer?
mno_camp_scene|Dar una vuelta.
mno_camp_troop|Pasar revista a tus{reg10? tropas:}{reg12? y:}{reg11? prisioneros:}.
mno_camp_action|Usar un objeto.
mno_camp_wait_here|Acampar aquí durante algún tiempo.
mno_camp_options|Cambiar opciones de TLD.
mno_Dev_Menu|Menú de Desarrollo
menu_dev_menu|Éstas son opciones de desarrollo que te proporcionarán muchos trucos y herramientas con las que jugar.^^ Sin embargo, ocasionarán que aparezcan eventos, funciones y cambios en la campaña que todavía están en desarrollo, y que podrían fastidiar tu partida.^^ ¡No nos hacemos responsables de lo que pueda pasar! ^^ Además te pedimos que nos comuniques si estabas usando el Menú de Desarrollo al informar de problemas o bugs.
mno_Cheat_enable|Activar las opciones de trucos/modding.
menu_game_options|^^^^^^^^Haz click sobre una opción para cambiarla:
mno_game_options_war_level_start|La guerra empieza al alcanzar el nivel: {s1}  
mno_game_options_restrict_items|Restringir el equipamiento del jugador: {s7}
mno_game_options_formations|IA y Formaciones de batalla: {s7}
mno_game_options_siege_ai|IA de asedios avanzada:  {s7}
mno_game_options_town_menu|PNJs de lugares siempre accesibles desde el Menú:  {s7}
mno_game_options_cutscenes|Cinemáticas: {s7}
mno_game_options_injuries|Los compañeros sufren heridas: {s7}.
mno_game_options_death|Muerte permanente para Nobles y compañeros: {s7}.
mno_game_options_death2|Muerte permanente para el jugador (Ese eres TÚ):  {s7}.
mno_game_options_morale|Sistema de Moral en Batalla: {s7}
mno_game_options_animal_ambushes|Emboscadas de animales: {s7}
mno_game_options_horse_ko|Mensajes de daño de jinete caído:  {s7}
mno_game_options_bright_nights|Noches más claras:  {s7}.
mno_game_options_camera_pref|Modo de cámara preferido:  {s7}.
mno_game_options_tweaks|Ajustes de jugabilidad...
mno_game_options_back|Volver al menú del campamento.
mno_game_options_start_back|Atrás.
menu_camp_tweaks|^^^^^^^^Elige la opción que te gustaría ajustar.
mno_tweak_options_compat|Ajustes de compatibilidad...
mno_tweak_options_strat|Ajustes estratégicos...
mno_tweak_options_battlefield_ai|Ajustes de IA de batalla...
mno_tweak_options_back|Volver al menú de opciones.
menu_camp_compat_tweaks|^^^^^^^^Haz clic sobre una opción para cambiarla (Mantén pulsado Mayús para reducirla):^(Esto mejora la compatibilidad y no son trucos)
mno_game_options_compat_party|Máximo número de grupos: {s1}
mno_game_options_compat_back|Volver al menú de ajustes.
menu_camp_strat_tweaks|^^^^^^^^Haz clic sobre una opción para cambiarla:^(cuidado: ¡estos son trucos!)
mno_strat_tweaks_siege_reqs|Requisitos de fuerza para asedio: {s7}
mno_strat_tweaks_siege_relax_rate|Req. de fuer. para asedio: Velocidad de mitigación: {reg1}
mno_strat_tweaks_regen_rate|Velocidad de regeneración de fuerza: {s7}
mno_strat_tweaks_siege_regen_limit|Fuerza de facción se regenera más despacio al llegar a: {reg1}
mno_strat_tweaks_influence_gain_rate|Velocidad de obtención de influencia: {s7}
mno_strat_tweaks_rank_gain_rate|Velocidad de obtención de rango: {s7}
mno_strat_tweaks_back|Volver al menú de ajustes.
menu_camp_action|^^^^^^^^^     ¿Qué objeto?
mno_camp_drink_water|¡Beber el Agua de los Ents!
mno_camp_drink_orc_brew|¡Repartir el brebaje orco entre tus tropas!
mno_camp_drink_miruvor|¡Repartir el Miruvor!
mno_camp_use_athelas|Usar Athelas para tratar heridas.
mno_camp_use_drums|Hacer sonar los Tambores de las Profundidades  
mno_camp_action_4|Atrás.
menu_assasins_attack_player_won|Has derrotado los asesinos de {s2}, enviados por {s3}.
menu_assasins_attack_player_retreat|¡Has escapado con vida!
menu_fangorn_danger|^^^^^^Es extraño... sientes ruidos amenazadores a tu alrededor.^¿Están los árboles hablando? Notas una sensación de profunda ira y dolor en el aire...^¿Cuáles son tus órdenes?
mno_be_quiet_elf|Respetar la ira de los árboles. Continuar en silencio.
mno_be_quiet|¡Bajad las armas y manteneos en silencio! ¡Ahora, vayámonos de aquí!
mno_be_bold|¡Seguir adelante! ¡No le temo ni a las plantas ni a los viejos mitos!
mno_fight_back|¡Vamos a ver! ¡Peinad el área! ¡Quemad un árbol o dos! (Campamento)
menu_fangorn_search_fails|^^^^^^Buscas en la espesura del oscuro bosque pero no encuentras nada.^Aún así te sientes {observado y amenazado/observada y amenazada}, cada vez más y más...
menu_fangorn_killed_player_only|^^^^^^Vagas por el espeso y oscuro bosque.^¡De repente, algo te golpea! ¿Habrá ssido una rama pesada que ha caído sobre tu cabeza?^Permaneces inconsciente sólo durante algunos minutos... despiertas {maltrecho/maltrecha} pero puedes seguir adelante.
mno_ow_get_out|¡Ay! Salgamos ahora mismo de este maldito lugar.
menu_fangorn_killed_troop_and_player|^^^^^^Vagas por el espeso y oscuro bosque.^^Cuando de repente... ¡notas que algo te golpea! Puede que una rama pesada haya caído sobre tu cabeza.^^Cuando te recuperas del golpe unos minutos después, descubres que no todas tus tropas han tenido la misma suerte...
menu_fangorn_killed_troop_only|^^^^^^^^Deambulas por el frondoso y oscuro bosque. Tus tropas están aterrorizadas.^^De repente, escuchas gritos que provienen desde la retaguardia, sólo para encontrarte con un puñado de tus tropas en el suelo, bañadas en su propia sangre.^^Otros tantos han desaparecido sin más...
mno_get_out|¡Salgamos de este maldito lugar!
menu_can_capture_troll|¡El troll caído todavía respira!^^Sus ojos malignos te miran fijamente, llenos de rabia y dolor.^Incluso ahora, que ha sido derribado, y yace indefenso en un charco de su propia sangre, parece increíblemente peligroso...
mno_killit|Acabar con él, ahora. Asegurándote de que muera.
mno_cageit1|Enjaularlo y llevarlo a rastras.
mno_cageit2|Enjaularlo junto con el otro troll.
mno_cheat_disabable|Desactivar las opciones de trucos/modding.
menu_drank_ent_water_human|^^^Bebes el agua. Es clara y refrescante. Tiene una fragancia agradable, almizclada incluso.^Te sientes como {nuevo/nueva}.^^No obstante, también notas una sensación extraña y anormal. Algo te dice que nunca jamás deberías volver a beber de este agua.
menu_drank_ent_water_orc|^^^Bebes el agua. Sólo es agua.^De repente, te llevas las manos a la garganta en un ataque de dolor.^¡Es veneno!^Te atragantas, vomitas sangre negra, casi mueres en el acto.^^Y duele, vaya si duele.
mno_i_shall_surv|¡Sob... re... viviré!
menu_end_game|^^^^^Has tomado tu decisión, y te propones dejar atrás tu vida de aventuras y sentar la cabeza. Vendes tus armas y armadura, reúnes todas tus pertenencias, y cabalgas hacia el amanecer...
mno_end_game_bye|Buen viaje.
menu_cattle_herd|Te encuentras de frente con algunas personas.
mno_cattle_drive_away|Decirles que te sigan.
mno_cattle_stop|Decirles que se detengan.
mno_leave|Irse.
menu_simple_encounter|^^^^^{s2}^Cuentas con {reg22} tropas listas para la batalla frente a las {reg11} del enemigo.^^La batalla tendrá lugar en {s3}{s4}.^^¿Cuáles son tus órdenes?
mno_encounter_attack|{reg21?Cargar contra ellos:Prepararse para el enfrentamiento}.
mno_encounter_order_attack|Ordenar a tus tropas {reg21?atacar:enfrentarse a ellos} sin tu ayuda.
mno_control_allies_menu|Usar Influencia para dar órdenes a tus aliados en el campo de batalla.
mno_encounter_hide|Esconderse del enemigo...
mno_special_whip|Acercarse rápidamente hacia ellos restallando el {s4}.
mno_encounter_attack_bearform|{reg21?Lanzarte a la batalla en forma de oso:Cambia de piel y enfréntate al enemigo}.
mno_encounter_leave|Separarse.
mno_encounter_retreat|Huir, dejando a algún soldado detrás para cubrir tu retirada.
mno_player_control_allies_simple|Ponerlos bajo tus órdenes y enfrentarse al enemigo.
mno_player_control_allies_back|Atrás...
mno_hide_close|Continuar...
menu_encounter_retreat_confirm|^^^^^Como el miembro del grupo con mayor habilidad táctica, ({reg2}), {reg3?trazas:{s3} traza} un plan que os permitirá a ti y a los tuyos escapar sanos y salvos, pero tendrás que dejar {reg4} soldados atrás para distraer al enemigo y que no os dé caz.
mno_leave_behind|Adelante. El sacrificio de unos pocos salvará al resto.
mno_dont_leave_behind|Ni hablar. No dejaremos a nadie detrás.
menu_encounter_retreat|^^^^^Le dices a {reg4} de tus tropas que mantengan la posición y distraigan al enemigo mientras tú te retiras junto con el resto del grupo.
menu_order_attack_begin|^^^^^^ Tus tropas se preparan para atacar al enemigo.
mno_order_attack_begin|Ordenar que comience el ataque.
mno_call_back|Anunciar la retirada.
menu_order_attack_2|^{s4}^Tus bajas: {s8}^^Bajas enemigas: {s9}
mno_order_attack_continue|Ordenar a tus tropas que reanuden el ataque.
mno_order_retreat|Anunciar la retirada.
menu_kingdom_army_quest_report_to_army|{s8} te comunica que quiere que te unas a él en su nueva campaña militar. Necesitas aportar por lo menos {reg13} tropas al ejército, y debes reclutar más guerreros a la mayor brevedad en caso de que no cuentes con los efectivos suficientes.
mno_reject|Enviarle el mensaje de que estás demasiado {ocupado/ocupada}.
mno_send_word|Enviarle el mensaje de que te reunirás con él en breve.
menu_kingdom_army_quest_messenger|{s8} desea hablar contigo acerca de una tarea que quiere encomendarte. Te pide que vayas a verlo tan pronto como sea posible.
menu_kingdom_army_quest_join_siege_order|{s8} te envía el mensaje de que debes unirte al asedio de {s9} en preparación para un asalto general. Tus tropas deberán tomar {s9} a cualquier precio.
menu_kingdom_army_follow_failed|Has desobedecido órdenes directas y no has seguido a {s8}. Te envía un mensaje en el que asume que tienes otras cuestiones más urgentes que atender, pero te advierte que su paciencia tiene un límite.
menu_battle_debrief|{s11}^Tus bajas: {s8}{s10}^^Bajas enemigas: {s9}
mno_inspect_troll|Inspeccionar el troll caído
menu_pre_join|^^^^^Te encuentras con una batalla entre {s2} y {s1}. Decides...
mno_pre_join_help_attackers|Acudir en apoyo de {s2}.
mno_pre_join_help_defenders|Acudir en ayuda de {s1}.
mno_pre_join_help_refugees|Acuidr en ayuda de {s1}.
mno_pre_join_leave|No involucrarse.
menu_join_battle|^^^Estás colaborando con {s2} en la lucha contra {s1}.^ Cuentas con {reg22} tropas listas para la batalla, frente a las {reg11} del enemigo.^^La batalla tendrá lugar en {s3}{s4}.
mno_join_attack|Enfrentarse al enemigo.
mno_join_order_attack|Ordenar a tus tropas que ataquen al enemigo junto con tus aliados mientras te mantienes al margen.
mno_control_allies_join_menu|Usar Influencia para dar órdenes a tus aliados en el campo de batalla.
mno_join_attack_bearform|Lanzarte a la batalla en forma de oso.
mno_join_leave|Replegarse.
mno_player_control_allies_join_menu|Ponerlos bajo tus órdenes y enfrentarse al enemigo.
menu_join_order_attack|{s4}^^Tus bajas: {s8}^^Bajas aliadas: {s9}^^Bajas enemigas: {s10}
mno_enter|Entrar.
menu_battlefields|^^^^^^^^^Selecciona un campo...
mno_enter_f1|Campo 1
mno_enter_f2|Campo 2
mno_enter_f3|Campo 3
mno_enter_f4|Campo 4
mno_enter_f5|Campo 5
menu_join_siege_outside|^^^^^^{s1} ha sido asediado por {s2}.
mno_approach_besiegers|Acercarse al campamento de asedio.
mno_pass_through_siege|Atravesar las líneas de asedio y entrar en {s1}.
menu_cut_siege_without_fight|Los atacantes te dejan acercarte a las puertas sin problema alguno.
menu_besiegers_camp_with_allies|{s1} permanece bajo asedio. Los estandartes de {s2} ondean sobre el campamento de los sitiadores, donde tú y tus tropas sois bienvenidos.
mno_talk_to_siege_commander|Pedir una audiencia con el comandante.
mno_join_siege_with_allies|Unirse al siguiente asalto.
mno_join_siege_stay_back|Ordenar a tus tropas que se unan al próximo asalto sin tu ayuda.
menu_moria_must_escape|^^El libro parece dar cuenta del último intento de los enanos por volver a establecerse en Moria. Un intento que al parecer terminó con la cruenta muerte de todos los involucrados. Hojeando el libro, te topas con las palabras «plata auténtica». Estudiando las páginas con detenimiento de repente entiendes que son las descripciones de un alijo de cofres enanos en algún punto de los niveles inferiores. Vaya, no estaría mal descubrir el mithril enano perdido. ^Comienzas a seguir las indicaciones con entusiasmo, internándote en un estrecho y tortuoso túnel descendente...^...^Tras un par de horas de búsqueda infructuosa comprendes que te has perdido en las profundidades de Moria y necesitas encontrar una salida a la superficie como sea.
mno_moria_exit_scene|¡Encuentra un camino de salida!
menu_castle_outside|Te encuentras en las afueras de {s2}.{s11} {s3} {s4}
mno_moria_enter|Volver al salón principal de Moria a través de la entrada secreta
mno_moria_enter_door|Entrar en Moria.
mno_cheat_steal_book_door|Hacerse con el libro
mno_castle_start_siege|Asediar {reg6?la ciudad:el castillo}.
mno_castle_leave|Irse.
menu_castle_besiege|Estás asediando {s1}. {s2} {s3}
mno_siege_request_meeting|Solicitar una reunión con el comandante del castillo.
mno_wait_24_hours|Esperar hasta mañana.
mno_castle_lead_attack|Liderar a tus tropas en un asalto.
mno_attack_stay_back|Ordenar a tus tropas atacar sin tu ayuda.
mno_build_ladders|Preparar las escaleras para atacar los muros.
mno_lift_siege|Abandonar el asedio.
menu_siege_attack_meets_sally|^^^^^^Los defensores abandonan su protección para enfrentarse a ti.
menu_construct_ladders|Como miembro del grupo con la mejor habilidad de ingeniería ({reg2}), {reg3?calculas:{s3} calcula} que tardareis unas {reg4} horas en construir suficientes escalas de asedio para llevar a cabo el asalto.
mno_build_ladders_cont|Hacerlo.
menu_castle_attack_walls_simulate|{s4}^^Tus bajas: {s8}^^Bajas enemigas: {s9}
menu_castle_attack_walls_with_allies_simulate|{s4}^^Tus bajas: {s8}^^Bajas aliadas: {s9}^^Bajas enemigas: {s10}
menu_castle_taken_by_friends|Aquí no hay nada que ver.
menu_castle_taken|{s3} ha caído con la fuerza inexorable de tus tropas, y ahora tienes control absoluto de{reg2? la ciudad:l castillo}.{reg1? Podría decirse que no hay nada que te impida quedártelo...:}
menu_castle_taken_2|{s3} ha caído con la fuerza inexorable de tus tropas, y ahora tienes control absoluto del castillo. Es hora de comunicárselo a {s9}, y hacerle saber de tu noble victoria. {s5}
mno_castle_taken_no_claim|No pedir recompensa.
menu_siege_started_defender|{s1} está apunto de asaltar las murallas de {s2}. Cuentas con {reg22} tropas listas para la batalla, frente a las {reg11} del enemigo. Decides...
mno_siege_defender_join_battle|Unirse a la batalla.
mno_siege_defender_troops_join_battle|Ordenar a tus tropas unirse a la batalla sin tu ayuda.
mno_siege_defender_do_not_join_battle|No involucrarse.
menu_siege_join_defense|{s4}^^Tus bajas: {s8}^^Bajas aliadas: {s9}^^Bajas enemigas: {s10}
menu_village_hunt_down_fugitive_defeated|^^^^^Un poderoso golpe del fugitivo te derriba, tu visión flaquea y todo se vuelve oscuro. El tiempo pasa, y cuando vuelves a abrir los ojos de nuevo te encuentras {apaleado y ensangrentado/apaleada y ensangrentada}, pero por suerte ninguna de las heridas parecen ser de importancia.
menu_town_bandits_succeeded|Los trasgos caen ante ti como el trigo seco bajo la guadaña. Poco después todos tus atacantes yacen en el suelo, muertos o heridos. Seguramente la gente del lugar estará muy agradecida de que les hayas salvado de esta amenaza.
menu_town_brawl_lost|^^^^^^Te han derribado y dejado inconsciente. La gente a la que atacaste te registra en busca de objetos de valor, antes de seguir con sus vidas como si tal cosa.
menu_town_brawl_won|^^^^^Has dejado inertes en el suelo a todos los oponentes, además de a todos los guardias enviados para calmar el alboroto. Les registras rápidamente en busca de algo de valor y desapareces hasta que se bajan los ánimos.^Puede que la próxima vez te muestren más respeto y retrocedan.
menu_close|Nada.
menu_town|Has llegado a {s60}.{s12}{s13}
mno_town_menu_0|Ir a algún sitio.
mno_town_menu_0_door|Inspeccionar...
mno_town_approach|Acercarse a {s1}...
mno_town_castle|Ir a{s1}.
mno_town_castle_door|Puerta al castillo.
mno_town_center|Ir al centro de la ciudad...
mno_town_center_door|Puerta al centro de la ciudad.
mno_aw_chamber_door|Abrir la puerta.
mno_trade_with_arms_merchant|Visitar {s40}.
mno_trade_with_horse_merchant|Visitar {s41}.
mno_town_prison_door|Al campo de entrenamiento
mno_talk_to_healer|Hablar con  {s40}.
mno_talk_to_castle_commander|Visitar el cuartel de {s61}.
mno_speak_with_elder|Hablar con el {s6}.
mno_town_ask|Preguntar por gente importante...
mno_isengard_underground|Ir a las cavernas subterráneas.
mno_isengard_underground_door|Ir a las cavernas subterráneas.
mno_tirith_toplevel|Ir al nivel superior.
mno_tirith_toplevel_door|Ir a la Ciudadela
mno_erebor_gates|Visitar las Grandes Puertas.
mno_erebor_gates_door|Ir a las Grandes Puertas.
mno_glittering_caves|Ir a las Cavernas Centelleantes.
mno_glittering_caves_door|Ir a las Cavernas Centelleantes.
mno_town_leave|Irse...
mno_town_leave_door|Salir del área
mno_town_find_NPCs_cont|Hacerlo.
menu_town_find_NPCs_end|Hablando con la gente de {s2}, {reg3?has averiguado:{s3} ha averiguado} dónde se encuentran los establos locales y el almacén, la herrería, {s4} ^^{s6}
menu_player_initiated_siege_result|Atacaste este centro bajo el estandarte de {s2}.
menu_disembark|¿Quieres desembarcar?
mno_disembark_yes|Sí.
mno_disembark_no|No.
menu_ship_reembark|¿Quieres volver a embarcar?
mno_reembark_yes|Sí.
mno_reembark_no|No.
menu_center_reports|Nombre de la ciudad: {s1}^Ingresos por rentas: {reg1} denarios ^Ingresos por impuestos: {reg2} denarios^Reserva de comida: suficiente para {reg3} días
menu_sneak_into_town_suceeded|Disfrazado con los harapos de un pobre peregrino engañas a los guardias y te abres paso dentro de la población.
menu_sneak_into_town_caught|Según entras intentando escabullirte, uno de los guardias te reconoce y... ¡da la alarma! Debes huir retrocediendo hacia las puertas antes de que te encuentres frente a todos y cada uno de los guardias de la ciudad.
mno_sneak_caught_fight|¡Intenta abrirte paso luchando!
mno_sneak_caught_surrender|Rendirse.
menu_sneak_into_town_caught_dispersed_guards|Esquivas a los guardias y cubres tu rastro antes de huir a toda prisa, perdiendo a tus perseguidores en el laberinto de calles.
menu_sneak_into_town_caught_ran_away|Retrocedes rápidamente hasta las puertas y te retiras a la seguridad de las afueras de la ciudad.
menu_tld_player_defeated|^^^^^¡Un repentino dolor lacerante surca la parte de atrás de tu cabeza!^Tiemblas y te encoges, mientras el mundo se tiñe de negro a tu alrededor...^¿Será éste tu final?
menu_recover_after_death_fangorn|Te despiertas con el bosque todavía a tu alrededor. Cada hueso duele. Pero sigues vivo, de milagro.^^Fue una derrota, pero al menos tuviste la suerte de ver el resultado.^Ahora sabes de verdad que es lo que está pasando en esta foresta maldita, y vivirás para contarlo.^^Pero, ¿habrá alguien que te crea?
menu_recover_after_death_moria|^^^^^Recuperas la consciencia. Te encuentras sobre tierra suave y húmeda, el aire fresco acariciando tu cara. Los orcos debieron darte por {muerto/muerta} y te tiraron a algún pozo turbio. ^Has debido de llegar a la la superficie a través de alguna corriente subterránea.
mno_whatever|¡Levántate!
menu_recover_after_death_default|^^^^^Recuperas tu consciencia y te encuentras sólo en el mismo sitio donde caíste. Los enemigos debieron tomarte por muerto y te dejaron allí. Parece ser que ninguna de tus heridas ha sido letal, y aunque te sientes muy mal, todavía puedes caminar con normalidad. Te levantas y vas en busca de supervivientes de tu grupo.
menu_recover_after_death_town|^^^^Recuperas tu consciencia y te encuentras sólo en las afueras de la ciudad. ¡Estás vivo! Nadie parece estar cerca y tienes tu oportunidad de arrastrarte fuera del lugar. Parece ser que ninguna de tus heridas ha sido letal, y aunque te sientes muy mal, todavía puedes caminar con normalidad.
menu_recover_after_death_town_alone|Recuperas tu consciencia y te encuentras sólo en las afueras de la ciudad. ¡Estás vivo! Nadie parece estar cerca y tienes tu oportunidad de arrastrarte fuera del lugar. Tus compañeros te encuentran. Parece ser que ninguna de tus heridas ha sido letal, y aunque te sientes muy mal, todavía puedes caminar con normalidad.
menu_notification_center_under_siege|¡{s1} ha sido asediado por {s2} de {s3}!
menu_notification_one_side_left|^^^^^¡La Guerra del Anillo ha terminado!^^Las {s1} han derrotado a todos sus enemigos y se erigen victoriosas!
menu_notification_total_defeat|^^^^^¡La Guerra del Anillo ha terminado para ti! Las {s1} han sido derrotadas por sus enemigos y tu te has quedado {solo y abandonado/sola y abandonada} tras la derrota.
menu_notification_your_faction_collapsed|^^^^^¡{s11}, tu antiguo hogar, ha caído!^Pero no temas, otros aliados permanecen activos en la Guerra. Tú, junto con aquellos supervivientes de {s11} que sigan en pie, todavía podéis plantar cara al enemigo y seguir luchando por la victoria de vuestra causa.
menu_notification_faction_defeated|^^^^^¡{s1} ha caído!^{s1} ya no existe, gracias los esfuerzos combinados de {s13}.
