pt_rescued_prisoners|Prisioneros rescatados
pt_rohan_raiders|Cazadores Rohirrim
pt_imladris_raiders|Cazadores de Rivendel
pt_lorien_raiders|Cazadores de Lothlórien
pt_woodelf_raiders|Cazadores del Bosque Negro
pt_dale_raiders|Cazadores de Valle
pt_dwarf_raiders|Cazadores enanos
pt_ranger_raiders|Incursores Montaraces
pt_morgul_raiders|Incursores de Morgul
pt_mordor_raiders|Incursores de Mordor
pt_isengard_raiders|Incursores de Isengard
pt_dunland_raiders|Incursores dunledinos
pt_harad_raiders|Incursores Haradrim
pt_khand_raiders|Incursores de Khand
pt_umbar_raiders|Incursores de Umbar
pt_moria_raiders|Incursores de Moria
pt_guldur_raiders|Incursores de Dol Guldur
pt_gundabad_raiders|Incursores de Gundabad
pt_rhun_raiders|Incursores de Rhûn
pt_gondor_patrol|Patrulla de Gondor
pt_rohan_patrol|Patrulla de Rohan
pt_imladris_patrol|Patrulla Dúnedain
pt_lorien_patrol|Patrulla de Lothlórien
pt_woodelf_patrol|Patrulla del Bosque Negro
pt_dale_patrol|Patrulla de Valle
pt_esgaroth_patrol|Patrulla de Esgaroth
pt_dwarf_patrol|Patrulla enana
pt_ranger_patrol|Patrulla de Montaraces
pt_amroth_patrol|Patrulla de Dol Amroth
pt_pelargir_patrol|Patrulla de Pelargir
pt_lossarnach_patrol|Patrulla de Lossarnach
pt_brv_patrol|Patrulla del Valle de la Raíz Negra
pt_pinnath_patrol|Patrulla de Pinnath
pt_lamedon_patrol|Patrulla de Lamedon
pt_mordor_war_party|Tropa de Mordor
pt_isengard_war_party|Tropa de Isengard
pt_harad_war_party|Tropa Haradrim
pt_dunland_war_party|Tropa Dunlendina
pt_khand_war_party|Tropa de Khand
pt_moria_war_party|Tropa de Moria
pt_guldur_war_party|Tropa de Dol Guldur
pt_rhun_war_party|Tropa de Rhûn
pt_gondor_company|Patrulla de Minas Tirith
pt_rohan_company|Compañía de Rohan
pt_imladris_company|Compañía de Rivendel
pt_lorien_company|Compañía de Lothlórien
pt_woodelf_company|Compañía del Bosque Negro
pt_dale_company|Compañía de Valle
pt_dwarf_company|Compañía enana
pt_gondor_elite_company|Compañía de élite de Gondor
pt_rohan_elite_company|Compañía de élite de Rohan
pt_imladris_elite_company|Compañía de élite de Rivendel
pt_lorien_elite_company|Compañía de élite de Lothlórien
pt_woodelf_elite_company|Compañía de élite del Bosque Negro
pt_dale_elite_company|Compañía de élite de Valle
pt_dwarf_elite_company|Compañía de élite enana
pt_gondor_caravan|Caravana de Gondor
pt_rohan_caravan|Caravana de Rohan
pt_imladris_caravan|Caravana de Rivendel
pt_lorien_caravan|Caravana de Lothlórien
pt_woodelf_caravan|Caravana del Bosque Negro
pt_dale_caravan|Caravana de Valle
pt_dwarf_caravan|Caravana enana
pt_mordor_caravan|Caravana de suministros de Mordor
pt_isengard_caravan|Caravana de suministros de Isengard
pt_gunda_caravan|Caravana de suministros de Gundabad
pt_gondor_p_train|Caravana de prisioneros de Gondor
pt_rohan_p_train|Caravana de prisioneros de Rohan
pt_imladris_p_train|Caravana de prisioneros de Rivendel
pt_lorien_p_train|Caravana de prisioneros de Lothlórien
pt_woodelf_p_train|Caravana de prisioneros del Bosque Negro
pt_dale_p_train|Caravana de prisioneros de Valle
pt_dwarf_p_train|Caravana Enana de prisioneros
pt_mordor_p_train|Caravana de prisioneros de Mordor
pt_isengard_p_train|Caravana de prisioneros de Isengard
pt_kingdom_hero_party|Tropa
pt_caravan_survivors|Supervivientes de la caravana
pt_routed_allies|Aliados huidos
pt_routed_enemies|Enemigos huidos
pt_legion_minas_morgul|Legión de Minas Morgul
pt_legion_udun|Legión de Udûn
pt_legion_gorgoroth|Legión de Gorgoroth
pt_legion_barad_dur|Legión de Barad-Dûr
pt_beorn_messenger|Mensajero Beórnida
pt_village|Aldea
pt_ring_hunters|Caza-anillos
pt_scout_camp_small|Campamento de exploradores
pt_scout_camp_large|Campamento de exploradores fortificado
pt_beorn_caravan|Caravana de Hombres de los Bosques
pt_orc_horde|Horda orca
pt_volunteers|Reservas
pt_refugees|Refugiados
pt_retreat_troops|Tropas de cobertura
pt_radagast|Jinete solitario
