trp_unarmed_troop|Tropa desarmada
trp_i1_rhun_tribesman_pl|Miembros de las tribus de Rhûn
trp_ac2_rhun_horse_scout|Explorador a caballo de Rhûn
trp_ac2_rhun_horse_scout_pl|Exploradores a caballo de Rhûn
trp_ac3_rhun_horse_archer|Arquero a caballo de Rhûn
trp_ac3_rhun_horse_archer_pl|Arqueros a caballo de Rhûn
trp_ac4_rhun_veteran_horse_archer|Arquero a caballo veterano de Rhûn
trp_ac4_rhun_veteran_horse_archer_pl|Arqueros a caballo veteranos de Rhûn
trp_ac5_rhun_balchoth_horse_archer|Arquero a caballo Balchoth
trp_ac5_rhun_balchoth_horse_archer_pl|Arqueros a caballo Balchoth
trp_c3_rhun_swift_horseman|Jinete veloz de Rhûn
trp_c3_rhun_swift_horseman_pl|Jinetes veloces de Rhûn
trp_c4_rhun_veteran_swift_horseman|Jinete veloz veterano de Rhûn
trp_c4_rhun_veteran_swift_horseman_pl|Jinetes veloces veteranos de Rhûn
trp_c5_rhun_falcon_horseman|Jinete Halcón
trp_c5_rhun_falcon_horseman_pl|Jinetes Halcón
trp_i2_rhun_tribal_warrior|Guerrero tribal de Rhûn
trp_i2_rhun_tribal_warrior_pl|Guerreros tribales de Rhûn
trp_i3_rhun_tribal_infantry|Guerrero tribal de Rhûn
trp_i3_rhun_tribal_infantry_pl|Guerreros tribales de Rhûn
trp_i4_rhun_vet_infantry|Infante veterano de Rhûn
trp_i4_rhun_vet_infantry_pl|Infantería veterana de Rhûn
trp_i5_rhun_ox_warrior|Guerrero del Buey
trp_i5_rhun_ox_warrior_pl|Guerreros del Buey
trp_c2_rhun_horseman|Jinete de Rhûn
trp_c2_rhun_horseman_pl|Jinetes de Rhûn
trp_c3_rhun_outrider|Batidor de Rhûn
trp_c3_rhun_outrider_pl|Batidores de Rhûn
trp_c4_rhun_noble_rider|Jinete noble de Rhûn
trp_c4_rhun_noble_rider_pl|Jinetes nobles de Rhûn
trp_c5_rhun_warrider|Jinete guerrero de Rhûn
trp_c5_rhun_warrider_pl|Jinetes guerreros de Rhûn
trp_c6_rhun_warlord|Señor de la guerra de Rhûn
trp_c6_rhun_warlord_pl|Señores de la guerra de Rhûn
trp_i1_dwarf_apprentice|Aprendiz enano
trp_i1_dwarf_apprentice_pl|Aprendices enanos
trp_i2_dwarf_warrior|Guerrero enano
trp_i2_dwarf_warrior_pl|Guerreros enanos
trp_i3_dwarf_hardened_warrior|Guerrero enano curtido
trp_i3_dwarf_hardened_warrior_pl|Guerreros enanos curtidos
trp_i4_dwarf_spearman|Lancero enano
trp_i4_dwarf_spearman_pl|Lanceros enanos
trp_i5_dwarf_pikeman|Piquero enano
trp_i5_dwarf_pikeman_pl|Piqueros enanos
trp_i6_dwarf_longpikeman|Piquero pesado enano
trp_i6_dwarf_longpikeman_pl|Piqueros pesados enanos
trp_i4_dwarf_axeman|Hachero enano
trp_i4_dwarf_axeman_pl|Hacheros enanos
trp_i5_dwarf_expert_axeman|Hachero enano experto
trp_i5_dwarf_expert_axeman_pl|Hacheros enanos expertos
trp_i6_dwarf_longbeard_axeman|Hachero enano Barbiluengo 
trp_i6_dwarf_longbeard_axeman_pl| Hacheros enanos Barbaluengos
trp_a2_dwarf_lookout|Vigía enano
trp_a2_dwarf_lookout_pl|Vigías enanos
trp_a3_dwarf_scout|Explorador enano
trp_a3_dwarf_scout_pl|Exploradores enanos 
trp_a4_dwarf_bowman|Enano con arco
trp_a4_dwarf_bowman_pl|Enanos con arco
trp_i6_dwarf_longaxeman|Enano hachalarga
trp_i6_dwarf_longaxeman_pl|Enanos hachalarga
trp_i3_iron_hills_warrior|Guerrero de las Colinas de Hierro
trp_i3_iron_hills_warrior_pl|Guerreros de las Colinas de Hierro
trp_i2_iron_hills_miner|Minero de las Colinas de Hierro
trp_i2_iron_hills_miner_pl|Mineros de las Colinas de Hierro
trp_i4_iron_hills_infantry|Infante de las Colinas de Hierro
trp_i4_iron_hills_infantry_pl|Infantes de las Colinas de Hierro
trp_i5_iron_hills_battle_dwarf|Enano batallador de las Colinas de Hierro
trp_i5_iron_hills_battle_dwarf_pl|Enanos batalladores de las Colinas de Hierro
trp_i6_iron_hills_grors_guard|Guardia de Gror
trp_i6_iron_hills_grors_guard_pl|Guardias de Gror
trp_i1_gon_levy|Recluta de Gondor
trp_i1_gon_levy_pl|Reclutas de Gondor
trp_i2_gon_watchman|Guardia de Gondor
trp_i2_gon_watchman_pl|Guardias de Gondor
trp_i3_gon_footman|Infante de Gondor
trp_i3_gon_footman_pl|Infantería de Gondor
trp_i4_gon_spearman|Lancero de Gondor
trp_i4_gon_spearman_pl|Lanceros de Gondor
trp_i5_gon_vet_spearman|Lancero veterano de Gondor
trp_i5_gon_vet_spearman_pl|Lanceros veteranos de Gondor
trp_i6_gon_tower_spearman|Guardia del Patio del Manantial
trp_i6_gon_tower_spearman_pl|Guardias del Patio del Manantial
trp_i4_gon_swordsman|Espadachín de Gondor
trp_i4_gon_swordsman_pl|Espadachines de Gondor
trp_i5_gon_vet_swordsman|Espadachín veterano de Gondor
trp_i5_gon_vet_swordsman_pl|Espadachines veteranos de Gondor
trp_i6_gon_tower_swordsman|Espadachín de la Guardia de la Torre
trp_i6_gon_tower_swordsman_pl|Espadachines de la Guardia de la Torre
trp_c1_gon_nobleman|Noble de Gondor
trp_c1_gon_nobleman_pl|Noble de Gondor
trp_c2_gon_squire|Escudero de Gondor
trp_c2_gon_squire_pl|Escuderos de Gondor
trp_c3_gon_vet_squire|Escudero veterano de Gondor
trp_c3_gon_vet_squire_pl|Escuderos veteranos de Gondor
trp_c4_gon_knight|Caballero de Gondor 
trp_c4_gon_knight_pl|Caballeros de Gondor 
trp_c5_gon_vet_knight|Caballero veterano de Gondor
trp_c5_gon_vet_knight_pl|Caballeros veteranos de Gondor
trp_c6_gon_tower_knight|Caballero de la Ciudadela
trp_c6_gon_tower_knight_pl|Caballeros de la Ciudadela
trp_a3_gon_bowman|Hombre con arco de Gondor
trp_a3_gon_bowman_pl|Hombres con arco de Gondor
trp_a4_gon_archer|Arquero de Gondor
trp_a4_gon_archer_pl|Arqueros de Gondor
trp_a5_gon_vet_archer|Arquero veterano de Gondor
trp_a5_gon_vet_archer_pl|Arqueros veteranos de Gondor
trp_a6_gon_tower_archer|Arquero de la Guardia de la Torre
trp_a6_gon_tower_archer_pl|Arqueros de la Guardia de la Torre
trp_steward_guard|Guardia del Senescal
trp_steward_guard_pl|Guardias del Senescal
trp_a4_ithilien_ranger|Montaraz de Ithilien
trp_a4_ithilien_ranger_pl|Montaraces de Ithilien
trp_a5_ithilien_vet_ranger|Montaraz veterano de Ithilien
trp_a5_ithilien_vet_ranger_pl|Montaraces veteranos de Ithilien
trp_a6_ithilien_master_ranger|Montaraz experto de Ithilien
trp_a6_ithilien_master_ranger_pl|Montaraces expertos de Ithilien
trp_a6_ithilien_leader|Capitán de los Montaraces de Ithilien
trp_a6_ithilien_leader_pl|Capitanes de los Montaraces de Ithilien
trp_i1_loss_woodsman|Leñador de Lossarnach
trp_i1_loss_woodsman_pl|Leñadores de Lossarnach
trp_i2_loss_axeman|Hachero de Lossarnach
trp_i2_loss_axeman_pl|Hacheros de Lossarnach 
trp_i3_loss_vet_axeman|Hachero veterano de Lossarnach
trp_i3_loss_vet_axeman_pl|Hacheros veteranos de Lossarnach
trp_i4_loss_heavy_axeman|Hachero pesado de Lossarnach
trp_i4_loss_heavy_axeman_pl|Hacheros pesados de Lossarnach 
trp_i5_loss_axemaster|Maestro hachero de Lossarnach
trp_i5_loss_axemaster_pl|Maestros hacheros de Lossarnach
trp_i6_loss_leader|Capitán de Lossarnach
trp_i6_loss_leader_pl|Capitanes de Lossarnach
trp_i1_pel_watchman|Vigía de Pelargir
trp_i1_pel_watchman_pl|Vigías de Pelargir
trp_a2_pel_marine|Infante de marina de Pelargir
trp_a2_pel_marine_pl|Infantes de marina de Pelargir
trp_a3_pel_vet_marine|Infante de marina veterano de Pelargir
trp_a3_pel_vet_marine_pl|Infantes de marina veteranos de Pelargir
trp_i2_pel_infantry|Infante de Pelargir
trp_i2_pel_infantry_pl|Infantes de Pelargir
trp_i3_pel_vet_infantry|Infante veterano de Pelargir
trp_i3_pel_vet_infantry_pl|Infantes veterana de Pelargir
trp_i6_pel_leader|Capitán de Pelargir
trp_i6_pel_leader_pl|Capitanes de Pelargir
trp_a6_pel_marine_leader|Capitán de infantería de marina de Pelargir
trp_a6_pel_marine_leader_pl|Capitanes de infantería de marina de Pelargir
trp_i1_lam_clansman|Miembro de los clanes de Lamedon
trp_i1_lam_clansman_pl|Miembros de los clanes de Lamedon
trp_i2_lam_footman|Infante de Lamedon
trp_i2_lam_footman_pl|Infantería de Lamedon
trp_i3_lam_veteran|Veterano de Lamedon
trp_i3_lam_veteran_pl|Veterano de Lamedon
trp_i4_lam_warrior|Guerrero de Lamedon
trp_i4_lam_warrior_pl|Guerreros de Lamedon
trp_i5_lam_champion|Campeón de Lamedon
trp_i5_lam_champion_pl|Campeones de Lamedon
trp_c5_lam_knight|Caballero de Lamedon
trp_c5_lam_knight_pl|Caballeros de Lamedon
trp_c6_lam_leader|Capitán de Lamedon
trp_c6_lam_leader_pl|Capitanes de Lamedon
trp_i1_pinnath_plainsman|Llanero de Pinnath Gelin
trp_i1_pinnath_plainsman_pl|Llaneros de Pinnath Gelin
trp_c2_pinnath_rider|Jinete de Pinath Gelin
trp_c2_pinnath_rider_pl|Jinetes de Pinath Gelin
trp_c3_pinnath_knight|Caballero de Pinath Gelin
trp_c3_pinnath_knight_pl|Caballeros de Pinath Gelin
trp_a2_pinnath_bowman|Hombre con arco de Pinnath Gelin
trp_a2_pinnath_bowman_pl|Hombres con arco de Pinnath Gelin
trp_a3_pinnath_archer|Arquero de Pinnath Gelin
trp_a3_pinnath_archer_pl|Arqueros de Pinnath Gelin
trp_c6_pinnath_leader|Capitán de Pinnath Gelin
trp_c6_pinnath_leader_pl|Capitanes de Pinnath Gelin
trp_a1_blackroot_hunter|Cazador del Valle de la Raíz Negra
trp_a1_blackroot_hunter_pl|Cazadores del Valle de la Raíz Negra
trp_a2_blackroot_bowman|Hombre con arco del Valle de la Raíz Negra
trp_a2_blackroot_bowman_pl|Hombres con arco del Valle de la Raíz Negra
trp_a3_blackroot_archer|Arquero del Valle de la Raíz Negra
trp_a3_blackroot_archer_pl|Arqueros del Valle de la Raíz Negra
trp_i2_blackroot_footman|Infante del Valle de la Raíz Negra
trp_i2_blackroot_footman_pl|Infantería del Valle de la Raíz Negra
trp_i3_blackroot_spearman|Lancero del Valle de la Raíz Negra
trp_i3_blackroot_spearman_pl|Lanceros del Valle de la Raíz Negra
trp_a5_blackroot_shadow_hunter|Cazador de sombras del Morthond
trp_a5_blackroot_shadow_hunter_pl|Cazadores de sombras del Morthond
trp_i1_amroth_recruit|Recluta de Dol Amroth
trp_i1_amroth_recruit_pl|Reclutas de Dol Amroth
trp_c2_amroth_squire|Escudero de Dol Amroth
trp_c2_amroth_squire_pl|Escuderos de Dol Amroth
trp_c3_amroth_vet_squire|Escudero veterano de Dol Amroth
trp_c3_amroth_vet_squire_pl|Escuderos veteranos de Dol Amroth
trp_c4_amroth_knight|Caballero de Dol Amroth
trp_c4_amroth_knight_pl|Caballeros de Dol Amroth
trp_c5_amroth_vet_knight|Caballero veterano de Dol Amroth
trp_c5_amroth_vet_knight_pl|Caballeros veterano de Dol Amroth
trp_c6_amroth_swan_knight|Caballero del Cisne de Dol Amroth
trp_c6_amroth_swan_knight_pl|Caballeros del Cisne de Dol Amroth
trp_c6_amroth_leader|Capitán de Dol Amroth
trp_c6_amroth_leader_pl|Capitanes de Dol Amroth
trp_a1_lorien_scout|Explorador de Lórien
trp_a1_lorien_scout_pl|Exploradores de Lórien
trp_a2_lorien_warden|Guardián de Lórien
trp_a2_lorien_warden_pl|Guardianes de Lórien
trp_a3_lorien_vet_warden|Guardián veterano de Lórien
trp_a3_lorien_vet_warden_pl|Guardianes veteranos de Lórien
trp_a4_lorien_gal_warden|Guardián Galadhrim
trp_a4_lorien_gal_warden_pl|Guardianes Galadhrim
trp_a5_lorien_gal_royal_warden|Guardián real Galadhrim
trp_a5_lorien_gal_royal_warden_pl|Guardianes reales Galadhrim
trp_a6_lorien_grey_warden|Guardián Gris
trp_a6_lorien_grey_warden_pl|Guardianes Grises
trp_galadhrim_royal_marksman|Tirador real Galadhrim
trp_galadhrim_royal_marksman_pl|Tiradores reales Galadhrim
trp_noldorin_mounted_archer|Arquero montado Noldorin
trp_noldorin_mounted_archer_pl|Arqueros montados Noldorin
trp_a2_lorien_archer|Arquero de Lórien
trp_a2_lorien_archer_pl|Arqueros de Lórien
trp_a3_lorien_vet_archer|Arquero veterano de Lórien
trp_a3_lorien_vet_archer_pl|Arqueros veteranos de Lórien
trp_a4_lorien_gal_archer|Arquero Galadhrim
trp_a4_lorien_gal_archer_pl|Arqueros Galadhrim
trp_a5_lorien_gal_royal_archer|Tirador real Galadhrim
trp_a5_lorien_gal_royal_archer_pl|Tiradores reales Galadhrim
trp_i3_lorien_inf|Infante de Lórien
trp_i3_lorien_inf_pl|Infantes de Lórien
trp_i4_lorien_gal_inf|Infante Galadhrim
trp_i4_lorien_gal_inf_pl|Infantes Galadhrim
trp_i5_lorien_gal_royal_inf|Guardia Real Galadhrim
trp_i5_lorien_gal_royal_inf_pl|Guardias Reales Galadhrim
trp_lothlorien_standard_bearer|Portaestandarte de Lórien
trp_lothlorien_standard_bearer_pl|Portaestandartes de Lórien
trp_a1_greenwood_scout|Explorador del Bosque Verde
trp_a1_greenwood_scout_pl|Exploradores del Bosque Verde
trp_a2_greenwood_veteran_scout|Explorador veterano del Bosque Verde
trp_a2_greenwood_veteran_scout_pl|Exploradores veteranos del Bosque Verde
trp_a3_greenwood_archer|Arquero del Bosque Verde
trp_a3_greenwood_archer_pl|Arqueros del Bosque Verde
trp_a4_greenwood_veteran_archer|Arquero veterano del Bosque Verde
trp_a4_greenwood_veteran_archer_pl|Arqueros veteranos del Bosque Verde
trp_a5_greenwood_master_archer|Maestro arquero del Bosque Verde
trp_a5_greenwood_master_archer_pl|Maestros arqueros del Bosque Verde
trp_a6_greenwood_chosen_marksman|Tirador selecto de Thranduil
trp_a6_greenwood_chosen_marksman_pl|Tiradores selectos de Thranduil
trp_a3_greenwood_sentinel|Centinela del Bosque Verde
trp_a3_greenwood_sentinel_pl|Centinelas del Bosque Verde
trp_a4_greenwood_vet_sentinel|Centinela veterano del Bosque Verde
trp_a4_greenwood_vet_sentinel_pl|Centinelas veteranos del Bosque Verde
trp_a5_greenwood_vigilant|Defensor del Bosque Verde
trp_a5_greenwood_vigilant_pl|Defensores del Bosque Verde
trp_i2_greenwood_infantry|Infante del Bosque Verde
trp_i2_greenwood_infantry_pl|Infantes del Bosque Verde
trp_i3_greenwood_vet_infantry|Infante veterano del Bosque Verde
trp_i3_greenwood_vet_infantry_pl|Infantes veterana del Bosque Verde
trp_i4_greenwood_elite_infantry|Infante de élite del Bosque Verde
trp_i4_greenwood_elite_infantry_pl|Infantes de élite del Bosque Verde
trp_i5_greenwood_chosen_shieldmaster|Escudero selecto de Thranduil
trp_i5_greenwood_chosen_shieldmaster_pl|Escuderos selectos de Thranduil
trp_i5_greenwood_chosen_spearmaster|Lancero selecto de Thranduil
trp_i5_greenwood_chosen_spearmaster_pl|Lanceros selectos de Thranduil
trp_i5_greenwood_standard_bearer|Portaestandarte del Bosque Verde
trp_i5_greenwood_standard_bearer_pl|Portaestandartes del Bosque Verde
trp_a1_riv_scout|Explorador de Rivendel
trp_a1_riv_scout_pl|Exploradores de Rivendel
trp_a2_riv_vet_scout|Explorador veterano de Rivendel
trp_a2_riv_vet_scout_pl|Exploradores veteranos de Rivendel
trp_a3_riv_archer|Arqueo de Rivendel
trp_a3_riv_archer_pl|Arqueros de Rivendel
trp_a4_riv_vet_archer|Arquero veterano de Rivendel
trp_a4_riv_vet_archer_pl|Arqueros veteranos de Rivendel
trp_a5_riv_master_archer|Maestro arquero de Rivendel
trp_a5_riv_master_archer_pl|Maestros arqueros de Rivendel
trp_a6_riv_guardian|Guardián de Imladris
trp_a6_riv_guardian_pl|Guardianes de Imladris
trp_i3_riv_swordbearer|Infante de Rivendel
trp_i3_riv_swordbearer_pl|Infantes de Rivendel
trp_i4_riv_vet_swordbearer|Infante veterano de Rivendel
trp_i4_riv_vet_swordbearer_pl|Infantes veteranos de Rivendel
trp_i5_riv_swordmaster|Infante de élite de Rivendel
trp_i5_riv_swordmaster_pl|Infantes de élite de Rivendel
trp_i6_riv_champion|Campeón de Imladris
trp_i6_riv_champion_pl|Campeones de Imladris
trp_ac5_riv_rider|Jinete de Rivendel
trp_ac5_riv_rider_pl|Jinetes de Rivendel
trp_ac6_riv_knight|Caballero de Imladris
trp_ac6_riv_knight_pl|Caballeros de Imladris
trp_i6_rivendell_standard_bearer|Portaestandarte de Rivendel
trp_i6_rivendell_standard_bearer_pl|Portaestandartes de Rivendel
trp_a1_arnor_scout|Explorador Dúnadan
trp_a1_arnor_scout_pl|Exploradores Dúnedain
trp_a2_arnor_vet_scout|Rastreador Dúnadan
trp_a2_arnor_vet_scout_pl|Rastreadores Dúnedain
trp_i3_arnor_swordsman|Espadachín Dúnadan
trp_i3_arnor_swordsman_pl|Espadachines Dúnedain
trp_i4_arnor_vet_swordsman| Espadachín Dúnadan veterano
trp_i4_arnor_vet_swordsman_pl|Espadachines Dúnedain veteranos
trp_i5_arnor_champion|Campeón de Arnor
trp_i5_arnor_champion_pl|Campeones de Arnor
trp_c4_arnor_horseman|Jinete Dúnadan
trp_c4_arnor_horseman_pl|Jinetes Dúnedain
trp_c5_arnor_knight|Caballero de Arnor
trp_c5_arnor_knight_pl|Caballeros de Arnor
trp_a3_arnor_ranger|Montaraz Dúnadan
trp_a3_arnor_ranger_pl|Montaraces Dúnedain
trp_a4_arnor_vet_ranger|Montaraz Dúnadan veterano
trp_a4_arnor_vet_ranger_pl|Montaraces Dúnedain veteranos
trp_a5_arnor_master_ranger|Montaraz experto de Arnor
trp_a5_arnor_master_ranger_pl|Montaraces expertos de Arnor
trp_i1_rohan_youth|Joven de Rohan
trp_i1_rohan_youth_pl|Jóvenes de Rohan
trp_i2_guardsman_of_rohan|Guardia de Rohan
trp_i2_guardsman_of_rohan_pl|Guardias de Rohan
trp_i3_footman_of_rohan|Infante de Rohan
trp_i3_footman_of_rohan_pl|Infantes de Rohan
trp_i4_veteran_footman_of_rohan|Infante veterano de Rohan
trp_i4_veteran_footman_of_rohan_pl|Infantes veterana de Rohan
trp_i5_elite_footman_of_rohan|Infante de élite de Rohan
trp_i5_elite_footman_of_rohan_pl|Infantes de élite de Rohan
trp_i6_footman_guard_of_rohan|Guardia Folcwine de Rohan
trp_i6_footman_guard_of_rohan_pl|Guardias Folcwine de Rohan
trp_i6_frealaf_raider|Incursor Fréaláf de Rohan
trp_i6_frealaf_raider_pl|Incursores Fréaláf de Rohan
trp_i5_raider_of_rohan|Incursor de Rohan
trp_i5_raider_of_rohan_pl|Incursores de Rohan
trp_i6_warden_of_methuseld|Guardián de Meduseld
trp_i6_warden_of_methuseld_pl|Guardianes de Meduseld
trp_ac3_skirmisher_of_rohan|Escaramuzador de Rohan
trp_ac3_skirmisher_of_rohan_pl|Escaramuzadores de Rohan
trp_ac4_veteran_skirmisher_of_rohan|Escaramuzador veterano de Rohan
trp_ac4_veteran_skirmisher_of_rohan_pl|Escaramuzadores veteranos de Rohan
trp_ac5_elite_skirmisher_of_rohan|Escaramuzador de élite de Rohan
trp_ac5_elite_skirmisher_of_rohan_pl|Escaramuzadores de élite de Rohan
trp_ac6_skirmisher_guard_of_rohan|Guardia Thengel de Rohan
trp_ac6_skirmisher_guard_of_rohan_pl|Guardias Thengel de Rohan
trp_c4_lancer_of_rohan|Lancero de Rohan
trp_c4_lancer_of_rohan_pl|Lanceros de Rohan
trp_c5_elite_lancer_of_rohan|Lancero de éite de Rohan
trp_c5_elite_lancer_of_rohan_pl|Lanceros de élite de Rohan
trp_c6_lancer_guard_of_rohan|Guardia Brego de Rohan
trp_c6_lancer_guard_of_rohan_pl|Guardias Brego de Rohan
trp_c6_king_s_man_of_rohan|Guardia del Rey
trp_c6_king_s_man_of_rohan_pl|Guardias del Rey
trp_c2_squire_of_rohan|Escudero de Rohan
trp_c2_squire_of_rohan_pl|Escuderos de Rohan
trp_c3_rider_of_rohan|Jinete de Rohan
trp_c3_rider_of_rohan_pl|Jinetes de Rohan
trp_c4_veteran_rider_of_rohan|Jinete veterano de Rohan
trp_c4_veteran_rider_of_rohan_pl|Jinetes veteranos de Rohan
trp_c5_elite_rider_of_rohan|Jinete de élite de Rohan
trp_c5_elite_rider_of_rohan_pl|Jinetes de élite de Rohan
trp_c6_rider_guard_of_rohan|Guardia Eorl de Rohan
trp_c6_rider_guard_of_rohan_pl|Guardias Eorl de Rohan
trp_i6_2h_guard_of_rohan|Guardia Helm de Rohan
trp_i6_2h_guard_of_rohan_pl|Guardias Helm de Rohan
trp_ac3_dism_skirmisher_of_rohan2|Escaramuzador de Rohan
trp_ac3_dism_skirmisher_of_rohan2_pl|Escaramuzadores de Rohan
trp_ac4_dism_veteran_skirmisher_of_rohan2|Escaramuzador veterano de Rohan
trp_ac4_dism_veteran_skirmisher_of_rohan2_pl|Escaramuzadores veteranos de Rohan
trp_ac5_dism_elite_skirmisher_of_rohan2|Escaramuzador de élite de Rohan
trp_ac5_dism_elite_skirmisher_of_rohan2_pl|Escaramuzadores de élite de Rohan
trp_i1_harad_levy|Recluta de Harad
trp_i1_harad_levy_pl|Reclutas de Harad
trp_i3_harad_infantry|Infante ligero Haradrim
trp_i3_harad_infantry_pl|Infantes ligeros Haradrim
trp_i4_harad_spearman|Lancero de Harad
trp_i4_harad_spearman_pl|Lanceros de Harad
trp_i5_harad_tiger_guard|Guardia Tigre
trp_i5_harad_tiger_guard_pl|Guardias Tigre
trp_i4_harad_swordsman|Espadachín de Harad
trp_i4_harad_swordsman_pl|Espadachines de Harad
trp_i5_harad_lion_guard|Guardia León
trp_i5_harad_lion_guard_pl|Guardias León
