pt_rescued_prisoners|Osvobozeni zajatci
pt_guldur_scouts|Dol Guldursti pruzkumnici
pt_gundabad_scouts|Pruzkumnici z Gundabadu
pt_rhun_scouts|Rhunsti pruzkumnici
pt_gondor_raiders|Gondorsti zasobovaci
pt_rohan_raiders|Rohirsti zasobovaci
pt_imladris_raiders|Zasobovaci z Roklinky
pt_lorien_raiders|Loriensti zasobovaci
pt_woodelf_raiders|Lesni elfi zasobovaci
pt_dale_raiders|Zasobovaci z Dolu
pt_dwarf_raiders|Trpaslici zasobovaci
pt_ranger_raiders|Hranicarsti najezdnici
pt_morgul_raiders|Morgulsti najezdnici
pt_mordor_raiders|Mordorsti najezdnici
pt_isengard_raiders|Sarumanovi najezdnici
pt_dunland_raiders|Vrchovecti najezdnici
pt_harad_raiders|Haradsti najezdnici
pt_khand_raiders|Najezdnici z Khandu
pt_umbar_raiders|Umbarsti najezdnici
pt_moria_raiders|Morijsti najezdnici
pt_guldur_raiders|Najezdnici z Dol Gulduru
pt_gundabad_raiders|Najezdnici z Gundabadu
pt_rhun_raiders|Najezdnici z Rhunu
pt_gondor_patrol|Gondorska patrola
pt_rohan_patrol|Rohanska patrola
pt_imladris_patrol|Dunadanska patrola
pt_lorien_patrol|Lorienska patrola
pt_woodelf_patrol|Lesni elfi patrola
pt_dale_patrol|Dolska patrola
pt_esgaroth_patrol|Esgarothska patrola
pt_dwarf_patrol|Trpaslici patrola
pt_ranger_patrol|Hranicarska patrola
pt_amroth_patrol|Dol Amrothska patrola
pt_pelargir_patrol|Pelargirska patrola
pt_lossarnach_patrol|Lossarnasska patrola
pt_brv_patrol|Cernokoranska patrola
pt_pinnath_patrol|Pinnath Gelinska patrola
pt_lamedon_patrol|Lamedonska patrola
pt_mordor_war_party|Mordorska armada
pt_isengard_war_party|Sarumanova armada
pt_harad_war_party|Haradska armada
pt_dunland_war_party|Vrchovecka armada
pt_khand_war_party|Variazska armada
pt_moria_war_party|Morijska armada
pt_dale_war_party|Armada z Dolu
pt_rhun_war_party|Armada z Rhunu
pt_gondor_company|Patrola z Minas Tirith
pt_rohan_company|Rohanska druzina
pt_imladris_company|Druzina z Roklinky
pt_lorien_company|Lorienska druzina
pt_woodelf_company|Lesni elfi druzina
pt_dale_company|Druzina z Dolu
pt_dwarf_company|Trpaslici druzina
pt_gondor_elite_company|Gondorska elitni druzina
pt_rohan_elite_company|Rohanska elitni druzina
pt_imladris_elite_company|Elitni druzina z Roklinky
pt_lorien_elite_company|Lorienska elitni druzina
pt_woodelf_elite_company|Lesni elfi elitni druzina
pt_dale_elite_company|Elitni druzina z Dolu
pt_dwarf_elite_company|Trpaslici elitni druzina
pt_gondor_caravan|Gondorska karavana
pt_rohan_caravan|Rohanska karavana
pt_imladris_caravan|Karavana z Roklinky
pt_lorien_caravan|Lorienska karavana
pt_woodelf_caravan|Lesni elfi karavana
pt_dale_caravan|Karavana z Dolu
pt_dwarf_caravan|Trpaslici karavana
pt_mordor_caravan|Mordorsky zasobovaci konvoj
pt_isengard_caravan|Sarumanuv zasobovaci konvoj
pt_gunda_caravan|Zasobovaci konvoj z Gundabadu
pt_gondor_p_train|Gondorska zajatecka kolona
pt_rohan_p_train|Rohanska zajatecka kolona
pt_imladris_p_train|Zajatecka kolona z Roklinky
pt_lorien_p_train|Lorienska zajatecka kolona
pt_woodelf_p_train|Lesni elfi zajatecka kolona
pt_dale_p_train|Zajatecka kolona z Dolu
pt_dwarf_p_train|Trpaslici zajatecka kolona
pt_mordor_p_train|Mordorska zajatecka kolona
pt_isengard_p_train|Sarumanova zajatecka kolona
pt_kingdom_hero_party|Armada
pt_caravan_survivors|Prezivsi z karavany
pt_routed_allies|Rozpraseni spojenci
pt_routed_enemies|Rozpraseni nepratele
pt_legion_minas_morgul|Legie z Minas Morgul
pt_legion_udun|Legie Udunu
pt_legion_gorgoroth|Legie z Gorgorothu
pt_legion_barad_dur|Legie z Barad-Dur
pt_beorn_messenger|Posel Meddedovcu
pt_village|vesnice
pt_ring_hunters|hledači prstenu
