trp_unarmed_troop|Neozbrojeny vojak
trp_i4_iron_hills_infantry_pl|Pesak Zeleznych hor
trp_i5_iron_hills_battle_infantry|Bojovy trpaslik Zeleznych hor
trp_i5_iron_hills_battle_infantry_pl|Bojovni trpaslici Zeleznych hor
trp_i6_grors_guard|Groruv strazny
trp_i6_grors_guard_pl|Grorova straz
trp_gondor_commoner|Gondorský branec
trp_gondor_commoner_pl|Gondorští branci
trp_gondor_militiamen|Gondorská hlídka
trp_gondor_militiamen_pl|Gondorská hlídka
trp_footmen_of_gondor|Pesak Gondoru
trp_footmen_of_gondor_pl|Pesaci Gondoru
trp_gondor_spearmen|Gondorsky kopinik
trp_gondor_spearmen_pl|Gondorsti kopinici
trp_gondor_veteran_spearmen|Gondorsky kopinik veteran
trp_gondor_veteran_spearmen_pl|Gondorsti kopinici veterani
trp_guard_of_the_fountain_court|Strazce fontany
trp_guard_of_the_fountain_court_pl|Strazci fontany
trp_gondor_swordsmen|Gondorska sermir
trp_gondor_swordsmen_pl|Gondorsti sermiri
trp_gondor_veteran_swordsmen|Gondorsky sermir veteran
trp_gondor_veteran_swordsmen_pl|Gondorsti sermiri veterani
trp_swordsmen_of_the_tower_guard|Sermir straze citadely
trp_swordsmen_of_the_tower_guard_pl|Sermiri straze citadely
trp_gondor_noblemen|Gondorský Šlechtic
trp_gondor_noblemen_pl|Gondorští Šlechtici
trp_squire_of_gondor|Páže Gondoru
trp_squire_of_gondor_pl|Pážata Gondoru
trp_veteran_squire_of_gondor|Zkušené Páže Gondoru
trp_veteran_squire_of_gondor_pl|Zkušená Pážata Gondoru
trp_knight_of_gondor|Rytíř Gondoru
trp_knight_of_gondor_pl|Rytíři Gondoru
trp_veteran_knight_of_gondor|Zkušený Rytíř Gondoru
trp_veteran_knight_of_gondor_pl|Zkušení Rytíři Gondoru
trp_knight_of_the_citadel|Rytíř Citadely
trp_knight_of_the_citadel_pl|Rytíři Cytadely
trp_bowmen_of_gondor|Lučištník Gondoru
trp_bowmen_of_gondor_pl|Lučištníci Gondoru
trp_archer_of_gondor|Lukostřelec Gondoru
trp_archer_of_gondor_pl|Lukostřelci Gondoru
trp_veteran_archer_of_gondor|Zkušený Lučištník Gondoru
trp_veteran_archer_of_gondor_pl|Zkušení Lučištníci Gondoru
trp_archer_of_the_tower_guard|Lucistnik straze citadely
trp_archer_of_the_tower_guard_pl|Lucistnici straze citadely
trp_steward_guard|Správcův Strážný
trp_steward_guard_pl|Správcovi Strážní
trp_ranger_of_ithilien|Hraničář Ithilienu
trp_ranger_of_ithilien_pl|Hraničáči Ithilienu
trp_veteran_ranger_of_ithilien|Ithilienský veterán hraničář
trp_veteran_ranger_of_ithilien_pl|Ithilienští veteránští hraničáři
trp_master_ranger_of_ithilien|Ithiliensky mistr hranicar
trp_master_ranger_of_ithilien_pl|Ithiliensti mistri hranicari
trp_ithilien_leader|Kapitan ithilienskych hranicaru
trp_ithilien_leader_pl|Kapitani ithilienskych hranicaru
; trp_woodsman_of_lossarnach|Woodsman of Lossarnach
; trp_woodsman_of_lossarnach_pl|Woodsmen of Lossarnach
trp_axeman_of_lossarnach|Lossarnassky sekyrnik
trp_axeman_of_lossarnach_pl|Lossarnassti sekyrnici
; trp_vet_axeman_of_lossarnach|Lossarnach Veteran Axeman
; trp_vet_axeman_of_lossarnach_pl|Lossarnach Veteran Axemen
; trp_heavy_lossarnach_axeman|Heavy Lossarnach Axeman
; trp_heavy_lossarnach_axeman_pl|Heavy Lossarnach Axemen
trp_axemaster_of_lossarnach|Lossarnassky mistr sekyrnik
trp_axemaster_of_lossarnach_pl|Lossarnassti mistri sekyrnici
trp_lossarnach_leader|Lossarnassky kapitan
trp_lossarnach_leader_pl|Lossarnassti kapitani
trp_pelargir_watchman|Pelargirska hlídka
trp_pelargir_watchman_pl|Pelargirska hlidka
trp_pelargir_marine|Pelargirsky namornik
trp_pelargir_marine_pl|Pelargirsti namornici
trp_pelargir_vet_marine|Pelargirsky namorni veteran
trp_pelargir_vet_marine_pl|Pelargirští Veteránští Námořníci
trp_pelargir_infantry|Pelargirsky pesak
trp_pelargir_infantry_pl|Pelargirsti pesaci
trp_pelargir_vet_infantry|Pelargirsky zkuseny pesak
trp_pelargir_vet_infantry_pl|Pelargirsti zkuseni pesaci
trp_pelargir_leader|Pelargirsky kapitan
trp_pelargir_leader_pl|Pelargirsti kapitani
trp_pelargir_marine_leader|Kapitán Pelargirských Námořníků
trp_pelargir_marine_leader_pl|Kapitáni Pelargirských Námořníků
; trp_clansman_of_lamedon|Clansman of Lamedon
; trp_clansman_of_lamedon_pl|Clansmen of Lamedon
trp_footman_of_lamedon|Lamedonský Pěšák
trp_footman_of_lamedon_pl|Lamedonští Pěšáci
trp_veteran_of_lamedon|Veterán Lamedonu
trp_veteran_of_lamedon_pl|Veteráni Lamedonu
trp_warrior_of_lamedon|Válečník Lamedonu
trp_warrior_of_lamedon_pl|Válečníci Lamedonu
trp_champion_of_lamedon|Šampión Lamedonu
trp_champion_of_lamedon_pl|Šampióni Lamedonu
trp_knight_of_lamedon|Rytíř Lamedonu
trp_knight_of_lamedon_pl|Rytíři Lamedonu
trp_lamedon_leader|Kapitán Lamedonu
trp_lamedon_leader_pl|Kapitáni Lamedonu
; trp_pinnath_gelin_plainsman|Plainsman of Pinnath Gelin
; trp_pinnath_gelin_plainsman_pl|Plainsmen of Pinnath Gelin
trp_pinnath_gelin_spearman|Jezdec Pinnath Gelin
trp_pinnath_gelin_spearman_pl|Jezdci Pinnath Gelin
trp_warrior_of_pinnath_gelin|Rytíř Pinnath Gelin
trp_warrior_of_pinnath_gelin_pl|Rytíři Pinnath Gelin
trp_pinnath_gelin_bowman|Lukostřelec Pinnath Gelin
trp_pinnath_gelin_bowman_pl|Lukostřelci Pinnath Gelin
trp_pinnath_gelin_archer|Lučištník Pinnath Gelin
trp_pinnath_gelin_archer_pl|Lučištníci Pinnath Gelin
trp_pinnath_leader|Kapitán Pinnath Gelin
trp_pinnath_leader_pl|Kapitáni Pinnath Gelin
trp_blackroot_vale_archer|Morthondský Lovec
trp_blackroot_vale_archer_pl|Morthondský Lovec
trp_veteran_blackroot_vale_archer|Morthodský Lučištník
trp_veteran_blackroot_vale_archer_pl|Morthondští Lučištníci
trp_master_blackroot_vale_archer|Morthondský Lučištník
trp_master_blackroot_vale_archer_pl|Morthondští Lučištníci
trp_footman_of_blackroot_vale|Morthondský Pěšák
trp_footman_of_blackroot_vale_pl|Morthondští Pěšáci
trp_spearman_of_blackroot_vale|Morthondský Kopiník
trp_spearman_of_blackroot_vale_pl|Morthondští Kopiníci
trp_blackroot_leader|Morthondský Lovec Stínů
trp_blackroot_leader_pl|Morthondští Lovci Stínů
trp_dol_amroth_youth|Rekrut Dol Amroth
trp_dol_amroth_youth_pl|Dol Amrothští Rekruti
trp_squire_of_dol_amroth|Panoš Dol Amroth
trp_squire_of_dol_amroth_pl|Panoši Dol Amroth
trp_veteran_squire_of_dol_amroth|Zkušení Panoši Dol Amroth
; trp_veteran_squire_of_dol_amroth_pl|Veteran Squires of Dol Amroth
; trp_knight_of_dol_amroth|Knight of Dol Amroth
; trp_knight_of_dol_amroth_pl|Knights of Dol Amroth
; trp_veteran_knight_of_dol_amroth|Veteran Knight of Dol Amroth
; trp_veteran_knight_of_dol_amroth_pl|Veteran Knights of Dol Amroth
; trp_swan_knight_of_dol_amroth|Swan Knight of Dol Amroth
; trp_swan_knight_of_dol_amroth_pl|Swan Knights of Dol Amroth
; trp_dol_amroth_leader|Captain of Dol Amroth
; trp_dol_amroth_leader_pl|Captains of Dol Amroth
trp_lothlorien_scout|Lothloriensky zved
trp_lothlorien_scout_pl|Loriensti pruzkumnici
trp_lothlorien_veteran_scout|Lothloriensky zkuseny zved
trp_lothlorien_veteran_scout_pl|Lothloriensky zkuseni zvedi
trp_lothlorien_archer|Lothloriensky lucistnik
trp_lothlorien_archer_pl|Lothloriensti lucistnici
trp_lothlorien_veteran_archer|Lothloriensky zkuseny lucistnik
trp_lothlorien_veteran_archer_pl|Lothloriensky zkuseni lucistnici
trp_lothlorien_master_archer|Lothloriensky mistr lucistnik
trp_lothlorien_master_archer_pl|Lothloriensky mistri lucistnici
; trp_galadhrim_royal_archer|Galadhrim Royal Archer
; trp_galadhrim_royal_archer_pl|Galadhrim Royal Archers
; trp_galadhrim_royal_marksman|Galadhrim Royal Marksman
; trp_galadhrim_royal_marksman_pl|Galadhrim Royal Marksmen
; trp_noldorin_mounted_archer|Noldorin Mounted Archer
; trp_noldorin_mounted_archer_pl|Noldorin Mounted Archers
trp_lothlorien_infantry|Lothloriensky pesak
trp_lothlorien_infantry_pl|Lothloriensti pesaci
trp_lothlorien_veteran_infantry|Lothloriensky zkuseny pesak
trp_lothlorien_veteran_infantry_pl|Lothloriensti zkuseni pesaci
trp_lothlorien_elite_infantry|Lothloriensky elitni pesak
trp_lothlorien_elite_infantry_pl|Lothloriensti elitni pesaci
; trp_galadhrim_royal_swordsman|Galadhrim Royal Swordsman
; trp_galadhrim_royal_swordsman_pl|Galadhrim Royal Swordsmen
trp_lothlorien_warden|Lothloriensky ochrance
trp_lothlorien_warden_pl|Lothloriensti ochranci
trp_lothlorien_veteran_warden|Lothloriensky zkuseny ochrance
trp_lothlorien_veteran_warden_pl|Lothloriensti zkuseni ochranci
; trp_galadhrim_royal_warden|Galadhrim Royal Warden
; trp_galadhrim_royal_warden_pl|Galadhrim Royal Wardens
trp_lothlorien_standard_bearer|Lothloriensky korouhevnik
trp_lothlorien_standard_bearer_pl|Lothloriensti korouhevnici
trp_greenwood_scout|Průzkumník Zeleného hvozdu
trp_greenwood_scout_pl|Průzkumníci Zeleného hvozdu
trp_greenwood_veteran_scout|Průzkumník veterán Zeleného hvozdu
trp_greenwood_veteran_scout_pl|Průzkumníci veteráni Zeleného hvozdu
trp_greenwood_archer|Lučištník Zeleného hvozdu
trp_greenwood_archer_pl|Lučištníci Zeleného hvozdu
trp_greenwood_veteran_archer|Střelec Zeleného hvozdu
trp_greenwood_veteran_archer_pl|Střelci Zeleného hvozdu
trp_greenwood_master_archer|Střelec veterán Zeleného hvozdu
trp_greenwood_master_archer_pl|Střelci veteráni Zeleného hvozdu
trp_thranduils_royal_marksman|Thranduilův vznešený střelec
trp_thranduils_royal_marksman_pl|Thranduilovi vznešení střelci
trp_greenwood_sentinel|Strážce Zeleného hvozdu
trp_greenwood_sentinel_pl|Strážci Zeleného hvozdu
trp_greenwood_vet_sentinel|Strážce veterán Zeleného hvozdu
trp_greenwood_vet_sentinel_pl|Strážci veteráni Zeleného hvozdu
trp_mirkwood_guardsman|Obránce Zeleného hvozdu
trp_mirkwood_guardsman_pl|Obránci Zeleného hvozdu
trp_greenwood_spearman|Pěchota Zeleného hvozdu
trp_greenwood_spearman_pl|Pěchota Zeleného hvozdu
trp_greenwood_veteran_spearman|Veteránská pěchota Zeleného hvozdu
trp_greenwood_veteran_spearman_pl|Veteránská pěchota Zeleného hvozdu
trp_greenwood_royal_spearman|Elitní pěchota Zeleného hvozdu
trp_greenwood_royal_spearman_pl|Elitní pěchota Zeleného hvozdu
trp_thranduils_royal_swordsman|Thranduilův vznešený šermíř
trp_thranduils_royal_swordsman_pl|Thranduilovi vznešení šermíři
trp_thranduils_spearman|Thranduilův vznešený kopiník
trp_thranduils_spearman_pl|Thranduilovi vznešení kopiníci
trp_greenwood_standard_bearer|Korouhevník Zeleného hvozdu
trp_greenwood_standard_bearer_pl|Korouhevníci Zeleného hvozdu
trp_rivendell_scout|Průzkumník z Roklinky
trp_rivendell_scout_pl|Průzkumníci z Roklinky
trp_rivendell_veteran_scout|Průzkumník veterán z Roklinky
trp_rivendell_veteran_scout_pl|Průzkumníci veteráni z Roklinky
trp_rivendell_sentinel|Strážce z Roklinky
trp_rivendell_sentinel_pl|Strážci z Roklinky
trp_rivendell_veteran_sentinel|Strážce veterán z Roklinky
trp_rivendell_veteran_sentinel_pl|Strážci veteráni z Roklinky
trp_rivendell_elite_sentinel|Elitní strážce z Roklinky
trp_rivendell_elite_sentinel_pl|Elitní strážci z Roklinky
trp_rivendell_guardian|Obránce z Roklinky
trp_rivendell_guardian_pl|Obránci z Roklinky
trp_rivendell_infantry|Pěchota z Roklinky
trp_rivendell_infantry_pl|Pěchota z Roklinky
trp_rivendell_veteran_infantry|Veteránská pěchota z Roklinky
trp_rivendell_veteran_infantry_pl|Veteránská pěchota z Roklinky
trp_rivendell_elite_infantry|Elitní pěchota z Roklinky
trp_rivendell_elite_infantry_pl|Elitní pěchota z Roklinky
trp_rivendell_royal_infantry|Vznešená pěchota z Roklinky
trp_rivendell_royal_infantry_pl|Vznešená pěchota z Roklinky
trp_rivendell_cavalry|Jízda z Roklinky
trp_rivendell_cavalry_pl|Jízda z Roklinky
trp_knight_of_rivendell|Rytíř z Roklinky
trp_knight_of_rivendell_pl|Rytíři z Roklinky
trp_rivendell_standard_bearer|Korouhevník z Roklinky
trp_rivendell_standard_bearer_pl|Korouhevníci z Roklinky
trp_dunedain_scout|Dunedaiský průzkumník
trp_dunedain_scout_pl|Dunedainští průzkumníci
; trp_dunedain_trained_scout|Dunedain Tracker
; trp_dunedain_trained_scout_pl|Dunedain Trackers
; trp_arnor_man_at_arms|Arnor Man at Arms
; trp_arnor_man_at_arms_pl|Arnor Men at Arms
; trp_arnor_master_at_arms|Arnor Master at Arms
; trp_arnor_master_at_arms_pl|Arnor Masters at Arms
; trp_high_swordsman_of_arnor|High Swordsman of Arnor
; trp_high_swordsman_of_arnor_pl|High Swordsmen of Arnor
; trp_arnor_horsemen|Arnor Horseman
; trp_arnor_horsemen_pl|Arnor Horsemen
; trp_knight_of_arnor|Knight of Arnor
; trp_knight_of_arnor_pl|Knights of Arnor
; trp_dunedain_ranger|Dunedain Ranger
; trp_dunedain_ranger_pl|Dunedain Rangers
; trp_dunedain_veteran_ranger|Dunedain Veteran Ranger
; trp_dunedain_veteran_ranger_pl|Dunedain Veteran Rangers
; trp_dunedain_master_ranger|Dunedain Master Ranger
; trp_dunedain_master_ranger_pl|Dunedain Master Rangers
; trp_i1_rohan_youth|Rohan Youth
; trp_i1_rohan_youth_pl|Rohan Youths
trp_i2_guardsman_of_rohan|Rohansky strazce
trp_i2_guardsman_of_rohan_pl|Rohansti strazci
trp_i3_footman_of_rohan|Rohansky pesak
trp_i3_footman_of_rohan_pl|Rohansti pesaci
trp_i4_veteran_footman_of_rohan|Rohansky zkuseny pesak
trp_i4_veteran_footman_of_rohan_pl|Rohansti zkuseni pesaci
trp_i5_elite_footman_of_rohan|Rohansky elitni pesak
trp_i5_elite_footman_of_rohan_pl|Rohansti elitni pesaci
; trp_i6_footman_guard_of_rohan|Folcwine Guard of Rohan
; trp_i6_footman_guard_of_rohan_pl|Folcwine Guards of Rohan
; trp_i6_frealaf_raider|Frealaf Raider
; trp_i6_frealaf_raider_pl|Frealaf Raiders
; trp_i5_raider_of_rohan|Raider of Rohan
; trp_i5_raider_of_rohan_pl|Raiders of Rohan
; trp_i6_warden_of_methuseld|Warden of Meduseld
; trp_i6_warden_of_methuseld_pl|Wardens of Meduseld
; trp_ac3_skirmisher_of_rohan|Skirmisher of Rohan
; trp_ac3_skirmisher_of_rohan_pl|Skirmishers of Rohan
; trp_ac4_veteran_skirmisher_of_rohan|Veteran Skirmisher of Rohan
; trp_ac4_veteran_skirmisher_of_rohan_pl|Veteran Skirmishers of Rohan
; trp_ac5_elite_skirmisher_of_rohan|Elite Skirmisher of Rohan
; trp_ac5_elite_skirmisher_of_rohan_pl|Elite Skirmishers of Rohan
; trp_ac6_skirmisher_guard_of_rohan|Thengel Guard of Rohan
; trp_ac6_skirmisher_guard_of_rohan_pl|Thengel Guards of Rohan
; trp_c4_lancer_of_rohan|Lancer of Rohan
; trp_c4_lancer_of_rohan_pl|Lancers of Rohan
; trp_c5_elite_lancer_of_rohan|Elite Lancer of Rohan
; trp_c5_elite_lancer_of_rohan_pl|Elite Lancers of Rohan
; trp_c6_lancer_guard_of_rohan|Brego Guard of Rohan
; trp_c6_lancer_guard_of_rohan_pl|Brego Guards of Rohan
; trp_c6_king_s_man_of_rohan|King's Guard
; trp_c6_king_s_man_of_rohan_pl|King's Guards
; trp_c2_squire_of_rohan|Squire of Rohan
; trp_c2_squire_of_rohan_pl|Squires of Rohan
trp_c3_rider_of_rohan|Rohansky jezdec
trp_c3_rider_of_rohan_pl|Rohansti jezdci
trp_c4_veteran_rider_of_rohan|Rohansky zkuseny jezdec
trp_c4_veteran_rider_of_rohan_pl|Rohansti zkuseni jezdci
trp_c5_elite_rider_of_rohan|Elitní jezdec Rohanu
trp_c5_elite_rider_of_rohan_pl|Elitní jezdci Rohanu
; trp_c6_rider_guard_of_rohan|Eorl Guard of Rohan
; trp_c6_rider_guard_of_rohan_pl|Eorl Guards of Rohan
; trp_i6_2h_guard_of_rohan|Helm Guard of Rohan
; trp_i6_2h_guard_of_rohan_pl|Helm Guards of Rohan
; trp_dismounted_veteran_skirmisher_of_rohan|Veteran Skirmisher of Rohan
; trp_dismounted_veteran_skirmisher_of_rohan_pl|Veteran Skirmishers of Rohan
; trp_dismounted_elite_skirmisher_of_rohan|Elite Skirmisher of Rohan
; trp_dismounted_elite_skirmisher_of_rohan_pl|Elite Skirmishers of Rohan
; trp_dismounted_thengel_guard_of_rohan|Thengel Guard of Rohan
; trp_dismounted_thengel_guard_of_rohan_pl|Thengel Guards of Rohan
; trp_harad_desert_warrior|Harad Levy
; trp_harad_desert_warrior_pl|Harad Levies
; trp_harad_infantry|Harad Light Infantry
; trp_harad_infantry_pl|Harad Light Infantry
; trp_harad_veteran_infantry|Harad Spearman
; trp_harad_veteran_infantry_pl|Harad Spearmen
; trp_harad_tiger_guard|Tiger Guard
; trp_harad_tiger_guard_pl|Tiger Guards
; trp_harad_swordsman|Harad Swordsman
; trp_harad_swordsman_pl|Harad Swordsmen
; trp_harad_lion_guard|Lion Guard
; trp_harad_lion_guard_pl|Lion Guards
; trp_harad_skirmisher|Harad Hunter
; trp_harad_skirmisher_pl|Harad Hunters
; trp_harad_archer|Harad Archer
; trp_harad_archer_pl|Harad Archers
; trp_harad_eagle_guard|Eagle Guard
; trp_harad_eagle_guard_pl|Eagle Guards
; trp_harondor_scout|Harondor Scout
; trp_harondor_scout_pl|Harondor Scouts
; trp_harondor_rider|Harondor Rider
; trp_harondor_rider_pl|Harondor Riders
; trp_harondor_light_cavalry|Harondor Light Cavalry
; trp_harondor_light_cavalry_pl|Harondor Light Cavalry
; trp_fang_heavy_cavalry|Gold Serpent Knight
