itm_horse_meat|Koňské maso
itm_tld_tunic|Tunika
itm_gondor_fine_outfit_dress|Dobrá výstroj
itm_rohan_fine_outfit_dale_dress|Dobrá výstroj
itm_robe_generic_dress|Róba
itm_wimple_a|Rouška
itm_wimple_with_veil|Rouška
itm_fine_hat|Dobrá čepice
itm_shortened_spear|Zkrácené kopí
itm_spear|Kopí
itm_light_lance|Lehký oštěp
itm_lance|Oštěp
itm_tab_shield_small_round_b|Kulatý jezdecký štít
itm_short_bow|Krátký luk
itm_regular_bow|Luk
itm_nomad_bow|Nomádský luk
itm_gondor_bow|Gondorský luk
itm_strong_bow|Silný luk
itm_elven_bow|Elfský luk
itm_corsair_bow|Korzárský luk
itm_dwarf_horn_bow|Trpasličí luk z rohu
itm_dwarf_short_bow|Trpasličí krátký luk
itm_harad_bow|Haradský zakřivený luk
itm_lg_bow|Luk Orlí stráže
itm_riv_bow|Rivendelský luk
itm_glorfi_bow|Glorfindeilský luk
itm_lorien_bow|Galadhrimský luk
itm_isengard_large_bow|Isengardský mohutný luk
itm_dale_bow|Dolský luk
; itm_uruk_bow_pl|Strong Orc Bow
itm_mirkwood_bow|Mirkwůdský luk
itm_dunland_javelin|Dunlandské oštěpy
itm_orc_throwing_arrow|Šipky orků
itm_heavy_throwing_spear|Těžké házecí kopí
itm_javelin|Oštěp
itm_harad_javelin|Haradský oštěp
itm_gondor_javelin|Gondorské kopí
itm_rohirrim_throwing_axe|Rohanské házecí sekery
itm_loss_throwing_axes|Lossarnašské házecí sekery
itm_arnor_helm_a|Arnorská helma
itm_arnor_helm_b|Arnorská helma
itm_arnor_helm_c|Arnorská helma
itm_dunedain_helm_a|Dunadanská kápě
itm_dunedain_helm_b|Arnorská zdobená helma
itm_arnor_armor_a|Arnorská zbroj
itm_arnor_armor_b|Arnorská zbroj
itm_arnor_armor_c|Dun
itm_arnor_armor_d|Dun
itm_arnor_armor_e|Arnorský vyztužený krátký kožený kabát
itm_arnor_armor_f|Arnorská velká zbroj
itm_arnor_greaves|Arnorské stehenní pláty
; itm_arnor_splinted|Arnorian Splinted Greaves
itm_arnor_shield_a|Arnorský štít
itm_arnor_shield_c|Arnorský jezdecký štít
itm_arnor_shield_b|Arnorský štít
itm_arnor_shield_d|Arnorský jezdecký štít
itm_arnor_sword_a|Arnorský meč bastard
itm_arnor_sword_c|Arnorský meč bastard
itm_arnor_sword_f|Arnorský krátký meč
itm_riv_helm_a|Rivendelská čepka
itm_riv_helm_b|Rivendelská lučišnická helma
itm_riv_helm_c|Rivendelská pěchotní helma
itm_riv_helm_glorfi|Vlnité vlasy
itm_riv_tiara|Elfí lord Tiara
itm_riv_shield_a|Rivendelský štít
itm_riv_shield_b|Rivendelský štít
itm_riv_bas_sword|Rivendelský meč bastard
itm_riv_1h_sword|Rivendelský meč
itm_riv_riding_sword|Rivendelský jezdecký meč
; itm_riv_archer_sword|Rivendell Archer Sword
itm_riv_spear|Rivendelské kopí
itm_riv_armor_light|Rivendelská zbroj
itm_riv_armor_light_inf|Rivendelská zbroj
itm_riv_armor_archer|Rivendelská zbroj
itm_riv_armor_m_archer|Rivendelská zbroj
itm_riv_armor_med|Rivendelská zbroj
itm_riv_armor_heavy|Rivendelská zbroj
itm_riv_armor_h_archer|Rivendelská zbroj
itm_riv_armor_leader|Zbroj Rivendelského vůdce
itm_riv_boots|Rivendelské boty
itm_gon_footman|Gondorská kroužková košile
itm_gon_jerkin|Gondorský krátký kožený kabát
itm_gon_regular|Gondorský těžká kroužková zbroj
itm_gon_bowman|Gondorská prošívanice
itm_gon_archer|Gondorská prošívanice s pláštěm
itm_gon_noble_cloak|Gondorský krátký šlechtický kožený kabát
itm_gon_squire|Gondorská kroužková zbroj s pláštěm
itm_gon_knight|Gondorská těžká kroužková zbroj s pláštěm
itm_gon_ranger_cloak|Gondorský plášť hraničářů
itm_gon_ranger_skirt|Gondorská hraničářská sukně
itm_gon_steward_guard|Gondorská pořadatelská strážní zbroj
itm_gon_tower_guard|Gondorská strážní zbroj
itm_gon_tower_knight|Gondorská rytířská zbroj
itm_gon_leader_surcoat_cloak|Gondorský plášť vůdce
itm_gondor_ranger_hood|Zelená kápě
itm_gondor_ranger_hood_mask|Gondorská kápě hraničářů
itm_gondor_light_greaves|Gondorské kožené stehenní pláty
itm_gondor_med_greaves|Gondorské střední stehenní pláty
itm_gondor_heavy_greaves|Gondorské kroužkové stehenní pláty
itm_gondorian_light_helm|Gondorská pěší helma
itm_gondor_infantry_helm|Gondorská pěchotní přilbice
itm_gondor_auxila_helm|Gondorská přilba pomocných sborů
itm_gondorian_light_helm_b|Gondorská lučišnická přilbice
itm_gondorian_archer_helm|Gondorská lukostřelecká přilbice
itm_tower_archer_helm|Přilba lučištníků z Věže
itm_gondor_leader_helm|Gondorská vysoká přilba
itm_tower_guard_helm|Přilba strážce věže
itm_gondor_citadel_knight_helm|Helma rytire citadely
itm_gondor_squire_helm|Prilba Gondorskeho panose
itm_gondor_knight_helm|Prilba Gondorskeho rytire
itm_gondor_dolamroth_helm|Dol Amrothska helma
itm_swan_knight_helm|Labuti prilba rytire
itm_gondor_lamedon_helm|Lamendonská Helma
itm_gondor_lamedon_leader_helm|Lamendonská Vysoká Helma
; itm_blackroot_archer|Blackroot Vale Cloaked Gambeson
; itm_blackroot_bowman|Blackroot Vale Cloaked Jerkin
; itm_blackroot_footman|Blackroot Vale Jerkin
; itm_blackroot_warrior|Blackroot Vale Gambeson
; itm_blackroot_leader|Blackroot Vale Mail
; itm_blackroot_hood|Black Hood
itm_dol_hauberk|Dol Amrothske brneni
; itm_dol_heavy_mail|Dol Amroth Heavy Mail
itm_dol_padded_coat|Dol Amrothsky vycpavany kabatec 
itm_dol_shirt|Dol Amrothska kosile
; itm_dol_very_heavy_mail|Dol Amroth Very Heavy Mail
itm_dol_greaves|Dol Amrothske naholeniky
itm_dol_shoes|Dol Amrothske lehke boty
; itm_lamedon_clansman|Lamedon Clansman Armor
; itm_lamedon_footman|Lamedon Footman Armor
; itm_lamedon_knight|Lamedon Knight Armor
; itm_lamedon_leader_surcoat_cloak|Lamedon Leader Armor
; itm_lamedon_warrior|Lamedon Warrior Armor
; itm_lamedon_veteran|Lamedon Veteran Armor
; itm_lamedon_vet_warrior|Lamedon Veteran Warrior Armor
; itm_lamedon_hood|Hood
; itm_pinnath_archer|Pinnath Gelin Archer Armor
; itm_pinnath_footman|Pinnath Gelin Footman Armor
; itm_pinnath_leader|Pinnath Gelin Leader Armor
; itm_pinnath_vet_footman|Pinnath Gelin Veteran Footman Armor
; itm_pinnath_warrior|Pinnath Gelin Warrior Armor
; itm_pel_footman|Pelargir Footman Armor
; itm_pel_jerkin|Pelargir Jerkin
; itm_pel_leader|Pelargir Leader Armor
itm_pel_marine|Pelargirsky namornik
; itm_pelargir_marine_leader|Pelargir Marine Leader
; itm_pelargir_regular|Pelargir Regular
; itm_pelargir_hood|White Hood
itm_pelargir_helmet_light|Pelargirska helma
itm_pelargir_helmet_heavy|Pelargirska tezka helma
itm_pelargir_greaves|Pelargirske naholeniky
itm_lossarnach_shirt|Lossarnasska kosile
itm_lossarnach_axeman|Zbroj sekernika Lossarnachu
itm_lossarnach_leader|Zbroj velitele Lossarnachu
itm_lossarnach_vet_axeman|Zbroj zkuseneho sekernika Lossarnachu
itm_lossarnach_vet_warrior|Zbroj zkuseneho valecnika Lossarnachu
itm_lossarnach_warrior|Zbroj valecnika Lossarnachu
; itm_lossarnach_cloth_cap|Lossarnach Cloth Cap
; itm_lossarnach_leather_cap|Lossarnach Leather Cap
; itm_lossarnach_scale_cap|Lossarnach Scale Cap
itm_lossarnach_greaves|Lossarnasske naholeniky
; itm_gondor_shield_a|Gondor Square Shield
; itm_gondor_shield_b|Gondor Kite Shield
itm_gondor_shield_c|Gondorska paveza
; itm_gondor_shield_d|Gondor Kite Shield
; itm_gondor_shield_e|Gondor Royal Shield
; itm_gon_tab_shield_a|Heraldic Gondor Round Shield
; itm_gon_tab_shield_b|Heraldic Gondor Square Shield
; itm_gon_tab_shield_c|Heraldic Gondor Kite Shield
itm_gon_tab_shield_d|Heraldická gondorská pavéza
itm_amroth_sword_a|Meč z Dol Amroth
itm_amroth_sword_b|Dol Amrothsky rytirsky mec
itm_gondor_sword|Meč gondorské pěchoty
; itm_amroth_bastard|Dol Amroth Heavy Sword
; itm_gondor_short_sword|Linhir Eket
; itm_pelargir_eket|Pelargir Eket
itm_pelargir_sword|Pelargirsky mec
itm_gondor_ranger_sword|Gondorsky hranicarsky mec
itm_gondor_bastard|Gondorsky jedenapulrucni mec
itm_gondor_citadel_sword|Mec Gondorske citadely
itm_gondor_cav_sword|Gondorsky jezdecky mec
; itm_gondor_spear|Gondorian Spear
; itm_gondor_tower_spear|Gondorian Tower Spear
; itm_gondor_lance|Gondor Lance
; itm_loss_axe|Lossarnach Fighting Axe
; itm_loss_war_axe|Lossarnach War Axe
itm_lorien_sword_a|Loriensky dlouhy mec
itm_lorien_sword_b|Loriensky kratky mec
; itm_lorien_sword_c|Lorien War Sword
itm_lorien_archer|Zbroj lorienskeho lucistnika
itm_lorien_armor_a|Zbroj lorienskeho pesaka
; itm_lorien_armor_b|Lorien Heavy Infantry Armor
; itm_lorien_armor_c|Lorien Royal Archer Armor
; itm_lorien_armor_d|Lorien Royal Swordsman Armor
itm_lorien_armor_e|Plast lorienskeho ochrance
; itm_lorien_armor_f|Lorien Elite Armor
itm_lorien_boots|Lorienske boty
itm_lorien_shield_b|Lorienska paveza
; itm_lorien_shield_c|Lorien Kite Shield
; itm_lorien_round_shield|Lorien Round Shield
itm_lorien_helm_a|Přilba lorienských lučištníků
itm_lorien_helm_b|Přilba lorienských lučištníků
itm_lorien_helm_c|Přilba lorienské pěchoty
itm_orc_chain_greaves|Skreti naholeniky

; itm_orc_coif|Orc Skullcap\t\t\t\t\t\t 
itm_orc_greaves|Orčí kroužkové boty
itm_orc_ragwrap|Skřetí onuce
itm_orc_furboots|Skreti kozene boty
itm_orc_furboot_tall|Skreti kozene boty
; itm_orc_tribal_a|Untreated Skin
; itm_orc_tribal_b|Untreated Skin
; itm_orc_tribal_c|Untreated Skin
; itm_evil_gauntlets_a|Gauntlets
; itm_evil_gauntlets_b|Gauntlets
itm_isen_orc_armor_a|Skreti zbroj ze Zelezneho pasu
itm_isen_orc_armor_b|Skreti zbroj ze Zelezneho pasu
itm_isen_orc_armor_c|Skreti zbroj ze Zelezneho pasu
itm_isen_orc_armor_d|Skreti zbroj ze Zelezneho pasu
itm_isen_orc_armor_e|Skreti zbroj ze Zelezneho pasu
itm_isen_orc_armor_f|Skreti zbroj ze Zelezneho pasu
itm_isen_orc_armor_g|Skreti zbroj ze Zelezneho pasu
; itm_isen_uruk_light_a|Uruk-hai Light Harness
itm_isen_uruk_light_b|Skurut-haiska kozena zbroj
itm_isen_uruk_light_c|Skurut-haiska kozena zbroj
; itm_isen_uruk_light_d|Uruk-hai Mail and Leather
; itm_isen_uruk_light_e|Uruk-hai Mail Harness
; itm_isen_uruk_heavy_a|Uruk-hai Mail and Leather
; itm_isen_uruk_heavy_b|Uruk-hai Heavy Armor
; itm_isen_uruk_heavy_c|Uruk-hai Heavy Armor
; itm_isen_uruk_heavy_d|Uruk-hai Tracker Leather
; itm_isen_uruk_heavy_e|Uruk-hai Tracker Leather
; itm_uruk_tracker_boots|Uruk Tracker Boots
itm_uruk_greaves|Skuruti naholeniky
itm_uruk_chain_greaves|Skuruti krouzkove naholeniky
; itm_uruk_ragwrap|Uruk Ragwrap
; itm_isen_orc_helm_a|Isen Orc Helm
; itm_isen_orc_helm_b|Isen Orc Helm
; itm_isen_orc_helm_c|Isen Orc Helm
itm_isen_uruk_helm_a|Skurut-haiska helma
itm_isen_uruk_helm_b|Skurut-haiska helma
itm_isen_uruk_helm_c|Skurut-haiska helma
itm_isen_uruk_helm_d|Skurut-haiska kapitanska helma
itm_isen_uruk_helm_e|Skurut-haiska stoparska helma
itm_isen_uruk_helm_f|Skurut-haiska stoparska helma
itm_uruk_pike_a|Skuruti pika
itm_uruk_pike_b|Skuruti pika
; itm_uruk_falchion_a|Uruk Falchion
; itm_uruk_falchion_b|Uruk Falchion
; itm_uruk_spear|Uruk Spear
; itm_uruk_skull_spear|Uruk Skull Spear
; itm_uruk_voulge|Uruk Voulge
; itm_uruk_heavy_axe|Uruk Heavy Axe
itm_isengard_sword|Mec ze zelezneho pasu
; itm_isengard_axe|Isengard Axe
; itm_isengard_hammer|Isengard Hammer
itm_isengard_halberd|Halapartna ze Zelezneho pasu
; itm_isengard_mallet|Isengard Mallet
; itm_isengard_heavy_axe|Isengard Heavy Axe
; itm_isengard_heavy_sword|Isengard Heavy Sword
; itm_isengard_spear|Isengard Spear
itm_isengard_pike|Pika ze Zelezneho pasu
; itm_isen_orc_shield_a|Isen Orc Shield
; itm_isen_orc_shield_b|Isen Orc Shield
; itm_isen_uruk_shield_b|Isen Uruk Shield
itm_wood_club|Dreveny kyj
itm_twohand_wood_club|Velky dreveny kyj
; itm_bone_cudgel|Bone Cudgel
; itm_skull_club|Skull Club
itm_orc_club_a|Skřetí obušek
itm_orc_club_b|Skřetí obušek
; itm_orc_club_c|Spiky Orc Club
; itm_orc_club_d|Spiky Orc Club
; itm_orc_sledgehammer|Orc Sledgehammer
; itm_orc_simple_spear|Orc Spear
; itm_orc_skull_spear|Orc Skull Spear
; itm_orc_bill|Orc Bill
; itm_orc_slasher|Orc Slasher
itm_orc_falchion|Skřetí falchion
; itm_orc_scimitar|Orc Scimitar
itm_orc_sabre|Skreti savle
itm_orc_machete|Skreti maceta
itm_orc_axe|Skreti sekera
itm_orc_two_handed_axe|Skreti dvourucni sekera
itm_orc_throwing_axes|Skreti vrhaci sekery
itm_orc_bow|Skreti luk
itm_orc_shield_a|Skřetí štít
itm_orc_shield_b|Skřetí štít
itm_orc_shield_c|Skřetí štít
itm_mordor_orc_shield_a|Mordorsky skreti stit
itm_mordor_orc_shield_b|Mordorsky skreti stit
itm_mordor_orc_shield_c|Mordorsky skreti stit
itm_mordor_orc_shield_d|Mordorsky skreti stit
itm_mordor_orc_shield_e|Mordorsky skreti stit
itm_mordor_uruk_shield_a|Mordorsky skuruti stit
itm_mordor_uruk_shield_b|Mordorsky skuruti stit
itm_mordor_uruk_shield_c|Mordorsky skuruti stit
; itm_mordor_man_shield_a|Mordor Man Shield
; itm_mordor_man_shield_b|Mordor Man Shield
itm_angmar_shield|Angmarský štít

; itm_orc_nosehelm|Orc Nosehelm

; itm_orc_kettlehelm|Orc Kettlehelm

; itm_orc_buckethelm|Orc Buckethelm

; itm_orc_morion|Orc Morion

; itm_orc_beakhelm|Orc Beakhelm

; itm_orc_bughelm|Orc Bughelm

; itm_orc_visorhelm|Orc Visorhelm

; itm_orc_visorhelm_pl|Orc Visorhelm

itm_m_orc_light_a|Mordorká skřetí lehká zbroj
itm_m_orc_light_b|Mordorká skřetí lehká zbroj
itm_m_orc_light_c|Mordorká skřetí lehká zbroj
itm_m_orc_light_d|Mordorká skřetí lehká zbroj
itm_m_orc_light_e|Mordorká skřetí lehká zbroj
itm_m_orc_heavy_a|Mordorská skřetí těžká zbroj
itm_m_orc_heavy_b|Mordorská skřetí těžká zbroj
itm_m_orc_heavy_c|Mordorská skřetí těžká zbroj
itm_m_orc_heavy_d|Mordorská skřetí těžká zbroj
itm_m_orc_heavy_e|Mordorská skřetí těžká zbroj
; itm_m_uruk_light_a|Uruk Harness

itm_m_uruk_light_b|Skurutí kožená zbroj

; itm_m_uruk_light_c|Uruk Light Mail

; itm_m_uruk_med_a|Uruk Heavy Leather

; itm_m_uruk_med_b|Uruk Heavy Mail

; itm_m_uruk_med_c|Uruk Light Scale

; itm_m_uruk_heavy_a|Uruk Heavy Scale

; itm_m_uruk_heavy_b|Uruk Platemail

; itm_m_uruk_heavy_c|Lugburz Platemail
itm_m_uruk_heavy_j|Skurutí těžká zbroj
itm_m_uruk_heavy_k|zbroj skurutí stráže
itm_m_cap_armor|Zbroj kapitána mordoru
; itm_black_num_armor|Black Numenorean Armor
itm_m_armor_a|mordorská zbroj
itm_m_armor_b|mordorská zbroj
; itm_evil_light_armor|Sinister Garb
itm_uruk_helm_a|Skurutí helma
itm_uruk_helm_b|Skurutí helma
; itm_uruk_helm_c|Uruk Beak Helm
; itm_uruk_helm_d|Uruk Grill Helm
itm_uruk_helm_e|Skurutí helma
itm_uruk_helm_f|Skurutí helma
itm_mordor_cap_helm|helma kapitána mordoru
itm_mordor_helm|helma mordoru
; itm_black_num_helm|Black Numenorean Helm
itm_mordor_sword|Mordorsky jedenapulrucni mec
itm_mordor_longsword|Mordorsky mec
; itm_moria_armor_a|Moria Breast Harness
; itm_moria_armor_b|Moria Breast and Shoulders
; itm_moria_armor_c|Moria Orc Mail
; itm_moria_armor_d|Moria Bolted Leather
; itm_moria_armor_e|Moria Orc Heavy Mail
; itm_moria_orc_shield_a|Moria Great Shield
; itm_moria_orc_shield_b|Moria Orc Shield
; itm_moria_orc_shield_c|Moria Orc Shield
; itm_gundabad_armor_a|Gundabad Orc Rags
; itm_gundabad_armor_b|Gundabad Orc Fur
; itm_gundabad_armor_c|Gundabad Orc Armor
; itm_gundabad_armor_d|Gundabad Orc Armor
; itm_gundabad_armor_e|Gundabad Orc Heavy Armor
; itm_gundabad_helm_a|Leather Cap
; itm_gundabad_helm_b|Leather Helm
itm_gundabad_helm_c|Gundabadska helma
itm_gundabad_helm_d|Gundabadska helma
itm_gundabad_helm_e|Helma vrciho jezdce
; itm_dunland_wolfboots|Dunland Wolfboots
; itm_dunland_armor_a|Dunnish Fur Armor
; itm_dunland_armor_b|Dunnish Fur Armor
; itm_dunland_armor_c|Dunnish Fur Armor
; itm_dunland_armor_d|Dunnish Fur Armor
; itm_dunland_armor_e|Dunnish Fur Armor
; itm_dunland_armor_g|Dunnish Fur Armor
; itm_dunland_armor_h|Dun Long Fur Armor
; itm_dunland_armor_i|Dunnish Hauberk
; itm_dunland_armor_j|Dunland Hauberk
; itm_dunland_armor_k|Dun Chief Armor
; itm_dun_helm_a|Dunnish Wolf Cap
; itm_dun_helm_b|Dunnish Antler Cap
; itm_dun_helm_c|Dunnish Tall Helm
; itm_dun_helm_d|Dunnish Tall Helm

; itm_dun_helm_e|Dun Tall War Helm\t\t\t\t\t\t\t\t  
; itm_dun_shield_a|Dunnish Shield
; itm_dun_shield_b|Dunnish Shield
; itm_dun_berserker|Dunland Chieftain Sword
; itm_dunnish_antler_axe|Dunnish Antler Axe
; itm_dunnish_war_axe|Dunnish War Axe
; itm_dunnish_axe|Dunnish Axe
; itm_dunland_spear|Dunnish Spear
; itm_dunnish_pike|Dunnish Pike
itm_rohan_armor_a|Rohanska kosile
itm_rohan_armor_e|Rohanske brneni
; itm_rohan_armor_h|Rohan Leather Armor
itm_rohan_armor_k|Rohanske brneni
itm_rohan_armor_n|Rohanska supinova zbroj
itm_rohan_armor_p|Rohanska zbroj
; itm_rohan_armor_s|Rohan Guard Armor
itm_rohan_light_helmet_a|Rohanska lehka helma
itm_rohan_light_helmet_b|Rohanska lehka helmice
itm_rohan_inf_helmet_a|Rohanska pechotni helma
itm_rohan_inf_helmet_b|Rohanska pechotni helma
itm_rohan_archer_helmet_a|Rohanska lucistnicka helmice
itm_rohan_archer_helmet_b|Rohanska lucistnicka helmice
itm_rohan_archer_helmet_c|Rohanska helmice jizdniho lucistnika
itm_rohan_cav_helmet_a|Rohanska jezdecka helmice
itm_rohan_cav_helmet_b|Rohanska jezdecka helmice
itm_rohan_cav_helmet_c|undefined
itm_rohan_captain_helmet|Rohanska kapitanska helmice
itm_rohan_shield_a|Rohansky stit
itm_rohan_shield_b|Rohansky stit
itm_rohan_shield_c|Rohansky stit
itm_rohan_shield_d|Rohansky stit
itm_rohan_shield_e|Rohansky stit
itm_rohan_shield_f|Rohansky stit
; itm_rohan_shield_g|Rohan Royal Shield
itm_rohan_light_greaves|Rohanske lehke naholeniky
itm_rohirrim_war_greaves|Rohirske valecne naholeniky
; itm_rohan_shoes|Leather Shoes
; itm_rohan_cav_sword|Rohan Riding Sword
itm_rohan_inf_sword|Rohansky mec
; itm_rohan_spear|Rohan Spear
; itm_rohan_lance|Rohan Lance
itm_rohan_sword_c|Rohansky mec
itm_rohirrim_short_axe|Rohirska kratka sekyra
itm_rohirrim_long_hafted_axe|Rohirska sekyra na dlouhem toporu
; itm_rohan_2h_sword|Rohan War Sword
; itm_mirkwood_light_scale|Light Woodelf Scale
; itm_mirkwood_armor_a|Light Leather
; itm_mirkwood_armor_b|Light Quilted and Scale Armor

; itm_mirkwood_armor_c|Mirkwood Royal Mail\t\t\t\t\t\t\t
; itm_mirkwood_armor_d|Light Quilted Surcoat
; itm_mirkwood_armor_e|Light Mail and Surcoat

; itm_mirkwood_armor_f|Mirkwood Leafscale\t\t\t\t\t\t\t\t\t   
; itm_mirkwood_great_spear|Mirkwood Great Spear
; itm_mirkwood_war_spear|Mirkwood War Spear
; itm_mirkwood_short_spear|Mirkwood Spear
itm_mirkwood_knife|Bily nuz z Temneho hvozdu
itm_mirkwood_sword|Mec z Temneho hvozdu
; itm_mirkwood_spear_shield_a|Mirkwood Spearman Shield
; itm_mirkwood_spear_shield_b|Mirkwood War Shield
; itm_mirkwood_spear_shield_c|Mirkwood Swordsman Shield
itm_mirkwood_helm_a|Helma lucistnika z Temneho hvozdu
itm_mirkwood_helm_b|Přilba z Temného hvozdu
; itm_mirkwood_helm_c|Mirkwood Royal Spearman Helm
itm_mirkwood_helm_d|Královská lučištnická přilba z Temného hvozdu
itm_mirkwood_boots|Boty z Temneho hvozdu
itm_mirkwood_leather_greaves|Kozene naholeniky z Temneho hvozdu
; itm_harad_tunic|Harad Tunic
; itm_harad_padded|Harondor Padded Armor
; itm_harad_hauberk|Harondor Hauberk
; itm_harad_lamellar|Harasjala Armor
; itm_harad_heavy|Harad Noble Armor
; itm_harad_skirmisher|Light Harad Garb
; itm_harad_archer|Harad Archer Armor
; itm_black_snake_armor|Maranka Armor
; itm_harad_champion|Far Harad Garb
; itm_panther_guard|Panther Hide
; itm_harad_scale|Harad Scale Armor
; itm_harad_tiger_scale|Tiger Guard Armor
; itm_harad_lion_scale|Lion Guard Armor
; itm_harad_dragon_helm|Kiloka Helm
; itm_harad_cav_helm_a|Harondor Cavalry Helm
; itm_harad_cav_helm_b|Harondor Cavalry Helm
; itm_black_snake_helm|Maranka Helm
; itm_harad_finhelm|Great Harad Helmet
; itm_harad_heavy_inf_helm|Great Harad Helmet
; itm_harad_wavy_helm|Great Harad Helmet
; itm_harad_eaglehelm|Eagle Guard Helm
; itm_lion_helm|Lion Guard Helm
; itm_harad_pantherhelm|Panther Guard Cap
; itm_harad_khopesh|Harad Khopesh
; itm_black_snake_sword|Harad Heavy Falchion
; itm_harad_heavy_sword|Harad Heavy Sword
; itm_horandor_a|Harad Scimitar
; itm_skirmisher_sword|Harad Skirmisher Sword
; itm_harad_sabre|Harad Sabre
; itm_harad_mace|Far Harad Mace
; itm_far_harad_2h_mace|Far Harad Two Handed Mace
; itm_harad_dagger|Harad Knife
; itm_harad_short_spear|Harad Short Spear
; itm_harad_long_spear|Harad Spear
