ui_at_learning_limit|(ถึงขีดจำกัดการเรียนของเผ่านี้)
ui_value_denars|%d ค่าทรัพยากร
ui_cannot_be_used_on_horseback|ไม่สามารถใช้ได้เมื่อทำการขี่ม้า/สัตว์
ui_upgrade_to_value|อัพเกรดเป็น %s
ui_notification_cant_upgrade|(ไม่สามารถอัพเกรดได้เมื่อกำลังทำการให้ทหาร)
ui_lance_control|การควบคุมหอก:
ui_manual_easy|คู่มือ (ง่าย)
ui_manual_hard|คู่มือ (ยาก)
ui_campaign_ai|แคมเปญ AI (ไม่ได้ใช้ใน TLD):
ui_crouch|หมอบ

# swy: added from this spreadsheet, as requested by our translators:
#      https://docs.google.com/spreadsheets/d/1_zpuLL5iCwybkPCiJLOuyXTdZDm1_zxoToTroJRbtp4/edit?usp=sharing
ui_are_you_sure_you_want_to_import_the_character|คุณแน่ใจหรือไม่ว่าต้องการนำเข้าตัวละคร?
; ui_explanation_strength|Strength: Every point adds +1 to hit points. The following skills can not be developed beyond 1/3 of Strength: ironflesh, Power-strike, Power-throw, Power-draw.
; ui_explanation_intelligence|Intelligence: Every point to intelligence immediately gives one extra skill point, and slightly increases XP gain on some occasions. The following skills can not be developed beyond 1/3 of Intelligence: Trainer, Tracking, Tactics,  Path-finding, Spotting, Inventory Management, Wound Treatment, Surgery, and First Aid.
; ui_explanation_charisma|Charisma: Improves your standing with people and factions. Each point increases your party size limit by +1. The following skills can not be developed beyond 1/3 of Charisma: Prisoner Management, Wildcraft, Leadership, Trade.
ui_delivered_number_damage|ได้รับความเสียหาย%d
ui_mission_losses_killed|ฆ่า :
; ui_party_losses|%s  : %d wounded --- %d killed of %d.
ui_following|กำลังติดตาม
ui_accompanying|ที่มาพร้อมกับ
ui_dumping_value_items|%d จะหายไปตลอดกาล คุณแน่ใจหรือไม่?
ui_dumping_value_item|สิ่งของชิ้นหนึ่งจะหายไปอย่างถาวร คุณแน่ใจหรือไม่?
ui_notification_requirements_not_met|คุณไม่มีทักษะหรือคุณสมบัติที่จำเป็นสำหรับอาวุธนี้
ui_disband|ยุบกลุ่ม
ui_you_hit_a_friendly_troop|คุณโจมตีฝ่ายเดียวกัน
ui_you_are_not_carrying_any_arrows|คุณไม่ได้พกพาลูกธนู
ui_received_number_damage|คุณได้รับ %d ดาเมจ
; ui_you_have_improved_your_proficiency_in_value_to_number|You have improved your proficiency in %s to %d.
; ui_your_proficiency_in_value_has_improved_by_number_to_number|Your proficiency in %s has improved by +%d to %d.
ui_value_killed_by_value|%s ถูกสังหารโดย %s
ui_value_knocked_unconscious_by_value|%s ถูกทำให้หมดสติโดย %s
ui_you_got_number_experience|คุณได้รับค่าประสบการณ์ %d หน่วย
ui_you_have_advanced_to_level_number|คุณได้เลื่อนระดับไปสู่เลเวล %d
ui_quest_succeeded_value|ภารกิจสำเร็จ: %s
ui_number_of_companions_exceeds_leadership_limit|สหายหลายคนเกินขีดจำกัดความเป็นผู้นำ
ui_number_of_prisoners_exceeds_prisoner_management_limit|นักโทษจำนวนมากเกินขีดจำกัดการจัดการนักโทษ
ui_shared_number_experience_within_party|คุณได้แบ่งปันค่าประสบการณ์ %d หน่วย กับกองทัพของคุณ
ui_your_relations_with_value_has_improved_from_number_to_number|ค่าความสัมพันธ์กับ %s ได้พัฒนาจาก  %d ไปสู่  %d
ui_your_relations_with_value_has_deteriorated_from_number_to_number|ค่าความสัมพันธ์กับ %s ได้ลดลงจากจาก %d ไปสู่ %d
ui_you_lost_value|คุณสูญเสีย %s
ui_change_graphics_settings_explanation|การเปลี่ยนแปลงบางอย่างที่คุณทำจะมีผลเมื่อคุณเข้าสู่พื้นที่ใหม่
; ui_game_log_window|Game Log Window
; ui_blunt_short|b
; ui_tracks|Tracks
ui_need_to_learn_prisoner_management|คุณต้องเรียนรู้ทักษะการจัดการนักโทษเพื่อรับนักโทษ
ui_unbalanced|ไม่สมดุล
ui_can_crush_through_blocks|สามารถบดขยี้ผ่านบล็อก

; ui_order_1|Select Order 1
; ui_order_2|Select Order 2
; ui_order_3|Select Order 3
; ui_order_4|Select Order 4
; ui_order_5|Select Order 5
; ui_order_6|Select Order 6
ui_order_button_hold_this_position|ตรึ่งตำแหน่งนี้
ui_order_button_follow_me|ปฏิบัติตามฉัน
; ui_order_button_charge|Charge
; ui_order_button_stand_ground|Stand ground
; ui_order_button_retreat|Retreat
; ui_order_button_advance|Advance ten paces
; ui_order_button_fall_back|Fall back ten paces
; ui_order_button_spread_out|Spread out
; ui_order_button_stand_closer|Stand closer
ui_order_button_mount_horses|ขี่
ui_order_button_dismount|ลงจากหลังม้า
ui_order_button_hold_fire|เตรียมยิง
ui_order_button_fire_at_will|ยิงเมื่อมีโอกาส
; ui_order_button_use_blunt_weapons|Use only blunt weapons
; ui_order_button_use_any_weapon|Use weapons at will
; ui_order_button_movement_orders|Movement orders
; ui_order_button_formation_orders|Formation orders
ui_order_button_fire_orders|คำสั่งยิง
; ui_follow_me_e_|%s, follow me!
; ui_charge_e_|%s, charge!!!
; ui_stand_ground_e_|%s, stand ground!
; ui_retreat_e_|%s, retreat!
ui_mount_horses_e_|%s, ขึ้นม้า!
; ui_dismount_e_|%s, dismount!
; ui_advance_e_|%s, advance ten paces!
; ui_fall_back_e_|%s, fall back ten paces!
; ui_stand_closer_e_|%s, stand closer!
; ui_spread_out_e_|%s, spread out!
; ui_use_blunt_weapons_e_|%s, use only blunt weapons!
; ui_use_any_weapon_e_|%s, use weapons at will!
ui_hold_fire_e_|%s, หยุดยิง!
ui_fire_at_will_e_|%s, ยิงได้อย่างอิสระ!
; ui_hold_this_position_e_|%s, hold this position!
ui_infantry|ทหารราบ
ui_archers|พลธนู
ui_cavalry|ทหารม้า
ui_companions|สหาย
ui_everyone_hear_me|ทุกคน ฟังฉันนะ!
ui_everyone|ทุกคน
ui_everyone_around_me|ทหารใกล้เคียง
ui_str_hear_me|%s, ได้ยินฉัน!

ui_return|กลับ
ui_factions|ฝ่าย
ui_troop_upgrades|การอัพเกรดกองกำลัง
ui_hdr_mode|โหมด HDR:
ui_autoexpore|เปิดรับแสงอัตโนมัติ (แนะนำให้เปิดหากเปิด HDR)
ui_saving_policy_realistic|ไม่ออกโดยไม่ต้องบันทึก! (ไม่แนะนำ)
ui_saving_policy_nonrealistic|ออกโดยไม่บันทึก (แนะนำให้เก็บหลายๆ บันทึก)
