ip_battle_formations|Formasi Pertempuran: TLD FormAI
ip_starting_tips_text|Anda memilih faksi Anda di awal dan Anda tidak dapat mengubahnya nanti. Anda juga dapat memilih dari berbagai ras: Manusia, Elf, Kurcaci, Uruk, Uruk-hai, atau Orc. Ingatlah bahwa faksi dan ras yang Anda pilih akan membatasi Anda dalam beberapa hal. Beberapa faksi menyediakan prajurit yang unggul, tetapi dalam jumlah kecil. Beberapa memiliki pasukan yang lemah, tetapi Anda dapat mempekerjakan banyak orang. Orc yang lebih kecil tidak bisa memakai armor yang dirancang untuk orang besar, tapi bisa menunggangi beberapa monster. Kurcaci mempunyai perlengkapan yang luar biasa, tapi tidak bisa menaiki tunggangan.^^Ini tidak dirancang untuk menjadi seimbang sepenuhnya (secara artifisial). Memainkan ras atau faksi yang lebih lemah bisa jadi lebih menantang (sebagai game pertama, Anda mungkin ingin memilih opsi, di menu awal, yang ditempatkan di atas daftar alternatif).^^Anda memilih faksi dan memperjuangkannya sampai pihakmu memenangkan perang besar, atau sampai faksimu musnah. Dalam hal ini kamu masih bisa terus berjuang untuk sekutumu.^^- berkeliaran tanpa tujuan bukanlah ide yang bagus, Perang membutuhkan tujuan dan niat dari pihakmu. Sebelum perang dimulai, Anda mencoba mengumpulkan sekelompok prajurit, menyiapkan teman bersyarat rendah, dan beberapa perlengkapan. Setelah perang dimulai, strategi Anda mungkin berbeda-beda. Ingat, penting untuk membantu sekutumu DAN menjatuhkan musuh.^- melakukan misi untuk penguasa faksi adalah cara yang baik untuk naik peringkat dan mendapatkan sumber daya serta poin pengaruh.^- melakukan banyak misi/pencarian sekaligus, tanya semuanya! Anda sering kali dapat "berkeliling" dan melakukan beberapa pekerjaan lain saat mengantarkan surat misalnya. Jangan buang waktu!
ip_rumours_and_legendary_places|Rumor dan Tempat Legendaris
ip_rumours_and_legendary_places_text|Berbicara dengan orang-orang di pemukiman, Anda dapat membaca komentar dari sudut pandang faksi mereka. Ini sering kali berisi pengetahuan menarik dan terkadang bahkan informasi untuk membuka Lokasi Legendaris khusus di peta dunia.^^Beberapa di antaranya hanya untuk eksplorasi dan tidak memiliki tujuan lain, beberapa di antaranya berisi misi unik dan easter eggs. Saat Anda membuka kuncinya, Anda akan diberi tahu melalui pesan.
ip_trolls|Trolls
; ip_trolls_text|Trolls are very powerful. Evil players can only recruit them by spending influence points. Untrained trolls can become uncontrollable or even run amok!^^If you're looking for trolls as a mission, they can be found roaming around settlements they've been harassing (although friendly parties sometimes drive them further away, or outright deal with them before you do), or they roam the Misty Mountains, mostly nearby to their home caves.
ip_custom_camera|Kamera Khusus
ip_custom_camera_text|The Last Days of the Third Age telah menerapkan Kamera Khusus untuk melewati batasan kamera saat ini sehubungan dengan ras yang lebih pendek (yaitu Orc dan Kurcaci). Mudah digunakan, namun memerlukan waktu untuk terbiasa.^^Ada 2 mode: Posisi Tetap dan Mode Bebas.^^Posisi tetap adalah posisi optimal untuk semua balapan, namun tidak dapat dikonfigurasi.^^ Kamera Mode Bebas menempatkan karakter di tengah layar. Kamera ini dapat disesuaikan dengan preferensi pemain. Saat membidik saat memanah atau melempar, kamera akan kembali ke kamera default untuk membidik dengan lebih baik (yang mungkin cukup sulit pada awalnya, tetapi orang akan terbiasa melakukannya). Setelah proyektil digunakan, proyektil kembali ke kamera khusus.^^^Kontrol:^^Tekan tombol Ctrl+End secara bersamaan untuk beralih di antara tiga mode kamera yang berbeda: Kamera Default / Kamera Tetap / Kamera Mode Bebas.^^ Saat dalam "Kamera Mode Bebas", Tekan dan tahan Ctrl dan Panah Atas (atau Panah Bawah) untuk mengatur ketinggian kamera (Kemiringan).^^Saat dalam "Kamera Mode Bebas", Tekan dan tahan Ctrl dan Numpad + (atau Numpad -) untuk mengatur jarak kamera (Zoom).^^Selain itu, Anda juga dapat menekan Shift sambil menggerakkan/memperbesar kamera untuk mengaktifkan penghalusan.^^Saat dalam "Kamera Mode Tetap", Tekan Ctrl dan Panah kiri/bawah/kanan untuk beralih pandangan antara bahu kiri / tengah / bahu kanan.
ip_sieges|Pengepungan AI
; ip_sieges_text|The Last Days of the Third Age has an Advanced Siege AI, vastly different from Native. All attackers and defenders will be distributed to the left and right flanks and the center. Players command some of their own troops. Troops from your party will also join when they're near to the player. Use them wisely to help out where needed most.^^In order to win a siege attack, you must conquer all three defender reinforcement points. You can only take a reinforcement point if the defenders have already rallied there.
; ip_battle_terrain|Battle Effects: Terrain and Weather
; ip_battle_terrain_text|Terrain and weather can have a big effect on the outcome of a battle. Difficult terrain like forests or marshland makes it different to move and fight, but light-armored troops (generally indicated by a higher athletics skill) suffer much less.^^The player and companion NPCs suffer a terrain penalty based on their equipment weight and agility attribute.^^Special "magical" weather effects can apply in certain areas. These can strengthen or weaken your troops.
; ip_night_penalty|Battle Effects: Day and Night
; ip_night_penalty_text|Orcs and trolls hate the sun, but love the darkness of the night. In some regions, tall mountains or dim forests block out the sun and make fighting at daylight more bearable for orcs.^Uruks und Uruk-hai fight and run equally well at night or day.^Other races fight worse at night than they do at day, Men more so than Elves or Dwarves. However, some Men are accustomed to fighting in the dark and suffer no penalty.^^Underground battles are especially difficult. Orcs, Uruks, trolls and Dwarves don't mind fighting in dark tunnels.
; ip_formations _txss _txss= _txss" "
; ip_formations_text _txss _txss= _txss" "
