itm_horse_meat|Konjsko meso
itm_gon_tower_guard|Oklop garde kule gondora
itm_gon_tower_knight|Oklop viteza kule gondora
itm_gon_leader_surcoat_cloak|Oklop vodja gondora
itm_gondor_ranger_hood|Zelena kapuljaca
itm_gondor_ranger_hood_mask|Kapuljaca rendzera gondora
itm_gondor_light_greaves|Gondorske kožne čizme
itm_gondor_med_greaves|Gondorske srednje čizme
itm_gondor_heavy_greaves|Gondorske verižnačke čizme
; itm_gondor_auxila_helm|Gondor Light Helm
; itm_gondorian_archer_helm|Gondor Archer Helm
itm_tower_archer_helm|Kaciga Strelca Kule
itm_gondor_leader_helm|Gondorska visoka kaciga
itm_tower_guard_helm|Kaciga Čuvara Kule
itm_gondor_citadel_knight_helm|Kaciga Viteza Citadele
itm_gondor_infantry_helm|Kaciga Gondorske Pešadije
; itm_gondor_knight_helm|Gondor Cavalry Helm
itm_gondor_dolamroth_helm|Kaciga Dol Amrota
itm_swan_knight_helm|Kaciga Labudovog Viteza
itm_gondor_lamedon_helm|Lamedonska Kaciga
itm_gondor_lamedon_leader_helm|Lamedonska Jača Kaciga
itm_blackroot_archer|Crnokorenasti dolinski ogrtni gambezon
itm_blackroot_bowman|Crnokorenasto dolinski ogrtni prsluk
itm_blackroot_footman|Crnokorenasto dolinski prsluk
itm_blackroot_warrior|Crnokorenasto dolinski gambezon
itm_blackroot_leader|Crnokorenasto dolinska verežnjača
itm_blackroot_hood|Crna kapuljača
itm_dol_hauberk|Dol Amrotska Oklopna košulja
itm_dol_heavy_mail|Dol Amrotska Teška Verižnjača
itm_dol_padded_coat|Dol Amrotsko Tapacirano Krzno
itm_dol_shirt|Dol Amrotska Košulja
itm_dol_very_heavy_mail|Dol Amrotska Veoma Teška Verižnjača
itm_dol_greaves|Dol Amrotske čizme
itm_dol_shoes|Dol Amrotske Lake Čizme
itm_lamedon_clansman|Lamedonski Klanski Oklop
itm_lamedon_footman|Oklop Lamedonskog Pešadinca
itm_lamedon_knight|Oklop Lamedonskog Viteza
itm_lamedon_leader_surcoat_cloak|Oklop Lamedonskog Vođe
itm_lamedon_warrior|Oklop Lamedonoskog Ratnika
itm_lamedon_veteran|Oklop Lamedonskog Veterana
itm_lamedon_vet_warrior|Oklop Lamedonskog  Ratnika Veterana
itm_lamedon_hood|Kapuljača
itm_pinnath_archer|Oklop Strelca iz Pinat Gelina
itm_pinnath_footman|Oklop Pešadinca iz Pinat Gelina
itm_pinnath_leader|Pinato Gelinski viteški oklop
itm_pinnath_vet_footman|Oklop Pešadinca Veterana iz Pinat Gelina
itm_pinnath_warrior|Oklop Ratnika iz Pinat Gelina
itm_pel_footman|Oklop Pešadinca iz Pelargira
itm_pel_jerkin|Pelargirski Prsluk
itm_pel_leader|Oklop Pelargirskog Vođe
itm_pel_marine|Pelargirski Marinac
itm_pelargir_marine_leader|Vođa Pelargirskih Marinaca
itm_pelargir_regular|Pelargirski Regulaš
itm_pelargir_hood|Bela kapuljača
itm_pelargir_helmet_light|Pelargirska Kaciga
itm_pelargir_helmet_heavy|Pelargirska Teška Kaciga
itm_pelargir_greaves|Pelargirske čizme
itm_lossarnach_shirt|Lozarnaška Košulja
itm_lossarnach_axeman|Oklop Lozarnaškog Sekiraša
itm_lossarnach_leader|Oklop Lozarnaškog Vođe
itm_lossarnach_vet_axeman|Oklop Lozarnaškog Sekiraša Veterana
itm_lossarnach_vet_warrior|Oklop Lozarnaškog Ratnika Veterana
itm_lossarnach_warrior|Oklop Lozarnaškog Ratnika
itm_lossarnach_cloth_cap|Lozarnaška Platnena Kapa
itm_lossarnach_leather_cap|Lozarnaška Kožna Kapa
itm_lossarnach_scale_cap|Lozarnaška Tvrdokožna Kapa
itm_lossarnach_greaves|Losarnačke čizme
itm_gondor_shield_a|Gondorski Kockasti Štit
; itm_gondor_shield_b|Gondor Kite Shield
itm_gondor_shield_c|Oklop Gondorske Kule
; itm_gondor_shield_d|Gondor Kite Shield
; itm_gondor_shield_e|Gondor Citadel Shield
itm_gon_tab_shield_a|Heraldski Gondorski Okrugli Štit
itm_gon_tab_shield_b|Heraldski Gondorski Kockasti Štit
; itm_gon_tab_shield_c|Heraldic Gondor Kite Shield
itm_gon_tab_shield_d|Heraldski Štit Gondorske Kule
itm_amroth_sword_a|Dol Amrotski Mač
itm_amroth_sword_b|Dol Amrotski Viteški Mač
itm_gondor_sword|Gondorski Pešadinski Mač
; itm_amroth_bastard|Dol Amroth Swan Blade
; itm_gondor_short_sword|Linhir Eket
; itm_pelargir_eket|Pelargir Eket
itm_pelargir_sword|Pelargirski Mač
itm_gondor_ranger_sword|Gondorski Rendžerski Mač
; itm_gondor_2h_sword|Gondor War Sword
itm_gondor_citadel_sword|Gondorski Mač Citadele
itm_gondor_cav_sword|Gondorski Konjički mač
itm_gondor_spear|Gondorsko Koplje
itm_gondor_tower_spear|Koplje Gondorske Kule
itm_gondor_lance|Gondorsko Dugo Koplje
; itm_loss_axe|Gondor Fighting Axe
; itm_loss_war_axe|Gondor War Axe
itm_lorien_sword_a|Lorienski Dugi Mač
itm_lorien_sword_b|Lorienski Kratki Mač
itm_lorien_sword_c|Lorienski Ratni Mač
itm_lorien_archer|Oklop Lorienskog Strelca
; itm_lorien_armor_a|Lorien Quilted Armor
; itm_lorien_armor_b|Lorien Mail Armor
; itm_lorien_armor_c|Lorien Scale Armor
itm_lorien_boots|Lotlorienske Čizme
itm_lorien_shield_b|Štit Lorienske Kule
; itm_lorien_shield_c|Lorien Kite Shield
itm_lorien_round_shield|Lorienski Okrugli Štit
itm_lorien_helm_a|Kaciga Lorienskog Strelca
itm_lorien_helm_b|Kaciga Lorienskog Strelca
itm_lorien_helm_c|Kaciga Lorienske Pešadije
; itm_orc_coif|Orc Skullcap
itm_orc_greaves|Orkovske Mrežaste Čizme
itm_orc_ragwrap|Orkovski Dronjak
itm_orc_furboots|Orkovske Krznene Čizme
itm_orc_tribal_a|Nelečena Koža
itm_orc_tribal_b|Nelečena Koža
itm_orc_tribal_c|Nelečena Koža
; itm_evil_gauntlets_a|Black Gloves
; itm_evil_gauntlets_b|Black Gauntlets
; itm_isen_orc_light_a|Isengard Orc Light Harness
; itm_isen_orc_light_b|Isengard Orc Light Harness
; itm_isen_orc_pad_a|Isengard Orc Light Segmented Armor
; itm_isen_orc_pad_b|Isengard Orc Medium Segmented Armor
; itm_isen_orc_mail_a|Isengard Orc Mail
; itm_isen_orc_mail_b|Isengard Orc Heavy Segmented Armor
itm_isen_uruk_light_a|Uruk-Hai Laki Pojas
; itm_isen_uruk_light_b|Uruk-hai Fighting Harness
; itm_isen_uruk_light_c|Uruk-hai Berserker Harness
; itm_isen_uruk_med_a|Uruk-hai Light Segmented Armour
; itm_isen_uruk_med_b|Uruk-hai Mail
; itm_isen_uruk_heavy_a|Uruk-hai Medium Segmented Armour
; itm_isen_uruk_heavy_b|Uruk-hai Heavy Mail
; itm_isen_uruk_heavy_c|Uruk-hai Full Segmented Armour
itm_isen_uruk_heavy_d|Uruk-Hai Kožni Oklop Tragača
itm_isen_uruk_heavy_e|Uruk-Hai Kožni Oklop Tragača
itm_uruk_tracker_boots|Čizme Uruk Tragača
itm_uruk_greaves|Urukske Oklopne Rukavice
itm_uruk_chain_greaves|Urukske Verizne Rukavice
itm_uruk_ragwrap|Urukški Dronjak
; itm_isen_orc_helm_a|Isengard Orc Helm
itm_isen_uruk_helm_a|Uruk-Hai Kaciga
itm_isen_uruk_helm_d|Kaciga Uruk-Hai Kapetana
itm_isen_uruk_helm_e|Kaciga Uruk-Hai Tragača
; itm_uruk_pike_b|Mordor Pike
itm_uruk_falchion_a|Urukška Sablja
; itm_uruk_falchion_b|Orc Great Scimitar
itm_isengard_sword|Izengardski Mač
itm_isengard_axe|Izengardska Sekira
itm_isengard_hammer|Izengardski Čekić
itm_isengard_halberd|Izengardska Helebarda
itm_isengard_mallet|Izengardski Malj
itm_isengard_heavy_axe|Izengardska Teška Sekira
itm_isengard_heavy_sword|Izengardski Teški Mač
itm_isengard_spear|Izengardsko Koplje
itm_isengard_pike|Izengardsko Veoma Dugo Koplje
itm_isen_orc_shield_a|Štit Izen Orka
itm_isen_orc_shield_b|Štit Izen Orka
itm_isen_uruk_shield_b|Štit Izen Uruka
itm_wood_club|Drvena Palica
itm_twohand_wood_club|Velika Drvena Palica
itm_bone_cudgel|Toljaga od Kostiju
; itm_orc_pick|Orc Pick
; itm_orc_hammer|Evil Hammer
; itm_orc_club_b|Warg Rider Club
; itm_orc_club_c|Spiky Orc Club
; itm_orc_club_d|Evil Mace
itm_orc_sledgehammer|Orkovska Macola
itm_orc_simple_spear|Orkovsko Koplje
itm_orc_skull_spear|Orkovsko Koplje od Kostiju
; itm_orc_bill|Orc Polearm
; itm_orc_slasher|Orc Short Sword
itm_orc_falchion|Orkovska Zakrivljena Mačeta
itm_orc_scimitar|Orkovska Zakrivljena Sablja
itm_orc_sabre|Orkovska Sablja
; itm_orc_battle_axe|Orc Battle Axe
itm_orc_axe|Orkovska Sekira
; itm_orc_two_handed_axe|Orc Great Axe
itm_orc_throwing_axes|Orkovska Sekira za Bacanje
itm_orc_bow|Orkovski Luk
; itm_orc_shield_a|Simple Shield
; itm_orc_shield_b|Fur Shield
; itm_orc_shield_c|Fur Tower Shield
itm_mordor_orc_shield_a|Štit Mordorskog Orka
itm_mordor_orc_shield_b|Štit Mordorskog Orka
itm_mordor_orc_shield_c|Štit Mordorskog Orka
itm_mordor_orc_shield_d|Štit Mordorskog Orka
itm_mordor_orc_shield_e|Štit Mordorskog Orka
itm_mordor_uruk_shield_a|Štit Mordorskog Uruka
itm_mordor_uruk_shield_b|Štit Mordorskog Uruka
itm_mordor_uruk_shield_c|Štit Mordorskog Uruka
itm_mordor_man_shield_a|Štit Mordorskog Čoveka
itm_mordor_man_shield_b|Štit Mordorskog Čoveka
itm_angmar_shield|Angmarski Štit
; itm_orc_nosehelm|Orc Nosehelm
; itm_orc_kettlehelm|Orc Kettlehelm
itm_orc_buckethelm|Orkovska Kofasta Kaciga
; itm_orc_morion|Orc Morion
itm_orc_beakhelm|Orkovska Kljunasta Kaciga
itm_orc_bughelm|Orkovska Bubasta Kaciga
; itm_orc_visorhelm|Orc Visorhelm
itm_m_orc_light_a|Mordorski Ork Laki Oklop
itm_m_orc_light_b|Mordorski Ork Laki Oklop
itm_m_orc_light_c|Mordorski Ork Laki Oklop
itm_m_orc_light_d|Mordorski Ork Laki Oklop
itm_m_orc_light_e|Mordorski Ork Laki Oklop
itm_m_orc_heavy_a|Mordorski Ork Teski Oklop
itm_m_orc_heavy_b|Mordorski Ork Teski Oklop
itm_m_orc_heavy_c|Mordorski Ork Teski Oklop
itm_m_orc_heavy_d|Mordorski Ork Teski Oklop
itm_m_orc_heavy_e|Mordorski Ork Teski Oklop
itm_m_uruk_light_a|Urukski Pojas
itm_m_uruk_light_b|Urukski Kozni Oklop
; itm_m_uruk_light_c|Uruk Light Mail
; itm_m_uruk_med_a|Uruk Heavy Leather
; itm_m_uruk_med_b|Uruk Heavy Mail
; itm_m_uruk_med_c|Uruk Light Scale
; itm_m_uruk_heavy_a|Uruk Heavy Scale
; itm_m_uruk_heavy_b|Uruk Platemail
; itm_m_uruk_heavy_c|Lugburz Platemail
itm_m_cap_armor|Oklop Kapetana Mordora
itm_black_num_armor|Crni Numenorski Oklop
itm_m_armor_a|Mordorski Oklop
itm_m_armor_b|Mordorski Oklop
itm_evil_light_armor|Zla Odeca
itm_uruk_helm_a|Urukska Kaciga
itm_uruk_helm_b|Urukska Kaciga
itm_uruk_helm_c|Urukska Kljunasta Kaciga
itm_uruk_helm_d|Urukska Resetkasta Kaciga
itm_uruk_helm_e|Urukska Kaciga sa Maskom
itm_uruk_helm_f|Urukska Kaciga
itm_mordor_cap_helm|Kaciga Kapetana Mordora
itm_mordor_helm|Mordorska Kaciga
itm_black_num_helm|Crna Numenorska Kaciga
itm_mordor_sword|Bastard Mac Mordora
itm_mordor_longsword|Mac Mordora
itm_moria_armor_a|Morijski Grudni Pojas
itm_moria_armor_b|Morijski Grudni i Rameni Oklop
itm_moria_armor_c|Morijski Orkovski Verizni Oklop
itm_moria_armor_d|Morijski Ocrvsceni Kozni Oklop
itm_moria_armor_e|Morijski Orkovski Teski Verizni Oklop
; itm_moria_orc_shield_a|Moria Great Shield
itm_moria_orc_shield_b|Morijski Orkovski Stit
itm_moria_orc_shield_c|Morijski Orkovski Stit
itm_gundabad_armor_a|Krpe Gundabad Orkova
itm_gundabad_armor_b|Krzno Gundabad Orkova
itm_gundabad_armor_c|Oklop Gundabad Orkova
itm_gundabad_armor_d|Oklop Gundabad Orkova
itm_gundabad_armor_e|Teski Oklop Gundaband Orkova
; itm_gundabad_helm_a|Leather Cap
; itm_gundabad_helm_b|Leather Helm
itm_gundabad_helm_c|Gundabadska Kaciga
itm_gundabad_helm_d|Gundabadska Kaciga
itm_gundabad_helm_e|Kaciga Jahaca Vargi
itm_dunland_wolfboots|Dunlandske Vuk-Cizme
; itm_dunland_tunic_1|Dunnish Leather Tunic
; itm_dunland_tunic_2|Dunnish Leather Tunic
; itm_dunland_fur_1|Dunnish Fur
; itm_dunland_fur_2|Dunnish Fur
itm_dunland_mail_1|Dunska Oklopna Kosulja
itm_dunland_mail_2|Dunska Oklopna Kosulja
; itm_dunland_chieftain|Dunnish Chief Armor
itm_dun_helm_a|Dunska Vuk Kaciga
; itm_dun_helm_b|Dunnish Fur Cap
itm_dun_helm_c|Dunska Velika Kaciga
itm_dun_helm_d|Dunska Velika Kaciga
; itm_dun_helm_e|Dunnish Antler Helm
; itm_dun_shield_a|Dunnish Roundshield
; itm_dun_shield_b|Dunnish Oval Shield
itm_dun_berserker|Mac Plemenskog Vodlje Dunlanda
itm_dunnish_antler_axe|Dunska Sekira Sa Rogovima
itm_dunnish_war_axe|Dunska Ratna Sekira
itm_dunnish_axe|Dunska Sekira
itm_dunland_spear|Dunsko Koplje
itm_dunnish_pike|Dunsko Veliko Koplje
itm_rohan_cav_sword|Rohanski Konjanicki Mac
itm_rohan_inf_sword|Rohanski Mac
itm_rohan_spear|Rohansko Koplje
itm_rohan_lance|Rohansko Konjanicko Koplje
itm_rohan_sword_c|Rohanski Mac
itm_rohirrim_short_axe|Rohirimska Kratka Sekira
itm_rohirrim_long_hafted_axe|Rohirimska Duga Sekira
itm_rohan_2h_sword|Ratni Mac Rohana
; itm_rohan_recruit|Rohan Padded Jerkin
; itm_rohan_leather|Rohan Leather Vest
itm_rohan_mail|Rohanska Oklopna Kosulja
; itm_rohan_rider|Rohan Rider Armor
itm_rohan_scale|Rohanski Krljustni Oklop
; itm_rohan_surcoat|Rohan Surcoat
; itm_rohan_guard|Rohan Guard Armor
itm_rohan_light_helmet_a|Rohanski Laki Slem
itm_rohan_light_helmet_b|Rohanski Laki Slem
; itm_rohan_inf_helmet_a|Rohan Eyeguard Helm
; itm_rohan_inf_helmet_b|Rohan Eyeguard Helm
; itm_rohan_archer_helmet_a|Rohan Nasal Helm
; itm_rohan_archer_helmet_b|Rohan Nasal Helm
; itm_rohan_archer_helmet_c|Rohan Guard Helm
itm_rohan_shield_a|Rohanski Stit
itm_rohan_shield_b|Rohanski Stit
itm_rohan_shield_c|Rohanski Stit
itm_rohan_shield_d|Rohanski Stit
itm_rohan_shield_e|Rohanski Stit
itm_rohan_shield_f|Rohanski Stit
itm_rohan_shield_g|Rohanski Rojalni Stit
itm_rohan_light_greaves|Rohanske Lake Cizme
itm_rohirrim_war_greaves|Rohirim Ratne Cizme
; itm_mirkwood_leather|Woodelf Leather Armor
; itm_mirkwood_pad|Greenwood Quilted Coat
; itm_mirkwood_mail|Greenwood Mail
; itm_mirkwood_scale|Greenwood Light Scale
; itm_mirkwood_heavy_scale|Greenwood Leafscale
; itm_mirkwood_sword|Woodelf Sword
; itm_mirkwood_great_spear|Greenwood Great Spear
; itm_mirkwood_war_spear|Greenwood War Spear
; itm_mirkwood_short_spear|Woodelf Spear
; itm_mirkwood_knife|Woodelf Knife
; itm_mirkwood_axe|Woodelf Axe
; itm_mirkwood_spear_shield_a|Woodelf Shield
; itm_mirkwood_spear_shield_b|Greenwood War Shield
; itm_mirkwood_spear_shield_c|Woodelf Round Shield
; itm_mirkwood_helm_a|Woodelf Archer Helm
; itm_mirkwood_helm_b|Greenwood Helm
; itm_mirkwood_helm_c|Greenwood Heavy Helm
; itm_mirkwood_helm_d|Greenwood Royal Helm
; itm_woodelf_leather_boots|Woodelf Leather Boots
; itm_mirkwood_boots|Greenwood Boots
itm_harad_tunic|Haradsla Tunika
; itm_harad_padded|Harad Padded Jerkin
; itm_harad_lamellar|Harad Scale Vest
; itm_harad_heavy_lamellar|Harad Heavy Scale Vest
itm_harad_heavy|Harasjalski Oklop
; itm_harad_pectoral|Harad Breastplate
itm_black_snake_armor|Marankski Oklop
itm_harad_champion|Duga Haradska Odeca
itm_harad_scale|Haradski Krljustni Oklop
itm_harad_lion_scale|Oklop Lav Garde
itm_harad_dragon_helm|Kioka Kaciga
; itm_harad_cav_helm_a|Harondor Light Helm
; itm_harad_cav_helm_b|Harondor Light Helm
itm_black_snake_helm|Marankska Kaciga
; itm_harad_finhelm|Harad Heavy Footman Helmet
; itm_harad_heavy_inf_helm|Harad Footman Helmet
; itm_harad_wavy_helm|Harad Conical Helmet
itm_harad_eaglehelm|Kaciga Orlove Garde
itm_lion_helm|Kaciga Lavlje Garde
itm_harad_pantherhelm|Kaciga Panter Garde
itm_harad_khopesh|Haradska Sablja
; itm_black_snake_sword|Harad Cobra Sword
; itm_harad_heavy_sword|Harad Dragon Sword
itm_horandor_a|Haradska Zakrivljena Sablja
itm_skirmisher_sword|Haradski Mac Strelaca
; itm_harad_sabre|Harad Salamander Sword
itm_harad_mace|Veliki Haradski Buzdovan
itm_far_harad_2h_mace|Veliki Haradski Buzvdovan Za Dve Ruke
itm_harad_dagger|Haradski Noz
itm_harad_short_spear|Haradsko Kratko Koplje
itm_harad_long_spear|Haradsko Koplje
itm_eagle_guard_spear|Harasjala Koplje
itm_harad_long_shield_a|Haradski Leopard Stit
itm_harad_long_shield_b|Haradski Bronzani Stit
itm_harad_long_shield_c|Haradski Sunce Stit
itm_harad_long_shield_d|Haradski Zmija Stit
itm_harad_long_shield_e|Haradski Zmija Stit
itm_harad_shield_a|Harondor Stit
itm_harad_shield_b|Harondor Mali Stit
itm_harad_shield_c|Harondor Mali Stit
itm_harad_yellow_shield|Haradski Stit
itm_desert_boots|Pustinjska Obuca
; itm_harad_leather_greaves|Harad Leather Greaves
itm_harad_scale_greaves|Haradske Oklopne Cizme
; itm_harad_lamellar_greaves|Harad Splinted Greaves
; itm_khand_inf_helm_a|Khand Helm
; itm_khand_inf_helm_b|Khand Helm
; itm_khand_inf_helm_c1|Khand Bowl Helm
; itm_khand_inf_helm_c2|Khand Bowl Helm
; itm_khand_inf_helm_d|Khand Cone Helm
; itm_khand_cav_helm_a|Khand Rider Helm
; itm_khand_cav_helm_b|Khand Rider Helm
; itm_khand_cav_helm_c|Khand Decorated Helm
; itm_khand_helm_mask|Khand Mask
; itm_khand_light|Khand Kilt
; itm_khand_light_lam|Khand Light Footmen Armor
; itm_khand_foot_lam|Khand Heavy Footman Armor
; itm_khand_med_lam|Khand Medium Lamellar
; itm_khand_heavy_lam|Khand Heavy Lamellar
; itm_khand_mail|Khand Mail
; itm_khand_noble_lam|Khand Noble Armor
; itm_khand_axe_great|Khand Great Axe
; itm_khand_axe_winged|Khand Winged Axe
; itm_khand_halberd|Khand Halberd
; itm_khand_trident|Khand Trident
; itm_khand_voulge|Khand Voulge
; itm_khand_mace1|Khand Mace
; itm_khand_mace2|Khand Mace
; itm_khand_throwing_axe|Khand Throwing Axe
; itm_khand_rammace|Khand Ram Mace
; itm_khand_pitsword|Pit Fighter Sword
; itm_khand_tulwar|Khand Tulwar
; itm_khand_2h_tulwar|Khand Great Tulwar
; itm_khand_lance|Khand Lance
; itm_easterling_round_horseman|Easterling Round Shield
; itm_variag_gladiator_shield|Easterling Pit Shield
; itm_easterling_hawk_shield|Easterling Hawk Shield
; itm_rhun_bull1_shield|Rhun Shield
; itm_rhun_bull2_shield|Rhun Shield
; itm_rhun_bull3_shield|Rhun Shield
; itm_rhun_shield|Rhun Kite Shield
; itm_rhun_armor_a|Rhun Light Battlewear
; itm_rhun_armor_b|Rhun Light Battlewear
