pt_rescued_prisoners|Spaseni Zarobljenici
pt_gondor_patrol|Gondorska Patrola
pt_rohan_patrol|Rohirrimska Patrola
pt_imladris_patrol|Dunedainska Patrola
pt_lorien_patrol|Lotlorienska Patrola
pt_woodelf_patrol|Mirkwoodska Patrola
pt_dale_patrol|Dalska Patrola
pt_esgaroth_patrol|Esargotska Patrola
pt_dwarf_patrol|Patuljacka Patrola
pt_ranger_patrol|Rendzerska Patrola
pt_amroth_patrol|Dol Amorthska Patrola
pt_pelargir_patrol|Pelagirska Patrola
pt_lossarnach_patrol|Lossarnachka Patrola
pt_brv_patrol|Blakrootska Patrola
pt_pinnath_patrol|Pinnathska Patrola
pt_lamedon_patrol|Lamedonska Patrola
pt_mordor_war_party|Mordorska Ratna Grupa
pt_isengard_war_party|Isengarska Ratna Grupa
pt_harad_war_party|Haradska Ratna Grupa
pt_dunland_war_party|Dunlendrinska Ratna Grupa
pt_khand_war_party|Variagska Ratna Grupa
pt_moria_war_party|Morijska Ratna Grupa
pt_dale_war_party|Dalska Ratna Grupa
pt_rhun_war_party|Rhunska Ratna Grupa
pt_gondor_company|Minas Tirrithska Patrola
pt_rohan_company|Rohanska Kompanija
pt_imladris_company|Rivendellska Kompanija
pt_lorien_company|Lothlorienska Kompanija
pt_woodelf_company|Mirkwoodska Kompanija
pt_dale_company|Dalska Kompanija
pt_dwarf_company|Patuljacka Kompanija
pt_gondor_elite_company|Gondorska Elitna Kompanija
pt_rohan_elite_company|Rohanska Elitna Kompanija
pt_imladris_elite_company|Rivendelska Elitna Kompanija
pt_lorien_elite_company|Lothlorienska Elitna Kompanija
pt_woodelf_elite_company|Mirkwoodska Elitna Kompanija
pt_dale_elite_company|Dalska Elitna Kompanija
pt_dwarf_elite_company|Patuljacka Elitna Kompanija
pt_gondor_caravan|Gondorski Karavan
pt_rohan_caravan|Rohanski Karavan
pt_imladris_caravan|Rivendellski Karavan
pt_lorien_caravan|Lothlorienski Karavan
pt_woodelf_caravan|Mirkwoodski Karavan
pt_dale_caravan|Dalski Karavan
pt_dwarf_caravan|Patuljacki Karavan
pt_mordor_caravan|Mordoski Vagon sa Zalihama
pt_isengard_caravan|Isengarski Vagon sa Zalihama
pt_gunda_caravan|Gundabandski Vagon sa Zalihama
pt_gondor_p_train|Gondorska Grupa sa Zarobljenicima
pt_rohan_p_train|Rohanska Grupa sa Zarobljenicima
pt_imladris_p_train|Rivendellska Grupa sa Zarobljenicima
pt_lorien_p_train|Lothlorienska Grupa sa Zarobljenicima
pt_woodelf_p_train|Mirkwoodska Grupa sa Zarobljenicima
pt_dale_p_train|Dalska Grupa sa Zarobljenicima
pt_dwarf_p_train|Patuljacka Grupa sa Zarobljenicima
pt_mordor_p_train|Mordorska Grupa sa Zarobljenicima
pt_isengard_p_train|Isengarska Grupa sa Zarobljenicima
pt_kingdom_hero_party|Ratna Grupa
pt_caravan_survivors|Preziveli iz Karavana
pt_routed_allies|Dezerterski Saveznici
pt_routed_enemies|Dezerterski Neprijatelji
pt_legion_minas_morgul|Legije Minas Morgula
pt_legion_udun|Legije Uduna
pt_legion_gorgoroth|Legije Gorgorotha
pt_legion_barad_dur|Legije Barad-Dura
