trp_unarmed_troop|徒 手 部 隊 
trp_woodmen_skilled_forester_pl|山 林 人 熟 練 森 林 行 者 
trp_woodmen_axemen|山 林 人 斧 兵 
trp_woodmen_axemen_pl|山 林 人 斧 兵 
trp_woodmen_master_axemen|山 林 人 大 師 斧 兵 
trp_woodmen_master_axemen_pl|山 林 人 大 師 斧 兵 
trp_woodmen_tracker|山 林 人 追 蹤 者 
trp_woodmen_tracker_pl|山 林 人 追 蹤 者 
trp_woodmen_scout|山 林 人 斥 候 
trp_woodmen_scout_pl|山 林 人 斥 候 
trp_woodmen_archer|山 林 人 弓 箭 手 
trp_woodmen_archer_pl|山 林 人 弓 箭 手 
trp_fell_huntsmen_of_mirkwood|幽 暗 密 林 專 加 獵 人 
trp_fell_huntsmen_of_mirkwood_pl|幽 暗 密 林 專 家 獵 人 
trp_beorning_vale_man|波 寧 人 
trp_beorning_vale_man_pl|波 寧 人 
trp_beorning_warrior|波 寧 戰 士 
trp_beorning_warrior_pl|波 寧 戰 士 
trp_beorning_tolltacker|波 寧 追 蹤 者 
trp_beorning_tolltacker_pl|波 寧 追 蹤 者 
trp_beorning_sentinel|波 寧 護 衛 
trp_beorning_sentinel_pl|波 寧 護 衛 
trp_beorning_warden_of_the_ford|波 寧 淺 灘 守 望 者 
trp_beorning_warden_of_the_ford_pl|波 寧 淺 灘 守 望 者 
trp_beorning_carrock_lookout|波 寧 卡 洛 克 瞭 望 哨 兵 
trp_beorning_carrock_lookout_pl|波 寧 卡 洛 克 瞭 望 哨 兵 
trp_beorning_carrock_fighter|波 寧 卡 洛 克 鬥 士 
trp_beorning_carrock_fighter_pl|波 寧 卡 洛 克 鬥 士 
trp_beorning_carrock_berserker|波 寧 卡 洛 克 野 蠻 人 
trp_beorning_carrock_berserker_pl|波 寧 卡 洛 克 野 蠻 人 
trp_dale_militia|河 谷 民 兵 
trp_dale_militia_pl|河 谷 民 兵 
trp_dale_man_at_arms|河 谷 武 裝 民 兵 
trp_dale_man_at_arms_pl|河 谷 武 裝 民 兵 
trp_laketown_scout|長 湖 鎮 斥 侯 
trp_laketown_scout_pl|長 湖 鎮 斥 侯 
trp_laketown_bowmen|長 湖 鎮 弓 手 
trp_laketown_bowmen_pl|長 湖 鎮 弓 手 
trp_laketown_archer|長 湖 鎮 弓 箭 手 
trp_laketown_archer_pl|長 湖 鎮 弓 箭 手 
trp_barding_bowmen_of_esgaroth|伊 斯 加 披 甲 弓 手 
trp_barding_bowmen_of_esgaroth_pl|伊 斯 加 披 甲 弓 手 
trp_dale_warrior|河 谷 勇 士 
trp_dale_warrior_pl|河 谷 勇 士 
trp_dale_veteran_warrior|河 谷 老 兵 
trp_dale_veteran_warrior_pl|河 谷 老 兵 
trp_dale_marchwarden|河 谷 守 護 者 
trp_dale_marchwarden_pl|河 谷 守 護 者 
trp_dale_pikeman|河 谷 長 矛 兵 
trp_dale_pikeman_pl|河 谷 長 矛 兵 
trp_dale_billman|河 谷 鉤 斧 手 
trp_dale_billman_pl|河 谷 鉤 斧 手 
trp_dale_bill_master|河 谷 鉤 斧 大 師 
trp_dale_bill_master_pl|河 谷 鉤 斧 大 師 
trp_merchant_squire_or_dale|河 谷 侍 從 
trp_merchant_squire_or_dale_pl|河 谷 侍 從 
trp_merchant_guard_of_dale|河 谷 護 衛 
trp_merchant_guard_of_dale_pl|河 谷 護 衛 
trp_merchant_protector_of_dale|河 谷 保 護 者 
trp_merchant_protector_of_dale_pl|河 谷 保 護 者 
trp_girions_guard_of_dale|河 谷 吉 瑞 安 護 衛 
trp_girions_guard_of_dale_pl|河 谷 吉 瑞 安 護 衛 
trp_rhun_tribesman|盧 恩 族 人 
trp_rhun_tribesman_pl|盧 恩 族 人 
trp_rhun_horse_scout|盧 恩 騎 斥 侯 
trp_rhun_horse_scout_pl|盧 恩 騎 斥 侯 
trp_rhun_horse_archer|盧 恩 騎 弓 箭 手 
trp_rhun_horse_archer_pl|盧 恩 騎 弓 箭 手 
trp_rhun_veteran_horse_archer|盧 恩 熟 練 騎 射 手 
trp_rhun_veteran_horse_archer_pl|盧 恩 熟 練 騎 射 手 
trp_fell_balchoth_horse_archer|畢 額 丘 斯 騎 射 手 
trp_fell_balchoth_horse_archer_pl|畢 額 丘 斯 騎 射 手 
trp_rhun_swift_horseman|盧 恩 迅 騎 手 
trp_rhun_swift_horseman_pl|盧 恩 迅 騎 手 
trp_rhun_veteran_swift_horseman|盧 恩 熟 練 迅 騎 手 
trp_rhun_veteran_swift_horseman_pl|盧 恩 熟 練 迅 騎 手 
trp_falcon_horseman|盧 恩 獵 鷹 騎 手 
trp_falcon_horseman_pl|盧 恩 獵 鷹 騎 手 
trp_rhun_tribal_warrior|盧 恩 部 落 勇 士 
trp_rhun_tribal_warrior_pl|盧 恩 部 落 勇 士 
trp_rhun_tribal_infantry|盧 恩 部 落 步 兵 
trp_rhun_tribal_infantry_pl|盧 恩 部 落 步 兵 
trp_rhun_vet_infantry|盧 恩 部 落 熟 練 步 兵 
trp_rhun_vet_infantry_pl|盧 恩 部 落 熟 練 步 兵 
trp_infantry_of_the_ox|盧 恩 神 牛 步 兵 衛 
trp_infantry_of_the_ox_pl|盧 恩 神 牛 步 兵 衛 
trp_rhun_light_horseman|盧 恩 輕 騎 手 
trp_rhun_light_horseman_pl|盧 恩 輕 騎 手 
trp_rhun_light_cavalry|盧 恩 輕 騎 兵 
trp_rhun_light_cavalry_pl|盧 恩 輕 騎 兵 
trp_rhun_noble_cavalry|盧 恩 貴 族 騎 兵 
trp_rhun_noble_cavalry_pl|盧 恩 貴 族 騎 兵 
trp_rhun_heavy_noble_cavalry|盧 恩 貴 族 重 騎 兵 
trp_rhun_heavy_noble_cavalry_pl|盧 恩 貴 族 重 騎 兵 
trp_dorwinion_noble_of_rhun|盧 恩 多 溫 尼 安 貴 族 
trp_dorwinion_noble_of_rhun_pl|盧 恩 多 溫 尼 安 貴 族 
trp_dwarven_apprentice|矮 人 學 徒 
trp_dwarven_apprentice_pl|矮 人 學 徒 
trp_dwarven_warrior|矮 人 戰 士 
trp_dwarven_warrior_pl|矮 人 戰 士 
trp_dwarven_hardened_warrior|矮 人 強 壯 戰 士 
trp_dwarven_hardened_warrior_pl|矮 人 強 壯 戰 士 
trp_dwarven_spearman|矮 人 矛 兵 
trp_dwarven_spearman_pl|矮 人 矛 兵 
trp_dwarven_pikeman|矮 人 長 槍 戰 士 
trp_dwarven_pikeman_pl|矮 人 長 槍 戰 士 
trp_dwarven_halberdier|矮 人 巨 槍 戰 士 
trp_dwarven_halberdier_pl|矮 人 巨 槍 戰 士 
trp_dwarven_axeman|矮 人 斧 手 
trp_dwarven_axeman_pl|矮 人 斧 手 
trp_dwarven_expert_axeman|矮 人 專 業 斧 手 
trp_dwarven_expert_axeman_pl|矮 人 專 業 斧 手 
trp_longbeard_axeman|矮 人 長 鬚 斧 手 
trp_longbeard_axeman_pl|矮 人 長 鬚 斧 手 
trp_dwarven_lookout|矮 人 瞭 望 哨 兵 
trp_dwarven_lookout_pl|矮 人 瞭 望 哨 兵 
trp_dwarven_scout|矮 人 斥 侯 
trp_dwarven_scout_pl|矮 人 斥 侯 
trp_dwarven_bowman|矮 人 弓 手 
trp_dwarven_bowman_pl|矮 人 弓 手 
trp_dwarven_archer|矮 人 弓 箭 手 
trp_dwarven_archer_pl|矮 人 弓 箭 手 
trp_marksman_of_ravenhill|烏 鴉 丘 陵 矮 人 神 箭 手 
trp_marksman_of_ravenhill_pl|烏 鴉 丘 陵 矮 人 神 箭 手 
trp_iron_hills_miner|鐵 丘 陵 礦 工 
trp_iron_hills_miner_pl|鐵 丘 陵 礦 工 
trp_iron_hills_infantry|鐵 丘 陵 步 兵 
trp_iron_hills_infantry_pl|鐵 丘 陵 步 兵 
trp_iron_hills_battle_infantry|鐵 丘 陵 戰 鬥 矮 人 
trp_iron_hills_battle_infantry_pl|鐵 丘 陵 戰 鬥 矮 人 
trp_grors_guard|葛 爾 侍 衛 
trp_grors_guard_pl|葛 爾 侍 衛 
trp_gondor_commoner|剛 鐸 徵 招 兵 
trp_gondor_commoner_pl|剛 鐸 徵 招 兵 
trp_gondor_militiamen|剛 鐸 哨 兵 
trp_gondor_militiamen_pl|剛 鐸 哨 兵 
trp_footmen_of_gondor|剛 鐸 步 兵 
trp_footmen_of_gondor_pl|剛 鐸 步 兵 
trp_gondor_spearmen|剛 鐸 長 矛 兵 
trp_gondor_spearmen_pl|剛 鐸 長 矛 兵 
trp_gondor_veteran_spearmen|剛 鐸 熟 練 長 矛 兵 
trp_gondor_veteran_spearmen_pl|剛 鐸 熟 練 長 矛 兵 
trp_guard_of_the_fountain_court|剛 鐸 湧 泉 守 衛 
trp_guard_of_the_fountain_court_pl|剛 鐸 湧 泉 守 衛 
trp_gondor_swordsmen|剛 鐸 劍 士 
trp_gondor_swordsmen_pl|剛 鐸 劍 士 
trp_gondor_veteran_swordsmen|剛 鐸 熟 練 劍 士 
trp_gondor_veteran_swordsmen_pl|剛 鐸 熟 練 劍 士 
trp_swordsmen_of_the_tower_guard|剛 鐸 高 塔 劍 士 守 衛 
trp_swordsmen_of_the_tower_guard_pl|剛 鐸 高 塔 劍 士 守 衛 
trp_gondor_noblemen|剛 鐸 貴 族 
trp_gondor_noblemen_pl|剛 鐸 貴 族 
trp_squire_of_gondor|剛 鐸 侍 從 
trp_squire_of_gondor_pl|剛 鐸 侍 從 
trp_veteran_squire_of_gondor|剛 鐸 熟 練 侍 從 
trp_veteran_squire_of_gondor_pl|剛 鐸 熟 練 侍 從 
trp_knight_of_gondor|剛 鐸 騎 士 
trp_knight_of_gondor_pl|剛 鐸 騎 士 
trp_veteran_knight_of_gondor|剛 鐸 熟 練 騎 士 
trp_veteran_knight_of_gondor_pl|剛 鐸 熟 練 騎 士 
trp_knight_of_the_citadel|剛 鐸 堡 壘 騎 士 
trp_knight_of_the_citadel_pl|剛 鐸 堡 壘 騎 士 
trp_bowmen_of_gondor|剛 鐸 弓 手 
trp_bowmen_of_gondor_pl|剛 鐸 弓 手 
trp_archer_of_gondor|剛 鐸 弓 箭 手 
trp_archer_of_gondor_pl|剛 鐸 弓 箭 手 
trp_veteran_archer_of_gondor|剛 鐸 熟 練 弓 箭 手 
trp_veteran_archer_of_gondor_pl|剛 鐸 熟 練 弓 箭 手 
trp_archer_of_the_tower_guard|高 塔 衛 隊 弓 箭 手 
trp_archer_of_the_tower_guard_pl|高 塔 衛 隊 弓 箭 手 
trp_steward_guard|攝 政 王 衛 隊 
trp_steward_guard_pl|攝 政 王 衛 隊 
trp_ranger_of_ithilien|伊 錫 利 恩 遊 俠 
trp_ranger_of_ithilien_pl|伊 錫 利 恩 遊 俠 
trp_veteran_ranger_of_ithilien|伊 錫 利 恩 熟 練 遊 俠 
trp_veteran_ranger_of_ithilien_pl|伊 錫 利 恩 熟 練 遊 俠 
trp_master_ranger_of_ithilien|伊 錫 利 恩 遊 俠 大 師 
trp_master_ranger_of_ithilien_pl|伊 錫 利 恩 遊 俠 大 師 
trp_ithilien_leader|伊 錫 利 恩 遊 俠 隊 長 
trp_ithilien_leader_pl|伊 錫 利 恩 遊 俠 隊 長 
trp_woodsman_of_lossarnach|羅 薩 納 奇 樵 夫 
trp_woodsman_of_lossarnach_pl|羅 薩 納 奇 樵 夫 
trp_axeman_of_lossarnach|羅 薩 那 奇 斧 手 
trp_axeman_of_lossarnach_pl|羅 薩 那 奇 斧 手 
trp_vet_axeman_of_lossarnach|羅 薩 那 奇 熟 練 斧 手 
trp_vet_axeman_of_lossarnach_pl|羅 薩 那 奇 熟 練 斧 手 
trp_heavy_lossarnach_axeman|羅 薩 那 奇 重 斧 手 
trp_heavy_lossarnach_axeman_pl|羅 薩 那 奇 重 斧 手 
trp_axemaster_of_lossarnach|羅 薩 那 奇 斧 大 師 
trp_axemaster_of_lossarnach_pl|羅 薩 那 奇 斧 大 師 
trp_lossarnach_leader|羅 薩 那 奇 衛 隊 長 
trp_lossarnach_leader_pl|羅 薩 那 奇 衛 隊 長 
trp_pelargir_watchman|佩 拉 吉 爾 哨 兵 
trp_pelargir_watchman_pl|佩 拉 吉 爾 哨 兵 
trp_pelargir_marine|佩 拉 吉 爾 海 兵 
trp_pelargir_marine_pl|佩 拉 吉 爾 海 兵 
trp_pelargir_vet_marine|佩 拉 吉 爾 熟 練 海 兵 
trp_pelargir_vet_marine_pl|佩 拉 吉 爾 熟 練 海 兵 
trp_pelargir_infantry|佩 拉 吉 爾 步 兵 
trp_pelargir_infantry_pl|佩 拉 吉 爾 步 兵 
trp_pelargir_vet_infantry|佩 拉 吉 爾 熟 練 步 兵 
trp_pelargir_vet_infantry_pl|佩 拉 吉 爾 熟 練 步 兵 
trp_pelargir_leader|佩 拉 吉 爾 衛 隊 長 
trp_pelargir_leader_pl|佩 拉 吉 爾 衛 隊 長 
trp_pelargir_marine_leader|佩 拉 吉 爾 海 兵 隊 長 
trp_pelargir_marine_leader_pl|佩 拉 吉 爾 海 兵 隊 長 
trp_clansman_of_lamedon|拉 密 頓 族 人 
trp_clansman_of_lamedon_pl|拉 密 頓 族 人 
trp_footman_of_lamedon|拉 密 頓 步 兵 
trp_footman_of_lamedon_pl|拉 密 頓 步 兵 
trp_veteran_of_lamedon|拉 密 頓 老 兵 
trp_veteran_of_lamedon_pl|拉 密 頓 老 兵 
trp_warrior_of_lamedon|拉 密 頓 勇 士 
trp_warrior_of_lamedon_pl|拉 密 頓 勇 士 
trp_champion_of_lamedon|拉 密 頓 角 鬥 士 
trp_champion_of_lamedon_pl|拉 密 頓 角 鬥 士 
trp_knight_of_lamedon|拉 密 頓 騎 士 
trp_knight_of_lamedon_pl|拉 密 頓 騎 士 
trp_lamedon_leader|拉 密 頓 衛 隊 長 
trp_lamedon_leader_pl|拉 密 頓 衛 隊 長 
trp_pinnath_gelin_plainsman|皮 那 斯 傑 林 平 原 戰 士 
trp_pinnath_gelin_plainsman_pl|皮 那 斯 傑 林 平 原 戰 士 
trp_pinnath_gelin_spearman|皮 那 斯 傑 林 長 矛 兵 
trp_pinnath_gelin_spearman_pl|皮 那 斯 傑 林 長 矛 兵 
trp_warrior_of_pinnath_gelin|皮 那 斯 傑 林 勇 士 
trp_warrior_of_pinnath_gelin_pl|皮 那 斯 傑 林 勇 士 
trp_pinnath_gelin_bowman|皮 那 斯 傑 林 弓 手 
trp_pinnath_gelin_bowman_pl|皮 那 斯 傑 林 弓 手 
trp_pinnath_gelin_archer|皮 那 斯 傑 林 弓 箭 手 
trp_pinnath_gelin_archer_pl|皮 那 斯 傑 林 弓 箭 手 
trp_pinnath_leader|皮 那 斯 傑 林 衛 隊 長 
trp_pinnath_leader_pl|皮 那 斯 傑 林 衛 隊 長 
trp_blackroot_vale_archer|黑 根 谷 獵 人 
trp_blackroot_vale_archer_pl|黑 根 谷 獵 人 
trp_veteran_blackroot_vale_archer|黑 根 谷 弓 手 
trp_veteran_blackroot_vale_archer_pl|黑 根 谷 弓 手 
trp_master_blackroot_vale_archer|黑 根 谷 弓 箭 手 
trp_master_blackroot_vale_archer_pl|黑 根 谷 弓 箭 手 
trp_footman_of_blackroot_vale|黑 根 谷 步 兵 
trp_footman_of_blackroot_vale_pl|黑 根 谷 步 兵 
trp_spearman_of_blackroot_vale|黑 根 谷 長 矛 兵 
trp_spearman_of_blackroot_vale_pl|黑 根 谷 長 矛 兵 
trp_blackroot_leader|黑 根 谷 衛 隊 長 
trp_blackroot_leader_pl|黑 根 谷 衛 隊 長 
trp_dol_amroth_youth|多 爾 安 姆 羅 斯 新 兵 
trp_dol_amroth_youth_pl|多 爾 安 姆 羅 斯 新 兵 
trp_squire_of_dol_amroth|多 爾 安 姆 羅 斯 侍 從 
trp_squire_of_dol_amroth_pl|多 爾 安 姆 羅 斯 侍 從 
trp_veteran_squire_of_dol_amroth|多 爾 安 姆 羅 斯 熟 練 侍 從 
trp_veteran_squire_of_dol_amroth_pl|多 爾 安 姆 羅 斯 熟 練 侍 從 
trp_knight_of_dol_amroth|多 爾 安 姆 羅 斯 騎 兵 
trp_knight_of_dol_amroth_pl|多 爾 安 姆 羅 斯 騎 兵 
trp_veteran_knight_of_dol_amroth|多 爾 安 羅 斯 熟 練 騎 兵 
trp_veteran_knight_of_dol_amroth_pl|多 爾 安 羅 斯 熟 練 騎 兵 
trp_swan_knight_of_dol_amroth|多 爾 安 羅 斯 天 鵝 騎 士 
trp_swan_knight_of_dol_amroth_pl|多 爾 安 羅 斯 天 鵝 騎 士 
trp_dol_amroth_leader|多 爾 安 羅 斯 衛 隊 長 
trp_dol_amroth_leader_pl|多 爾 安 羅 斯 衛 隊 長 
trp_lothlorien_scout|羅 斯 洛 立 安 斥 候 
trp_lothlorien_scout_pl|羅 斯 洛 立 安 斥 候 
trp_lothlorien_veteran_scout|羅 斯 洛 立 安 熟 練 斥 候 
trp_lothlorien_veteran_scout_pl|羅 斯 洛 立 安 熟 練 斥 候 
trp_lothlorien_archer|羅 斯 洛 立 安 弓 箭 手 
trp_lothlorien_archer_pl|羅 斯 洛 立 安 弓 箭 手 
trp_lothlorien_veteran_archer|羅 斯 洛 立 安 熟 練 弓 箭 手 
trp_lothlorien_veteran_archer_pl|羅 斯 洛 立 安 熟 練 弓 箭 手 
trp_lothlorien_master_archer|羅 斯 洛 立 安 弓 箭 手 大 師 
trp_lothlorien_master_archer_pl|羅 斯 洛 立 安 弓 箭 手 大 師 
trp_galadhrim_royal_archer|凱 蘭 崔 姆 皇 家 弓 箭 手 
trp_galadhrim_royal_archer_pl|凱 蘭 崔 姆 皇 家 弓 箭 手 
trp_galadhrim_royal_marksman|凱 蘭 崔 姆 皇 家 神 射 手 
trp_galadhrim_royal_marksman_pl|凱 蘭 崔 姆 皇 家 神 射 手 
trp_noldorin_mounted_archer|諾 多 騎 射 手 
trp_noldorin_mounted_archer_pl|諾 多 騎 射 手 
trp_lothlorien_infantry|羅 斯 洛 立 安 步 兵 
trp_lothlorien_infantry_pl|羅 斯 洛 立 安 步 兵 
trp_lothlorien_veteran_infantry|羅 斯 洛 立 安 熟 練 步 兵 
trp_lothlorien_veteran_infantry_pl|羅 斯 洛 立 安 熟 練 步 兵 
trp_lothlorien_elite_infantry|羅 斯 洛 立 安 精 英 步 兵 
trp_lothlorien_elite_infantry_pl|羅 斯 洛 立 安 精 英 步 兵 
trp_galadhrim_royal_swordsman|凱 蘭 崔 姆 皇 家 劍 士 
trp_galadhrim_royal_swordsman_pl|凱 蘭 崔 姆 皇 家 劍 士 
trp_lothlorien_warden|羅 斯 洛 立 安 守 望 者 
trp_lothlorien_warden_pl|羅 斯 洛 立 安 守 望 者 
trp_lothlorien_veteran_warden|羅 斯 洛 立 安 熟 練 守 望 者 
trp_lothlorien_veteran_warden_pl|羅 斯 洛 立 安 熟 練 守 望 者 
trp_galadhrim_royal_warden|凱 蘭 崔 姆 皇 家 守 望 者 
trp_galadhrim_royal_warden_pl|凱 蘭 崔 姆 皇 家 守 望 者 
trp_lothlorien_standard_bearer|羅 斯 洛 立 安 正 規 掌 旗 手 
trp_lothlorien_standard_bearer_pl|羅 斯 洛 立 安 正 規 掌 旗 手 
trp_greenwood_scout|巨 綠 森 斥 侯 
trp_greenwood_scout_pl|巨 綠 森 斥 侯 
trp_greenwood_veteran_scout|巨 綠 森 熟 練 斥 侯 
trp_greenwood_veteran_scout_pl|巨 綠 森 熟 練 斥 侯 
trp_greenwood_archer|巨 綠 森 弓 手 
trp_greenwood_archer_pl|巨 綠 森 弓 手 
trp_greenwood_veteran_archer|巨 綠 森 弓 箭 手 
trp_greenwood_veteran_archer_pl|巨 綠 森 弓 箭 手 
trp_greenwood_master_archer|巨 綠 森 熟 練 弓 箭 手 
trp_greenwood_master_archer_pl|巨 綠 森 熟 練 弓 箭 手 
trp_thranduils_royal_marksman|瑟 蘭 督 伊 皇 家 神 射 手 
trp_thranduils_royal_marksman_pl|瑟 蘭 督 伊 皇 家 神 射 手 
trp_greenwood_sentinel|巨 綠 森 哨 兵 
trp_greenwood_sentinel_pl|巨 綠 森 哨 兵 
trp_greenwood_vet_sentinel|巨 綠 森 熟 練 哨 兵 
trp_greenwood_vet_sentinel_pl|巨 綠 森 熟 練 哨 兵 
trp_mirkwood_guardsman|巨 綠 森 守 衛 
trp_mirkwood_guardsman_pl|巨 綠 森 守 衛 
trp_greenwood_spearman|巨 綠 森 步 兵 
trp_greenwood_spearman_pl|巨 綠 森 步 兵 
trp_greenwood_veteran_spearman|巨 綠 森 熟 練 步 兵 
trp_greenwood_veteran_spearman_pl|巨 綠 森 熟 練 步 兵 
trp_greenwood_royal_spearman|巨 綠 森 精 英 步 兵 
trp_greenwood_royal_spearman_pl|巨 綠 森 精 英 步 兵 
trp_thranduils_royal_swordsman|瑟 蘭 督 伊 皇 家 劍 士 
trp_thranduils_royal_swordsman_pl|瑟 蘭 督 伊 皇 家 劍 士 
trp_thranduils_spearman|瑟 蘭 督 伊 皇 家 長 矛 兵 
trp_thranduils_spearman_pl|瑟 蘭 督 伊 皇 家 長 矛 兵 
trp_greenwood_standard_bearer|巨 綠 森 正 規 掌 旗 手 
trp_greenwood_standard_bearer_pl|巨 綠 森 正 規 掌 旗 手 
trp_rivendell_scout|瑞 文 戴 爾 斥 候 
trp_rivendell_scout_pl|瑞 文 戴 爾 斥 候 
trp_rivendell_veteran_scout|瑞 文 戴 爾 熟 練 斥 候 
trp_rivendell_veteran_scout_pl|瑞 文 戴 爾 熟 練 斥 候 
trp_rivendell_sentinel|瑞 文 戴 爾 哨 兵 
trp_rivendell_sentinel_pl|瑞 文 戴 爾 哨 兵 
trp_rivendell_veteran_sentinel|瑞 文 戴 爾 熟 練 哨 兵 
trp_rivendell_veteran_sentinel_pl|瑞 文 戴 爾 熟 練 哨 兵 
trp_rivendell_elite_sentinel|瑞 文 戴 爾 精 英 哨 兵 
trp_rivendell_elite_sentinel_pl|瑞 文 戴 爾 精 英 哨 兵 
trp_rivendell_guardian|瑞 文 戴 爾 守 衛 
trp_rivendell_guardian_pl|瑞 文 戴 爾 守 衛 
trp_rivendell_infantry|瑞 文 戴 爾 步 兵 
trp_rivendell_infantry_pl|瑞 文 戴 爾 步 兵 
trp_rivendell_veteran_infantry|瑞 文 戴 爾 熟 練 步 兵 
trp_rivendell_veteran_infantry_pl|瑞 文 戴 爾 熟 練 步 兵 
trp_rivendell_elite_infantry|瑞 文 戴 爾 精 英 步 兵 
trp_rivendell_elite_infantry_pl|瑞 文 戴 爾 精 英 步 兵 
trp_rivendell_royal_infantry|瑞 文 戴 爾 皇 家 步 兵 
trp_rivendell_royal_infantry_pl|瑞 文 戴 爾 皇 家 步 兵 
trp_rivendell_cavalry|瑞 文 戴 爾 騎 兵 
trp_rivendell_cavalry_pl|瑞 文 戴 爾 騎 兵 
trp_knight_of_rivendell|瑞 文 戴 爾 騎 士 
trp_knight_of_rivendell_pl|瑞 文 戴 爾 騎 士 
trp_rivendell_standard_bearer|瑞 文 戴 爾 正 規 掌 旗 手 
trp_rivendell_standard_bearer_pl|瑞 文 戴 爾 正 規 掌 旗 手 
trp_dunedain_scout|登 丹 斥 侯 
trp_dunedain_scout_pl|登 丹 斥 侯 
trp_dunedain_trained_scout|登 丹 追 蹤 者 
trp_dunedain_trained_scout_pl|登 丹 追 蹤 者 
trp_arnor_man_at_arms|阿 諾 爾 武 裝 不 兵 
trp_arnor_man_at_arms_pl|阿 諾 爾 武 裝 步 兵 
trp_arnor_master_at_arms|阿 諾 爾 武 裝 大 師 
trp_arnor_master_at_arms_pl|阿 諾 爾 武 裝 大 師 
trp_high_swordsman_of_arnor|阿 諾 爾 高 等 劍 士 
trp_high_swordsman_of_arnor_pl|阿 諾 爾 高 等 劍 士 
trp_arnor_horsemen|阿 諾 爾 騎 手 
trp_arnor_horsemen_pl|阿 諾 爾 騎 手 
trp_knight_of_arnor|阿 諾 爾 騎 士 
trp_knight_of_arnor_pl|阿 諾 爾 騎 士 
trp_dunedain_ranger|登 丹 遊 俠 
trp_dunedain_ranger_pl|登 丹 遊 俠 
trp_dunedain_veteran_ranger|登 丹 熟 練 遊 俠 
trp_dunedain_veteran_ranger_pl|登 丹 熟 練 遊 俠 
trp_dunedain_master_ranger|登 丹 遊 俠 大 師 
trp_dunedain_master_ranger_pl|登 丹 遊 俠 大 師 
trp_rohan_youth|洛 汗 青 年 
trp_rohan_youth_pl|洛 汗 青 年 
trp_guardsman_of_rohan|洛 汗 守 衛 
trp_guardsman_of_rohan_pl|洛 汗 守 衛 
trp_footman_of_rohan|洛 汗 步 兵 
trp_footman_of_rohan_pl|洛 汗 步 兵 
trp_veteran_footman_of_rohan|洛 汗 熟 練 步 兵 
trp_veteran_footman_of_rohan_pl|洛 汗 熟 練 步 兵 
trp_elite_footman_of_rohan|洛 汗 精 英 步 兵 
trp_elite_footman_of_rohan_pl|洛 汗 精 英 步 兵 
trp_folcwine_guard_of_rohan|洛 汗 佛 卡 溫 衛 隊 
trp_folcwine_guard_of_rohan_pl|洛 汗 佛 卡 溫 衛 隊 
trp_raider_of_rohan|佛 瑞 拉 夫 侵 略 者 
trp_raider_of_rohan_pl|佛 瑞 拉 夫 侵 略 者 
trp_heavy_swordsman_of_rohan|洛 汗 重 劍 士 
trp_heavy_swordsman_of_rohan_pl|洛 汗 重 劍 士 
trp_warden_of_methuseld|米 蘇 瑟 德 守 望 者 
trp_warden_of_methuseld_pl|米 蘇 瑟 德 守 望 者 
trp_skirmisher_of_rohan|洛 汗 輕 裝 步 兵
