qstr_Received_{reg0}_dama|受到{reg0}傷害。
qstr_Useful_Tool_of_{s5}|{s5}實用的工具
qstr_Servant_of_{s5}|{s5}的僕人
qstr_Unknown_to_{s5}|未知於{s5}
qstr_You_have_been_{reg1?|你已經{reg1?晉升:降等}為{s24} ({reg0})！
qstr_You_{reg1?earned:los|你在家鄉陣營{s11}{reg1?得到:失去}了{reg11}階級點{reg12?和{reg12}影響力:}。
qstr_You_{reg1?earned:lost|你在{s11}{reg1?得到:失去}了{reg11}階級點{reg12?和{reg12}影響力:}。
qstr_You_spent_{reg10}_of|你使用了對{s1}的{reg10}影響力，還剩下{reg11}。
qstr_Troop_upkeep:|部隊工資：
qstr_{s11}_and_{s10}|{s11}和{s10}
qstr_their|他們的
qstr_its|它的
qstr_[no_upkeep_costs]|[無工資費]
qstr_Short_of_Resource_Po|缺少資源點！！
qstr_{s10}_will_soon_reas|{s10}很快就會從你的隊伍中調走{s12}名部下！
qstr_Superior_orders_from|來自{s11}的上級命令重新分配部隊：
qstr_{reg12}_{s10}_left_t|{reg12}名{s10}離開了隊伍！
qstr_Fangorn_claimed_{reg|法貢森林奪走了你部隊中{reg0}人的命和重傷了{reg1}人！
qstr_You_were_wounded_in_|你在法貢森林中受傷了！
qstr_{s1}_of_{s3}_was_def|{s3}的{s1}在戰鬥中被擊敗了。
qstr_{s2}_have_razed_{s1}|{s2}把{s1}夷為平地了！
qstr_Left_for_dead_but_mi|被丟著等死卻奇蹟似生還的次數：{reg1?{reg1}次{reg2?:}:從來沒有過}
qstr_1_Res.Pt__{s2}_|1資源點({s2})
qstr_{reg1}_Res.Pts__{s2}|{reg1}資源點({s2})
qstr_+30_to_Party_Morale|隊伍士氣+30
qstr_+20_to_Party_Morale|隊伍士氣+20
qstr_+1_to_Riding_Skill|騎術技能+1
qstr_during_battles|戰鬥時
qstr_+1_to_Pathfinding|尋路+1
qstr_+2_to_Wound_Treatmen|(隊伍)療傷+2
qstr_+2_to_Surgery__Party|(隊伍)手術+2
qstr_+2_to_Pathfinding__P|(隊伍)尋路+2
qstr_Use_from_Camp_Menu|從營地選單使用
qstr_Use_from|使用
qstr_Action_Menu|行動選單
qstr_Bonus_to_Wound_Treat|(隊伍)療傷加成
qstr_Bonus_to_Surgery__Pa|(隊伍)手術加成
qstr_Bonus_to_First_Aid__|(隊伍)急救加成
qstr_+1_to_Weapon_Mastery|武器掌握+1
qstr_+1_to_Wound_Treatmen|療傷+1
qstr_+1_to_Tactics|戰術+1
qstr_+1_to_Power_Strike|強擊+1
qstr_+1_to_Strength|力量+1
qstr_+1_to_Agility|敏捷+1
qstr_+1_to_Leadership|統御+1
qstr_+1_to_Wildcraft|野外求生+1
qstr_+1_to_Tracking|追蹤+1
qstr_+1_to_Athletics|運動+1
qstr_when_equipped|在裝備時
qstr_+1_to_Power_Draw|強弓+1
qstr_The_record_of_Balin_|巴林失落探險隊的紀錄。
qstr_Who_might_be_interes|誰可能會對這個有興趣？
qstr_Bonus_to_Shield_Skil|盾防加成
qstr_Turns_nature_to_your|讓大自然站在己方
qstr_when_equipped.__Effe|在裝備時。(效果依野外求生的等級而定)
qstr_Bonus_to_Power_Strik|強擊加成
qstr_+1_to_Trainer|教練+1
qstr_Recruits_Tribal_Orcs|招募部落半獸人
qstr_rally|鼓舞
qstr_rallies|鼓舞
qstr_+{reg1}_{s3}_in_batt|戰鬥中+{reg1}次{s3}能力
qstr_+1_to_Charisma|魅力+1
qstr_Call_Reinforcements|呼叫增援
qstr__Effect_scales_with_|(效果依力量和魅力的等級而定)
qstr_+1_to_First_Aid|急救+1 
qstr_+1_to_Surgery|手術+1
qstr_+1_to_Intelligence|智力+1
qstr_+2_to_Surgery|手術+2 
qstr_+1_to_Riding|騎術+1
qstr_+1_to_Mounted_Archer|騎射+1
qstr_Bonus_to_Riding|騎術加成
qstr_when_equipped.__Effec|在裝備時。(效果依力量等級而定)
qstr_Orcs:_+1_Riding_Requ|半獸人：騎術需求+1
qstr_+1_to_Prisoner_Mgmt|囚犯管理+1
qstr_+2_to_Tactics|戰術+2
qstr_+1_Intelligence|智力+1
qstr_+{reg1}_to_Spotting|偵察+{reg1}
qstr__Scales_with_Wildcra|(依野外求生的等級而定)
qstr_Strengthens_all_Hero|強化所有英雄
qstr_+2_to_First_Aid__Par|(隊伍)急救+2
qstr_lead_more_Uruks|領導更多強獸人
qstr_+1_to_Power_Throw|強擲+1
qstr_Recruit_Black_Numeno|從各地招募黑努曼諾爾人。
qstr__Scales_with_Charism|（效果依魅力屬性而定，僅對人類種族玩家有效。）
qstr_+1_to_Spotting|偵察+1
qstr_+2_to_Weapon_Master|武器掌握+2
qstr_+2_to_First_Aid|急救+2
qstr_Less_Dunnish_upkeep|減少登丹人的工資
qstr_Less_Wargs_upkeep|減少座狼的工資
qstr_Light_Armor|輕型鎧甲
qstr_Bonus_to_Strength__P|力量加成(只限玩家)
qstr_Lead_more_Orcs|領導更多半獸人
qstr_Can_scare_horses|可以震懾馬匹
qstr_+{reg1}_to_Party_Mor|隊伍士氣+{reg1}
qstr_Range:_{reg55}|距離：{reg55}
qstr_Dwarves|矮人
qstr_Humans_and_Elves|人類與精靈
qstr_Orcs|半獸人
qstr_Uruks_and_Uruk_Hai|強獸人與強獸人戰士
qstr_Humans_Uruks_and_Uru|人類、強獸人與強獸人戰士
qstr_Humans|人類
qstr_This_item_can_be_use|{s2}可以使用
qstr_Do_you_want_to_disem|你想上岸嗎？
qstr_Move_here|移動到此處
qstr_View_notes|查看筆記
qstr_Looted_your_items|搶奪了你的物品
qstr_nothing|沒什麼
qstr_Good|好
qstr_Med|中
qstr_Bad|差
qstr_You_gained_{reg84}_e|你從自己的智力中得到{reg84}經驗值
qstr_You_gained_{reg84}_w|你從自己的敏捷中得到{reg84}武器值
qstr_{reg4}_killed_{reg5}|{reg4}死亡，{reg5}受傷，{reg6}逃跑了
qstr_{reg4}_killed_{reg5}_|{reg4}死亡，{reg5}受傷
qstr_{reg4}_killed_{reg5}_r|{reg4}死亡，{reg5}逃跑了
qstr_{reg4}_wounded_{reg5|{reg4}受傷，{reg5}逃跑了
qstr_killed|死亡
qstr_routed|逃跑了
qstr_wounded|受傷
qstr_{s0}^TOTAL:_{reg3}__|{s0}^總計：{reg3}({s2})
qstr_^None|^無
qstr_near_the_Great_East_|靠近被遺棄的老舊道路，東方大道
qstr_near_what_is_left_of|靠近古老的矮人森林小徑，森林古路的遺跡
qstr_close_to_the_Hand_sh|在薩魯曼的白掌符號附近，指著奧桑克塔的方向
qstr_in_sight_of_the_maje|在白之城，米那斯提力斯雄偉的城牆視野範圍內
qstr_in_sight_of_Edoras_t|在伊多拉斯，洛汗的首都視野範圍內
qstr_in_sight_of_the_Horn|在號角堡，洛汗的偉大要塞視野範圍內
qstr_in_sight_of_Dol_Amro|在多爾安姆羅斯，貝爾法拉斯親王們的所在之處視野範圍內
qstr_in_sight_of_the_Mora|在黑門，魔多的黑暗閘門視野範圍內
qstr_in_sight_of_Dol_Guld|在多爾哥多，索倫的北方要塞視野範圍內
qstr_on_the_green_pasture|在比翁之家周圍的茵茵牧場和繁花似錦的草地上
qstr_on_the_shores_of_Lak|靠近摩瑞亞東門，鏡影湖岸上
qstr_on_the_shores_of_the|在長湖岸上，湖畔之城，長湖鎮視野範圍內
qstr_near_the_coast_of_Go|靠近剛鐸的海岸。你可以聽到遙遠的浪聲和海鷗叫。
qstr_in_the_outskirts_of_|在剛鐸的前首都，奧斯吉力亞斯的郊區
qstr_in_sight_of_the_entr|在矮人要塞，孤山的入口視野範圍內
qstr_in_sight_of_the_dark|在奧桑克塔視野範圍內
qstr_near_the_Old_Ford_wh|靠近老渡口，森林古路橫越安都因河之處
qstr_near_a_big_ford_cros|靠近橫越{s15}河岸的大渡口
qstr_near_a_small_ford_cr|靠近橫越{s15}河岸的小渡口
qstr_Battle_Advantage_=_{ = "戰鬥優勢= {reg0}。"
qstr_{s9}_wants_you_to_re|{s9}想要你在接到進一步的通知前繼續跟隨他的軍隊。
qstr__Being_Raided_|(遭到掠奪中)
qstr__Looted_|(被洗劫一空)
qstr__Under_Siege_|(受到圍困)
qstr_{s3}_is_no_longer_un|{s3}已經不再受到圍困了。
qstr_Enemies_spotted_near|在{s1}附近發現了敵人。
qstr_Your_relation_with_{|你與{s1}的關係提升了。
qstr_Your_relation_with_{s|你與{s1}的關係惡化了。
qstr_{s1}_gained_faction_|{s1}獲得了陣營力量！
qstr_{s1}_lost_faction_st|{s1}失去了陣營力量！
qstr_{s2}_{reg3?was:is_cu|{s2}{reg3?曾:正}在{s3}。
qstr_{s2}_{reg3?was:is}_t|{s2}{reg3?曾經:正}前往{s3}然後{reg4?她:他}{reg3?之前:應該}{reg3?:正}在{s4}附近。
qstr_{s2}_{reg3?was:is}_i|{s2}{reg3?曾經:正}在荒郊野外然後{reg4?她:他}{reg3?之前:應該}{reg3?:正}在{s3}附近。
qstr_{s2}_{reg3?was:is}_b|{s2}{reg3?曾:正}被囚禁在{s3}。
qstr_{s2}_{reg3?was:has_b|{s2}{reg3?曾:已}被{reg4?她:他}的敵人俘虜。
qstr_{reg3?{s2}_s_locatio|{reg3?{s2}的位置不明:我不知道{s2}在哪裡}。
qstr_{s6}_has_joined_your|{s6}加入了你的隊伍
qstr_elven|精靈
qstr_dwarven|矮人
qstr_orc|半獸人
qstr_uruk|強獸人
qstr_uruk_hai|強獸人
qstr_trollish|食人妖
qstr_man|人類
qstr_riding|騎行中
qstr_marching|行軍中
qstr_charging|衝鋒中
qstr_We_know_this_is_your|我們知道這是你的土地，{playername}。^相信我們，我們是來一起對付共同敵人的。
qstr_I_trust_you._{s20}_a|我相信你。{s20}和{s21}應該成為朋友並相信彼此。
qstr_There_is_wisdom_in_y|{playername}，你的言語中充滿了智慧。
qstr_Why_should_I?_Better|我為何要聽你的？你最好馬上離開{s20}的土地！
qstr_We_will_go_in_peace_|我們會和平地離開，前提是要等我們完成任務。詳情呢，我們恐怕不能告訴你。
qstr_Is_this_your_land_{p|這是你的土地嗎，{playername}？這裡真臭。^稍安勿躁，我們只是聽從我們共同主人的命令來到{s20}的。
qstr_Yes_go_on_do_whateve|好的，你們繼續，照{s22}所說的做吧。
qstr_Of_course.|當然了。
qstr_I_don_t_like_this._W|我可不喜歡這樣。是什麼原因讓你們從{s21}大老遠跑過來？
qstr_Do_you_fear_us_{play|你在害怕我們嗎，來自{s20}的{playername}？哼，你究竟瞞著{s22}什麼事？^^別惹我們，就不會有人受傷。
qstr_It_s_a_servant_of_{s|這是{s22}的僕人。畏懼{s23}吧，{playername}！
qstr_Our_allies_are_you?_|我們的盟友，是嗎？我想你可以通過了。
qstr_And_we_shall_not_kil|我們應該不殺掉你，目前是這樣。
qstr_This_land_belongs_to|這片土地屬於{s20}...與{s23}無關。
qstr_We_will_stay_as_long|我們將在這裡待到吾主命令為止！你應該慶幸我們不是專程來找你的。
qstr_You_wear_the_colors_|你帶著{s20}的旗幟。但你在{s21}做什麼？^快說！
qstr_We_are_pursuing_our_|我們正在追趕我們的敵人，他們也是你的敵人！
qstr_Maybe._Or_maybe_you_|可能吧。但你也可能是間諜。^{s20}的士兵，回到屬於你的地方去吧。
qstr_We_are_friends_of_{s|我們是{s21}的朋友。
qstr_Time_will_tell_if_yo|時間會證明你所言真偽。這陣子我們很難分清敵我。
qstr_What_are_you_doing_h|{s20}的渣滓，你在{s21}做什麼？這是我們的土地，不是你的！
qstr_You_dare_question_di|你竟敢質疑來自{s23}的命令？
qstr_Guess_not._But_I_sti|我想不是吧。但我仍不喜歡你在附近。^{s20}的{playername}，我會盯著你的。
qstr_None_of_your_busines|與你無關，豬頭！
qstr_*growls*^You_should_|*低吼*^你應該感到萬分榮幸自己是為我們的主人而戰，否則你這樣擅闖絕對會完蛋。
qstr_What_are_you_doing_s|{s22}的奴隸，你離家這麼遠是在做什麼？在這裡，{s23}才是主人！
qstr_Quiet!_I_didn_t_came|安靜！我不是專程來找你的。這次不是。
qstr_And_I_ve_orders_to_l|我接到了讓你通過的命令。僅此一次。
qstr_None_of_your_business|與你無關。
qstr_You_slaves_of_{s22}_|你們這些{s22}的奴隸真弱！你要慶幸我們認你們作為盟友...
qstr_Look_whom_we_meet_so|瞧瞧我們遇見了離家這麼遠的誰呢：{s20}的士兵！這是好消息還是壞消息呢？
qstr_{s20}_and_{s21}_figh|{s20}和{s21}為共同的理想而戰。在這片敵方的土地上我們應該合作。
qstr_In_these_dark_times_|在這個黑暗的時代，每個人都自身難保，{playername}。^但我祝你能夠平安回家。
qstr_Neither_good_nor_bad|既不好，也不壞。我們的事會自己搞定。
qstr_Everybody_on_his_way|看來，各走各的路吧。
qstr_What_are_you_trying_|{s20}的渣滓，你想在這裡做什麼？偷我們的戰利品嗎？
qstr_Ha!_Soon_there_will_|哈！很快會有足夠的戰利品分給大家了。
qstr_Yes._Unless_you_get_|是的。除非你先死了。
qstr_You_don_t_get_any_sp|{s21}的渣滓，你死了就不會得到任何戰利品喔。
qstr_Is_that_a_threat?_Be|你在威脅我嗎？你要感謝在輪到你之前我們還有共同的敵人要宰。
qstr_The_enemy_is_upon_us|敵人來了！^
qstr_They_are_upon_us!_^|他們來了！^
qstr_{playername}_and_{hi|來自{s18}的{playername}和{他/她}的烏合之眾來了！^
qstr_ORCS!_ORCS!|半獸人！半獸人！
qstr_ORCS!_ORCS!_Fight_fo|半獸人！半獸人！不想死就奮戰吧！
qstr_Elven_ghosts!|精靈亡魂！
qstr_Here_they_come!_Hold|他們來了！保持隊形！
qstr_We_are_under_attack!|我們受到攻擊了！
qstr_Horse_people!_The_ho|騎馬之民！騎馬之民來了！
qstr_Men_from_the_White_C|來自白之城的人類？讓他們來吧，送他們下地獄！
qstr_Death_to_men!|去死吧人類！
qstr_Kill_the_maggots!|殺了這些蛆蟲！
qstr_Death_to_traitors_of|去死吧邪眼的叛徒！
qstr_Death_to_traitors_of_|去死吧白掌的叛徒！
qstr_{s14}Kill_them_all!_|{s14}殺光他們！不留活口！
qstr_Tonight_we_feast_on_|今晚讓我們用{s15}的血肉開宴會吧！
qstr_Gharr!_Kill!_Kill!_K|嘎啊啊！殺！殺！殺！
qstr_Slaughter_these_half|宰了這些半人類！
qstr_Fear_no_elven_ghosts|別怕精靈亡魂！
qstr_{s14}Double_rations_|{s14}斬首最多者配給翻倍！
qstr_{s14}Double_rations_t|{s14}斬下{s15}首級最多者配給翻倍！
qstr_{s14}Kill_these_hors|{s14}幹掉這些馬賊！
qstr_Kill_them_all!_Take_|殺光他們！奪回屬於我們的東西！
qstr_Tonight_there_will_b|今晚{s16}將會少一個敵人！
qstr_Baruk_Khazd!_Khazd_a|矮人的戰斧啊！矮人來啦！
qstr_{s14}Riders_of_Rohan|{s14}洛汗的騎手！記住你們為何而戰！
qstr_{s14}More_{s19}heads|{s14}有更多{s19}的頭可以拿來裝飾黑門了！
qstr_The_Wise_Master_shal|當我把{playername}的屍體帶給聰慧的主人他會很高興吧！
qstr_{s14}Now_we_will_put|{s14}現在我們將結束這些汙穢東西的痛苦。
qstr_{s14}Today_we_shall_|{s14}今天我們將與伊姆拉崔和世上公平正義的敵人戰鬥。
qstr_All_who_enter_Mirkwo|所有帶著惡意進入幽暗密林之人都將永眠於此！
qstr_Men_of_{s16}_the_ene|{s16}的子民，敵人就在這裡！為你們的土地而戰！
qstr_Men_of_{s16}_charge!|{s16}的子民，衝鋒！為你們的土地而戰！
qstr_{s14}Grind_their_bod|{s14}碾碎他們！
qstr_{s14}Dwarves_or_men_|{s14}矮人和人類，都比不上我們的勇猛啦！
qstr_{s14}Elves_or_men_th|{s14}精靈和人類，都比不上我們的勇猛啦！
qstr_{s14}Flesh_to_shatte|{s14}軀體可碎，喉嚨可割，鮮血可撒！
qstr_Put_on_the_masks_of_|戴上你們的戰士面具吧，弟兄們！今天就是我們來自{s18}的敵人的末日！
qstr_They_seek_the_tempes|他們渴求風暴，他們將被滿足！弟兄們，準備戰鬥！
qstr_Draw_your_weapons_me|弟兄們，拔出你們的武器，我們將把風暴帶給敵人！
qstr_Orcs_of_{s16}_get_re|{s16}的半獸人，準備好！這裡有好幾個喉嚨等你們來割呢！
qstr_These_friend_of_elve|這些精靈的朋友將死在我們的刀刃下！
qstr_These_Elves_will_fal|這些精靈將死在我們的刀刃下！
qstr_Raahh!_Draw_your_wea|啊啊！拔出你的武器，{s16}的渣滓！今晚我們將用{s15}的內臟開宴會！
qstr_Rha!_{s14}More_{s15}|啊！{s14}有更多可以用我們扭曲的武器來損毀的{s15}屍體啦！
qstr_Slaughter_these_puny|宰了這些微不足道的{s18}小偷！接著我們將燒毀他們的家園並砍了他們的家人。
qstr_Death_to_the_trespas|{s16}土地的擅闖者去死吧！
qstr_CHARGE!_Let_s_clear_|衝鋒！讓我們從{s18}清除這群來自{s17}{s19}的渣滓！
qstr_{s14}Now_that_{s19}s|{s14}讓{s19}的渣滓嚐嚐熊之民的怒火吧！
qstr_Attack!|攻擊！
; qstr_You_are_attacked_by_|You are attacked by a group of bandits!
qstr_Holding|堅守中
qstr_Following|跟隨中
qstr_Charging|衝鋒中
qstr_Advancing|前進中
qstr_Falling_Back|後退中
qstr_Standing_Closer|靠攏中
qstr_Spreading_Out|散開中
qstr_Standing|立守中
qstr_N/A|不適用
qstr_Free|自由行動
qstr_Any_Weapon|任意武器
qstr_Blunt_Weapons|鈍器
qstr_Infantry__{reg1}_|步兵({reg1})
qstr_Archers__{reg2}_|弓兵({reg2})
qstr_Cavalry__{reg3}_|騎兵({reg3})
qstr_Given_by:_{s62}|給自：{s62}
qstr_Given_on:_{s60}|給於：{s60}
qstr_You_have_{reg0}_days|你有{reg0}天來完成這個任務。
qstr_This_quest_has_been_|任務執行完畢。與{s59}談話以結束任務。
qstr_This_quest_has_been_s|任務成功完成。與{s59}談話以索取報酬。
qstr_This_quest_has_faile|任務失敗。與{s59}談話以解釋情況。
qstr_At_the_time_quest_wa|接受任務時：^{s1}
qstr_{s7}_and_{s8}|{s7}和{s8}
qstr_{s7}_{s8}|{s7}，{s8}
qstr_noone|沒有人
qstr_{s9}_and_{s10}|{s9}和{s10}
qstr_{s9}_{s10}|{s9}，{s10}
qstr_no_one|沒有人
qstr_{s11}_and_{s12}|{s11}和{s12}
qstr_{s11}_{s12}|{s11}，{s12}
qstr_{s5}_is_ruled_by_{s6|{s5}由{s6}統治。^控制著{s8}。^旗下指揮官有{s10}。^{s5}正與{s12}交戰。
qstr_{s5}_has_been_defeat|{s5}被擊敗了！
qstr_{s5}_has_a_strength_|{s5}共有{reg1}名兵力。
qstr_no_holdings|沒有封地
qstr_{s57}_and_{s58}|{s57}和{s58}
qstr_{s57}_{s58}|{s57}，{s58}
qstr_{reg3?She:He}|{reg3?她:他}
qstr_{reg6?:{reg4?{s54}_i|{reg6?:{reg4?{s54}是{s56}的統治者。^:{s54}臣服於{s56}的{s55}。^}}{reg9?{reg3?她:他}是{s58}的{reg3?女領主:領主}:}{s59}{reg10?^{reg3?她:他}已戰死！:}
qstr_The_last_time_you_sa|你上次見到{reg1?她:他}，{s1}
qstr_The_last_time_you_he|你上次聽說過{reg1?她:他}的事情，{s1}
qstr_The_{s50}|{s50}
qstr_{s50}_belongs_to_{s1|{s50}屬於{s2}的{s1}。^
qstr_Current_garrison_con|當前的守備部隊有{reg5}人。^有{reg6}天份的存糧。
qstr_Very_Poor|非常貧窮
qstr_Poor|貧窮
qstr_Average|一般
qstr_Rich|富有
qstr_Very_Rich|非常富有
qstr_Strength|力量
qstr_Agility|敏捷
qstr_Intelligence|智力
qstr_Charisma|魅力
qstr_You_ve_gained_{s6}_f|你因獲得{s7}而獲得了{s6}
qstr_You_ve_lost_{s6}_fro|你因失去{s7}而失去了{s6}
qstr_{s50}_Caves|{s50}洞穴
qstr_{s50}_Mines|{s50}礦山
qstr_{s50}_Woods|{s50}樹林
qstr_{s4}_looks_upset.|{s4}看起來很沮喪。
qstr_your_party|你的隊伍
qstr_{reg0?One_of_your_pr|{reg0?你的其中一個囚犯，:}{s3}的{s1}從囚禁中逃跑了！
qstr_You_brought_{reg3}_h|你帶了{reg3}頭牛到{s1}。
