pt_mordor_p_train|魔 多 俘 虜 押 送 隊 
pt_isengard_p_train|艾 辛 格 俘 虜 押 送 隊 
pt_kingdom_hero_party|戰 隊 
pt_caravan_survivors|商 隊 幸 存 者 
pt_routed_allies|被 圍 住 的 盟 友 
pt_routed_enemies|被 圍 住 的 敵 人 
pt_legion_minas_morgul|米 那 斯 魔 窟 軍 團 
pt_legion_udun|烏 頓 軍 團 
pt_legion_gorgoroth|葛 哥 洛 斯 軍 團 
pt_legion_barad_dur|巴 拉 多 軍 團 
pt_beorn_messenger|比 翁 信 差
pt_village|村 莊
pt_ring_hunters|戒 指 獵 人
pt_scout_camp_small|斥 候 營 地
pt_scout_camp_large|加 強 斥 候 營 地
pt_beorn_caravan|山 林 人 商 隊
pt_orc_horde|半 獸 人 群
pt_volunteers|儲 備
pt_refugees|難 民 
pt_retreat_troops|斷 後 部 隊
