dlga_start:mutiny_pretalk_1|喂，{playername}。告訴你.. ^小的們在抱怨！想多點樂子，少點行軍。
dlga_hobbit_pippin_talk_met:hobbit_deliver_message|你好，皮聘閣下。我有一封你表親的信，梅里，自伊多拉斯。
dlga_hobbit_deliver_message:close_window|謝謝你， {playername}。 感謝你帶這個給我。
dlga_hobbit_merry_talk_met:close_window|你好，梅里閣下。
dlga_hobbit_pippin_talk_met:close_window|你好，皮聘閣下。
; dlga_start:hd_defense_01|It is well that you are here, {playername}. My name is Aragorn, son of Arathorn, and I am the Heir of Isildur – see, here is Anduril, the Flame of the West, which I bear in battle. The Blade that was Broken shines again! It will not be long before Saruman’s forces reach these walls. I ask you now to lend me your aid and defend the Rohirrim, for the honour of the Lord of the Mark. Let this be the hour when we draw swords together!
; dlga_start:hd_defense_01.1|Mae lovannen! Things here look ill, {playername}, but less ill now that you are here with us! Gellon len covad. I am Legolas of Mirkwood, and though I do not much like this place I like the approaching hordes of Saruman even less. What would I give for a hundred more of my kin here! There are too few of us, too few. We shall need your aid, Commander, though we may be but a few leaves in the forest. Come, let me show you where our bows will be of the most use…
; dlga_start:hd_defense_01.2|Right glad am I to see you, kinsman! I am Gimli, son of Gloin. It is a great host that comes now against us, but my axe is restless in my hand, and I know you feel the same! Give us a row of orc-necks to hew and room to swing, and together we shall teach them the meaning of fear. Stout feet and hard axes, that is what will carry us through the night! Ai oi! There are enough for both of us. Baruk Khazaˆd! Khazaˆd ai-meˆnu!
; dlga_hd_defense_01:close_window|Now, let us rest for a while. The enemy will be here by nightfall.
; dlga_start:aragorn_thanks_hd|{playername}, I am glad to see you live still. The men are weary with battle, but thanks to you they see the dawn of a new day. The hillmen have given themselves up, and they shall be put to work to repair the evil which they have joined, after which I hope they will return to their own lands. They were easily deceived by Saruman, for much was taken from them, and much remains to be given back; we shall have to see what can be done for them later.
; dlga_aragorn_thanks_hd:close_window|I hope our paths may cross again, {playername}. I bid you farewell now, for I ride on an errand most urgent. With the first light of morning we must go, my friends and I, and take a dark road out of this valley. {playername}, the times are evil, but your valour gladdens the hearts of all free peoples everywhere, from the North to the South. Fight well, and we may meet again beyond the shadows!
; dlga_start:close_window.1|In a little while I take the road again, {playername}, a hard road untrodden by many for uncounted years. I hope your path is easier than mine, friend. In the meantime, perhaps you may wish to go into the deep Caverns of Helm's Deep, of which my companion Gimli the Dwarf has spoken much.
; dlga_start:close_window.2|Have you yet been to the caves in the back? The Glittering Caves of Aglarond, {playername}! Happy is the chance that has led your footsteps here!
; dlga_start:close_window.3|I have pledged to my friend Gimli Gloin's son that when the war is over, I shall return here with him and see the Glittering Caves of Aglarond for myself. If you have the time, {playername}, you could do this before you go on your way again. A brief respite from all the fighting!
; dlga_start:treebeard_isengard_1|{s2} Ha, hmmm! Welcome, friends! Your arrival is timely. I have a Wizard to manage here, but first, we must nail him down in his tower. This will be a nasty business. Rock, axe and fire await us inside. Will you help us?
; dlga_treebeard_isengard_1:treebeard_isengard_2|Yes, Gandalf sent me. Let us storm the Ring of Isengard!
; dlga_treebeard_isengard_2:close_window|Very well, follow me then. We have already breached the Ring. Now, let us clean up inside! Hoom, hom! Hoom, hom! To Isengard with doom we come! With doom we come, with doom we come!
; dlga_start:close_window.4|Hoom, hom! Hoom, hom! To Isengard with doom we come! With doom we come, with doom we come!
; dlga_start:close_window.5|Thank you for your help. I must say it was quite satisfying to manage those Orcs. You were of great help to us. But now, hm, we have work to do that you cannot help with. You should maybe find a safe spot outside Isengard and wait until we are finished.
; dlga_start:treebeard_isengard_3|Hello again. It is good to see you safe and dry. I must say it will take a long while to flush all of Saruman's filth away. But we’ve done quite well, hmm, yes. He will do no more harm.
; dlga_treebeard_isengard_3:close_window|Ho, hmm, I owe you great thanks. I had not expected any help from others, and it is good to learn that our Last March may not end quite so badly, after all! Since the tree-killer is dealt with, we should now be able to keep Rohan's northern marches safe, for a while.
; dlga_treebeard_isengard_3:close_window.1|Hmm? Ho, hmm… ah. So, you have come all the way from Rohan, have you? Hmm. I have heard some news from the south, yes. Good news, news to gladden all hearts. I have good will to Theoden King, and I am glad he was aided by the likes of you in his hour of peril, hmm! We have managed here well enough, and now we Ents will see to it that Saruman does not set foot beyond Isengard, without our leave. The Isen flows well again, and soon I hope the water will once more be fit to drink. Ha, hm, I feel a song coming on. A song of the old days… the old trees I knew…
; dlga_start:ent_encounter|Hrooom! What do you want?
; dlga_ent_encounter:close_window|Hail, tree shepherd! Thank you for keeping these marshes safe. I will not stand in your way.
dlga_start:treebeard_introduce_1|(你正注視著一個奇妙的生物。他身材很高，有著樹皮一樣的僵硬皮膚和一頭如葉般茂盛的頭髮。苔蘚也覆蓋了他身體的一部分。但現在唯一引起你注意的僅僅是一雙眼睛。那雙深邃的棕色眼睛閃著綠色的光芒，此刻正緩慢嚴肅但又極具穿透力地打量著你。你覺得那雙眼睛後面是一口深不見底的古井，裝滿了歲月的記憶，以及漫長、和緩、穩定的思緒。但它們的表面閃耀著現實...就像灑在一棵巨樹的外層樹葉上的細碎陽光，或是深幽湖水表面漣漪的粼粼波光。)
dlga_treebeard_introduce_1:treebeard_introduce_2|(你正想說些什麼時一種奇怪的窒息感忽然落在你身上，就好像空氣忽然變稀薄到不能呼吸的程度...你近乎絕望的深吸了一口氣設法擺脫之前的狀態而那個如樹般的生物則稍微降低了注視你的強度。他持續的注視讓你發現周圍有更多的樹狀生物也將他們的目光投向你，就好像在等你說些什麼…)
dlga_treebeard_introduce_2:treebeard_introduce_3|請原諒我的侵擾…我只是一個在從最近發生的事件中尋求庇護的疲憊旅行者...我的名字是{playername}。我能否請問你是誰？
dlga_treebeard_introduce_3:treebeard_introduce_4|(僵硬的大樹慢慢地張開了他隱藏在樹枝、樹葉和苔蘚後面的嘴，從中傳來了深沉，緩慢但蓬勃且威風凜凜的聲音：)^'呼嚕姆，呼姆…*我*還不打算告訴你我的名字…至少不是現在。原因是那很費時。我的名字一直隨著時間而加長而我已經活了很久，很久了；所以我的名字就像個故事。在我的語言裡事物的真名會告訴你它經歷過的故事，你應該會說那是古老的樹人語。它是個迷人的語言，不過要用它來說任何事都得花很長的時間，因為什麼事要是不值得花很長的時間去說，去聽，我們就不會用這語言來說了。’
dlga_treebeard_introduce_4:treebeard_introduce_5|噢，你是樹人！能跟傳說中的你們說話是我的榮幸。如果你們不想被打擾我會安靜離開的。
dlga_treebeard_introduce_5:treebeard_questtalk|(巨大的樹人和他的同伴已經很久沒有出聲並放任微風穿過他們如葉般茂盛的頭髮和鬍鬚。他們看向彼此然後又開始了長久的沉默。一個像花揪樹的樹人似乎想要說些什麼。但，他還是保持沉默直到巨大的樹人繼續：)
dlga_treebeard_questtalk:treebeard_quest_brief|{reg2?正如我之前說的…:呼嚕姆…我們感謝你的彬彬有禮。{reg1?這對你的種族來說可真不常見:很高興能再一次和精靈交談}。}自從樹妻消失之後，日子就很不好過了-現在又有無數的邪惡生物被黑暗之主釋放了出來，企圖毀滅我們的家園。我們尋求反應快速但不魯莽之人，在我們討論下一步行動的時候幫助我們。^很多群半獸人正在砍伐和用火箭焚燒森林-如果你能擊敗半獸人確保他們不再威脅森林我們會很感激並把你當做真正朋友的。先完成這件事之後我們再談吧。
dlga_treebeard_quest_brief:close_window|半獸人的確是邪惡的生物。我會確保他們不再傷害森林的。
dlga_treebeard_quest_brief:treebeard_pretalk|抱歉，我現在沒時間做這件事。
dlga_treebeard_questtalk:close_window|(樹人首領緩緩地張開了口而其他樹人也將目光轉向你。他們開始慢慢的發出了令大地微微顫動的深沉聲音-你忽然意識到他們正在以樹人的方式大笑。一個相對年輕像花楸樹的樹人踏著他那七趾的大腳，帶來的震動幾乎把你震倒)^'放鬆點，急楸。別傷到這位我們年輕的戰士朋友。呼姆…我是樹鬍，樹人中最年長的，我們感謝你的幫助...呼姆…讓我把樹人之水作為禮物送給你來慶祝你的成功吧。'
dlga_treebeard_questtalk:close_window.1|(巨大的樹人和他的同伴已經很久沒有出聲並放任微風穿過他們如葉般茂盛的頭髮和鬍鬚。)
dlga_treebeard_pretalk:treebeard_talk_response|呼嚕姆…你想知道些什麼嗎，年輕的朋友？
dlga_treebeard_talk_response:treebeard_about_himself|告訴我更多關於你的事吧。
dlga_treebeard_talk_response:treebeard_about_entwives|告訴我更多關於樹妻的事吧。
dlga_treebeard_talk_response:treebeard_about_ents|告訴我更多關於樹人的事吧。
dlga_treebeard_talk_response:close_window|算了，再見。
dlga_treebeard_about_himself:treebeard_pretalk|(樹人領袖莊嚴地遠望著。過了一會他緩慢的說：)^'別急…等你把森林從半獸人的威脅中解放後我們再好好談吧。'
dlga_treebeard_about_himself:treebeard_pretalk.1|呼嚕姆…我是我們親屬中最年長的…我被少數凡人稱為樹鬍而精靈則叫我法貢。呼姆…我、樹皮和葉叢是在黑暗到來之前就在森林中行走的樹人。我已經不能像從前那樣輕易彎曲了…年輕的急楸可以彎曲搖擺，就像在風中搖曳的細樹般…呼姆…要是樹妻在這裡就好了…
dlga_treebeard_about_entwives:treebeard_pretalk|(樹人領袖的表情忽然變得悲傷起來並用不尋常的低沉聲音說。)^'呼姆…那是個悲傷的故事…等森林中沒有半獸人我們再說這個吧。'
dlga_treebeard_about_entwives:treebeard_pretalk.1|啊呼姆…美麗的樹妻…她們喜歡種植和生長…我們當初應該多聽聽她們的話…呼嚕姆…之後她們去了褐地種植新的花園和教凡人如何使土地變得肥沃…我們曾常常去看她們…直到…索倫發動攻擊…樹妻就這樣不見了…呼姆…白樺...她成熟的色調…我們一直在尋找她們…但沒找到…還沒...
dlga_treebeard_about_ents:treebeard_pretalk|呼嚕姆…我們是樹的牧人並保護它們不受傷害。除了把我們從沉默中喚醒的精靈之外我們比一切凡人都要來的久遠。世事變幻莫測。我們一開始更敏捷靈活。但漸漸地我們很多都消失了。我們有些還是真正的樹人，按我們原有的樣子活著，但很多變得越來越嗜睡，照你們的說法，變得更像樹。當然，大多數的樹都只是樹而已；但有許多是半醒的。有些則相當清醒，還有少數，嗯，啊，變得更像樹人。這些變化始終沒停過。樹起了這樣的變化後，你會發現其中有些是懷著惡意的。當然，我們只能盡力而為。我們不讓陌生人和蠢蛋接近；我們教授和訓練，我們行走和除草。
dlga_start:close_window.6|姆？
dlga_start:close_window.7|姆哼？
dlga_start:close_window.8|姆哼哼？
dlga_start:looters_2_join|向{s4}的力量低頭並臣服於我吧！
dlga_looters_2_join:close_window|我們會服從的，主人。
dlga_start:close_window.9|^^低吼！^^
dlga_start:close_window.10|^^低吼！^^
dlga_start:member_castellan_talk|是的，{playername}？我能為你做些什麼呢？
dlga_member_castellan_pretalk:member_castellan_talk|還有其他的嗎？
dlga_member_castellan_talk:member_review_castle_garrison|我想查看城堡的駐軍。
dlga_member_review_castle_garrison:member_castellan_pretalk|當然。這是我們的清單，要做任何更動的話請告訴我…
dlga_member_castellan_talk:member_review_castellan_equipment|讓我看看你的裝備。
dlga_member_review_castellan_equipment:member_castellan_pretalk|好的，都在這了...
dlga_member_castellan_talk:member_castellan_join|我要你放棄城堡並且加入我的隊伍。
dlga_member_castellan_join:close_window|我還蠻喜歡這個地方的…但既然是你的命令，{playername}，我會跟你走的。
dlga_member_castellan_join:member_castellan_pretalk|那我們要睡哪？你可是帶著一整支軍隊欸，{playername}，沒有足夠的空間容下我們所有人啊。
dlga_member_castellan_talk:close_window|[離開]
dlga_member_chat_00:member_lady_1|{playername}，你覺得我們什麼時候能到達目的地？
dlga_member_lady_1:close_window|我們還有很長一段路要走。
dlga_member_lady_1:close_window.1|很快。我們就快到了。
dlga_member_chat_00:member_scout_1|我們已經準備好執行偵察任務了。我們該現在出發嗎？
dlga_member_scout_1:close_window|是的，你已經得到命令了。再見。
dlga_member_scout_1:close_window.1|等一下，先不要。
dlga_do_member_trade:member_talk|還有其他的嗎？
dlga_member_chat_00:member_talk|是的，{s5}？
dlga_member_talk:member_trade|讓我看看你的裝備。
dlga_member_trade:do_member_trade|抱歉，我的裝備是自己管的。
dlga_member_trade:do_member_trade.1|好的，都在這了...
dlga_member_talk:view_member_char_requested|你可以跟我說一下你的技能嗎？
dlga_view_member_char_requested:do_member_view_char|好的，讓我告訴你...
dlga_member_talk:member_separate|我們需要暫時分開。
dlga_member_talk:ziggy_ask_more|齊格爾菲爾，我需要妳再給我一頭狼。妳能做到嗎？
dlga_ziggy_ask_more:close_window|你沒有可以提供的生命，指揮官。
dlga_ziggy_ask_more:ziggy_not_rested|再給我一點時間，指揮官。儀式消耗了我很多能量。
dlga_ziggy_ask_more:close_window.1|我只能控制這麼多。我需要變得更強大…
dlga_ziggy_ask_more:ziggy_choose_prisoners|當然了，指揮官。你要提供哪一個？
dlga_ziggy_not_rested:close_window|那快休息吧，我需要更多這些。
dlga_member_separate:member_separate_confirm|真的嗎？好吧，不過我不會在這乾等，我會回到{s4}去的。你想要這樣嗎？
dlga_member_separate_confirm:member_separate_yes|沒錯，我們得分開了。
dlga_member_separate_confirm:do_member_trade|不，我還是需要你在我身邊。
dlga_member_separate_yes:close_window|好吧。那，我走了。需要我的話就來找我吧。
dlga_member_talk:member_question|我想問你一些事。
dlga_member_talk:close_window|算了。
dlga_member_question:member_question_2|好的。你想問什麼？
dlga_member_question_2:member_morale|你覺得我們一眾的整體狀況怎麼樣？
dlga_member_question_2:member_health|你的身體狀況如何？
dlga_member_question_2:member_background_recap|再告訴我一遍你的故事。
dlga_member_background_recap_3:do_member_trade|那之後不久，我就加入你了。
dlga_do_member_view_char:member_talk|還有其他的嗎？
dlga_start:close_window.11|只要你準備好我們就出發。
dlga_start:close_window.12|今天請不要再浪費我的時間了。以後再說吧。
dlga_companion_recruit_signup_response:close_window|很遺憾，我的隊伍現在不能再容納更多人手了。
dlga_companion_recruit_rank:close_window|看來我的同胞對你的認可還不夠，{playername}。你目前是{s29}，要我加入你的隊伍你需要至少成為{s24}[還需要{reg3}階級點數]。^等你更有成就的時候我們再說吧。
dlga_companion_recruit_rank:companion_recruit_payment.1|我很高興看見你成為了{s29}，我很樂意加入你的隊伍。
dlga_companion_recruit_payment_response:close_window|好吧，那我就幫不上忙了。
dlga_start:companion_recruit_meet_again|我們又見面了。
dlga_companion_recruit_meet_again:companion_recruit_backstory_delayed|那…你在我們上次相遇之後都做了些什麼？
dlga_start:companion_recruit_secondchance|是？
dlga_companion_recruit_secondchance:close_window|算了。
dlga_companion_recruit_backstory_delayed_response:companion_recruit_signup_b|我們一眾應該能用得上你。
dlga_companion_recruit_backstory_delayed_response:close_window|算了，下次再說吧。
dlga_companion_recruit_signup_confirm:close_window|好！給我一點時間準備我就可以出發了。
dlga_start:companion_rehire|我依然希望重新加入你，如果你還要我的話。
dlga_start:companion_rehire.1|真高興看到你還活著，{s5}！{s6}，我就不知道你是被抓住、被殺掉還是跑掉了。從那時起我就在這裡等你，一直期待聽到你的消息。我可以收拾行囊重新加入你們一眾嗎？
dlga_start:companion_was_dismissed|見到你真好，{s21}！說實話，我一直希望能遇見你。
dlga_companion_was_dismissed:companion_rehire|{s5}。你希望我重新加入你們一眾嗎？
dlga_companion_rehire:companion_recruit_signup_confirm|歡迎回來，我的朋友！
dlga_companion_rehire:companion_rehire_refused|抱歉，我現在沒辦法再帶上更多人了。
dlga_companion_rehire_refused:close_window|好吧…如果你改變主意就來找我，好嗎？
dlga_event_triggered:ziggy_ask_prisoners|指揮官，聽我一言。你摧毀了我們的對手，並俘虜了一些囚犯-非常不錯。我有一份大禮給你，只要你肯付出小小的代價作為交換：把其中一個俘虜交給我。
dlga_event_triggered:ziggy_ask_prisoners.1|指揮官，恭喜你取得勝利。如果你還記得上次我跟你說的，我可以利用其中一個俘虜。這會對你有好處的，指揮官，我向你保證。
dlga_ziggy_ask_prisoners:ziggy_ask_why|別再搞神秘了，齊格爾菲爾！講清楚！妳要拿囚犯做什麼？
dlga_ziggy_ask_why:ziggy_reason|耐心，要有耐心，指揮官！你只需滿足我這小小的要求，我將會向你展現奇蹟。
dlga_ziggy_reason:ziggy_yes|妳引起我的好奇心了。好吧。我會留下一個給妳…的溫柔照顧。
dlga_ziggy_reason:ziggy_no|現在不行，齊格爾菲爾。回到妳的崗位上。
dlga_ziggy_no:close_window|好的，指揮官，但只有傻瓜才會放棄我的禮物。
dlga_ziggy_no:close_window.1|好的，指揮官。
dlga_ziggy_yes:ziggy_choose_prisoners|非常好，這些樣本中你想給出哪個呢？
dlga_ziggy_choose_prisoners:ziggy_no|我沒有任何想給的。
dlga_ziggy_chosen_prisoner:ziggy_ritual|謝謝你，指揮官！等一下...啊是的，這個很不錯...願黑暗籠罩我們！然後，臣服於魔多之下吧！
dlga_ziggy_chosen_prisoner:ziggy_ritual.1|看看我們這裡有什麼？驕傲，反抗？又或者是理所當然的，恐懼？現在，我將給你恐懼的理由！願黑暗籠罩我們！然後，臣服於魔多之下吧！
dlga_ziggy_ritual:ziggy_ritual_succeed|噢是的...是的！看吧，指揮官！瞻仰我，齊格爾菲爾，的狀舉吧！安格班的狼你知道嗎？卓古路因，或殺掉維林諾之犬胡安強大的卡黑洛斯？如同黑暗之主可以扭曲並將靈魂困在容器中來利用，我也成功將一個卑微的靈魂困住並培養成一頭黑影的野獸！雖然沒有卓古路因的血脈那麼好，當然，比不上，但夠用了。
dlga_ziggy_ritual:ziggy_ritual_succeed.1|確實的讓對手臣服總是如此的讓人愉悅。
dlga_ziggy_ritual:ziggy_choose_prisoners|噁！這個太弱了！毫無價值！指揮官，換一個更強壯的給我，一個不會失敗的！
dlga_ziggy_ritual_succeed:close_window|阿當然，在你把另外一個俘虜交給我照顧之前；讓我稍稍的休息一下。剩下的我會處理好。
dlga_companion_objection_response:close_window|謝謝，我感謝你的支持。
dlga_companion_objection_response:close_window.1|希望下次不會再發生了。
dlga_companion_objection_response:close_window.2|我知道你的反對了，不過我現在還有更重要的事情要考慮。
dlga_companion_personalityclash2_response:close_window|我認為{s11}是個很有價值的成員，你應該更加尊重{reg11?她:他}。
dlga_companion_personalityclash2_response:close_window.1|你是對的。我對{s11}的行為感到不滿也會讓{reg11?她:他}知道的。
dlga_companion_personalityclash2_response:close_window.2|我沒空管這種小事。
dlga_companion_personalityclash_response:close_window|我認為{s11}是個很有價值的成員，你應該更加尊重{reg11?她:他}。
dlga_companion_personalityclash_response:close_window.1|你是對的。我對{s11}的行為感到不滿也會讓{reg11?她:他}知道的。
dlga_companion_personalityclash_response:close_window.2|我沒空管這種小事。
dlga_companion_personalitymatch_response:close_window|很好。
dlga_event_triggered:companion_faction_demolished|{s5}，{reg6?我們的:我的}家園{s6}正被戰火侵襲，我希望你能考慮在我們準備好之後幫助{reg6?我們的:我的}同胞。
dlga_companion_faction_demolished:close_window|那我們將火速援助{s6}。
dlga_companion_faction_demolished:close_window.1|我很抱歉，但還有其他地方需要我們。
dlga_companion_home_description:companion_home_description_2|繼續說。
dlga_companion_home_description:close_window|我們現在沒有時間閒聊。
dlga_companion_home_description:close_window.1|我希望我的同伴不會用瑣事打擾我。
dlga_start:player_hire_troop|{s33}^^我負責駐守在{s21}的部隊。你在找我嗎？
dlga_player_hire_troop:player_hire_troop_give|我團隊裡的一些士兵，對在這防守{s21}更有幫助。
dlga_player_hire_troop:close_window|我想檢閱我駐紮在這裡的士兵。
dlga_player_hire_troop:player_hire_trolls_take|我是個值得一隻戰鬥食人妖的指揮官-給我一隻！
dlga_player_hire_trolls_take:close_window|想要訓練自己的暗黑軍團，是嗎？當你可以將成熟的食人妖添加到你的隊伍中時再說吧。
dlga_player_hire_trolls_take:close_window.1|你？你這卑微的蛆蟲。滾出我的視線。戰鬥食人妖，個鬼啦。(你需要成為{s24}或者更高)
dlga_player_hire_trolls_take:player_hire_trolls_how_many|這將花費{reg21}影響力。
dlga_player_hire_trolls_take:close_window.2|我改變主意了。
dlga_player_hire_trolls_how_many:player_hire_troll_buy_done|真是一隻可怕的野獸。而現在，牠是我的了！
dlga_player_hire_trolls_how_many:player_hire_troll_armoured|如果有鐵片保護他們的戰鬥力會更好。做吧！
dlga_player_hire_troll_armoured:player_hire_trolls_how_many|{s55}
dlga_player_hire_trolls_how_many:player_hire_troll_buy_not_enough|我改變主意了。
dlga_player_hire_troll_buy_not_enough:close_window|浪費我的時間...
dlga_player_hire_troll_buy_done:close_window|好好照顧這個大傢伙，他就會好好照顧你的！哈！
dlga_player_hire_troop:close_window.1|我需要一些訓練。
dlga_player_hire_troop:tld_sell_prisoners|我為你帶來了一些囚犯。
dlga_tld_sell_prisoners:tld_sell_prisoners_check|{s33}讓我們瞧瞧這些可悲的渣滓！
dlga_player_hire_troop:tld_sell_prisoners_all|我想把隊伍裡的俘虜直接都轉交給你。
dlga_tld_sell_prisoners_all:player_hire_troop_nextcycle|幹得漂亮，我這就讓他們都蹲牢裡去。
dlga_tld_sell_prisoners_check:tld_sell_prisoners_2|讓我查查我們地牢的紀錄…
dlga_tld_sell_prisoners_2:player_hire_troop_nextcycle|你，改變主意啦？
dlga_tld_sell_prisoners_2:player_hire_troop_nextcycle.1|我會確保他們逃不出我們地牢的。
dlga_player_hire_troop:close_window.2|告別。
dlga_player_hire_troop_pre_pre_nextcycle:player_hire_troop_pre_nextcycle|讓我查查部隊名冊…
dlga_player_hire_troop_pre_nextcycle:player_hire_troop_nextcycle|所以你改變主意了…^我知道了。
dlga_player_hire_troop_reunite:player_hire_troop_reunite_1|讓我查查部隊名冊…
dlga_player_hire_troop_reunite_1:player_hire_troop_nextcycle|所以你改變主意了…^我明白了。
dlga_player_hire_troop_reunite_1:player_hire_troop_nextcycle.1|我們這裡用不著這些士兵…^把他們帶回去吧。
dlga_player_hire_troop_nextcycle:player_hire_troop|還有其他的嗎？
dlga_start:player_siege_castle_commander_1|你想要什麼？
dlga_player_siege_castle_commander_1:player_siege_ask_surrender|投降！你已經沒有希望了！
dlga_player_siege_castle_commander_1:close_window|沒事。我先走了。
dlga_player_siege_ask_surrender:player_siege_ask_surrender_treatment|也許…你會用你的名譽擔保給我們相應的待遇嗎？
dlga_player_siege_ask_surrender:player_siege_ask_leave_unmolested|如果你用名譽擔保讓我們平安離開的話我們會讓出這座城堡。
dlga_player_siege_ask_surrender:close_window|投降？哈！我們會守住這些城牆直到老死。
dlga_player_siege_ask_surrender_treatment:player_siege_ask_surrender_treatment_reject|我什麼都不會給你。投降或準備去死吧！
dlga_player_siege_ask_surrender_treatment_reject:close_window|混蛋。我們會戰到最後一人的！
dlga_player_siege_ask_surrender_treatment:player_siege_ask_surrender_treatment_accept|你將被用來換取贖金而你的士兵也會生還。我用名譽擔保。
dlga_player_siege_ask_surrender_treatment_accept:close_window|那好吧。既然如此，我向你投降。
dlga_player_siege_ask_leave_unmolested:player_siege_ask_leave_unmolested_accept|我用名譽擔保。如果你離開城堡的話，你將不會受到攻擊。
dlga_player_siege_ask_leave_unmolested_accept:close_window|好吧。這座城堡是你的了。今天你贏了。但我們還會再見的。
dlga_player_siege_ask_leave_unmolested:player_siege_ask_leave_unmolested_reject|不能接受。我要俘虜。
dlga_player_siege_ask_leave_unmolested_reject:close_window|那我們會死守這個城堡的，這場談判結束了。告別。
dlga_defeat_lord_answer:defeat_lord_answer_1|你現在是我的俘虜了。
dlga_defeat_lord_answer_1:close_window|我會任你處置的。
dlga_defeat_lord_answer:defeat_lord_answer_2|你打得不錯。你自由了。
dlga_start:party_encounter_lord_hostile_attacker|{playername}！
dlga_start:party_encounter_lord_hostile_attacker.1|站住！
dlga_party_encounter_lord_hostile_attacker_2:party_encounter_offer_dont_fight|真的非打不可嗎？我不想和你戰鬥。
dlga_party_encounter_lord_hostile_attacker_2:close_window|別攻擊！我們投降。
dlga_party_encounter_lord_hostile_attacker_2:close_window.1|我們會與你戰鬥到底的！
dlga_party_encounter_offer_dont_fight:close_window|我欠你一個人情，是吧？嗯…好吧。僅此一次我會讓你走的。
dlga_party_encounter_offer_dont_fight:close_window.1|哈-哈。但我想和你戰鬥。
dlga_start:close_window.13|滾吧你，臭乞丐。
dlga_start:lord_start|這不是我英勇的冠軍勇士，{playername}嗎…
