
str_yes|是。
str_tutorial_3_msg_1|本教學旨在為你提供一個沒有盾的招架和防禦概述。用你的武器招架攻擊會比用盾阻擋還困難些。當你用武器防禦時，你只會受到一個方向的保護，即是你的武器被設定的方向。如果你向上阻擋，你會擋掉任何頭頂上來的打擊，但是你擋不住向你身體兩側的突刺或攻擊。這些攻擊中的任何一個都能擊中你。這就是為什麼，為了在沒有盾的情況下生存，你必須學會定向防禦。現在去拿起斧頭開始練習吧。
str_tutorial_3_msg_2|預設情況下，你防守的方向(通過按下並按住鼠標右鍵)取決於最近對手的攻擊方向。例如，如果你的對手正在準備突刺，按住鼠標右鍵將擋住突刺，但不會擋住從側面或頭頂的攻擊。你必須仔細觀察你的對手，並在敵人開始攻擊後才開始擋。如果你在他準備攻擊之前就開始，你可能會擋住完全錯誤的方向！現在是時候讓你進入下一個房間了，在那裡你必須保護自己免受武裝的對手攻擊。你的任務是保護自己三十秒，除了簡單的斧頭之外沒有任何裝備。本教學禁止了你用斧頭攻擊，所以不要擔心攻擊並專注於你的防禦吧。準備開始戰鬥時就移動到下一個房間吧。
str_tutorial_3_msg_3|在對手開始攻擊時按住鼠標右鍵以用斧頭保護自己。保持站立三十秒。你還剩{reg3}秒。
str_tutorial_3_msg_4|幹得好，你已經成功完成了這次試驗！現在你將與一個更具挑戰性的對手進行對抗而這將使事情變得更困難。當你準備面對他時就前往下一個房間吧。
str_tutorial_3_msg_5|在對手開始攻擊時按住鼠標右鍵以用斧頭保護自己。保持站立三十秒。你還剩{reg3}秒。
str_tutorial_3_msg_6|恭喜，即使敵人盡了最大的努力你仍站著。邊防禦邊攻擊的時刻到了。靠近門並在看到'前往'時按下F鍵。
str_tutorial_3_2_msg_1|你再次能用斧頭攻擊了。你的第一個對手正在隔壁房間等候。用攻擊和防禦的組合擊敗他吧。
str_tutorial_3_2_msg_2|用你的斧頭擊敗你的對手。
str_tutorial_3_2_msg_3|精彩。現在唯一阻擋你的剩下最後一個對手。他就在隔壁房間。進去打倒他吧。
str_tutorial_3_2_msg_4|用你的斧頭擊敗你的對手。
str_tutorial_3_2_msg_5|做得好！在本教學中，你已經學會如何在沒有盾的情況下進行戰鬥了。努力訓練，就不會有人能擊中你的。在下個教學中，你可以學習騎馬和騎兵作戰。 您隨時可以按Tab鍵返回教學選單。
str_tutorial_4_msg_1|歡迎來到第四個教學。在這個序列中，你將學習如何騎馬/座狼以及如何在馬背上進行各種武術演練。我們首先要讓你上馬。接近馬，在看到'騎乘'時按'F'鍵。
str_tutorial_4_msg_2|在馬背上，用WASD鍵控制你的馬移動，而不是你自己的。嘗試沿著場地周圍的旗幟騎馬吧。當你到達旗幟時，它將移動到下一個目標直到你到達終點。
str_tutorial_4_msg_3|很好。接下來我們將涵蓋從馬背上攻擊敵人。現在靠近旗子吧。
str_tutorial_4_msg_4|拔出你的劍(使用鼠標滾輪)並摧毀四個目標。嘗試在完全馳騁時擊中假人--這有額外的難度，但額外的速度加上你的打擊會敵人獲得更多的傷害。最簡單的方法是按住鼠標左鍵直到合適的時刻，在你通過目標的前方時放開它。
str_tutorial_4_msg_5|做的好極了。現在讓我們嘗試在馬背射擊目標。現在靠近旗子吧。
str_tutorial_4_msg_6|找到騎乘場地旁邊的箭靶並用弓箭射擊三次。雖然你不需要邊跑邊射，但建議你嘗試以各種速度和角度擊中目標以了解你的馬的速度和方向會如何影響你的準頭。
str_tutorial_4_msg_7|恭喜，您已完成本教學。你隨時可以按Tab鍵返回教學選單。
str_tutorial_5_msg_1|歡迎來到第五個也是最後一個教學，它會概述如何在戰鬥中指揮部隊，這是Mount＆Blade中最重要的部分。^^你需要學習的第一個命令選單是移動命令，按F1鍵即可找到它。現在按下它並探索你可以在戰鬥中給予部隊的許多移動選項。^^首先，命令你的部隊跟隨你，向旗子和指針所在的山丘移動。
str_tutorial_5_msg_2|太棒了。你的部隊有跟著你到山丘上。現在你可以很好地俯視戰場了。^^這次，再次按下F1命令選單，選擇堅守此地(F1)，讓你的部隊堅守這座山。^^完成後，你會注意到部隊停止跟著你並保持在你要求他們的位置。^^這是學習第二個命令選單的好時機，它圍繞著部隊的基本編隊。^^這個選單可以讓你指揮你的部隊強化列陣，以阻止步兵衝鋒，或分散以抵抗弓箭手射擊。^^使用此命令選單命令你的部隊向前或向後移動十步可以讓你的部隊在保持陣型的同時移動。^^在探索不同的選擇後，將部隊留在這座小山上，一個人朝著對面的山丘移動吧，那裡有旗子和指針。
str_tutorial_5_msg_3|太好了。如你所見，你的步兵正在你所要求的地方留守。現在，獨自向風車走去吧。
str_tutorial_5_msg_4|現在你有弓兵加入你的指揮了。在Mount＆Blade中，你可以對步兵，弓箭手和騎兵等特定分隊各別發出命令。^^按數字鍵將選擇你要的分隊(1為步兵，2為弓兵，3為騎兵)。然後，你就可以使用出現的命令選單來指揮特定的分隊。^^請注意，選項將保持不變，按任何命令選單(F1、F2、F3)將選擇上次指揮的分隊。閱讀螢幕上顯示的訊息來查看正在命令的分隊。^^現在，讓你的步兵跟隨你，然後讓你的弓兵也跟著你。一旦他們會和，就回到你一開始在在的山丘上吧。^^到達後，尋找指針並按住1來命令步兵，然後按住F1鍵顯示旗子來移動到那。你可以使用它來將你的部隊移動到精確的位置。^^讓你的弓兵朝著指針後方的旗子移動，到高地上吧。
str_tutorial_5_msg_5|你的人就位了，而敵人也聚在一起向你衝鋒了。用你學到的東西來指揮你的步兵依陣型前進，或叫他們衝鋒吧。衝鋒會打破所有陣型，並讓你的部隊向最近的敵人前進。^^你也能讓你的弓兵保持在高地上以獲得更有利的位置，或者讓他們移動到其他地方。^^你也可以按F3顯示第三個命令選單，學習你可以給你部隊的不同武器命令。
str_tutorial_5_msg_6|太棒了！你已經在Mount＆Blade完成了第一次野戰。在戰鬥中用智慧指揮你的部隊對你作為戰鬥指揮官的成功至關重要。記得去學習如何把你的部隊移動到有利的位置上。^^在第三紀元的最後之日中，還有更複雜的陣型例如步兵盾牆和騎兵楔型陣等。你可以在遊戲中了解更多相關訊息。^^你隨時可以按TAB離開教學。
str_trainer_help_1|這是一個可以讓你在這裡學習遊戲基礎知識的訓練場。使用A、S、D、W鍵移動並使用滑鼠環顧四周。
str_trainer_help_2|要和教練交談，靠近他，看著他並在他名字底下的'交談'這個詞出現時按下'F'鍵。當你希望離開此區域或任何其他區域亦或是從戰場撤退時，你可以按TAB鍵。
str_custom_battle_1|無畏的安格博和他的剛鐸軍團攔截了一支哈拉德的援軍。他大聲發出戰吼，奔馳策馬前進，帶領忠心的人展開激烈的戰鬥。
str_custom_battle_2|當一名前哨發出警告說滿臉灰塵的邪惡人類靠近時來自羅瑞安的凱勒鵬正在帶領一群騎兵和弓兵巡邏。是恐怖的黑努曼諾爾人！在羅斯洛立安附近已經很久沒見過了，但現在得先把他們趕回冥界。
str_custom_battle_3|洛汗的葛林伯大人正守著對艾辛格軍隊的最後一道防線。不過，艾辛格的軍隊正準備發動對城牆的總攻擊，他必須用勇氣和利劍守住城牆。
str_custom_battle_4|當斥侯通知貝蘭海姆大人一支盧恩軍隊正在靠近他們後，他決定迅速準備營地的防禦工事來試圖對抗敵人的數量優勢。
str_custom_battle_5|烏骨陸把他凶猛的半獸人們帶往西方並給了能讓他們自由搜刮的保證。如果他能在今天把這個矮人的要塞納入掌控的話，他位於黑邪塔的主人一定會龍心大悅的。
str_custom_battle_6|烏骨陸和他的半獸人掠奪者小隊正拼命地逃離精靈巡邏隊的圍捕。但幸運不可能永遠眷顧同一個人，看來這次運氣屬於骯髒的白皮他們了。
str_custom_battle_7|海盜在剛鐸的海岸建了營地！好大的膽子。讓我們在他們的增援到來之前初擊把他們趕回海裡，那才是他們的歸宿。
str_finished|(已完成)
str_delivered_damage|造成{reg60}傷害。
str_archery_target_hit|距離：{reg61}碼，得分：{reg60}
str_use_baggage_for_inventory|在戰鬥中使用你的旅行箱打開你的物品欄(在你最初的位置)
str_cant_use_inventory_now|現在不能打開物品欄。
str_cant_use_inventory_arena|在競技場內不能打開物品欄。
str_cant_use_inventory_disguised|在你偽裝時不能打開物品欄。
str_cant_use_inventory_tutorial|在訓練營地內不能打開物品欄。
str_1_denar|1資源點。
str_reg1_denars|{reg1}資源點。
str_january_reg1_reg2|T.A.{reg2}，納爾芬耶{reg1}(一月)
str_february_reg1_reg2|T.A.{reg2}，內尼米{reg1}(二月)
str_march_reg1_reg2|T.A.{reg2}，蘇利米{reg1}(三月)
str_april_reg1_reg2|T.A.{reg2}，維瑞斯{reg1}(四月)
str_may_reg1_reg2|T.A.{reg2}，洛特斯{reg1}(五月)
str_june_reg1_reg2|T.A.{reg2}，納里{reg1}(六月)
str_july_reg1_reg2|T.A.{reg2}，切爾米{reg1}(七月)
str_august_reg1_reg2|T.A.{reg2}，烏爾米{reg1}(八月)
str_september_reg1_reg2|T.A.{reg2}，雅凡尼{reg1}(九月)
str_october_reg1_reg2|T.A.{reg2}，納爾克利{reg1}(十月)
str_november_reg1_reg2|T.A.{reg2}，希伊米{reg1}(十一月)
str_december_reg1_reg2|T.A.{reg2}，林加雷{reg1}(十二月)
str_calendar_spec_day_1|T.A.{reg2}，葉斯特(初日)
str_calendar_spec_day_2|T.A.{reg2}，圖萊雷(春日)
str_calendar_spec_day_3|T.A.{reg2}，羅恩達(年中日)
str_calendar_spec_day_4|T.A.{reg2}，亞維爾(收穫日)
str_calendar_spec_day_5|T.A.{reg2}，梅塔利(最後日)
str_town_nighttime|已經是深夜了。
str_door_locked|門上鎖了。
str_castle_is_abondened|這城堡看起來無人佔領。
str_town_is_abondened|這城鎮沒有駐軍把守。
str_place_is_occupied_by_player|這地方正被你的部隊掌控著。
str_place_is_occupied_by_enemy|這地方正被敵方部隊掌控著。
str_place_is_occupied_by_friendly|這地方正被友方部隊掌控著。
str_do_you_want_to_retreat|你確定要撤退嗎？
str_give_up_fight|放棄戰鬥？
str_do_you_wish_to_leave_tutorial|你希望離開教學嗎？
str_do_you_wish_to_surrender|你希望投降嗎？
str_can_not_retreat|不能撤退，附近有敵人！
str_s1_joined_battle_enemy|{s1}加入了敵方那邊。
str_s1_joined_battle_friend|{s1}加入了我方這邊。
str_entrance_to_town_forbidden|城鎮守衛正在站哨防止入侵者所以看來你無法輕易的通過大門。
str_sneaking_to_town_impossible|城鎮守衛提高警備了。即使你有再高超的偽裝技巧也無法從大門潛入。
str_battle_won|你贏了戰鬥！
str_battle_lost|你輸了戰鬥！
str_player_down|你被擊昏了，但你的部隊仍在戰鬥！
str_attack_walls_success|經過一輪血腥的戰鬥，你勇敢的士兵拿下了敵方的城牆。
str_attack_walls_failure|你的士兵們對著城牆衝鋒卻一波又一波的倒下。少數還活著的馬上就會逃跑，再也不見蹤影。
str_attack_walls_continue|在這場血腥的戰鬥中雙方都投入了相同的英勇。儘管你的部隊很努力，城堡仍在敵軍手中。
str_order_attack_success|你的士兵勇敢地戰鬥並擊敗了敵人。
str_order_attack_failure|你絕望的看著敵人一個個砍倒你的士兵，並輕易的將最後幾名破破爛爛的倖存者帶走了。
str_order_attack_continue|儘管經歷了好幾場小規模戰鬥，你的部隊還是沒辦法贏得決定性的勝利。
str_join_order_attack_success|你的人馬與友軍好好的打了一仗，在敵人被打敗後共享榮耀。
str_join_order_attack_failure|你絕望的看著敵人一個個砍倒你的士兵，並輕易的將最後幾名破破爛爛的倖存者帶走了。
str_join_order_attack_continue|儘管經歷了好幾場小規模戰鬥，不管是你或友方的部隊都沒辦法贏得決定性的勝利。
str_siege_defender_order_attack_success|駐軍用技巧和勇氣守住了城牆，不僅擋住了敵軍的攻勢還巧妙地將敵軍的失利轉變成完全的潰敗。
str_siege_defender_order_attack_failure|敵軍的攻勢迅速變成浴血奮戰。個人的武勇變得無用；數量嚴重不足的駐軍無法守住城牆，守軍正被敵方一個個砍死。
str_siege_defender_order_attack_continue|重複的、血腥的嘗試依然沒有進展，但周圍仍有很多敵軍所以守軍還不能宣告勝利。圍城還是持續著。
str_hero_taken_prisoner|{s3}的{s1}被{s2}俘虜了。
str_hero_freed|{s3}的{s1}從{s2}的監禁下被解放了。
str_center_captured|{s2}從{s3}那裡奪取了{s1}。
str_troop_relation_increased|你與{s1}的關係從{reg1}提升到{reg2}。
str_troop_relation_detoriated|你與{s1}的關係從{reg1}惡化為{reg2}。
str_faction_relation_increased|你與{s1}的關係從{reg1}提升到{reg2}。
str_faction_relation_detoriated|你與{s1}的關係從{reg1}惡化為{reg2}。
str_party_gained_morale|你的隊伍獲得{reg1}士氣。
str_party_lost_morale|你的隊伍失去{reg1}士氣。
str_qst_follow_spy_noticed_you|間諜看到你了！他正在逃跑！
str_father|父親
str_husband|丈夫
str_wife|妻子
str_daughter|女兒
str_mother|母親
str_son|兒子
str_brother|兄弟
str_sister|姊妹
str_he|他
str_she|她
str_s3s_s2|{s3}的{s2}
str_s5_is_s51|{s5}是{s51}。
str_s5_is_the_ruler_of_s51|{s5}是{s51}的統治者。
str_s5_is_a_nobleman_of_s6|{s5}是{s6}的貴族。
str_relation_mnus_100|仇恨著的
str_relation_mnus_90|仇恨著的
str_relation_mnus_80|仇恨著的
str_relation_mnus_70|厭惡的
str_relation_mnus_60|厭惡的
str_relation_mnus_50| 有敵意的
str_relation_mnus_40|  憤怒的
str_relation_mnus_30|    不滿的
str_relation_mnus_20|      有怨言的
str_relation_mnus_10|        懷疑的
str_relation_plus_0|         冷淡的
str_relation_plus_10|          合作的
str_relation_plus_20|           歡迎的
str_relation_plus_30|            贊同的
str_relation_plus_40|             支持的
str_relation_plus_50|              友好的
str_relation_plus_60|               親切的
str_relation_plus_70|                 喜歡的
str_relation_plus_80|                  忠誠的
str_relation_plus_90|                   死忠的
str_relation_mnus_100_ns|{s60}是仇恨著你的。
str_relation_mnus_90_ns|{s60}是仇恨著你的。
str_relation_mnus_80_ns|{s60}是仇恨著你的。
str_relation_mnus_70_ns|{s60}是厭惡著你的。
str_relation_mnus_60_ns|{s60}是厭惡著你的。
str_relation_mnus_50_ns|{s60}是對你有敵意的。
str_relation_mnus_40_ns|{s60}是對你感到憤怒的。
str_relation_mnus_30_ns|{s60}是對你感到不滿的。
str_relation_mnus_20_ns|{s60}是對你抱有怨言的。
str_relation_mnus_10_ns|{s60}是對你有懷疑的。
str_relation_plus_0_ns|{s60}對你是冷淡的。
str_relation_plus_10_ns|{s60}是會跟你合作的。
str_relation_plus_20_ns|{s60}是很歡迎你的。
str_relation_plus_30_ns|{s60}是贊同你的。
str_relation_plus_40_ns|{s60}是支持你的。
str_relation_plus_50_ns|{s60}是對你友好的。
str_relation_plus_60_ns|{s60}是對你親切的。
str_relation_plus_70_ns|{s60}是喜歡你的。
str_relation_plus_80_ns|{s60}是對你忠誠的。
str_relation_plus_90_ns|{s60}是對你死忠的。
str_relation_reg1|關係：{reg1}
str_center_relation_mnus_100|居民激烈的厭惡著你
str_center_relation_mnus_90|居民超強烈的厭惡著你
str_center_relation_mnus_80|居民強烈的厭惡著你
str_center_relation_mnus_70|居民厭惡著你
str_center_relation_mnus_60|居民是對你有厭惡感的
str_center_relation_mnus_50|居民是對你超有敵意的
str_center_relation_mnus_40|居民是對你很有敵意的
str_center_relation_mnus_30|居民是對你有敵意的
str_center_relation_mnus_20|居民是反抗著你的
str_center_relation_mnus_10|居民是反對著你的
str_center_relation_plus_0|居民對你是冷淡的
str_center_relation_plus_10|居民是接受你的
str_center_relation_plus_20|居民是會跟你合作的
str_center_relation_plus_30|居民是對你多少有支持的
str_center_relation_plus_40|居民是支持你的
str_center_relation_plus_50|居民是非常支持你的
str_center_relation_plus_60|居民是對你忠誠的
str_center_relation_plus_70|居民是對你非常忠誠的
str_center_relation_plus_80|居民是對你死忠的
str_center_relation_plus_90|居民是對你忠心耿耿的
str_town_prosperity_0|{s60}這個城鎮的貧窮令人難以忍受
str_town_prosperity_10|{s60}這個貧困的城鎮近乎荒廢了。
str_town_prosperity_20|{s60}這個城鎮看起來是個可憐、淒涼的地方。
str_town_prosperity_30|{s60}這個城鎮看起來既貧窮又缺乏管理。
str_town_prosperity_40|{s60}這個城鎮似乎有困難。
str_town_prosperity_50|{s60}這個城鎮似乎沒什麼特別的。
str_town_prosperity_60|{s60}這個城鎮看起來在蓬勃發展。
str_town_prosperity_70|{s60}這個繁華的城鎮是充滿活力的。
str_town_prosperity_80|{s60}這個城鎮看起來既富足又有條理。
str_town_prosperity_90|{s60}這個城鎮是既富裕又充滿人潮的。
str_town_prosperity_100|{s60}這個城鎮是富麗堂皇的。
str_village_prosperity_0|{s60}這個村莊的貧窮令人難以忍受。
str_village_prosperity_10|{s60}這個村莊看起來既貧窮的可憐又悲慘。
str_village_prosperity_20|{s60}這個村莊看起來既非常貧窮又淒涼。
str_village_prosperity_30|{s60}這個村莊看起來既貧窮又缺乏管理。
str_village_prosperity_40|{s60}這個村莊似乎有些貧窮而且有困難。
str_village_prosperity_50|{s60}這個村莊似乎沒什麼特別的。
str_village_prosperity_60|{s60}這個村莊看起來在蓬勃發展。
str_village_prosperity_70|{s60}這個村莊似乎很興旺。
str_village_prosperity_80|{s60}這個村莊看起來既富足又有條理。
str_village_prosperity_90|{s60}這個村莊看起來既非常富足又很繁華。
str_village_prosperity_100|{s60}這個村莊，被廣大的、肥沃的田地包圍，看起來很富裕。
str_war_report_minus_4|我們快要輸掉戰爭了
str_war_report_minus_3|情況看起來很嚴峻
str_war_report_minus_2|事情進展的不是很順利
str_war_report_minus_1|如果我們團結起來還是能贏得這場戰爭的
str_war_report_0|我們與敵人不相上下
str_war_report_plus_1|我們有不錯的機率能贏得戰爭
str_war_report_plus_2|事情進展的很順利
str_war_report_plus_3|要打敗他們對我們來說並無困難
str_war_report_plus_4|我們快贏得戰爭了
str_persuasion_summary_very_bad|儘管你進了最大努力去說服{s50}，但是你沒有一個論點是正確的。每次你開始想表達有意義的話，你就會講出完全錯誤的東西到甚至連自己的思路都斷掉。當你結束交涉時你都沒能把任何好的觀點表達清楚，而且你意識到你所做的一切是在把自己推進一個越挖越深的大坑裡。不出所料，{s50}完全不為所動。
str_persuasion_summary_bad|你試著說服{s50}，但是{reg51?她:他}從最開始起就反駁著你。你最好的論點連自己聽來都很空虛，{s50}，同樣，也沒能從你說的東西中看出什麼高見。
str_persuasion_summary_average|{s50}原來是個有著尖銳思想且很能辯論的人，你也似乎沒辦法使{reg51?她:他}反過來接受你的任何觀點。最終，在這場辯論中你們雙方都沒能使對方倒向自己的立場。
str_persuasion_summary_good|憑藉敏捷的思維和流暢的論點，你設法論證了你的方案，迫使{s50}認同了你的一些觀點。然而{reg51?她:他}仍然對你的要求表示懷疑。
str_persuasion_summary_very_good|你給出了一段如同詩歌般與聆聽者共鳴充滿激情的演講。為了更清楚的聽你講似乎整個世界都靜了下來。鼓舞人心的話語深深地感動了{s50}，{reg51?她:他}也看起來更願意幫助你了。
str_name_1|阿丹德爾
str_name_2|奧德赫爾
str_name_3|阿蘭蒂爾
str_name_4|奧格威恩
str_name_5|艾尼爾
str_name_6|艾戴恩
str_name_7|阿爾曼
str_name_8|阿曼迪爾
str_name_9|阿姆萊斯
str_name_10|阿納迪爾
str_name_11|安博恩
str_name_12|安德羅格
str_name_13|安格博
str_name_14|阿拉多
str_name_15|阿拉格拉斯
str_name_16|阿拉海爾
str_name_17|阿蘭塔
str_name_18|阿拉蘇伊爾
str_name_19|阿爾卡林
str_name_20|貝烈貢德
str_name_21|貝拉格
str_name_22|貝爾吉爾
str_name_23|波桑德
str_name_24|克奧爾
str_name_25|奇爾揚
str_name_26|達姆羅德
str_name_27|德茹芬
str_name_28|多拉思
str_name_29|杜伊林
str_name_30|杜因希爾
str_name_31|埃加爾莫斯
str_name_32|埃美迪爾
str_name_33|伊拉頓
str_name_34|埃瑞隆特
str_name_35|埃仁迪絲
str_name_36|法拉沙
str_name_37|范哲爾
str_name_38|佛威格
str_name_39|佛魯格馬
str_name_40|富努爾
str_name_41|加爾多
str_name_42|蓋斯隆
str_name_43|戈利姆
str_name_44|格里斯尼爾
str_name_45|貢多
str_name_46|哈多
str_name_47|哈爾達
str_name_48|哈爾拉卡
str_name_49|哈索爾
str_name_50|赫瑞安
str_name_51|希爾德
str_name_52|胡梭爾
str_name_53|伊姆拉赫
str_name_54|伊奧瑞絲
str_name_55|艾佛溫
str_name_56|拉巴達爾
str_name_57|拉納克
str_name_58|馬國爾
str_name_59|邁倫
str_name_60|馬拉赫
str_name_61|馬藍圖爾
str_name_62|馬維吉爾
str_name_63|馬迪爾
str_name_64|曼奈德
str_name_65|米拉卡
str_name_66|米諾陶
str_name_67|奧德赫爾
str_name_68|歐爾烈格
str_name_69|歐洛佳斯
str_name_70|奧斯托和
str_name_71|佩蘭多
str_name_72|拉格諾爾
str_name_73|薩多
str_name_74|蘇瑞安
str_name_75|索龍哲爾
str_name_76|圖倫拔
str_name_77|烏法斯特
str_name_78|烏瓦斯
str_name_79|瓦拉卡
str_name_80|沃夫
str_name_elf_1|梅爾基爾
str_name_elf_2|羅曼諾爾
str_name_elf_3|艾格諾爾
str_name_elf_4|阿瑪蒂爾
str_name_elf_5|阿姆拉斯
str_name_elf_6|安耐爾
str_name_elf_7|阿瑞蒂爾
str_name_elf_8|阿米那斯
str_name_elf_9|卡蘭希爾
str_name_elf_10|庫路芬
str_name_elf_11|戴隆
str_name_elf_12|埃盧希爾
str_name_elf_13|埃德拉希爾
str_name_elf_14|埃盧瑞德
str_name_elf_15|埃瑞斯托
str_name_elf_16|菲莉芙林
str_name_elf_17|芬羅德
str_name_elf_18|費拉剛
str_name_elf_19|加拉希爾
str_name_elf_20|加爾多
str_name_elf_21|蓋米爾
str_name_elf_22|吉爾多
str_name_elf_23|古伊林
str_name_elf_24|伊希爾博
str_name_elf_25|林迪爾
str_name_elf_26|盧米昂
str_name_elf_27|邁茲洛斯
str_name_elf_28|邁格林
str_name_elf_29|馬加拉德
str_name_elf_30|妮爾拉絲
str_name_elf_31|奈丹妮爾
str_name_elf_32|諾玟
str_name_elf_33|寧羅絲
str_name_elf_34|歐洛佳斯
str_name_elf_35|歐瑞費爾
str_name_elf_36|歐洛芬
str_name_elf_37|賽洛斯
str_name_dwarf_1|艾斯提尼克
str_name_dwarf_2|維達
str_name_dwarf_3|阿扎格哈爾
str_name_dwarf_4|畢佛
str_name_dwarf_5|波佛
str_name_dwarf_6|龐伯
str_name_dwarf_7|波林
str_name_dwarf_8|朵力
str_name_dwarf_9|德瓦林
str_name_dwarf_10|法林
str_name_dwarf_11|弗拉爾
str_name_dwarf_12|弗雷林
str_name_dwarf_13|弗羅爾
str_name_dwarf_14|加米爾
str_name_dwarf_15|葛音
str_name_dwarf_16|葛爾
str_name_dwarf_17|伊布恩
str_name_dwarf_18|奇姆
str_name_dwarf_19|羅尼
str_name_dwarf_20|密姆
str_name_dwarf_21|納爾
str_name_dwarf_22|納維
str_name_dwarf_23|諾力
str_name_dwarf_24|歐音
str_name_dwarf_25|歐力
str_name_dwarf_26|塔爾查
str_name_dwarf_27|馬可
str_name_dwarf_28|奧托
str_name_orc_1|特里格拉夫
str_name_orc_2|阿德格魯
str_name_orc_3|阿蓋德
str_name_orc_4|阿古克
str_name_orc_5|阿洛格
str_name_orc_6|阿祖克
str_name_orc_7|巴格杜德
str_name_orc_8|巴爾格魯
str_name_orc_9|波格
str_name_orc_10|波魯格
str_name_orc_11|布魯甘
str_name_orc_12|巴穆哈格
str_name_orc_13|卡爾故
