menu_start_game_1|^^^^^^^^^^你為何而戰？
mno_game_options_compat_back|返回調整選單
menu_camp_strat_tweaks|^^^^^^^^點擊切換設定：^(警告！這些屬於作弊！)
mno_strat_tweaks_siege_reqs|攻城力量需求：{s7}
mno_strat_tweaks_siege_relax_rate|攻城力量。需求。鬆弛率：{reg1}
mno_strat_tweaks_regen_rate|力量恢復率：{s7}
mno_strat_tweaks_siege_regen_limit|陣營力量恢復速度減緩至：{reg1}
mno_strat_tweaks_influence_gain_rate|影響力增加率：{s7}
mno_strat_tweaks_rank_gain_rate|階級增加率：{s7}
mno_strat_tweaks_back|返回調整選單。
menu_camp_action|^^^^^^^^^     哪件物品？
mno_camp_drink_water|喝下樹人之水！
mno_camp_drink_orc_brew|跟夥伴一起喝半獸人酒！
mno_camp_drink_miruvor|跟夥伴一起喝米盧沃酒！
mno_camp_use_athelas|用阿系拉斯草來療傷。
mno_camp_use_drums|奏響深淵之鼓。
mno_camp_action_4|返回。
menu_assasins_attack_player_won|你成功擊敗了從{s2}來的刺客，{s3}的手下。
menu_assasins_attack_player_retreat|你逃過了一劫！
menu_fangorn_danger|^^^^^^奇怪，你聽到四周發出一些威脅的噪音。^是這些樹在交談嗎？這裡的氛圍充滿著憤怒與痛苦。^你的命令是？
mno_be_quiet_elf|尊重這些憤怒的古樹。悄悄地前進。
mno_be_quiet|收起武器且保持安靜！馬上離開這裡！
mno_be_bold|繼續前進！我不害怕植物和古老的神話！
mno_fight_back|讓我們來一探究竟吧！搜索這個區域！燒燒幾棵樹！ （扎營）
menu_fangorn_search_fails|^^^^^^你搜索了漆黑濃密的森林，但什麽都沒有找到。^然而，你感到來自四周的視線和威脅變得越來越多了。
menu_fangorn_killed_player_only|^^^^^^你在這個漆黑濃密的森林徘徊。^忽然間某個東西砸到你了的頭上！可能是一根很重的樹枝吧？^你昏迷幾分鐘中後醒了過來。你傷得很重但還能繼續前進。
mno_ow_get_out|噢！讓我們離開這個被詛咒的地方！
menu_fangorn_killed_troop_and_player|^^^^^^你在這個漆黑濃密的森林徘徊。^^忽然間某個東西砸到你了的頭上！可能是一根很重的樹枝吧？^^當你在幾分鐘後恢復意識時，你發現並非所有部下都是那麼走運的。^^
menu_fangorn_killed_troop_only|^^^^^^^^你在這個漆黑濃密的森林徘徊。你的部下十分恐懼。^^忽然間，你聽到後方傳來慘叫！你趕緊跑了過去，只發現幾個部下倒在血泊中。^^而其他幾人都已經不見蹤影了...
mno_get_out|讓我們離開這個被詛咒的地方！
menu_can_capture_troll|被擊倒的野生食人妖仍然喘息著！^^充滿痛苦和憤怒的邪惡眼睛緊盯著你。^即使現在他已被擊倒，且無助地躺在血泊之中，看起來仍舊相當危險...
mno_killit|解決它，快。確定讓它死掉。
mno_cageit1|把它關進籠子並拖走。
mno_cageit2|把它和其他食人妖一起關在籠子裡。
mno_cheat_disabable|停用作弊/模組設定
menu_drank_ent_water_human|^^^你喝了水。它嘗起來清澈且甜美。有種宜人的香氣，如麝香一般。^你感到神清氣爽。^^不過，你也有種奇怪，不自然的感覺。直覺告訴你，最好永遠永遠都別再喝這種水。
menu_drank_ent_water_orc|^^^你喝了水。只是水而已 。^忽然間，你抓住了喉嚨，在痛苦中翻騰。^中毒了！^你有如窒息，你吐出黑色的血，你近乎死亡。 ^^好痛，真的好痛。
mno_i_shall_surv|我...要...活下去！
menu_end_game|^^^^^主意已定，你決定放棄你冒險家的生活並安定下來。你賣了你的武器和盔甲，收拾了你的所有財物，並騎向夕陽....
mno_end_game_bye|告別。
menu_cattle_herd|你遇到了一些人。
mno_cattle_drive_away|命令他們跟隨。
mno_cattle_stop|讓他們停下。
mno_leave|離開。
menu_simple_encounter|^^^^^{s2}^你有{reg22}名可戰鬥的部下對抗{reg11}名敵軍。^^戰鬥將在{s3}{s4}展開。^^你的命令是？
mno_encounter_attack|{reg21?向他們衝鋒:準備迎戰他們}。
mno_encounter_order_attack|命令你的部下{reg21?進攻:迎戰他們}而不親自參與。
mno_control_allies_menu|消耗影響力，取得在戰場上指揮友軍的權力。
mno_encounter_hide|躲避敵人...
mno_special_whip|向前衝突破{s4}。
mno_encounter_attack_bearform|{reg21?變成熊衝進戰場:變身迎戰他們}。
mno_encounter_leave|脫離。
mno_encounter_retreat|撤退，留下一些士兵殿後。
mno_player_control_allies_simple|指揮他們向敵人衝鋒
mno_player_control_allies_back|返回...
mno_hide_close|繼續...
menu_encounter_retreat_confirm|^^^^^身為部隊中最高戰術技能者，({reg2})，{reg3?你擬定:{s3}擬定}了一個計劃讓你和你的人馬能逃離戰鬥。但是你必須犧牲{reg4}名士兵來殿後阻擋敵人追擊。 
mno_leave_behind|實行。犧牲那些人來拯救其他的。 
mno_dont_leave_behind|不。我們不會丟下任何人。
menu_encounter_retreat|^^^^^你命令{reg4}名部下拖住敵人讓你和隊伍裡的其他人撤退。 
menu_order_attack_begin|^^^^^^          你的部隊已經準備好攻擊敵人了。
mno_order_attack_begin|下令開始攻擊。
mno_call_back|叫他們撤回。
menu_order_attack_2|^{s4}^我軍傷亡：{s8}^^敵軍傷亡：{s9}
mno_order_attack_continue|命令部隊繼續攻擊。
mno_order_retreat|叫你的士兵撤回。
menu_kingdom_army_quest_report_to_army|{s8}派人告知你說他希望你能一起參加他的戰役。你至少需要帶上{reg13}名部下加入軍隊，如果不夠則得盡快徵招更多戰士。
mno_reject|送信表示你現在很忙。
mno_send_word|派人告知他說你馬上就會加入。
menu_kingdom_army_quest_messenger|{s8}派人告知你說他希望指派一個任務給你，他要求你盡快去見他。
menu_kingdom_army_quest_join_siege_order|{s8}派人命令你加入{s9}的攻城戰來準備全面進攻。你的部隊無論付出多大代價都必須拿下{s9}。
menu_kingdom_army_follow_failed|你違反了命令沒有跟隨{s8}。他派人告知你說他姑且認為你有急事要處理，但也警告他的耐心不是無限的。
menu_battle_debrief|{s11}^^我軍傷亡：{s8}{s10}^^敵軍傷亡：{s9}
mno_inspect_troll|檢查被擊倒的食人妖
menu_pre_join|^^^^^你遇到了{s2}和{s1}之間的戰鬥。你決定...
mno_pre_join_help_attackers|前往幫助{s2}。
mno_pre_join_help_defenders|趕去援助{s1}。
mno_pre_join_help_refugees|趕去援助{s1}。
mno_pre_join_leave|不卷入其中。
menu_join_battle|^^^你正在幫助{s2}對抗{s1}，^你有{reg22}名部下參加戰鬥對抗敵方的{reg11}人。^^戰鬥將在{s3}{s4}展開。
mno_join_attack|向敵人衝鋒。
mno_join_order_attack|命令你的部隊加入盟友進攻而不親自參與。 
mno_control_allies_join_menu|消耗影響力，取得在戰場上指揮友軍的權力。
mno_join_attack_bearform|變成熊衝進戰場
mno_join_leave|脫離。
mno_player_control_allies_join_menu|指揮他們向敵人衝鋒
menu_join_order_attack|{s4}^^我軍傷亡：{s8}^^盟軍傷亡：{s9}^^敵軍傷亡：{s10}
mno_enter|進入。
menu_battlefields|^^^^^^^^^選擇戰場...
mno_enter_f1|戰場1
mno_enter_f2|戰場2
mno_enter_f3|戰場3
mno_enter_f4|戰場4
mno_enter_f5|戰場5
menu_join_siege_outside|^^^^^^{s1}正遭到{s2}圍攻。
mno_approach_besiegers|接近圍城營地。
mno_pass_through_siege|穿越攻城線進入{s1}。
menu_cut_siege_without_fight|圍城方放你進入了城堡。
menu_besiegers_camp_with_allies|{s1}依然遭到圍困，攻城營地中飛揚著{s2}的旗幟，你和你的部隊受到歡迎。
mno_talk_to_siege_commander|要求和指揮官會面。
mno_join_siege_with_allies|加入下一輪的進攻。
mno_join_siege_stay_back|命令你的士兵加入下一輪的進攻而不親自參與。
menu_moria_must_escape|^^這本書似乎紀錄矮人最後一次嘗試在摩瑞亞定居的日子。這個嘗試最終以全部人慘死做結。繼續閱讀，你注意到'真銀'等字！細讀那幾頁之後你豁然理解那是在描述底層某處的矮人儲藏。哈！如果能找到那些失傳的秘銀不就酷斃了嗎！？^你飢渴的跟隨指示，進入一道狹窄又曲折的隧道向下走...^...^經過幾個小時的無功搜索你發覺到自己走失在摩瑞亞底部並需要找到一條出路。
mno_moria_exit_scene|尋找你的出路！
menu_castle_outside|你在{s2}的外面。{s11}{s3}{s4}
mno_moria_enter|從秘密出入口回到摩瑞亞的主殿
mno_moria_enter_door|進入摩瑞亞。
mno_cheat_steal_book_door|拿起書
mno_castle_start_siege|圍攻這個{reg6?城鎮:城堡}。
mno_castle_leave|離開
menu_castle_besiege|你正在圍攻{s1}。{s2}{s3}
mno_siege_request_meeting|要求和城堡的指揮官會面。
mno_wait_24_hours|等到明天。
mno_castle_lead_attack|帶領你的部隊進攻。
mno_attack_stay_back|命令你的部隊攻擊而不親自參與
mno_build_ladders|準備雲梯攻擊城牆。 
mno_lift_siege|放棄圍城。
menu_siege_attack_meets_sally|^^^^^^守衛方出城迎擊了你的進攻。
menu_construct_ladders|身為隊伍中最高工程技能者({reg2})，{reg3?你預期:{s3}預期}將需{reg4}小時來組裝攻城雲梯。
mno_build_ladders_cont|執行。
menu_castle_attack_walls_simulate|{s4}^^我軍傷亡：{s8}^^敵軍傷亡：{s9}
menu_castle_attack_walls_with_allies_simulate|{s4}^^我軍傷亡：{s8}^^盟軍傷亡：{s9}^^敵軍傷亡：{s10}
menu_castle_taken_by_friends|這裡沒什麼好看的。
menu_castle_taken|你的部隊攻陷了{s3}，現在你已經完全地掌控了這個{reg2?城鎮:城堡}。{reg1?看起來已經沒有什麽能阻止你將它佔為己有...:}
menu_castle_taken_2|你的部隊攻陷了{s3}，現在你已經完全地掌控了這個城堡。現在應該派人把你勝利的消息告知給{s9}。{s5}
mno_castle_taken_no_claim|不要求獎賞。
menu_siege_started_defender|{s1}正在攻擊{s2}的城墻。你有{reg22}名部下可以參戰對抗敵方的{reg11}人。你決定...
mno_siege_defender_join_battle|加入戰鬥。
mno_siege_defender_troops_join_battle|命令你的人馬加入戰鬥而不親自參與。
mno_siege_defender_do_not_join_battle|不卷入其中。
menu_siege_join_defense|{s4}^^我軍傷亡：{s8}^^盟軍傷亡：{s9}^^敵軍傷亡：{s10}
menu_village_hunt_down_fugitive_defeated|^^^^^敵人的沉重打擊將你擊倒在地，你的視野旋轉和黯淡。時間流逝。當你再次睜開眼睛時發現自己滿身傷痕和血跡，但幸運的似乎沒有致命傷。 
menu_town_bandits_succeeded|^^^^^哥布林在你面前如同收割麥子一般地倒下！很快地只剩你獨自站著，大部分的攻擊者都陷入昏迷、死亡不然就是瀕死。當地人肯定會很感激你從這種威脅中拯救他們的。 
menu_town_brawl_lost|^^^^^^你被打昏了。你攻擊的人們迅速洗劫了你身上的貴重物品，並繼續過他們的日子。
menu_town_brawl_won|^^^^^你擊敗了所有對手和前來鎮壓的守衛。你迅速地搜刮了他們身上的貴重物品並消失等待風頭過去。^也許下次他們會對你更尊重和退讓。
menu_close|沒什麼。
menu_town|你抵達了{s60}。{s12}{s13}
mno_town_menu_0|前往某處。
; mno_town_menu_0_door|Inspect...
mno_town_approach|接近{s1}...
mno_town_castle|前往{s1}。
mno_town_castle_door|進入城堡的門。
mno_town_center|走到主要廣場...
mno_town_center_door|進入城鎮中心的門。
mno_aw_chamber_door|開門。
mno_trade_with_arms_merchant|訪問{s40}。
mno_trade_with_horse_merchant|訪問{s41}。
mno_town_prison_door|前往訓練場
mno_dungeon_enter|在山中搜索失落的長槍。
mno_dungeon_enter_door|打開門。
mno_dwarven_warehouse|拜訪矮人倉庫
mno_dwarven_warehouse_door|進入矮人倉庫
mno_talk_to_castle_commander|訪問{s61}的兵營 。
mno_speak_with_elder|與{s6}談話。
mno_isengard_underground|前往地下洞穴。
mno_isengard_underground_door|前往地下洞穴
mno_tirith_toplevel|爬到頂層。
mno_tirith_toplevel_door|前往堡壘
mno_erebor_gates|訪問大門。
mno_erebor_gates_door|前往大門
mno_town_leave|離開...
mno_town_leave_door|離開區域
menu_player_initiated_siege_result|你在{s2}的旗幟下進攻這個據點。
menu_disembark|你想要上岸嗎？
mno_disembark_yes|是。
mno_disembark_no|否。
menu_ship_reembark|你想要上船嗎？
mno_reembark_yes|是。
mno_reembark_no|否。
menu_center_reports|城鎮名稱：{s1}^租金收入：{reg1}迪納爾^關稅收入：{reg2}迪納爾^食物儲備：能供應{reg3}天
menu_sneak_into_town_suceeded|偽裝打扮成窮困的朝聖者，你騙過了守衛順利的混入城裡。
menu_sneak_into_town_caught|在你嘗試溜進去時，一名守衛認出了你並響了警報！你必須在城裡所有守衛都開始搜捕你之前從大門逃出去！
mno_sneak_caught_fight|殺出一條血路！
mno_sneak_caught_surrender|投降。
menu_sneak_into_town_caught_dispersed_guards|你輕易的甩掉了守衛，消失在街道的深處。
menu_sneak_into_town_caught_ran_away|你跑回大門並迅速地撤退到安全的城外。
menu_tld_player_defeated|^^^^^忽然間你的頭部感到一陣劇痛！\\你渾身顫抖，世界在你眼中逐漸黯淡...^難道這就是你的終點了嗎？
menu_recover_after_death_fangorn|你醒了過來。四周仍是一片森林。渾身上下都痛得要命。奇蹟般的，你還活著。^^這是一場慘敗，但至少你看到發生了什麼事。^現在你知道這詛咒的森林究竟是怎麼了，^而且你大難不死。 ^^但有人會相信你嗎？
menu_recover_after_death_moria|^^^^^你恢複意識。你躺在泥土上，清新的微風吹拂著你的臉。你在外面了！^半獸人想必是認為你已經死了並將你丟在某個廢水坑裡。^大概是地下水流把你帶到外面的。
mno_whatever|站起來！
menu_recover_after_death_default|^^^^^你恢複意識。你躺在你倒下的地方。敵人想必是認為你已經死了並把你丟在這裡。然而，你似乎沒有致命傷，雖然你感覺很糟糕，但仍然可以走路。你站了起來並試圖尋找你的隊伍的其他倖存者。
menu_recover_after_death_town|^^^^你恢複意識並發現自己在城鎮郊外。你還活著！周圍沒有人所以你嘗試自行前往城鎮外。你似乎沒有致命傷，雖然你感覺很糟糕，但仍然可以走路。
menu_recover_after_death_town_alone|你恢複意識並發現自己在城鎮郊外。你還活著！周圍沒有人所以你嘗試自行前往城鎮外。你的同伴找到了你。你似乎沒有致命傷，雖然你感覺很糟糕，但仍然可以走路。
menu_notification_center_under_siege|{s1}正遭到{s3}的{s2}圍攻！
menu_notification_one_side_left|^^^^^魔戒之戰結束了！^^{s1}擊敗了所有敵人而贏得了最終的勝利！
menu_notification_total_defeat|^^^^^對你來說魔戒之戰已經結束了！^^{s1}被他們的敵人所擊敗而你也徹底失敗了！
menu_notification_your_faction_collapsed|^^^^^你的家園{s11}被擊敗了！^但，其他盟軍仍在戰爭之中。你，和{s11}的任何倖存者，還能幫助己方獲勝。
menu_notification_faction_defeated|^^^^^{s1}被擊敗了！^{s1}不複存在，被{s13}的部隊所擊敗！
menu_ruins|^^^^你接近了{s1}。昔日兵力強盛的營地已被夷為平地，但你仍可看到防禦工事的殘骸及被丟棄在地上生銹的武器。
menu_legendary_place|^^^^你遵循傳聞而發現了{s1}。你現在可以探索這地方看看傳聞是不是真的。
mno_explore|探索這個地方。
menu_ring_hunter_lair|^^^^你跟著戒指獵人的蹤跡穿過幽暗密林並抵達{s1}。你看見他們準備帶著一個箱子離開。
mno_attack_lair|馬上攻擊他們
mno_leave_bandit_lair|暫時離開。
menu_gondor_reinforcement_event|^^^^^剛鐸的烽火被點燃了，米那斯提力斯在呼救！^^南方的領主們將立刻邁向北方去從即將降臨的黑暗中保衛白之城。
mno_gondor_reinforcement_event_close|關閉
menu_gondor_beacons|你抬頭望向{s1}，其中一座剛鐸的烽火台，用來對北方和南方剛鐸發出警報。
mno_gondor_beacons_close|離開...
menu_player_added_to_war_council|^^^^^一位信使抵達並告訴你，身為{s24}，{s2}邀請你加入他的戰爭議會。你現在可以建議策略並影響戰爭的走向。
mno_player_added_to_war_council_close|關閉
menu_player_added_to_siege_reports|^^^^^一位信使抵達並告訴你，身為{s24}，每當{s2}圍攻一個據點或{s2}的據點受到圍困時你將收到報告。
mno_player_added_to_siege_reports_close|關閉
menu_player_added_to_allow_follow|^^^^^一位信使抵達並告訴你，身為{s24}，你將可以命令{s2}跟隨你，上限是{reg55}隊跟隨者。
mno_player_added_to_allow_follow_close|關閉
menu_center_besieged_event|^^^^^一位信使抵達並報告{s1}正遭到{s3}的{s2}圍攻。
mno_center_besieged_event_close|關閉
menu_guardian_party_spawned|^^^^^斥候報告說{s6}在{s7}附近聚集了一支人數眾多的軍隊，想要拚死捍衛他們的首都。
mno_intro_next|繼續...
mno_start_defend_caravan|保衛商隊！
mno_start_raid_caravan|掠奪商隊！
mno_start_ambush_orcs|伏擊半獸人！
mno_start_kill_scouts|阻止斥候回報你的抵達！
mno_go_your_way|不管他們
mno_defend_villagers|保衛村民！
mno_raid_villagers|掠奪村莊！
mno_go_away|暫時離開並重整旗鼓。
menu_scout_camp_quest|你看到斥候營地就近。你準備和你的人馬一起攻擊他們
mno_attack_scout_camp|攻擊斥候營地！
menu_sea_battle_quest|你遭遇一支敵方艦隊。船隻接近並讓水手拋下踏板...
mno_sb_defend_the_town|登上他們的船！摧毀他們的艦隊！
mno_sb_attack_the_town|他們想攔截我們！保衛艦隊！
menu_camp_field_ai|^^^^^點擊設定來開關。^^^關閉一個或多個設定可以增進效能(幀率)
mno_lord_field_ai|領主有改善的戰場AI！{s7}
mno_horse_archer_field_ai|馬騎弓兵有改善的戰場AI：{s7}
mno_vs_orcs_field_ai|弓兵對半獸人有更好的準頭(不會瞄準半獸人頭部以上)：{s7}
mno_battlefield_animals|非座狼/馬等動物同伴出現在戰場上：{s7}
mno_slow_when_wounded|單位在受傷時會變緩慢：{s7}
mno_battle_encounter_effects|陣營對戰場的特殊影響(如風暴、迷霧等)：{s7}
menu_hungry_orc|無
menu_leaving_elf|無
mno_defend_refugees|留意掠奪者...
mno_attack_refugees|攻擊難民隊伍...
mno_leave_refugees|暫時不管他們...
mno_evil_war_tut_continue|繼續...
menu_alternate_training_fight|你將會面對{reg5}個對手。你準備好了嗎？
mno_training_continue|開始訓練...
menu_alternate_training_conclusion|{s5}
mno_alternate_training_retry|再試一次...
mno_alternate_training_finish|離開競技場...
menu_custom_battle_choose_faction1|^^^^^^^^^^選擇己方和優勢：
mno_good_equal|善良陣營
mno_bad_equal|邪惡陣營
mno_replay_prev|返回前一個設定
menu_custom_battle_choose_faction2|^^^^^^^^^^選擇善良陣營
mno_cb_gondor|剛鐸
mno_cb_gondor1|洛汗
mno_cb_gondor2|羅斯洛立安
mno_cb_gondor3|瑞文戴爾
mno_cb_gondor4|幽暗密林
mno_cb_gondor5|矮人
mno_cb_gondor6|河谷鎮
mno_cb_gondor7|比翁人 
menu_custom_battle_choose_faction3|^^^^^^^^^^選擇邪惡陣營
mno_cb_mordor|魔多
mno_cb_mordor1|艾辛格
mno_cb_mordor2|登蘭德
mno_cb_mordor3|哈拉德
mno_cb_mordor4|東方人
mno_cb_mordor5|摩瑞亞
mno_cb_mordor6|剛達巴
mno_cb_mordor7|盧恩
mno_cb_mordor8|海盜
mno_rescue_mission|在黑夜的掩護下潛入巫師的巢穴。
mno_next_rescue_scene_door|繼續向前！
mno_pick_troops1|選擇一起執行任務的同伴，已選擇了{reg0}人
menu_pick_troops|你要選擇誰和你一起執行這次潛行任務？ ^只有身手最敏捷的部下和同伴能夠加入行動。 ^身為隊伍中荒野求生技能最高的人，{reg65?{s1}建議你最多:你覺得能}帶{reg11}名手下。 ^^目前你選了{reg0}名。
mno_go_forward|結束同伴選擇並且繼續。
menu_burial_mound|你接近了{s2}的{s1}的墓塚。他戰敗於{s28}的部隊之下。附近堆滿了死去敵人鈍掉的武器。
mno_pay_respects|跪下並獻上你的敬意。
